method,source,source_label,target,target_label,rank,score
bm25_label,TG:P0045:n3,ion concentration,TG:P0161:n3,ion transport and concentration equilibrium,2,6.15614179181317
bm25_label,TG:P0045:n3,ion concentration,TG:P0283:n2,concentration gradient of redox ion pairs,3,5.640041056767323
bm25_label,TG:P0045:n3,ion concentration,TG:P0018:n2,concentration gradient,4,4.298666713503132
bm25_label,TG:P0045:n3,ion concentration,TG:P0026:n2,Fe3+ concentration,5,4.298666713503132
bm25_label,TG:P0045:n3,ion concentration,TG:P0116:n3,Concentration difference,6,4.298666713503132
bm25_label,TG:P0045:n3,ion concentration,TG:P0129:n3,concentration distribution,7,4.298666713503132
bm25_label,TG:P0045:n3,ion concentration,TG:P0172:n4,concentration gradient,8,4.298666713503132
bm25_label,TG:P0045:n3,ion concentration,TG:P0202:n2,thermal concentration,9,4.298666713503132
bm25_label,TG:P0045:n3,ion concentration,TG:P0209:n1,concentration gradients,10,4.298666713503132
bm25_label,TG:P0051:n3,temperature difference,TG:P0104:n3,temperature difference,1,8.429823971723566
bm25_label,TG:P0051:n3,temperature difference,TG:P0134:n1,temperature difference,2,8.429823971723566
bm25_label,TG:P0051:n3,temperature difference,TG:P0101:n4,interelectrode temperature difference,3,7.485642155869074
bm25_label,TG:P0051:n3,temperature difference,TG:P0005:n4,self-supplying temperature difference,4,6.73166276181629
bm25_label,TG:P0051:n3,temperature difference,TG:P0088:n4,temperature difference across the cell,5,6.115671483652541
bm25_label,TG:P0051:n3,temperature difference,TG:P0221:n2,temperature difference across the droplet,6,6.115671483652541
bm25_label,TG:P0051:n3,temperature difference,TG:P0211:n2,temperature difference that determines the voltage,7,5.602963580756371
bm25_label,TG:P0051:n3,temperature difference,TG:P0116:n3,Concentration difference,8,4.556928593486339
bm25_label,TG:P0051:n3,temperature difference,TG:P0220:n3,performance difference,9,4.556928593486339
bm25_label,TG:P0051:n3,temperature difference,TG:P0120:n1,temperature,10,4.431901655240864
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0229:n2,thermal conductivity,1,9.876887296790871
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0042:n3,low thermal conductivity,2,8.770627259314969
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0076:n1,low thermal conductivity,3,8.770627259314969
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0086:n5,effective thermal conductivity,4,8.770627259314969
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0014:n4,ionic conductivity,5,5.319958703304532
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0146:n4,ionic conductivity,6,5.319958703304532
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0150:n2,ionic conductivity,7,5.319958703304532
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0165:n3,high conductivity,8,5.319958703304532
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0207:n2,electrical conductivity,9,5.319958703304532
bm25_label,TG:P0067:n3,thermal conductivity,TG:P0285:n4,ionic conductivity,10,5.319958703304532
bm25_label,TG:P0069:n4,thermovoltage signals,TG:P0030:n4,thermovoltage,1,8.633285615245418
bm25_label,TG:P0069:n4,thermovoltage signals,TG:P0012:n3,transduction of dynamic gestures into detectable electrical signals,2,4.294383836790676
bm25_label,TG:P0077:n2,power density,TG:P0189:n4,power density,1,9.029349799593543
bm25_label,TG:P0077:n2,power density,TG:P0011:n4,power density output,2,8.018018137347394
bm25_label,TG:P0077:n2,power density,TG:P0187:n2,power output density,3,8.018018137347394
bm25_label,TG:P0077:n2,power density,TG:P0199:n3,output power density,4,8.018018137347394
bm25_label,TG:P0077:n2,power density,TG:P0286:n3,maximum power density,5,8.018018137347394
bm25_label,TG:P0077:n2,power density,TG:P0205:n3,efficiency and power density,6,7.210416019743958
bm25_label,TG:P0077:n2,power density,TG:P0296:n2,maximum power output density,7,7.210416019743958
bm25_label,TG:P0077:n2,power density,TG:P0185:n3,mechanical performance and output power density,8,6.00144418848269
bm25_label,TG:P0077:n2,power density,TG:P0317:n2,maximum power density of 1461 mW/m(2),9,5.139674057546635
bm25_label,TG:P0077:n2,power density,TG:P0011:n3,current density,10,4.945064496877253
bm25_label,TG:P0081:n1,temperature gradient,TG:P0136:n3,temperature gradient,1,9.108462941707586
bm25_label,TG:P0081:n1,temperature gradient,TG:P0233:n3,temperature gradient,2,9.108462941707586
bm25_label,TG:P0081:n1,temperature gradient,TG:P0295:n1,temperature gradient,3,9.108462941707586
bm25_label,TG:P0081:n1,temperature gradient,TG:P0198:n2,salinity and temperature gradient,4,7.2735920711687285
bm25_label,TG:P0081:n1,temperature gradient,TG:P0018:n2,concentration gradient,5,5.235567563470358
bm25_label,TG:P0081:n1,temperature gradient,TG:P0172:n4,concentration gradient,6,5.235567563470358
bm25_label,TG:P0081:n1,temperature gradient,TG:P0116:n1,distillation of sodium hydroxide solution in temperature gradient,7,5.18470673134479
bm25_label,TG:P0081:n1,temperature gradient,TG:P0120:n1,temperature,8,4.431901655240864
bm25_label,TG:P0081:n1,temperature gradient,TG:P0123:n1,temperature,9,4.431901655240864
bm25_label,TG:P0081:n1,temperature gradient,TG:P0255:n2,persistent Cu2+ concentration gradient,10,4.180879140799026
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0279:n2,interfacial resistance,1,11.843015518884904
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0198:n1,interfacial evaporation,2,6.3352464203039265
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0083:n2,interfacial charge transfer,3,5.625667609515872
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0095:n3,ohmic resistance,4,5.507769098580978
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0107:n2,electron transfer resistance,5,4.890871824539539
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0139:n8,resistance of thermocells,6,4.890871824539539
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0252:n2,mass transfer resistance,7,4.890871824539539
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0330:n2,low-resistance electrolyte,8,4.890871824539539
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0169:n4,interface charge transfer resistance,9,4.398246542984381
bm25_label,TG:P0082:n2,interfacial resistance gating,TG:P0251:n3,interfacial free energy with water molecules,10,4.210782465582434
bm25_label,TG:P0086:n3,mass transport,TG:P0127:n5,Mass transport,1,10.329282059744608
bm25_label,TG:P0086:n3,mass transport,TG:P0128:n2,mass-transport limitations,2,9.17235158001493
bm25_label,TG:P0086:n3,mass transport,TG:P0154:n2,mass and charge transport at the electrolyte-electrode interface,3,5.485759222862454
bm25_label,TG:P0086:n3,mass transport,TG:P0252:n2,mass transfer resistance,4,4.890871824539539
bm25_label,TG:P0086:n3,mass transport,TG:P0253:n5,convective mass transfer,5,4.890871824539539
bm25_label,TG:P0086:n3,mass transport,TG:P0253:n6,diffusive mass transfer,6,4.890871824539539
bm25_label,TG:P0086:n3,mass transport,TG:P0261:n5,ion transport,7,4.821512961163631
bm25_label,TG:P0086:n3,mass transport,TG:P0275:n3,transport processes,8,4.821512961163631
bm25_label,TG:P0086:n3,mass transport,TG:P0006:n3,ion-transport highway,9,4.281479755475391
bm25_label,TG:P0086:n3,mass transport,TG:P0129:n1,diffusion-migration transport,10,4.281479755475391
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0221:n2,temperature difference across the droplet,1,13.512212348985027
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0051:n3,temperature difference,2,8.429823971723566
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0104:n3,temperature difference,3,8.429823971723566
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0134:n1,temperature difference,4,8.429823971723566
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0101:n4,interelectrode temperature difference,5,7.485642155869074
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0211:n2,temperature difference that determines the voltage,6,7.36499074129555
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0005:n4,self-supplying temperature difference,7,6.73166276181629
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0211:n1,internal resistances of the cell,8,6.079102494485767
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0127:n4,cell current,9,5.728395546689193
bm25_label,TG:P0088:n4,temperature difference across the cell,TG:P0291:n3,cell performance,10,5.728395546689193
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0288:n2,higher diffusion coefficients,1,9.837017117725603
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0046:n6,ion diffusion,2,9.268939177827658
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0053:n2,ion diffusion,3,9.268939177827658
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0226:n3,Seebeck coefficients,4,5.995785676311683
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0272:n2,Seebeck coefficients,5,5.995785676311683
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0104:n2,apparent Seebeck coefficients,6,5.324228141264263
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0224:n2,diffusion coefficient,7,5.081997763315074
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0232:n1,thermal diffusion,8,5.081997763315074
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0247:n2,thermal diffusion,9,5.081997763315074
bm25_label,TG:P0108:n3,ion diffusion coefficients,TG:P0129:n1,diffusion-migration transport,10,4.51278897646134
bm25_label,TG:P0110:n2,sensitivity,TG:P0007:n2,sensitivity,1,8.146059263580337
bm25_label,TG:P0110:n2,sensitivity,TG:P0241:n2,higher sensitivity,2,7.118577470115868
bm25_label,TG:P0124:n2,corrosion rates,TG:P0230:n2,galvanic corrosion rates of copper,1,9.089514199285457
bm25_label,TG:P0124:n2,corrosion rates,TG:P0326:n2,corrosion,2,6.55522115260485
bm25_label,TG:P0124:n2,corrosion rates,TG:P0327:n2,corrosion,3,6.55522115260485
bm25_label,TG:P0124:n2,corrosion rates,TG:P0053:n3,crystallization nucleation rates,4,6.03886791862555
bm25_label,TG:P0124:n2,corrosion rates,TG:P0219:n3,charging-discharging rates,5,6.03886791862555
bm25_label,TG:P0124:n2,corrosion rates,TG:P0124:n1,Thermogalvanic corrosion,6,5.728395546689193
bm25_label,TG:P0124:n2,corrosion rates,TG:P0323:n2,corrosion area,7,5.728395546689193
bm25_label,TG:P0124:n2,corrosion rates,TG:P0151:n2,thermogalvanic corrosion of iron,8,4.574428495298411
bm25_label,TG:P0124:n2,corrosion rates,TG:P0242:n1,thermogalvanic and heat-transfer corrosion,9,4.15583829620661
bm25_label,TG:P0124:n2,corrosion rates,TG:P0049:n3,thermogalvanic corrosion of the copper electrode,10,3.8074331957496574
bm25_label,TG:P0136:n3,temperature gradient,TG:P0081:n1,temperature gradient,1,9.108462941707586
bm25_label,TG:P0136:n3,temperature gradient,TG:P0233:n3,temperature gradient,2,9.108462941707586
bm25_label,TG:P0136:n3,temperature gradient,TG:P0295:n1,temperature gradient,3,9.108462941707586
bm25_label,TG:P0136:n3,temperature gradient,TG:P0198:n2,salinity and temperature gradient,4,7.2735920711687285
bm25_label,TG:P0136:n3,temperature gradient,TG:P0018:n2,concentration gradient,5,5.235567563470358
bm25_label,TG:P0136:n3,temperature gradient,TG:P0172:n4,concentration gradient,6,5.235567563470358
bm25_label,TG:P0136:n3,temperature gradient,TG:P0116:n1,distillation of sodium hydroxide solution in temperature gradient,7,5.18470673134479
bm25_label,TG:P0136:n3,temperature gradient,TG:P0120:n1,temperature,8,4.431901655240864
bm25_label,TG:P0136:n3,temperature gradient,TG:P0123:n1,temperature,9,4.431901655240864
bm25_label,TG:P0136:n3,temperature gradient,TG:P0255:n2,persistent Cu2+ concentration gradient,10,4.180879140799026
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0201:n1,thermodiffusion (Soret) effect,1,8.431218446457072
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0210:n1,thermodiffusion effect of electrolyte,2,7.581997385254965
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0014:n3,thermodiffusion,3,6.191306990646972
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0043:n2,thermodiffusion,4,6.191306990646972
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0145:n1,thermodiffusion,5,6.191306990646972
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0180:n1,thermodiffusion effect of lithium sulfate (Li2SO4) ions,6,5.822585429876961
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0144:n3,thermodiffusion contribution,7,5.410382741902545
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0224:n1,thermodiffusion term,8,5.410382741902545
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0268:n4,anion thermodiffusion,9,5.410382741902545
bm25_label,TG:P0137:n3,thermodiffusion effect,TG:P0030:n3,thermodiffusion of the cation,10,4.320478357911932
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0014:n3,thermodiffusion,1,6.191306990646972
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0043:n2,thermodiffusion,2,6.191306990646972
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0137:n3,thermodiffusion effect,3,5.410382741902545
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0144:n3,thermodiffusion contribution,4,5.410382741902545
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0224:n1,thermodiffusion term,5,5.410382741902545
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0268:n4,anion thermodiffusion,6,5.410382741902545
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0201:n1,thermodiffusion (Soret) effect,7,4.8043932196002315
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0030:n3,thermodiffusion of the cation,8,4.320478357911932
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0080:n1,ion thermodiffusion (Bmim+/H2PO4- ),9,4.320478357911932
bm25_label,TG:P0145:n1,thermodiffusion,TG:P0210:n1,thermodiffusion effect of electrolyte,10,4.320478357911932
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0014:n4,ionic conductivity,1,10.083943661832956
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0150:n2,ionic conductivity,2,10.083943661832956
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0285:n4,ionic conductivity,3,10.083943661832956
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0288:n1,superior ionic conductivity,4,8.95449229137247
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0297:n2,ionic electrical conductivity,5,8.95449229137247
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0096:n3,decoupling of thermopower and ionic conductivity,6,6.702390142091789
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0067:n3,thermal conductivity,7,5.319958703304532
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0165:n3,high conductivity,8,5.319958703304532
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0207:n2,electrical conductivity,9,5.319958703304532
bm25_label,TG:P0146:n4,ionic conductivity,TG:P0229:n2,thermal conductivity,10,5.319958703304532
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0014:n4,ionic conductivity,1,10.083943661832956
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0146:n4,ionic conductivity,2,10.083943661832956
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0285:n4,ionic conductivity,3,10.083943661832956
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0288:n1,superior ionic conductivity,4,8.95449229137247
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0297:n2,ionic electrical conductivity,5,8.95449229137247
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0096:n3,decoupling of thermopower and ionic conductivity,6,6.702390142091789
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0067:n3,thermal conductivity,7,5.319958703304532
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0165:n3,high conductivity,8,5.319958703304532
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0207:n2,electrical conductivity,9,5.319958703304532
bm25_label,TG:P0150:n2,ionic conductivity,TG:P0229:n2,thermal conductivity,10,5.319958703304532
bm25_label,TG:P0186:n4,output current density,TG:P0011:n3,current density,1,9.60129092492642
bm25_label,TG:P0186:n4,output current density,TG:P0146:n3,exchange current density,2,8.525899038873693
bm25_label,TG:P0186:n4,output current density,TG:P0011:n4,power density output,3,8.355965744153698
bm25_label,TG:P0186:n4,output current density,TG:P0187:n2,power output density,4,8.355965744153698
bm25_label,TG:P0186:n4,output current density,TG:P0199:n3,output power density,5,8.355965744153698
bm25_label,TG:P0186:n4,output current density,TG:P0267:n3,continuous current output,6,8.099478962046284
bm25_label,TG:P0186:n4,output current density,TG:P0025:n4,short-circuit current density,7,7.667141425668113
bm25_label,TG:P0186:n4,output current density,TG:P0322:n2,increase in current density,8,7.667141425668113
bm25_label,TG:P0186:n4,output current density,TG:P0296:n2,maximum power output density,9,7.514324391639516
bm25_label,TG:P0186:n4,output current density,TG:P0103:n2,current and power output,10,7.283671832505781
bm25_label,TG:P0189:n4,power density,TG:P0077:n2,power density,1,9.029349799593543
bm25_label,TG:P0189:n4,power density,TG:P0011:n4,power density output,2,8.018018137347394
bm25_label,TG:P0189:n4,power density,TG:P0187:n2,power output density,3,8.018018137347394
bm25_label,TG:P0189:n4,power density,TG:P0199:n3,output power density,4,8.018018137347394
bm25_label,TG:P0189:n4,power density,TG:P0286:n3,maximum power density,5,8.018018137347394
bm25_label,TG:P0189:n4,power density,TG:P0205:n3,efficiency and power density,6,7.210416019743958
bm25_label,TG:P0189:n4,power density,TG:P0296:n2,maximum power output density,7,7.210416019743958
bm25_label,TG:P0189:n4,power density,TG:P0185:n3,mechanical performance and output power density,8,6.00144418848269
bm25_label,TG:P0189:n4,power density,TG:P0317:n2,maximum power density of 1461 mW/m(2),9,5.139674057546635
bm25_label,TG:P0189:n4,power density,TG:P0011:n3,current density,10,4.945064496877253
bm25_label,TG:P0206:n2,mechanical performance,TG:P0185:n3,mechanical performance and output power density,1,7.185231887733238
bm25_label,TG:P0206:n2,mechanical performance,TG:P0083:n3,performance,2,5.815523555252321
bm25_label,TG:P0206:n2,mechanical performance,TG:P0141:n2,performance,3,5.815523555252321
bm25_label,TG:P0206:n2,mechanical performance,TG:P0159:n3,performance,4,5.815523555252321
bm25_label,TG:P0206:n2,mechanical performance,TG:P0265:n2,performance,5,5.815523555252321
bm25_label,TG:P0206:n2,mechanical performance,TG:P0006:n5,mechanical strength,6,5.728395546689193
bm25_label,TG:P0206:n2,mechanical performance,TG:P0023:n3,mechanical properties,7,5.728395546689193
bm25_label,TG:P0206:n2,mechanical performance,TG:P0073:n1,mechanical strain,8,5.728395546689193
bm25_label,TG:P0206:n2,mechanical performance,TG:P0261:n4,mechanical robustness,9,5.728395546689193
bm25_label,TG:P0206:n2,mechanical performance,TG:P0033:n3,mechanical tensile properties,10,5.086787023504344
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0046:n6,ion diffusion,1,5.081997763315074
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0053:n2,ion diffusion,2,5.081997763315074
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0232:n1,thermal diffusion,3,5.081997763315074
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0247:n2,thermal diffusion,4,5.081997763315074
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0108:n3,ion diffusion coefficients,5,4.51278897646134
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0129:n1,diffusion-migration transport,6,4.51278897646134
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0129:n2,diffusion-convection transport,7,4.51278897646134
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0288:n2,higher diffusion coefficients,8,4.51278897646134
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0005:n2,Seebeck coefficient,9,4.186941414512584
bm25_label,TG:P0224:n2,diffusion coefficient,TG:P0027:n3,Seebeck coefficient,10,4.186941414512584
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0247:n2,thermal diffusion,1,9.638926356801413
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0134:n3,thermal diffusion potential (TDP),2,7.697195319572373
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0046:n6,ion diffusion,3,5.081997763315074
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0053:n2,ion diffusion,4,5.081997763315074
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0224:n2,diffusion coefficient,5,5.081997763315074
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0043:n4,thermal current,6,4.556928593486339
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0067:n2,thermal barrier,7,4.556928593486339
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0067:n3,thermal conductivity,8,4.556928593486339
bm25_label,TG:P0232:n1,thermal diffusion,TG:P0088:n3,thermal resistances,9,4.556928593486339
