method,comparison_id,domain,selection,review,left_label,right_label,found,left_to_right_top10_rank,right_to_left_top10_rank
focused_vector,N0202,iTE,stratified,equivalent,carrier concentration,carrier concentration,True,5,9
focused_vector,N0102,iTE,stratified,uncertain,Cr doping,Cr doping,True,1,2
focused_vector,N1127,iTE,stratified,non_equivalent,half-metal,half-metallic gap,False,,
focused_vector,N0954,iTE,stratified,non_equivalent,thermoelectric and mechanical performance,mechanical performance,False,,
focused_vector,N0422,iTE,stratified,uncertain,p-type,p-type,True,9,8
focused_vector,N1191,iTE,stratified,non_equivalent,Seebeck coefficient S,Seebeck coefficient of the PANI,True,10,1
focused_vector,N1522,iTE,stratified,non_equivalent,charge carrier concentration,increase of the carrier concentration,False,,
focused_vector,N0730,iTE,stratified,non_equivalent,Fmoc-FF,pi-pi interactions between Fmoc groups,True,1,1
focused_vector,N0838,iTE,known_challenge,non_equivalent,negative Seebeck coefficient,positive Seebeck coefficient,False,,
bm25_plus_vector_rrf,N0062,TG,stratified,non_equivalent,sensitivity,sensitivity,True,1,2
bm25_plus_vector_rrf,N0575,TG,stratified,non_equivalent,short-circuit current density,short-circuit current,True,6,4
bm25_plus_vector_rrf,N1608,TG,stratified,non_equivalent,stretching-induced crystallization,ioninduced crystallization,True,10,9
bm25_plus_vector_rrf,N0755,TG,stratified,non_equivalent,ion diffusion coefficients,diffusion coefficient,True,2,1
bm25_plus_vector_rrf,N1098,TG,stratified,non_equivalent,electrical performance,mechanical performance,False,,
bm25_plus_vector_rrf,N1520,TG,stratified,non_equivalent,thermal conductivity,ionic electrical conductivity,False,,
bm25_plus_vector_rrf,N1223,TG,stratified,equivalent,current density,output current density,True,4,1
bm25_plus_vector_rrf,N0855,TG,stratified,equivalent,thermodiffusion effect,thermodiffusion,True,,6
bm25_plus_vector_rrf,N1588,TG,stratified,equivalent,temperature difference,temperature difference across the cell,True,10,2
bm25_plus_vector_rrf,N0072,TG,stratified,equivalent,thermal diffusion,thermal diffusion,True,2,1
bm25_plus_vector_rrf,N0041,TG,stratified,equivalent,ionic conductivity,ionic conductivity,True,2,1
bm25_plus_vector_rrf,N0058,TG,stratified,equivalent,power density,power density,True,1,1
bm25_plus_vector_rrf,N1578,TG,stratified,equivalent,thermovoltage,thermovoltage signals,True,2,1
bm25_plus_vector_rrf,N0067,TG,stratified,uncertain,temperature gradient,temperature gradient,True,2,1
bm25_plus_vector_rrf,N1385,TG,stratified,non_equivalent,ion concentration gradients,ion concentration,True,5,2
bm25_plus_vector_rrf,N0757,TG,stratified,non_equivalent,interfacial resistance gating,interfacial resistance,True,3,3
bm25_plus_vector_rrf,N1592,TG,stratified,non_equivalent,mass transport,ion transport,False,,
bm25_plus_vector_rrf,N1046,TG,stratified,non_equivalent,corrosion rates,corrosion,True,3,3
bm25_plus_vector_rrf,N1627,iTE,stratified,non_equivalent,concentration,concentration of holes,False,,
bm25_plus_vector_rrf,N0871,iTE,stratified,non_equivalent,continuous operation,continuous operation of ITECs,True,4,1
bm25_plus_vector_rrf,N0895,iTE,stratified,non_equivalent,concentration of electron holes,concentration of electrons,True,,5
bm25_plus_vector_rrf,N1575,iTE,stratified,non_equivalent,Electrical conductivity,optical conductivity,False,,
bm25_plus_vector_rrf,N0628,iTE,stratified,non_equivalent,n-type characteristics,p-type characteristics,True,4,3
bm25_plus_vector_rrf,N0696,iTE,stratified,non_equivalent,semiconducting properties,conducting properties,False,,
bm25_plus_vector_rrf,N0645,iTE,stratified,equivalent,increased PEDOT domain distances,increase in the PEDOT domain distances,True,3,2
bm25_plus_vector_rrf,N1500,iTE,stratified,equivalent,PEDOT:PSS conductivity,conductivity of PEDOT:PSS,True,3,1
bm25_plus_vector_rrf,N0656,iTE,stratified,equivalent,half-metallicity character,half-metallic character,True,1,3
bm25_plus_vector_rrf,N0331,iTE,stratified,equivalent,ionic bonding,ionic bonding,True,2,1
bm25_plus_vector_rrf,N0202,iTE,stratified,equivalent,carrier concentration,carrier concentration,True,2,1
bm25_plus_vector_rrf,N0102,iTE,stratified,uncertain,Cr doping,Cr doping,True,1,1
bm25_plus_vector_rrf,N1127,iTE,stratified,non_equivalent,half-metal,half-metallic gap,True,5,5
bm25_plus_vector_rrf,N0954,iTE,stratified,non_equivalent,thermoelectric and mechanical performance,mechanical performance,True,4,2
bm25_plus_vector_rrf,N0422,iTE,stratified,uncertain,p-type,p-type,True,1,1
bm25_plus_vector_rrf,N1191,iTE,stratified,non_equivalent,Seebeck coefficient S,Seebeck coefficient of the PANI,True,,3
bm25_plus_vector_rrf,N1522,iTE,stratified,non_equivalent,charge carrier concentration,increase of the carrier concentration,False,,
bm25_plus_vector_rrf,N0730,iTE,stratified,non_equivalent,Fmoc-FF,pi-pi interactions between Fmoc groups,True,1,1
bm25_plus_vector_rrf,N0838,iTE,known_challenge,non_equivalent,negative Seebeck coefficient,positive Seebeck coefficient,False,,
