rank,candidate_direction,ite_donor_concept,tg_anchor_concept,donor_type,anchor_type,graph_score,actionability_score,graph_distance,common_neighbor_count,bridge_concepts,donor_first_iTE_year,donor_first_iTE_title,donor_recent_iTE_year,donor_recent_iTE_title,anchor_first_TG_year,anchor_first_TG_title,anchor_recent_TG_year,anchor_recent_TG_title
11,nanochannel-confined ion transport + electrochemical refrigeration thermocell,nanochannel-confined ion transport,electrochemical refrigeration thermocell,transport_mechanism,device_function,1.6836206896551724,1.8636206896551728,2,12,MXene-reinforced thermogalvanic gel; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; thermal charging redox storage; ion-pair complexation control; anti-freezing organohydrogel design,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,1994,GENERATING PERFORMANCE OF THERMOCHARGEABLE GALVANIC CELL USING A REDOX COUPLE OF [FE(CN)(6)](4-/3-),2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration
12,MXene-reinforced thermogalvanic gel + thermal charging redox storage,MXene-reinforced thermogalvanic gel,thermal charging redox storage,material_system,device_function,1.763083164300203,1.863083164300203,2,16,nanochannel-confined ion transport; soft mixed ionic-electronic coupling; deep-eutectic eutogel electrolyte; electrochemical refrigeration thermocell; charge-transfer resistance engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport,2020,Photothermoelectric Response of Ti3C2Tx MXene Confined Ion Channels,2026,Solid-State N-Type Ionic Thermoelectric Based on Polyanions Enabled by Water State Regulation via MXenes,2011,Energy Harvesting and Storage with Lithium-Ion Thermogalvanic Cells,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator
13,ion-dipole interaction transport + thermal charging redox storage,ion-dipole interaction transport,thermal charging redox storage,transport_mechanism,device_function,1.6730223123732253,1.8530223123732257,2,15,nanochannel-confined ion transport; deep-eutectic eutogel electrolyte; cation/anion thermodiffusion asymmetry; charge-transfer resistance engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption,2019,Flexible Quasi-Solid State Ionogels with Remarkable Seebeck Coefficient and High Thermoelectric Properties,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",2011,Energy Harvesting and Storage with Lithium-Ion Thermogalvanic Cells,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator
14,ion-dipole interaction transport + dynamic crosslinked gel network,ion-dipole interaction transport,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,1.6730223123732253,1.8530223123732257,2,15,nanochannel-confined ion transport; deep-eutectic eutogel electrolyte; cation/anion thermodiffusion asymmetry; charge-transfer resistance engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption,2019,Flexible Quasi-Solid State Ionogels with Remarkable Seebeck Coefficient and High Thermoelectric Properties,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing
15,solvent-shell water/DES regulation + chaotropic polymer-water disruption,solvent-shell water/DES regulation,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,1.657707910750507,1.8377079107505072,2,9,solvation-shell remodeling; selective solvation entropy engineering; deep-eutectic eutogel electrolyte; dynamic crosslinked gel network; anti-freezing organohydrogel design; redox entropy tuning; Fe2+/Fe3+ solvation redox chemistry; ferri/ferrocyanide redox chemistry,2020,Volume effect of organic solvent on electrochemical Seebeck coefficient of [Fe(CN)6]4-/[Fe(CN)6]3- in water,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,2018,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,2026,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting
16,redox-solvation hybrid entropy + electrochemical refrigeration thermocell,redox-solvation hybrid entropy,electrochemical refrigeration thermocell,solvation_entropy,device_function,1.6522312373225152,1.8322312373225151,2,9,solvation-shell remodeling; MXene-reinforced thermogalvanic gel; selective solvation entropy engineering; microfluidic redox-solvation thermocell; moisture-gradient ion transport; anti-freezing organohydrogel design; redox entropy tuning; Fe2+/Fe3+ solvation redox chemistry,2020,Volume effect of organic solvent on electrochemical Seebeck coefficient of [Fe(CN)6]4-/[Fe(CN)6]3- in water,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,1994,GENERATING PERFORMANCE OF THERMOCHARGEABLE GALVANIC CELL USING A REDOX COUPLE OF [FE(CN)(6)](4-/3-),2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration
17,nanochannel-confined ion transport + imidazolium ionic-liquid phase transition electrolyte,nanochannel-confined ion transport,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,1.6495436105476675,1.8295436105476677,2,10,moisture-gradient ion transport; cellulose nanofiber scaffold; chaotropic polymer-water disruption; dynamic crosslinked gel network; thermal charging redox storage; ion-pair complexation control; phase-transition entropy amplification; Soret thermodiffusion coupling,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,2014,Enhanced Thermoelectric Power in Ionic Liquids,2026,Gutmann Donor Theory-Guided Design of Mononuclear Ionic Cluster for Exceptional N-Type Thermoelectric Ionogel
18,soft mixed ionic-electronic coupling + charge-transfer resistance engineering,soft mixed ionic-electronic coupling,charge-transfer resistance engineering,transport_mechanism,electrode_interface,1.6468052738336714,1.8268052738336715,2,10,MXene-reinforced thermogalvanic gel; cation/anion thermodiffusion asymmetry; chaotropic polymer-water disruption; dynamic crosslinked gel network; thermal charging redox storage; anti-freezing organohydrogel design; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry,2016,Thermoelectric Properties of Polymeric Mixed Conductors,2026,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,2026,Convection Effect on Resistance Components in Liquid Thermoelectric Converter
19,ion-dipole interaction transport + iodide/triiodide redox chemistry,ion-dipole interaction transport,iodide/triiodide redox chemistry,transport_mechanism,redox_chemistry,1.6414807302231238,1.821480730223124,2,14,supramolecular host-guest redox entropy; deep-eutectic eutogel electrolyte; charge-transfer resistance engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; ion-pair complexation control,2019,Flexible Quasi-Solid State Ionogels with Remarkable Seebeck Coefficient and High Thermoelectric Properties,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",2015,Combining thermogalvanic corrosion and thermogalvanic redox couples for improved electrochemical waste heat harvesting,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing
20,ion-dipole interaction transport + imidazolium ionic-liquid phase transition electrolyte,ion-dipole interaction transport,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,1.6382860040567953,1.8182860040567952,2,10,charge-transfer resistance engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; chaotropic polymer-water disruption; ion-pair complexation control; phase-transition entropy amplification; Soret thermodiffusion coupling; ferri/ferrocyanide redox chemistry,2019,Flexible Quasi-Solid State Ionogels with Remarkable Seebeck Coefficient and High Thermoelectric Properties,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",2014,Enhanced Thermoelectric Power in Ionic Liquids,2026,Gutmann Donor Theory-Guided Design of Mononuclear Ionic Cluster for Exceptional N-Type Thermoelectric Ionogel
21,soft mixed ionic-electronic coupling + imidazolium ionic-liquid phase transition electrolyte,soft mixed ionic-electronic coupling,imidazolium ionic-liquid phase transition electrolyte,transport_mechanism,material_system,1.636156186612576,1.816156186612576,2,10,electrochemical refrigeration thermocell; moisture-gradient ion transport; cellulose nanofiber scaffold; chaotropic polymer-water disruption; dynamic crosslinked gel network; thermal charging redox storage; Soret thermodiffusion coupling; Fe2+/Fe3+ solvation redox chemistry,2016,Thermoelectric Properties of Polymeric Mixed Conductors,2026,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,2014,Enhanced Thermoelectric Power in Ionic Liquids,2026,Gutmann Donor Theory-Guided Design of Mononuclear Ionic Cluster for Exceptional N-Type Thermoelectric Ionogel
22,nanochannel-confined ion transport + iodide/triiodide redox chemistry,nanochannel-confined ion transport,iodide/triiodide redox chemistry,transport_mechanism,redox_chemistry,1.6348377281947262,1.8148377281947263,2,12,deep-eutectic eutogel electrolyte; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; thermal charging redox storage; ion-pair complexation control; anti-freezing organohydrogel design,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,2015,Combining thermogalvanic corrosion and thermogalvanic redox couples for improved electrochemical waste heat harvesting,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing
23,redox-solvation hybrid entropy + thermal charging redox storage,redox-solvation hybrid entropy,thermal charging redox storage,solvation_entropy,device_function,1.6342292089249493,1.8142292089249497,2,6,deep-eutectic eutogel electrolyte; moisture-gradient ion transport; dynamic crosslinked gel network; anti-freezing organohydrogel design; Fe2+/Fe3+ solvation redox chemistry; gel-confined redox transport,2020,Volume effect of organic solvent on electrochemical Seebeck coefficient of [Fe(CN)6]4-/[Fe(CN)6]3- in water,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,2011,Energy Harvesting and Storage with Lithium-Ion Thermogalvanic Cells,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator
24,deep-eutectic eutogel electrolyte + organic redox molecular design,deep-eutectic eutogel electrolyte,organic redox molecular design,material_system,redox_chemistry,1.7037018255578094,1.8037018255578097,2,13,iodide/triiodide redox chemistry; cation/anion thermodiffusion asymmetry; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; dynamic crosslinked gel network; thermal charging redox storage; ion-pair complexation control,2015,An Effective Approach to Enhanced Thermoelectric Properties of PEDOT:PSS Films by a DES Post-Treatment,2026,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,2014,Enhanced Thermoelectric Power in Ionic Liquids,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels
25,nanochannel-confined ion transport + double-network hydrogel mechanics,nanochannel-confined ion transport,double-network hydrogel mechanics,transport_mechanism,gel_microstructure,1.6171906693711968,1.797190669371197,2,10,cation/anion thermodiffusion asymmetry; cellulose nanofiber scaffold; ion-selectivity membrane transport; dynamic crosslinked gel network; thermal charging redox storage; ion-pair complexation control; anti-freezing organohydrogel design; Soret thermodiffusion coupling,2018,Skin-Inspired Low-Grade Heat Energy Harvesting Using Directed Ionic Flow through Conical Nanochannels,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,2025,Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters,2026,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes
26,MXene-reinforced thermogalvanic gel + organic redox molecular design,MXene-reinforced thermogalvanic gel,organic redox molecular design,material_system,redox_chemistry,1.6959432048681542,1.7959432048681545,2,11,electrochemical refrigeration thermocell; charge-transfer resistance engineering; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; anti-freezing organohydrogel design; redox entropy tuning; phase-transition entropy amplification,2020,Photothermoelectric Response of Ti3C2Tx MXene Confined Ion Channels,2026,Solid-State N-Type Ionic Thermoelectric Based on Polyanions Enabled by Water State Regulation via MXenes,2014,Enhanced Thermoelectric Power in Ionic Liquids,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels
27,deep-eutectic eutogel electrolyte + charge-transfer resistance engineering,deep-eutectic eutogel electrolyte,charge-transfer resistance engineering,material_system,electrode_interface,1.6943204868154158,1.794320486815416,2,16,solvation-shell remodeling; ion-dipole interaction transport; MXene-reinforced thermogalvanic gel; iodide/triiodide redox chemistry; cation/anion thermodiffusion asymmetry; chaotropic polymer-water disruption; dynamic crosslinked gel network; thermal charging redox storage,2015,An Effective Approach to Enhanced Thermoelectric Properties of PEDOT:PSS Films by a DES Post-Treatment,2026,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,2026,Convection Effect on Resistance Components in Liquid Thermoelectric Converter
28,ion-dipole interaction transport + MXene-reinforced thermogalvanic gel,ion-dipole interaction transport,MXene-reinforced thermogalvanic gel,transport_mechanism,material_system,1.6141480730223123,1.7941480730223125,2,13,nanochannel-confined ion transport; deep-eutectic eutogel electrolyte; charge-transfer resistance engineering; moisture-gradient ion transport; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; anti-freezing organohydrogel design,2019,Flexible Quasi-Solid State Ionogels with Remarkable Seebeck Coefficient and High Thermoelectric Properties,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",2023,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,2026,A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing
29,soft mixed ionic-electronic coupling + organic redox molecular design,soft mixed ionic-electronic coupling,organic redox molecular design,transport_mechanism,redox_chemistry,1.611916835699797,1.7919168356997972,2,10,electrochemical refrigeration thermocell; cation/anion thermodiffusion asymmetry; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; dynamic crosslinked gel network; thermal charging redox storage; anti-freezing organohydrogel design,2016,Thermoelectric Properties of Polymeric Mixed Conductors,2026,PEDOT:PSS conducting eutectogel for enhanced electrical recording and stimulation in implantable neural interfaces,2014,Enhanced Thermoelectric Power in Ionic Liquids,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels
30,ion-dipole interaction transport + organic redox molecular design,ion-dipole interaction transport,organic redox molecular design,transport_mechanism,redox_chemistry,1.6114604462474649,1.7914604462474648,2,11,cation/anion thermodiffusion asymmetry; charge-transfer resistance engineering; cellulose nanofiber scaffold; ion-selectivity membrane transport; chaotropic polymer-water disruption; ion-pair complexation control; anti-freezing organohydrogel design; phase-transition entropy amplification,2019,Flexible Quasi-Solid State Ionogels with Remarkable Seebeck Coefficient and High Thermoelectric Properties,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",2014,Enhanced Thermoelectric Power in Ionic Liquids,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels
