paper_id,domain,title,journal,doi,year,source_membership,coverage_status,txt_record_present,txt_header_line,node_count,relation_count,claim_id,abstract,abstract_sha256,corpus_path,corpus_csv_row,source_record_ids,limitation_note,reconstruction_run_id
P0011,TG,Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,ACS APPLIED ENERGY MATERIALS,10.1021/acsaem.4c02835,2025,TG,extracted_core_claim,True,1351,4,3,TG:P0011:claim_block,"Thermoelectric hydrogels have the potential to be used in energy conversion devices for harnessing ubiquitous low-grade heat and generating useful electricity. This can be achieved through the use of thermogalvanic cells based on redox chemistry. While significant attention has been focused toward maximizing voltage for a given temperature gradient in liquid-based thermocells, it is crucial to consider both voltage and current density for accurate power output estimation in the case of gel-based thermocells. Here, we analyze the influence of the functional groups and the redox pair concentration over the voltage and current density in two different hydrogels. Our results confirm a path to enhance the current density in thermogalvanic hydrogels by incorporating a cationic pair into a cationic electroactive network (CN). This approach facilitates the movement of redox pairs, therefore increasing the power density output.",3c8ed1e76024fd060e08a59c10d45e691f5533698db7d994996287a0a40a9659,cleaned_ite_tg/data/tg_clean.csv,77,TG_0010,Do not infer cation immobilization from cationic network; reported outcome is increased movement.,txt_reconstruction_v1_19f1c2edac18
P0012,TG,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.167739,2025,TG,extracted_core_claim,True,1366,3,2,TG:P0012:claim_block,"The growing demand for immersive human-machine interaction has exposed the limitations of conventional input devices, which often suffer from power dependency, conditional constraints, or cumbersome hardware. To address these drawbacks, we present a self-powered thermogalvanic-hydrogel virtual interface for versatile onhand interactions, which is composed of polyvinyl alcohol/trehalose networks absorbed with glycerol/water and exhibits high stretchability, strong adhesion, and rapid self-healing, inspired by algae's stress adaption. Leveraging the synergistic coupling of thermoelectricity and active piezoresistivity, the interface achieves selfpowered transduction of dynamic gestures into detectable electrical signals via its intrinsic response to body heat and real-time piezoresistive modulation under mechanical strain. With the aid of deep learning, the adaptive interface enables intuitive on-hand virtual interaction by translating sensory data into diverse interactive tasks-such as sign language recognition, keyboard text entry, and mouse control-with over 96% task-specific accuracy. This study offers an economical and straightforward approach to embodied interaction, fostering advancements in human-machine interfaces, virtual technologies, and wearable electronics.",0e15ffb60e69e45777f44451a6403a6a1707b0caef1273b04fdc2c654949caf6,cleaned_ite_tg/data/tg_clean.csv,78,TG_0011,Device sensing claim; not a new redox thermodynamic mechanism.,txt_reconstruction_v1_19f1c2edac18
P0013,TG,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d5ta00253b,2025,TG,extracted_core_claim,True,1379,3,2,TG:P0013:claim_block,"Facial expression is vital for assessing psychological health, especially in adolescents. Current facial expression recognition systems face challenges such as poor breathability, limited electromechanical performance, and insufficient environmental stability. Here, an air-permeable self-powered hydrogel array designed for continuous mental monitoring based on facial expression recognition is proposed. The remarkable breathability of the patch composed of thermogalvanic hydrogel and gelatin films is achieved by the through-holes structure design. Additionally, the hydrogel leverages a double network structure and phytic acid with rich hydrogen ions, achieving a trade-off between mechanical (1.07 MPa) and electrical (34.4 mS cm-1) properties. Due to the multiple hydrogen bonds among phytic acid, glycerol, and water, the hydrogel maintains over 80% of its original electrical performance after 10 days, demonstrating its excellent environmental stability. Integrated with a deep learning algorithm, the hydrogel array can recognize six facial expressions with a high accuracy of 100% and provide long-term monitoring of mental states based on the positive-to-negative emotion ratio. This work paves the way for a new generation of wearable mental monitoring platform for healthcare and human-machine interfaces.",b2ee6ed8ee68c87ad8439ca6a836d42428f50e3de6f0255697301acebe40940d,cleaned_ite_tg/data/tg_clean.csv,79,TG_0012,Specific partners and retention endpoint retained; not entropy enhancement.,txt_reconstruction_v1_19f1c2edac18
P0014,TG,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,ENERGY & ENVIRONMENTAL SCIENCE,10.1039/d5ee01216c,2025,TG,extracted_core_claim,True,1392,4,3,TG:P0014:claim_block,"Thermogalvanic (TG) cells are a promising technology for harvesting low-grade waste heat, but their practical applications have been hindered by low thermopower and output power density. Here, we report for the first time a solid-state n-type thermodiffusion (TD)-assisted TG cell based on a PEDOT:PSS/Fe(ClO4)(2/3) polymer complex. The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity. This mechanism results in a remarkable ionic Seebeck coefficient of -40.05 mV K-1 and a record-high normalized maximum power density of 56.57 mW m(-2) K-2. The TD-assisted TG cell demonstrates excellent stability for >50 charge-discharge cycles. A 16-paired TG module generates 360 mu W, sufficient to power commercial electronic devices. A wearable device showcases the practical applicability by harvesting body heat and producing 1.5 V. These findings represent a significant advancement in thermal energy harvesting and pave the way for practical TG-based energy conversion technologies.",48a60c443085fbdd1e1b93a93b8d4a7dd7450ed8aac5e2e3d41d22e354bef091,cleaned_ite_tg/data/tg_clean.csv,80,TG_0013,Specific anion liberation preserved; solid-state sample retained.,txt_reconstruction_v1_19f1c2edac18
P0015,TG,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,ADVANCED MATERIALS,10.1002/adma.202300696,2023,iTE|TG,extracted_core_claim,True,926,4,1,TG:P0015:claim_block,"Thermocells can continuously convert heat into electricity, and they are widely used to power wearable electronic devices. However, they have a risk of leakage and poor mechanical properties. Although quasi-solid ionic thermocells can overcome the issue of electrolyte leakage, the trade-off between their excellent mechanical properties and high thermopower remains a major challenge. In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1. The SPTC exhibits a high stretchability of 1300%, ultrahigh toughness of 163.4 MJ m(-3), and high specific output power density of 1969 & mu;W m(-2) K-2. These comprehensive properties are superior to those of previously reported quasi-solid stretchable thermogalvanic thermocells. The use of SPTC-based systems in wearable devices for energy-autonomous strain sensors and health monitoring is demonstrated. This can facilitate the rapid implementation of sustainable wearable electronics in the Internet of Things era.",261378cd466a4f8e7c28669eb1d47120fdf9d8c8fe78fafd7612f7f14183eb59,cleaned_ite_tg/data/tg_clean.csv,47,iTE1_0952; TG_0014,Do not infer that stretching crystallization causes higher redox entropy; concurrent high thermopower is not its isolated effect.,txt_reconstruction_v1_19f1c2edac18
P0016,TG,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,SMALL,10.1002/smll.202405911,2025,TG,extracted_core_claim,True,1407,3,1,TG:P0016:claim_block,"Wearable devices equipped with high-performance flexible sensors that can identify diverse physical information free from batteries are playing an indispensable role in various fields. However, previous studies on flexible sensors have primarily focused on their elasticity and temperature-sensing capability, with few reports on material identification. In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1. A self-powered material identification ring is developed based on the temperature-triggered thermoelectric response of the gel in conjunction with machine learning, which can actively infer materials without an external power connection by analyzing the voltage signals correlated with interfacial heat transfer produced upon contact with different materials. The proposed gel ring has important applications for future areas such as human-computer interaction and haptic-associated artificial intelligence.",bee98e0c3ff816bee2848faf1fec4f5d4e6533646fbf26b1af74e297f284a632,cleaned_ite_tg/data/tg_clean.csv,81,TG_0015,Co-reported high thermopower; do not infer Gdm+-induced crystallization without explicit text.,txt_reconstruction_v1_19f1c2edac18
P0017,TG,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,JOURNAL OF COLLOID AND INTERFACE SCIENCE,10.1016/j.jcis.2024.09.132,2025,TG,extracted_core_claim,True,1419,2,1,TG:P0017:claim_block,"Direct and consistent monitoring of respiratory patterns is crucial for disease prognostication. Although the wired clinical respiratory monitoring apparatus can operate accurately, the existing defects are evident, such as the indispensability of an external power supply, low mobility, poor comfort, and limited monitoring timeframes. Here, we present a self-powered in-nostril hydrogel sensor for long-term non-irritant anti-interference respiratory monitoring, which is developed from a dual-network binary-solvent thermogalvanic polyvinyl alcohol hydrogel fiber (d = 500 mu m, L=30 mm) with Fe2+/Fe3+ ions serving as a redox couple, which can generate a thermoelectrical signal in the nasal cavity based on the temperature difference between the exhaled gas and skin as well as avoid interference from the external environment. Due to strong hydrogen bonding between solvent molecules, the sensor retains over 90 % of its moisture after 14 days, exhibiting great potential in wearable respiratory surveillance. With the assistance of deep learning, the hydrogel fiber-based respiration monitoring strategy can actively recognize seven typical breathing patterns with an accuracy of 97.1 % by extracting the time sequence and dynamic parameters of the thermoelectric signals generated by respiration, providing an alert for high-risk respiratory symptoms. This work demonstrates the significant potential of thermogalvanic gels for next-generation wearable bioelectronics for early screening of respiratory diseases.",b5346cb412a8fe5c7a80995773eb6c0a2b638336a07bbc5297bd13d62e5f03ff,cleaned_ite_tg/data/tg_clean.csv,82,TG_0016,Moisture retention mechanism; solvent identities not specified by this sentence.,txt_reconstruction_v1_19f1c2edac18
P0018,TG,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,NANO ENERGY,10.1016/j.nanoen.2024.110515,2025,TG,extracted_core_claim,True,1430,5,4,TG:P0018:claim_block,"In the pursuit of sustainable energy harvesting from low-grade heat, thermogalvanic cells (TGCs) have received considerable attention, but still confront profound challenges in efficiency and cost-effectiveness, limiting their real-world applications. To expedite the deployment of TGCs, this study delves into the mechanistic interplay of three crucial determinants: intrinsic temperature coefficient, concentration gradient, and activity coefficient of redox couples, elucidating their impact on TGCs' thermoelectric performance. We report a solvent-assisted liquid-state thermogalvanic cell (SA-LTC) by incorporating organic solvents into the sodium ferrocyanidebased TGCs system. With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency. Meanwhile, ethanol imparts a lower freezing point and wider working temperature range to the system, showing its better environmental adaptability. In particular, SA-LTC performs better at lower temperatures, at which it achieved a record-high temperature coefficient of- 5.26 mV K- 1 and a power density of 2.17 mW m- 2 K- 2 at 10-20 degrees C. This study not only provides useful guidance to the optimization of electrolyte design, but also highlights the potential of TGCs for sustainable energy conversion in varied thermal conditions for practical applications.",c3a285770992fab6b579b9db18f1cd012180f02de6a27c2856fe98732f3a947b,cleaned_ite_tg/data/tg_clean.csv,83,TG_0017,"Coefficient becomes more negative; enhancement means magnitude, not signed numeric increase.",txt_reconstruction_v1_19f1c2edac18
P0019,TG,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2024.150816,2024,iTE|TG,extracted_core_claim,True,842,5,3,TG:P0019:claim_block,"The human hand provides rich sensory information for proper interaction with the environment. However, designing passive hand -sensing arrays with robust mechanical properties, high conductivity, ease of integration and reliability remains a long-term challenge. Here, we develop a robust dynamic crystalline ion -injected thermoelectric gel (DCI-TEG) via a simple solvent -exchange salt -out strategy. The resultant DCI-TEG exhibits high tensile strength (3.8 MPa), toughness (7.5 MJ m -3 ), and ionic conductivity of 1.84 S m -1 . Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output. By coupling thermogalvanic and piezoresistive effects, the DCI-TEG permits self -powered timely sensing of pressure using current signals. By implanting ionic thermoelectric module arrays on a glove, a wearable pressure sensing route is demonstrated with the merits of self -power, low cost and simple preparation. With the help of deep learning algorithms, a selfpowered recognition for sign language and objects is realized in wearable/portable scenarios by active highaccuracy pressure detection. This work gives people a new direction toward barrier -free passive communication and human - machine interaction in the next -generation artificial intelligence.",332a98eae4ae42ea1ab6c8085859ffc9e2c21321bfc5dfba174e8e05aeafbc5f,cleaned_ite_tg/data/tg_clean.csv,41,iTE1_0857; TG_0018,Sensing functionality distinct from voltage-generation mechanism.,txt_reconstruction_v1_19f1c2edac18
P0020,TG,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,NANO LETTERS,10.1021/acs.nanolett.5c02774,2025,iTE|TG,extracted_core_claim,True,965,3,2,TG:P0020:claim_block,"Achieving stable and sustained power output remains a major challenge in the development of ionic thermoelectric devices (such as thermogalvanic cells and thermoionic capacitors) for low-grade heat harvesting. Many such systems exhibit strong performance in the initial throes of operation but degrade rapidly over time, limiting their utility. Here, we report an aqueous thermogalvanic redox agent ([Ni(bpy)3]2+/3+) with a Seebeck coefficient approximately double that of the canonical [Fe(CN)6]4-/3-, which can be utilized continuously for multiple hours under large temperature gradients (Delta T >= 60 K) without significant change in electrical performance. Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower. This new redox pair demonstrates stability, cyclability, and tunability in both liquid- and gel-based electrolytes, and provides a novel redox platform from which to build next-generation high-thermopower waste-heat recovery cells.",5662733dd25cf81c11bf1440a0664056d8c88eb6c9c2b7cc33b5028d166d0ebb,cleaned_ite_tg/data/tg_clean.csv,50,iTE1_0989; TG_0019,Simulation-supported proposed mechanism; quote retains source parenthesis artifact.,txt_reconstruction_v1_19f1c2edac18
