concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,future_edge_label,concept_u_id,concept_v_id,ite_first_year,tg_first_year,transfer_lag_years,label
ionic thermodiffusion (Soret effect),ion migration,transport_mechanism,transport_mechanism,0.555216372013092,3,1,1,3,4,5,4,5,0.8,2,1,3,0.3333333333333333,-0.3333333333333333,11,17,0,0.0,0.0,3,1,1,1,0,0,1,7,0,7,0,2010,2011-2015,0,C3002C089A5,CF4A6A0344F,2010,2025.0,15.0,0
anti-freezing organohydrogel design,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.4400594234466553,4,4,4,4,8,2,2,8,0.25,4,2,6,1.0,0.6666666666666666,12,0,3,0.6,2.152909095746061,16,1,1,1,0,0,1,3,0,3,0,2019,2020-2024,0,CC028ABF9C6,CE6FC512ED2,2019,2025.0,6.0,0
ion migration,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,0.41879719495773315,6,6,6,6,13,5,5,13,0.38461538461538464,6,4,10,1.6666666666666667,1.0,28,5,3,0.3333333333333333,1.2745816091195097,36,1,1,1,0,0,1,0,2,2,0,2021,2022-2026,1,CF4A6A0344F,CFBB5A400A1,2021,2025.0,4.0,1
moisture-gradient ion transport,ionic-electronic coupling,transport_mechanism,transport_mechanism,0.5647144317626953,3,3,3,3,4,12,4,12,0.3333333333333333,2,2,4,0.6666666666666666,0.6666666666666666,14,23,0,0.0,0.0,9,1,1,1,0,0,1,2,0,2,0,2016,2017-2021,0,C08389FD6C6,CC3BA67827F,2016,2026.0,10.0,0
charge-transfer resistance engineering,phase transition,electrode_interface,phase_or_species_transition,0.10874047875404358,4,7,4,7,12,31,12,31,0.3870967741935484,5,13,18,1.0,1.6666666666666667,25,16,1,0.1,0.9102392266268373,28,1,1,0,0,0,1,7,2,9,1,2019,2020-2024,0,C45C8AAD12E,C78D65254F9,2019,2026.0,7.0,0
ion-selectivity membrane transport,ion diffusion,transport_mechanism,transport_mechanism,0.7644132375717163,7,9,7,9,14,10,10,14,0.7142857142857143,5,5,10,-0.3333333333333333,1.0,21,21,4,0.3333333333333333,2.5147040098099613,63,1,1,1,0,0,1,6,1,7,1,2020,2021-2025,0,C188B56F6F1,C8AD5B453CC,2020,2026.0,6.0,0
nanochannel-confined ion transport,ion diffusion,transport_mechanism,transport_mechanism,0.737205445766449,4,9,4,9,2,10,2,10,0.2,2,5,7,0.6666666666666666,1.0,2,21,3,0.3,1.7933564893654796,36,1,1,1,0,0,1,0,1,1,0,2020,2021-2025,0,C539540C36B,C8AD5B453CC,2020,2026.0,6.0,0
ionic thermodiffusion (Soret effect),ionic-electronic coupling,transport_mechanism,transport_mechanism,0.5141816139221191,11,9,9,11,34,21,21,34,0.6176470588235294,22,7,29,5.333333333333333,1.3333333333333333,22,28,5,0.3333333333333333,2.5742802739472026,99,1,1,1,0,0,1,12,0,12,0,2021,2022-2026,1,C3002C089A5,CC3BA67827F,2021,2026.0,5.0,1
charge-transfer resistance engineering,ion-pairing and complexation,electrode_interface,solvation_entropy,0.22788813710212708,5,5,5,5,15,12,12,15,0.8,5,4,9,0.3333333333333333,-1.0,27,10,2,0.25,1.1112187656957617,25,1,1,0,0,0,1,7,3,10,1,2021,2022-2026,1,C45C8AAD12E,C46747A02A1,2021,2026.0,5.0,1
ion-pairing and complexation,interfacial charge transfer,solvation_entropy,electrode_interface,0.2749038338661194,5,4,4,5,12,15,12,15,0.8,4,4,8,-1.0,0.3333333333333333,10,28,2,0.2857142857142857,1.011206179810892,20,1,1,0,0,0,1,3,5,8,1,2021,2022-2026,1,C46747A02A1,CE4B0E242E7,2021,2026.0,5.0,1
ion diffusion,ionic-electronic coupling,transport_mechanism,transport_mechanism,0.768731951713562,12,9,9,12,15,21,15,21,0.7142857142857143,9,7,16,2.0,1.3333333333333333,22,28,6,0.4,3.1469936875408515,108,1,1,1,0,0,1,2,0,2,0,2021,2022-2026,1,C8AD5B453CC,CC3BA67827F,2021,2026.0,5.0,1
ionic-electronic coupling,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,0.3930237889289856,9,6,6,9,21,5,5,21,0.23809523809523808,7,4,11,1.3333333333333333,1.0,28,5,4,0.36363636363636365,1.8118671042605898,54,1,1,1,0,0,1,0,2,2,0,2021,2022-2026,1,CC3BA67827F,CFBB5A400A1,2021,2026.0,5.0,1
