active_mention_ids,aliases,claim_count,concept_id,decision_group,definition,domain,label,mention_ids,normalization_reason,normalization_status,paper_ids,roles,source_document_count
"[""iTE:P0391:humidity""]","[""Relative humidity: 15% versus 40%""]",1,iTE:C0031472c1535d7,,,iTE,Relative humidity: 15% versus 40%,"[""iTE:P0391:humidity""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0391""]","[""condition""]",1
"[""iTE:P1551:n16""]","[""Energy band gap""]",2,iTE:C003231e2d94c99,,,iTE,Energy band gap,"[""iTE:P1551:n16""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1551""]","[""quantity""]",1
"[""iTE:P1543:complete_v1_cr001_subject""]","[""beta/beta″-alumina""]",4,iTE:C0033a334039e32,,,iTE,beta/beta″-alumina,"[""iTE:P1543:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P1543""]","[""material_entity""]",1
"[""iTE:P1622:o""]","[""TiO2 reduced in argon–hydrogen mixture""]",1,iTE:C003aabd67b6825,,,iTE,TiO2 reduced in argon–hydrogen mixture,"[""iTE:P1622:o""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1622""]","[""material_entity""]",1
"[""iTE:P1547:n1""]","[""Ion-electron hybrid thermoelectric hydrogel fiber""]",3,iTE:C003bb798f359ca,,,iTE,Ion-electron hybrid thermoelectric hydrogel fiber,"[""iTE:P1547:n1""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1547""]","[""material_entity""]",1
"[""iTE:P1548:n12"",""iTE:P1747:lower"",""iTE:P1748:pressure""]","[""Decreasing oxygen partial pressure""]",5,iTE:C003bdbb02bbbe1,g0873,A reduction in the partial pressure of oxygen surrounding a material.,iTE,Decreasing oxygen partial pressure,"[""iTE:P1548:n12"",""iTE:P1747:lower"",""iTE:P1748:pressure""]",All specify the same directional environmental change; different ionic-transport and vacancy responses are its claim-specific consequences.,model_merged,"[""P1548"",""P1747"",""P1748""]","[""condition""]",3
"[""iTE:P0520:complete_v1_cr002_subject""]","[""Ionic liquid in CBCIG-Na ionogel""]",1,iTE:C003ca193fae11d,,,iTE,Ionic liquid in CBCIG-Na ionogel,"[""iTE:P0520:complete_v1_cr002_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0520""]","[""material_entity""]",1
"[""iTE:P0932:conductivity""]","[""Electrical conductivity increase from 3 to 1439 S cm-1""]",2,iTE:C003f3beb7d5ce4,,,iTE,Electrical conductivity increase from 3 to 1439 S cm-1,"[""iTE:P0932:conductivity""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0932""]","[""quantity""]",1
"[""iTE:P1766:temp""]","[""Temperature between 293 and 573 K""]",4,iTE:C003f42170558c5,,,iTE,Temperature between 293 and 573 K,"[""iTE:P1766:temp""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1766""]","[""condition""]",1
"[""iTE:P1286:d2""]","[""Purely ionic guest-cage interaction picture""]",1,iTE:C003f7573c996e7,,,iTE,Purely ionic guest-cage interaction picture,"[""iTE:P1286:d2""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1286""]","[""descriptor""]",1
"[""iTE:P0929:complete_v1_cr001_object""]","[""Transverse phonons""]",1,iTE:C00450083d0d1c6,,,iTE,Transverse phonons,"[""iTE:P0929:complete_v1_cr001_object""]",,new_singleton_no_exact_alias_candidate,"[""P0929""]","[""state_structure""]",1
"[""iTE:P1693:complete_v1_cr002_object""]","[""Chemical expansion versus oxygen nonstoichiometry delta""]",1,iTE:C00474c928c21f6,,,iTE,Chemical expansion versus oxygen nonstoichiometry delta,"[""iTE:P1693:complete_v1_cr002_object""]",,new_singleton_no_exact_alias_candidate,"[""P1693""]","[""quantity""]",1
"[""iTE:P1600:ort""]","[""Orthorhombic In2O3""]",3,iTE:C00479a93012d5b,,,iTE,Orthorhombic In2O3,"[""iTE:P1600:ort""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1600""]","[""material_entity""]",1
"[""iTE:P0713:potential""]","[""Ion-induced potential in electrodes""]",1,iTE:C004bbfb2e27b63,,,iTE,Ion-induced potential in electrodes,"[""iTE:P0713:potential""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0713""]","[""quantity""]",1
"[""iTE:P0568:complete_v1_cr001_subject""]","[""Adjustment of polymer-network interactions with electrolyte anions/cations""]",1,iTE:C004c2dd45b3289,,,iTE,Adjustment of polymer-network interactions with electrolyte anions/cations,"[""iTE:P0568:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0568""]","[""design_strategy""]",1
"[""iTE:P1172:complete_v1_cr002_subject""]","[""QTAIM implemented in Bader code""]",2,iTE:C004d5ca881c4f6,,,iTE,QTAIM implemented in Bader code,"[""iTE:P1172:complete_v1_cr002_subject""]",,new_singleton_no_exact_alias_candidate,"[""P1172""]","[""mechanism_process""]",1
"[""iTE:P1771:anh""]","[""Enhanced lattice anharmonicity""]",3,iTE:C0050720d464053,,,iTE,Enhanced lattice anharmonicity,"[""iTE:P1771:anh""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1771""]","[""state_structure""]",1
"[""iTE:P1873:struct""]","[""Cubic type-I clathrate structure, source space group 'Pm (3) over barn'""]",0,iTE:C00510c530a69ee,,,iTE,"Cubic type-I clathrate structure, source space group 'Pm (3) over barn'","[""iTE:P1873:struct""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,[],"[""state_structure""]",0
"[""iTE:P0706:fov""]","[""Field of view up to 135 degrees""]",1,iTE:C0051ec18c3b655,,,iTE,Field of view up to 135 degrees,"[""iTE:P0706:fov""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0706""]","[""performance_function""]",1
"[""iTE:P1930:ac""]","[""Interfacial Al–C bonding behavior""]",1,iTE:C005650e5cf0880,,,iTE,Interfacial Al–C bonding behavior,"[""iTE:P1930:ac""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1930""]","[""interaction""]",1
"[""iTE:P1304:gbr""]","[""Direct bandgap 2.80 eV""]",1,iTE:C00586bfd15dfbb,,,iTE,Direct bandgap 2.80 eV,"[""iTE:P1304:gbr""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1304""]","[""quantity""]",1
"[""iTE:P1556:complete_v1_cr004_object""]","[""Poor conductivity""]",1,iTE:C0060161c83a85c,,,iTE,Poor conductivity,"[""iTE:P1556:complete_v1_cr004_object""]",,new_singleton_no_exact_alias_candidate,"[""P1556""]","[""quantity""]",1
"[""iTE:P1281:nc""]","[""Nitrogen atomic concentration <1%""]",2,iTE:C006a62146ec2f8,,,iTE,Nitrogen atomic concentration <1%,"[""iTE:P1281:nc""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1281""]","[""quantity""]",1
"[""iTE:P0399:n3""]","[""Conductivity reaching 5.87 S m−1""]",1,iTE:C006c9e3c030fc6,,,iTE,Conductivity reaching 5.87 S m−1,"[""iTE:P0399:n3""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0399""]","[""quantity""]",1
"[""iTE:P0798:d1""]","[""appropriate violations of the Wiedemann–Franz law""]",1,iTE:C006cb667abceff,,,iTE,appropriate violations of the Wiedemann–Franz law,"[""iTE:P0798:d1""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0798""]","[""descriptor""]",1
"[""iTE:P0958:res""]","[""c-axis resistivity""]",1,iTE:C00777d1120d431,,,iTE,c-axis resistivity,"[""iTE:P0958:res""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0958""]","[""quantity""]",1
"[""iTE:P0875:n3""]","[""Mg3Sb2 interlayer bonds""]",2,iTE:C0078dc0e85ecfd,,,iTE,Mg3Sb2 interlayer bonds,"[""iTE:P0875:n3""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0875""]","[""interaction""]",1
"[""iTE:P0882:n1""]","[""One-pot polymerization of LA, HPC and AA""]",2,iTE:C007ba91a04e272,,,iTE,"One-pot polymerization of LA, HPC and AA","[""iTE:P0882:n1""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0882""]","[""design_strategy""]",1
"[""iTE:P1902:transport""]","[""Ion transport across the membrane""]",1,iTE:C007cbcc4a88982,,,iTE,Ion transport across the membrane,"[""iTE:P1902:transport""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1902""]","[""mechanism_process""]",1
"[""iTE:P0466:q3""]","[""PEDOT:PSS-Li:nFSI film maximum strain, epsilon(max)""]",2,iTE:C007f3924cc2b0e,,,iTE,"PEDOT:PSS-Li:nFSI film maximum strain, epsilon(max)","[""iTE:P0466:q3""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0466""]","[""quantity""]",1
"[""iTE:P0671:sb""]","[""Sb2Te3 nanoparticles""]",1,iTE:C008128e0b78a9e,,,iTE,Sb2Te3 nanoparticles,"[""iTE:P0671:sb""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0671""]","[""material_entity""]",1
"[""iTE:P1868:complete_v1_cr001_subject""]","[""CPV-LITE hybrid system""]",3,iTE:C008260fad67c14,,,iTE,CPV-LITE hybrid system,"[""iTE:P1868:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P1868""]","[""material_entity""]",1
"[""iTE:P1455:interactions""]","[""Defect interactions""]",2,iTE:C0082675cc7d7ec,,,iTE,Defect interactions,"[""iTE:P1455:interactions""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1455""]","[""interaction""]",1
"[""iTE:P0512:complete_v1_r013_object""]","[""Flexible wearable, extreme, and high-intensity scenarios""]",1,iTE:C00888f6af98a66,,,iTE,"Flexible wearable, extreme, and high-intensity scenarios","[""iTE:P0512:complete_v1_r013_object""]",,new_singleton_no_exact_alias_candidate,"[""P0512""]","[""application""]",1
"[""iTE:P0625:fast""]","[""Fast thermal diffusion of cations""]",3,iTE:C008d03df44ad36,,,iTE,Fast thermal diffusion of cations,"[""iTE:P0625:fast""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0625""]","[""mechanism_process""]",1
"[""iTE:P0676:stability""]","[""Good thermal and electrochemical stability, non-volatility and non-flammability""]",2,iTE:C008d24da0642d0,,,iTE,"Good thermal and electrochemical stability, non-volatility and non-flammability","[""iTE:P0676:stability""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0676""]","[""descriptor""]",1
"[""iTE:P1595:ld""]","[""Complex lattice dynamics""]",1,iTE:C008faaae039ca6,,,iTE,Complex lattice dynamics,"[""iTE:P1595:ld""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1595""]","[""mechanism_process""]",1
"[""iTE:P0484:vapor""]","[""F4TCNQ vapor doping of P3HT-b-POEM-LiTFSI thin films""]",2,iTE:C0094a10b64b9f1,,,iTE,F4TCNQ vapor doping of P3HT-b-POEM-LiTFSI thin films,"[""iTE:P0484:vapor""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0484""]","[""design_strategy""]",1
"[""iTE:P1214:n8""]","[""PbBi doping""]",2,iTE:C00980aef39d5cb,,,iTE,PbBi doping,"[""iTE:P1214:n8""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1214""]","[""design_strategy""]",1
"[""iTE:P1451:chains""]","[""Linear C16 carbon chains at N atoms""]",1,iTE:C00a409453ea5f8,,,iTE,Linear C16 carbon chains at N atoms,"[""iTE:P1451:chains""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1451""]","[""state_structure""]",1
"[""iTE:P0837:complete_v1_cr001_object""]","[""Multi-scenario thermal sensor applications""]",1,iTE:C00a96c8ca476cb,,,iTE,Multi-scenario thermal sensor applications,"[""iTE:P0837:complete_v1_cr001_object""]",,new_singleton_no_exact_alias_candidate,"[""P0837""]","[""application""]",1
"[""iTE:P1368:other""]","[""Output performance of other thermoelectric materials""]",1,iTE:C00ada0a1c1fbb8,,,iTE,Output performance of other thermoelectric materials,"[""iTE:P1368:other""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1368""]","[""performance_function""]",1
"[""iTE:P1045:complete_v1_cr001_subject""]","[""Cryoprotectant replacement method""]",2,iTE:C00b1f8aa6de2ed,,,iTE,Cryoprotectant replacement method,"[""iTE:P1045:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P1045""]","[""design_strategy""]",1
"[""iTE:P1718:cond""]","[""MOF conductivity""]",2,iTE:C00bbc17b431d49,,,iTE,MOF conductivity,"[""iTE:P1718:cond""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1718""]","[""quantity""]",1
"[""iTE:P1721:tough""]","[""Toughening modification""]",1,iTE:C00bedcfd9c528e,,,iTE,Toughening modification,"[""iTE:P1721:tough""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1721""]","[""performance_function""]",1
"[""iTE:P0836:harvest""]","[""Time-domain thermal energy harvesting""]",1,iTE:C00c2489364da14,,,iTE,Time-domain thermal energy harvesting,"[""iTE:P0836:harvest""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0836""]","[""application""]",1
"[""iTE:P1821:complete_v1_cr002_subject""]","[""Tolerance factor of Cs2ZTlI6 (Z = K, Rb)""]",1,iTE:C00c4b999a9ddbd,,,iTE,"Tolerance factor of Cs2ZTlI6 (Z = K, Rb)","[""iTE:P1821:complete_v1_cr002_subject""]",,new_singleton_no_exact_alias_candidate,"[""P1821""]","[""quantity""]",1
"[""iTE:P1280:four""]","[""Strong four-phonon interactions""]",2,iTE:C00c60cd3d2bedb,,,iTE,Strong four-phonon interactions,"[""iTE:P1280:four""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1280""]","[""interaction""]",1
"[""iTE:P0534:anh""]","[""High lattice anharmonicity""]",1,iTE:C00c7e3b8a60f05,,,iTE,High lattice anharmonicity,"[""iTE:P0534:anh""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0534""]","[""descriptor""]",1
"[""iTE:P1534:glassy""]","[""Glassy thermal conductivity in the halide perovskites""]",1,iTE:C00cb7c9918f246,,,iTE,Glassy thermal conductivity in the halide perovskites,"[""iTE:P1534:glassy""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1534""]","[""performance_function""]",1
"[""iTE:P0954:cell""]","[""Leakage-proof PCM container cell""]",1,iTE:C00cb7f19bbe24e,,,iTE,Leakage-proof PCM container cell,"[""iTE:P0954:cell""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0954""]","[""material_entity""]",1
"[""iTE:P1266:ionic""]","[""Coexisting ionic and covalent bonding characters""]",1,iTE:C00cbf64e2ba047,,,iTE,Coexisting ionic and covalent bonding characters,"[""iTE:P1266:ionic""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1266""]","[""interaction""]",1
"[""iTE:P1457:complete_v1_cr001_subject""]","[""Thermal gradients""]",1,iTE:C00cd9e773e672d,,,iTE,Thermal gradients,"[""iTE:P1457:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P1457""]","[""condition""]",1
"[""iTE:P0534:tt"",""iTE:P0872:n16"",""iTE:P1831:thermal""]","[""Thermal transport""]",3,iTE:C00d1243d449242,g0300,Transport of heat through a material or structure.,iTE,Thermal transport,"[""iTE:P0534:tt"",""iTE:P0872:n16"",""iTE:P1831:thermal""]","Each denotes heat transport itself, rather than its suppression or a particular transport mechanism; material and temperature contexts remain attached to the claims.",model_merged,"[""P0534"",""P0872"",""P1831""]","[""mechanism_process""]",3
"[""iTE:P0844:normal""]","[""Normal phase""]",1,iTE:C00d39b68a850df,g0410,The Na2MoO4 phase exhibiting mixed ionic-electronic conduction.,iTE,Normal phase of Na2MoO4,"[""iTE:P0844:normal""]",Shared mixed conduction does not establish identity with the alkali-vanadate phases.,model_kept_separate,"[""P0844""]","[""state_structure""]",1
"[""iTE:P0512:voc""]","[""Open-circuit voltage of 6.3 mV""]",1,iTE:C00d6c4f643f14c,,,iTE,Open-circuit voltage of 6.3 mV,"[""iTE:P0512:voc""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0512""]","[""quantity""]",1
"[""iTE:P0365:hb""]","[""Polymer-chain hydrogen bonding""]",1,iTE:C00d99e56596b5c,,,iTE,Polymer-chain hydrogen bonding,"[""iTE:P0365:hb""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0365""]","[""interaction""]",1
"[""iTE:P1785:m""]","[""Nanostructured FeCdS3 thin films on glass""]",2,iTE:C00da31457d4933,,,iTE,Nanostructured FeCdS3 thin films on glass,"[""iTE:P1785:m""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1785""]","[""material_entity""]",1
"[""iTE:P1007:volt""]","[""Voltage output up to 45 mV""]",1,iTE:C00da701e0d0501,,,iTE,Voltage output up to 45 mV,"[""iTE:P1007:volt""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1007""]","[""performance_function""]",1
"[""iTE:P1602:over""]","[""Excessive band-gap overestimation for Al2Fe3Si3 and β-FeSi2""]",2,iTE:C00dca1c8649a38,,,iTE,Excessive band-gap overestimation for Al2Fe3Si3 and β-FeSi2,"[""iTE:P1602:over""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1602""]","[""descriptor""]",1
"[""iTE:P1501:ic""]","[""Ionic compensation""]",1,iTE:C00dd0c303487ca,,,iTE,Ionic compensation,"[""iTE:P1501:ic""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1501""]","[""mechanism_process""]",1
"[""iTE:P1578:yb""]","[""Yb4Sb3""]",3,iTE:C00ddb75d981b6a,,,iTE,Yb4Sb3,"[""iTE:P1578:yb""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1578""]","[""material_entity""]",1
"[""iTE:P1024:species""]","[""Prepared polysulfide redox species""]",1,iTE:C00df07293ab278,,,iTE,Prepared polysulfide redox species,"[""iTE:P1024:species""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1024""]","[""material_entity""]",1
"[""iTE:P1868:complete_v1_cr001_object""]","[""Photovoltaic cells""]",1,iTE:C00e1059225b96f,,,iTE,Photovoltaic cells,"[""iTE:P1868:complete_v1_cr001_object""]",,new_singleton_no_exact_alias_candidate,"[""P1868""]","[""material_entity""]",1
"[""iTE:P1138:complete_v1_cr005_subject""]","[""Cu2Te sintered using spark plasma sintering""]",1,iTE:C00e1be374f20f0,,,iTE,Cu2Te sintered using spark plasma sintering,"[""iTE:P1138:complete_v1_cr005_subject""]",,new_singleton_no_exact_alias_candidate,"[""P1138""]","[""material_entity""]",1
"[""iTE:P0645:n2""]","[""Maintained thermal gradient with DC current through bar-shaped sample""]",1,iTE:C00e4e30d1b95ca,,,iTE,Maintained thermal gradient with DC current through bar-shaped sample,"[""iTE:P0645:n2""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0645""]","[""condition""]",1
"[""iTE:P1794:n13""]","[""Lithium transference number 0.43""]",1,iTE:C00e7a245fd73c7,,,iTE,Lithium transference number 0.43,"[""iTE:P1794:n13""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1794""]","[""quantity""]",1
"[""iTE:P1521:complete_v1_cr001_subject""]","[""Mixing separately calcined SLTO and BNT powders, pressing pellets and sintering""]",1,iTE:C00eb4a9ef9e7c0,,,iTE,"Mixing separately calcined SLTO and BNT powders, pressing pellets and sintering","[""iTE:P1521:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P1521""]","[""mechanism_process""]",1
"[""iTE:P1781:transition""]","[""n-type to p-type transition across δ = 0""]",1,iTE:C00ee71a1bc5eaf,,,iTE,n-type to p-type transition across δ = 0,"[""iTE:P1781:transition""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1781""]","[""state_structure""]",1
"[""iTE:P0858:preparation""]","[""Physical mixing of IL-containing SWCNT dispersion with PEDOT:PSS solution followed by vacuum filtration""]",1,iTE:C00ef484bd13233,,,iTE,Physical mixing of IL-containing SWCNT dispersion with PEDOT:PSS solution followed by vacuum filtration,"[""iTE:P0858:preparation""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0858""]","[""mechanism_process""]",1
"[""iTE:P1878:power""]","[""Normalized output power density of 3.99 mW m−2 K−2""]",1,iTE:C00f0d25269284c,,,iTE,Normalized output power density of 3.99 mW m−2 K−2,"[""iTE:P1878:power""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1878""]","[""quantity""]",1
"[""iTE:P1460:coulomb""]","[""Minimization of Coulomb energy""]",1,iTE:C00f41ebb11a1df,,,iTE,Minimization of Coulomb energy,"[""iTE:P1460:coulomb""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1460""]","[""design_strategy""]",1
"[""iTE:P1477:deep""]","[""Deep donor""]",1,iTE:C00f8bf9182981d,,,iTE,Deep donor,"[""iTE:P1477:deep""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1477""]","[""descriptor""]",1
