program_id,program_title_cn,prior_art_relation,TG_paper_id,TG_year,TG_title,TG_doi,TG_material,TG_mechanism,target_redox_family
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0275,2024,Significantly enhanced properties of micro-ionic thermocells through the microstructure interfacial effect,10.1039/d4ta03996c,micro-ionic thermocell with Fe(CN)6 4-/3- electrolyte and soft-lithography microstructures,"microstructure-electrolyte interfacial effects accelerate solvation entropy change, ion reaction, and mass transfer",ferri_ferrocyanide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0278,2023,Aqueous biphase-boosted liquid-state thermocell for continuous low-grade heat harvesting,10.1016/j.cej.2023.142018,aqueous biphasic K3/K4[Fe(CN)6] liquid thermocell with porous graphite felt electrode,"biphase solvent creates different electrode solvation environments and suppresses convection, improving Seebeck and reducing thermal conductivity",ferri_ferrocyanide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0303,2014,Design and optimization of thermo-electrochemical cells,10.1007/s10800-013-0638-y,COMSOL-modeled thermocells with 0.4 M potassium ferri/ferrocyanide electrolyte,"mass/heat transfer, fluid dynamics, electrokinetics, and natural convection determine optimal thermocell dimensions and series-stacking efficiency",ferri_ferrocyanide
PRG_4e691dc1cea3,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,related,P0314,2016,The study of electrical conductivity and diffusion behavior of water-based and ferro/ferricyanide-electrolyte-based alumina nanofluids,10.1016/j.jcis.2016.02.001,water-based alumina nanofluid mixed with potassium ferro/ferricyanide electrolyte and SDS,alumina nanofluid raises electrical conductivity and shear-induced diffusion while keeping thermal conductivity controlled for thermogalvanic use,ferri_ferrocyanide
PRG_3680dde71847,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,related,P0034,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,anionic polymer/hydroquinone-benzoquinone n-type thermogalvanic cell,"anionic polymer self-regulates pH and selectively transports HQ, shifting HQ/BQ equilibrium and creating high n-type thermopower",quinone_hydroquinone
PRG_3680dde71847,用 pH 响应两性离子凝胶放大并可逆切换 Q/HQ TG 极性,related,P0049,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,quinone/hydroquinone organic thermogalvanic cell with HCl and copper electrode,"HCl accelerates Q/HQ redox kinetics and induces thermogalvanic copper corrosion, synergistically boosting output",quinone_hydroquinone
PRG_08afbdcdbb17,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,related,P0034,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,anionic polymer/hydroquinone-benzoquinone n-type thermogalvanic cell,"anionic polymer self-regulates pH and selectively transports HQ, shifting HQ/BQ equilibrium and creating high n-type thermopower",quinone_hydroquinone
PRG_08afbdcdbb17,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,related,P0049,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,quinone/hydroquinone organic thermogalvanic cell with HCl and copper electrode,"HCl accelerates Q/HQ redox kinetics and induces thermogalvanic copper corrosion, synergistically boosting output",quinone_hydroquinone
PRG_08afbdcdbb17,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,source_coupled_benchmark,P0557,2023,Proton-Coupled Electron Transfer Aided Thermoelectric Energy Conversion and Storage,10.1002/anie.202307947,hydrogel with proton Soret effect and benzoquinone/hydroquinone redox couple,"proton thermodiffusion couples with proton-coupled electron transfer, boosting thermopower and enabling energy storage/continuous output",quinone_hydroquinone
PRG_55d2dd45b552,把 EHD 离子均匀化工艺扩展为 TG 凝胶的空间分区打印,direct,P0021,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,spatially separated redox gel layers maintain ion concentration gradients and boost thermogalvanic voltage/efficiency,ferri_ferrocyanide
PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct,P0027,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,GelMA thermogalvanic cells with GdmCl and Fe(CN)6 3-/4-,guanidinium-induced ferricyanide/ferrocyanide crystallization and hydrogel nanochannel control greatly increase Seebeck coefficient,ferri_ferrocyanide
PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,related,P0016,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,ferri_ferrocyanide
PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,related,P0048,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,10.1016/j.cej.2023.141274,bacterial cellulose thermogalvanic cell with Fe(CN)6 3-/4- and LiBr hygroscopic salt,bacterial cellulose confines redox ions and LiBr prevents drying/freezing for wide-temperature heat harvesting,ferri_ferrocyanide
PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,related,P0167,2024,Wearable Device with High Thermoelectric Performance and Long-Lasting Usability Based on Gel-Thermocells for Body Heat Harvesting,10.1002/smll.202401427,BC/PAA/guanidinium chloride deep-eutectic-solvent gel with Fe(ClO4)2/3 and K3/4Fe(CN)6 p/n thermocells,PAA-Fe3+ coordination and Gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance while BC network prolongs usability,ferri_ferrocyanide
PRG_17b64f2815f3,用 iTE 离子–电子耦合启发 Fe2+/Fe3+ TG 的局部混合导体电极,direct,P0014,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex,"PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",fe_ii_iii
PRG_cf22ac785fee,把 iTE 低凝固混合溶剂迁移到 Co 配合物准固态 TG,direct,P0065,2023,"High Seebeck coefficient thermogalvanic cells via the solvent-sensitive charge additivity of cobalt 1,8-diaminosarcophagine",10.1039/d2cc05413b,"cobalt(ii/iii) sarcophagine [Co(SARH2)]4+/5+ in water, DMSO, and ionic-liquid solvents","low-dielectric bulky solvents enable pendant amine charge-additivity with Co2+/3+ core, increasing redox entropy and Seebeck coefficient",cobalt_complex
PRG_cf22ac785fee,把 iTE 低凝固混合溶剂迁移到 Co 配合物准固态 TG,direct,P0288,2016,Enhanced thermal energy harvesting performance of a cobalt redox couple in ionic liquid-solvent mixtures,10.1039/c5cp04305k,cobalt bipyridyl redox couple in mixed MPN/[C2mim][B(CN)4] ionic-liquid/molecular solvent electrolyte,"mixed solvent improves ionic conductivity and diffusion of cobalt redox species, raising thermoelectrochemical power output",cobalt_complex
PRG_cf22ac785fee,把 iTE 低凝固混合溶剂迁移到 Co 配合物准固态 TG,direct,P0291,2018,Quasi-solid-State Electrolytes for Low-Grade Thermal Energy Harvesting using a Cobalt Redox Couple,10.1002/cssc.201800794,MPN cobalt bipyridyl redox electrolyte gelled with PVDF or PVDF-HFP,quasi-solid gel suppresses leakage while cobalt redox diffusivity/concentration and electrode spacing determine thermocell performance,cobalt_complex
PRG_cf22ac785fee,把 iTE 低凝固混合溶剂迁移到 Co 配合物准固态 TG,direct,P0306,2018,Flexible and non-volatile redox active quasi-solid state ionic liquid based electrolytes for thermal energy harvesting,10.1039/c8se00224j,[Co(bpy)3]2+/3+ in [C2mim][NTf2] ionic liquid gelled with PVDF or PVDF-HFP,polymer gelation creates flexible nonvolatile quasi-solid electrolytes while retaining high Seebeck coefficient and allowing thinner cells,cobalt_complex
PRG_cf22ac785fee,把 iTE 低凝固混合溶剂迁移到 Co 配合物准固态 TG,direct,P0307,2016,Temperature dependence of the electrode potential of a cobalt-based redox couple in ionic liquid electrolytes for thermal energy harvesting,10.1039/c5fd00238a,cobalt redox couple in multiple ionic liquids and propylene-carbonate-diluted ionic liquids,ionic-liquid identity controls redox thermodynamics/Seebeck coefficient; dilution improves output power and current density,cobalt_complex
PRG_e34db5baa25d,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct,P0022,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,10.1021/acsami.5c03375,"Cu/Cu(en)2 2+ redox couple with ethylenediamine, Cu electrode, (NH4)2SO4 electrolyte",Cu/en chelation reaction creates large entropy change for high n-type thermogalvanic temperature coefficient,copper
PRG_e34db5baa25d,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,related,P0257,2025,Giant and bidirectionally tunable ionic thermopower in Cu-based liquid flow thermocells enabled by solvation entropy for low-grade heat harvesting,10.1039/d5ta05193b,CuSO4/H2SO4 liquid-flow thermocell with Cu walls and foam Cu electrodes,Cu2+-H+/SO42- solvation entropy tuning enables n-p thermopower conversion and forced-flow power enhancement,copper
PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,direct,P0179,2022,High-thermopower polarized electrolytes enabled by methylcellulose for low-grade heat harvesting,10.1126/sciadv.abl5318,I-/I3- redox electrolyte with methylcellulose and KCl,thermoresponsive methylcellulose hydrophobic interaction with I3- switches polarization; gelation and KCl complexation enhance redox entropy/concentration difference,iodide_triiodide
PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,direct,P0299,2018,Thermo-electrochemical cells empowered by selective inclusion of redox-active ions by polysaccharides,10.1039/c7se00470b,I-/I3- thermo-electrochemical cells with starch or PVP polysaccharide/polymer hosts,selective polymer inclusion of I3- at cold side changes free triiodide concentration and increases Seebeck coefficient,iodide_triiodide
PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,related,P0093,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,I-/I3- thermogalvanic cell with PNIPAM thermosensitive nanogels,"PNIPAM nanogels selectively capture I3- at hot side and release at cold side, creating free-I3- concentration gradient and p-n Seebeck inversion",iodide_triiodide
PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,related,P0260,2025,In Situ Hofmeister Effect in Polymer Solution by Hydrophobic I3 - for Multifunctional Hydrogel,10.1021/acs.nanolett.5c04372,I2/I--generated hydrophobic I3- multifunctional hydrogel,"in situ Hofmeister effect from I3- rapidly forms reconstructable, self-healing, redox-active hydrogel for self-powered temperature/strain sensing",iodide_triiodide
PRG_4cca4840d8f1,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,related,P0283,2016,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,10.1021/jacs.6b04923,I-/I3- thermo-electrochemical cell with alpha-cyclodextrin host,temperature-dependent alpha-cyclodextrin-triiodide complexation creates redox-ion concentration gradient and enhanced Seebeck coefficient,iodide_triiodide
PRG_00699a1a9edc,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct,P0071,2023,p-n Conversion of Thermogalvanic Cells by Harnessing the Micellization of Thermoresponsive Diblock Copolymers,10.1021/acsaem.3c01907,I-/I3- thermogalvanic cell with thermoresponsive diblock copolymers,"anion-polymer interactions and thermally induced micellization redistribute ions, invert hot/cold redox reactions, and enable p-n conversion",iodide_triiodide
PRG_00699a1a9edc,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct,P0093,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,I-/I3- thermogalvanic cell with PNIPAM thermosensitive nanogels,"PNIPAM nanogels selectively capture I3- at hot side and release at cold side, creating free-I3- concentration gradient and p-n Seebeck inversion",iodide_triiodide
PRG_0f7a0b8392d8,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,direct,P0041,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,gold electrodes modified with (3-trimethylammonium bromide)thiopropane SAMs in K3/K4[Fe(CN)6] thermocells,electrostatically charged SAMs electrocatalyze ferri/ferrocyanide redox and suppress gold passivation,ferri_ferrocyanide
PRG_791da0044d52,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,direct,P0018,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,"ethanol modifies concentration gradient and solvation structure, raising temperature coefficient and extending low-temperature operating range",ferri_ferrocyanide
PRG_791da0044d52,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,direct,P0021,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,spatially separated redox gel layers maintain ion concentration gradients and boost thermogalvanic voltage/efficiency,ferri_ferrocyanide
PRG_791da0044d52,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,direct,P0145,2020,Giant thermopower of ionic gelatin near room temperature,10.1126/science.aaz5045,"gelatin ionic thermoelectric matrix with KCl, NaCl, KNO3, and [Fe(CN)6]4-/3-",synergistic thermodiffusion of salt ions and ferri/ferrocyanide thermogalvanic effect creates giant positive thermopower,ferri_ferrocyanide
PRG_791da0044d52,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,direct,P0180,2023,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,10.1016/j.mtsust.2022.100293,PAM/CMC double-network gel with Li2SO4 and [Fe(CN)6]4-/3-,Li2SO4 thermodiffusion and ferri/ferrocyanide thermogalvanic redox couple to produce high ionic Seebeck effect,ferri_ferrocyanide
PRG_791da0044d52,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,direct,P0270,2024,Strong concentration gradient effect and weak solvation effect in thermopower enhancement in K 3 Fe(CN) 6 / K 4 Fe(CN) 6 aqueous electrolyte with ethanol addition,10.1016/j.cej.2024.152806,K3/K4Fe(CN)6 aqueous electrolyte with ethanol addition,ethanol-induced thermosensitive K4Fe(CN)6 solubility creates large ferrocyanide concentration gradient and suppresses heat convection,ferri_ferrocyanide
PRG_a4dbfa46d1fd,正对照：把 iTE 的阴离子胶束固定迁移为 TG 中 I3− 的温敏捕获/释放,direct,P0071,2023,p-n Conversion of Thermogalvanic Cells by Harnessing the Micellization of Thermoresponsive Diblock Copolymers,10.1021/acsaem.3c01907,I-/I3- thermogalvanic cell with thermoresponsive diblock copolymers,"anion-polymer interactions and thermally induced micellization redistribute ions, invert hot/cold redox reactions, and enable p-n conversion",iodide_triiodide
PRG_a4dbfa46d1fd,正对照：把 iTE 的阴离子胶束固定迁移为 TG 中 I3− 的温敏捕获/释放,direct,P0093,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,I-/I3- thermogalvanic cell with PNIPAM thermosensitive nanogels,"PNIPAM nanogels selectively capture I3- at hot side and release at cold side, creating free-I3- concentration gradient and p-n Seebeck inversion",iodide_triiodide
PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,direct,P0283,2016,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,10.1021/jacs.6b04923,I-/I3- thermo-electrochemical cell with alpha-cyclodextrin host,temperature-dependent alpha-cyclodextrin-triiodide complexation creates redox-ion concentration gradient and enhanced Seebeck coefficient,iodide_triiodide
PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,related,P0093,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,I-/I3- thermogalvanic cell with PNIPAM thermosensitive nanogels,"PNIPAM nanogels selectively capture I3- at hot side and release at cold side, creating free-I3- concentration gradient and p-n Seebeck inversion",iodide_triiodide
PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,related,P0299,2018,Thermo-electrochemical cells empowered by selective inclusion of redox-active ions by polysaccharides,10.1039/c7se00470b,I-/I3- thermo-electrochemical cells with starch or PVP polysaccharide/polymer hosts,selective polymer inclusion of I3- at cold side changes free triiodide concentration and increases Seebeck coefficient,iodide_triiodide
PRG_be2befc69363,正对照：冠醚增强 K+ 热扩散，可与 ferri/ferrocyanide TG 电压叠加,direct,P0030,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6,"18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",ferri_ferrocyanide
PRG_99097fe0f5e3,正对照：热释电负责瞬态、TG 负责稳态的双时间尺度收能,direct,P0102,2018,Hybrid Photothermal Pyroelectric and Thermogalvanic Generator for Multisituation Low Grade Heat Harvesting,10.1002/aenm.201802397,carbon nanotube/cellulose nanocrystal photothermal nanocomposite with sponge-confined electrolyte hybrid pyroelectric/thermogalvanic generator,CNT/CNC photothermal/electrical conductivity and sponge heat localization enable simultaneous thermogalvanic and pyroelectric conversion across day/night conditions,unspecified_tg
PRG_99097fe0f5e3,正对照：热释电负责瞬态、TG 负责稳态的双时间尺度收能,related,P0050,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,EG/SA/LA composite heat-storage electrodes in solar thermogalvanic cells,photothermal/phase-change heat storage smooths solar fluctuations and sustains temperature difference for longer discharge,unspecified_tg
PRG_99097fe0f5e3,正对照：热释电负责瞬态、TG 负责稳态的双时间尺度收能,related,P0106,2019,All-Day Thermogalvanic Cells for Environmental Thermal Energy Harvesting,10.34133/2019/2460953,"PPy broadband absorber/radiator, thermogalvanic cell, and Cu foam/PEG1000 thermal storage material","integrated heating, radiative cooling, and thermal storage maintain day/night temperature differences for continuous thermogalvanic output",unspecified_tg
PRG_99097fe0f5e3,正对照：热释电负责瞬态、TG 负责稳态的双时间尺度收能,related,P0193,2023,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,10.1039/d2ta09385e,freeze-tolerant self-humidifying aqueous hydrogel electrolyte with low-concentration redox ions and Li+ hydration,Li+-water coordination and colligative effects suppress ice crystallization and preserve ion transport across wide temperatures,unspecified_tg
PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,direct,P0010,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,water evaporation-enhanced thermogalvanic cell electrolyte,"ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",unspecified_tg
PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,direct,P0058,2020,Thermogalvanic Hydrogel for Synchronous Evaporative Cooling and Low-Grade Heat Energy Harvesting,10.1021/acs.nanolett.0c00800,smart thermogalvanic hydrogel film with ions and water,"ions undergo thermogalvanic redox conversion while water evaporation removes heat, enabling simultaneous evaporative cooling and electricity generation",unspecified_tg
PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,related,P0136,2025,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,10.1021/acssuschemeng.4c10855,PVA photothermal hydrogel with Ti2O3 nanoparticles/CNTs and PVA thermoelectric gels soaked with K3/K4[Fe(CN)6],"photothermal hydrogel generates temperature gradient for solar evaporation, while ferri/ferrocyanide thermogalvanic gels generate electricity",ferri_ferrocyanide
PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,related,P0177,2023,Solar-driven watersteam/brine production and brine-driven electricity generation by photothermal fabric coupled with osmotic membrane,10.1016/j.nanoen.2023.108844,cotton-carbon photothermal fabric hanging evaporator with cation-exchange membrane and Ag/AgCl osmotic generator,"solar evaporation concentrates brine, and salinity gradient across membrane produces electricity via osmotic ion transport",unspecified_tg
PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,related,P0181,2020,"Modular Deformable Steam Electricity Cogeneration System with Photothermal, Water, and Electrochemical Tunable Multilayers",10.1002/adfm.202002867,hydrogel/metal-oxide/polymer multilayer photothermal evaporator/thermogalvanic cell,"multilayer optical, water, thermal, and electrochemical management suppresses heat loss and couples solar steam generation with thermogalvanic power",unspecified_tg
PRG_086c824d735e,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,related,P0198,2021,Simultaneous Solar Steam and Electricity Generation from Synergistic Salinity-Temperature Gradient,10.1002/aenm.202100481,solar interfacial evaporation system coupled with thermogalvanic cell and reverse electrodialysis,temperature and salinity gradients mutually enhance ion transport across TGC/RED composite electrodes for steam-electric cogeneration,unspecified_tg
