paper_id,source_membership,source_records,year,title,journal,doi,abstract,material_raw,mechanism_raw,extracted_claim_count,eligible_claim_count,mapped_claim_count,mapped_program_count,mapped_program_ids,in_analysis_window,coverage_status
P0078,iTE|TG,TG_0077|iTE2_0145,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2025.239060,"Thermogalvanic cells provide an efficient pathway for converting low-grade heat into electricity. Their performance is governed by the Seebeck coefficient, which dictates voltage output and thermoelectric efficiency. Previous efforts to enhance the Seebeck coefficient have focused on entropy contributions from solvent-induced solvation effects, while the impact of configurational entropy in quasi-solid-state networks has received limited attention. Here, we demonstrate that configurational entropy serves as an additional factor modulating the thermoelectric behavior of thermogalvanic hydrogels. Using the PVA hydrogel incorporating the Fe2+/Fe3+ redox couple as a model system, we elucidate how constrained polymer networks alter redox thermodynamics. When a Fe2+/Fe3+ concentration of 0.1 mol L-1, the Seebeck coefficient in the hydrogel reaches 1.32 mV K-1, significantly higher than that in aqueous solution (0.75 mV K-1). Complementary molecular dynamics simula-tions further demonstrate that hydrogel chains disturb the first solvation shell, broaden the radial distribution of coordinating water molecules, and increase dipole orientation disorder, thereby amplifying the configurational disparity between oxidized and reduced species. This leads to an enhanced role of configurational entropy in the ionic migration entropy. Our findings therefore highlight rational design ideas for optimizing high-performance quasi-solid-state thermogalvanic cells by quantifying the actual contribution of configurational entropy in the nano-network structure.",PVA hydrogel incorporating Fe2+/Fe3+ redox couple,constrained PVA network perturbs Fe2+/Fe3+ solvation shells and increases configurational entropy contribution to ionic migration entropy,0,0,0,0,,False,outside_analysis_freeze_window
P0079,iTE|TG,TG_0078|iTE1_0936,2026,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,ACS APPLIED ENERGY MATERIALS,10.1021/acsaem.6c01130,"The Seebeck coefficients of thermogalvanic (ionic thermoelectric) materials are several orders of magnitude greater than those of conventional thermoelectrics, making them highly suitable for sensing applications besides power generation. In this study, a ferri-/ferrocyanide thermogalvanic gel with a Seebeck coefficient of 1.3 mV K-1 was used to fabricate a heat flux sensor with fivefold higher sensitivity than the commercial FHF05 sensor. This device detected a human finger at distances of up to 8 cm using thermal radiation, a capability particularly relevant to human safety in collaborative robot environments. Coupled radiation-natural convection simulations in COMSOL closely matched experimental data, validating the proposed sensing mechanism. The high Seebeck coefficient of the material enabled sensitive heat-flux transduction, extending its functionality beyond single-point detection to spatially resolved thermal mapping. Capitalizing on this advantage, 16 gels were integrated into a compact 3 cm-scale 4 & times; 4 sensor array. Upon human finger contact, the array generated a heat flux map capturing both the intensity and spatial distribution of the thermal input. Overall, this capability allows the identification of nonuniform heat flux and enhances radiation detection.",ferri/ferrocyanide thermogalvanic gel heat-flux sensor array,high Seebeck ferri/ferrocyanide gel transduces heat flux/radiative thermal input into voltage maps for spatial sensing,0,0,0,0,,False,outside_analysis_freeze_window
P0080,iTE|TG,TG_0079|iTE1_0645,2026,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2026.175294,"Despite the significant demand for harvesting low-grade thermal energy and providing timely fire warning, conventional thermoelectric materials face limitations in efficiency, stability, and multifunctionality. Moreover, the advancement of ionic p-n junction devices is impeded by the scarcity of high-performance n-type ionic hydrogels. Herein, we present a flame-retardant n-type ionic thermoelectric hydrogel (RTIG) that synergistically combines thermodiffusion and thermogalvanic effect to achieve self-signaled fire warning alongside enhanced heat harvesting. Fabricated via UV-polymerization in a BmimH2PO4/water solvent followed by FeCl3/FeCl2 impregnation, RTIG demonstrated robust mechanical flexibility (1389% elongation, 0.48 MPa strength) and high ionic conductivity (0.3 S m- 1). The synergistic interplay of ion thermodiffusion (Bmim+/H2PO4- ) and thermogalvanic effect (Fe2+/Fe3+) yielded a high n-type Seebeck coefficient of -6.50 mV center dot K- 1, enabling efficient heatto-electric conversion (76.1 mV, 144.3 nW at Delta T = 12 K). Remarkably, RTIG enabled self-signaled fire alarm activation within 2 s triggered by a rapid voltage surge (74.65 mV) and exhibited exceptional flame retardancy (LOI = 59%, 26.5% reduction of PHRR) attributed to phosphorus-iron synergistic char formation. Additionally, it functioned as a stable supercapacitor (52.4 F center dot g- 1). This work provides a versatile multifunctional platform for next-generation wearable and Internet-of-Things applications.",flame-retardant BmimH2PO4/water ionic hydrogel impregnated with FeCl3/FeCl2,Bmim+/H2PO4- thermodiffusion and Fe2+/Fe3+ thermogalvanic effect synergistically produce n-type voltage; phosphorus-iron char formation gives fire warning/flame retardancy,0,0,0,0,,False,outside_analysis_freeze_window
P0082,iTE|TG,TG_0081|iTE2_0191,2026,Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2026.178230,"Next-generation human-machine interfaces require energy-sustainable and highly responsive sensing systems. However, most wearable sensors rely on external power supplies and complex signal processing, limiting longterm stability and portability. Here, we propose a self-powered thermogalvanic hydrogel wristband that simultaneously harvests energy from the body-ambient temperature gradient and transduces mechanical deformation into readable electrical signals. The wristband integrates six dual-layer hydrogel patches, each exhibiting high extensibility (534.5%), adaptable modulus (638 kPa), lightweight portability, tunable ionic conductivity, and anti-drying stability for prolonged use. Enhanced sensing is achieved through thermoelectric-mechanical coupling governed by interfacial resistance gating, wherein deformation reduces the resistance barrier and enhances the intrinsic thermoelectric current. This coupling ensures high sensitivity with a response time of merely 40 ms. By integrating deep learning algorithms, the wristband achieves real-time sign language recognition and object authentication with an accuracy exceeding 95%. This work introduces a hybrid strategy for intelligent motion recognition, providing a new insight for sustainable wearable human-machine interaction.",dual-layer self-powered thermogalvanic hydrogel wristband patches,body-ambient thermogalvanic harvesting couples with deformation-reduced interfacial resistance gating to amplify mechanical sensing current,0,0,0,0,,False,outside_analysis_freeze_window
P0090,iTE|TG,TG_0089|iTE2_0315,2018,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,NATURE COMMUNICATIONS,10.1038/s41467-018-07625-9,"Thermogalvanic cells offer a cheap, flexible and scalable route for directly converting heat into electricity. However, achieving a high output voltage and power performance simultaneously from low-grade thermal energy remains challenging. Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers. The corresponding Seebeck coefficient and temperature-insensitive power density simultaneously increase from 1.4 to 4.2 mV K-1 and from 0.4 to 1.1 mW K-2 m(-2), respectively. The results reveal that guanidinium and urea synergistically enlarge the entropy difference of the redox couple and significantly increase the Seebeck effect. As a demonstration, we design a prototype module that generates a high open-circuit voltage of 3.4 V at a small temperature difference of 18 K. This thermogalvanic cell system, which features high Seebeck coefficient and low cost, holds promise for the efficient harvest of low-grade thermal energy.",aqueous ferri/ferrocyanide electrolyte with guanidinium and urea additives,guanidinium chaotropic cations and urea amide derivatives synergistically enlarge redox entropy difference and boost Seebeck coefficient,0,0,0,0,,True,no_claim_unit_extracted
P0096,iTE|TG,TG_0095|iTE1_0311,2022,Quasi-solid n-type thermogalvanic thermocells with enhanced ionic conductivity for continuous low-grade heat harvesting,APPLIED PHYSICS LETTERS,10.1063/5.0120728,"Quasi-solid thermocells show great potential to save power terminals from periodic charging but still face the grand challenge of low thermoelectric efficiency. Despite many efforts devoted to improve thermopower, few studies have been reported to address the trade-off between thermopower and ionic conductivity encountered by n-type quasi-solid thermocells. Herein, a directional freeze-thawing method is developed to fabricate high-performance n-type quasi-solid thermocells with hierarchically anisotropic networks, enabling the decoupling of thermopower and ionic conductivity. The n-type thermopower is up to 0.74 mV/K, and the ionic conductivity is independently improved to be about 9.3 S/m. Thus, the output power density reaches similar to 200 mW/m(2), which is the same level among the quasi-solid n-type thermocells. Meanwhile, benefiting from the crystalline domains and alignment structures of the solid network, the thermocells achieve the strength of similar to 380 kPa and an elongation at break of similar to 320%. Moreover, the thermocells work stably when being pressed, bent, and stretched in practical uses. We believe this work not only demonstrates a particularly important example for fabricating high-performance n-type quasi-solid thermocells but also inspires the development of thermocell devices to achieve large-scale low-grade heat harvesting in wearable systems. Published under an exclusive license by AIP Publishing.",n-type quasi-solid thermocells with hierarchically anisotropic networks from directional freeze-thawing,"aligned crystalline network decouples n-type thermopower and ionic conductivity, improving power while maintaining mechanical stability",0,0,0,0,,True,no_claim_unit_extracted
P0101,iTE|TG,TG_0100|iTE2_0632,2021,Thermogalvanic energy harvesting from forced convection cooling of 100-200 °C surfaces generating high power density,SUSTAINABLE ENERGY & FUELS,10.1039/d1se01264a,"Electrical power recovery from waste heat released during active cooling of 100-200 degrees C solids is of great importance because such situations are common in our world. However, the concept of simultaneous liquid cooling and electric power generation has been barely explored, apart from a few preliminary studies that showed power generation densities of only 0.05-0.5 W m(-2). Here, we report a realistically useful power generation density of 10 W m(-2) during liquid forced convection cooling of a 170 degrees C surface, thus demonstrating the feasibility of such a concept, based on thermogalvanic conversion with a redox couple. This was achieved by exploiting the fluid dynamics based on a microchannel concept, where a thin thermal boundary layer is formed on the hot surface, enabling both high cooling efficiency and large interelectrode temperature difference (>100 K). A new gamma-butyrolactone-based high density electrolyte with sufficient stability against flame contact was used. Our combined cooling and thermogalvanic cell was able to continuously light LEDs and run air fans despite the small electrode area. Large values of heat transfer coefficient, up to 1160 W m(-2) K-1, were achieved. At all flow rates tested, the electrical power obtained was 10 to 1000 times larger than the hydrodynamic pumping work required to force the liquid through the cell, that is, gain >> 1. Thus, this technological concept has been shown, for the first time, to be a feasible option to recover electrical power from the waste heat released during cooling of 100-200 degrees C surfaces, which are widespread in our world.",gamma-butyrolactone-based high-density thermogalvanic electrolyte in microchannel forced-convection cooling cell,"microchannel flow forms thin thermal boundary layer on hot surface, maintaining large interelectrode temperature difference for redox thermogalvanic power during cooling",0,0,0,0,,True,no_claim_unit_extracted
P0113,iTE|TG,TG_0112|iTE2_0270,2017,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c7ta04891b,"The interest in thermogalvanic cells (TGCs) has grown because it is a candidate technology for harvesting electricity from natural and waste heat. However, the cost of TGCs has a major component due to the use of the platinum electrode. Here, we investigate new alternative electrode material based on conducting polymers, more especially poly(3,4-ethylenedioxythiophene)-to sylate (PEDOT-Tos) together with the ferro/ferricyanide redox electrolyte. The power generated by the PEDOT-Tos based TGCs increases with the conducting polymer thickness/multilayer and reaches values similar to the flat platinum electrode based TGCs. The physics and chemistry behind this exciting result as well as the identification of the limiting phenomena are investigated by various electrochemical techniques. Furthermore, a preliminary study is provided for the stability of the PEDOT-Tos based TGCs.",PEDOT-Tos conducting polymer electrodes with ferro/ferricyanide redox electrolyte,increased PEDOT-Tos thickness/multilayers improve electrode kinetics and approach platinum-like thermogalvanic power output,0,0,0,0,,True,no_claim_unit_extracted
P0115,iTE|TG,TG_0114|iTE2_0439,2018,Multi-cell thermogalvanic systems for harvesting energy from cyclic temperature changes,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2018.07.080,"Two types of electrochemical systems for harvesting energy from cyclic changes in environmental temperature using the thermogalvanic effect are demonstrated. Both systems are based on two battery stacks which function in either a dual-temperature or single-temperature configuration. In the dual-temperature configuration, two LiCoO2/Li cells were separately cycled between two temperatures to achieve an energy conversion with an efficiency of 0.22%, free of heat recuperation, and a peak output power of 0.4 mu W when cycled between 20 degrees C and 50 degrees C. This energy conversion efficiency is comparable to other proposed systems for thermal energy harvesting such as charge-free thermally regenerative electrochemical cycle (TREC) devices, thermocapacitive devices and ionic thermoelectric supercapacitors. However, this system can function with a broader range of materials, which will likely allow further increases in efficiency and power. A single-temperature configuration in which two stacks of cells were cycled together between two temperatures was also demonstrated. Both systems are attractive for harvesting thermal energy for self-powered sensor networks, especially in remote areas.",LiCoO2/Li battery stacks in dual-temperature and single-temperature thermogalvanic systems,cyclic temperature changes charge/discharge lithium electrochemical stacks through temperature-dependent equilibrium potentials,0,0,0,0,,True,no_claim_unit_extracted
P0136,iTE|TG,TG_0135|iTE1_0634,2025,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,10.1021/acssuschemeng.4c10855,"This work addresses the dual challenges of seawater purification and converting low-grade waste heat into electricity, both of which are crucial for sustainable resource management. It presents a combined approach that solves both problems using a self-fabricated device. The device generates a temperature gradient through efficient photothermal conversion by placing thermoelectric hydrogels on top of a photothermal hydrogel. Poly(vinyl alcohol) (PVA) is used as the matrix for the photothermal hydrogel and was selected for its biocompatibility and ease of processing. In order to enhance both the solar-driven water evaporation and photothermal conversion efficiency, ball-milled dititanium trioxide (Ti2O3) nanoparticles and carbon nanotubes (CNTs) are incorporated within the PVA matrix. This approach enables a water evaporation rate as high as 3.22 kg m-2 h-1. Additionally, PVA also serves as the matrix for thermoelectric gels, which are soaked with a K3[Fe(CN)6]/K4[Fe(CN)6] redox pair solution to exploit the thermogalvanic acid (TGC) effect. This arrangement enables voltage generation through redox reactions at the hot and cold ends. The obtained excellent thermoelectric properties can be characterized by the ionic Seebeck coefficient (S i ) of 1.48 mV K-1 and a power density of 9.6 mW m-2 after nine thermoelectric hydrogels were connected in series. As a result, this dual-functional device simultaneously and effectively purifies seawater and generates electricity. Outdoor testing shows a daily water production of 9.2 kg m-2 and a stable voltage generation of 130 mV from the thermoelectric hydrogels. This approach advances water purification and energy generation technologies and opens new avenues for innovative applications in renewable energy.",PVA photothermal hydrogel with Ti2O3 nanoparticles/CNTs and PVA thermoelectric gels soaked with K3/K4[Fe(CN)6],"photothermal hydrogel generates temperature gradient for solar evaporation, while ferri/ferrocyanide thermogalvanic gels generate electricity",0,0,0,0,,True,no_claim_unit_extracted
