concept_id,domain,label,definition,aliases,roles,mention_ids,normalization_status,decision_group,normalization_reason,claim_count,paper_ids,source_document_count
TG:C027637d2d8338d,TG,Improved wearing comfort,,"[""Improved wearing comfort""]","[""performance_function""]","[""TG:P0074:comfort""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0074""]",1
TG:C027e1355d61d7c,TG,Integrative multilayer photothermal evaporator/thermogalvanic cell,,"[""Integrative multilayer photothermal evaporator/thermogalvanic cell""]","[""material_entity""]","[""TG:P0181:cell""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,12,"[""P0181""]",1
TG:C02853f13bcefdc,TG,NCM temperature-sensitivity exponent b = 9.77,,"[""NCM temperature-sensitivity exponent b = 9.77""]","[""quantity""]","[""TG:P0256:nb""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0256""]",1
TG:C02aeebe909b72a,TG,3 & times; 3 sensor array,,"[""3 & times; 3 sensor array""]","[""material_entity""]","[""TG:P0084:array""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0084""]",1
TG:C02aeff3af1f54f,TG,Maximum power density of 4.2 mW m−2,,"[""Maximum power density of 4.2 mW m−2""]","[""performance_function""]","[""TG:P0175:n10""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0175""]",1
TG:C02af288c910118,TG,Rapid response to a small body–ambient temperature difference,,"[""Rapid response to a small body–ambient temperature difference""]","[""performance_function""]","[""TG:P0154:response""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0154""]",1
TG:C02d096350c4b26,TG,Platinum electrodes,,"[""Platinum electrodes""]","[""material_entity""]","[""TG:P0133:electrodes""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0133""]",1
TG:C02edef13e67120,TG,Electrocatalysis of hosted redox couples,,"[""Electrocatalysis of hosted redox couples""]","[""mechanism_process""]","[""TG:P0095:f""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0095""]",1
TG:C02fa986551c0ca,TG,Swelling rate of 571%,,"[""Swelling rate of 571%""]","[""quantity""]","[""TG:P0252:swell""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0252""]",1
TG:C03169ce0901d61,TG,Direct waste-heat-to-electricity conversion,,"[""Direct waste-heat-to-electricity conversion""]","[""performance_function""]","[""TG:P0210:conversion""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0210""]",1
TG:C031d1223937be5,TG,Dual-temperature two-stack thermogalvanic system,,"[""Dual-temperature two-stack thermogalvanic system""]","[""material_entity""]","[""TG:P0115:n1""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,6,"[""P0115""]",1
TG:C031dd66b8eb13e,TG,MXene nanosheet restacking,,"[""MXene nanosheet restacking""]","[""mechanism_process""]","[""TG:P0135:restacking""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0135""]",1
TG:C0325b0d52c886a,TG,Stretchable self-powered thermogalvanic hydrogel sensor,,"[""Stretchable self-powered thermogalvanic hydrogel sensor""]","[""material_entity""]","[""TG:P0075:sensor""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,4,"[""P0075""]",1
TG:C032d6b395361b7,TG,Carbonization temperature,,"[""Carbonization temperature""]","[""condition""]","[""TG:P0286:temp""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0286""]",1
TG:C033e26eda094f6,TG,Output voltage of 3.5 V,,"[""Output voltage of 3.5 V""]","[""performance_function""]","[""TG:P0144:voltage""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0144""]",1
TG:C03527fdb38f11b,TG,Ionically stabilized magnetic nanoparticles dispersed in aqueous potassium ferro-/ferricyanide electrolyte,,"[""Ionically stabilized magnetic nanoparticles dispersed in aqueous potassium ferro-/ferricyanide electrolyte""]","[""material_entity""]","[""TG:P0215:suspension""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0215""]",1
TG:C0358325a4ef5b8,TG,ML-assisted self-powered Morse-code communication system,,"[""ML-assisted self-powered Morse-code communication system""]","[""material_entity""]","[""TG:P0142:system""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0142""]",1
TG:C0377405e28ea54,TG,Increasing pH,,"[""Increasing pH""]","[""condition""]","[""TG:P0326:ph""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0326""]",1
TG:C039026e1d8dc43,TG,Potential: 121 mV,,"[""Potential: 121 mV""]","[""performance_function""]","[""TG:P0022:pv""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0022""]",1
TG:C03996e7adc2646,TG,Values obtained for Zn\ZnCl2 thermogalvanic cells,,"[""Values obtained for Zn\\ZnCl2 thermogalvanic cells""]","[""quantity""]","[""TG:P0333:znvalue""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0333""]",1
TG:C039b7453788065,TG,Peak output power 0.4 μW,,"[""Peak output power 0.4 μW""]","[""performance_function""]","[""TG:P0115:n6""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0115""]",1
TG:C039d20d4b16ab9,TG,Weak thermogalvanic-coefficient dependence on lithiation state,,"[""Weak thermogalvanic-coefficient dependence on lithiation state""]","[""descriptor""]","[""TG:P0089:c""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0089""]",1
TG:C03a201b86b7dba,TG,Light intensity monitoring platform,,"[""Light intensity monitoring platform""]","[""material_entity""]","[""TG:P0069:platform""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0069""]",1
TG:C03aa3a88acff00,TG,Thermal boundary layers at the electrolyte interface,,"[""Thermal boundary layers at the electrolyte interface""]","[""state_structure""]","[""TG:P0133:layers""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0133""]",1
TG:C03c2f0d36f084f,TG,Precise pressure-magnitude detection,,"[""Precise pressure-magnitude detection""]","[""performance_function""]","[""TG:P0084:magnitude""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0084""]",1
TG:C03d108deef061d,TG,Ion-exchange membrane,Ion-exchange membrane separating electrode regions and preventing passage of the [Fe(CN)6]3-/[Fe(CN)6]4- redox couple.,"[""Ion-exchange membrane""]","[""material_entity""]","[""TG:P0331:mem"",""TG:P0332:mem""]",model_merged,g0101,Both labels denote the same membrane class with matching separation and redox-exclusion properties. No specific membrane composition or sample identity is asserted.,4,"[""P0331"",""P0332""]",2
TG:C03e4390411caf2,TG,Contact-object discrimination,,"[""Contact-object discrimination""]","[""performance_function""]","[""TG:P0158:recognition""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0158""]",1
TG:C0418882b99a698,TG,Power declining to 2.38 mW/m2,,"[""Power declining to 2.38 mW/m2""]","[""performance_function""]","[""TG:P0086:f""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0086""]",1
TG:C041aa1729b7d32,TG,Fe2O3,,"[""Fe2O3""]","[""material_entity""]","[""TG:P0326:fe23""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0326""]",1
TG:C042ee0f9c0ca68,TG,Configurable on-demand/point-of-use tandem structure,,"[""Configurable on-demand/point-of-use tandem structure""]","[""design_strategy""]","[""TG:P0181:tandem""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0181""]",1
TG:C044d400a0812c2,TG,Coupled iodide/triiodide redox and stainless steel corrosion system,,"[""Coupled iodide/triiodide redox and stainless steel corrosion system""]","[""material_entity""]","[""TG:P0119:n9""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0119""]",1
TG:C0460dd66c97e09,TG,NIR-photothermal conversion,,"[""NIR-photothermal conversion""]","[""performance_function""]","[""TG:P0225:b""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0225""]",1
TG:C0460fbf8fdadac,TG,Electrode array–thermogalvanic hydrogel–electrode array sandwich,,"[""Electrode array–thermogalvanic hydrogel–electrode array sandwich""]","[""state_structure""]","[""TG:P0158:sandwich""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0158""]",1
TG:C048f16aa20ad4e,TG,Mandarin peel-derived electrodes carbonized at 800 ?,,"[""Mandarin peel-derived electrodes carbonized at 800 ?""]","[""material_entity""]","[""TG:P0286:e800""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,5,"[""P0286""]",1
TG:C049b25c9b45382,TG,Giant thermopowers,,"[""Giant thermopowers""]","[""performance_function""]","[""TG:P0179:n12""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0179""]",1
TG:C04a74602e1a197,TG,Aqueous ammonium iron(II/III) sulphate,,"[""Aqueous ammonium iron(II/III) sulphate""]","[""material_entity""]","[""TG:P0104:n1""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0104""]",1
TG:C04ab04a9522237,TG,Solvent composition,,"[""Solvent composition""]","[""condition""]","[""TG:P0245:comp""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0245""]",1
TG:C04c6fe52a38f7d,TG,Solvation structures,,"[""Solvation structures""]","[""state_structure""]","[""TG:P0273:solv""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0273""]",1
TG:C04d690e1658817,TG,Thermal-to-electrical energy conversion,,"[""Thermal-to-electrical energy conversion""]","[""performance_function""]","[""TG:P0120:n10""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0120""]",1
TG:C04e69faa006026,TG,Flexible polymer tube casing,,"[""Flexible polymer tube casing""]","[""material_entity""]","[""TG:P0117:n7""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0117""]",1
TG:C04f9a3f9cc83ae,TG,Temperature coefficient of 1.45 mV/K,,"[""Temperature coefficient of 1.45 mV/K""]","[""quantity""]","[""TG:P0280:s145""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0280""]",1
TG:C04fab5beb6d440,TG,Room-temperature prototyping at approximately 25 °C,,"[""Room-temperature prototyping at approximately 25 °C""]","[""performance_function""]","[""TG:P0033:room""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0033""]",1
TG:C054e291c4b07e6,TG,Thermogalvanic voltage (TGV),,"[""Thermogalvanic voltage (TGV)""]","[""quantity""]","[""TG:P0228:d""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0228""]",1
TG:C0558aa4ffc8e85,TG,Excellent non-drying performance,,"[""Excellent non-drying performance""]","[""performance_function""]","[""TG:P0004:dry""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0004""]",1
TG:C055b8ea94812b2,TG,Liquid thermoelectric material Seebeck coefficient,,"[""Liquid thermoelectric material Seebeck coefficient""]","[""quantity""]","[""TG:P0215:seebeck""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0215""]",1
TG:C056a9e35873dcf,TG,Electrode-electrolyte interactions,,"[""Electrode-electrolyte interactions""]","[""interaction""]","[""TG:P0141:interface""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0141""]",1
TG:C05750d7a86c751,TG,"Integrated self-powered extraction, multimodal detection and biomarker-responsive therapy",,"[""Integrated self-powered extraction, multimodal detection and biomarker-responsive therapy""]","[""performance_function""]","[""TG:P0087:b""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0087""]",1
TG:C05811dd4f357f7,TG,Stable long-term output,,"[""Stable long-term output""]","[""performance_function""]","[""TG:P0267:stable""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0267""]",1
TG:C058f1be2e8273c,TG,Conversion efficiency of 19.3%,,"[""Conversion efficiency of 19.3%""]","[""performance_function""]","[""TG:P0302:n10""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0302""]",1
TG:C05c2b9735173c3,TG,Highest competitiveness under green and economic considerations,,"[""Highest competitiveness under green and economic considerations""]","[""performance_function""]","[""TG:P0104:n14""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0104""]",1
TG:C05c7af2a6fda32,TG,Impedance,,"[""Impedance""]","[""quantity""]","[""TG:P0171:n21""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0171""]",1
TG:C060737eb171924,TG,Methylcellulose-containing polarized electrolyte in p-type state,,"[""Methylcellulose-containing polarized electrolyte in p-type state""]","[""material_entity""]","[""TG:P0179:n2""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0179""]",1
TG:C0608cd71c3db1a,TG,Structural disorder,,"[""Structural disorder""]","[""state_structure""]","[""TG:P0262:disorder""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0262""]",1
TG:C0612501c881471,TG,Self-powered body temperature monitoring patch,,"[""Self-powered body temperature monitoring patch""]","[""material_entity""]","[""TG:P0064:patch""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0064""]",1
TG:C062dad12a19eba,TG,Hydrogen yield of 0.5 mmol,,"[""Hydrogen yield of 0.5 mmol""]","[""quantity""]","[""TG:P0009:hamount""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0009""]",1
TG:C06488637a52791,TG,Li2SO4 ion thermodiffusion effect,,"[""Li2SO4 ion thermodiffusion effect""]","[""mechanism_process""]","[""TG:P0180:n5""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0180""]",1
TG:C068229e5fd6e18,TG,Incorporating angular-velocity dependence of diffusion layer thickness,,"[""Incorporating angular-velocity dependence of diffusion layer thickness""]","[""design_strategy""]","[""TG:P0253:model""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0253""]",1
TG:C069315e7999ebf,TG,Cathodic processes,,"[""Cathodic processes""]","[""mechanism_process""]","[""TG:P0131:n4""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0131""]",1
TG:C0699227274a192,TG,Reduced hydrogel thickness,,"[""Reduced hydrogel thickness""]","[""design_strategy""]","[""TG:P0158:thin""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0158""]",1
TG:C069db194f0a2bd,TG,Excellent stability over more than 50 charge-discharge cycles,,"[""Excellent stability over more than 50 charge-discharge cycles""]","[""performance_function""]","[""TG:P0014:stable""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0014""]",1
TG:C06a17575f1873b,TG,Enhanced temperature coefficient,,"[""Enhanced temperature coefficient""]","[""quantity""]","[""TG:P0022:alpha""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0022""]",1
TG:C06a5b1f5653173,TG,High cooling efficiency,,"[""High cooling efficiency""]","[""performance_function""]","[""TG:P0101:n5""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0101""]",1
TG:C06ae890eb3df70,TG,Operation in various bending states,,"[""Operation in various bending states""]","[""performance_function""]","[""TG:P0210:bending""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0210""]",1
TG:C06c27fcc985db8,TG,Thermogalvanic ionogel,,"[""Thermogalvanic ionogel""]","[""material_entity""]","[""TG:P0005:ionogel""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0005""]",1
TG:C06c62d688d2755,TG,Integration into enclosed interfacial solar evaporation device,,"[""Integration into enclosed interfacial solar evaporation device""]","[""design_strategy""]","[""TG:P0076:integration""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0076""]",1
TG:C06cc6de69f0ede,TG,Anionic polymer,,"[""Anionic polymer""]","[""material_entity""]","[""TG:P0034:ap""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0034""]",1
TG:C06d169a8b5ebcf,TG,High sensitivity under light irradiation,,"[""High sensitivity under light irradiation""]","[""performance_function""]","[""TG:P0273:sens""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0273""]",1
TG:C06da42beb620fd,TG,TiH0.2,,"[""TiH0.2""]","[""material_entity""]","[""TG:P0132:n3""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0132""]",1
TG:C06e9c3a4473635,TG,Liberation of ClO4- ions,,"[""Liberation of ClO4- ions""]","[""mechanism_process""]","[""TG:P0014:release""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,5,"[""P0014""]",1
TG:C06f19e14b9fd8f,TG,All-day low-grade heat harvesting,,"[""All-day low-grade heat harvesting""]","[""application""]","[""TG:P0166:harvest""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0166""]",1
TG:C0708eca89c2732,TG,Other electrochemical separation and recovery technologies,,"[""Other electrochemical separation and recovery technologies""]","[""application""]","[""TG:P0263:extension""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0263""]",1
TG:C070ce0dc1cff26,TG,Large specific surface area,,"[""Large specific surface area""]","[""descriptor""]","[""TG:P0328:area""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0328""]",1
TG:C072c7dccf0ac8b,TG,Thermogalvanic effects,,"[""Thermogalvanic effects""]","[""mechanism_process""]","[""TG:P0230:n7""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0230""]",1
TG:C0734531c80e8c5,TG,Open-circuit voltage: 163 mV,,"[""Open-circuit voltage: 163 mV""]","[""quantity""]","[""TG:P0045:voltage""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0045""]",1
TG:C07376734b48a6f,TG,Surface-casino corrosion,,"[""Surface-casino corrosion""]","[""mechanism_process""]","[""TG:P0330:corrosion""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0330""]",1
TG:C0752097f2fb42b,TG,Redox-pair ion concentration,,"[""Redox-pair ion concentration""]","[""condition""]","[""TG:P0161:concentration""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0161""]",1
