layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
11,CAEB010ACF4,CE6FC512ED2,polyethylene glycol (PEG),dynamic crosslinked gel network,material_entity,gel_microstructure,0.3593156933784485,20,26,20,26,7,9,7,9,0.7777777777777778,3,7,10,0.3333333333333333,1.6666666666666667,8,3,12,0.3529411764705882,4.636036069468076,520,1,1,0,0,1,0,0,2,2,0,2022,2023-2026,0,0.6719312594336463,0.1507001778433822,0.8191069574247145,0.7489096573208723,0.8380062305295951,0,61,M-X,material-mechanism
12,C10C4FF4B6C,C6181968680,hydrogen bonding,graphene,solvation_entropy,material_entity,0.157698780298233,18,28,18,28,8,19,8,19,0.4210526315789473,3,12,15,0.3333333333333333,3.0,18,10,5,0.1219512195121951,1.5318191509633117,504,1,1,0,0,1,0,5,6,11,1,2022,2023-2026,0,0.5663807239046155,0.2862358394313552,0.933852544132918,0.4262097611630321,0.8307372793354103,0,72,M-X,material-mechanism
13,C5DEA4DF37C,CFBB5A400A1,Zn4Sb3,cation-anion thermodiffusion asymmetry,material_entity,transport_mechanism,0.1335853636264801,8,8,8,8,5,5,5,5,1.0,4,3,7,1.0,0.6666666666666666,5,6,4,0.3333333333333333,1.1051071389349547,64,1,1,0,0,1,0,0,3,3,0,2022,2023-2026,0,0.8616884740516102,0.4080361890182934,0.9759086188992732,0.3382346832814122,0.8301142263759086,0,73,M-X,material-mechanism
14,C10C4FF4B6C,C4B2BA55977,hydrogen bonding,KNO3,solvation_entropy,material_entity,0.2269980609416961,18,10,10,18,8,2,2,8,0.25,3,2,5,0.3333333333333333,0.6666666666666666,18,2,4,0.1666666666666666,1.4185591805406457,180,1,1,0,0,1,0,5,2,7,1,2022,2023-2026,0,0.7261781767540666,0.3159362005580718,0.9511941848390448,0.3746313603322949,0.8299065420560748,0,74,M-X,material-mechanism
15,C5E63317596,CAEB010ACF4,hierarchical porous electrode interface,polyethylene glycol (PEG),electrode_interface,material_entity,0.1460233330726623,13,20,13,20,2,7,2,7,0.2857142857142857,2,3,5,0.6666666666666666,0.3333333333333333,0,8,7,0.2692307692307692,2.7284014790502615,260,1,1,0,0,1,0,2,0,2,0,2022,2023-2026,0,0.6463204426653517,0.191899024192778,0.8785046728971962,0.5368120456905503,0.8234683281412253,0,80,M-X,material-mechanism
16,C275FB7C4B0,CCFD9A81EEE,iodide/triiodide redox chemistry,solid electrolyte,redox_chemistry,material_system,0.2095546275377273,21,11,11,21,18,8,8,18,0.4444444444444444,9,3,12,1.6666666666666667,0.6666666666666666,12,25,3,0.1034482758620689,1.270160320926264,231,1,1,0,0,1,0,8,1,9,1,2022,2023-2026,0,0.542204245845816,0.453712215566026,0.963343717549325,0.3369055036344755,0.8230529595015577,0,81,M-X,material-mechanism
17,C188B56F6F1,C37031A3390,ion-selectivity membrane transport,cellulose,transport_mechanism,material_entity,0.0976446121931076,42,22,22,42,23,12,12,23,0.5217391304347826,11,10,21,2.0,2.6666666666666665,23,5,13,0.2549019607843137,4.756471715471733,924,1,1,0,0,1,0,9,1,10,1,2022,2023-2026,0,0.5582512447609304,0.1441261687076688,0.8079958463136033,0.7150259605399791,0.8228452751817238,0,83,M-X,material-mechanism
18,C06F57A9BCA,CC028ABF9C6,polymer electrolyte,anti-freezing organohydrogel design,material_system,gel_microstructure,0.218975692987442,13,37,13,37,9,15,9,15,0.6,4,7,11,0.6666666666666666,1.0,19,15,5,0.1111111111111111,1.7214190374655551,481,1,1,0,0,1,0,2,6,8,1,2022,2023-2026,0,0.5780177627221214,0.2392350508312034,0.9137071651090344,0.4490031152647975,0.8213914849428868,0,84,M-X,material-mechanism
19,C696BC0A1E1,C9642D16DCA,carbon electrode,graphene oxide,electrode_interface,material_entity,0.4446695744991302,10,18,10,18,3,9,3,9,0.3333333333333333,0,5,5,-0.3333333333333333,1.0,9,10,3,0.12,1.0184316125047443,180,1,1,0,0,1,0,1,4,5,1,2022,2023-2026,0,0.6733605379699467,0.330557457345082,0.9548286604361372,0.3456905503634475,0.821183800623053,0,85,M-X,material-mechanism
20,C08389FD6C6,C621A7A9629,moisture-gradient ion transport,polyurethane (PU),transport_mechanism,material_entity,0.1246134117245674,33,8,8,33,27,5,5,27,0.1851851851851851,17,5,22,3.6666666666666665,1.6666666666666667,20,2,5,0.1388888888888889,1.698775499342468,264,1,1,0,0,1,0,4,0,4,0,2022,2023-2026,0,0.5967086396139302,0.2432206028789526,0.9175493250259604,0.4347248182762201,0.8209761163032192,0,86,M-X,material-mechanism
21,C3002C089A5,C5DEA4DF37C,ionic thermodiffusion (Soret effect),Zn4Sb3,transport_mechanism,material_entity,0.208962082862854,46,8,8,46,42,5,5,42,0.119047619047619,26,4,30,5.666666666666667,1.0,23,5,5,0.1020408163265306,1.5661793676429934,368,1,1,0,0,1,0,15,0,15,0,2022,2023-2026,0,0.8997082985653302,0.212302108458074,0.9110072689511942,0.4548078920041537,0.8209761163032191,0,87,M-X,material-mechanism
22,C3DA2C4151E,C539540C36B,aqueous electrolyte,nanochannel-confined ion transport,material_system,transport_mechanism,0.2443941533565521,7,16,7,16,2,4,2,4,0.5,1,3,4,0.3333333333333333,0.6666666666666666,9,4,6,0.3529411764705882,2.215525659089708,112,1,1,0,0,1,0,5,0,5,0,2022,2023-2026,0,0.8412801890175695,0.1836218018432559,0.880269989615784,0.5094704049844236,0.8186915887850468,0,88,M-X,material-mechanism
23,C5B8C057FAD,CEA29EF1A99,metal oxide,thermal-gradient heat-transfer control,material_system,device_mechanism,0.0298880506306886,13,16,13,16,9,13,9,13,0.6923076923076923,4,7,11,1.0,1.0,21,9,3,0.1153846153846153,1.4085515361209875,208,1,1,0,0,1,0,2,8,10,1,2022,2023-2026,0,0.7166775867406846,0.3811276340441318,0.963447559709242,0.3030218068535826,0.8122533748701973,0,93,M-X,material-mechanism
24,CB56BB4DDB0,CDF78985483,carbon-electrode redox interface,nanocomposite,electrode_interface,material_system,0.1187748834490776,13,21,13,21,5,13,5,13,0.3846153846153846,1,7,8,-0.3333333333333333,0.3333333333333333,9,5,4,0.1333333333333333,1.3804739951652716,273,1,1,0,0,1,0,7,1,8,1,2022,2023-2026,0,0.746761835453097,0.2812951231830402,0.941017653167186,0.3435202492211838,0.8103842159916927,0,97,M-X,material-mechanism
25,C438FE53FF1,CC5968B917E,lithium chloride (LiCl),convection and mass transport,material_entity,transport_mechanism,0.0610382929444313,6,11,6,11,4,8,4,8,0.5,2,2,4,0.3333333333333333,0.3333333333333333,23,23,4,0.3076923076923077,1.2639687680903082,66,1,1,0,0,1,0,2,11,13,1,2022,2023-2026,0,0.5891938567243437,0.319750267169071,0.9471443406022846,0.3278193146417445,0.8091381100726897,0,100,M-X,material-mechanism
