mention_id,key,paper_id,domain,raw_label,raw_role,concept_id,canonical_label,normalization_status,decision_group
TG:P0003:electronics,m00029,P0003,TG,Continuous powering of low-power electronic devices,application,TG:C16e25fa8c9751c,Continuous powering of low-power electronic devices,singleton_not_semantically_reviewed,
TG:P0003:energy,m00030,P0003,TG,Maximum output energy density of 456 J m-2,performance_function,TG:C1f08252386fd9e,Maximum output energy density of 456 J m-2,singleton_not_semantically_reviewed,
TG:P0003:highe,m00031,P0003,TG,High n-type i-TEG energy density,performance_function,TG:Ceed0c5724e38ad,High n-type i-TEG energy density,singleton_not_semantically_reviewed,
TG:P0003:highs,m00032,P0003,TG,High n-type i-TEG thermopower,performance_function,TG:Cc57e6685fb82f7,High n-type i-TEG thermopower,singleton_not_semantically_reviewed,
TG:P0003:increase,m00033,P0003,TG,Increasing Fe2+/3+ concentration,condition,TG:C41f806c7e1395b,Increasing Fe2+/3+ concentration,singleton_not_semantically_reviewed,
TG:P0003:isc,m00034,P0003,TG,Device ISC,quantity,TG:C738102bcfa5376,Device ISC,singleton_not_semantically_reviewed,
TG:P0003:isc24,m00035,P0003,TG,High ISC balanced with VOC,performance_function,TG:C8fc5f0d84bc82c,High ISC balanced with VOC,singleton_not_semantically_reviewed,
TG:P0003:lower,m00036,P0003,TG,Decreased electron transfer resistance,state_structure,TG:C91bbd0007782e8,Decreased electron transfer resistance,singleton_not_semantically_reviewed,
TG:P0003:module,m00037,P0003,TG,Module of seven thermoelectric cells connected in series,material_entity,TG:C57d7e0cd0a6093,Module of seven thermoelectric cells connected in series,singleton_not_semantically_reviewed,
TG:P0003:pmax,m00038,P0003,TG,Maximum Pmax/(Delta T)2 of 2.78 mW m-2 K-2,performance_function,TG:C66c33fb11c1baa,Maximum Pmax/(Delta T)2 of 2.78 mW m-2 K-2,singleton_not_semantically_reviewed,
TG:P0003:power,m00039,P0003,TG,Instantaneous power of 0.278 mW,performance_function,TG:C739eac0ac935e6,Instantaneous power of 0.278 mW,singleton_not_semantically_reviewed,
TG:P0003:res,m00040,P0003,TG,Electron transfer resistance,quantity,TG:C1b812422954b3d,Electron transfer resistance,singleton_not_semantically_reviewed,
TG:P0003:s,m00041,P0003,TG,Hydrogel thermopower,quantity,TG:C27e93c84b0236e,Hydrogel thermopower,singleton_not_semantically_reviewed,
TG:P0003:voc24,m00042,P0003,TG,High VOC balanced with ISC,performance_function,TG:Caba8cad1935744,High VOC balanced with ISC,singleton_not_semantically_reviewed,
TG:P0003:voltage,m00043,P0003,TG,Thermovoltage of -2.75 V,quantity,TG:C93d1234436be8d,Thermovoltage of -2.75 V,singleton_not_semantically_reviewed,
TG:P0004:accuracy,m00044,P0004,TG,Recognition/authentication accuracy of 92.97%,performance_function,TG:C431cb340b962b5,Recognition/authentication accuracy of 92.97%,singleton_not_semantically_reviewed,
TG:P0004:coldcond,m00045,P0004,TG,Conductivity of 3.86 S m-1,quantity,TG:C0ee3f778d16264,Conductivity of 3.86 S m-1,singleton_not_semantically_reviewed,
TG:P0004:conduct,m00046,P0004,TG,Ionic conductivity of 4.54 S m-1,quantity,TG:Ca0dec0b46652ca,Ionic conductivity of 4.54 S m-1,singleton_not_semantically_reviewed,
TG:P0004:degrade,m00047,P0004,TG,Obvious thermoelectrical performance degradation,mechanism_process,TG:Cf463fda34f7548,Obvious thermoelectrical performance degradation,singleton_not_semantically_reviewed,
TG:P0004:dry,m00048,P0004,TG,Excellent non-drying performance,performance_function,TG:C0558aa4ffc8e85,Excellent non-drying performance,singleton_not_semantically_reviewed,
TG:P0004:flex,m00049,P0004,TG,Retained flexibility,performance_function,TG:C8eb5162799837f,Retained flexibility,singleton_not_semantically_reviewed,
TG:P0004:freeze,m00050,P0004,TG,Excellent anti-freezing performance,performance_function,TG:Ce47552310a0619,Excellent anti-freezing performance,singleton_not_semantically_reviewed,
TG:P0004:hydrate,m00051,P0004,TG,Formation of Li+(H2O)n hydration structure,mechanism_process,TG:C4368a427d13b39,Formation of Li+(H2O)n hydration structure,singleton_not_semantically_reviewed,
TG:P0004:pot,m00052,P0004,TG,One-pot fabrication,mechanism_process,TG:C4bed2ab2530f73,One-pot fabrication,singleton_not_semantically_reviewed,
TG:P0004:skin,m00053,P0004,TG,TGH self-powered e-skin combined with deep learning,material_entity,TG:Caae29efe1a35ab,TGH self-powered e-skin combined with deep learning,singleton_not_semantically_reviewed,
TG:P0004:stretch,m00054,P0004,TG,Stretchability of 534.5%,quantity,TG:Cbbea47a9c7efb9,Stretchability of 534.5%,singleton_not_semantically_reviewed,
TG:P0004:tasks,m00055,P0004,TG,Signature recognition and biometric authentication,application,TG:C4d431fa88147f4,Signature recognition and biometric authentication,singleton_not_semantically_reviewed,
TG:P0004:tgh,m00056,P0004,TG,Thermogalvanic hydrogel (TGH),material_entity,TG:C2f76f990bdfd69,Thermogalvanic hydrogel (TGH),singleton_not_semantically_reviewed,
TG:P0004:thermo,m00057,P0004,TG,Thermogalvanic response of 1.82 mV K-1,quantity,TG:Cf759fa4355d9af,Thermogalvanic response of 1.82 mV K-1,singleton_not_semantically_reviewed,
TG:P0005:all,m00058,P0005,TG,All-weather power generation,performance_function,TG:C9b401691aa481e,All-weather power generation,singleton_not_semantically_reviewed,
TG:P0005:cells,m00059,P0005,TG,Developed ionogel-based thermocells,material_entity,TG:C84cbe508cf2fb4,Developed ionogel-based thermocells,singleton_not_semantically_reviewed,
TG:P0005:chaotropic,m00060,P0005,TG,Chaotropic effect,interaction,TG:C4a6930b3558b2a,Chaotropic effect,singleton_not_semantically_reviewed,
TG:P0005:coefficient,m00061,P0005,TG,Ionogel Seebeck coefficient,quantity,TG:C76b6e9edaa180a,Ionogel Seebeck coefficient,singleton_not_semantically_reviewed,
TG:P0005:continuous,m00062,P0005,TG,Continuous electricity generation,performance_function,TG:C87a70b78bffbb2,Continuous electricity generation,singleton_not_semantically_reviewed,
TG:P0005:cool,m00063,P0005,TG,Passive radiative cooling,mechanism_process,TG:Cb943d9d5f12d57,Passive radiative cooling,singleton_not_semantically_reviewed,
TG:P0005:dt,m00064,P0005,TG,Self-supplying temperature difference,quantity,TG:C308c60071969f4,Self-supplying temperature difference,singleton_not_semantically_reviewed,
TG:P0005:ionogel,m00065,P0005,TG,Thermogalvanic ionogel,material_entity,TG:C06c27fcc985db8,Thermogalvanic ionogel,singleton_not_semantically_reviewed,
TG:P0005:power,m00066,P0005,TG,Normalized power density of 25.84 mW m-2 K-2,performance_function,TG:Cdbfeae71b714b9,Normalized power density of 25.84 mW m-2 K-2,singleton_not_semantically_reviewed,
TG:P0005:seebeck,m00067,P0005,TG,Seebeck coefficient of 32.4 mV K-1,quantity,TG:C50497233df259b,Seebeck coefficient of 32.4 mV K-1,singleton_not_semantically_reviewed,
TG:P0005:structure,m00068,P0005,TG,Radiative cooling structure,state_structure,TG:Cfc4e03265ac291,Radiative cooling structure,singleton_not_semantically_reviewed,
TG:P0006:crystal,m00069,P0006,TG,Thermosensitive crystallization,mechanism_process,TG:Cf715087390b3cf,Thermosensitive crystallization,model_merged,g0002
TG:P0006:eff,m00070,P0006,TG,Carnot-relative efficiency,quantity,TG:C470cd5e92522b4,Carnot-relative efficiency,singleton_not_semantically_reviewed,
TG:P0006:elong,m00071,P0006,TG,Elongation of approximately 900%,quantity,TG:C5f1aeaf0b5b3b4,Elongation of approximately 900%,singleton_not_semantically_reviewed,
TG:P0006:eta,m00072,P0006,TG,Carnot-relative efficiency of 8.53%,performance_function,TG:Cb295dda14a0868,Carnot-relative efficiency of 8.53%,singleton_not_semantically_reviewed,
TG:P0006:ftga,m00073,P0006,TG,Flexible thermogalvanic armor (FTGA),material_entity,TG:C4d4ef6203b0e24,Flexible thermogalvanic armor (FTGA),singleton_not_semantically_reviewed,
TG:P0006:robust,m00074,P0006,TG,Preserved mechanical robustness,performance_function,TG:C9dbf43341b5076,Preserved mechanical robustness,singleton_not_semantically_reviewed,
TG:P0006:salt,m00075,P0006,TG,Salting-out effect,mechanism_process,TG:Ca545c4c2e431bb,Salting-out effect,model_merged,g0003
TG:P0006:strategy,m00076,P0006,TG,FTGA construction strategy,design_strategy,TG:C34aa4fbb8ae416,FTGA construction strategy,singleton_not_semantically_reviewed,
TG:P0006:strength,m00077,P0006,TG,Mechanical strength,quantity,TG:C79434de276b3b0,Mechanical strength,model_merged,g0004
TG:P0006:tough,m00078,P0006,TG,Mechanical toughness of 70.65 MJ m-3,quantity,TG:C6abfd6ecf5f055,Mechanical toughness of 70.65 MJ m-3,singleton_not_semantically_reviewed,
TG:P0006:use,m00079,P0006,TG,Harvesting body heat and powering wearable electronics without recharging,application,TG:C93019d1ec095ef,Harvesting body heat and powering wearable electronics without recharging,singleton_not_semantically_reviewed,
TG:P0007:accuracy,m00080,P0007,TG,Object cutaneous-cue perception accuracy of 95.5%,performance_function,TG:C1ecbd1c0e82a03,Object cutaneous-cue perception accuracy of 95.5%,singleton_not_semantically_reviewed,
TG:P0007:comp,m00081,P0007,TG,Self-supervised thermovoltage compensation,mechanism_process,TG:C8b862fa2010b5b,Self-supervised thermovoltage compensation,singleton_not_semantically_reviewed,
TG:P0007:decouple,m00082,P0007,TG,Self-decoupling of contact pressure and material thermal contact coefficients,mechanism_process,TG:C9a213e3781805e,Self-decoupling of contact pressure and material thermal contact coefficients,singleton_not_semantically_reviewed,
TG:P0007:fingerprint,m00083,P0007,TG,Entropy-stabilized material fingerprint perception,application,TG:Cc151581ddb241c,Entropy-stabilized material fingerprint perception,singleton_not_semantically_reviewed,
TG:P0007:forces,m00084,P0007,TG,Accommodation of applied-force variations,performance_function,TG:Cc665be2a77926c,Accommodation of applied-force variations,singleton_not_semantically_reviewed,
TG:P0007:heat,m00085,P0007,TG,Robust interfacial heat transfer,mechanism_process,TG:C585707df45dd3f,Robust interfacial heat transfer,singleton_not_semantically_reviewed,
TG:P0007:hydrogel,m00086,P0007,TG,Integrated thermogalvanic hydrogels,material_entity,TG:C8ffec88a2d3c20,Integrated thermogalvanic hydrogels,singleton_not_semantically_reviewed,
TG:P0007:identify,m00087,P0007,TG,Material determination in 80 ms,performance_function,TG:Ce6f79fc87ddbdc,Material determination in 80 ms,singleton_not_semantically_reviewed,
TG:P0007:limit,m00088,P0007,TG,Detection limit of 1.9 Pa,performance_function,TG:C2d911b808ba37f,Detection limit of 1.9 Pa,singleton_not_semantically_reviewed,
TG:P0007:mech,m00089,P0007,TG,Active mechanoreception,performance_function,TG:C52a760f3a99885,Active mechanoreception,singleton_not_semantically_reviewed,
TG:P0007:pattern,m00090,P0007,TG,Joint micropatterned and gradient structure strategy,design_strategy,TG:Cce496741dd642c,Joint micropatterned and gradient structure strategy,singleton_not_semantically_reviewed,
TG:P0007:receptor,m00091,P0007,TG,Self-powered multimodal fingertip receptor,material_entity,TG:C0802de62cabbe4,Self-powered multimodal fingertip receptor,singleton_not_semantically_reviewed,
TG:P0007:sensitivity,m00092,P0007,TG,Sensitivity of 53.6 kPa-1,performance_function,TG:Cd24b667d4a8b57,Sensitivity of 53.6 kPa-1,singleton_not_semantically_reviewed,
TG:P0007:signals,m00093,P0007,TG,Joint use of static thermovoltage and dynamic differential signals,design_strategy,TG:Ca6c6a11b630463,Joint use of static thermovoltage and dynamic differential signals,singleton_not_semantically_reviewed,
TG:P0007:thermal,m00094,P0007,TG,Active thermoreception,performance_function,TG:C9d0bd87e4009f3,Active thermoreception,singleton_not_semantically_reviewed,
TG:P0007:universal,m00095,P0007,TG,Universality of tactile perception,performance_function,TG:Cdec44fa41d07d8,Universality of tactile perception,singleton_not_semantically_reviewed,
TG:P0007:use,m00096,P0007,TG,Intelligent haptic perception for human-machine interfaces and prosthetics,application,TG:C4e563af008d3cf,Intelligent haptic perception for human-machine interfaces and prosthetics,singleton_not_semantically_reviewed,
TG:P0007:visual,m00097,P0007,TG,Visualization of unsteady interfacial heat conduction,performance_function,TG:C78c507512e16f7,Visualization of unsteady interfacial heat conduction,singleton_not_semantically_reviewed,
TG:P0008:adapt,m00098,P0008,TG,Adaptability to human tissue,performance_function,TG:C0f2ed2c44139d7,Adaptability to human tissue,singleton_not_semantically_reviewed,
TG:P0008:cold,m00099,P0008,TG,Resistance to low temperatures,performance_function,TG:C7dc8add0312451,Resistance to low temperatures,singleton_not_semantically_reviewed,
TG:P0008:conversion,m00100,P0008,TG,Thermoelectric conversion,mechanism_process,TG:Cff16d4f9ce13d3,Thermoelectric conversion,model_merged,g0005
TG:P0008:current,m00101,P0008,TG,Robust thermal current response,performance_function,TG:C08ca87ab5b0951,Robust thermal current response,singleton_not_semantically_reviewed,
TG:P0008:dry,m00102,P0008,TG,Resistance to dehydration,performance_function,TG:C68c849573a692d,Resistance to dehydration,singleton_not_semantically_reviewed,
TG:P0008:encap,m00103,P0008,TG,"Hydrogel encapsulation and integration on cheeks, fingers and elbows",design_strategy,TG:Cced40699a54556,"Hydrogel encapsulation and integration on cheeks, fingers and elbows",singleton_not_semantically_reviewed,
TG:P0008:extend,m00104,P0008,TG,Extensibility,performance_function,TG:Cda24a190b9cb76,Extensibility,singleton_not_semantically_reviewed,
TG:P0008:flex,m00105,P0008,TG,Flexibility,performance_function,TG:C3171c6eae2595e,Flexibility,model_merged,g0006
TG:P0008:foot,m00106,P0008,TG,Foot-movement monitoring,application,TG:C8abaaa48e89216,Foot-movement monitoring,singleton_not_semantically_reviewed,
TG:P0008:freeze,m00107,P0008,TG,Simple freeze-thaw synthesis from PVA monomers,mechanism_process,TG:Ceb0190e4322141,Simple freeze-thaw synthesis from PVA monomers,singleton_not_semantically_reviewed,
TG:P0008:head,m00108,P0008,TG,Head-down state detection,application,TG:C44dd3a82462b2b,Head-down state detection,singleton_not_semantically_reviewed,
TG:P0008:hydrogel,m00109,P0008,TG,Composite PVA hydrogels,material_entity,TG:Caeabc3658890eb,Composite PVA hydrogels,singleton_not_semantically_reviewed,
TG:P0008:neck,m00110,P0008,TG,Supervision of sedentary office workers' neck posture and activity status,application,TG:C60677913a8457e,Supervision of sedentary office workers' neck posture and activity status,singleton_not_semantically_reviewed,
TG:P0008:self,m00111,P0008,TG,Self-powered sensing,performance_function,TG:Cae241aa97c6800,Self-powered sensing,model_merged,g0007
TG:P0008:skin,m00112,P0008,TG,Thermogalvanic hydrogel-based e-skin,material_entity,TG:Cfdaadaadc9be74,Thermogalvanic hydrogel-based e-skin,singleton_not_semantically_reviewed,
TG:P0008:strain,m00113,P0008,TG,Self-powered on-body strain sensing,application,TG:Cc23cc10e1438fd,Self-powered on-body strain sensing,singleton_not_semantically_reviewed,
TG:P0008:temp,m00114,P0008,TG,Self-powered on-body temperature sensing,application,TG:Caa2238696e80c9,Self-powered on-body temperature sensing,singleton_not_semantically_reviewed,
TG:P0008:weight,m00115,P0008,TG,Retention of more than 90% of hydrogel weight,performance_function,TG:Cb4ebf1998d123c,Retention of more than 90% of hydrogel weight,singleton_not_semantically_reviewed,
TG:P0008:zwitter,m00116,P0008,TG,Zwitterion incorporation,design_strategy,TG:Cc7e882cb80c44f,Zwitterion incorporation,singleton_not_semantically_reviewed,
TG:P0009:eff,m00117,P0009,TG,Solar-to-hydrogen efficiency up to 0.4%,performance_function,TG:C90e973cf9bcb8e,Solar-to-hydrogen efficiency up to 0.4%,singleton_not_semantically_reviewed,
TG:P0009:generator,m00118,P0009,TG,112 cm2 generator consisting of 36 units,material_entity,TG:C46e82948ee387f,112 cm2 generator consisting of 36 units,singleton_not_semantically_reviewed,
TG:P0009:gradient,m00119,P0009,TG,Continuous concentration gradient of redox ions,state_structure,TG:Ceca46be4c45131,Continuous concentration gradient of redox ions,singleton_not_semantically_reviewed,
TG:P0009:hamount,m00120,P0009,TG,Hydrogen yield of 0.5 mmol,quantity,TG:C062dad12a19eba,Hydrogen yield of 0.5 mmol,singleton_not_semantically_reviewed,
TG:P0009:hydrogen,m00121,P0009,TG,Hydrogen production,mechanism_process,TG:Cca51b7faa33f5e,Hydrogen production,singleton_not_semantically_reviewed,
TG:P0009:oamount,m00122,P0009,TG,Oxygen yield of 0.2 mmol,quantity,TG:C5d7a6989b4d441,Oxygen yield of 0.2 mmol,singleton_not_semantically_reviewed,
TG:P0009:oxygen,m00123,P0009,TG,Oxygen production,mechanism_process,TG:Cd15e378ce1e551,Oxygen production,singleton_not_semantically_reviewed,
TG:P0009:power,m00124,P0009,TG,Power of 20.1 mW,performance_function,TG:Ceeacd4d07b6515,Power of 20.1 mW,singleton_not_semantically_reviewed,
TG:P0009:rate,m00125,P0009,TG,Hydrogen production rate,quantity,TG:C4626e2a04433b7,Hydrogen production rate,singleton_not_semantically_reviewed,
TG:P0009:reaction,m00126,P0009,TG,In situ photocatalytically enhanced redox reaction,mechanism_process,TG:C983ac5d4b32fe3,In situ photocatalytically enhanced redox reaction,singleton_not_semantically_reviewed,
TG:P0009:svalue,m00127,P0009,TG,Thermopower of 8.2 mV K-1,quantity,TG:C6d123e0347835a,Thermopower of 8.2 mV K-1,singleton_not_semantically_reviewed,
TG:P0009:system,m00128,P0009,TG,Photocatalytically enhanced thermogalvanic system,material_entity,TG:C144e720a2f0a33,Photocatalytically enhanced thermogalvanic system,singleton_not_semantically_reviewed,
TG:P0009:thermopower,m00129,P0009,TG,Thermopower,quantity,TG:Cc53436f0c7953d,Thermopower (thermogalvanic),model_merged,g0008
TG:P0009:voc,m00130,P0009,TG,Open-circuit voltage of 4.4 V,quantity,TG:C1feb75368dcccc,Open-circuit voltage of 4.4 V,singleton_not_semantically_reviewed,
TG:P0010:below,m00131,P0010,TG,Cold-end temperature below ambient temperature,state_structure,TG:C29a3d1fdcdbd71,Cold-end temperature below ambient temperature,singleton_not_semantically_reviewed,
TG:P0010:cell,m00132,P0010,TG,Water evaporation-enhanced thermogalvanic cell (WE-TGC),material_entity,TG:C6b9af3b53a3590,Water evaporation-enhanced thermogalvanic cell (WE-TGC),singleton_not_semantically_reviewed,
TG:P0010:cold,m00133,P0010,TG,Cold-end temperature,quantity,TG:C0bd642fb317f3a,Cold-end temperature,singleton_not_semantically_reviewed,
TG:P0010:distribution,m00134,P0010,TG,Electrolyte concentration distribution,state_structure,TG:C377fd4bed7705b,Electrolyte concentration distribution,singleton_not_semantically_reviewed,
TG:P0010:evap,m00135,P0010,TG,Spontaneous water evaporation,mechanism_process,TG:Ced84060f2b4c5a,Spontaneous water evaporation,singleton_not_semantically_reviewed,
TG:P0010:expose,m00136,P0010,TG,Electrolyte exposure to ambient air,design_strategy,TG:Ceb4ddde7c91e64,Electrolyte exposure to ambient air,singleton_not_semantically_reviewed,
TG:P0010:gradient,m00137,P0010,TG,Additional electrolyte concentration gradient,state_structure,TG:C6e04eb7eac189d,Additional electrolyte concentration gradient,singleton_not_semantically_reviewed,
TG:P0010:power,m00138,P0010,TG,Output power density of 213.07 mW m-2,performance_function,TG:C1a338cc8c509ee,Output power density of 213.07 mW m-2,singleton_not_semantically_reviewed,
TG:P0010:thermopower,m00139,P0010,TG,Thermopower enhanced from 1.39 to 3.25 mV K-1,performance_function,TG:C693343790d322f,Thermopower enhanced from 1.39 to 3.25 mV K-1,singleton_not_semantically_reviewed,
TG:P0011:current,m00140,P0011,TG,Thermogalvanic hydrogel current density,quantity,TG:C714b7cb25850f2,Thermogalvanic hydrogel current density,singleton_not_semantically_reviewed,
TG:P0011:movement,m00141,P0011,TG,Movement of redox pairs,mechanism_process,TG:Cef855f9550d01c,Movement of redox pairs,singleton_not_semantically_reviewed,
TG:P0011:power,m00142,P0011,TG,Power density output,performance_function,TG:Ce92b6d57a3b20a,Power density output,singleton_not_semantically_reviewed,
TG:P0011:strategy,m00143,P0011,TG,Incorporation of a cationic pair into a cationic electroactive network (CN),design_strategy,TG:C9bbac518e14f87,Incorporation of a cationic pair into a cationic electroactive network (CN),singleton_not_semantically_reviewed,
TG:P0012:accuracy,m00144,P0012,TG,Over 96% task-specific accuracy,performance_function,TG:C75c157272e0e20,Over 96% task-specific accuracy,singleton_not_semantically_reviewed,
TG:P0012:adhesion,m00145,P0012,TG,Strong adhesion,interaction,TG:C8a54c01f292a1e,Strong adhesion,singleton_not_semantically_reviewed,
TG:P0012:heal,m00146,P0012,TG,Rapid self-healing,mechanism_process,TG:C9298f2dfba0196,Rapid self-healing,singleton_not_semantically_reviewed,
TG:P0012:interface,m00147,P0012,TG,Self-powered thermogalvanic-hydrogel on-hand virtual interface,material_entity,TG:Cf582b6f06732ca,Self-powered thermogalvanic-hydrogel on-hand virtual interface,singleton_not_semantically_reviewed,
TG:P0012:keyboard,m00148,P0012,TG,On-hand keyboard text entry,application,TG:C1c67e94dc2ba01,On-hand keyboard text entry,singleton_not_semantically_reviewed,
TG:P0012:mouse,m00149,P0012,TG,On-hand mouse control,application,TG:C93b3435e6d7564,On-hand mouse control,singleton_not_semantically_reviewed,
TG:P0012:network,m00150,P0012,TG,Polyvinyl alcohol/trehalose networks,material_entity,TG:Cddffac7dc8aad7,Polyvinyl alcohol/trehalose networks,singleton_not_semantically_reviewed,
TG:P0012:sign,m00151,P0012,TG,On-hand sign-language recognition,application,TG:Ce9057bfc342ed4,On-hand sign-language recognition,singleton_not_semantically_reviewed,
TG:P0012:solvent,m00152,P0012,TG,Glycerol/water absorbed in the networks,material_entity,TG:C1ad4dea0d8d9ba,Glycerol/water absorbed in the networks,singleton_not_semantically_reviewed,
TG:P0012:stretch,m00153,P0012,TG,High stretchability,performance_function,TG:Ca747b90f2d0962,High stretchability,model_merged,g0009
TG:P0012:thermo,m00154,P0012,TG,Thermoelectricity in response to body heat,mechanism_process,TG:C21b13eb9f49e07,Thermoelectricity in response to body heat,singleton_not_semantically_reviewed,
TG:P0012:transduce,m00155,P0012,TG,Self-powered transduction of dynamic gestures into electrical signals,performance_function,TG:C318cc26896f57a,Self-powered transduction of dynamic gestures into electrical signals,singleton_not_semantically_reviewed,
TG:P0013:array,m00156,P0013,TG,Self-powered hydrogel array,material_entity,TG:C338a39aeed5e02,Self-powered hydrogel array,singleton_not_semantically_reviewed,
TG:P0013:breath,m00157,P0013,TG,High breathability,performance_function,TG:Cb804b92520450d,High breathability,singleton_not_semantically_reviewed,
TG:P0013:dn,m00158,P0013,TG,Double network structure,state_structure,TG:Cb2f016608026f6,Double network structure,singleton_not_semantically_reviewed,
TG:P0013:elec,m00159,P0013,TG,Electrical conductivity: 34.4 mS cm-1,quantity,TG:Cc87550a925a686,Electrical conductivity: 34.4 mS cm-1,singleton_not_semantically_reviewed,
TG:P0013:h,m00160,P0013,TG,Thermogalvanic hydrogel,material_entity,TG:Cbe8c1ec83fd6cd,Thermogalvanic hydrogel (phytic-acid-containing double network),model_kept_separate,g0010
