id,label,role,supporting_papers
iTE-C9b24acce7a,ion storage and transport,mechanism_process,1
iTE-C9dabeebb42,electrochemical energy storage,performance_function,1
iTE-C2a4375b191,EHD printing,design_strategy,1
iTE-Cb36f460f6c,uniform ion distribution,state_structure,1
iTE-Cc96b212b51,electronegative CMC-Na chain,material_entity,1
iTE-C9303897277,Manning counterion condensation,mechanism_process,1
iTE-Ccfc67f0e72,ordered ions and Manning counterion condensation,state_structure,1
iTE-C3bc0cd0d1d,selective ion migration,mechanism_process,1
iTE-C9b9f3c8cff,PVA hydrogel modification of cement,design_strategy,1
iTE-C72b0b2dd78,capillary porosity,quantity,1
iTE-C7e38961761,capacitance,quantity,1
iTE-C0fe3ba841e,porosity,quantity,1
iTE-C5244ff670a,water diffusion in CNT and flow in cement pores,mechanism_process,1
iTE-C2878e25cf1,Fmoc pi-pi interactions,interaction,1
iTE-C174c08c20c,Fmoc-FF eutectogel formation,mechanism_process,1
iTE-C345ee27c41,porous colloidal network,state_structure,1
iTE-C2a58e09883,wood dissolution-regeneration and lignosulfonate reintroduction,design_strategy,1
iTE-Cbdfdd7ad38,cellulose-lignosulfonate molecular integration,state_structure,1
iTE-C7c8cfd6c2b,microfibril reassembly,mechanism_process,1
iTE-C3213d893d1,negatively charged lignocellulose channels with fixed anions,state_structure,1
iTE-C338cf471f3,selective cation migration,mechanism_process,1
iTE-Cdd11335690,lignocellulose channel reconstruction,design_strategy,1
iTE-Cab165a9e64,cross-linking and amine functionalization,design_strategy,1
iTE-C7fd3ba5647,negative thermopower and high ionic conductivity,quantity,1
iTE-C2f8e03bf0c,high ionic power factor,quantity,2
iTE-Cc579b0a989,formamide,material_entity,1
iTE-Cb331f6da0c,water hydrogen bond network,state_structure,1
iTE-Cc756c50cb8,water hydrogen bond network disruption,mechanism_process,1
iTE-C6779184c7a,deep eutectic solvent,material_entity,1
iTE-C78cfc2df10,ethanol and NaTFSI addition,design_strategy,1
iTE-C6293f01b27,ionic mobility,quantity,1
iTE-C947b758747,cation-anion diffusion difference,quantity,1
iTE-Cc1a3a7125f,ionic power factor,quantity,1
iTE-C44272ea2ec,asymmetric gel double sandwich structure,design_strategy,1
iTE-C1ec4d7d356,thermoelectric performance,performance_function,1
iTE-Cccc78858e1,CEM built-in electrode,material_entity,1
iTE-Cb065f8c2ad,normalized maximum power density,quantity,1
iTE-C01ff00234e,gel composition tailoring,design_strategy,1
iTE-Cd5268c72de,"high thermopower, power and energy density",performance_function,1
iTE-C04e690e6da,high ionic conductivity and Seebeck coefficient,quantity,1
iTE-C2134408776,high figure of merit,quantity,2
iTE-C0a7d587518,ion-electronic friction,interaction,1
iTE-C288e8aa076,ion and electron transport,mechanism_process,1
iTE-C0f52bf7525,ionic circuit,design_strategy,1
iTE-C2eafd31238,persistent ionic transport,mechanism_process,1
iTE-C819b23dbed,continuous power generation,performance_function,1
iTE-C88f54fc4d8,conveyor mode,design_strategy,1
iTE-C317b132586,power density,quantity,1
iTE-Cff66e354fb,NaTFSI mobile ions,material_entity,1
