concept_id,canonical_concept,concept_type,concept_subtype,parent_domain,graph_role,document_frequency,iTE_document_frequency,TG_document_frequency,first_year,last_year,max_confidence,prediction_eligible,evidence_only
C7EF3326ECB,photothermal conversion,device_function,thermal-gradient generation,device and system functions,background,19,14,7,2012,2026,0.97,False,False
CFFC977DC52,seebeck response,property_metric,property/metric,properties and metrics,background,19,14,6,2017,2026,0.78,False,False
C2A620367E2,Soret coefficient,property_metric,transport property,properties and metrics,background,18,12,6,2006,2025,0.97,False,False
C0617A8C2F0,conductivity sigma,property_metric,property/metric,properties and metrics,background,17,16,1,1995,2025,0.78,False,False
C1222343440,powder diffraction,characterization_method,characterization method,experimental methods,background,17,17,0,2001,2023,0.78,False,False
C26CDBDFF7D,diffraction data,characterization_method,characterization method,experimental methods,background,16,16,0,2007,2025,0.78,False,False
CAD31BE3C31,dc conductivity,property_metric,property/metric,properties and metrics,background,15,15,0,1995,2026,0.78,False,False
C38BF83E8E5,electrochemical seebeck,property_metric,property/metric,properties and metrics,background,15,14,2,2015,2026,0.78,False,False
CA790CA4BE0,lower thermal conductivity,property_metric,property/metric,properties and metrics,background,15,14,1,2010,2025,0.78,False,False
CE527D376EA,n-type thermopower,property_metric,property/metric,properties and metrics,background,15,13,6,1995,2026,0.78,False,False
C3CB102B9BB,normalized power density,property_metric,property/metric,properties and metrics,background,15,3,13,2021,2026,0.78,False,False
C0D08B66C8E,diffraction analysis,characterization_method,characterization method,experimental methods,background,14,13,1,2013,2026,0.78,False,False
C0782A94E48,giant thermopower,property_metric,property/metric,properties and metrics,background,14,12,4,2020,2026,0.78,False,False
C82D3A2EECE,infrared spectroscopy,characterization_method,characterization method,experimental methods,background,14,13,1,1992,2026,0.78,False,False
CF48AC001D7,negative seebeck,property_metric,property/metric,properties and metrics,background,14,13,1,2011,2026,0.78,False,False
C413AEDFAA1,positive seebeck,property_metric,property/metric,properties and metrics,background,14,14,0,2019,2026,0.78,False,False
CDA0271FE39,total thermal conductivity,property_metric,property/metric,properties and metrics,background,14,14,0,2013,2026,0.78,False,False
C482A6E4588,absorption spectroscopy,characterization_method,characterization method,experimental methods,background,13,13,0,2000,2024,0.78,False,False
C3A60BDDFA4,conductivity kappa,property_metric,property/metric,properties and metrics,background,13,13,0,2003,2025,0.78,False,False
C0DAEE18A91,lowers thermal conductivity,property_metric,property/metric,properties and metrics,background,13,12,1,2001,2026,0.78,False,False
C82BC98D75E,thermal conductivity kappa,property_metric,property/metric,properties and metrics,background,13,13,0,2003,2025,0.78,False,False
CC8FC17BFDB,thermoelectric conversion efficiency,property_metric,property/metric,properties and metrics,background,13,13,1,2015,2026,0.78,False,False
C1679C210A6,electrochemical seebeck coefficient,property_metric,property/metric,properties and metrics,background,12,12,1,2015,2026,0.78,False,False
C8563CE162E,electronic thermal conductivity,property_metric,property/metric,properties and metrics,background,12,12,0,2000,2026,0.78,False,False
CCD1F5CE332,high power density,property_metric,property/metric,properties and metrics,background,12,9,5,2017,2026,0.78,False,False
CAA5186897B,highest seebeck,property_metric,property/metric,properties and metrics,background,12,9,3,2016,2026,0.78,False,False
C3197A0656B,negative seebeck coefficient,property_metric,property/metric,properties and metrics,background,12,11,1,2011,2024,0.78,False,False
CD3DDD3849E,phase stability,property_metric,property/metric,properties and metrics,background,12,12,0,2004,2026,0.78,False,False
CE98C075230,thermal charging,device_function,device function,device and system functions,background,12,9,5,2019,2026,0.78,False,False
C8986EE9734,conductivity decreases,property_metric,property/metric,properties and metrics,background,11,10,1,1999,2024,0.78,False,False
CDB90DFF9A6,conductivity measurements,property_metric,property/metric,properties and metrics,background,11,10,1,1996,2026,0.78,False,False
CF81D526F1E,high ionic thermopower,property_metric,property/metric,properties and metrics,background,11,11,1,2022,2026,0.78,False,False
CF8E6CDA9AF,ionic power factor,property_metric,property/metric,properties and metrics,background,11,11,1,2020,2026,0.78,False,False
CB616185DB9,large thermopower,property_metric,property/metric,properties and metrics,background,11,9,4,2002,2026,0.78,False,False
C5F643D6ABD,localized photothermal layer,device_function,device function,device and system functions,background,11,4,8,2021,2026,0.97,False,False
C9A2B882A47,higher electrical conductivity,property_metric,property/metric,properties and metrics,background,10,10,0,2013,2026,0.78,False,False
CD4EE2672A4,highest seebeck coefficient,property_metric,property/metric,properties and metrics,background,10,7,3,2016,2026,0.78,False,False
C18E39F9AC4,ionic seebeck effect,property_metric,property/metric,properties and metrics,background,10,10,1,2015,2025,0.78,False,False
CB43A84E354,low electrical conductivity,property_metric,property/metric,properties and metrics,background,10,10,0,2011,2025,0.78,False,False
CCB610B0F66,lower lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,10,10,0,2011,2026,0.78,False,False
C664FBFD218,lowers lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,10,10,0,2005,2026,0.78,False,False
CAEA396AA94,microfluidic redox-solvation thermocell,device_function,device function,device and system functions,background,10,8,6,2016,2026,0.97,False,False
C1C56C3E50C,n-type conductivity,property_metric,property/metric,properties and metrics,background,10,10,0,1992,2026,0.78,False,False
C5398232435,p-type seebeck,property_metric,property/metric,properties and metrics,background,10,9,1,2016,2026,0.78,False,False
C1220B56106,seebeck voltage,property_metric,property/metric,properties and metrics,background,10,8,2,2016,2025,0.78,False,False
C7CA4D45A30,maximum output power density,property_metric,property/metric,properties and metrics,background,9,8,2,2022,2026,0.78,False,False
C5FECB4C8CC,mechanical property,property_metric,property/metric,properties and metrics,background,9,9,0,2021,2026,0.78,False,False
C978AB915B2,n-type seebeck,property_metric,property/metric,properties and metrics,background,9,8,2,2007,2026,0.78,False,False
C058C30AC53,thermal conductivity decreases,property_metric,property/metric,properties and metrics,background,9,8,1,2004,2024,0.78,False,False
CE096C1531E,atomic force microscopy,characterization_method,characterization method,experimental methods,background,8,8,0,2007,2024,0.78,False,False
CE21E61349E,conductivity data,property_metric,property/metric,properties and metrics,background,8,8,0,1995,2025,0.78,False,False
C11251D60A5,electronic seebeck,property_metric,property/metric,properties and metrics,background,8,8,1,2018,2025,0.78,False,False
C3A573478D9,first-principles calculation,computational_method,electronic-structure calculation,computational methods,background,8,8,0,2013,2026,0.94,False,False
C465708253F,force microscopy,characterization_method,characterization method,experimental methods,background,8,8,0,2007,2024,0.78,False,False
C1D7572AB43,high thermal conductivity,property_metric,property/metric,properties and metrics,background,8,8,0,2015,2025,0.78,False,False
CD50D757FDC,higher seebeck,property_metric,property/metric,properties and metrics,background,8,7,2,2016,2025,0.78,False,False
C375D83B7F6,operational stability,property_metric,property/metric,properties and metrics,background,8,8,0,2022,2026,0.78,False,False
C809F9A5BFD,power conversion efficiency,property_metric,property/metric,properties and metrics,background,8,3,5,1995,2024,0.78,False,False
C20C7DE618C,seebeck behavior,property_metric,property/metric,properties and metrics,background,8,8,0,2010,2026,0.78,False,False
C3AE973973B,uv-vis spectroscopy,characterization_method,characterization method,experimental methods,background,8,6,2,2018,2025,0.78,False,False
C8CF7730997,ac conductivity,property_metric,property/metric,properties and metrics,background,7,7,0,2008,2021,0.78,False,False
C6D3F5C8617,diffraction patterns,characterization_method,characterization method,experimental methods,background,7,7,0,2014,2024,0.78,False,False
C30475C6EA1,electrical conductivity sigma,property_metric,property/metric,properties and metrics,background,7,7,0,1995,2025,0.78,False,False
C3A9D13C19F,electron diffraction,characterization_method,characterization method,experimental methods,background,7,7,0,2007,2026,0.78,False,False
C8B8E9522B3,higher seebeck coefficient,property_metric,property/metric,properties and metrics,background,7,6,2,2016,2025,0.78,False,False
C64912E934E,intrinsically low lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,7,7,0,2018,2026,0.78,False,False
CD4C833BBB0,low conductivity,property_metric,property/metric,properties and metrics,background,7,7,0,2006,2025,0.78,False,False
C02BE1C5341,low seebeck,property_metric,property/metric,properties and metrics,background,7,7,0,2011,2025,0.78,False,False
CE482465EFA,low thermopower,property_metric,property/metric,properties and metrics,background,7,5,4,2020,2026,0.78,False,False
C8B9728C32C,maximum seebeck,property_metric,property/metric,properties and metrics,background,7,6,1,2012,2026,0.78,False,False
C25AE3AAFFE,maximum seebeck coefficient,property_metric,property/metric,properties and metrics,background,7,6,1,2012,2026,0.78,False,False
C0F12A599D7,negative ionic seebeck,property_metric,property/metric,properties and metrics,background,7,7,1,2019,2026,0.78,False,False
CF191C40166,normalized maximum power density,property_metric,property/metric,properties and metrics,background,7,4,6,2022,2026,0.78,False,False
C420252DDB4,p-type seebeck coefficient,property_metric,property/metric,properties and metrics,background,7,6,1,2016,2026,0.78,False,False
C8813D5AF22,p-type thermopower,property_metric,property/metric,properties and metrics,background,7,7,0,2011,2023,0.78,False,False
C6DC5DD518A,positive seebeck coefficients,property_metric,property/metric,properties and metrics,background,7,7,0,2019,2026,0.78,False,False
C0584ADB7B5,thermal-resistance cell architecture,device_function,device function,device and system functions,background,7,2,6,2014,2026,0.97,False,False
C62A769A945,thermopower ionic,property_metric,property/metric,properties and metrics,background,7,7,1,2021,2026,0.78,False,False
C83F99EC4D7,ultra-low lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,7,7,0,2020,2025,0.78,False,False
C597180D08F,conductivity decreased,property_metric,property/metric,properties and metrics,background,6,6,0,2010,2026,0.78,False,False
CD8689A4074,high-thermopower ionic,property_metric,property/metric,properties and metrics,background,6,6,1,2021,2026,0.78,False,False
CF81A6BB0DB,n-type seebeck coefficient,property_metric,property/metric,properties and metrics,background,6,6,1,2007,2026,0.78,False,False
CB9F06A7811,negative ionic seebeck coefficient,property_metric,property/metric,properties and metrics,background,6,6,1,2019,2026,0.78,False,False
C1192E1FF1D,radiative cooling,device_function,thermal-gradient generation,device and system functions,background,6,3,3,2019,2025,0.94,False,False
CCD0AA30DA3,seebeck coefficient alpha,property_metric,property/metric,properties and metrics,background,6,6,1,2016,2026,0.78,False,False
CF613FF5F63,seebeck coefficient values,property_metric,property/metric,properties and metrics,background,6,5,1,2007,2024,0.78,False,False
C61EE27FD08,specific output power density,property_metric,property/metric,properties and metrics,background,6,2,5,2022,2026,0.78,False,False
C6709FC358A,suppress lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,6,6,0,2010,2026,0.78,False,False
CAEE2EE507F,conductivity minimum,property_metric,property/metric,properties and metrics,background,5,5,0,1993,2012,0.78,False,False
C3AE7D0CEF0,electrochemical seebeck coefficient alpha,property_metric,property/metric,properties and metrics,background,5,5,1,2023,2026,0.78,False,False
C94EB903229,evaporative cooling/concentration,device_function,thermal-gradient generation,device and system functions,background,5,3,2,2020,2026,0.94,False,False
C71A86B1F51,extremely low lattice thermal conductivity,property_metric,property/metric,properties and metrics,background,5,5,0,2010,2026,0.78,False,False
C53EB040220,high specific output power density,property_metric,property/metric,properties and metrics,background,5,1,5,2022,2026,0.78,False,False
CA2909A405F,giant ionic thermopower,property_metric,property/metric,properties and metrics,background,4,4,3,2024,2026,0.78,False,False
C6621A1ADAB,lattice thermal conductivity kappa,property_metric,property/metric,properties and metrics,background,4,4,0,2012,2021,0.78,False,False
C048A21E066,multimodal interfacial heat-transfer sensing,device_function,device function,device and system functions,background,4,1,3,2024,2026,0.97,False,False
C9C98F46AE1,thermopower ionic thermoelectric,property_metric,property/metric,properties and metrics,background,4,4,0,2021,2026,0.78,False,False
C38AFDD17C1,CPV-iTEC solar cascade coupling,device_function,device function,device and system functions,background,3,3,1,2024,2025,0.97,False,False
C0015C8C861,conductivity ionic,property_metric,property/metric,properties and metrics,background,3,3,0,2007,2022,0.78,False,False
C008E17A69D,electrical property,property_metric,property/metric,properties and metrics,background,3,3,0,2021,2025,0.78,False,False
C206770331A,alkaline-fuel-cell waste-heat cascade,device_function,device function,device and system functions,background,2,0,2,2018,2024,0.97,False,False
C42DC706A27,conductivity materials,property_metric,property/metric,properties and metrics,background,2,2,0,2022,2026,0.78,False,False
CC8B10C70C2,conductivity measured,property_metric,property/metric,properties and metrics,background,2,2,0,2017,2021,0.78,False,False
C387CBD1C60,exhibits high seebeck,property_metric,property/metric,properties and metrics,background,2,2,0,2024,2024,0.78,False,False
C5A5B93C751,exhibits high seebeck coefficient,property_metric,property/metric,properties and metrics,background,2,2,0,2024,2024,0.78,False,False
C2D9F3D7054,low lattice thermal conductivity kappa,property_metric,property/metric,properties and metrics,background,2,2,0,2018,2021,0.78,False,False
C57323793BF,thermal management thermogalvanic gel,device_function,device function,device and system functions,background,2,0,2,2022,2023,0.97,False,False
CB3ED5C3D27,thermal property,property_metric,property/metric,properties and metrics,background,2,2,0,2020,2021,0.78,False,False
CC3423BED18,/k3 redox electrolyte. photothermal layer creates temperature gradient,device_function,device function,device and system functions,background,1,1,0,2026,2026,0.97,False,False
C0891765310,3d-printed h2/electrolyte microchannels. internal gas/liquid transport,device_function,device function,device and system functions,background,1,0,1,2019,2019,0.97,False,False
C4453B9F58B,boost thermal charging,device_function,device function,device and system functions,background,1,1,0,2025,2025,0.97,False,False
C9438B7970E,carbon nanotube/cellulose nanocrystal photothermal nanocomposite,device_function,device function,device and system functions,background,1,0,1,2018,2018,0.97,False,False
C7EDC11DB44,cb/mwcnt photothermal materials,device_function,device function,device and system functions,background,1,1,0,2024,2024,0.97,False,False
C7B9B57B8CA,cnt photothermal conversion reinforce rubber,device_function,device function,device and system functions,background,1,1,0,2023,2023,0.97,False,False
C184E0697F4,cnt/il network adds photothermal,device_function,device function,device and system functions,background,1,1,0,2025,2025,0.97,False,False
C1AFAF55434,cnt/rgo photothermal top layer,device_function,device function,device and system functions,background,1,1,0,2026,2026,0.97,False,False
C533FCFD0F1,cotton-carbon photothermal fabric hanging evaporator,device_function,device function,device and system functions,background,1,0,1,2023,2023,0.97,False,False
C821707300A,cotton/ppy photothermal layer,device_function,device function,device and system functions,background,1,0,1,2025,2025,0.97,False,False
CEA7881BA28,eumelanin. photothermal water transpiration creates thermal gradients,device_function,device function,device and system functions,background,1,1,0,2026,2026,0.97,False,False
CFACA6EEA84,high-temperature thermal charging cells,device_function,device function,device and system functions,background,1,1,0,2026,2026,0.97,False,False
C6D41AFDA8C,magnesium-ion thermal charging cell,device_function,device function,device and system functions,background,1,1,0,2026,2026,0.97,False,False
C0B870F1347,mxene ppy electrodes add photothermal/electrochemical performance,device_function,device function,device and system functions,background,1,1,0,2024,2024,0.97,False,False
C0C8319A3CB,nir photothermal release enables therapy,device_function,device function,device and system functions,background,1,0,1,2026,2026,0.97,False,False
C7665C99E7F,photocatalytic redox-gradient regeneration,device_function,device function,device and system functions,background,1,0,1,2023,2023,0.97,False,False
C149A84EEA9,photothermal heating drives thermogalvanic voltage under sunlight,device_function,device function,device and system functions,background,1,0,1,2022,2022,0.97,False,False
CF62D564DE1,photothermal hydrogel generates temperature gradient for solar evaporation,device_function,device function,device and system functions,background,1,1,1,2025,2025,0.97,False,False
CDF7BFCBAA7,photothermal layer creates in-plane temperature gradient,device_function,device function,device and system functions,background,1,1,0,2026,2026,0.97,False,False
CAD661948CE,printed thermogalvanic module integration,device_function,device function,device and system functions,background,1,0,1,2025,2025,0.97,False,False
C20BCB62AD6,pva photothermal hydrogel,device_function,device function,device and system functions,background,1,1,1,2025,2025,0.97,False,False
CC21FAA9671,radiative-cooling thermogalvanic night generator,device_function,device function,device and system functions,background,1,0,1,2023,2023,0.97,False,False
C0951722F9B,resistance-gated thermogalvanic wearable,device_function,device function,device and system functions,background,1,1,1,2026,2026,0.97,False,False
CF535268496,smart-wound thermogalvanic dressing,device_function,device function,device and system functions,background,1,0,1,2026,2026,0.97,False,False
C41ADB600CD,solar-thermal liquid thermogalvanic generator,device_function,device function,device and system functions,background,1,0,1,2026,2026,0.97,False,False
C49DE7E8566,speed li+ conduction for thermal charging,device_function,device function,device and system functions,background,1,1,1,2024,2024,0.97,False,False
CC3F20DA5F8,y-shaped microchannel liquid-flow thermocell,device_function,device function,device and system functions,background,1,1,1,2024,2024,0.97,False,False
C6731C06C02,zinc-iodine thermal charging cell,device_function,device function,device and system functions,background,1,1,1,2024,2024,0.97,False,False
C0B53391EE1,zinc-ion thermal charging supercapacitor,device_function,device function,device and system functions,background,1,0,1,2023,2023,0.97,False,False
CCB7E33D0FE,ionic liquid,material_system,electrolyte and solvent,materials and chemical species,ontology_anchor,253,246,15,1999,2026,0.94,False,False
C4A92E5F4FE,hydrogel,material_system,soft material platform,materials and chemical species,ontology_anchor,202,146,79,2019,2026,0.94,False,False
CF6EB9E126B,perovskite,material_system,solid thermoelectric family,materials and chemical species,ontology_anchor,144,144,0,2000,2026,0.94,False,False
CE7888BA5E1,ionogel,material_system,soft material platform,materials and chemical species,ontology_anchor,79,78,3,2018,2026,0.94,False,False
C2964ADB3A9,chalcogenide,material_system,solid thermoelectric family,materials and chemical species,ontology_anchor,65,65,0,1997,2026,0.94,False,False
CBF24CD6AF1,electronic-structure modulation,solid_state_mechanism,electronic structure,solid-state transport mechanisms,prediction_core,265,265,0,1993,2026,0.94,True,False
C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,transport mechanisms,prediction_core,153,136,38,1995,2026,0.97,True,False
CB02CED7099,carrier-concentration optimization,solid_state_mechanism,electronic transport,solid-state transport mechanisms,prediction_core,124,124,0,1992,2026,0.94,True,False
C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,phase and species transitions,prediction_core,107,90,19,2003,2026,0.97,True,False
CCAABE058E7,ferri/ferrocyanide redox chemistry,redox_chemistry,redox mechanism,chemical and redox mechanisms,prediction_core,105,48,71,1991,2026,0.97,True,False
C2866DCD56B,PEDOT,material_entity,conducting polymer,materials and chemical species,prediction_core,102,100,5,2012,2026,0.94,True,False
CB727037BDD,lattice thermal-conductivity suppression,solid_state_mechanism,thermal transport,solid-state transport mechanisms,prediction_core,100,100,0,2004,2026,0.94,True,False
C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,94,52,62,2020,2026,0.97,True,False
C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,94,82,15,2002,2026,0.97,True,False
C9AFE334F36,phonon scattering,solid_state_mechanism,thermal transport,solid-state transport mechanisms,prediction_core,94,94,0,1993,2026,0.94,True,False
CBA7A0F0CA3,thermogalvanic redox conversion,device_mechanism,thermoelectrochemical conversion,device-scale conversion mechanisms,prediction_core,92,32,90,1994,2026,0.94,True,False
C1DF01A6473,PEDOT:PSS,material_entity,conducting polymer,materials and chemical species,prediction_core,89,88,3,2012,2026,0.94,True,False
C9910E60ABA,carbon nanotube,material_entity,carbon material,materials and chemical species,prediction_core,80,65,16,2009,2026,0.94,True,False
CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,78,58,25,2007,2026,0.97,True,False
C7B823B5BB0,poly(vinyl alcohol) (PVA),material_entity,polymer,materials and chemical species,prediction_core,77,63,23,2014,2026,0.94,True,False
C188B56F6F1,ion-selectivity membrane transport,transport_mechanism,transport mechanism,transport mechanisms,prediction_core,73,58,18,1994,2026,0.97,True,False
C25D09DDC57,Fe2+/Fe3+ solvation redox chemistry,redox_chemistry,redox mechanism,chemical and redox mechanisms,prediction_core,70,30,50,1993,2026,0.97,True,False
C84C6A613D4,cellulose nanofiber scaffold,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,68,59,11,2017,2026,0.97,True,False
C2378F90E64,anharmonic phonon transport,solid_state_mechanism,thermal transport,solid-state transport mechanisms,prediction_core,66,66,0,2013,2026,0.94,True,False
C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,chemical and redox mechanisms,prediction_core,64,54,17,2011,2026,0.97,True,False
CFE4361F368,charge-carrier mobility,solid_state_mechanism,electronic transport,solid-state transport mechanisms,prediction_core,59,59,0,1995,2026,0.94,True,False
C23B9BED21A,ionic conduction,transport_mechanism,ionic transport,transport mechanisms,prediction_core,59,55,4,1992,2026,0.94,True,False
C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,chemical and redox mechanisms,prediction_core,57,45,15,2004,2026,0.94,True,False
C37031A3390,cellulose,material_entity,biopolymer,materials and chemical species,prediction_core,56,51,7,2017,2026,0.94,True,False
C130B58DCFB,ferri/ferrocyanide,material_entity,redox couple,materials and chemical species,prediction_core,56,21,47,1994,2026,0.94,True,False
CF4A6A0344F,ion migration,transport_mechanism,ionic transport,transport mechanisms,prediction_core,51,48,5,1993,2026,0.94,True,False
C8AD5B453CC,ion diffusion,transport_mechanism,ionic transport,transport mechanisms,prediction_core,49,45,7,1999,2026,0.94,True,False
CC7D2579013,mixed ionic-covalent bonding,solid_state_mechanism,chemical bonding,solid-state transport mechanisms,prediction_core,49,49,0,2001,2026,0.94,True,False
CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,transport mechanisms,prediction_core,48,43,16,2016,2026,0.97,True,False
CC3BA67827F,ionic-electronic coupling,transport_mechanism,coupled transport,transport mechanisms,prediction_core,48,48,1,1993,2026,0.97,True,False
C45C8AAD12E,charge-transfer resistance engineering,electrode_interface,interface/kinetics mechanism,interfaces and kinetics,prediction_core,46,32,19,1991,2026,0.97,True,False
C6181968680,graphene,material_entity,carbon material,materials and chemical species,prediction_core,46,38,9,2012,2026,0.94,True,False
CEA29EF1A99,thermal-gradient heat-transfer control,device_mechanism,thermal management,device-scale conversion mechanisms,prediction_core,45,29,17,2010,2026,0.94,True,False
C7932B1CE8C,chaotropic polymer-water disruption,gel_microstructure,soft-material mechanism,soft-material structure,prediction_core,43,34,13,2018,2026,0.97,True,False
CE4B0E242E7,interfacial charge transfer,electrode_interface,charge transfer,interfaces and kinetics,prediction_core,43,36,11,1991,2026,0.94,True,False
