alias,concept_id,canonical_concept,alias_source
p/n thermogalvanic series design,C106397924D,p/n thermogalvanic series design,canonical
gete under high pressure. pressure-driven phase transitions,C107E351C9A,gete under high pressure. pressure-driven phase transitions,canonical
hydrogen bonding,C10C4FF4B6C,hydrogen bonding,canonical
hydrogen bond,C10C4FF4B6C,hydrogen bonding,controlled_rule
hydrogen bonds,C10C4FF4B6C,hydrogen bonding,controlled_rule
selective solvation,C10D3798CF7,selective solvation,canonical
In2HfI6,C10FA9863D4,In2HfI6,canonical
electronic seebeck,C11251D60A5,electronic seebeck,canonical
Sr2TiO4,C1169D12D73,Sr2TiO4,canonical
Cs2NaScI6,C1182E1376C,Cs2NaScI6,canonical
Li-ion TREC electrode-selection thermodynamics,C1183ECD2E7,Li-ion TREC electrode-selection thermodynamics,canonical
radiative cooling,C1192E1FF1D,radiative cooling,canonical
SAM-stabilized electrostatic electrocatalysis,C11BC7CD053,SAM-stabilized electrostatic electrocatalysis,canonical
Ag2BaSnSe4,C11FBBEE97C,Ag2BaSnSe4,canonical
seebeck voltage,C1220B56106,seebeck voltage,canonical
powder diffraction,C1222343440,powder diffraction,canonical
Li2ZnCl4,C122F7D61FB,Li2ZnCl4,canonical
BF4,C1233ADA4A4,BF4,canonical
CsZnBr3,C1252A9A59C,CsZnBr3,canonical
memsa/gdmcl tune ferricyanide solvation to enhance seebeck coefficient,C125763C2E2,memsa/gdmcl tune ferricyanide solvation to enhance seebeck coefficient,canonical
MgY2Te4,C12AB0A1055,MgY2Te4,canonical
NTf2,C12C835EC9A,NTf2,canonical
ferri/ferrocyanide,C130B58DCFB,ferri/ferrocyanide,canonical
Fe(CN)63-,C130B58DCFB,ferri/ferrocyanide,controlled_rule
Fe(CN)64-,C130B58DCFB,ferri/ferrocyanide,controlled_rule
[Fe(CN)6]3-/,C130B58DCFB,ferri/ferrocyanide,controlled_rule
[Fe(CN)6]4-/,C130B58DCFB,ferri/ferrocyanide,controlled_rule
ferrocyanide/ferricyanide,C130B58DCFB,ferri/ferrocyanide,controlled_rule
GelMA,C130E14768C,GelMA,canonical
CoFe16O27,C130E631AA6,CoFe16O27,canonical
Ag3TlTe2,C131B82B6AE,Ag3TlTe2,canonical
SrGaH5,C13692E73F8,SrGaH5,canonical
YST04,C139A950A0C,YST04,canonical
Ge15Te85,C13E93FEAFF,Ge15Te85,canonical
Mg2Ge,C1488CAE9F4,Mg2Ge,canonical
photothermal heating drives thermogalvanic voltage under sunlight,C149A84EEA9,photothermal heating drives thermogalvanic voltage under sunlight,canonical
coupling thermodiffusion,C14E1CC5BA0,coupling thermodiffusion,canonical
La4Ga2Se6O3,C155819E447,La4Ga2Se6O3,canonical
PEG1000,C15A3C9AA66,PEG1000,canonical
LaMnO3,C15B609C89B,LaMnO3,canonical
CuMX2,C15BE639405,CuMX2,canonical
Zr2SeN2,C160C1FB88B,Zr2SeN2,canonical
soret ion diffusion,C16105E4B21,soret ion diffusion,canonical
Co2VGa,C161EF590A2,Co2VGa,canonical
electrochemical seebeck coefficient,C1679C210A6,electrochemical seebeck coefficient,canonical
radiative-cooling structure. chaotropic effect raises seebeck coefficient,C169441ACA0,radiative-cooling structure. chaotropic effect raises seebeck coefficient,canonical
IP6,C16983A1D18,IP6,canonical
redox-split chemical heterogeneity,C177520C699,redox-split chemical heterogeneity,canonical
sio2 nanoparticles create ion channels,C178ACD7138,sio2 nanoparticles create ion channels,canonical
double-network hydrogel mechanics,C17A556FB4A,double-network hydrogel mechanics,canonical
K4Fe(CN)6,C17F807C9B9,K4Fe(CN)6,canonical
pva/peg/fe3+/fe2+ thermogalvanic organohydrogel,C1804BB2DB1,pva/peg/fe3+/fe2+ thermogalvanic organohydrogel,canonical
ion concentration-gradient formation,C182567E63B,ion concentration-gradient formation,canonical
ionic concentration gradient,C182567E63B,ion concentration-gradient formation,controlled_rule
redox-ion concentration gradient,C182567E63B,ion concentration-gradient formation,controlled_rule
Na3SCl,C182FF6C466,Na3SCl,canonical
cnt/il network adds photothermal,C184E0697F4,cnt/il network adds photothermal,canonical
A2B,C1879D16E7C,A2B,canonical
ion-selectivity membrane transport,C188B56F6F1,ion-selectivity membrane transport,canonical
lowering charge-transfer/diffusion resistance,C188DAC80D7,lowering charge-transfer/diffusion resistance,canonical
CaBe2X2,C189DAFCA96,CaBe2X2,canonical
ionic seebeck effect,C18E39F9AC4,ionic seebeck effect,canonical
InCuS2,C19CEE90CAF,InCuS2,canonical
[M(L)3],C1A1CCF7E26,[M(L)3],canonical
Co4O9,C1A31680206,Co4O9,canonical
CsSnBr3,C1A89667A20,CsSnBr3,canonical
Ba3GeO,C1A898A1196,Ba3GeO,canonical
transmission electron microscopy,C1A9158F2A8,transmission electron microscopy,canonical
TEM,C1A9158F2A8,transmission electron microscopy,controlled_rule
SiO2,C1AAB990F48,SiO2,canonical
NdCoO3,C1ABB4DC192,NdCoO3,canonical
Li10GeP2S12,C1ACA60C0EE,Li10GeP2S12,canonical
cnt/rgo photothermal top layer,C1AFAF55434,cnt/rgo photothermal top layer,canonical
MnPd2Se2,C1B1E379368,MnPd2Se2,canonical
CsVO3,C1B8E7AD911,CsVO3,canonical
CaZn2Sb2,C1C01A59352,CaZn2Sb2,canonical
B2O3,C1C16C462DE,B2O3,canonical
n-type conductivity,C1C56C3E50C,n-type conductivity,canonical
RBa2Cu3O7,C1C99684DB3,RBa2Cu3O7,canonical
Ca3Co2O6,C1CC25451C2,Ca3Co2O6,canonical
high-entropy chalcogenide alloys (ge,C1D013E9BCB,high-entropy chalcogenide alloys (ge,canonical
Bi2O3-3,C1D07AF9F0F,Bi2O3-3,canonical
LiNi0,C1D1EBF0090,LiNi0,canonical
high thermal conductivity,C1D7572AB43,high thermal conductivity,canonical
Ga3In,C1DA21F75B7,Ga3In,canonical
PEDOT:PSS,C1DF01A6473,PEDOT:PSS,canonical
Mn2CoGe,C1E1F72A37D,Mn2CoGe,canonical
BMIMBF4,C1E4ABFFD92,BMIMBF4,canonical
[C4mim]3,C1E5499F9F5,[C4mim]3,canonical
CaMg2Bi2,C1E5FAEA440,CaMg2Bi2,canonical
[Ni(bpy)3]2+/3+,C1E6D605CE0,[Ni(bpy)3]2+/3+,canonical
Ba2HfS4,C1EAABA6EB2,Ba2HfS4,canonical
high seebeck coefficient,C1F3FEDB678,high seebeck coefficient,canonical
Cs2AgAsCl6,C1F47D5473C,Cs2AgAsCl6,canonical
NdFe4As12,C1F7BAD230B,NdFe4As12,canonical
alloy/disorder phonon scattering,C1FC9BD492E,alloy/disorder phonon scattering,canonical
alloy scattering,C1FC9BD492E,alloy/disorder phonon scattering,controlled_rule
site disorder,C1FC9BD492E,alloy/disorder phonon scattering,controlled_rule
double-layer energy controlling soret coefficient,C1FFEDDD6A1,double-layer energy controlling soret coefficient,canonical
ch3so3- slows anion thermodiffusion,C2008777EB7,ch3so3- slows anion thermodiffusion,canonical
Na2ZrO3,C202DB633BC,Na2ZrO3,canonical
PSFC-0,C203B56483D,PSFC-0,canonical
alkaline-fuel-cell waste-heat cascade,C206770331A,alkaline-fuel-cell waste-heat cascade,canonical
Ca3AlSb3,C209DD5274F,Ca3AlSb3,canonical
pva photothermal hydrogel,C20BCB62AD6,pva photothermal hydrogel,canonical
Sr8Al10Si36,C20C432497B,Sr8Al10Si36,canonical
seebeck behavior,C20C7DE618C,seebeck behavior,canonical
TiGaO3,C20CAFDAE2F,TiGaO3,canonical
iodide/triiodide,C2106B674B9,iodide/triiodide,canonical
I-/I3,C2106B674B9,iodide/triiodide,controlled_rule
K2IrBr6,C2172CB9CA5,K2IrBr6,canonical
CeCo5Fe3Sb12,C219F3B4D83,CeCo5Fe3Sb12,canonical
Ag2BaSiS4,C219F836308,Ag2BaSiS4,canonical
La3Ga4,C21A080EEC6,La3Ga4,canonical
CaAg0,C21E51C7113,CaAg0,canonical
Cu8O18,C21F8534638,Cu8O18,canonical
Li2CO3,C22038978C0,Li2CO3,canonical
electrostatic/ion-pi interactions raise redox entropy difference,C2229AFE919,electrostatic/ion-pi interactions raise redox entropy difference,canonical
Bi2Se3(hexylammonium)0,C226DD963EE,Bi2Se3(hexylammonium)0,canonical
Li2SnS3,C226E4DD4A0,Li2SnS3,canonical
SrTiO3,C2276A75659,SrTiO3,canonical
Ni2Sn0,C2285784CFB,Ni2Sn0,canonical
Cs2AgAsBr6,C228E47DE85,Cs2AgAsBr6,canonical
Ni-bipyridine hydration-shell entropy,C22DDC0180F,Ni-bipyridine hydration-shell entropy,canonical
H2SO4,C22DFAA7132,H2SO4,canonical
polymer-electrolyte Soret spectroscopy,C232188E7CE,polymer-electrolyte Soret spectroscopy,canonical
anharmonic phonon transport,C2378F90E64,anharmonic phonon transport,canonical
anharmonic,C2378F90E64,anharmonic phonon transport,controlled_rule
anharmonicity,C2378F90E64,anharmonic phonon transport,controlled_rule
phonon anharmonicity,C2378F90E64,anharmonic phonon transport,controlled_rule
thermogalvanic corrosion,C237A8162E2,thermogalvanic corrosion,canonical
electrodissolution,C237A8162E2,thermogalvanic corrosion,controlled_rule
AMg2Sb2,C239156CE05,AMg2Sb2,canonical
Li4Ti5O12,C23A4008908,Li4Ti5O12,canonical
al2o3 anodic aluminum oxide nanochannel membranes,C23A8127C49,al2o3 anodic aluminum oxide nanochannel membranes,canonical
Li2PdCl6,C23A96892E6,Li2PdCl6,canonical
ionic conduction,C23B9BED21A,ionic conduction,canonical
ion conduction,C23B9BED21A,ionic conduction,controlled_rule
[Fe(CN)6]4-,C23EEC37600,[Fe(CN)6]4-,canonical
antifreezing ability mxene reinforces gelation,C24114E2CE2,antifreezing ability mxene reinforces gelation,canonical
MgEu2Se4,C242AF9C7C4,MgEu2Se4,canonical
Li3VO4,C242C11084C,Li3VO4,canonical
thermogalvanic ions. bionic training aligns ion channels,C2436DFFB2E,thermogalvanic ions. bionic training aligns ion channels,canonical
[Cu2Se2],C24641497DE,[Cu2Se2],canonical
Ho2S3,C246691C19D,Ho2S3,canonical
polymer matrices to control ionic entropy,C24781C528F,polymer matrices to control ionic entropy,canonical
entropy difference of thermogalvanic ions at subzero temperatures,C2499DB7696,entropy difference of thermogalvanic ions at subzero temperatures,canonical
Na2YCuBr6,C24D9278A05,Na2YCuBr6,canonical
Cu2S,C24DA40DB81,Cu2S,canonical
[Co(ppy)]3+/2+,C2508FE199D,[Co(ppy)]3+/2+,canonical
Ir4Si10,C2553B84E1B,Ir4Si10,canonical
RbXH3,C25969153F3,RbXH3,canonical
maximum seebeck coefficient,C25AE3AAFFE,maximum seebeck coefficient,canonical
Fe2+/Fe3+ solvation redox chemistry,C25D09DDC57,Fe2+/Fe3+ solvation redox chemistry,canonical
TlPbF3,C260B3510BE,TlPbF3,canonical
K2IrI6,C2616B9A75E,K2IrI6,canonical
CuSbSe2,C268ED7B132,CuSbSe2,canonical
diffraction data,C26CDBDFF7D,diffraction data,canonical
Bi2V0,C26DA90A117,Bi2V0,canonical
Ag8Sn1,C26DB34ADBD,Ag8Sn1,canonical
PbF2,C26FBA27ABC,PbF2,canonical
Ba11W4O23,C270BA46537,Ba11W4O23,canonical
Sr2RNbO6,C2745565CCE,Sr2RNbO6,canonical
iodide/triiodide redox chemistry,C275FB7C4B0,iodide/triiodide redox chemistry,canonical
iodide/triiodide redox,C275FB7C4B0,iodide/triiodide redox chemistry,cleaned_open_concept
NC10N,C279C383082,NC10N,canonical
AlSb3,C28530E89C4,AlSb3,canonical
PEDOT,C2866DCD56B,PEDOT,canonical
SrMoO3,C2880A1DF90,SrMoO3,canonical
thermodiffusion to produce giant thermoelectric response,C28FFB48510,thermodiffusion to produce giant thermoelectric response,canonical
kcl complexation enhance redox entropy/concentration difference,C292F7E61B5,kcl complexation enhance redox entropy/concentration difference,canonical
X-ray photoelectron spectroscopy,C29481F2AFF,X-ray photoelectron spectroscopy,canonical
XPS,C29481F2AFF,X-ray photoelectron spectroscopy,controlled_rule
chalcogenide,C2964ADB3A9,chalcogenide,canonical
chalcogenides,C2964ADB3A9,chalcogenide,controlled_rule
Li2Na2MnO4,C296F24583A,Li2Na2MnO4,canonical
LSCF1982,C29E72A29F5,LSCF1982,canonical
Soret coefficient,C2A620367E2,Soret coefficient,canonical
soret coefficients,C2A620367E2,Soret coefficient,cleaned_open_concept
Cs2InAgBr6,C2A7D8575D0,Cs2InAgBr6,canonical
ZrTe5,C2A80B2422D,ZrTe5,canonical
guanidinium chloride (GdmCl),C2A8A04727D,guanidinium chloride (GdmCl),canonical
GdmCl,C2A8A04727D,guanidinium chloride (GdmCl),controlled_rule
guanidine hydrochloride,C2A8A04727D,guanidinium chloride (GdmCl),controlled_rule
guanidinium,C2A8A04727D,guanidinium chloride (GdmCl),controlled_rule
guanidinium chloride,C2A8A04727D,guanidinium chloride (GdmCl),controlled_rule
NdRu4As12,C2AA52C7051,NdRu4As12,canonical
Cu3Sn(025),C2AA6DC8D8B,Cu3Sn(025),canonical
dimethyl sulfoxide (DMSO),C2AB2ABA9A6,dimethyl sulfoxide (DMSO),canonical
DMSO,C2AB2ABA9A6,dimethyl sulfoxide (DMSO),controlled_rule
dimethyl sulfoxide,C2AB2ABA9A6,dimethyl sulfoxide (DMSO),controlled_rule
refrigeration performance,C2B020942AC,refrigeration performance,canonical
KMn6Bi5,C2B4BBF6DCC,KMn6Bi5,canonical
KH550,C2B7EA1DBD3,KH550,canonical
AgITe3,C2BFAFAA157,AgITe3,canonical
Cu26T2Ge6S32,C2C11FC66B9,Cu26T2Ge6S32,canonical
seebeck effect,C2C30017E62,seebeck effect,canonical
high thermopower,C2C6E45217A,high thermopower,canonical
evaporation charged nanochannels drive ionic thermoelectric,C2C9BA90855,evaporation charged nanochannels drive ionic thermoelectric,canonical
increases solvation entropy/disorder,C2D4F414929,increases solvation entropy/disorder,canonical
SO3H,C2D92CC8696,SO3H,canonical
low lattice thermal conductivity kappa,C2D9F3D7054,low lattice thermal conductivity kappa,canonical
NO3,C2DA63DEF6B,NO3,canonical
but only partly suppress cu precipitation/degradation,C2DA8F13653,but only partly suppress cu precipitation/degradation,canonical
AuTe2,C2DAFF64A9B,AuTe2,canonical
InTe1,C2DBFB4F6C2,InTe1,canonical
ABO4,C2E8DEF1BED,ABO4,canonical
BaZn2Si2,C2ECCFFCF99,BaZn2Si2,canonical
K2LiBiI6,C2EEE47F1E3,K2LiBiI6,canonical
CuFeSe2,C2F2C9C9860,CuFeSe2,canonical
V2S5,C2F32604B8E,V2S5,canonical
Se24C,C2F32DB8ACC,Se24C,canonical
nerve-impulse ionic/electric-charge system in neural tissue. entropy,C2F4CB72FC7,nerve-impulse ionic/electric-charge system in neural tissue. entropy,canonical
clathrate,C2F611E9EEA,clathrate,canonical
clathrates,C2F611E9EEA,clathrate,controlled_rule
Ga2HfI6,C2F6B6DB162,Ga2HfI6,canonical
Zr2MnB,C2FA31314E2,Zr2MnB,canonical
Cs2YCuCl6,C2FBB344797,Cs2YCuCl6,canonical
Cu2Sn0,C2FCA93FBF6,Cu2Sn0,canonical
colloidal particles in liquid media. thermogalvanic redox entropy,C2FD92A4724,colloidal particles in liquid media. thermogalvanic redox entropy,canonical
NH4+,C2FDBC1D6AD,NH4+,canonical
ionic thermodiffusion (Soret effect),C3002C089A5,ionic thermodiffusion (Soret effect),canonical
ion thermodiffusion,C3002C089A5,ionic thermodiffusion (Soret effect),cleaned_open_concept
soret effect,C3002C089A5,ionic thermodiffusion (Soret effect),cleaned_open_concept
soret thermodiffusion,C3002C089A5,ionic thermodiffusion (Soret effect),cleaned_open_concept
soret-effect ion thermodiffusion,C3002C089A5,ionic thermodiffusion (Soret effect),cleaned_open_concept
thermal diffusion,C3002C089A5,ionic thermodiffusion (Soret effect),cleaned_open_concept
thermodiffusion effect,C3002C089A5,ionic thermodiffusion (Soret effect),cleaned_open_concept
Soret,C3002C089A5,ionic thermodiffusion (Soret effect),controlled_rule
ionic thermodiffusion,C3002C089A5,ionic thermodiffusion (Soret effect),controlled_rule
thermophoretic,C3002C089A5,ionic thermodiffusion (Soret effect),controlled_rule
CdIn2S4,C30033E1C5F,CdIn2S4,canonical
Ca2Co2O5,C302DC328B7,Ca2Co2O5,canonical
Na4MnO4,C3034871F0E,Na4MnO4,canonical
electrical conductivity sigma,C30475C6EA1,electrical conductivity sigma,canonical
K3Fe(CN)6,C3053810969,K3Fe(CN)6,canonical
TbCo4Sb12,C30823BA2EA,TbCo4Sb12,canonical
FeSb2,C30DC250D3F,FeSb2,canonical
HI-30,C30FCEAEE8A,HI-30,canonical
SbCl3,C311C0E1A8F,SbCl3,canonical
B2O3-,C3158413363,B2O3-,canonical
Sr3Co4O9,C3164A00A20,Sr3Co4O9,canonical
BaZrO3,C3166BE895C,BaZrO3,canonical
CsSnCl3,C31728060AB,CsSnCl3,canonical
negative seebeck coefficient,C3197A0656B,negative seebeck coefficient,canonical
SrMoN3,C319ECDF14D,SrMoN3,canonical
eastman entropy divalent cations produce stronger n-type thermopower,C31BDB3FCF4,eastman entropy divalent cations produce stronger n-type thermopower,canonical
Cu6Sn5(001),C31E5C614B3,Cu6Sn5(001),canonical
KSbMoO6,C31E7C0D60C,KSbMoO6,canonical
thermogalvanic quasi-solid systems. reviewed ion thermodiffusion,C320C29F6AA,thermogalvanic quasi-solid systems. reviewed ion thermodiffusion,canonical
ionic conductivity for coupled thermogalvanic/thermodiffusion output,C320D98F50A,ionic conductivity for coupled thermogalvanic/thermodiffusion output,canonical
REO1,C326DA66618,REO1,canonical
amplifies cation thermodiffusion,C326EE62289,amplifies cation thermodiffusion,canonical
Bi2O2Ch,C32B1D8AB7A,Bi2O2Ch,canonical
In4Se3,C32DC45E05C,In4Se3,canonical
electron microscopy,C331CCBD546,electron microscopy,canonical
Mn2O3,C332639E0A4,Mn2O3,canonical
increases fe3+-water redox solvation entropy,C33713C90F5,increases fe3+-water redox solvation entropy,canonical
thermal charging redox storage,C338491CE9C,thermal charging redox storage,canonical
soret effect generates ionic thermovoltage,C339C6ED6D6,soret effect generates ionic thermovoltage,canonical
Ag2O-2,C33B59F9C29,Ag2O-2,canonical
Cs2YCuBr6,C343C183245,Cs2YCuBr6,canonical
[FeCl4]2-/,C34594A8E2A,[FeCl4]2-/,canonical
acetic acid. acetic-acid complexation controls crystallinity/morphology,C34826C29E9,acetic acid. acetic-acid complexation controls crystallinity/morphology,canonical
urea additives. guanidinium chaotropic cations,C3511450D7B,urea additives. guanidinium chaotropic cations,canonical
PbI2,C356580977C,PbI2,canonical
hybrid entropy increase,C357691AE00,hybrid entropy increase,canonical
decomposition-layer thermogalvanic profiling,C359A01B5B5,decomposition-layer thermogalvanic profiling,canonical
HgBa2Ca,C359B1D3088,HgBa2Ca,canonical
BaMg2Si2,C35B64932FC,BaMg2Si2,canonical
dynamic crosslinking,C35DDE292CA,dynamic crosslinking,canonical
dynamic crosslinked,C35DDE292CA,dynamic crosslinking,controlled_rule
dynamic network,C35DDE292CA,dynamic crosslinking,controlled_rule
Fe2VAl,C3601FABBAE,Fe2VAl,canonical
LiFePO4,C3683787B5D,LiFePO4,canonical
NbSe2,C36BED12165,NbSe2,canonical
NiMnO3,C36F25F3B5C,NiMnO3,canonical
cellulose,C37031A3390,cellulose,canonical
TlSnF3,C3705980529,TlSnF3,canonical
selective fe2+-nitrile solvation enlarge redox entropy change,C373D1028AF,selective fe2+-nitrile solvation enlarge redox entropy change,canonical
operational stability,C375D83B7F6,operational stability,canonical
Co2Fe(CN)6,C376AE88458,Co2Fe(CN)6,canonical
optical conductivity,C378728FFD4,optical conductivity,canonical
directing low-temperature chalcogenide crystallization,C3823146173,directing low-temperature chalcogenide crystallization,canonical
Al2O3,C3848258807,Al2O3,canonical
density functional theory,C384BEE1074,density functional theory,canonical
DFT,C384BEE1074,density functional theory,controlled_rule
AgGaO3,C3861599306,AgGaO3,canonical
exhibits high seebeck,C387CBD1C60,exhibits high seebeck,canonical
YbMg2Bi2,C38A06211C5,YbMg2Bi2,canonical
CPV-iTEC solar cascade coupling,C38AFDD17C1,CPV-iTEC solar cascade coupling,canonical
