cutoff_year,concept_u,concept_v,u_type,v_type,dprev_ite,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,future_edge_label,future_example_title,future_window
2015,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,12,2,0,2,0,2,0,0,0.0,0,12,0.25939389445735944,0,23,1,0,0,0,,2016-2018
2015,Fe2+/Fe3+ solvation redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,4,2,2,2,2,2,2,0,0.0,4,4,0.005697690299502348,1,23,1,0,0,0,,2016-2018
2015,Fe2+/Fe3+ solvation redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,2,3,2,3,2,3,0,0.0,6,12,0.07973800215998696,0,23,1,0,0,0,,2016-2018
2015,Fe2+/Fe3+ solvation redox chemistry,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,12,2,1,2,1,2,1,0,0.0,2,12,0.11363031438998632,1,23,1,0,0,0,,2016-2018
2015,Fe2+/Fe3+ solvation redox chemistry,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,3,2,2,2,2,2,2,0,0.0,4,3,0.010403882558377703,1,23,1,0,0,0,,2016-2018
2015,anti-freezing organohydrogel design,carbon-electrode redox interface,gel_microstructure,electrode_interface,4,1,2,1,2,1,2,0,0.0,2,4,0.0,1,9,1,0,0,0,,2016-2018
2015,anti-freezing organohydrogel design,imidazolium ionic-liquid phase transition electrolyte,gel_microstructure,material_system,3,1,3,1,3,1,3,0,0.0,3,3,0.0,1,9,1,0,0,0,,2016-2018
2015,anti-freezing organohydrogel design,organic redox molecular design,gel_microstructure,redox_chemistry,2,1,3,1,3,1,3,1,0.9102392266268373,3,2,0.2671959757754613,1,9,1,0,0,0,,2016-2018
2015,anti-freezing organohydrogel design,phase-transition entropy amplification,gel_microstructure,phase_or_species_transition,2,1,1,1,1,1,1,1,0.9102392266268373,1,2,0.0,1,9,1,0,0,0,,2016-2018
2015,carbon-electrode redox interface,ferri/ferrocyanide redox chemistry,electrode_interface,redox_chemistry,12,2,3,2,3,2,3,0,0.0,6,12,0.0733422135010091,1,3,1,0,0,0,,2016-2018
2015,carbon-electrode redox interface,iodide/triiodide redox chemistry,electrode_interface,redox_chemistry,12,2,0,2,0,2,0,0,0.0,0,12,0.07036082837596946,1,3,1,0,0,0,,2016-2018
2015,carbon-electrode redox interface,organic redox molecular design,electrode_interface,redox_chemistry,2,2,3,2,3,2,3,1,0.9102392266268373,6,2,0.08308287991108416,1,3,1,0,0,0,,2016-2018
2015,carbon-electrode redox interface,phase-transition entropy amplification,electrode_interface,phase_or_species_transition,4,2,1,2,1,2,1,0,0.0,2,4,0.006111271569364313,1,3,1,0,0,0,,2016-2018
2015,carbon-electrode redox interface,quasi-solid granular electrolyte matrix,electrode_interface,material_system,12,2,2,2,2,2,2,0,0.0,4,12,0.08186875887787053,1,3,1,0,0,0,,2016-2018
2015,charge-transfer resistance engineering,phase-transition entropy amplification,electrode_interface,phase_or_species_transition,12,0,1,0,1,0,1,0,0.0,0,12,0.08384221128599942,1,22,1,0,0,0,,2016-2018
2015,ferri/ferrocyanide redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,12,3,0,3,0,3,0,0,0.0,0,12,0.2763401677914044,0,23,1,0,0,0,,2016-2018
2015,ferri/ferrocyanide redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,3,3,2,3,2,3,2,0,0.0,6,3,0.0,1,23,1,0,0,0,,2016-2018
2015,ferri/ferrocyanide redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,3,3,3,3,3,3,0,0.0,9,12,0.08559017493156415,0,23,1,0,0,0,,2016-2018
2015,ferri/ferrocyanide redox chemistry,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,2,3,2,3,2,3,2,1,1.4426950408889634,6,2,0.0,1,23,1,0,0,0,,2016-2018
2015,imidazolium ionic-liquid phase transition electrolyte,ion-selectivity membrane transport,material_system,transport_mechanism,12,3,2,3,2,3,2,0,0.0,6,12,0.0997268045523357,1,2,1,0,0,0,,2016-2018
2015,imidazolium ionic-liquid phase transition electrolyte,moisture-gradient ion transport,material_system,transport_mechanism,12,3,0,3,0,3,0,0,0.0,0,12,0.08042865014482177,1,2,1,0,0,0,,2016-2018
2015,imidazolium ionic-liquid phase transition electrolyte,phase-transition entropy amplification,material_system,phase_or_species_transition,3,3,1,3,1,3,1,0,0.0,3,3,0.26105512509601425,1,2,1,0,0,1,Large Power Factor Improvement in a Novel Solid-Liquid Thermoelectric Hybrid Device,2016-2018
2015,imidazolium ionic-liquid phase transition electrolyte,quasi-solid granular electrolyte matrix,material_system,material_system,12,3,2,3,2,3,2,0,0.0,6,12,0.22657513167362228,0,2,1,0,0,0,,2016-2018
2015,iodide/triiodide redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,0,3,0,3,0,3,0,0.0,0,12,0.07057332462830378,0,6,1,0,0,0,,2016-2018
2015,ion-selectivity membrane transport,moisture-gradient ion transport,transport_mechanism,transport_mechanism,12,2,0,2,0,2,0,0,0.0,0,12,0.24357054696533564,0,17,1,0,0,1,Ionic thermoelectric paper,2016-2018
2015,moisture-gradient ion transport,phase-transition entropy amplification,transport_mechanism,phase_or_species_transition,12,0,1,0,1,0,1,0,0.0,0,12,0.07445571452452059,1,14,1,0,0,0,,2016-2018
2015,organic redox molecular design,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,2,3,1,3,1,3,1,1,0.9102392266268373,3,2,0.0,1,3,1,0,0,0,,2016-2018
2015,organic redox molecular design,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,12,3,2,3,2,3,2,0,0.0,6,12,0.07367228621558151,1,3,1,0,0,0,,2016-2018
2016,Fe2+/Fe3+ solvation redox chemistry,carbon-electrode redox interface,redox_chemistry,electrode_interface,12,2,2,2,2,2,2,0,0.0,4,12,0.07529329632053416,1,24,1,0,0,0,,2017-2019
2016,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,12,2,0,2,0,2,0,0,0.0,0,12,0.26854839786869594,0,24,1,0,0,0,,2017-2019
2016,Fe2+/Fe3+ solvation redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,4,2,4,2,4,2,4,0,0.0,8,4,0.005154874297814069,1,24,1,0,0,0,,2017-2019
2016,Fe2+/Fe3+ solvation redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,2,3,2,3,2,3,0,0.0,6,12,0.08449576695585077,0,24,1,0,0,0,,2017-2019
2016,Fe2+/Fe3+ solvation redox chemistry,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,12,2,1,2,1,2,1,0,0.0,2,12,0.09738517379688931,1,24,1,0,0,0,,2017-2019
2016,Fe2+/Fe3+ solvation redox chemistry,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,3,2,2,2,2,2,2,0,0.0,4,3,0.010817581107138164,1,24,1,0,0,0,,2017-2019
2016,anti-freezing organohydrogel design,carbon-electrode redox interface,gel_microstructure,electrode_interface,4,1,2,1,2,1,2,0,0.0,2,4,0.0,1,10,1,0,0,0,,2017-2019
2016,anti-freezing organohydrogel design,deep-eutectic eutogel electrolyte,gel_microstructure,material_system,12,1,2,1,2,1,2,0,0.0,2,12,0.06781923513218487,1,10,1,0,0,0,,2017-2019
2016,anti-freezing organohydrogel design,imidazolium ionic-liquid phase transition electrolyte,gel_microstructure,material_system,3,1,3,1,3,1,3,0,0.0,3,3,0.0,1,10,1,0,0,0,,2017-2019
2016,anti-freezing organohydrogel design,organic redox molecular design,gel_microstructure,redox_chemistry,2,1,3,1,3,1,3,1,0.7213475204444817,3,2,0.27078780441461414,1,10,1,0,0,0,,2017-2019
2016,anti-freezing organohydrogel design,phase-transition entropy amplification,gel_microstructure,phase_or_species_transition,2,1,1,1,1,1,1,1,0.7213475204444817,1,2,0.0,1,10,1,0,0,0,,2017-2019
2016,carbon-electrode redox interface,deep-eutectic eutogel electrolyte,electrode_interface,material_system,12,2,2,2,2,2,2,0,0.0,4,12,0.08196149504090436,1,4,1,0,0,0,,2017-2019
2016,carbon-electrode redox interface,ferri/ferrocyanide redox chemistry,electrode_interface,redox_chemistry,12,2,3,2,3,2,3,0,0.0,6,12,0.07754870639423661,1,4,1,0,0,0,,2017-2019
2016,carbon-electrode redox interface,iodide/triiodide redox chemistry,electrode_interface,redox_chemistry,12,2,0,2,0,2,0,0,0.0,0,12,0.07447409502001225,1,4,1,0,0,0,,2017-2019
2016,carbon-electrode redox interface,organic redox molecular design,electrode_interface,redox_chemistry,2,2,3,2,3,2,3,1,0.9102392266268373,6,2,0.0873822455779323,1,4,1,0,0,0,,2017-2019
2016,carbon-electrode redox interface,phase-transition entropy amplification,electrode_interface,phase_or_species_transition,4,2,1,2,1,2,1,0,0.0,2,4,0.004596981801239923,1,4,1,0,0,0,,2017-2019
2016,carbon-electrode redox interface,quasi-solid granular electrolyte matrix,electrode_interface,material_system,12,2,2,2,2,2,2,0,0.0,4,12,0.07144808138767678,1,4,1,0,0,0,,2017-2019
2016,charge-transfer resistance engineering,phase-transition entropy amplification,electrode_interface,phase_or_species_transition,12,0,1,0,1,0,1,0,0.0,0,12,0.08745510157968633,1,23,1,0,0,1,"Understanding the Structure and Properties of Sesqui-Chalcogenides (i.e., V2VI3 or Pn2Ch3 (Pn = Pnictogen, Ch = Chalcogen) Compounds) from a Bonding Perspective",2017-2019
2016,deep-eutectic eutogel electrolyte,ferri/ferrocyanide redox chemistry,material_system,redox_chemistry,4,2,3,2,3,2,3,0,0.0,6,4,0.0,1,2,1,0,0,0,,2017-2019
2016,deep-eutectic eutogel electrolyte,imidazolium ionic-liquid phase transition electrolyte,material_system,material_system,12,2,3,2,3,2,3,0,0.0,6,12,0.19018681079146363,0,2,1,0,0,0,,2017-2019
2016,deep-eutectic eutogel electrolyte,quasi-solid granular electrolyte matrix,material_system,material_system,2,2,2,2,2,2,2,1,0.7213475204444817,4,2,0.21749035663269675,0,2,1,0,0,0,,2017-2019
2016,ferri/ferrocyanide redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,12,3,0,3,0,3,0,0,0.0,0,12,0.2834337089606595,0,24,1,0,0,0,,2017-2019
2016,ferri/ferrocyanide redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,3,3,4,3,4,3,4,0,0.0,12,3,0.0,1,24,1,0,0,0,,2017-2019
2016,ferri/ferrocyanide redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,3,3,3,3,3,3,0,0.0,9,12,0.08955207277269689,0,24,1,0,0,0,,2017-2019
2016,ferri/ferrocyanide redox chemistry,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,2,3,2,3,2,3,2,1,1.4426950408889634,6,2,0.0,1,24,1,0,0,0,,2017-2019
2016,imidazolium ionic-liquid phase transition electrolyte,ion-pair complexation control,material_system,solvation_entropy,12,3,2,3,2,3,2,0,0.0,6,12,0.07151892507739589,1,3,1,0,0,0,,2017-2019
2016,imidazolium ionic-liquid phase transition electrolyte,ion-selectivity membrane transport,material_system,transport_mechanism,12,3,4,3,4,3,4,0,0.0,12,12,0.0983818955092259,1,3,1,0,0,0,,2017-2019
2016,imidazolium ionic-liquid phase transition electrolyte,moisture-gradient ion transport,material_system,transport_mechanism,12,3,1,3,1,3,1,0,0.0,3,12,0.07995231103076018,1,3,1,0,0,0,,2017-2019
2016,imidazolium ionic-liquid phase transition electrolyte,phase-transition entropy amplification,material_system,phase_or_species_transition,3,3,1,3,1,3,1,0,0.0,3,3,0.262709758967749,1,3,1,0,0,1,Ionic-Liquid Gating of InAs Nanowire-Based Field-Effect Transistors,2017-2019
2016,imidazolium ionic-liquid phase transition electrolyte,quasi-solid granular electrolyte matrix,material_system,material_system,12,3,2,3,2,3,2,0,0.0,6,12,0.19492117997876077,0,3,1,0,0,0,,2017-2019
2016,iodide/triiodide redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,0,3,0,3,0,3,0,0.0,0,12,0.07436132472581848,0,7,1,0,0,0,,2017-2019
2016,ion-pair complexation control,ion-selectivity membrane transport,solvation_entropy,transport_mechanism,4,2,4,2,4,2,4,0,0.0,8,4,0.05372294581167307,1,6,1,0,0,0,,2017-2019
2016,ion-pair complexation control,phase-transition entropy amplification,solvation_entropy,phase_or_species_transition,12,2,1,2,1,2,1,0,0.0,2,12,0.13898933062174526,1,6,1,0,0,0,,2017-2019
2016,ion-pair complexation control,quasi-solid granular electrolyte matrix,solvation_entropy,material_system,3,2,2,2,2,2,2,0,0.0,4,3,0.01839551951356766,1,6,1,0,0,0,,2017-2019
2016,ion-selectivity membrane transport,moisture-gradient ion transport,transport_mechanism,transport_mechanism,12,4,1,4,1,4,1,0,0.0,4,12,0.2483486571942529,0,18,1,0,0,1,Ionic thermoelectric paper,2017-2019
2016,moisture-gradient ion transport,phase-transition entropy amplification,transport_mechanism,phase_or_species_transition,12,1,1,1,1,1,1,0,0.0,1,12,0.07323440390483157,1,15,1,0,0,1,Effect of lanthanum on the phase evolution of perovskite barium stannate synthesized through polymerized complex method,2017-2019
2016,organic redox molecular design,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,2,3,1,3,1,3,1,1,0.7213475204444817,3,2,0.0,1,4,1,0,0,0,,2017-2019
2016,organic redox molecular design,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,12,3,2,3,2,3,2,0,0.0,6,12,0.07565139392170568,1,4,1,0,0,0,,2017-2019
2017,Fe2+/Fe3+ solvation redox chemistry,carbon-electrode redox interface,redox_chemistry,electrode_interface,8,2,2,2,2,2,2,0,0.0,4,8,0.07529329632053416,1,25,1,0,0,0,,2018-2020
2017,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,12,2,0,2,0,2,0,0,0.0,0,12,0.26854839786869594,0,25,1,0,0,0,,2018-2020
2017,Fe2+/Fe3+ solvation redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,4,2,6,2,6,2,6,0,0.0,12,4,0.005154874297814069,1,25,1,0,0,0,,2018-2020
2017,Fe2+/Fe3+ solvation redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,6,2,4,2,4,2,4,0,0.0,8,6,0.08449576695585077,0,25,1,0,0,0,,2018-2020
2017,Fe2+/Fe3+ solvation redox chemistry,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,8,2,1,2,1,2,1,0,0.0,2,8,0.09738517379688931,1,25,1,0,0,0,,2018-2020
2017,Fe2+/Fe3+ solvation redox chemistry,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,3,2,2,2,2,2,2,0,0.0,4,3,0.010817581107138164,1,25,1,0,0,0,,2018-2020
2017,anti-freezing organohydrogel design,carbon-electrode redox interface,gel_microstructure,electrode_interface,4,1,2,1,2,1,2,0,0.0,2,4,0.0,1,11,1,0,0,0,,2018-2020
2017,anti-freezing organohydrogel design,deep-eutectic eutogel electrolyte,gel_microstructure,material_system,4,1,2,1,2,1,2,0,0.0,2,4,0.06781923513218487,1,11,1,0,0,0,,2018-2020
2017,anti-freezing organohydrogel design,imidazolium ionic-liquid phase transition electrolyte,gel_microstructure,material_system,3,1,3,1,3,1,3,0,0.0,3,3,0.0,1,11,1,0,0,0,,2018-2020
2017,anti-freezing organohydrogel design,ion-selectivity membrane transport,gel_microstructure,transport_mechanism,4,1,6,1,6,1,6,0,0.0,6,4,0.0,1,11,1,0,0,0,,2018-2020
2017,anti-freezing organohydrogel design,organic redox molecular design,gel_microstructure,redox_chemistry,2,1,4,1,4,1,4,1,0.7213475204444817,4,2,0.27078780441461414,1,11,1,0,0,0,,2018-2020
2017,anti-freezing organohydrogel design,phase-transition entropy amplification,gel_microstructure,phase_or_species_transition,2,1,1,1,1,1,1,1,0.7213475204444817,1,2,0.0,1,11,1,0,0,0,,2018-2020
2017,carbon-electrode redox interface,deep-eutectic eutogel electrolyte,electrode_interface,material_system,4,2,2,2,2,2,2,0,0.0,4,4,0.08196149504090436,1,5,1,0,0,0,,2018-2020
2017,carbon-electrode redox interface,ferri/ferrocyanide redox chemistry,electrode_interface,redox_chemistry,7,2,3,2,3,2,3,0,0.0,6,7,0.07754870639423661,1,5,1,0,0,0,,2018-2020
2017,carbon-electrode redox interface,iodide/triiodide redox chemistry,electrode_interface,redox_chemistry,12,2,0,2,0,2,0,0,0.0,0,12,0.07447409502001225,1,5,1,0,0,0,,2018-2020
2017,carbon-electrode redox interface,ion-selectivity membrane transport,electrode_interface,transport_mechanism,4,2,6,2,6,2,6,0,0.0,12,4,0.04303584403401627,1,5,1,0,0,0,,2018-2020
2017,carbon-electrode redox interface,organic redox molecular design,electrode_interface,redox_chemistry,2,2,4,2,4,2,4,1,0.9102392266268373,8,2,0.0873822455779323,1,5,1,0,0,0,,2018-2020
2017,carbon-electrode redox interface,phase-transition entropy amplification,electrode_interface,phase_or_species_transition,4,2,1,2,1,2,1,0,0.0,2,4,0.004596981801239923,1,5,1,0,0,0,,2018-2020
2017,carbon-electrode redox interface,quasi-solid granular electrolyte matrix,electrode_interface,material_system,5,2,2,2,2,2,2,0,0.0,4,5,0.07144808138767678,1,5,1,0,0,0,,2018-2020
2017,charge-transfer resistance engineering,phase-transition entropy amplification,electrode_interface,phase_or_species_transition,12,0,1,0,1,0,1,0,0.0,0,12,0.08745510157968633,1,24,1,0,0,1,"Understanding the Structure and Properties of Sesqui-Chalcogenides (i.e., V2VI3 or Pn2Ch3 (Pn = Pnictogen, Ch = Chalcogen) Compounds) from a Bonding Perspective",2018-2020
2017,deep-eutectic eutogel electrolyte,ferri/ferrocyanide redox chemistry,material_system,redox_chemistry,4,2,3,2,3,2,3,0,0.0,6,4,0.0,1,3,1,0,0,0,,2018-2020
2017,deep-eutectic eutogel electrolyte,imidazolium ionic-liquid phase transition electrolyte,material_system,material_system,3,2,3,2,3,2,3,0,0.0,6,3,0.19018681079146363,0,3,1,0,0,0,,2018-2020
2017,deep-eutectic eutogel electrolyte,ion-pair complexation control,material_system,solvation_entropy,4,2,4,2,4,2,4,0,0.0,8,4,0.019560690881265087,1,3,1,0,0,0,,2018-2020
2017,deep-eutectic eutogel electrolyte,moisture-gradient ion transport,material_system,transport_mechanism,2,2,3,2,3,2,3,1,0.5581106265512472,6,2,0.0,1,3,1,0,0,0,,2018-2020
2017,deep-eutectic eutogel electrolyte,organic redox molecular design,material_system,redox_chemistry,2,2,4,2,4,2,4,1,0.9102392266268373,8,2,0.028006525978580284,1,3,1,0,0,0,,2018-2020
2017,deep-eutectic eutogel electrolyte,phase-transition entropy amplification,material_system,phase_or_species_transition,4,2,1,2,1,2,1,0,0.0,2,4,0.004486464105809404,1,3,1,0,0,0,,2018-2020
2017,deep-eutectic eutogel electrolyte,quasi-solid granular electrolyte matrix,material_system,material_system,2,2,2,2,2,2,2,1,0.5581106265512472,4,2,0.21749035663269675,0,3,1,0,0,0,,2018-2020
2017,ferri/ferrocyanide redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,12,3,0,3,0,3,0,0,0.0,0,12,0.2834337089606595,0,25,1,0,0,0,,2018-2020
2017,ferri/ferrocyanide redox chemistry,ion-selectivity membrane transport,redox_chemistry,transport_mechanism,3,3,6,3,6,3,6,0,0.0,18,3,0.0,1,25,1,0,0,0,,2018-2020
2017,ferri/ferrocyanide redox chemistry,moisture-gradient ion transport,redox_chemistry,transport_mechanism,4,3,3,3,3,3,3,0,0.0,9,4,0.0058595994564398695,1,25,1,0,0,0,,2018-2020
2017,ferri/ferrocyanide redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,5,3,4,3,4,3,4,0,0.0,12,5,0.08955207277269689,0,25,1,0,0,0,,2018-2020
2017,ferri/ferrocyanide redox chemistry,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,2,3,2,3,2,3,2,1,0.9102392266268373,6,2,0.0,1,25,1,0,0,0,,2018-2020
2017,imidazolium ionic-liquid phase transition electrolyte,ion-pair complexation control,material_system,solvation_entropy,6,3,4,3,4,3,4,0,0.0,12,6,0.07151892507739589,1,4,1,0,0,0,,2018-2020
2017,imidazolium ionic-liquid phase transition electrolyte,ion-selectivity membrane transport,material_system,transport_mechanism,3,3,6,3,6,3,6,0,0.0,18,3,0.0983818955092259,1,4,1,0,0,0,,2018-2020
2017,imidazolium ionic-liquid phase transition electrolyte,moisture-gradient ion transport,material_system,transport_mechanism,4,3,3,3,3,3,3,0,0.0,9,4,0.07995231103076018,1,4,1,0,0,0,,2018-2020
2017,imidazolium ionic-liquid phase transition electrolyte,phase-transition entropy amplification,material_system,phase_or_species_transition,3,3,1,3,1,3,1,0,0.0,3,3,0.262709758967749,1,4,1,0,0,1,Ionic-Liquid Gating of InAs Nanowire-Based Field-Effect Transistors,2018-2020
2017,imidazolium ionic-liquid phase transition electrolyte,quasi-solid granular electrolyte matrix,material_system,material_system,4,3,2,3,2,3,2,0,0.0,6,4,0.19492117997876077,0,4,1,0,0,0,,2018-2020
2017,iodide/triiodide redox chemistry,organic redox molecular design,redox_chemistry,redox_chemistry,12,0,4,0,4,0,4,0,0.0,0,12,0.07436132472581848,0,8,1,0,0,0,,2018-2020
2017,ion-pair complexation control,ion-selectivity membrane transport,solvation_entropy,transport_mechanism,3,4,6,4,6,4,6,0,0.0,24,3,0.05372294581167307,1,7,1,0,0,0,,2018-2020
2017,ion-pair complexation control,moisture-gradient ion transport,solvation_entropy,transport_mechanism,4,4,3,4,3,4,3,0,0.0,12,4,0.03660803723776401,1,7,1,0,0,0,,2018-2020
2017,ion-pair complexation control,phase-transition entropy amplification,solvation_entropy,phase_or_species_transition,7,4,1,4,1,4,1,0,0.0,4,7,0.13898933062174526,1,7,1,0,0,0,,2018-2020
2017,ion-pair complexation control,quasi-solid granular electrolyte matrix,solvation_entropy,material_system,2,4,2,4,2,4,2,1,0.9102392266268373,8,2,0.01839551951356766,1,7,1,0,0,0,,2018-2020
2017,ion-selectivity membrane transport,organic redox molecular design,transport_mechanism,redox_chemistry,2,6,4,6,4,6,4,1,0.9102392266268373,24,2,0.005583927534031378,1,19,1,0,0,0,,2018-2020
2017,ion-selectivity membrane transport,phase-transition entropy amplification,transport_mechanism,phase_or_species_transition,4,6,1,6,1,6,1,0,0.0,6,4,0.04370595500272288,1,19,1,0,0,0,,2018-2020
2017,moisture-gradient ion transport,organic redox molecular design,transport_mechanism,redox_chemistry,3,3,4,3,4,3,4,0,0.0,12,3,0.012843378245795043,1,16,1,0,0,0,,2018-2020
2017,moisture-gradient ion transport,phase-transition entropy amplification,transport_mechanism,phase_or_species_transition,5,3,1,3,1,3,1,0,0.0,3,5,0.07323440390483157,1,16,1,0,0,1,Effect of lanthanum on the phase evolution of perovskite barium stannate synthesized through polymerized complex method,2018-2020
2017,moisture-gradient ion transport,quasi-solid granular electrolyte matrix,transport_mechanism,material_system,2,3,2,3,2,3,2,1,0.5581106265512472,6,2,0.015294250461711772,1,16,1,0,0,0,,2018-2020
2017,organic redox molecular design,phase-transition entropy amplification,redox_chemistry,phase_or_species_transition,2,4,1,4,1,4,1,1,0.7213475204444817,4,2,0.0,1,5,1,0,0,0,,2018-2020
2017,organic redox molecular design,quasi-solid granular electrolyte matrix,redox_chemistry,material_system,3,4,2,4,2,4,2,0,0.0,8,3,0.07565139392170568,1,5,1,0,0,0,,2018-2020
