class_id,group_index,raw_mention_id,label,draft_concept_id,judge_partition_definition,partition_size,judge_status,merge_applied,reversible
iTE:P1958:n2,0,iTE:P0506:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0509:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0542:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0547:n3,Seebeck coefficient,astra:g000:p010,电动学等效Seebeck系数,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0553:n3,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0559:n2,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0577:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0581:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0595:n4,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0600:n2,sign and magnitude of the ionic Seebeck coefficient,astra:g000:p011,离子Seebeck系数符号和幅值属性,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0611:n3,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0615:n2,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0616:n2,ionic thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0617:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0618:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0630:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0632:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0636:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0643:n2,thermopower,astra:g000:p003,混合离子电子总热电势系数,3,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0660:n2,S-e values,astra:g000:p002,红氧电化学Seebeck系数,5,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0677:n2,ionic Seebeck coefficient (Si),astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0683:n3,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0696:n4,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0701:n2,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0704:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0718:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0729:n2,thermoelectric power,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0735:n2,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0743:n2,Seebeck coefficient,astra:g000:p005,通用Seebeck系数上层定义,2,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0753:n4,Seebeck coefficients,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0757:n2,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0764:n4,ionic Seebeck component,astra:g000:p012,混合导体中加权离子Seebeck贡献,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0768:n3,thermopower,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0782:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0785:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0786:n2,thermo-power,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0804:n2,Seebeck coefficient,astra:g000:p013,Kelvin近似系数,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0811:n2,thermopower,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0813:n2,thermoelectric power,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0817:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0824:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0833:n2,Seebeck coefficient S,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0854:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0911:n2,thermopower,astra:g000:p014,氧离子热电化学系数,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0913:n2,Seebeck coefficient (S),astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0919:n4,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0921:n3,S,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0927:n3,thermopower,astra:g000:p003,混合离子电子总热电势系数,3,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0932:n5,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0941:n2,high Seebeck coefficients,astra:g000:p004,高电子Seebeck系数,4,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0964:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0965:n2,thermopower,astra:g000:p015,质子导体气氛依赖热电系数,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0988:n2,Seebeck coefficient,astra:g000:p016,磁纳米粒子Seebeck贡献待定,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0993:n2,Seebeck coefficients,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0994:n1,high Seebeck,astra:g000:p004,高电子Seebeck系数,4,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1004:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1024:n2,Seebeck coefficient,astra:g000:p002,红氧电化学Seebeck系数,5,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1031:n4,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1035:n2,thermoelectric power,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1037:n2,Seebeck coefficient (S),astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1069:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1072:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1076:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1081:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1121:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1164:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1194:n2,S values,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1197:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1210:n2,Seebeck,astra:g000:p002,红氧电化学Seebeck系数,5,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1248:n2,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1254:n2,Seebeck coefficient,astra:g000:p005,通用Seebeck系数上层定义,2,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1347:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1362:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1391:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1412:n2,S,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1444:n1,Seebeck coefficients,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1457:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1472:n2,Seebeck coefficients,astra:g000:p020,Mg2Si器件级Seebeck系数，材料级归一化和原文单位待核,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P1475:n2,Seebeck coefficients,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1479:n1,Seebeck coefficients,astra:g000:p017,铁配合物载流机制待定的Seebeck系数,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P1482:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1487:n3,Thermopower,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1488:n2,ionic thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1490:n1,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1492:n4,Seebeck coefficients,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1508:n3,thermoelectric power,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1512:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1517:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1520:n4,thermopower,astra:g000:p002,红氧电化学Seebeck系数,5,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1525:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1539:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1544:n3,large Seebeck coefficient,astra:g000:p004,高电子Seebeck系数,4,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1558:n1,Thermoelectric power (TEP),astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1614:n3,thermopower,astra:g000:p002,红氧电化学Seebeck系数,5,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1635:n2,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1670:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1676:n2,thermopower,astra:g000:p003,混合离子电子总热电势系数,3,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1711:n3,thermopower,astra:g000:p018,热扩散与NH4热脱嵌混合系数,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P1748:n2,thermoelectric power,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P1754:n1,thermopower,astra:g000:p019,TiO2总热电势与电子分量回指待定,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P1958:n2,large Seebeck coefficient,astra:g000:p004,高电子Seebeck系数,4,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0377:n3,conductivity,astra:g001:p000,离子电导率,8,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0389:n2,electric conductivity,astra:g001:p000,离子电导率,8,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0399:n3,conductivity,astra:g001:p000,离子电导率,8,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0409:n4,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0414:n2,electrical conductivity,astra:g001:p000,离子电导率,8,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0462:n4,conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0471:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0518:n4,conductivity,astra:g001:p000,离子电导率,8,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0533:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0539:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0615:n4,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0618:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0632:n2,conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0636:n2,Electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0651:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0718:n2,Electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0753:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0823:n2,electrical conductivities,astra:g001:p000,离子电导率,8,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0824:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0899:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0943:n2,electrical conductivity,astra:g001:p002,混合离子电子总电导率,4,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0944:n2,conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0959:n2,electrical conductivity,astra:g001:p002,混合离子电子总电导率,4,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P0994:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1013:n1,higher electrical conductivity,astra:g001:p003,较高电子电导率,2,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1048:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1050:n2,electrical conductivity,astra:g001:p002,混合离子电子总电导率,4,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1060:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1071:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1146:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1148:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1223:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1257:n2,enhanced electrical conductivity,astra:g001:p004,电子电导增强,1,retained_singleton,False,True
iTE:P1964:n2,1,iTE:P1270:n2,dc conductivity,astra:g001:p005,混合直流电导率,2,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1298:n2,electrical conductivities,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1328:n2,higher conductivity,astra:g001:p003,较高电子电导率,2,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1356:n1,high electrical conductivity,astra:g001:p006,高电导率载流类型待定,1,retained_singleton,False,True
iTE:P1964:n2,1,iTE:P1359:n2,dc conductivity,astra:g001:p007,电子直流电导率,1,retained_singleton,False,True
iTE:P1964:n2,1,iTE:P1430:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1435:n2,electrical conductivity,astra:g001:p005,混合直流电导率,2,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1449:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1459:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1482:n4,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1491:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1492:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1496:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1500:n4,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1502:n2,conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1508:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1519:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1539:n4,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1574:n1,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1591:n2,electrical conductivities,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1599:n2,conductivity,astra:g001:p002,混合离子电子总电导率,4,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1613:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1635:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1639:n2,electrical conductivity,astra:g001:p000,离子电导率,8,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1657:n3,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1670:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1686:n2,conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1754:n2,electrical conductivity,astra:g001:p008,电导分量回指待定,1,retained_singleton,False,True
iTE:P1964:n2,1,iTE:P1772:n2,dc electric conductivity,astra:g001:p009,玻璃直流电导载流机制待定,1,retained_singleton,False,True
iTE:P1964:n2,1,iTE:P1813:n2,high electrical conductivity,astra:g001:p010,高电子电导率,1,retained_singleton,False,True
iTE:P1964:n2,1,iTE:P1827:n2,electrical conductivity,astra:g001:p001,电子电导率,43,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1903:n2,conductivity,astra:g001:p000,离子电导率,8,accepted_group_equivalence,False,True
iTE:P1964:n2,1,iTE:P1952:n2,dc conductivity,astra:g001:p011,CBH直流电导载流类型待定,1,retained_singleton,False,True
iTE:P1964:n2,1,iTE:P1964:n2,DC conductivities,astra:g001:p012,离子直流电导率,1,retained_singleton,False,True
iTE:P1163:n2,2,iTE:P0351:n2,high thermoelectric performance,astra:g002:p000,高混合热电化学性能,1,retained_singleton,False,True
iTE:P1163:n2,2,iTE:P0420:n3,thermoelectric performance,astra:g002:p001,热电化学转换整体性能,3,accepted_group_equivalence,False,True
iTE:P1163:n2,2,iTE:P0440:n2,thermoelectric performance,astra:g002:p002,离子热电整体性能,4,accepted_group_equivalence,False,True
iTE:P1163:n2,2,iTE:P0452:n2,TE performance,astra:g002:p003,电子热电整体性能,9,accepted_group_equivalence,False,True
iTE:P1163:n2,2,iTE:P0480:n2,thermoelectric properties,astra:g002:p004,混合水泥热电性质,1,retained_singleton,False,True
iTE:P1163:n2,2,iTE:P0486:n3,thermoelectric properties,astra:g002:p005,电子热电性质集合,11,accepted_group_equivalence,False,True
