cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,future_TG_material_pair_label,future_example_title,future_window
2014,ethylene-glycol organohydrogel,ferri/ferrocyanide electrolyte,0,3,0,3,0,0,0,0.0,0,12,8,2,0,7,0,,2015-2017
2014,ethylene-glycol organohydrogel,graphene/graphene-oxide scaffold,0,3,0,2,0,1,0,0.0,0,12,8,2,0,2,0,,2015-2017
2014,graphene/graphene-oxide scaffold,Cu-based redox electrolyte,3,1,2,1,1,0,0,0.0,3,3,0,2,2,2,0,,2015-2017
2014,graphene/graphene-oxide scaffold,K-salt electrolyte,3,3,2,3,1,1,0,0.0,9,3,0,2,2,4,0,,2015-2017
2014,graphene/graphene-oxide scaffold,Li-salt electrolyte,3,3,2,2,1,1,0,0.0,9,3,0,2,2,2,0,,2015-2017
2014,graphene/graphene-oxide scaffold,Prussian-blue/hexacyanoferrate electrode,3,2,2,2,1,0,1,0.9102392266268373,6,2,0,2,2,2,0,,2015-2017
2014,graphene/graphene-oxide scaffold,acetonitrile/nitrile solvent,3,1,2,1,1,0,1,0.43429448190325176,3,2,0,2,2,2,0,,2015-2017
2014,iodide/triiodide electrolyte,Cu-based redox electrolyte,2,1,0,1,2,0,0,0.0,2,5,16,3,0,2,0,,2015-2017
2014,iodide/triiodide electrolyte,Fe2+/Fe3+ redox electrolyte,2,1,0,1,2,0,0,0.0,2,3,16,3,0,2,0,,2015-2017
2014,iodide/triiodide electrolyte,K-salt electrolyte,2,3,0,3,2,1,1,0.9102392266268373,6,2,16,3,0,4,0,,2015-2017
2014,iodide/triiodide electrolyte,Li-salt electrolyte,2,3,0,2,2,1,0,0.0,6,1,16,3,0,2,0,,2015-2017
2014,iodide/triiodide electrolyte,Prussian-blue/hexacyanoferrate electrode,2,2,0,2,2,0,0,0.0,4,4,16,3,0,2,0,,2015-2017
2014,iodide/triiodide electrolyte,acetonitrile/nitrile solvent,2,1,0,1,2,0,1,0.43429448190325176,2,2,16,3,0,2,1,Flexible thermo-electrochemical cells using Iodolyte HI-30 for conversion of low-grade heat to electrical energy,2015-2017
2014,iodide/triiodide electrolyte,carbon nanotube scaffold,2,3,0,2,2,1,1,0.43429448190325176,6,2,16,3,0,3,0,,2015-2017
2014,iodide/triiodide electrolyte,ferri/ferrocyanide electrolyte,2,3,0,3,2,0,0,0.0,6,3,16,3,0,7,1,Combining thermogalvanic corrosion and thermogalvanic redox couples for improved electrochemical waste heat harvesting,2015-2017
2014,iodide/triiodide electrolyte,graphene/graphene-oxide scaffold,2,3,0,2,2,1,1,0.43429448190325176,6,2,16,3,0,2,0,,2015-2017
2014,ionic-liquid electrolyte,Cu-based redox electrolyte,10,1,1,1,9,0,0,0.0,10,4,21,22,1,2,0,,2015-2017
2014,ionic-liquid electrolyte,Fe2+/Fe3+ redox electrolyte,10,1,1,1,9,0,0,0.0,10,3,21,22,1,2,0,,2015-2017
2014,ionic-liquid electrolyte,K-salt electrolyte,10,3,1,3,9,1,1,0.9102392266268373,30,2,21,22,1,4,0,,2015-2017
2014,ionic-liquid electrolyte,Li-salt electrolyte,10,3,1,2,9,1,2,2.352934267515801,30,2,21,22,1,2,0,,2015-2017
2014,ionic-liquid electrolyte,Prussian-blue/hexacyanoferrate electrode,10,2,1,2,9,0,0,0.0,20,3,21,22,1,2,0,,2015-2017
2014,ionic-liquid electrolyte,carbon nanotube scaffold,10,3,1,2,9,1,1,0.9102392266268373,30,1,21,22,1,3,0,,2015-2017
2014,ionic-liquid electrolyte,ferri/ferrocyanide electrolyte,10,3,1,3,9,0,2,1.8204784532536746,30,2,21,22,1,7,0,,2015-2017
2014,ionic-liquid electrolyte,graphene/graphene-oxide scaffold,10,3,1,2,9,1,1,0.9102392266268373,30,1,21,22,1,2,0,,2015-2017
2014,metal-oxide electrode,Cu-based redox electrolyte,0,1,0,1,0,0,0,0.0,0,12,9,18,1,2,0,,2015-2017
2014,metal-oxide electrode,Fe2+/Fe3+ redox electrolyte,0,1,0,1,0,0,0,0.0,0,12,9,18,1,2,0,,2015-2017
2014,metal-oxide electrode,K-salt electrolyte,0,3,0,3,0,1,0,0.0,0,12,9,18,1,4,0,,2015-2017
2014,metal-oxide electrode,Li-salt electrolyte,0,3,0,2,0,1,0,0.0,0,12,9,18,1,2,0,,2015-2017
2014,metal-oxide electrode,Prussian-blue/hexacyanoferrate electrode,0,2,0,2,0,0,0,0.0,0,12,9,18,1,2,0,,2015-2017
2014,metal-oxide electrode,acetonitrile/nitrile solvent,0,1,0,1,0,0,0,0.0,0,12,9,18,1,2,0,,2015-2017
2014,metal-oxide electrode,carbon nanotube scaffold,0,3,0,2,0,1,0,0.0,0,12,9,18,1,3,0,,2015-2017
2014,metal-oxide electrode,ferri/ferrocyanide electrolyte,0,3,0,3,0,0,0,0.0,0,12,9,18,1,7,0,,2015-2017
2014,metal-oxide electrode,graphene/graphene-oxide scaffold,0,3,0,2,0,1,0,0.0,0,12,9,18,1,2,0,,2015-2017
2014,polyaniline conductor,Cu-based redox electrolyte,1,1,0,1,1,0,0,0.0,1,5,12,2,0,2,0,,2015-2017
2014,polyaniline conductor,Fe2+/Fe3+ redox electrolyte,1,1,0,1,1,0,0,0.0,1,4,12,2,0,2,0,,2015-2017
2014,polyaniline conductor,K-salt electrolyte,1,3,0,3,1,1,0,0.0,3,3,12,2,0,4,0,,2015-2017
2014,polyaniline conductor,Li-salt electrolyte,1,3,0,2,1,1,0,0.0,3,3,12,2,0,2,0,,2015-2017
2014,polyaniline conductor,Prussian-blue/hexacyanoferrate electrode,1,2,0,2,1,0,0,0.0,2,4,12,2,0,2,0,,2015-2017
2014,polyaniline conductor,acetonitrile/nitrile solvent,1,1,0,1,1,0,1,0.43429448190325176,1,2,12,2,0,2,0,,2015-2017
2014,polyaniline conductor,carbon nanotube scaffold,1,3,0,2,1,1,1,0.43429448190325176,3,2,12,2,0,3,0,,2015-2017
2014,polyaniline conductor,ferri/ferrocyanide electrolyte,1,3,0,3,1,0,0,0.0,3,3,12,2,0,7,0,,2015-2017
2014,polyaniline conductor,graphene/graphene-oxide scaffold,1,3,0,2,1,1,1,0.43429448190325176,3,2,12,2,0,2,0,,2015-2017
2014,silica/inorganic nanoparticle filler,Cu-based redox electrolyte,1,1,0,1,1,0,0,0.0,1,5,22,3,0,2,0,,2015-2017
2014,silica/inorganic nanoparticle filler,Fe2+/Fe3+ redox electrolyte,1,1,0,1,1,0,0,0.0,1,4,22,3,0,2,0,,2015-2017
2014,silica/inorganic nanoparticle filler,K-salt electrolyte,1,3,0,3,1,1,0,0.0,3,3,22,3,0,4,0,,2015-2017
2014,silica/inorganic nanoparticle filler,Li-salt electrolyte,1,3,0,2,1,1,0,0.0,3,3,22,3,0,2,0,,2015-2017
2014,silica/inorganic nanoparticle filler,Prussian-blue/hexacyanoferrate electrode,1,2,0,2,1,0,0,0.0,2,4,22,3,0,2,0,,2015-2017
2014,silica/inorganic nanoparticle filler,acetonitrile/nitrile solvent,1,1,0,1,1,0,1,0.43429448190325176,1,2,22,3,0,2,0,,2015-2017
2014,silica/inorganic nanoparticle filler,carbon nanotube scaffold,1,3,0,2,1,1,1,0.43429448190325176,3,2,22,3,0,3,0,,2015-2017
2014,silica/inorganic nanoparticle filler,ferri/ferrocyanide electrolyte,1,3,0,3,1,0,0,0.0,3,3,22,3,0,7,0,,2015-2017
2014,silica/inorganic nanoparticle filler,graphene/graphene-oxide scaffold,1,3,0,2,1,1,1,0.43429448190325176,3,2,22,3,0,2,0,,2015-2017
2015,Fe2+/Fe3+ redox electrolyte,Cu-based redox electrolyte,1,1,1,1,0,0,0,0.0,1,6,0,2,2,2,0,,2016-2018
2015,Fe2+/Fe3+ redox electrolyte,Li-salt electrolyte,1,3,1,2,0,1,1,0.9102392266268373,3,2,0,2,2,2,0,,2016-2018
2015,Fe2+/Fe3+ redox electrolyte,Prussian-blue/hexacyanoferrate electrode,1,2,1,2,0,0,0,0.0,2,5,0,2,2,2,0,,2016-2018
2015,Fe2+/Fe3+ redox electrolyte,acetonitrile/nitrile solvent,1,2,1,2,0,0,0,0.0,2,4,0,2,2,3,0,,2016-2018
2015,Fe2+/Fe3+ redox electrolyte,carbon nanotube scaffold,1,3,1,2,0,2,0,0.0,3,4,0,2,2,3,0,,2016-2018
2015,Fe2+/Fe3+ redox electrolyte,ferri/ferrocyanide electrolyte,1,4,1,4,0,0,0,0.0,4,4,0,2,2,9,0,,2016-2018
2015,Fe2+/Fe3+ redox electrolyte,graphene/graphene-oxide scaffold,1,3,1,2,0,2,0,0.0,3,4,0,2,2,2,0,,2016-2018
2015,Fe2+/Fe3+ redox electrolyte,ionic-liquid electrolyte,1,11,1,2,0,9,0,0.0,11,3,0,2,2,2,0,,2016-2018
2015,K-salt electrolyte,Cu-based redox electrolyte,3,1,3,1,1,0,0,0.0,3,5,0,2,4,2,0,,2016-2018
2015,K-salt electrolyte,Prussian-blue/hexacyanoferrate electrode,3,2,3,2,1,0,0,0.0,6,4,0,2,4,2,0,,2016-2018
2015,K-salt electrolyte,acetonitrile/nitrile solvent,3,2,3,2,1,0,0,0.0,6,3,0,2,4,3,0,,2016-2018
2015,K-salt electrolyte,carbon nanotube scaffold,3,3,3,2,1,2,0,0.0,9,3,0,2,4,3,0,,2016-2018
2015,K-salt electrolyte,ferri/ferrocyanide electrolyte,3,4,3,4,1,0,0,0.0,12,3,0,2,4,9,0,,2016-2018
2015,K-salt electrolyte,graphene/graphene-oxide scaffold,3,3,3,2,1,2,0,0.0,9,3,0,2,4,2,0,,2016-2018
2015,K-salt electrolyte,ionic-liquid electrolyte,3,11,3,2,1,9,1,0.9102392266268373,33,2,0,2,4,2,0,,2016-2018
2015,Na-salt electrolyte,Cu-based redox electrolyte,3,1,2,1,2,0,0,0.0,3,5,7,7,1,2,0,,2016-2018
2015,Na-salt electrolyte,Fe2+/Fe3+ redox electrolyte,3,1,2,1,2,0,1,0.9102392266268373,3,2,7,7,1,2,0,,2016-2018
2015,Na-salt electrolyte,Prussian-blue/hexacyanoferrate electrode,3,2,2,2,2,0,0,0.0,6,4,7,7,1,2,0,,2016-2018
2015,Na-salt electrolyte,acetonitrile/nitrile solvent,3,2,2,2,2,0,1,0.4170323914242463,6,2,7,7,1,3,0,,2016-2018
2015,Na-salt electrolyte,carbon nanotube scaffold,3,3,2,2,2,2,1,0.4170323914242463,9,2,7,7,1,3,1,High-Performance Thermogalvanic Cell Based on Organic Nanofluids,2016-2018
2015,Na-salt electrolyte,ferri/ferrocyanide electrolyte,3,4,2,4,2,0,0,0.0,12,3,7,7,1,9,0,,2016-2018
2015,Na-salt electrolyte,graphene/graphene-oxide scaffold,3,3,2,2,2,2,1,0.4170323914242463,9,2,7,7,1,2,0,,2016-2018
2015,Na-salt electrolyte,ionic-liquid electrolyte,3,11,2,2,2,9,0,0.0,33,1,7,7,1,2,0,,2016-2018
2015,PEDOT:PSS conductor,Cu-based redox electrolyte,2,1,0,1,2,0,0,0.0,2,5,4,3,0,2,0,,2016-2018
2015,PEDOT:PSS conductor,Fe2+/Fe3+ redox electrolyte,2,1,0,1,2,0,0,0.0,2,4,4,3,0,2,0,,2016-2018
2015,PEDOT:PSS conductor,K-salt electrolyte,2,3,0,3,2,1,0,0.0,6,3,4,3,0,4,0,,2016-2018
2015,PEDOT:PSS conductor,Li-salt electrolyte,2,3,0,2,2,1,0,0.0,6,3,4,3,0,2,0,,2016-2018
2015,PEDOT:PSS conductor,Prussian-blue/hexacyanoferrate electrode,2,2,0,2,2,0,0,0.0,4,4,4,3,0,2,0,,2016-2018
2015,PEDOT:PSS conductor,acetonitrile/nitrile solvent,2,2,0,2,2,0,1,0.4170323914242463,4,2,4,3,0,3,0,,2016-2018
2015,PEDOT:PSS conductor,carbon nanotube scaffold,2,3,0,2,2,2,1,0.4170323914242463,6,2,4,3,0,3,0,,2016-2018
2015,PEDOT:PSS conductor,ferri/ferrocyanide electrolyte,2,4,0,4,2,0,0,0.0,8,3,4,3,0,9,0,,2016-2018
2015,PEDOT:PSS conductor,graphene/graphene-oxide scaffold,2,3,0,2,2,2,1,0.4170323914242463,6,2,4,3,0,2,0,,2016-2018
2015,PEDOT:PSS conductor,ionic-liquid electrolyte,2,11,0,2,2,9,0,0.0,22,1,4,3,0,2,0,,2016-2018
2015,PVA polymer matrix,Cu-based redox electrolyte,2,1,0,1,2,0,0,0.0,2,5,2,2,0,2,0,,2016-2018
2015,PVA polymer matrix,Fe2+/Fe3+ redox electrolyte,2,1,0,1,2,0,0,0.0,2,4,2,2,0,2,0,,2016-2018
2015,PVA polymer matrix,K-salt electrolyte,2,3,0,3,2,1,0,0.0,6,3,2,2,0,4,0,,2016-2018
2015,PVA polymer matrix,Li-salt electrolyte,2,3,0,2,2,1,0,0.0,6,3,2,2,0,2,0,,2016-2018
2015,PVA polymer matrix,Prussian-blue/hexacyanoferrate electrode,2,2,0,2,2,0,0,0.0,4,4,2,2,0,2,0,,2016-2018
2015,PVA polymer matrix,acetonitrile/nitrile solvent,2,2,0,2,2,0,1,0.4170323914242463,4,2,2,2,0,3,0,,2016-2018
2015,PVA polymer matrix,carbon nanotube scaffold,2,3,0,2,2,2,1,0.4170323914242463,6,2,2,2,0,3,0,,2016-2018
2015,PVA polymer matrix,ferri/ferrocyanide electrolyte,2,4,0,4,2,0,0,0.0,8,3,2,2,0,9,0,,2016-2018
2015,PVA polymer matrix,graphene/graphene-oxide scaffold,2,3,0,2,2,2,1,0.4170323914242463,6,2,2,2,0,2,0,,2016-2018
2015,PVA polymer matrix,ionic-liquid electrolyte,2,11,0,2,2,9,1,1.4426950408889634,22,1,2,2,0,2,0,,2016-2018
2015,carbon nanotube scaffold,Cu-based redox electrolyte,3,1,2,1,2,0,0,0.0,3,3,1,5,3,2,0,,2016-2018
2015,carbon nanotube scaffold,Li-salt electrolyte,3,3,2,2,2,1,0,0.0,9,3,1,5,3,2,0,,2016-2018
2015,carbon nanotube scaffold,Prussian-blue/hexacyanoferrate electrode,3,2,2,2,2,0,1,0.7213475204444817,6,2,1,5,3,2,0,,2016-2018
2015,carbon nanotube scaffold,acetonitrile/nitrile solvent,3,2,2,2,2,0,1,0.4170323914242463,6,2,1,5,3,3,0,,2016-2018
2015,carbon nanotube scaffold,ionic-liquid electrolyte,3,11,2,2,2,9,1,0.9102392266268373,33,1,1,5,3,2,0,,2016-2018
2015,chitosan matrix,Cu-based redox electrolyte,2,1,0,1,2,0,0,0.0,2,5,2,2,0,2,0,,2016-2018
2015,chitosan matrix,Fe2+/Fe3+ redox electrolyte,2,1,0,1,2,0,0,0.0,2,4,2,2,0,2,0,,2016-2018
2015,chitosan matrix,K-salt electrolyte,2,3,0,3,2,1,0,0.0,6,3,2,2,0,4,0,,2016-2018
2015,chitosan matrix,Li-salt electrolyte,2,3,0,2,2,1,0,0.0,6,3,2,2,0,2,0,,2016-2018
2015,chitosan matrix,Prussian-blue/hexacyanoferrate electrode,2,2,0,2,2,0,0,0.0,4,4,2,2,0,2,0,,2016-2018
2015,chitosan matrix,acetonitrile/nitrile solvent,2,2,0,2,2,0,1,0.4170323914242463,4,2,2,2,0,3,0,,2016-2018
2015,chitosan matrix,carbon nanotube scaffold,2,3,0,2,2,2,1,0.4170323914242463,6,2,2,2,0,3,0,,2016-2018
2015,chitosan matrix,ferri/ferrocyanide electrolyte,2,4,0,4,2,0,0,0.0,8,3,2,2,0,9,0,,2016-2018
2015,chitosan matrix,graphene/graphene-oxide scaffold,2,3,0,2,2,2,1,0.4170323914242463,6,2,2,2,0,2,0,,2016-2018
2015,chitosan matrix,ionic-liquid electrolyte,2,11,0,2,2,9,1,1.4426950408889634,22,1,2,2,0,2,0,,2016-2018
2015,ethylene-glycol organohydrogel,Cu-based redox electrolyte,0,1,0,1,0,0,0,0.0,0,12,9,2,0,2,0,,2016-2018
2015,ethylene-glycol organohydrogel,Fe2+/Fe3+ redox electrolyte,0,1,0,1,0,0,0,0.0,0,12,9,2,0,2,0,,2016-2018
2015,ethylene-glycol organohydrogel,K-salt electrolyte,0,3,0,3,0,1,0,0.0,0,12,9,2,0,4,0,,2016-2018
2015,ethylene-glycol organohydrogel,Li-salt electrolyte,0,3,0,2,0,1,0,0.0,0,12,9,2,0,2,0,,2016-2018
2015,ethylene-glycol organohydrogel,Prussian-blue/hexacyanoferrate electrode,0,2,0,2,0,0,0,0.0,0,12,9,2,0,2,0,,2016-2018
2015,ethylene-glycol organohydrogel,acetonitrile/nitrile solvent,0,2,0,2,0,0,0,0.0,0,12,9,2,0,3,0,,2016-2018
2015,ethylene-glycol organohydrogel,carbon nanotube scaffold,0,3,0,2,0,2,0,0.0,0,12,9,2,0,3,0,,2016-2018
2015,ethylene-glycol organohydrogel,ferri/ferrocyanide electrolyte,0,4,0,4,0,0,0,0.0,0,12,9,2,0,9,0,,2016-2018
2015,ethylene-glycol organohydrogel,graphene/graphene-oxide scaffold,0,3,0,2,0,2,0,0.0,0,12,9,2,0,2,0,,2016-2018
2015,ethylene-glycol organohydrogel,ionic-liquid electrolyte,0,11,0,2,0,9,0,0.0,0,12,9,2,0,2,0,,2016-2018
2015,graphene/graphene-oxide scaffold,Cu-based redox electrolyte,3,1,2,1,2,0,0,0.0,3,3,0,3,2,2,0,,2016-2018
2015,graphene/graphene-oxide scaffold,Li-salt electrolyte,3,3,2,2,2,1,0,0.0,9,3,0,3,2,2,0,,2016-2018
2015,graphene/graphene-oxide scaffold,Prussian-blue/hexacyanoferrate electrode,3,2,2,2,2,0,1,0.7213475204444817,6,2,0,3,2,2,0,,2016-2018
2015,graphene/graphene-oxide scaffold,acetonitrile/nitrile solvent,3,2,2,2,2,0,1,0.4170323914242463,6,2,0,3,2,3,0,,2016-2018
2015,graphene/graphene-oxide scaffold,ionic-liquid electrolyte,3,11,2,2,2,9,1,0.9102392266268373,33,1,0,3,2,2,0,,2016-2018
2015,iodide/triiodide electrolyte,Cu-based redox electrolyte,3,1,1,1,2,0,0,0.0,3,3,16,3,1,2,0,,2016-2018
2015,iodide/triiodide electrolyte,Fe2+/Fe3+ redox electrolyte,3,1,1,1,2,0,0,0.0,3,3,16,3,1,2,0,,2016-2018
2015,iodide/triiodide electrolyte,K-salt electrolyte,3,3,1,3,2,1,1,0.9102392266268373,9,2,16,3,1,4,0,,2016-2018
2015,iodide/triiodide electrolyte,Li-salt electrolyte,3,3,1,2,2,1,0,0.0,9,1,16,3,1,2,0,,2016-2018
2015,iodide/triiodide electrolyte,Prussian-blue/hexacyanoferrate electrode,3,2,1,2,2,0,1,0.7213475204444817,6,2,16,3,1,2,0,,2016-2018
2015,iodide/triiodide electrolyte,acetonitrile/nitrile solvent,3,2,1,2,2,0,1,0.4170323914242463,6,2,16,3,1,3,1,Flexible thermo-electrochemical cells using Iodolyte HI-30 for conversion of low-grade heat to electrical energy,2016-2018
2015,iodide/triiodide electrolyte,carbon nanotube scaffold,3,3,1,2,2,2,2,1.1383799118687281,9,2,16,3,1,3,0,,2016-2018
2015,iodide/triiodide electrolyte,graphene/graphene-oxide scaffold,3,3,1,2,2,2,2,1.1383799118687281,9,2,16,3,1,2,0,,2016-2018
2015,iodide/triiodide electrolyte,ionic-liquid electrolyte,3,11,1,2,2,9,0,0.0,33,1,16,3,1,2,1,Substituted ferrocenes and iodine as synergistic thermoelectrochemical heat harvesting redox couples in ionic liquids,2016-2018
2015,ionic-liquid electrolyte,Cu-based redox electrolyte,11,1,2,1,9,0,0,0.0,11,4,21,26,2,2,0,,2016-2018
2015,ionic-liquid electrolyte,Li-salt electrolyte,11,3,2,2,9,1,2,1.8204784532536746,33,2,21,26,2,2,0,,2016-2018
2015,ionic-liquid electrolyte,Prussian-blue/hexacyanoferrate electrode,11,2,2,2,9,0,0,0.0,22,3,21,26,2,2,0,,2016-2018
2015,ionic-liquid electrolyte,ferri/ferrocyanide electrolyte,11,4,2,4,9,0,3,2.730717679880512,44,2,21,26,2,9,0,,2016-2018
2015,metal-oxide electrode,Cu-based redox electrolyte,0,1,0,1,0,0,0,0.0,0,12,9,20,1,2,0,,2016-2018
2015,metal-oxide electrode,Fe2+/Fe3+ redox electrolyte,0,1,0,1,0,0,0,0.0,0,12,9,20,1,2,0,,2016-2018
2015,metal-oxide electrode,K-salt electrolyte,0,3,0,3,0,1,0,0.0,0,12,9,20,1,4,0,,2016-2018
2015,metal-oxide electrode,Li-salt electrolyte,0,3,0,2,0,1,0,0.0,0,12,9,20,1,2,0,,2016-2018
2015,metal-oxide electrode,Prussian-blue/hexacyanoferrate electrode,0,2,0,2,0,0,0,0.0,0,12,9,20,1,2,0,,2016-2018
2015,metal-oxide electrode,acetonitrile/nitrile solvent,0,2,0,2,0,0,0,0.0,0,12,9,20,1,3,0,,2016-2018
2015,metal-oxide electrode,carbon nanotube scaffold,0,3,0,2,0,2,0,0.0,0,12,9,20,1,3,0,,2016-2018
2015,metal-oxide electrode,ferri/ferrocyanide electrolyte,0,4,0,4,0,0,0,0.0,0,12,9,20,1,9,0,,2016-2018
2015,metal-oxide electrode,graphene/graphene-oxide scaffold,0,3,0,2,0,2,0,0.0,0,12,9,20,1,2,0,,2016-2018
2015,metal-oxide electrode,ionic-liquid electrolyte,0,11,0,2,0,9,0,0.0,0,12,9,20,1,2,0,,2016-2018
2015,polyaniline conductor,Cu-based redox electrolyte,1,1,0,1,1,0,0,0.0,1,5,13,2,0,2,0,,2016-2018
2015,polyaniline conductor,Fe2+/Fe3+ redox electrolyte,1,1,0,1,1,0,0,0.0,1,4,13,2,0,2,0,,2016-2018
2015,polyaniline conductor,K-salt electrolyte,1,3,0,3,1,1,0,0.0,3,3,13,2,0,4,0,,2016-2018
2015,polyaniline conductor,Li-salt electrolyte,1,3,0,2,1,1,0,0.0,3,3,13,2,0,2,0,,2016-2018
2015,polyaniline conductor,Prussian-blue/hexacyanoferrate electrode,1,2,0,2,1,0,0,0.0,2,4,13,2,0,2,0,,2016-2018
2015,polyaniline conductor,acetonitrile/nitrile solvent,1,2,0,2,1,0,1,0.4170323914242463,2,2,13,2,0,3,0,,2016-2018
2015,polyaniline conductor,carbon nanotube scaffold,1,3,0,2,1,2,1,0.4170323914242463,3,2,13,2,0,3,0,,2016-2018
