paper_id,source,year,title,doi,material
P00017,TG,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,Fe2+/Fe3+ redox electrolyte
P00020,TG,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,gelatin matrix
P00020,TG,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,ferri/ferrocyanide electrolyte
P00021,TG,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,10.1021/acsami.5c03375,Cu-based redox electrolyte
P00022,TG,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,PAM/polyacrylamide matrix
P00022,TG,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,ferri/ferrocyanide electrolyte
P00025,TG,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,Fe2+/Fe3+ redox electrolyte
P00026,TG,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,ferri/ferrocyanide electrolyte
P00027,TG,2025,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,10.1021/acsaem.5c02080,porous carbon electrode
P00029,TG,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,ferri/ferrocyanide electrolyte
P00029,TG,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,crown-ether host
P00030,TG,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,graphene/graphene-oxide scaffold
P00030,TG,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,ferri/ferrocyanide electrolyte
P00031,TG,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,quinone redox electrolyte
P00031,TG,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,ethylene-glycol organohydrogel
P00032,TG,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,PVA polymer matrix
P00032,TG,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,Fe2+/Fe3+ redox electrolyte
P00033,TG,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,quinone redox electrolyte
P00035,TG,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,PVA polymer matrix
P00035,TG,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,ferri/ferrocyanide electrolyte
P00035,TG,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,glycerol organohydrogel
P00038,TG,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,ferri/ferrocyanide electrolyte
P00039,TG,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,gelatin matrix
P00039,TG,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,iodide/triiodide electrolyte
P00039,TG,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,glycerol organohydrogel
P00040,TG,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,ferri/ferrocyanide electrolyte
P00041,TG,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,PVA polymer matrix
P00041,TG,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,Fe2+/Fe3+ redox electrolyte
P00041,TG,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,silica/inorganic nanoparticle filler
P00042,TG,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,ferri/ferrocyanide electrolyte
P00042,TG,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,K-salt electrolyte
P00047,TG,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,10.1016/j.cej.2023.141274,cellulose nanofiber matrix
P00047,TG,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,10.1016/j.cej.2023.141274,ferri/ferrocyanide electrolyte
P00048,TG,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,quinone redox electrolyte
P00049,TG,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,ethylene-glycol organohydrogel
P00050,TG,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,Cu-based redox electrolyte
P00051,TG,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,ferri/ferrocyanide electrolyte
P00051,TG,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,ethylene-glycol organohydrogel
P00053,TG,2023,A self-powered thermogalvanic organohydrogel-based touch-to-speech Braille transmission interface with temperature resistance and stretchability,10.1016/j.compscitech.2023.110077,Na-salt electrolyte
P00055,TG,2023,Self-Assembled Asymmetric Electrodes for High-Efficiency Thermogalvanic Cells,10.1002/aenm.202302011,ferri/ferrocyanide electrolyte
P00056,TG,2022,Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy,10.1016/j.nanoen.2022.107449,PVA polymer matrix
P00056,TG,2022,Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy,10.1016/j.nanoen.2022.107449,gelatin matrix
P00058,TG,2023,Anhydrous Thermogalvanic Gel for Simultaneous Waste Heat Recovery and Thermal Management of Electronics,10.1021/acsapm.3c00481,Fe2+/Fe3+ redox electrolyte
P00058,TG,2023,Anhydrous Thermogalvanic Gel for Simultaneous Waste Heat Recovery and Thermal Management of Electronics,10.1021/acsapm.3c00481,ethylene-glycol organohydrogel
P00060,TG,2022,Self-Powered Respiratory Monitoring Strategy Based on Adaptive Dual-Network Thermogalvanic Hydrogels,10.1021/acsami.2c14239,PVA polymer matrix
P00060,TG,2022,Self-Powered Respiratory Monitoring Strategy Based on Adaptive Dual-Network Thermogalvanic Hydrogels,10.1021/acsami.2c14239,gelatin matrix
P00060,TG,2022,Self-Powered Respiratory Monitoring Strategy Based on Adaptive Dual-Network Thermogalvanic Hydrogels,10.1021/acsami.2c14239,ferri/ferrocyanide electrolyte
P00060,TG,2022,Self-Powered Respiratory Monitoring Strategy Based on Adaptive Dual-Network Thermogalvanic Hydrogels,10.1021/acsami.2c14239,glycerol organohydrogel
P00061,TG,2023,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,10.1016/j.nanoen.2022.108077,PVA polymer matrix
P00061,TG,2023,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,10.1016/j.nanoen.2022.108077,PEDOT:PSS conductor
P00062,TG,2022,Solvent effect on the Seebeck coefficient of Fe2+/Fe3+ hydrogel thermogalvanic cells,10.1039/d1ta10508f,Fe2+/Fe3+ redox electrolyte
P00063,TG,2023,Self-powered physiological monitoring strategy enabled by adaptive dual-network thermogalvanic hydrogels,10.1016/j.sna.2023.114604,carbon nanotube scaffold
P00063,TG,2023,Self-powered physiological monitoring strategy enabled by adaptive dual-network thermogalvanic hydrogels,10.1016/j.sna.2023.114604,Fe2+/Fe3+ redox electrolyte
P00065,TG,2022,Thermogalvanic hydrogels for self-powered temperature monitoring in extreme environments,10.1039/d2tc00889k,iodide/triiodide electrolyte
P00066,TG,2021,Wearable Electronics Based on the Gel Thermogalvanic Electrolyte for Self-Powered Human Health Monitoring,10.1021/acsami.1c12443,Fe2+/Fe3+ redox electrolyte
P00067,TG,2023,"Self-Powered, Non-Toxic, Recyclable Thermogalvanic Hydrogel Sensor for Temperature Monitoring of Edibles",10.3390/mi14071327,gelatin matrix
P00068,TG,2023,A vertical stretchable self-powered light sensor based on thermogalvanic gel electrolyte via photo-thermal-electric conversion,10.1016/j.sna.2023.114305,carbon nanotube scaffold
P00070,TG,2023,p-n Conversion of Thermogalvanic Cells by Harnessing the Micellization of Thermoresponsive Diblock Copolymers,10.1021/acsaem.3c01907,iodide/triiodide electrolyte
P00071,TG,2026,Designing n-Type Thermogalvanic TEMPO-Substituted Polyacrylamide via Conformational Entropic Modulation,10.1021/acsmacrolett.5c00762,PAM/polyacrylamide matrix
P00071,TG,2026,Designing n-Type Thermogalvanic TEMPO-Substituted Polyacrylamide via Conformational Entropic Modulation,10.1021/acsmacrolett.5c00762,TEMPO/viologen organic redox
P00072,TG,2026,A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing,10.1039/d5ta08892e,MXene scaffold
P00072,TG,2026,A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing,10.1039/d5ta08892e,ferri/ferrocyanide electrolyte
P00075,TG,2023,Regenerable aerogel-based thermogalvanic cells for efficient low-grade heat harvesting from solar radiation and interfacial solar evaporation systems,10.1002/eom2.12302,cellulose nanofiber matrix
P00075,TG,2023,Regenerable aerogel-based thermogalvanic cells for efficient low-grade heat harvesting from solar radiation and interfacial solar evaporation systems,10.1002/eom2.12302,carbon nanotube scaffold
P00075,TG,2023,Regenerable aerogel-based thermogalvanic cells for efficient low-grade heat harvesting from solar radiation and interfacial solar evaporation systems,10.1002/eom2.12302,graphene/graphene-oxide scaffold
P00077,TG,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,10.1016/j.jpowsour.2025.239060,PVA polymer matrix
P00077,TG,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,10.1016/j.jpowsour.2025.239060,Fe2+/Fe3+ redox electrolyte
P00078,TG,2026,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,10.1021/acsaem.6c01130,ferri/ferrocyanide electrolyte
P00079,TG,2026,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,10.1016/j.cej.2026.175294,ionic-liquid electrolyte
P00082,TG,2026,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,10.1002/smll.202514359,PVA polymer matrix
P00082,TG,2026,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,10.1002/smll.202514359,gelatin matrix
P00082,TG,2026,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,10.1002/smll.202514359,metal-oxide electrode
P00082,TG,2026,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,10.1002/smll.202514359,ferri/ferrocyanide electrolyte
P00083,TG,2026,Self-powered thermogalvanic cells based on layered double hydroxides cross-linking hydrogel: Enhanced thermoelectric performance and mechanical stretchability for IoT wearable electronics,10.1016/j.nanoen.2026.111909,ferri/ferrocyanide electrolyte
P00084,TG,2026,Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells,10.1002/adfm.76685,Fe2+/Fe3+ redox electrolyte
P00088,TG,2023,Rational Material Selection for Li-Ion-Based Thermogalvanic Harvesting Devices,10.1021/acs.chemmater.3c01129,metal-oxide electrode
P00089,TG,2018,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,10.1038/s41467-018-07625-9,ferri/ferrocyanide electrolyte
P00092,TG,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,PNIPAM thermoresponsive polymer
P00092,TG,2019,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,10.1016/j.nanoen.2018.12.073,iodide/triiodide electrolyte
P00093,TG,2020,"A fundamental study of the thermoelectrochemistry of ferricyanide/ferrocyanide: cation, concentration, ratio, and heterogeneous and homogeneous electrocatalysis effects in thermogalvanic cells",10.1039/d0se00440e,ferri/ferrocyanide electrolyte
P00094,TG,2021,Thermogalvanic and Thermocapacitive Behavior of Superabsorbent Hydrogels for Combined Low-Temperature Thermal Energy Conversion and Harvesting,10.1021/acsaem.1c02060,Fe2+/Fe3+ redox electrolyte
P00094,TG,2021,Thermogalvanic and Thermocapacitive Behavior of Superabsorbent Hydrogels for Combined Low-Temperature Thermal Energy Conversion and Harvesting,10.1021/acsaem.1c02060,ferri/ferrocyanide electrolyte
P00097,TG,2021,Thermogalvanic cells demonstrate inherent physiochemical limitations in redox-active electrolytes at water-in-salt concentrations,10.1016/j.xcrp.2021.100510,Fe2+/Fe3+ redox electrolyte
P00097,TG,2021,Thermogalvanic cells demonstrate inherent physiochemical limitations in redox-active electrolytes at water-in-salt concentrations,10.1016/j.xcrp.2021.100510,Na-salt electrolyte
P00097,TG,2021,Thermogalvanic cells demonstrate inherent physiochemical limitations in redox-active electrolytes at water-in-salt concentrations,10.1016/j.xcrp.2021.100510,K-salt electrolyte
P00099,TG,2022,Development of a Method for Thermogalvanic Characterization of Li-Ion Electrodes: A Case Study in Thin-Film Anatase TiO2,10.1021/acs.chemmater.2c00904,metal-oxide electrode
P00101,TG,2018,Hybrid Photothermal Pyroelectric and Thermogalvanic Generator for Multisituation Low Grade Heat Harvesting,10.1002/aenm.201802397,cellulose nanofiber matrix
P00101,TG,2018,Hybrid Photothermal Pyroelectric and Thermogalvanic Generator for Multisituation Low Grade Heat Harvesting,10.1002/aenm.201802397,carbon nanotube scaffold
P00106,TG,2019,Success and failure in the incorporation of gold nanoparticles inside ferri/ferrocyanide thermogalvanic cells,10.1016/j.elecom.2019.03.007,ferri/ferrocyanide electrolyte
P00110,TG,2020,Thermogalvanic and local field effects in SiO2 structure,10.1007/s13204-020-01447-2,silica/inorganic nanoparticle filler
P00111,TG,2018,Harnessing the thermogalvanic effect of the ferro/ferricyanide redox couple in a thermally chargeable supercapacitor,10.1016/j.electacta.2018.05.164,porous carbon electrode
P00111,TG,2018,Harnessing the thermogalvanic effect of the ferro/ferricyanide redox couple in a thermally chargeable supercapacitor,10.1016/j.electacta.2018.05.164,Fe2+/Fe3+ redox electrolyte
P00112,TG,2017,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",10.1039/c7ta04891b,Fe2+/Fe3+ redox electrolyte
P00118,TG,2015,Combining thermogalvanic corrosion and thermogalvanic redox couples for improved electrochemical waste heat harvesting,10.1016/j.elecom.2015.06.007,ferri/ferrocyanide electrolyte
P00118,TG,2015,Combining thermogalvanic corrosion and thermogalvanic redox couples for improved electrochemical waste heat harvesting,10.1016/j.elecom.2015.06.007,iodide/triiodide electrolyte
P00119,TG,2016,High-Performance Thermogalvanic Cell Based on Organic Nanofluids,10.3866/PKU.WHXB201606281,carbon nanotube scaffold
P00119,TG,2016,High-Performance Thermogalvanic Cell Based on Organic Nanofluids,10.3866/PKU.WHXB201606281,porous carbon electrode
P00119,TG,2016,High-Performance Thermogalvanic Cell Based on Organic Nanofluids,10.3866/PKU.WHXB201606281,Na-salt electrolyte
P00119,TG,2016,High-Performance Thermogalvanic Cell Based on Organic Nanofluids,10.3866/PKU.WHXB201606281,glycerol organohydrogel
P00124,TG,2011,Energy Harvesting and Storage with Lithium-Ion Thermogalvanic Cells,10.1149/1.3568820,metal-oxide electrode
P00126,TG,1996,"Power conversion efficiency, electrode separation, and overpotential in the ferricyanide/ferrocyonide thermogalvanic cell",10.1149/1.1837047,Fe2+/Fe3+ redox electrolyte
P00127,TG,1995,THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS,10.1149/1.2048394,Fe2+/Fe3+ redox electrolyte
P00127,TG,1995,THE POWER CONVERSION EFFICIENCIES OF A THERMOGALVANIC CELL OPERATED IN 3 DIFFERENT ORIENTATIONS,10.1149/1.2048394,K-salt electrolyte
P00131,TG,2003,Thermoelectric power of M-H systems in molten salts and application to M-H thermogalvanic cell,10.1149/1.1580818,Li-salt electrolyte
P00131,TG,2003,Thermoelectric power of M-H systems in molten salts and application to M-H thermogalvanic cell,10.1149/1.1580818,K-salt electrolyte
P00132,TG,1991,EXPERIMENTAL AND THEORETICAL-ANALYSIS OF A THERMOGALVANIC UNDIVIDED FLOW CELL WITH 2 AQUEOUS-ELECTROLYTES AT DIFFERENT TEMPERATURES,10.1007/BF01041456,ferri/ferrocyanide electrolyte
P00134,TG,2025,MXene Hollow Microsphere-Boosted Nanocomposite Electrodes for Thermocells with Enhanced Thermal Energy Harvesting Capability,10.1021/acsnano.4c12294,MXene scaffold
P00134,TG,2025,MXene Hollow Microsphere-Boosted Nanocomposite Electrodes for Thermocells with Enhanced Thermal Energy Harvesting Capability,10.1021/acsnano.4c12294,Fe2+/Fe3+ redox electrolyte
P00135,TG,2025,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,10.1021/acssuschemeng.4c10855,PVA polymer matrix
P00135,TG,2025,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,10.1021/acssuschemeng.4c10855,ferri/ferrocyanide electrolyte
P00136,TG,2024,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,10.1039/d3ee03759b,chitosan matrix
P00137,TG,2026,A self-powered hydrogel electronic skin with decoupled multimodal sensing for closed-loop human-machine interactions,10.1038/s41467-026-69450-9,PVA polymer matrix
P00138,TG,2025,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,10.1002/adfm.202417740,Fe2+/Fe3+ redox electrolyte
P00138,TG,2025,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,10.1002/adfm.202417740,ferri/ferrocyanide electrolyte
P00139,TG,2025,Large Temperature Dependence of Redox Potential Driven by Semiclathrate Hydrate Formation for Thermo-Electrochemical Conversion,10.1021/jacs.5c04430,Fe2+/Fe3+ redox electrolyte
P00141,TG,2025,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,10.1002/advs.202509400,Fe2+/Fe3+ redox electrolyte
P00141,TG,2025,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,10.1002/advs.202509400,ionic-liquid electrolyte
P00142,TG,2025,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,10.1016/j.nanoen.2025.111156,gelatin matrix
P00143,TG,2026,Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,10.1038/s41467-026-68721-9,PVA polymer matrix
P00143,TG,2026,Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,10.1038/s41467-026-68721-9,Cu-based redox electrolyte
P00144,TG,2020,Giant thermopower of ionic gelatin near room temperature,10.1126/science.aaz5045,gelatin matrix
P00144,TG,2020,Giant thermopower of ionic gelatin near room temperature,10.1126/science.aaz5045,ferri/ferrocyanide electrolyte
P00144,TG,2020,Giant thermopower of ionic gelatin near room temperature,10.1126/science.aaz5045,Na-salt electrolyte
P00144,TG,2020,Giant thermopower of ionic gelatin near room temperature,10.1126/science.aaz5045,K-salt electrolyte
P00145,TG,2025,Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,10.1002/anie.202511293,Li-salt electrolyte
P00145,TG,2025,Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,10.1002/anie.202511293,Na-salt electrolyte
P00145,TG,2025,Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,10.1002/anie.202511293,K-salt electrolyte
P00146,TG,2024,"Finger temperature-driven thermogalvainc gel-based smart pen: Utilized for identity recognition, stroke analysis, and grip posture assessment",10.1016/j.nanoen.2024.109366,PVA polymer matrix
P00146,TG,2024,"Finger temperature-driven thermogalvainc gel-based smart pen: Utilized for identity recognition, stroke analysis, and grip posture assessment",10.1016/j.nanoen.2024.109366,gelatin matrix
P00147,TG,1993,THERMOGALVANIC BEHAVIOR OF ACIDIC CU-2+/CU SYSTEM INDUCED BY LASER IRRADIATION,10.1149/1.2220980,Cu-based redox electrolyte
P00149,TG,2024,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,10.1016/j.jpowsour.2024.234647,PVA polymer matrix
P00149,TG,2024,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,10.1016/j.jpowsour.2024.234647,cellulose nanofiber matrix
P00149,TG,2024,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,10.1016/j.jpowsour.2024.234647,ferri/ferrocyanide electrolyte
P00153,TG,2023,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,10.1002/adfm.202209806,polyaniline conductor
P00153,TG,2023,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,10.1002/adfm.202209806,carbon nanotube scaffold
P00153,TG,2023,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,10.1002/adfm.202209806,MXene scaffold
P00154,TG,2026,3D printable shape-customized hydrogel thermocells,10.1093/nsr/nwaf518,deep-eutectic electrolyte
P00155,TG,2025,Integrated Hydrogel-Based Photothermoelectric Device for Energy Harvesting,10.1021/acsami.5c07204,cellulose nanofiber matrix
P00155,TG,2025,Integrated Hydrogel-Based Photothermoelectric Device for Energy Harvesting,10.1021/acsami.5c07204,ferri/ferrocyanide electrolyte
P00156,TG,2026,All-in-One Wearable Hydrogel Patch for Multimodal Visualized and Quantitative Heatstroke Monitoring,10.1021/acssensors.5c04692,Na-salt electrolyte
P00156,TG,2026,All-in-One Wearable Hydrogel Patch for Multimodal Visualized and Quantitative Heatstroke Monitoring,10.1021/acssensors.5c04692,K-salt electrolyte
P00158,TG,2025,Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,10.1021/acsami.5c04042,ionic-liquid electrolyte
P00160,TG,2025,Experimental investigations on thermally induced energy storage characteristics of hydrogel thermo-electrochemical cells for low-grade heat recovery,10.1016/j.energy.2025.138779,ferri/ferrocyanide electrolyte
P00165,TG,2024,Electrolyte Engineering of Quasi-Solid-State Thermocells for Low-Grade Heat Harvest at Sub-Zero Temperatures,10.1002/aenm.202402226,MXene scaffold
P00165,TG,2024,Electrolyte Engineering of Quasi-Solid-State Thermocells for Low-Grade Heat Harvest at Sub-Zero Temperatures,10.1002/aenm.202402226,ethylene-glycol organohydrogel
P00166,TG,2024,Wearable Device with High Thermoelectric Performance and Long-Lasting Usability Based on Gel-Thermocells for Body Heat Harvesting,10.1002/smll.202401427,ferri/ferrocyanide electrolyte
P00167,TG,2024,Thermoelectric Gel Enabling Self-Powered Facial Perception for Expression Recognition and Health Monitoring,10.1021/acssensors.4c03099,PVA polymer matrix
