comparison_id,selection,domain,variant,left_label,right_label,source_review,historical_relation,left_to_right_rank,right_to_left_rank,either_direction_top10,cosine
N0871,stratified,iTE,focused_clause,continuous operation,continuous operation of ITECs,non_equivalent,distinct_from,22,2,True,0.8264472484588623
N0895,stratified,iTE,focused_clause,concentration of electron holes,concentration of electrons,non_equivalent,distinct_from,21,3,True,0.866760790348053
N1575,stratified,iTE,focused_clause,Electrical conductivity,optical conductivity,non_equivalent,distinct_from,680,62,False,0.8218938112258911
N0628,stratified,iTE,focused_clause,n-type characteristics,p-type characteristics,non_equivalent,distinct_from,1386,358,False,0.7623528838157654
N0696,stratified,iTE,focused_clause,semiconducting properties,conducting properties,non_equivalent,distinct_from,242,771,False,0.7854507565498352
N0645,stratified,iTE,focused_clause,increased PEDOT domain distances,increase in the PEDOT domain distances,equivalent,equivalent_to,111,11,False,0.8206988573074341
N1500,stratified,iTE,focused_clause,PEDOT:PSS conductivity,conductivity of PEDOT:PSS,equivalent,equivalent_to,28,127,False,0.8468615412712097
N0656,stratified,iTE,focused_clause,half-metallicity character,half-metallic character,equivalent,equivalent_to,3,5,True,0.8429439067840576
N0331,stratified,iTE,focused_clause,ionic bonding,ionic bonding,equivalent,equivalent_to,3,5,True,0.8782840967178345
N0202,stratified,iTE,focused_clause,carrier concentration,carrier concentration,equivalent,equivalent_to,5,9,True,0.877295732498169
N0102,stratified,iTE,focused_clause,Cr doping,Cr doping,uncertain,equivalent_to,1,2,True,0.9065414667129517
N1127,stratified,iTE,focused_clause,half-metal,half-metallic gap,non_equivalent,related_to,11,51,False,0.8003473281860352
N0954,stratified,iTE,focused_clause,thermoelectric and mechanical performance,mechanical performance,non_equivalent,related_to,378,28,False,0.8039878010749817
N0422,stratified,iTE,focused_clause,p-type,p-type,uncertain,related_to,9,8,True,0.8434574007987976
N1191,stratified,iTE,focused_clause,Seebeck coefficient S,Seebeck coefficient of the PANI,non_equivalent,related_to,10,1,True,0.9188892841339111
N1522,stratified,iTE,focused_clause,charge carrier concentration,increase of the carrier concentration,non_equivalent,related_to,165,80,False,0.8135620355606079
N0730,stratified,iTE,focused_clause,Fmoc-FF,pi-pi interactions between Fmoc groups,non_equivalent,related_to,1,1,True,0.9817730188369751
N0838,known_challenge,iTE,focused_clause,negative Seebeck coefficient,positive Seebeck coefficient,non_equivalent,distinct_from,17,57,False,0.8654395341873169
N0062,stratified,TG,label_only,sensitivity,sensitivity,non_equivalent,distinct_from,1,1,True,1.0
N0575,stratified,TG,label_only,short-circuit current density,short-circuit current,non_equivalent,distinct_from,3,2,True,0.9167062044143677
N1608,stratified,TG,label_only,stretching-induced crystallization,ioninduced crystallization,non_equivalent,distinct_from,4,8,True,0.8398580551147461
N0755,stratified,TG,label_only,ion diffusion coefficients,diffusion coefficient,non_equivalent,distinct_from,3,2,True,0.895972728729248
N1098,stratified,TG,label_only,electrical performance,mechanical performance,non_equivalent,distinct_from,9,8,True,0.8473063707351685
N1520,stratified,TG,label_only,thermal conductivity,ionic electrical conductivity,non_equivalent,distinct_from,33,13,False,0.8221954107284546
N1223,stratified,TG,label_only,current density,output current density,equivalent,equivalent_to,1,1,True,0.9386857151985168
N0855,stratified,TG,label_only,thermodiffusion effect,thermodiffusion,equivalent,equivalent_to,3,4,True,0.9475979804992676
N1588,stratified,TG,label_only,temperature difference,temperature difference across the cell,equivalent,equivalent_to,5,1,True,0.9051965475082397
N0072,stratified,TG,label_only,thermal diffusion,thermal diffusion,equivalent,equivalent_to,1,1,True,1.0
N0041,stratified,TG,label_only,ionic conductivity,ionic conductivity,equivalent,equivalent_to,2,2,True,0.9999998807907104
N0058,stratified,TG,label_only,power density,power density,equivalent,equivalent_to,1,1,True,1.0
N1578,stratified,TG,label_only,thermovoltage,thermovoltage signals,equivalent,related_to,1,1,True,0.9172309637069702
N0067,stratified,TG,label_only,temperature gradient,temperature gradient,uncertain,related_to,1,3,True,1.0
N1385,stratified,TG,label_only,ion concentration gradients,ion concentration,non_equivalent,related_to,1,2,True,0.9337735176086426
N0757,stratified,TG,label_only,interfacial resistance gating,interfacial resistance,non_equivalent,related_to,1,1,True,0.9215383529663086
N1592,stratified,TG,label_only,mass transport,ion transport,non_equivalent,related_to,9,68,True,0.784508228302002
N1046,stratified,TG,label_only,corrosion rates,corrosion,non_equivalent,related_to,1,3,True,0.913682222366333
N1627,stratified,iTE,label_only,concentration,concentration of holes,non_equivalent,distinct_from,19,30,False,0.8123903274536133
N0871,stratified,iTE,label_only,continuous operation,continuous operation of ITECs,non_equivalent,distinct_from,1,1,True,0.8672356605529785
N0895,stratified,iTE,label_only,concentration of electron holes,concentration of electrons,non_equivalent,distinct_from,1,1,True,0.9226258993148804
N1575,stratified,iTE,label_only,Electrical conductivity,optical conductivity,non_equivalent,distinct_from,121,16,False,0.8902556896209717
N0628,stratified,iTE,label_only,n-type characteristics,p-type characteristics,non_equivalent,distinct_from,3,7,True,0.8824721574783325
N0696,stratified,iTE,label_only,semiconducting properties,conducting properties,non_equivalent,distinct_from,9,75,True,0.8806966543197632
N0645,stratified,iTE,label_only,increased PEDOT domain distances,increase in the PEDOT domain distances,equivalent,equivalent_to,1,1,True,0.9910137057304382
N1500,stratified,iTE,label_only,PEDOT:PSS conductivity,conductivity of PEDOT:PSS,equivalent,equivalent_to,1,1,True,0.9850062131881714
N0656,stratified,iTE,label_only,half-metallicity character,half-metallic character,equivalent,equivalent_to,1,2,True,0.9823017716407776
N0331,stratified,iTE,label_only,ionic bonding,ionic bonding,equivalent,equivalent_to,3,2,True,1.0
N0202,stratified,iTE,label_only,carrier concentration,carrier concentration,equivalent,equivalent_to,1,1,True,1.0
N0102,stratified,iTE,label_only,Cr doping,Cr doping,uncertain,equivalent_to,1,1,True,0.9999999403953552
N1127,stratified,iTE,label_only,half-metal,half-metallic gap,non_equivalent,related_to,4,2,True,0.8463695049285889
N0954,stratified,iTE,label_only,thermoelectric and mechanical performance,mechanical performance,non_equivalent,related_to,57,6,True,0.8740161061286926
N0422,stratified,iTE,label_only,p-type,p-type,uncertain,related_to,1,1,True,1.0
N1191,stratified,iTE,label_only,Seebeck coefficient S,Seebeck coefficient of the PANI,non_equivalent,related_to,92,62,False,0.9112315773963928
N1522,stratified,iTE,label_only,charge carrier concentration,increase of the carrier concentration,non_equivalent,related_to,22,19,False,0.9060735702514648
N0730,stratified,iTE,label_only,Fmoc-FF,pi-pi interactions between Fmoc groups,non_equivalent,related_to,1,11,True,0.7853500843048096
N0838,known_challenge,iTE,label_only,negative Seebeck coefficient,positive Seebeck coefficient,non_equivalent,distinct_from,67,73,False,0.9369920492172241
