variant,source,source_label,target,target_label,rank,cosine,same_paper
baseline_80,TG:P0124:n2,corrosion rates,TG:P0126:n3,thermogalvanic currents,4,0.9113279581069946,False
baseline_80,TG:P0124:n2,corrosion rates,TG:P0126:n2,hot anodes,5,0.9069222211837769,False
baseline_80,TG:P0124:n2,corrosion rates,TG:P0230:n1,Temperature and Reynolds number,6,0.9068109393119812,False
baseline_80,TG:P0124:n2,corrosion rates,TG:P0123:n3,thermogalvanic coupling time,7,0.8998704552650452,False
baseline_80,TG:P0124:n2,corrosion rates,TG:P0242:n1,thermogalvanic and heat-transfer corrosion,8,0.8995389938354492,False
baseline_80,TG:P0124:n2,corrosion rates,TG:P0049:n3,thermogalvanic corrosion of the copper electrode,9,0.8973926305770874,False
baseline_80,TG:P0124:n2,corrosion rates,TG:P0151:n2,thermogalvanic corrosion of iron,10,0.8960434794425964,False
baseline_80,TG:P0136:n3,temperature gradient,TG:P0136:n2,photothermal conversion,1,0.9655012488365173,True
baseline_80,TG:P0136:n3,temperature gradient,TG:P0136:n1,placing thermoelectric hydrogels on top of a photothermal hydrogel,2,0.9554757475852966,True
baseline_80,TG:P0136:n3,temperature gradient,TG:P0069:n3,heat,3,0.891328752040863,False
baseline_80,TG:P0136:n3,temperature gradient,TG:P0069:n1,upper photothermal layer,4,0.8851218819618225,False
baseline_80,TG:P0136:n3,temperature gradient,TG:P0069:n4,thermovoltage signals,5,0.8835207223892212,False
baseline_80,TG:P0136:n3,temperature gradient,TG:P0156:n2,thermoelectric hydrogel,6,0.8835175633430481,False
baseline_80,TG:P0136:n3,temperature gradient,TG:P0191:n2,photothermal layer,7,0.8801229000091553,False
baseline_80,TG:P0136:n3,temperature gradient,TG:P0051:n2,photothermal conversion,8,0.8793761730194092,False
baseline_80,TG:P0136:n3,temperature gradient,TG:P0051:n3,temperature difference,9,0.8780323266983032,False
baseline_80,TG:P0136:n3,temperature gradient,TG:P0081:n1,temperature gradient,10,0.8745884895324707,False
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0137:n4,introduction of melamine,1,0.979706883430481,True
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0137:n5,selective complexation/desorption of Fe3+ at cold and hot ends,2,0.9761525988578796,True
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0137:n1,Grafting guanidinium salt ions,3,0.9758427739143372,True
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0137:n2,selective separation of positive and negative ions,4,0.9737591743469238,True
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0137:n6,concentration and entropy difference of redox pairs,5,0.9700005054473877,True
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0142:n2,temperature-dependent redox reactions of Fe2+/Fe3+,6,0.8660788536071777,False
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0014:n3,thermodiffusion,7,0.8593321442604065,False
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0144:n3,thermodiffusion contribution,8,0.8569192886352539,False
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0146:n1,interaction between multications and anions,9,0.854601263999939,False
baseline_80,TG:P0137:n3,thermodiffusion effect,TG:P0139:n2,modify the solvation shells of ions,10,0.8541958928108215,False
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0145:n3,thermopower,1,0.9812604784965515,True
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0145:n2,thermogalvanic effects,2,0.9695520401000977,True
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0043:n2,thermodiffusion,3,0.8992099761962891,False
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0015:n4,thermopower,4,0.8880302309989929,False
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0080:n1,ion thermodiffusion (Bmim+/H2PO4- ),5,0.8848316073417664,False
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0015:n2,thermoelectric effect,6,0.8844038248062134,False
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0225:n1,thermodiffusive and thermogalvanic effects,7,0.8813689947128296,False
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0080:n2,thermogalvanic effect (Fe2+/Fe3+),8,0.8779367208480835,False
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0043:n4,thermal current,9,0.8758994340896606,False
baseline_80,TG:P0145:n1,thermodiffusion,TG:P0053:n6,thermoelectric properties,10,0.8706647753715515,False
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0146:n5,ionic thermoelectric performance,1,0.9840832352638245,True
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0146:n3,exchange current density,2,0.9719197154045105,True
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0146:n1,interaction between multications and anions,3,0.9619467258453369,True
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0146:n2,entropy change of redox reaction,4,0.9612547159194946,True
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0014:n4,ionic conductivity,5,0.8921080231666565,False
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0150:n2,ionic conductivity,6,0.8888599276542664,False
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0045:n4,thermoelectric performance,7,0.8864980936050415,False
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0043:n4,thermal current,8,0.8823708891868591,False
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0297:n2,ionic electrical conductivity,9,0.879875659942627,False
baseline_80,TG:P0146:n4,ionic conductivity,TG:P0045:n3,ion concentration,10,0.8791534304618835,False
baseline_80,TG:P0150:n2,ionic conductivity,TG:P0150:n1,fractal microstructure of the hydrogel,1,0.9679038524627686,True
baseline_80,TG:P0150:n2,ionic conductivity,TG:P0045:n3,ion concentration,2,0.9062181711196899,False
baseline_80,TG:P0150:n2,ionic conductivity,TG:P0045:n4,thermoelectric performance,3,0.8950899839401245,False
baseline_80,TG:P0150:n2,ionic conductivity,TG:P0045:n2,confined ion transportation in micro/nano channels,4,0.8911174535751343,False
