layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
11,C130B58DCFB,C97F8E13D1A,ferri/ferrocyanide,thermally regenerative electrochemical cycle,material_entity,device_mechanism,0.1833695620298385,44,13,13,44,20,9,9,20,0.45,5,2,7,-0.6666666666666666,-1.3333333333333333,28,8,7,0.14,2.392646921590738,572,2,1,0,0,1,0,2022,2023-2026,0,0.1378498110156109,0.2345065267009235,0.9341292713050638,0.840885137916838,0.9407163441745574,1,51,M-X,material-mechanism
12,C10D3798CF7,C3970EB273E,selective solvation,gelatin,solvation_entropy,material_entity,0.1860052198171615,13,21,13,21,6,4,4,6,0.6666666666666666,2,4,6,0.3333333333333333,1.3333333333333333,22,2,6,0.2142857142857142,1.8386226527276024,273,2,1,0,0,1,0,2022,2023-2026,0,0.5649555958341967,0.0642802677470853,0.4742692466035405,0.8388349114862083,0.5724989707698641,0,1032,M-X,material-mechanism
13,C10626AE9E8,C275FB7C4B0,[Fe(CN)6]3-/4-,iodide/triiodide redox chemistry,material_entity,redox_chemistry,0.3519404530525207,11,24,11,24,4,8,4,8,0.5,2,2,4,0.6666666666666666,0.0,28,7,5,0.1666666666666666,1.4047102351901135,264,2,1,0,0,1,0,2022,2023-2026,0,0.5462506109917067,0.1796551654964398,0.8764923836969947,0.8382009057225196,0.8940304652120215,0,123,M-X,material-mechanism
14,C06E312C91F,C25D09DDC57,[Fe(CN)6]4-/3-,Fe2+/Fe3+ solvation redox chemistry,material_entity,redox_chemistry,0.5555978417396545,11,28,11,28,2,19,2,19,0.1052631578947368,2,8,10,0.6666666666666666,0.3333333333333333,2,27,4,0.1142857142857142,1.1134098035106308,308,2,1,0,0,1,0,2022,2023-2026,0,0.630262158020915,0.1985789418597773,0.8979003705228489,0.8379333058871964,0.9109098394400988,0,95,M-X,material-mechanism
15,C06E312C91F,C10C4FF4B6C,[Fe(CN)6]4-/3-,hydrogen bonding,material_entity,solvation_entropy,0.2475394010543823,11,18,11,18,2,5,2,5,0.4,2,5,7,0.6666666666666666,1.6666666666666667,2,1,5,0.2083333333333333,1.455110845697793,198,2,1,0,0,1,0,2022,2023-2026,0,0.6007070207341199,0.0823315599400568,0.5891313297653356,0.8373898723754631,0.6638122684232194,0,770,M-X,material-mechanism
16,C78D65254F9,C9910E60ABA,phase transition,carbon nanotube,phase_or_species_transition,material_entity,0.2057544589042663,18,28,18,28,5,11,5,11,0.4545454545454545,3,2,5,0.6666666666666666,-0.6666666666666666,6,12,6,0.15,1.760440709807976,504,2,1,0,0,1,0,2022,2023-2026,0,0.234535515495356,0.1531674397560722,0.8361465623713462,0.834825030876904,0.8611774392754219,0,203,M-X,material-mechanism
17,C3DA2C4151E,C872881EC3C,aqueous electrolyte,gel-confined redox transport,material_system,gel_microstructure,0.2476686835289001,17,22,17,22,5,7,5,7,0.7142857142857143,0,7,7,-0.6666666666666666,2.3333333333333335,24,2,5,0.1470588235294117,1.381296410541854,374,2,1,0,0,1,0,2022,2023-2026,0,0.4055149365269491,0.0961182749741173,0.6591189790037052,0.8337834499794154,0.7194730341704405,0,610,M-X,material-mechanism
18,C25D09DDC57,C6210B1A223,Fe2+/Fe3+ solvation redox chemistry,reduced graphene oxide,redox_chemistry,material_entity,0.1228594332933425,28,12,12,28,19,3,3,19,0.1578947368421052,8,1,9,0.3333333333333333,0.3333333333333333,27,10,7,0.2121212121212121,2.1911147776831217,336,2,1,0,0,1,0,2022,2023-2026,0,0.5949687949318171,0.2405414250735836,0.9415397282832442,0.8336764100452863,0.945327295183203,1,45,M-X,material-mechanism
19,C3DA2C4151E,C45C8AAD12E,aqueous electrolyte,charge-transfer resistance engineering,material_system,electrode_interface,0.3249901533126831,17,21,17,21,5,8,5,8,0.625,0,1,1,-0.6666666666666666,-0.6666666666666666,24,31,8,0.2666666666666666,2.613057190080265,357,2,1,0,0,1,0,2022,2023-2026,0,0.370463608199339,0.0413198866901295,0.3054755043227665,0.8329230135858378,0.4362289007822149,0,1430,M-X,material-mechanism
20,C130B58DCFB,C5E63317596,ferri/ferrocyanide,hierarchical porous electrode interface,material_entity,electrode_interface,0.1540093421936035,44,11,11,44,20,2,2,20,0.1,5,2,7,-0.6666666666666666,0.6666666666666666,28,1,7,0.1458333333333333,2.3519988517729447,484,2,1,0,0,1,0,2022,2023-2026,0,0.3455990778197403,0.0707406893468007,0.5133799917661589,0.830806916426513,0.6021407986825854,0,951,M-X,material-mechanism
21,C3DA2C4151E,C7932B1CE8C,aqueous electrolyte,chaotropic polymer-water disruption,material_system,gel_microstructure,0.2765610516071319,17,18,17,18,5,5,5,5,1.0,0,4,4,-0.6666666666666666,1.0,24,4,5,0.1666666666666666,1.4460203640819491,306,2,1,0,0,1,0,2022,2023-2026,0,0.2959356161004257,0.0326373836867955,0.23219431864965,0.8300494030465213,0.3769452449567723,0,1622,M-X,material-mechanism
22,C275FB7C4B0,CD3462DB8FF,iodide/triiodide redox chemistry,CuSO4,redox_chemistry,material_entity,0.260162353515625,24,11,11,24,8,4,4,8,0.5,2,1,3,0.0,0.0,7,9,6,0.2068965517241379,1.7452816178059611,264,2,1,0,0,1,0,2022,2023-2026,0,0.3173542222140738,0.1835778661035212,0.8797859201317415,0.8293742280773982,0.8946891724989707,0,122,M-X,material-mechanism
23,C6210B1A223,C872881EC3C,reduced graphene oxide,gel-confined redox transport,material_entity,gel_microstructure,0.1178820580244064,12,22,12,22,3,7,3,7,0.4285714285714285,1,7,8,0.3333333333333333,2.3333333333333335,10,2,7,0.2592592592592592,2.235538014335093,264,2,1,0,0,1,0,2022,2023-2026,0,0.6661602689286003,0.1454727286370556,0.8196788801976121,0.8289090160559902,0.8465212021407986,0,242,M-X,material-mechanism
24,C7096F6ECC5,CCAABE058E7,imidazolium ionic-liquid phase transition electrolyte,ferri/ferrocyanide redox chemistry,material_system,redox_chemistry,0.1274550259113311,13,60,13,60,5,36,5,36,0.1388888888888889,2,11,13,0.6666666666666666,0.0,8,31,8,0.123076923076923,2.555233371057085,780,2,1,0,0,1,0,2022,2023-2026,0,0.4716107843587442,0.194873021154719,0.8937834499794154,0.8250802799505967,0.9046521202140798,0,107,M-X,material-mechanism
25,C6181968680,CF2C5201A37,graphene,porous-electrode area enhancement,material_entity,electrode_interface,0.1277266144752502,18,19,18,19,6,5,5,6,0.8333333333333334,2,2,4,0.0,0.3333333333333333,10,24,8,0.2758620689655172,2.4883016757177936,342,2,1,0,0,1,0,2022,2023-2026,0,0.4310100689796017,0.0250409782322212,0.1815561959654178,0.8211568546727048,0.3342939481268011,0,1740,M-X,material-mechanism
