layer_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
11,C2106B674B9,C9910E60ABA,iodide/triiodide,carbon nanotube,material_entity,material_entity,0.3012929558753967,20,28,20,28,7,11,7,11,0.6363636363636364,2,2,4,0.0,-0.6666666666666666,7,12,6,0.1428571428571428,1.8390047170933657,560,2,1,1,1,0,0,2022,2023-2026,0,0.0734667600384502,0.1081873438876397,0.7179909427748045,0.8553808151502675,0.7704405104981473,0,454,M-M,material-material
12,C130B58DCFB,C3F66DD37CA,ferri/ferrocyanide,H2O,material_entity,material_entity,0.382850170135498,44,8,8,44,20,2,2,20,0.1,5,1,6,-0.6666666666666666,0.3333333333333333,28,24,5,0.1063829787234042,1.565705237987562,352,2,1,1,1,0,0,2022,2023-2026,1,0.3850171830977169,0.1385833891609786,0.8073281185673117,0.8535940716344174,0.8416632358995472,0,257,M-M,material-material
13,C06E312C91F,C9910E60ABA,[Fe(CN)6]4-/3-,carbon nanotube,material_entity,material_entity,0.4354942440986633,11,28,11,28,2,11,2,11,0.1818181818181818,2,2,4,0.6666666666666666,-0.6666666666666666,2,12,5,0.1470588235294117,1.4369252566593034,308,2,1,1,1,0,0,2022,2023-2026,0,0.2654251113276127,0.1379588502257226,0.8060930424042816,0.8506751749691231,0.8405104981473858,0,261,M-M,material-material
14,C10626AE9E8,C2106B674B9,[Fe(CN)6]3-/4-,iodide/triiodide,material_entity,material_entity,0.4021614789962768,11,20,11,20,4,7,4,7,0.5714285714285714,2,2,4,0.6666666666666666,0.0,28,7,5,0.1923076923076923,1.4047102351901135,220,2,1,1,1,0,0,2022,2023-2026,0,0.3629137980543732,0.0918205778903622,0.6348291477974475,0.8478592013174147,0.7031700288184438,0,649,M-M,material-material
15,C73B79C2209,CD0FD071A10,[Fe(CN)6],carbon cloth,material_entity,material_entity,0.4034808874130249,13,11,11,13,4,2,2,4,0.5,2,1,3,0.3333333333333333,0.0,10,4,6,0.3333333333333333,1.8966274676509776,143,2,1,1,1,0,0,2022,2023-2026,0,0.2692359438531844,0.0846615633474347,0.6018937834499795,0.8470111156854672,0.676657060518732,0,732,M-M,material-material
16,C3970EB273E,C6181968680,gelatin,graphene,material_entity,material_entity,0.3025485277175903,21,18,18,21,4,6,4,6,0.6666666666666666,4,2,6,1.3333333333333333,0.0,2,10,5,0.1470588235294117,1.3909094768811874,378,2,1,1,1,0,0,2022,2023-2026,0,0.2227155843667772,0.0436508754370413,0.3231782626595306,0.8464800329353642,0.4536023054755043,0,1376,M-M,material-material
17,C130B58DCFB,C7B823B5BB0,ferri/ferrocyanide,poly(vinyl alcohol) (PVA),material_entity,material_entity,0.234756052494049,44,12,12,44,20,2,2,20,0.1,5,2,7,-0.6666666666666666,0.6666666666666666,28,0,6,0.12,1.8099445746635343,528,2,1,1,1,0,0,2022,2023-2026,1,0.1402448464413956,0.074815320576564,0.53931659118979,0.8461218608480856,0.6264306298888431,0,879,M-M,material-material
18,C2106B674B9,C7B823B5BB0,iodide/triiodide,poly(vinyl alcohol) (PVA),material_entity,material_entity,0.3516333103179931,20,12,12,20,7,2,2,7,0.2857142857142857,2,2,4,0.0,0.6666666666666666,7,0,5,0.1851851851851851,1.5039466390230043,240,2,1,1,1,0,0,2022,2023-2026,1,0.2222183382620401,0.124097590123068,0.7636887608069164,0.8459324825030876,0.805763688760807,0,355,M-M,material-material
19,C3970EB273E,CD3462DB8FF,gelatin,CuSO4,material_entity,material_entity,0.3112828135490417,21,11,11,21,4,4,4,4,1.0,4,1,5,1.3333333333333333,0.0,2,9,5,0.1851851851851851,1.441868542263682,231,2,1,1,1,0,0,2022,2023-2026,0,0.2828687659726921,0.0448542824191326,0.3347056401811445,0.8450885137916837,0.4623301770275834,0,1350,M-M,material-material
20,C3970EB273E,C7096F6ECC5,gelatin,imidazolium ionic-liquid phase transition electrolyte,material_entity,material_system,0.2518899440765381,21,13,13,21,4,5,4,5,0.8,4,2,6,1.3333333333333333,0.6666666666666666,2,8,5,0.1724137931034483,1.6379010613466691,273,2,1,0,1,0,0,2022,2023-2026,0,0.3410332751273136,0.0318974627612427,0.2276657060518732,0.84507204610951,0.3766158913132976,0,1623,M-M,material-material
21,C3970EB273E,C4CEC954E12,gelatin,platinum electrode,material_entity,material_entity,0.3581182360649109,21,16,16,21,4,6,4,6,0.6666666666666666,4,0,4,1.3333333333333333,-0.3333333333333333,2,31,5,0.15625,1.441868542263682,336,2,1,1,1,0,0,2022,2023-2026,0,0.3408579331910469,0.0503471206886699,0.3729930012350761,0.8448703170028817,0.4927130506381226,0,1267,M-M,material-material
22,C130B58DCFB,C22DFAA7132,ferri/ferrocyanide,H2SO4,material_entity,material_entity,0.3670238852500915,44,5,5,44,20,2,2,20,0.1,5,1,6,-0.6666666666666666,0.3333333333333333,28,8,5,0.1136363636363636,1.6277365617098072,220,2,1,1,1,0,0,2022,2023-2026,0,0.4350994291253156,0.2100999682516459,0.9106628242074928,0.8432441333882256,0.9225195553725812,1,76,M-M,material-material
23,C10626AE9E8,C6210B1A223,[Fe(CN)6]3-/4-,reduced graphene oxide,material_entity,material_entity,0.3945150971412658,11,12,11,12,4,3,3,4,0.75,2,1,3,0.6666666666666666,0.3333333333333333,28,10,6,0.3529411764705882,1.8012435324318414,132,2,1,1,1,0,0,2022,2023-2026,0,0.4068041207813339,0.1125137461019757,0.7324001646768218,0.8421943186496501,0.7796624125154384,0,421,M-M,material-material
24,C3970EB273E,CD0FD071A10,gelatin,carbon cloth,material_entity,material_entity,0.2926829755306244,21,11,11,21,4,2,2,4,0.5,4,1,5,1.3333333333333333,0.0,2,4,5,0.1851851851851851,1.415874768332171,231,2,1,1,1,0,0,2022,2023-2026,1,0.2925168018586389,0.0528788781917406,0.3906957595718403,0.8395553725813091,0.5058048579662412,0,1226,M-M,material-material
25,C2106B674B9,C6181968680,iodide/triiodide,graphene,material_entity,material_entity,0.329606831073761,20,18,18,20,7,6,6,7,0.8571428571428571,2,2,4,0.0,0.0,7,10,5,0.1515151515151515,1.4047102351901135,360,2,1,1,1,0,0,2022,2023-2026,0,0.1271694802397032,0.0328877377439092,0.2350761630300535,0.8366200082338411,0.3804034582132564,0,1608,M-M,material-material
