layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
11,C3970EB273E,CD3462DB8FF,gelatin,CuSO4,material_entity,material_entity,0.3112828135490417,21,11,11,21,4,4,4,4,1.0,4,1,5,1.3333333333333333,0.0,2,9,5,0.1851851851851851,1.441868542263682,231,2,1,1,1,0,0,2022,2023-2026,0,0.2828687659726921,0.0448542824191326,0.3347056401811445,0.8450885137916837,0.4623301770275834,0,1350,M-M,material-material
12,C3970EB273E,C7096F6ECC5,gelatin,imidazolium ionic-liquid phase transition electrolyte,material_entity,material_system,0.2518899440765381,21,13,13,21,4,5,4,5,0.8,4,2,6,1.3333333333333333,0.6666666666666666,2,8,5,0.1724137931034483,1.6379010613466691,273,2,1,0,1,0,0,2022,2023-2026,0,0.3410332751273136,0.0318974627612427,0.2276657060518732,0.84507204610951,0.3766158913132976,0,1623,M-M,material-material
13,C3970EB273E,C4CEC954E12,gelatin,platinum electrode,material_entity,material_entity,0.3581182360649109,21,16,16,21,4,6,4,6,0.6666666666666666,4,0,4,1.3333333333333333,-0.3333333333333333,2,31,5,0.15625,1.441868542263682,336,2,1,1,1,0,0,2022,2023-2026,0,0.3408579331910469,0.0503471206886699,0.3729930012350761,0.8448703170028817,0.4927130506381226,0,1267,M-M,material-material
14,C130B58DCFB,C22DFAA7132,ferri/ferrocyanide,H2SO4,material_entity,material_entity,0.3670238852500915,44,5,5,44,20,2,2,20,0.1,5,1,6,-0.6666666666666666,0.3333333333333333,28,8,5,0.1136363636363636,1.6277365617098072,220,2,1,1,1,0,0,2022,2023-2026,0,0.4350994291253156,0.2100999682516459,0.9106628242074928,0.8432441333882256,0.9225195553725812,1,76,M-M,material-material
15,C10626AE9E8,C6210B1A223,[Fe(CN)6]3-/4-,reduced graphene oxide,material_entity,material_entity,0.3945150971412658,11,12,11,12,4,3,3,4,0.75,2,1,3,0.6666666666666666,0.3333333333333333,28,10,6,0.3529411764705882,1.8012435324318414,132,2,1,1,1,0,0,2022,2023-2026,0,0.4068041207813339,0.1125137461019757,0.7324001646768218,0.8421943186496501,0.7796624125154384,0,421,M-M,material-material
16,C2106B674B9,C6181968680,iodide/triiodide,graphene,material_entity,material_entity,0.329606831073761,20,18,18,20,7,6,6,7,0.8571428571428571,2,2,4,0.0,0.0,7,10,5,0.1515151515151515,1.4047102351901135,360,2,1,1,1,0,0,2022,2023-2026,0,0.1271694802397032,0.0328877377439092,0.2350761630300535,0.8366200082338411,0.3804034582132564,0,1608,M-M,material-material
17,C6210B1A223,CD0FD071A10,reduced graphene oxide,carbon cloth,material_entity,material_entity,0.5893036723136902,12,11,11,12,3,2,2,3,0.6666666666666666,1,1,2,0.3333333333333333,0.0,10,4,6,0.3529411764705882,1.8012435324318414,132,2,1,1,1,0,0,2022,2023-2026,0,0.2422143071001566,0.0657016643546646,0.4837381638534376,0.8331412103746398,0.5790037052284891,0,1017,M-M,material-material
18,C3DA2C4151E,C4CEC954E12,aqueous electrolyte,platinum electrode,material_system,material_entity,0.4126765131950378,17,16,16,17,5,6,5,6,0.8333333333333334,0,0,0,-0.6666666666666666,-0.3333333333333333,24,31,8,0.32,2.48827334105624,272,2,1,0,1,0,0,2022,2023-2026,0,0.2368571459614316,0.0329687780451508,0.2354878550843968,0.8318896665294359,0.3800741045697817,0,1610,M-M,material-material
19,C2106B674B9,C7713A07951,iodide/triiodide,urea,material_entity,material_entity,0.4188510179519653,20,8,8,20,7,2,2,7,0.2857142857142857,2,1,3,0.0,0.0,7,4,5,0.217391304347826,1.5368092201058416,160,2,1,1,1,0,0,2022,2023-2026,0,0.2329263031523797,0.1749700752013505,0.8727871552079045,0.831387402223137,0.8897488678468506,0,131,M-M,material-material
20,C7096F6ECC5,C9910E60ABA,imidazolium ionic-liquid phase transition electrolyte,carbon nanotube,material_system,material_entity,0.2714591324329376,13,28,13,28,5,11,5,11,0.4545454545454545,2,2,4,0.6666666666666666,-0.6666666666666666,8,12,5,0.1388888888888889,1.6517018196555957,364,2,1,0,1,0,0,2022,2023-2026,0,0.2116656884730483,0.1366465663190648,0.8023878139151914,0.8298023878139151,0.8330177027583368,0,281,M-M,material-material
21,C3DA2C4151E,C9910E60ABA,aqueous electrolyte,carbon nanotube,material_system,material_entity,0.2431538105010986,17,28,17,28,5,11,5,11,0.4545454545454545,0,2,2,-0.6666666666666666,-0.6666666666666666,24,12,8,0.2162162162162162,2.49862583408345,476,2,1,0,1,0,0,2022,2023-2026,0,0.1028914144632119,0.1306058596568868,0.7859201317414574,0.8283614656237134,0.8192671881432688,0,317,M-M,material-material
22,C2106B674B9,CD0FD071A10,iodide/triiodide,carbon cloth,material_entity,material_entity,0.3823820948600769,20,11,11,20,7,2,2,7,0.2857142857142857,2,1,3,0.0,0.0,7,4,5,0.1923076923076923,1.4047102351901135,220,2,1,1,1,0,0,2022,2023-2026,0,0.1888556904017478,0.1176765172072129,0.7459860024701523,0.8278303828736105,0.7871552079044875,0,402,M-M,material-material
23,C4CEC954E12,CD3462DB8FF,platinum electrode,CuSO4,material_entity,material_entity,0.3948675394058227,16,11,11,16,6,4,4,6,0.6666666666666666,0,1,1,-0.3333333333333333,0.0,31,9,7,0.35,2.1145509908748163,176,2,1,1,1,0,0,2022,2023-2026,0,0.2361740019546765,0.0333490436904909,0.2387813915191436,0.8212515438452038,0.3801564429806504,0,1609,M-M,material-material
24,C5B8C057FAD,C9910E60ABA,metal oxide,carbon nanotube,material_system,material_entity,0.3518737256526947,8,28,8,28,2,11,2,11,0.1818181818181818,1,2,3,0.0,-0.6666666666666666,4,12,5,0.1612903225806451,1.506910285856689,224,2,1,0,1,0,0,2022,2023-2026,0,0.2658266403899496,0.2029355461510155,0.9032523672293123,0.8205434335117331,0.911568546727048,0,92,M-M,material-material
25,C2106B674B9,C9642D16DCA,iodide/triiodide,graphene oxide,material_entity,material_entity,0.2986443042755127,20,12,12,20,7,4,4,7,0.5714285714285714,2,1,3,0.0,0.0,7,10,5,0.1851851851851851,1.4047102351901135,240,2,1,1,1,0,0,2022,2023-2026,0,0.1821802965232249,0.0704975132570615,0.5109098394400988,0.8133058871963771,0.5967064635652531,0,972,M-M,material-material
1,C4CEC954E12,C872881EC3C,platinum electrode,gel-confined redox transport,material_entity,gel_microstructure,0.2869496047496795,16,22,16,22,6,7,6,7,0.8571428571428571,0,7,7,-0.3333333333333333,2.3333333333333335,31,2,7,0.2258064516129032,2.029762591681313,352,2,1,0,0,1,0,2022,2023-2026,0,0.5149310015082174,0.0640465945758293,0.4722107863318238,0.892536023054755,0.576780568135035,0,1021,M-X,material-mechanism
2,C2106B674B9,C25D09DDC57,iodide/triiodide,Fe2+/Fe3+ solvation redox chemistry,material_entity,redox_chemistry,0.3139265775680542,20,28,20,28,7,19,7,19,0.3684210526315789,2,8,10,0.0,0.3333333333333333,7,27,6,0.1428571428571428,1.7653839954123545,560,2,1,0,0,1,0,2022,2023-2026,0,0.2846156249790523,0.2613559599167893,0.9592424866200082,0.881272128447921,0.965582544256896,1,15,M-X,material-mechanism
3,C25D09DDC57,CD3462DB8FF,Fe2+/Fe3+ solvation redox chemistry,CuSO4,redox_chemistry,material_entity,0.2402528226375579,28,11,11,28,19,4,4,19,0.2105263157894736,8,1,9,0.3333333333333333,0.0,27,9,7,0.21875,2.1035219074754705,308,2,1,0,0,1,0,2022,2023-2026,0,0.5709455179648755,0.3005302449334602,0.9736517085220256,0.8803375874845616,0.9768629065459036,1,7,M-X,material-mechanism
4,C3F66DD37CA,CBA7A0F0CA3,H2O,thermogalvanic redox conversion,material_entity,device_mechanism,0.2823755741119385,8,60,8,60,2,41,2,41,0.048780487804878,1,19,20,0.3333333333333333,2.3333333333333335,24,28,7,0.1147540983606557,2.3141110986306,480,2,1,0,0,1,0,2022,2023-2026,0,0.9330332386534936,0.1661275117466001,0.859201317414574,0.874825030876904,0.8850555784273364,0,141,M-X,material-mechanism
5,C6210B1A223,CB56BB4DDB0,reduced graphene oxide,carbon-electrode redox interface,material_entity,electrode_interface,0.3670278191566467,12,21,12,21,3,7,3,7,0.4285714285714285,1,2,3,0.3333333333333333,0.0,10,24,7,0.2692307692307692,2.115901512875966,252,2,1,0,0,1,0,2022,2023-2026,0,0.5526665775020542,0.1294918921657486,0.7822149032523672,0.868205022643063,0.8228077398106217,0,313,M-X,material-mechanism
6,C3002C089A5,C3DA2C4151E,ionic thermodiffusion (Soret effect),aqueous electrolyte,transport_mechanism,material_system,0.2416246384382248,24,17,17,24,15,5,5,15,0.3333333333333333,7,0,7,2.0,-0.6666666666666666,27,24,6,0.1714285714285714,1.7744791028350004,408,2,1,0,0,1,0,2022,2023-2026,0,0.6167784765880189,0.2612752911665897,0.9588307945656648,0.8635611362700699,0.963771099217785,1,17,M-X,material-mechanism
7,C73B79C2209,CB56BB4DDB0,[Fe(CN)6],carbon-electrode redox interface,material_entity,electrode_interface,0.2540701627731323,13,21,13,21,4,7,4,7,0.5714285714285714,2,2,4,0.3333333333333333,0.0,10,24,6,0.2142857142857142,1.8966274676509776,273,2,1,0,0,1,0,2022,2023-2026,0,0.5348505712360716,0.1327860427709079,0.7904487443392343,0.8506134211609715,0.8279127212844792,0,293,M-X,material-mechanism
8,C3002C089A5,C4CEC954E12,ionic thermodiffusion (Soret effect),platinum electrode,transport_mechanism,material_entity,0.2045027017593383,24,16,16,24,15,6,6,15,0.4,7,0,7,2.0,-0.3333333333333333,27,31,6,0.1764705882352941,1.7744791028350004,384,2,1,0,0,1,0,2022,2023-2026,0,0.7024677104881678,0.2115222182089111,0.911074516261836,0.8491107451626183,0.9242486620008232,1,72,M-X,material-mechanism
9,C3970EB273E,C5E47CC0A62,gelatin,Hofmeister/chaotropic effect,material_entity,gel_microstructure,0.30267995595932,21,10,10,21,4,2,2,4,0.5,4,1,5,1.3333333333333333,0.0,2,4,5,0.1923076923076923,1.5239646722834774,210,2,1,0,0,1,0,2022,2023-2026,0,0.4994340295334048,0.0341631699962049,0.247426924660354,0.8470399341292711,0.3931659118979003,0,1575,M-X,material-mechanism
10,C3002C089A5,C9910E60ABA,ionic thermodiffusion (Soret effect),carbon nanotube,transport_mechanism,material_entity,0.1621968746185302,24,28,24,28,15,11,11,15,0.7333333333333333,7,2,9,2.0,-0.6666666666666666,27,12,7,0.1555555555555555,2.263895124587731,672,2,1,0,0,1,0,2022,2023-2026,0,0.3334519196975974,0.2942699610257479,0.9703581720872788,0.8426183614656237,0.9701111568546728,1,11,M-X,material-mechanism
11,C130B58DCFB,C97F8E13D1A,ferri/ferrocyanide,thermally regenerative electrochemical cycle,material_entity,device_mechanism,0.1833695620298385,44,13,13,44,20,9,9,20,0.45,5,2,7,-0.6666666666666666,-1.3333333333333333,28,8,7,0.14,2.392646921590738,572,2,1,0,0,1,0,2022,2023-2026,0,0.1378498110156109,0.2345065267009235,0.9341292713050638,0.840885137916838,0.9407163441745574,1,51,M-X,material-mechanism
12,C10D3798CF7,C3970EB273E,selective solvation,gelatin,solvation_entropy,material_entity,0.1860052198171615,13,21,13,21,6,4,4,6,0.6666666666666666,2,4,6,0.3333333333333333,1.3333333333333333,22,2,6,0.2142857142857142,1.8386226527276024,273,2,1,0,0,1,0,2022,2023-2026,0,0.5649555958341967,0.0642802677470853,0.4742692466035405,0.8388349114862083,0.5724989707698641,0,1032,M-X,material-mechanism
13,C10626AE9E8,C275FB7C4B0,[Fe(CN)6]3-/4-,iodide/triiodide redox chemistry,material_entity,redox_chemistry,0.3519404530525207,11,24,11,24,4,8,4,8,0.5,2,2,4,0.6666666666666666,0.0,28,7,5,0.1666666666666666,1.4047102351901135,264,2,1,0,0,1,0,2022,2023-2026,0,0.5462506109917067,0.1796551654964398,0.8764923836969947,0.8382009057225196,0.8940304652120215,0,123,M-X,material-mechanism
14,C06E312C91F,C25D09DDC57,[Fe(CN)6]4-/3-,Fe2+/Fe3+ solvation redox chemistry,material_entity,redox_chemistry,0.5555978417396545,11,28,11,28,2,19,2,19,0.1052631578947368,2,8,10,0.6666666666666666,0.3333333333333333,2,27,4,0.1142857142857142,1.1134098035106308,308,2,1,0,0,1,0,2022,2023-2026,0,0.630262158020915,0.1985789418597773,0.8979003705228489,0.8379333058871964,0.9109098394400988,0,95,M-X,material-mechanism
15,C06E312C91F,C10C4FF4B6C,[Fe(CN)6]4-/3-,hydrogen bonding,material_entity,solvation_entropy,0.2475394010543823,11,18,11,18,2,5,2,5,0.4,2,5,7,0.6666666666666666,1.6666666666666667,2,1,5,0.2083333333333333,1.455110845697793,198,2,1,0,0,1,0,2022,2023-2026,0,0.6007070207341199,0.0823315599400568,0.5891313297653356,0.8373898723754631,0.6638122684232194,0,770,M-X,material-mechanism
16,C78D65254F9,C9910E60ABA,phase transition,carbon nanotube,phase_or_species_transition,material_entity,0.2057544589042663,18,28,18,28,5,11,5,11,0.4545454545454545,3,2,5,0.6666666666666666,-0.6666666666666666,6,12,6,0.15,1.760440709807976,504,2,1,0,0,1,0,2022,2023-2026,0,0.234535515495356,0.1531674397560722,0.8361465623713462,0.834825030876904,0.8611774392754219,0,203,M-X,material-mechanism
17,C3DA2C4151E,C872881EC3C,aqueous electrolyte,gel-confined redox transport,material_system,gel_microstructure,0.2476686835289001,17,22,17,22,5,7,5,7,0.7142857142857143,0,7,7,-0.6666666666666666,2.3333333333333335,24,2,5,0.1470588235294117,1.381296410541854,374,2,1,0,0,1,0,2022,2023-2026,0,0.4055149365269491,0.0961182749741173,0.6591189790037052,0.8337834499794154,0.7194730341704405,0,610,M-X,material-mechanism
18,C25D09DDC57,C6210B1A223,Fe2+/Fe3+ solvation redox chemistry,reduced graphene oxide,redox_chemistry,material_entity,0.1228594332933425,28,12,12,28,19,3,3,19,0.1578947368421052,8,1,9,0.3333333333333333,0.3333333333333333,27,10,7,0.2121212121212121,2.1911147776831217,336,2,1,0,0,1,0,2022,2023-2026,0,0.5949687949318171,0.2405414250735836,0.9415397282832442,0.8336764100452863,0.945327295183203,1,45,M-X,material-mechanism
19,C3DA2C4151E,C45C8AAD12E,aqueous electrolyte,charge-transfer resistance engineering,material_system,electrode_interface,0.3249901533126831,17,21,17,21,5,8,5,8,0.625,0,1,1,-0.6666666666666666,-0.6666666666666666,24,31,8,0.2666666666666666,2.613057190080265,357,2,1,0,0,1,0,2022,2023-2026,0,0.370463608199339,0.0413198866901295,0.3054755043227665,0.8329230135858378,0.4362289007822149,0,1430,M-X,material-mechanism
20,C130B58DCFB,C5E63317596,ferri/ferrocyanide,hierarchical porous electrode interface,material_entity,electrode_interface,0.1540093421936035,44,11,11,44,20,2,2,20,0.1,5,2,7,-0.6666666666666666,0.6666666666666666,28,1,7,0.1458333333333333,2.3519988517729447,484,2,1,0,0,1,0,2022,2023-2026,0,0.3455990778197403,0.0707406893468007,0.5133799917661589,0.830806916426513,0.6021407986825854,0,951,M-X,material-mechanism
21,C3DA2C4151E,C7932B1CE8C,aqueous electrolyte,chaotropic polymer-water disruption,material_system,gel_microstructure,0.2765610516071319,17,18,17,18,5,5,5,5,1.0,0,4,4,-0.6666666666666666,1.0,24,4,5,0.1666666666666666,1.4460203640819491,306,2,1,0,0,1,0,2022,2023-2026,0,0.2959356161004257,0.0326373836867955,0.23219431864965,0.8300494030465213,0.3769452449567723,0,1622,M-X,material-mechanism
22,C275FB7C4B0,CD3462DB8FF,iodide/triiodide redox chemistry,CuSO4,redox_chemistry,material_entity,0.260162353515625,24,11,11,24,8,4,4,8,0.5,2,1,3,0.0,0.0,7,9,6,0.2068965517241379,1.7452816178059611,264,2,1,0,0,1,0,2022,2023-2026,0,0.3173542222140738,0.1835778661035212,0.8797859201317415,0.8293742280773982,0.8946891724989707,0,122,M-X,material-mechanism
23,C6210B1A223,C872881EC3C,reduced graphene oxide,gel-confined redox transport,material_entity,gel_microstructure,0.1178820580244064,12,22,12,22,3,7,3,7,0.4285714285714285,1,7,8,0.3333333333333333,2.3333333333333335,10,2,7,0.2592592592592592,2.235538014335093,264,2,1,0,0,1,0,2022,2023-2026,0,0.6661602689286003,0.1454727286370556,0.8196788801976121,0.8289090160559902,0.8465212021407986,0,242,M-X,material-mechanism
24,C7096F6ECC5,CCAABE058E7,imidazolium ionic-liquid phase transition electrolyte,ferri/ferrocyanide redox chemistry,material_system,redox_chemistry,0.1274550259113311,13,60,13,60,5,36,5,36,0.1388888888888889,2,11,13,0.6666666666666666,0.0,8,31,8,0.123076923076923,2.555233371057085,780,2,1,0,0,1,0,2022,2023-2026,0,0.4716107843587442,0.194873021154719,0.8937834499794154,0.8250802799505967,0.9046521202140798,0,107,M-X,material-mechanism
25,C6181968680,CF2C5201A37,graphene,porous-electrode area enhancement,material_entity,electrode_interface,0.1277266144752502,18,19,18,19,6,5,5,6,0.8333333333333334,2,2,4,0.0,0.3333333333333333,10,24,8,0.2758620689655172,2.4883016757177936,342,2,1,0,0,1,0,2022,2023-2026,0,0.4310100689796017,0.0250409782322212,0.1815561959654178,0.8211568546727048,0.3342939481268011,0,1740,M-X,material-mechanism
1,C25D09DDC57,C275FB7C4B0,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,0.5116666555404663,28,24,24,28,19,8,8,19,0.4210526315789473,8,2,10,0.3333333333333333,0.0,27,7,7,0.1555555555555555,2.0938427341654053,672,2,1,1,0,0,1,2022,2023-2026,0,0.2930605650938978,0.2538640601435514,0.9538904899135446,0.9201029230135858,0.9628653766982298,1,19,X-X,mechanism-mechanism
2,CA8C62A4868,CB56BB4DDB0,redox reaction entropy,carbon-electrode redox interface,solvation_entropy,electrode_interface,0.3339291214942932,27,21,21,27,11,7,7,11,0.6363636363636364,3,2,5,-0.3333333333333333,0.0,22,24,9,0.2307692307692307,2.8193613342102557,567,2,1,0,0,0,1,2022,2023-2026,0,0.310554201309859,0.1689545530083507,0.8653766982297242,0.90657060518732,0.8917249897076986,0,128,X-X,mechanism-mechanism
3,C3002C089A5,C5E47CC0A62,ionic thermodiffusion (Soret effect),Hofmeister/chaotropic effect,transport_mechanism,gel_microstructure,0.3875212073326111,24,10,10,24,15,2,2,15,0.1333333333333333,7,1,8,2.0,0.0,27,4,6,0.2142857142857142,1.893733539928364,240,2,1,0,0,0,1,2022,2023-2026,0,0.7556155971968302,0.2387626341182721,0.939069575957184,0.898888431453273,0.9505146150679292,1,33,X-X,mechanism-mechanism
4,CBA7A0F0CA3,CE4B0E242E7,thermogalvanic redox conversion,interfacial charge transfer,device_mechanism,electrode_interface,0.2246285080909729,60,16,16,60,41,6,6,41,0.1463414634146341,19,1,20,2.3333333333333335,-0.3333333333333333,28,31,11,0.1692307692307692,3.610889915004606,960,2,1,0,0,0,1,2022,2023-2026,0,0.6317766718115377,0.2570348539859801,0.9551255660765748,0.8871510909839441,0.9629477151090984,1,18,X-X,mechanism-mechanism
5,C45C8AAD12E,CEA29EF1A99,charge-transfer resistance engineering,thermal-gradient heat-transfer control,electrode_interface,device_mechanism,0.2467308044433593,21,16,16,21,8,8,8,8,1.0,1,4,5,-0.6666666666666666,0.6666666666666666,31,12,8,0.2758620689655172,2.3853473984018523,336,2,1,0,0,0,1,2022,2023-2026,0,0.3819183919540505,0.0545927764198296,0.4046932894195142,0.8792260189378344,0.521613832853026,0,1188,X-X,mechanism-mechanism
6,C97F8E13D1A,CEA29EF1A99,thermally regenerative electrochemical cycle,thermal-gradient heat-transfer control,device_mechanism,device_mechanism,0.4644120931625366,13,16,13,16,9,8,8,9,0.8888888888888888,2,4,6,-1.3333333333333333,0.6666666666666666,8,12,5,0.2083333333333333,1.5180748189987463,208,2,1,1,0,0,1,2022,2023-2026,0,0.3788304535311198,0.0615769891499383,0.4590366405928365,0.8776780568135034,0.5650061753808151,0,1055,X-X,mechanism-mechanism
7,C7932B1CE8C,CE6FC512ED2,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.5335185527801514,18,8,8,18,5,2,2,5,0.4,4,2,6,1.0,0.6666666666666666,4,0,5,0.238095238095238,1.644619389220734,144,2,1,1,0,0,1,2022,2023-2026,0,0.6540871103234512,0.1306847396027355,0.7863318237958007,0.8746397694524495,0.826677645121449,0,297,X-X,mechanism-mechanism
8,C10C4FF4B6C,CB56BB4DDB0,hydrogen bonding,carbon-electrode redox interface,solvation_entropy,electrode_interface,0.258301168680191,18,21,18,21,5,7,5,7,0.7142857142857143,5,2,7,1.6666666666666667,0.0,1,24,6,0.1818181818181818,1.775118288084201,378,2,1,0,0,0,1,2022,2023-2026,0,0.5883863592140333,0.0632585676810152,0.4693289419514203,0.871169205434335,0.5729930012350761,0,1030,X-X,mechanism-mechanism
9,C188B56F6F1,C5E47CC0A62,ion-selectivity membrane transport,Hofmeister/chaotropic effect,transport_mechanism,gel_microstructure,0.3934362530708313,16,10,10,16,9,2,2,9,0.2222222222222222,3,1,4,0.0,0.0,28,4,5,0.238095238095238,1.7737064760806724,160,2,1,0,0,0,1,2022,2023-2026,0,0.5606326758208221,0.0963308162881379,0.6607657472210786,0.8539357760395223,0.7244956772334293,0,597,X-X,mechanism-mechanism
10,CC028ABF9C6,CF2C5201A37,anti-freezing organohydrogel design,porous-electrode area enhancement,gel_microstructure,electrode_interface,0.1790163815021515,22,19,19,22,6,5,5,6,0.8333333333333334,3,2,5,0.6666666666666666,0.3333333333333333,6,24,8,0.2424242424242424,2.431102669739387,418,2,1,0,0,0,1,2022,2023-2026,0,0.4575944184129643,0.0762655079702683,0.5500205846027172,0.8522025524907368,0.6357348703170029,0,853,X-X,mechanism-mechanism
11,C188B56F6F1,C45C8AAD12E,ion-selectivity membrane transport,charge-transfer resistance engineering,transport_mechanism,electrode_interface,0.3425083756446838,16,21,16,21,9,8,8,9,0.8888888888888888,3,1,4,0.0,-0.6666666666666666,28,31,5,0.15625,1.509391706607745,336,2,1,0,0,0,1,2022,2023-2026,0,0.4780410615649026,0.0362665585801237,0.2647179909427748,0.8455125566076575,0.4064223960477562,0,1538,X-X,mechanism-mechanism
12,C7032A2F7AB,C872881EC3C,hexacyanoferrate redox electrode,gel-confined redox transport,electrode_interface,gel_microstructure,0.3518685102462768,7,22,7,22,4,7,4,7,0.5714285714285714,0,7,7,-0.6666666666666666,2.3333333333333335,8,2,5,0.2083333333333333,1.3529393002892165,154,2,1,0,0,0,1,2022,2023-2026,0,0.6223890783687599,0.2407139125086769,0.9423631123919308,0.8439357760395225,0.948044462741869,1,38,X-X,mechanism-mechanism
