entry_id,paper_id,year,role,tag
TG_0042_material,TG_0042,2023,material,ferri/ferrocyanide redox couple
TG_0042_material,TG_0042,2023,material,hydrogel thermocell platform
TG_0042_mechanism,TG_0042,2023,mechanism,thermodiffusion/Soret transport
TG_0043_material,TG_0043,2024,material,porous/redox electrode interface
TG_0043_mechanism,TG_0043,2024,mechanism,porous/redox electrode interface
TG_0044_material,TG_0044,2024,material,hydrogel thermocell platform
TG_0044_material,TG_0044,2024,material,self-powered sensing/wearable interface
TG_0044_mechanism,TG_0044,2024,mechanism,ion transport/diffusion/migration
TG_0044_mechanism,TG_0044,2024,mechanism,salting-out/crystallization transition
TG_0044_mechanism,TG_0044,2024,mechanism,self-powered sensing/wearable interface
TG_0045_material,TG_0045,2025,material,porous/redox electrode interface
TG_0045_mechanism,TG_0045,2025,mechanism,ion transport/diffusion/migration
TG_0046_material,TG_0046,2022,material,hydrogel thermocell platform
TG_0047_material,TG_0047,2023,material,ferri/ferrocyanide redox couple
TG_0047_material,TG_0047,2023,material,cellulose hydrogel scaffold
TG_0047_mechanism,TG_0047,2023,mechanism,cellulose hydrogel scaffold
TG_0048_material,TG_0048,2025,material,organic redox couple
TG_0048_material,TG_0048,2025,material,porous/redox electrode interface
TG_0048_mechanism,TG_0048,2025,mechanism,porous/redox electrode interface
TG_0049_material,TG_0049,2024,material,porous/redox electrode interface
TG_0049_material,TG_0049,2024,material,photothermal/radiative thermal management
TG_0049_mechanism,TG_0049,2024,mechanism,photothermal/radiative thermal management
TG_0050_material,TG_0050,2024,material,porous/redox electrode interface
TG_0050_material,TG_0050,2024,material,hydrogel thermocell platform
TG_0050_mechanism,TG_0050,2024,mechanism,hydrogel thermocell platform
TG_0050_mechanism,TG_0050,2024,mechanism,self-powered sensing/wearable interface
TG_0051_material,TG_0051,2023,material,ferri/ferrocyanide redox couple
TG_0051_material,TG_0051,2023,material,hydrogel thermocell platform
TG_0051_material,TG_0051,2023,material,chaotropic polymer-water regulation
TG_0051_mechanism,TG_0051,2023,mechanism,ferri/ferrocyanide redox couple
TG_0051_mechanism,TG_0051,2023,mechanism,chaotropic polymer-water regulation
TG_0052_material,TG_0052,2024,material,hydrogel thermocell platform
TG_0053_material,TG_0053,2023,material,hydrogel thermocell platform
TG_0053_mechanism,TG_0053,2023,mechanism,chaotropic polymer-water regulation
TG_0054_material,TG_0054,2025,material,hydrogel thermocell platform
TG_0054_mechanism,TG_0054,2025,mechanism,porous/redox electrode interface
TG_0055_material,TG_0055,2023,material,ferri/ferrocyanide redox couple
TG_0055_material,TG_0055,2023,material,MXene/carbon photothermal scaffold
TG_0055_material,TG_0055,2023,material,porous/redox electrode interface
TG_0055_mechanism,TG_0055,2023,mechanism,ferri/ferrocyanide redox couple
TG_0055_mechanism,TG_0055,2023,mechanism,porous/redox electrode interface
TG_0056_material,TG_0056,2022,material,PVA hydrogel electrolyte
TG_0056_material,TG_0056,2022,material,gelatin/GelMA hydrogel
TG_0056_material,TG_0056,2022,material,hydrogel thermocell platform
TG_0056_material,TG_0056,2022,material,photothermal/radiative thermal management
TG_0056_mechanism,TG_0056,2022,mechanism,photothermal/radiative thermal management
TG_0057_material,TG_0057,2020,material,hydrogel thermocell platform
TG_0057_mechanism,TG_0057,2020,mechanism,photothermal/radiative thermal management
TG_0058_material,TG_0058,2023,material,Fe2+/Fe3+ redox hydrogel
TG_0058_mechanism,TG_0058,2023,mechanism,salting-out/crystallization transition
TG_0058_mechanism,TG_0058,2023,mechanism,chaotropic polymer-water regulation
TG_0058_mechanism,TG_0058,2023,mechanism,photothermal/radiative thermal management
TG_0059_mechanism,TG_0059,2023,mechanism,thermodiffusion/Soret transport
TG_0060_material,TG_0060,2022,material,ferri/ferrocyanide redox couple
TG_0060_material,TG_0060,2022,material,PVA hydrogel electrolyte
TG_0060_material,TG_0060,2022,material,gelatin/GelMA hydrogel
TG_0060_mechanism,TG_0060,2022,mechanism,chaotropic polymer-water regulation
TG_0061_material,TG_0061,2023,material,PVA hydrogel electrolyte
TG_0061_material,TG_0061,2023,material,PEDOT:PSS redox/electrode system
TG_0061_material,TG_0061,2023,material,hydrogel thermocell platform
TG_0061_mechanism,TG_0061,2023,mechanism,PVA hydrogel electrolyte
TG_0061_mechanism,TG_0061,2023,mechanism,PEDOT:PSS redox/electrode system
TG_0062_material,TG_0062,2022,material,Fe2+/Fe3+ redox hydrogel
TG_0062_material,TG_0062,2022,material,hydrogel thermocell platform
TG_0062_mechanism,TG_0062,2022,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0062_mechanism,TG_0062,2022,mechanism,redox entropy engineering
TG_0063_material,TG_0063,2023,material,Fe2+/Fe3+ redox hydrogel
TG_0063_material,TG_0063,2023,material,MXene/carbon photothermal scaffold
TG_0063_material,TG_0063,2023,material,porous/redox electrode interface
TG_0063_material,TG_0063,2023,material,hydrogel thermocell platform
TG_0063_mechanism,TG_0063,2023,mechanism,porous/redox electrode interface
TG_0063_mechanism,TG_0063,2023,mechanism,self-powered sensing/wearable interface
TG_0064_mechanism,TG_0064,2023,mechanism,redox entropy engineering
TG_0065_material,TG_0065,2022,material,iodide/triiodide redox couple
TG_0065_mechanism,TG_0065,2022,mechanism,iodide/triiodide redox couple
TG_0065_mechanism,TG_0065,2022,mechanism,chaotropic polymer-water regulation
TG_0066_material,TG_0066,2021,material,Fe2+/Fe3+ redox hydrogel
TG_0066_material,TG_0066,2021,material,porous/redox electrode interface
TG_0067_material,TG_0067,2023,material,gelatin/GelMA hydrogel
TG_0067_mechanism,TG_0067,2023,mechanism,self-powered sensing/wearable interface
TG_0068_material,TG_0068,2023,material,MXene/carbon photothermal scaffold
TG_0068_material,TG_0068,2023,material,porous/redox electrode interface
TG_0068_mechanism,TG_0068,2023,mechanism,MXene/carbon photothermal scaffold
TG_0068_mechanism,TG_0068,2023,mechanism,photothermal/radiative thermal management
TG_0070_material,TG_0070,2023,material,iodide/triiodide redox couple
TG_0070_mechanism,TG_0070,2023,mechanism,salting-out/crystallization transition
TG_0071_material,TG_0071,2026,material,organic redox couple
TG_0071_mechanism,TG_0071,2026,mechanism,organic redox couple
TG_0071_mechanism,TG_0071,2026,mechanism,redox entropy engineering
TG_0072_material,TG_0072,2026,material,ferri/ferrocyanide redox couple
TG_0072_material,TG_0072,2026,material,MXene/carbon photothermal scaffold
TG_0072_material,TG_0072,2026,material,porous/redox electrode interface
TG_0072_material,TG_0072,2026,material,hydrogel thermocell platform
TG_0072_mechanism,TG_0072,2026,mechanism,ferri/ferrocyanide redox couple
TG_0072_mechanism,TG_0072,2026,mechanism,porous/redox electrode interface
TG_0072_mechanism,TG_0072,2026,mechanism,hydrogel thermocell platform
TG_0072_mechanism,TG_0072,2026,mechanism,self-powered sensing/wearable interface
TG_0073_material,TG_0073,2021,material,hydrogel thermocell platform
TG_0073_mechanism,TG_0073,2021,mechanism,hydrogel thermocell platform
TG_0074_material,TG_0074,2022,material,hydrogel thermocell platform
TG_0074_material,TG_0074,2022,material,self-powered sensing/wearable interface
TG_0074_mechanism,TG_0074,2022,mechanism,self-powered sensing/wearable interface
TG_0075_material,TG_0075,2023,material,cellulose hydrogel scaffold
TG_0075_material,TG_0075,2023,material,MXene/carbon photothermal scaffold
TG_0075_material,TG_0075,2023,material,porous/redox electrode interface
TG_0075_material,TG_0075,2023,material,thermogalvanic electrolyte
TG_0075_mechanism,TG_0075,2023,mechanism,cellulose hydrogel scaffold
TG_0075_mechanism,TG_0075,2023,mechanism,porous/redox electrode interface
TG_0075_mechanism,TG_0075,2023,mechanism,photothermal/radiative thermal management
TG_0076_mechanism,TG_0076,2023,mechanism,photothermal/radiative thermal management
TG_0077_material,TG_0077,2026,material,Fe2+/Fe3+ redox hydrogel
TG_0077_material,TG_0077,2026,material,PVA hydrogel electrolyte
TG_0077_material,TG_0077,2026,material,hydrogel thermocell platform
TG_0077_mechanism,TG_0077,2026,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0077_mechanism,TG_0077,2026,mechanism,PVA hydrogel electrolyte
TG_0077_mechanism,TG_0077,2026,mechanism,selective solvation entropy
TG_0077_mechanism,TG_0077,2026,mechanism,self-powered sensing/wearable interface
TG_0078_material,TG_0078,2026,material,ferri/ferrocyanide redox couple
TG_0078_material,TG_0078,2026,material,self-powered sensing/wearable interface
TG_0078_mechanism,TG_0078,2026,mechanism,ferri/ferrocyanide redox couple
TG_0078_mechanism,TG_0078,2026,mechanism,self-powered sensing/wearable interface
TG_0079_material,TG_0079,2026,material,ionic liquid electrolyte
TG_0079_material,TG_0079,2026,material,hydrogel thermocell platform
TG_0079_mechanism,TG_0079,2026,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0079_mechanism,TG_0079,2026,mechanism,ionic liquid electrolyte
TG_0079_mechanism,TG_0079,2026,mechanism,thermodiffusion/Soret transport
TG_0081_material,TG_0081,2026,material,hydrogel thermocell platform
TG_0081_mechanism,TG_0081,2026,mechanism,self-powered sensing/wearable interface
TG_0082_material,TG_0082,2026,material,ferri/ferrocyanide redox couple
TG_0082_material,TG_0082,2026,material,PVA hydrogel electrolyte
TG_0082_material,TG_0082,2026,material,gelatin/GelMA hydrogel
TG_0082_material,TG_0082,2026,material,MXene/carbon photothermal scaffold
TG_0082_material,TG_0082,2026,material,porous/redox electrode interface
TG_0082_material,TG_0082,2026,material,hydrogel thermocell platform
TG_0082_mechanism,TG_0082,2026,mechanism,ferri/ferrocyanide redox couple
TG_0082_mechanism,TG_0082,2026,mechanism,porous/redox electrode interface
TG_0082_mechanism,TG_0082,2026,mechanism,host-guest/crown-ether complexation
TG_0083_material,TG_0083,2026,material,ferri/ferrocyanide redox couple
TG_0083_material,TG_0083,2026,material,hydrogel thermocell platform
TG_0083_mechanism,TG_0083,2026,mechanism,ferri/ferrocyanide redox couple
TG_0083_mechanism,TG_0083,2026,mechanism,hydrogel thermocell platform
TG_0083_mechanism,TG_0083,2026,mechanism,redox entropy engineering
TG_0083_mechanism,TG_0083,2026,mechanism,ion transport/diffusion/migration
TG_0084_material,TG_0084,2026,material,Fe2+/Fe3+ redox hydrogel
TG_0084_material,TG_0084,2026,material,ferri/ferrocyanide redox couple
TG_0084_material,TG_0084,2026,material,thermogalvanic electrolyte
TG_0084_mechanism,TG_0084,2026,mechanism,selective solvation entropy
TG_0084_mechanism,TG_0084,2026,mechanism,redox entropy engineering
TG_0085_mechanism,TG_0085,2026,mechanism,porous/redox electrode interface
TG_0085_mechanism,TG_0085,2026,mechanism,ion transport/diffusion/migration
TG_0086_mechanism,TG_0086,2026,mechanism,photothermal/radiative thermal management
TG_0088_material,TG_0088,2023,material,porous/redox electrode interface
TG_0088_mechanism,TG_0088,2023,mechanism,porous/redox electrode interface
TG_0089_material,TG_0089,2018,material,ferri/ferrocyanide redox couple
TG_0089_mechanism,TG_0089,2018,mechanism,redox entropy engineering
TG_0089_mechanism,TG_0089,2018,mechanism,chaotropic polymer-water regulation
TG_0090_material,TG_0090,2024,material,porous/redox electrode interface
TG_0090_mechanism,TG_0090,2024,mechanism,porous/redox electrode interface
TG_0091_material,TG_0091,2022,material,hydrogel thermocell platform
TG_0091_material,TG_0091,2022,material,self-powered sensing/wearable interface
TG_0092_material,TG_0092,2019,material,iodide/triiodide redox couple
TG_0092_mechanism,TG_0092,2019,mechanism,redox concentration gradient
TG_0093_material,TG_0093,2020,material,ferri/ferrocyanide redox couple
TG_0093_material,TG_0093,2020,material,porous/redox electrode interface
TG_0093_material,TG_0093,2020,material,hydrogel thermocell platform
TG_0094_material,TG_0094,2021,material,Fe2+/Fe3+ redox hydrogel
TG_0094_material,TG_0094,2021,material,ferri/ferrocyanide redox couple
TG_0094_material,TG_0094,2021,material,hydrogel thermocell platform
TG_0094_mechanism,TG_0094,2021,mechanism,hydrogel thermocell platform
TG_0095_material,TG_0095,2022,material,hydrogel thermocell platform
TG_0096_mechanism,TG_0096,2021,mechanism,ferri/ferrocyanide redox couple
TG_0097_material,TG_0097,2021,material,Fe2+/Fe3+ redox hydrogel
TG_0097_material,TG_0097,2021,material,ferri/ferrocyanide redox couple
TG_0098_mechanism,TG_0098,2022,mechanism,photothermal/radiative thermal management
TG_0099_material,TG_0099,2022,material,porous/redox electrode interface
TG_0100_material,TG_0100,2021,material,thermogalvanic electrolyte
TG_0100_mechanism,TG_0100,2021,mechanism,porous/redox electrode interface
TG_0101_material,TG_0101,2018,material,cellulose hydrogel scaffold
TG_0101_material,TG_0101,2018,material,MXene/carbon photothermal scaffold
TG_0101_material,TG_0101,2018,material,photothermal/radiative thermal management
TG_0101_mechanism,TG_0101,2018,mechanism,MXene/carbon photothermal scaffold
TG_0101_mechanism,TG_0101,2018,mechanism,photothermal/radiative thermal management
TG_0102_mechanism,TG_0102,2020,mechanism,porous/redox electrode interface
TG_0104_mechanism,TG_0104,2020,mechanism,hydrogel thermocell platform
TG_0105_mechanism,TG_0105,2019,mechanism,photothermal/radiative thermal management
TG_0106_material,TG_0106,2019,material,ferri/ferrocyanide redox couple
TG_0106_material,TG_0106,2019,material,porous/redox electrode interface
TG_0106_mechanism,TG_0106,2019,mechanism,ferri/ferrocyanide redox couple
TG_0107_material,TG_0107,2020,material,porous/redox electrode interface
TG_0107_mechanism,TG_0107,2020,mechanism,ion transport/diffusion/migration
TG_0109_material,TG_0109,2020,material,ferri/ferrocyanide redox couple
TG_0109_material,TG_0109,2020,material,self-powered sensing/wearable interface
TG_0109_mechanism,TG_0109,2020,mechanism,porous/redox electrode interface
TG_0109_mechanism,TG_0109,2020,mechanism,self-powered sensing/wearable interface
TG_0110_material,TG_0110,2020,material,porous/redox electrode interface
TG_0111_material,TG_0111,2018,material,Fe2+/Fe3+ redox hydrogel
TG_0111_material,TG_0111,2018,material,ferri/ferrocyanide redox couple
TG_0111_material,TG_0111,2018,material,MXene/carbon photothermal scaffold
TG_0111_material,TG_0111,2018,material,porous/redox electrode interface
TG_0111_mechanism,TG_0111,2018,mechanism,ferri/ferrocyanide redox couple
TG_0112_material,TG_0112,2017,material,Fe2+/Fe3+ redox hydrogel
TG_0112_material,TG_0112,2017,material,ferri/ferrocyanide redox couple
TG_0112_material,TG_0112,2017,material,PEDOT:PSS redox/electrode system
TG_0112_material,TG_0112,2017,material,porous/redox electrode interface
TG_0112_material,TG_0112,2017,material,thermogalvanic electrolyte
TG_0112_mechanism,TG_0112,2017,mechanism,PEDOT:PSS redox/electrode system
TG_0112_mechanism,TG_0112,2017,mechanism,porous/redox electrode interface
TG_0115_material,TG_0115,2017,material,porous/redox electrode interface
TG_0116_material,TG_0116,2016,material,MXene/carbon photothermal scaffold
TG_0117_material,TG_0117,2016,material,MXene/carbon photothermal scaffold
TG_0118_material,TG_0118,2015,material,ferri/ferrocyanide redox couple
TG_0118_material,TG_0118,2015,material,iodide/triiodide redox couple
TG_0118_material,TG_0118,2015,material,porous/redox electrode interface
TG_0118_mechanism,TG_0118,2015,mechanism,iodide/triiodide redox couple
TG_0119_material,TG_0119,2016,material,MXene/carbon photothermal scaffold
TG_0119_material,TG_0119,2016,material,porous/redox electrode interface
TG_0120_mechanism,TG_0120,2014,mechanism,porous/redox electrode interface
TG_0121_mechanism,TG_0121,2013,mechanism,redox entropy engineering
TG_0122_material,TG_0122,2012,material,porous/redox electrode interface
TG_0122_mechanism,TG_0122,2012,mechanism,porous/redox electrode interface
TG_0123_mechanism,TG_0123,2012,mechanism,porous/redox electrode interface
TG_0124_material,TG_0124,2011,material,MXene/carbon photothermal scaffold
TG_0124_material,TG_0124,2011,material,porous/redox electrode interface
TG_0124_mechanism,TG_0124,2011,mechanism,porous/redox electrode interface
TG_0125_material,TG_0125,2012,material,porous/redox electrode interface
TG_0126_material,TG_0126,1996,material,Fe2+/Fe3+ redox hydrogel
TG_0126_material,TG_0126,1996,material,ferri/ferrocyanide redox couple
TG_0126_material,TG_0126,1996,material,porous/redox electrode interface
TG_0126_mechanism,TG_0126,1996,mechanism,porous/redox electrode interface
TG_0127_material,TG_0127,1995,material,Fe2+/Fe3+ redox hydrogel
TG_0127_material,TG_0127,1995,material,ferri/ferrocyanide redox couple
TG_0127_material,TG_0127,1995,material,porous/redox electrode interface
TG_0127_mechanism,TG_0127,1995,mechanism,ion transport/diffusion/migration
TG_0128_material,TG_0128,1994,material,ion transport/diffusion/migration
TG_0128_mechanism,TG_0128,1994,mechanism,porous/redox electrode interface
TG_0129_mechanism,TG_0129,1994,mechanism,porous/redox electrode interface
TG_0130_mechanism,TG_0130,2011,mechanism,porous/redox electrode interface
TG_0132_material,TG_0132,1991,material,ferri/ferrocyanide redox couple
TG_0132_mechanism,TG_0132,1991,mechanism,porous/redox electrode interface
TG_0133_material,TG_0133,2004,material,thermogalvanic electrolyte
TG_0133_mechanism,TG_0133,2004,mechanism,thermodiffusion/Soret transport
TG_0134_material,TG_0134,2025,material,Fe2+/Fe3+ redox hydrogel
TG_0134_material,TG_0134,2025,material,MXene/carbon photothermal scaffold
TG_0134_material,TG_0134,2025,material,porous/redox electrode interface
TG_0134_material,TG_0134,2025,material,hydrogel thermocell platform
TG_0134_mechanism,TG_0134,2025,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0134_mechanism,TG_0134,2025,mechanism,MXene/carbon photothermal scaffold
TG_0134_mechanism,TG_0134,2025,mechanism,porous/redox electrode interface
TG_0135_material,TG_0135,2025,material,ferri/ferrocyanide redox couple
TG_0135_material,TG_0135,2025,material,PVA hydrogel electrolyte
TG_0135_material,TG_0135,2025,material,MXene/carbon photothermal scaffold
TG_0135_material,TG_0135,2025,material,hydrogel thermocell platform
TG_0135_material,TG_0135,2025,material,photothermal/radiative thermal management
TG_0135_mechanism,TG_0135,2025,mechanism,ferri/ferrocyanide redox couple
TG_0135_mechanism,TG_0135,2025,mechanism,hydrogel thermocell platform
TG_0135_mechanism,TG_0135,2025,mechanism,photothermal/radiative thermal management
TG_0136_mechanism,TG_0136,2024,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0136_mechanism,TG_0136,2024,mechanism,thermodiffusion/Soret transport
TG_0137_material,TG_0137,2026,material,PVA hydrogel electrolyte
TG_0137_material,TG_0137,2026,material,hydrogel thermocell platform
TG_0137_material,TG_0137,2026,material,self-powered sensing/wearable interface
TG_0137_mechanism,TG_0137,2026,mechanism,organic redox couple
TG_0137_mechanism,TG_0137,2026,mechanism,self-powered sensing/wearable interface
TG_0138_material,TG_0138,2025,material,Fe2+/Fe3+ redox hydrogel
TG_0138_material,TG_0138,2025,material,ferri/ferrocyanide redox couple
