paper_id,year,title,doi,role,phrase
TG_0016,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,material,Fe2+/Fe3+ redox hydrogel
TG_0016,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,material,PVA hydrogel electrolyte
TG_0016,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,material,hydrogel thermocell platform
TG_0016,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,mechanism,chaotropic polymer-water regulation
TG_0017,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,material,Fe2+/Fe3+ redox hydrogel
TG_0017,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,material,ferri/ferrocyanide redox couple
TG_0017,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,material,thermogalvanic electrolyte
TG_0017,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,mechanism,redox concentration gradient
TG_0018,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,10.1016/j.cej.2024.150816,mechanism,salting-out/crystallization transition
TG_0018,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,10.1016/j.cej.2024.150816,mechanism,self-powered sensing/wearable interface
TG_0019,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774,mechanism,redox entropy engineering
TG_0020,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,material,ferri/ferrocyanide redox couple
TG_0020,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,material,gelatin/GelMA hydrogel
TG_0020,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,mechanism,redox concentration gradient
TG_0021,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,10.1021/acsami.5c03375,material,porous/redox electrode interface
TG_0021,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,10.1021/acsami.5c03375,mechanism,redox entropy engineering
TG_0022,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,material,ferri/ferrocyanide redox couple
TG_0022,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,material,hydrogel thermocell platform
TG_0022,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,mechanism,chaotropic polymer-water regulation
TG_0023,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator,10.1016/j.solener.2025.114122,material,photothermal/radiative thermal management
TG_0023,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator,10.1016/j.solener.2025.114122,mechanism,photothermal/radiative thermal management
TG_0024,2025,Unraveling Reaction Kinetics and Thermodynamics in Thermogalvanic Hydrogels: A Pathway to Efficient Thermal Energy Harvesting,10.1021/acs.chemmater.5c01558,material,hydrogel thermocell platform
TG_0024,2025,Unraveling Reaction Kinetics and Thermodynamics in Thermogalvanic Hydrogels: A Pathway to Efficient Thermal Energy Harvesting,10.1021/acs.chemmater.5c01558,mechanism,redox entropy engineering
TG_0025,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,material,Fe2+/Fe3+ redox hydrogel
TG_0025,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,material,hydrogel thermocell platform
TG_0025,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0026,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,material,ferri/ferrocyanide redox couple
TG_0026,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,material,gelatin/GelMA hydrogel
TG_0026,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,mechanism,Fe2+/Fe3+ redox hydrogel
TG_0026,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,mechanism,ferri/ferrocyanide redox couple
TG_0026,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,mechanism,hydrogel thermocell platform
TG_0026,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,mechanism,salting-out/crystallization transition
TG_0027,2025,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,10.1021/acsaem.5c02080,material,MXene/carbon photothermal scaffold
TG_0027,2025,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,10.1021/acsaem.5c02080,material,porous/redox electrode interface
TG_0027,2025,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,10.1021/acsaem.5c02080,mechanism,thermogalvanic electrolyte
TG_0028,2025,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,10.1021/acs.jpclett.5c02903,material,thermogalvanic electrolyte
TG_0028,2025,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,10.1021/acs.jpclett.5c02903,mechanism,selective solvation entropy
TG_0028,2025,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,10.1021/acs.jpclett.5c02903,mechanism,redox entropy engineering
TG_0029,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,material,ferri/ferrocyanide redox couple
TG_0029,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,mechanism,thermodiffusion/Soret transport
TG_0030,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,material,ferri/ferrocyanide redox couple
TG_0030,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,material,MXene/carbon photothermal scaffold
TG_0030,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,material,hydrogel thermocell platform
TG_0030,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,mechanism,ferri/ferrocyanide redox couple
TG_0030,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,mechanism,salting-out/crystallization transition
TG_0031,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,material,organic redox couple
TG_0031,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,material,hydrogel thermocell platform
TG_0031,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,mechanism,porous/redox electrode interface
TG_0031,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,mechanism,self-powered sensing/wearable interface
TG_0032,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,material,Fe2+/Fe3+ redox hydrogel
TG_0032,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,material,PVA hydrogel electrolyte
TG_0032,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,material,hydrogel thermocell platform
TG_0032,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,mechanism,chaotropic polymer-water regulation
TG_0032,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,mechanism,self-powered sensing/wearable interface
TG_0033,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,material,organic redox couple
TG_0034,2025,Unlocking enhanced thermogalvanic cell performance via molecular chaperone-assisted non-toxic redox couple for waste heat harvesting,10.1016/j.cej.2025.164170,material,SO42-/SO32- redox couple
TG_0034,2025,Unlocking enhanced thermogalvanic cell performance via molecular chaperone-assisted non-toxic redox couple for waste heat harvesting,10.1016/j.cej.2025.164170,mechanism,redox concentration gradient
TG_0035,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,material,ferri/ferrocyanide redox couple
TG_0035,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,material,PVA hydrogel electrolyte
TG_0035,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,material,hydrogel thermocell platform
TG_0035,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,mechanism,self-powered sensing/wearable interface
TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,material,ferri/ferrocyanide redox couple
TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,material,hydrogel thermocell platform
TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,mechanism,ferri/ferrocyanide redox couple
TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,mechanism,hydrogel thermocell platform
TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,mechanism,salting-out/crystallization transition
TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,mechanism,chaotropic polymer-water regulation
TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,mechanism,self-powered sensing/wearable interface
TG_0039,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,material,iodide/triiodide redox couple
TG_0039,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,material,gelatin/GelMA hydrogel
TG_0039,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,material,hydrogel thermocell platform
TG_0040,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,material,ferri/ferrocyanide redox couple
TG_0040,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,material,porous/redox electrode interface
TG_0040,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,material,hydrogel thermocell platform
TG_0040,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,mechanism,ferri/ferrocyanide redox couple
TG_0041,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,material,Fe2+/Fe3+ redox hydrogel
TG_0041,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,material,PVA hydrogel electrolyte
TG_0041,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,material,photothermal/radiative thermal management
TG_0041,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,mechanism,photothermal/radiative thermal management
TG_0041,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,mechanism,self-powered sensing/wearable interface
TG_0042,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,material,ferri/ferrocyanide redox couple
TG_0042,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,material,hydrogel thermocell platform
TG_0042,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,mechanism,thermodiffusion/Soret transport
TG_0043,2024,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,10.1039/d4ee01642d,material,porous/redox electrode interface
TG_0043,2024,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,10.1039/d4ee01642d,mechanism,porous/redox electrode interface
TG_0044,2024,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor,10.1016/j.nanoen.2024.110329,material,hydrogel thermocell platform
TG_0044,2024,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor,10.1016/j.nanoen.2024.110329,material,self-powered sensing/wearable interface
TG_0044,2024,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor,10.1016/j.nanoen.2024.110329,mechanism,ion transport/diffusion/migration
TG_0044,2024,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor,10.1016/j.nanoen.2024.110329,mechanism,salting-out/crystallization transition
TG_0044,2024,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor,10.1016/j.nanoen.2024.110329,mechanism,self-powered sensing/wearable interface
TG_0045,2025,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,10.1002/aenm.202404151,material,porous/redox electrode interface
TG_0045,2025,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,10.1002/aenm.202404151,mechanism,ion transport/diffusion/migration
TG_0046,2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,10.1007/s40820-022-00824-6,material,hydrogel thermocell platform
TG_0047,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,10.1016/j.cej.2023.141274,material,ferri/ferrocyanide redox couple
TG_0047,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,10.1016/j.cej.2023.141274,material,cellulose hydrogel scaffold
TG_0047,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,10.1016/j.cej.2023.141274,mechanism,cellulose hydrogel scaffold
TG_0048,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,material,organic redox couple
TG_0048,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,material,porous/redox electrode interface
TG_0048,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,mechanism,porous/redox electrode interface
TG_0049,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,material,porous/redox electrode interface
TG_0049,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,material,photothermal/radiative thermal management
TG_0049,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,mechanism,photothermal/radiative thermal management
TG_0050,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,material,porous/redox electrode interface
TG_0050,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,material,hydrogel thermocell platform
TG_0050,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,mechanism,hydrogel thermocell platform
TG_0050,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,mechanism,self-powered sensing/wearable interface
TG_0051,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,material,ferri/ferrocyanide redox couple
TG_0051,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,material,hydrogel thermocell platform
TG_0051,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,material,chaotropic polymer-water regulation
TG_0051,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,mechanism,ferri/ferrocyanide redox couple
TG_0051,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,mechanism,chaotropic polymer-water regulation
