active_mention_ids,aliases,claim_count,concept_id,decision_group,definition,domain,label,mention_ids,normalization_reason,normalization_status,paper_ids,roles,source_document_count
"[""TG:P0278:seven""]","[""Output power improved over 7 times""]",1,TG:C00921a7745878b,,,TG,Output power improved over 7 times,"[""TG:P0278:seven""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0278""]","[""performance_function""]",1
"[""TG:P0202:complete_v1_cr001_object""]","[""Efficient heat management of STE devices""]",1,TG:C009472307e2f9a,,,TG,Efficient heat management of STE devices,"[""TG:P0202:complete_v1_cr001_object""]",,new_singleton_no_exact_alias_candidate,"[""P0202""]","[""performance_function""]",1
"[""TG:P0265:geo""]","[""Geometric aspects, particularly active membrane area""]",1,TG:C00a9f306c6c857,,,TG,"Geometric aspects, particularly active membrane area","[""TG:P0265:geo""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0265""]","[""descriptor""]",1
"[""TG:P0191:protect""]","[""Protection of internal redox couple from ultraviolet damage""]",2,TG:C00bcaa4ee08621,,,TG,Protection of internal redox couple from ultraviolet damage,"[""TG:P0191:protect""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0191""]","[""performance_function""]",1
"[""TG:P0206:seebeck""]","[""Approximately 1.05-fold higher Seebeck coefficient""]",1,TG:C00d0ce8c633452,,,TG,Approximately 1.05-fold higher Seebeck coefficient,"[""TG:P0206:seebeck""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0206""]","[""quantity""]",1
"[""TG:P0092:n""]","[""Heat-flux mechanisms""]",1,TG:C00d652535087ac,,,TG,Heat-flux mechanisms,"[""TG:P0092:n""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0092""]","[""mechanism_process""]",1
"[""TG:P0077:load""]","[""Optimal load ratio 1.2""]",1,TG:C00e42ee909e9e6,,,TG,Optimal load ratio 1.2,"[""TG:P0077:load""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0077""]","[""quantity""]",1
"[""TG:P0118:n9""]","[""Cathodic behavior relative to stainless steel""]",1,TG:C00f07f3647c48b,,,TG,Cathodic behavior relative to stainless steel,"[""TG:P0118:n9""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0118""]","[""state_structure""]",1
"[""TG:P0097:audit_v1_a001_object""]","[""Inherent (in)stability issues""]",2,TG:C00fc24e9c7192c,,,TG,Inherent (in)stability issues,"[""TG:P0097:audit_v1_a001_object""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0097""]","[""descriptor""]",1
"[""TG:P0200:p""]","[""Specific output power density of 1760 μW m−2 K−2""]",2,TG:C0119b38f8a042e,,,TG,Specific output power density of 1760 μW m−2 K−2,"[""TG:P0200:p""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0200""]","[""quantity""]",1
"[""TG:P0001:moist""]","[""Moisture permeability""]",1,TG:C011b94772ff90f,,,TG,Moisture permeability,"[""TG:P0001:moist""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0001""]","[""performance_function""]",1
"[""TG:P0035:complete_v1_cr001_object""]","[""Low voltage outputs""]",1,TG:C01382e5da04031,,,TG,Low voltage outputs,"[""TG:P0035:complete_v1_cr001_object""]",,new_singleton_no_exact_alias_candidate,"[""P0035""]","[""performance_function""]",1
"[""TG:P0065:complete_v1_cr003_subject""]","[""Thermogalvanic device voltage""]",1,TG:C0150891a191dcd,,,TG,Thermogalvanic device voltage,"[""TG:P0065:complete_v1_cr003_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0065""]","[""quantity""]",1
"[""TG:P0119:n4""]","[""Seebeck coefficient +2.1 mV K−1""]",1,TG:C0195e9374d3214,,,TG,Seebeck coefficient +2.1 mV K−1,"[""TG:P0119:n4""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0119""]","[""quantity""]",1
"[""TG:P0083:complete_v1_cr001_subject""]","[""Electrode kinetics""]",1,TG:C019cfbee081a25,,,TG,Electrode kinetics,"[""TG:P0083:complete_v1_cr001_subject""]",General electrode kinetics matches neither equilibrium-potential temperature dependence nor the candidate restricted to lithiation kinetics.,new_endpoint_model_separate,"[""P0083""]","[""mechanism_process""]",1
"[""TG:P0088:w""]","[""Mean electrode temperature in simulation""]",1,TG:C01cf776aa84f42,,,TG,Mean electrode temperature in simulation,"[""TG:P0088:w""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0088""]","[""quantity""]",1
"[""TG:P0277:fe""]","[""Water-soluble Fe2+/3+ redox couple""]",2,TG:C01e1d059cb4f50,,,TG,Water-soluble Fe2+/3+ redox couple,"[""TG:P0277:fe""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0277""]","[""material_entity""]",1
"[""TG:P0082:learning""]","[""Deep learning algorithm integration""]",3,TG:C0202de33e8f60b,,,TG,Deep learning algorithm integration,"[""TG:P0082:learning""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0082""]","[""design_strategy""]",1
"[""TG:P0316:n8""]","[""Potassium-ion accumulation at doped CNT electrodes""]",1,TG:C020b522d76ba4f,,,TG,Potassium-ion accumulation at doped CNT electrodes,"[""TG:P0316:n8""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0316""]","[""state_structure""]",1
"[""TG:P0310:n11""]","[""Exploitation of bias-responsive gel-complex characteristics""]",1,TG:C020f536141e5d0,,,TG,Exploitation of bias-responsive gel-complex characteristics,"[""TG:P0310:n11""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0310""]","[""design_strategy""]",1
"[""TG:P0105:n4""]","[""Combining aqueous iron(II/III) sulphate with sodium hydrogen sulphate""]",1,TG:C02334b1dcce2b5,,,TG,Combining aqueous iron(II/III) sulphate with sodium hydrogen sulphate,"[""TG:P0105:n4""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0105""]","[""design_strategy""]",1
"[""TG:P0313:n1""]","[""GaSe clathrate intercalated with SmCl3""]",4,TG:C0245604bb0f2fe,,,TG,GaSe clathrate intercalated with SmCl3,"[""TG:P0313:n1""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0313""]","[""material_entity""]",1
"[""TG:P0082:conductivity""]","[""Tunable ionic conductivity""]",1,TG:C026ac349263486,,,TG,Tunable ionic conductivity,"[""TG:P0082:conductivity""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0082""]","[""quantity""]",1
"[""TG:P0170:complete_v1_cr002_object""]","[""Seebeck coefficients several orders of magnitude higher than conventional electronic thermoelectric materials""]",1,TG:C026bcfd35a6f02,,,TG,Seebeck coefficients several orders of magnitude higher than conventional electronic thermoelectric materials,"[""TG:P0170:complete_v1_cr002_object""]",,new_singleton_no_exact_alias_candidate,"[""P0170""]","[""quantity""]",1
"[""TG:P0309:complete_v1_cr001_subject""]","[""Poor transport properties in electrolytes""]",1,TG:C02726bdb29aa9d,,,TG,Poor transport properties in electrolytes,"[""TG:P0309:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0309""]","[""descriptor""]",1
"[""TG:P0074:comfort""]","[""Improved wearing comfort""]",1,TG:C027637d2d8338d,,,TG,Improved wearing comfort,"[""TG:P0074:comfort""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0074""]","[""performance_function""]",1
"[""TG:P0181:cell""]","[""Integrative multilayer photothermal evaporator/thermogalvanic cell""]",13,TG:C027e1355d61d7c,,,TG,Integrative multilayer photothermal evaporator/thermogalvanic cell,"[""TG:P0181:cell""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0181""]","[""material_entity""]",1
"[""TG:P0256:nb""]","[""NCM temperature-sensitivity exponent b = 9.77""]",2,TG:C02853f13bcefdc,,,TG,NCM temperature-sensitivity exponent b = 9.77,"[""TG:P0256:nb""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0256""]","[""quantity""]",1
"[""TG:P0182:complete_v1_cr004_subject""]","[""Reduced entropy of polymer chains and thermogalvanic ions""]",3,TG:C02907fef411e61,,,TG,Reduced entropy of polymer chains and thermogalvanic ions,"[""TG:P0182:complete_v1_cr004_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0182""]","[""quantity""]",1
"[""TG:P0084:array""]","[""3 & times; 3 sensor array""]",2,TG:C02aeebe909b72a,,,TG,3 & times; 3 sensor array,"[""TG:P0084:array""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0084""]","[""material_entity""]",1
"[""TG:P0175:n10""]","[""Maximum power density of 4.2 mW m−2""]",1,TG:C02aeff3af1f54f,,,TG,Maximum power density of 4.2 mW m−2,"[""TG:P0175:n10""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0175""]","[""performance_function""]",1
"[""TG:P0154:response""]","[""Rapid response to a small body–ambient temperature difference""]",1,TG:C02af288c910118,,,TG,Rapid response to a small body–ambient temperature difference,"[""TG:P0154:response""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0154""]","[""performance_function""]",1
"[""TG:P0133:electrodes""]","[""Platinum electrodes""]",1,TG:C02d096350c4b26,,,TG,Platinum electrodes,"[""TG:P0133:electrodes""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0133""]","[""material_entity""]",1
"[""TG:P0095:f""]","[""Electrocatalysis of hosted redox couples""]",1,TG:C02edef13e67120,,,TG,Electrocatalysis of hosted redox couples,"[""TG:P0095:f""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0095""]","[""mechanism_process""]",1
"[""TG:P0252:swell""]","[""Swelling rate of 571%""]",1,TG:C02fa986551c0ca,,,TG,Swelling rate of 571%,"[""TG:P0252:swell""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0252""]","[""quantity""]",1
"[""TG:P0210:conversion""]","[""Direct waste-heat-to-electricity conversion""]",1,TG:C03169ce0901d61,,,TG,Direct waste-heat-to-electricity conversion,"[""TG:P0210:conversion""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0210""]","[""performance_function""]",1
"[""TG:P0115:n1""]","[""Dual-temperature two-stack thermogalvanic system""]",6,TG:C031d1223937be5,,,TG,Dual-temperature two-stack thermogalvanic system,"[""TG:P0115:n1""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0115""]","[""material_entity""]",1
"[""TG:P0135:restacking""]","[""MXene nanosheet restacking""]",1,TG:C031dd66b8eb13e,,,TG,MXene nanosheet restacking,"[""TG:P0135:restacking""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0135""]","[""mechanism_process""]",1
"[""TG:P0075:sensor""]","[""Stretchable self-powered thermogalvanic hydrogel sensor""]",4,TG:C0325b0d52c886a,,,TG,Stretchable self-powered thermogalvanic hydrogel sensor,"[""TG:P0075:sensor""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0075""]","[""material_entity""]",1
"[""TG:P0161:complete_v1_r002_subject""]","[""Gel structure of the prepared graphite-electrode PAAm hydrogel thermocells with K3[Fe(CN)6]/K4[Fe(CN)6] electrolytes""]",1,TG:C03299fb12b2ac3,,,TG,Gel structure of the prepared graphite-electrode PAAm hydrogel thermocells with K3[Fe(CN)6]/K4[Fe(CN)6] electrolytes,"[""TG:P0161:complete_v1_r002_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0161""]","[""state_structure""]",1
"[""TG:P0286:temp""]","[""Carbonization temperature""]",1,TG:C032d6b395361b7,,,TG,Carbonization temperature,"[""TG:P0286:temp""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0286""]","[""condition""]",1
"[""TG:P0144:voltage""]","[""Output voltage of 3.5 V""]",1,TG:C033e26eda094f6,,,TG,Output voltage of 3.5 V,"[""TG:P0144:voltage""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0144""]","[""performance_function""]",1
"[""TG:P0215:suspension""]","[""Ionically stabilized magnetic nanoparticles dispersed in aqueous potassium ferro-/ferricyanide electrolyte""]",1,TG:C03527fdb38f11b,,,TG,Ionically stabilized magnetic nanoparticles dispersed in aqueous potassium ferro-/ferricyanide electrolyte,"[""TG:P0215:suspension""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0215""]","[""material_entity""]",1
"[""TG:P0142:system""]","[""ML-assisted self-powered Morse-code communication system""]",1,TG:C0358325a4ef5b8,,,TG,ML-assisted self-powered Morse-code communication system,"[""TG:P0142:system""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0142""]","[""material_entity""]",1
"[""TG:P0326:ph""]","[""Increasing pH""]",1,TG:C0377405e28ea54,,,TG,Increasing pH,"[""TG:P0326:ph""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0326""]","[""condition""]",1
"[""TG:P0022:pv""]","[""Potential: 121 mV""]",1,TG:C039026e1d8dc43,,,TG,Potential: 121 mV,"[""TG:P0022:pv""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0022""]","[""performance_function""]",1
"[""TG:P0333:znvalue""]","[""Values obtained for Zn\\ZnCl2 thermogalvanic cells""]",1,TG:C03996e7adc2646,,,TG,Values obtained for Zn\ZnCl2 thermogalvanic cells,"[""TG:P0333:znvalue""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0333""]","[""quantity""]",1
"[""TG:P0115:n6""]","[""Peak output power 0.4 μW""]",1,TG:C039b7453788065,,,TG,Peak output power 0.4 μW,"[""TG:P0115:n6""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0115""]","[""performance_function""]",1
"[""TG:P0089:c""]","[""Weak thermogalvanic-coefficient dependence on lithiation state""]",1,TG:C039d20d4b16ab9,,,TG,Weak thermogalvanic-coefficient dependence on lithiation state,"[""TG:P0089:c""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0089""]","[""descriptor""]",1
"[""TG:P0069:platform""]","[""Light intensity monitoring platform""]",1,TG:C03a201b86b7dba,,,TG,Light intensity monitoring platform,"[""TG:P0069:platform""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0069""]","[""material_entity""]",1
"[""TG:P0133:layers""]","[""Thermal boundary layers at the electrolyte interface""]",1,TG:C03aa3a88acff00,,,TG,Thermal boundary layers at the electrolyte interface,"[""TG:P0133:layers""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0133""]","[""state_structure""]",1
"[""TG:P0155:complete_v1_cr003_object""]","[""Structures matching complex heat-source interfaces""]",1,TG:C03c03160c025a8,,,TG,Structures matching complex heat-source interfaces,"[""TG:P0155:complete_v1_cr003_object""]",,new_singleton_no_exact_alias_candidate,"[""P0155""]","[""state_structure""]",1
"[""TG:P0084:magnitude""]","[""Precise pressure-magnitude detection""]",1,TG:C03c2f0d36f084f,,,TG,Precise pressure-magnitude detection,"[""TG:P0084:magnitude""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0084""]","[""performance_function""]",1
"[""TG:P0291:complete_v1_r005_object""]","[""Cobalt redox couple Seebeck coefficient in gelled electrolyte""]",1,TG:C03cbae4fe0b305,,,TG,Cobalt redox couple Seebeck coefficient in gelled electrolyte,"[""TG:P0291:complete_v1_r005_object""]",,new_singleton_no_exact_alias_candidate,"[""P0291""]","[""quantity""]",1
"[""TG:P0331:mem"",""TG:P0332:mem""]","[""Ion-exchange membrane""]",4,TG:C03d108deef061d,g0101,Ion-exchange membrane separating electrode regions and preventing passage of the [Fe(CN)6]3-/[Fe(CN)6]4- redox couple.,TG,Ion-exchange membrane,"[""TG:P0331:mem"",""TG:P0332:mem""]",Both labels denote the same membrane class with matching separation and redox-exclusion properties. No specific membrane composition or sample identity is asserted.,model_merged,"[""P0331"",""P0332""]","[""material_entity""]",2
"[""TG:P0070:complete_v1_cr002_subject""]","[""Low Carnot efficiency of N-type thermogalvanic cells""]",1,TG:C03dfa9d51493dc,,,TG,Low Carnot efficiency of N-type thermogalvanic cells,"[""TG:P0070:complete_v1_cr002_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0070""]","[""quantity""]",1
"[""TG:P0158:recognition""]","[""Contact-object discrimination""]",2,TG:C03e4390411caf2,,,TG,Contact-object discrimination,"[""TG:P0158:recognition""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0158""]","[""performance_function""]",1
"[""TG:P0182:complete_v1_cr005_object""]","[""Mechanical fragility of aqueous thermocells""]",1,TG:C040344101a2162,,,TG,Mechanical fragility of aqueous thermocells,"[""TG:P0182:complete_v1_cr005_object""]",,new_singleton_no_exact_alias_candidate,"[""P0182""]","[""performance_function""]",1
"[""TG:P0293:complete_v1_cr001_subject""]","[""Electronic transport within metal, semiconductor, metal oxide, and carbon electrodes""]",1,TG:C040bb7bed20592,,,TG,"Electronic transport within metal, semiconductor, metal oxide, and carbon electrodes","[""TG:P0293:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0293""]","[""mechanism_process""]",1
"[""TG:P0086:f""]","[""Power declining to 2.38 mW/m2""]",1,TG:C0418882b99a698,,,TG,Power declining to 2.38 mW/m2,"[""TG:P0086:f""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0086""]","[""performance_function""]",1
"[""TG:P0326:fe23""]","[""Fe2O3""]",2,TG:C041aa1729b7d32,,,TG,Fe2O3,"[""TG:P0326:fe23""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0326""]","[""material_entity""]",1
"[""TG:P0181:tandem""]","[""Configurable on-demand/point-of-use tandem structure""]",2,TG:C042ee0f9c0ca68,,,TG,Configurable on-demand/point-of-use tandem structure,"[""TG:P0181:tandem""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0181""]","[""design_strategy""]",1
"[""TG:P0119:n9""]","[""Coupled iodide/triiodide redox and stainless steel corrosion system""]",1,TG:C044d400a0812c2,,,TG,Coupled iodide/triiodide redox and stainless steel corrosion system,"[""TG:P0119:n9""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0119""]","[""material_entity""]",1
"[""TG:P0225:b""]","[""NIR-photothermal conversion""]",1,TG:C0460dd66c97e09,,,TG,NIR-photothermal conversion,"[""TG:P0225:b""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0225""]","[""performance_function""]",1
"[""TG:P0158:sandwich""]","[""Electrode array–thermogalvanic hydrogel–electrode array sandwich""]",2,TG:C0460fbf8fdadac,,,TG,Electrode array–thermogalvanic hydrogel–electrode array sandwich,"[""TG:P0158:sandwich""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0158""]","[""state_structure""]",1
"[""TG:P0184:complete_v1_cr002_subject""]","[""Electrode potential""]",1,TG:C047ee8b4d75943,,,TG,Electrode potential,"[""TG:P0184:complete_v1_cr002_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0184""]","[""quantity""]",1
"[""TG:P0286:e800""]","[""Mandarin peel-derived electrodes carbonized at 800 ?""]",0,TG:C048f16aa20ad4e,,,TG,Mandarin peel-derived electrodes carbonized at 800 ?,"[""TG:P0286:e800""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,[],"[""material_entity""]",0
"[""TG:P0323:complete_v1_cr001_subject""]","[""Potential–pH diagrams""]",1,TG:C0499e97726db67,,,TG,Potential–pH diagrams,"[""TG:P0323:complete_v1_cr001_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0323""]","[""descriptor""]",1
"[""TG:P0179:n12""]","[""Giant thermopowers""]",1,TG:C049b25c9b45382,,,TG,Giant thermopowers,"[""TG:P0179:n12""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0179""]","[""performance_function""]",1
"[""TG:P0104:n1""]","[""Aqueous ammonium iron(II/III) sulphate""]",1,TG:C04a74602e1a197,,,TG,Aqueous ammonium iron(II/III) sulphate,"[""TG:P0104:n1""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0104""]","[""material_entity""]",1
"[""TG:P0245:comp""]","[""Solvent composition""]",1,TG:C04ab04a9522237,,,TG,Solvent composition,"[""TG:P0245:comp""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0245""]","[""condition""]",1
"[""TG:P0273:solv""]","[""Solvation structures""]",2,TG:C04c6fe52a38f7d,,,TG,Solvation structures,"[""TG:P0273:solv""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0273""]","[""state_structure""]",1
"[""TG:P0120:n10"",""TG:P0297:complete_v1_cr001_object""]","[""Thermal-to-electrical energy conversion""]",2,TG:C04d690e1658817,,,TG,Thermal-to-electrical energy conversion,"[""TG:P0120:n10"",""TG:P0297:complete_v1_cr001_object""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0120"",""P0297""]","[""performance_function""]",2
"[""TG:P0117:n7""]","[""Flexible polymer tube casing""]",1,TG:C04e69faa006026,,,TG,Flexible polymer tube casing,"[""TG:P0117:n7""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0117""]","[""material_entity""]",1
"[""TG:P0280:s145""]","[""Temperature coefficient of 1.45 mV/K""]",1,TG:C04f9a3f9cc83ae,,,TG,Temperature coefficient of 1.45 mV/K,"[""TG:P0280:s145""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0280""]","[""quantity""]",1
"[""TG:P0033:room""]","[""Room-temperature prototyping at approximately 25 °C""]",1,TG:C04fab5beb6d440,,,TG,Room-temperature prototyping at approximately 25 °C,"[""TG:P0033:room""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0033""]","[""performance_function""]",1
"[""TG:P0228:d""]","[""Thermogalvanic voltage (TGV)""]",2,TG:C054e291c4b07e6,,,TG,Thermogalvanic voltage (TGV),"[""TG:P0228:d""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0228""]","[""quantity""]",1
"[""TG:P0004:dry""]","[""Excellent non-drying performance""]",1,TG:C0558aa4ffc8e85,,,TG,Excellent non-drying performance,"[""TG:P0004:dry""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0004""]","[""performance_function""]",1
"[""TG:P0215:seebeck""]","[""Liquid thermoelectric material Seebeck coefficient""]",1,TG:C055b8ea94812b2,,,TG,Liquid thermoelectric material Seebeck coefficient,"[""TG:P0215:seebeck""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0215""]","[""quantity""]",1
"[""TG:P0141:interface""]","[""Electrode-electrolyte interactions""]",1,TG:C056a9e35873dcf,,,TG,Electrode-electrolyte interactions,"[""TG:P0141:interface""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0141""]","[""interaction""]",1
