audit_id,group_index,selection_reason,original_members,judge_decision,draft_concept_ids,raw_mention_ids,judge_reason,review_prompt,human_decision,human_reason,reviewer,reviewed_at,status
normcheck:g003,3,large_group,32,split,"[""draft:v2:TG:253ec1ee11eb63b8593b"", ""draft:v2:TG:55fa6963b8efd4b1b47a"", ""draft:v2:TG:5d4be4e3a3ebf4fc9d80"", ""draft:v2:TG:8bb367ed1ea98423cc64"", ""draft:v2:TG:93a4e6983b70ea843683"", ""draft:v2:TG:bbb7b64e8ffaddf36dee"", ""draft:v2:TG:bdb6a32ae0e10284841b"", ""draft:v2:TG:c0aa1ba3ae8b6e69853a"", ""draft:v2:TG:c90ab2d13b329a75a042""]","[""TG:P0005:n2"", ""TG:P0022:n3"", ""TG:P0027:n3"", ""TG:P0029:n3"", ""TG:P0063:n4"", ""TG:P0067:n4"", ""TG:P0079:n1"", ""TG:P0080:n3"", ""TG:P0085:n3"", ""TG:P0094:n3"", ""TG:P0099:n2"", ""TG:P0104:n2"", ""TG:P0117:n3"", ""TG:P0119:n3"", ""TG:P0140:n4"", ""TG:P0206:n4"", ""TG:P0215:n2"", ""TG:P0218:n2"", ""TG:P0223:n2"", ""TG:P0225:n3"", ""TG:P0226:n3"", ""TG:P0247:n3"", ""TG:P0248:n3"", ""TG:P0265:n1"", ""TG:P0266:n2"", ""TG:P0270:n4"", ""TG:P0272:n2"", ""TG:P0278:n4"", ""TG:P0280:n2"", ""TG:P0285:n3"", ""TG:P0315:n2"", ""TG:P0319:n2""]",普通电化学系数、混合Soret/红氧系数、腐蚀复合响应、有限温差表观响应、初始条件和非对称电极响应分别保留。P0104的化学平衡温差依赖与P0119的腐蚀贡献不同；不能合并两个apparent节点。P0215保留initial限定，但摘要不支持进一步断言瞬态。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g004,4,large_group,32,split,"[""draft:v2:iTE:24b25ba60ecb94898731"", ""draft:v2:iTE:37c58210df51f7289192"", ""draft:v2:iTE:b13e0b2aea57ceea33d3"", ""draft:v2:iTE:fac2855c12bd9d04b2bc""]","[""iTE:P0468:n2"", ""iTE:P0491:n2"", ""iTE:P0539:n3"", ""iTE:P0654:n2"", ""iTE:P0674:n4"", ""iTE:P0725:n2"", ""iTE:P0771:n2"", ""iTE:P0814:n2"", ""iTE:P0821:n2"", ""iTE:P0826:n2"", ""iTE:P0829:n3"", ""iTE:P0894:n3"", ""iTE:P0902:n3"", ""iTE:P0921:n4"", ""iTE:P0928:n5"", ""iTE:P1031:n5"", ""iTE:P1041:n2"", ""iTE:P1047:n2"", ""iTE:P1062:n2"", ""iTE:P1128:n2"", ""iTE:P1158:n2"", ""iTE:P1238:n2"", ""iTE:P1247:n2"", ""iTE:P1249:n2"", ""iTE:P1296:n2"", ""iTE:P1418:n2"", ""iTE:P1526:n3"", ""iTE:P1573:n2"", ""iTE:P1653:n3"", ""iTE:P1658:n3"", ""iTE:P1783:n2"", ""iTE:P1934:n2""]",除6/16/28外29个节点均材料总体热导率κ，total/overall为同量展开；30说明声子主导但仍总κ。16明确phonon thermal conductivity是分量；6明确large高值；28为晶界局部热导属性，不能直接当均匀体相热导率。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g005,5,large_group,27,split,"[""draft:v2:iTE:095499a260070b8e90c3"", ""draft:v2:iTE:222c814e88d98c8f1a55"", ""draft:v2:iTE:2603429e4e2fe014e8a1"", ""draft:v2:iTE:46786f4d6461b8ab743d"", ""draft:v2:iTE:5e02b0d3dabfafadcc59"", ""draft:v2:iTE:a92903b3a4307ad1b226"", ""draft:v2:iTE:ad2ded5ed6d05307c38c""]","[""iTE:P0494:n3"", ""iTE:P0665:n3"", ""iTE:P0703:n2"", ""iTE:P0716:n3"", ""iTE:P0726:n2"", ""iTE:P0750:n3"", ""iTE:P0774:n2"", ""iTE:P0798:n2"", ""iTE:P0818:n2"", ""iTE:P0830:n3"", ""iTE:P0897:n2"", ""iTE:P0903:n2"", ""iTE:P0906:n3"", ""iTE:P0942:n2"", ""iTE:P0974:n2"", ""iTE:P0975:n2"", ""iTE:P0994:n3"", ""iTE:P1008:n2"", ""iTE:P1009:n2"", ""iTE:P1010:n2"", ""iTE:P1087:n2"", ""iTE:P1133:n2"", ""iTE:P1135:n2"", ""iTE:P1206:n2"", ""iTE:P1459:n3"", ""iTE:P1481:n3"", ""iTE:P1570:n2""]",一般电子材料ZT=热电优值同义缩写；0为离子电解质ZT，12为液体红氧转换ZT；2限定高温，10限定接近1，16/22限定高ZT，23原文为自旋分辨ZT。不能把性能同类当同定义。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g006,6,large_group,26,accept,"[""draft:v2:iTE:6aa962676f87f4729b7a""]","[""iTE:P0596:n4"", ""iTE:P0843:n3"", ""iTE:P0856:n3"", ""iTE:P0910:n2"", ""iTE:P0977:n2"", ""iTE:P1152:n2"", ""iTE:P1243:n2"", ""iTE:P1276:n2"", ""iTE:P1282:n2"", ""iTE:P1363:n2"", ""iTE:P1366:n2"", ""iTE:P1370:n2"", ""iTE:P1398:n2"", ""iTE:P1453:n3"", ""iTE:P1466:n3"", ""iTE:P1467:n2"", ""iTE:P1481:n2"", ""iTE:P1489:n4"", ""iTE:P1603:n2"", ""iTE:P1618:n2"", ""iTE:P1648:n2"", ""iTE:P1654:n3"", ""iTE:P1690:n2"", ""iTE:P1695:n2"", ""iTE:P1722:n3"", ""iTE:P1741:n2""]",二十六节点均晶格热导率κL；9与20虽写lattice heat transport，但均给W m-1 K-1并以κL/极限值定量，明确为传导系数而非过程。所有成员定义一致，不是借连通性传递。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g007,7,large_group,26,split,"[""draft:v2:iTE:2b7c15e410c5b872c1f0"", ""draft:v2:iTE:5a2e9f58465b4157b563"", ""draft:v2:iTE:a866a67ced0c03cf4bb4"", ""draft:v2:iTE:d8f225941a43a041ad20"", ""draft:v2:iTE:ec1d24919716edc242ea"", ""draft:v2:iTE:f7199aa10e5c8ac4565c""]","[""iTE:P0378:n3"", ""iTE:P0478:n3"", ""iTE:P0484:n3"", ""iTE:P0502:n2"", ""iTE:P0515:n2"", ""iTE:P0562:n2"", ""iTE:P0582:n3"", ""iTE:P0628:n4"", ""iTE:P0674:n2"", ""iTE:P0690:n2"", ""iTE:P0738:n2"", ""iTE:P0779:n2"", ""iTE:P0796:n2"", ""iTE:P0864:n3"", ""iTE:P0976:n2"", ""iTE:P1013:n2"", ""iTE:P1073:n2"", ""iTE:P1369:n2"", ""iTE:P1480:n2"", ""iTE:P1510:n2"", ""iTE:P1516:n2"", ""iTE:P1568:n3"", ""iTE:P1574:n2"", ""iTE:P1752:n4"", ""iTE:P1823:n2"", ""iTE:P1876:n2""]",2明确PF=alpha²sigma支持电子PF共同定义；0/3/13为离子PF，4混合地聚物、10混合凝胶PF未分离载流贡献；1最大值，15/24/25为增强事件，不并入普通PF。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g008,8,large_group,25,split,"[""draft:v2:iTE:46b34fed102f49853972"", ""draft:v2:iTE:72539ea2b633a0f95a53"", ""draft:v2:iTE:9cc5f26cd66f7e979761""]","[""iTE:P0335:n4"", ""iTE:P0350:n4"", ""iTE:P0352:n2"", ""iTE:P0366:n3"", ""iTE:P0403:n3"", ""iTE:P0435:n2"", ""iTE:P0451:n2"", ""iTE:P0503:n3"", ""iTE:P0509:n3"", ""iTE:P0548:n3"", ""iTE:P0559:n3"", ""iTE:P0577:n3"", ""iTE:P0650:n3"", ""iTE:P0719:n2"", ""iTE:P0764:n3"", ""iTE:P0834:n2"", ""iTE:P0859:n3"", ""iTE:P0935:n2"", ""iTE:P0963:n2"", ""iTE:P1007:n2"", ""iTE:P1141:n3"", ""iTE:P1361:n2"", ""iTE:P1469:n2"", ""iTE:P1557:n2"", ""iTE:P1626:n2""]",除12/23外各成员均一般离子电导率，包括被否定存在的21/24仍是该物理量；12明确ionogel、23明确SPE材料限定，不删除这些范围。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g009,9,large_group,22,split,"[""draft:v2:TG:2257649897fa1109cdb4"", ""draft:v2:TG:314a0eed47a8480ae778"", ""draft:v2:TG:8ed7e0ab3c2d47981572"", ""draft:v2:TG:aaecb64119f79a1a9193"", ""draft:v2:TG:c835fd80511d966509b9"", ""draft:v2:TG:cf31f14318fcef766412""]","[""TG:P0011:n4"", ""TG:P0037:n3"", ""TG:P0041:n3"", ""TG:P0050:n2"", ""TG:P0055:n3"", ""TG:P0077:n2"", ""TG:P0098:n2"", ""TG:P0113:n2"", ""TG:P0121:n2"", ""TG:P0128:n3"", ""TG:P0133:n2"", ""TG:P0154:n3"", ""TG:P0155:n3"", ""TG:P0177:n4"", ""TG:P0187:n2"", ""TG:P0189:n4"", ""TG:P0199:n3"", ""TG:P0208:n2"", ""TG:P0209:n2"", ""TG:P0218:n3"", ""TG:P0276:n3"", ""TG:P0281:n2""]",5/11/15/16/18/21单位明确面积功率密度；0/14密度分母尚未给出先单列；2/4/6/7/9/10/12/17/19是输出功率量；1/3/8/20是发电过程；13限定盐水驱动。不能把过程、功率和密度闭包合并。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g012,12,hierarchy_warning_overruled,18,accept,"[""draft:v2:iTE:3d210a8c3b00d895382e""]","[""iTE:P0342:n3"", ""iTE:P0380:n1"", ""iTE:P0447:n1"", ""iTE:P0458:n1"", ""iTE:P0479:n2"", ""iTE:P0494:n1"", ""iTE:P0495:n2"", ""iTE:P0519:n1"", ""iTE:P0535:n3"", ""iTE:P0561:n2"", ""iTE:P0622:n1"", ""iTE:P0645:n3"", ""iTE:P0680:n2"", ""iTE:P0828:n1"", ""iTE:P0938:n5"", ""iTE:P1029:n2"", ""iTE:P1169:n2"", ""iTE:P1180:n1""]",十八个成员逐一均在离子导体/电解质中指温度梯度驱动的离子扩散；3和13直接定义，10直接展开同义。11虽否定其主导作用但概念仍同一机制，不能以否定句误判不同概念。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g016,16,hierarchy_warning_overruled,13,split,"[""draft:v2:TG:56fdf214e199a1327cf6"", ""draft:v2:TG:8fddcf5ecdf925ccb3f4""]","[""TG:P0014:n3"", ""TG:P0043:n2"", ""TG:P0060:n1"", ""TG:P0137:n3"", ""TG:P0145:n1"", ""TG:P0196:n1"", ""TG:P0201:n1"", ""TG:P0201:n4"", ""TG:P0210:n1"", ""TG:P0232:n1"", ""TG:P0247:n2"", ""TG:P0295:n3"", ""TG:P0310:n1""]",0至11均电解质离子热扩散/Soret效应，2泛称由本组电解质上下文约束；12特指质子热扩散，保留物种限定。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g010,10,hierarchy_warning_overruled,21,split,"[""draft:v2:iTE:03933d6b64bfcddd2a88"", ""draft:v2:iTE:07563a667a55719945c2"", ""draft:v2:iTE:1eb4bc9601fb9daa0c77"", ""draft:v2:iTE:4ab1fa5c6e4c904ae7b0"", ""draft:v2:iTE:4dc4c5f4ad16a9ed768b"", ""draft:v2:iTE:532f4b9bc19f6f3a5217"", ""draft:v2:iTE:7e8e9da78c3c0debe665"", ""draft:v2:iTE:bcea570842f299a1d7f7""]","[""iTE:P0632:n1"", ""iTE:P0636:n1"", ""iTE:P0718:n1"", ""iTE:P0731:n1"", ""iTE:P0957:n1"", ""iTE:P0977:n1"", ""iTE:P1090:n1"", ""iTE:P1308:n1"", ""iTE:P1332:n1"", ""iTE:P1362:n1"", ""iTE:P1385:n1"", ""iTE:P1475:n1"", ""iTE:P1508:n1"", ""iTE:P1565:n2"", ""iTE:P1573:n1"", ""iTE:P1644:n1"", ""iTE:P1692:n1"", ""iTE:P1907:n1"", ""iTE:P1952:n1"", ""iTE:P1960:n1"", ""iTE:P1961:n1""]",0/1/2/3/4/7/8/9/10/11/12/14/19/20均三价稀土阳离子半径；5为碱金属占位半径，6摘要确认为碱土A位半径；13填充原子半径含Li，15一般半径描述符，16含Sc/Cr的M3+；17/18明确稀土半径减小事件。；P1332明确R含Bi，单独保留该对象集合。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g014,14,hierarchy_warning_overruled,16,split,"[""draft:v2:TG:37fb1b8b8506017d5d65"", ""draft:v2:TG:519def499cb6b1615385""]","[""TG:P0009:n3"", ""TG:P0015:n4"", ""TG:P0016:n3"", ""TG:P0020:n3"", ""TG:P0026:n4"", ""TG:P0044:n3"", ""TG:P0081:n5"", ""TG:P0143:n2"", ""TG:P0145:n3"", ""TG:P0165:n4"", ""TG:P0166:n3"", ""TG:P0186:n2"", ""TG:P0192:n4"", ""TG:P0227:n2"", ""TG:P0255:n3"", ""TG:P0264:n4""]",0/1/2/3/4/5/6/10/11/12/13/14/15均热电化学电池热电势系数；7完整摘要及8/9明确叠加Soret和热电化学效应，总热响应不等同单独电化学系数。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g027,27,hierarchy_warning_overruled,9,accept,"[""draft:v2:TG:69be1184fd8ba4a4bb8a""]","[""TG:P0115:n3"", ""TG:P0127:n2"", ""TG:P0133:n4"", ""TG:P0184:n3"", ""TG:P0213:n4"", ""TG:P0214:n4"", ""TG:P0302:n2"", ""TG:P0303:n3"", ""TG:P0321:n2""]",九个成员均输出电能/输入热能的转换效率，含循环与稳态装置；4的原文明确区分绝对1.32%和相对Carnot20%，节点取绝对效率。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g013,13,hierarchy_warning_overruled,17,split,"[""draft:v2:iTE:0cd218592e98c67218bd"", ""draft:v2:iTE:2b583cfabe6e58d2c9e2"", ""draft:v2:iTE:303ca6ede25b006057e6"", ""draft:v2:iTE:65f38c4b967a64c8402b"", ""draft:v2:iTE:97fabcbc8116c63dd904"", ""draft:v2:iTE:f56b46ee491c8b844234""]","[""iTE:P0409:n3"", ""iTE:P0471:n2"", ""iTE:P0484:n2"", ""iTE:P0606:n3"", ""iTE:P0752:n3"", ""iTE:P0758:n3"", ""iTE:P0845:n4"", ""iTE:P0939:n2"", ""iTE:P1168:n3"", ""iTE:P1203:n2"", ""iTE:P1222:n2"", ""iTE:P1294:n1"", ""iTE:P1354:n2"", ""iTE:P1514:n2"", ""iTE:P1528:n2"", ""iTE:P1632:n2"", ""iTE:P1965:n2""]",0/1/2/3/4/6/12/13/15/16为通常电子载流子迁移率；5/10/11为高值；7相对较高；8明确增强的Hall迁移率；9为电子比空穴更好；14为OECT提取的器件有效迁移率，不能用同词跨定义闭包。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g021,21,hierarchy_warning_overruled,11,split,"[""draft:v2:iTE:2f4da8494d145be4f4d3"", ""draft:v2:iTE:704ebee62ebd7152c8a4"", ""draft:v2:iTE:a7698c73e0fd87e6910b"", ""draft:v2:iTE:f7b8c03f9552fa4c4b5d""]","[""iTE:P0633:n2"", ""iTE:P0929:n1"", ""iTE:P1101:n2"", ""iTE:P1183:n2"", ""iTE:P1297:n1"", ""iTE:P1421:n2"", ""iTE:P1428:n1"", ""iTE:P1439:n2"", ""iTE:P1478:n2"", ""iTE:P1522:n3"", ""iTE:P1860:n1""]",1/5/8/9为晶格/声子非谐性一般属性；0/3/4/6/7/10明确高/强晶格非谐性；2为比较greater，未定义达到高值。；动力学现象与非谐性性质拆开。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g063,63,hierarchy_warning_overruled,4,accept,"[""draft:v2:TG:f1ed72e6d3f5bae19e1d""]","[""TG:P0118:n2"", ""TG:P0126:n3"", ""TG:P0152:n3"", ""TG:P0233:n4""]",0原文thermogalvanic明确补足简写galvanic，2展开TG；四段均为温差引起的电化学电流。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g017,17,split_definition_boundary,12,split,"[""draft:v2:iTE:0508483a63240a511ec3"", ""draft:v2:iTE:1f8b774e36881edb88fa"", ""draft:v2:iTE:498989c521d29f2c7c41"", ""draft:v2:iTE:67baddf57d6fbbd088c3"", ""draft:v2:iTE:73fa73bcd942b822eb9d"", ""draft:v2:iTE:97705058ec15fdffca4a"", ""draft:v2:iTE:b356fcf8012432f0bfb6"", ""draft:v2:iTE:e2e11c9996c56d468240"", ""draft:v2:iTE:f5e2f6f1502001139c07""]","[""iTE:P0550:n1"", ""iTE:P0717:n2"", ""iTE:P0842:n2"", ""iTE:P0876:n2"", ""iTE:P1033:n2"", ""iTE:P1209:n2"", ""iTE:P1250:n2"", ""iTE:P1548:n2"", ""iTE:P1556:n4"", ""iTE:P1563:n3"", ""iTE:P1706:n3"", ""iTE:P1708:n3""]",0载流子生成能，1/2/3由电导提取Ag+迁移活化能；4复合电导和热电势活化能；5Cu迁移NEB势垒；6Cu离子传导活化能；7含空位生成贡献；8Ag+微观势垒；9/10电子电导活化能；11Na导电活化能。共同energy词不保证同量。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g018,18,split_definition_boundary,12,split,"[""draft:v2:iTE:57821c8047ba5fe30f58"", ""draft:v2:iTE:8200f159201dcec89adb"", ""draft:v2:iTE:ffb12506ac6fb36b9460""]","[""iTE:P0861:n1"", ""iTE:P1646:n2"", ""iTE:P1678:n1"", ""iTE:P1699:n2"", ""iTE:P1720:n2"", ""iTE:P1742:n1"", ""iTE:P1764:n2"", ""iTE:P1778:n1"", ""iTE:P1799:n2"", ""iTE:P1808:n2"", ""iTE:P1898:n1"", ""iTE:P1931:n1""]",0/2/3/4/7为键合离子性属性；1/6/8/9/10/11为离子键/键合类型；5特指Rb和Fr原子的离子性。键合类型与离子性程度相关但不严格同义。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g019,19,split_definition_boundary,12,split,"[""draft:v2:iTE:503f9af7ba240e367318"", ""draft:v2:iTE:754e48d36d5ee6a3e0d2"", ""draft:v2:iTE:808f4fc87476c5d9881b"", ""draft:v2:iTE:ff356e4781fdffc3c35c""]","[""iTE:P0829:n2"", ""iTE:P0894:n2"", ""iTE:P0904:n3"", ""iTE:P0917:n2"", ""iTE:P0921:n2"", ""iTE:P0928:n4"", ""iTE:P1031:n3"", ""iTE:P1170:n2"", ""iTE:P1198:n2"", ""iTE:P1481:n1"", ""iTE:P1489:n3"", ""iTE:P1970:n1""]",0/2/3/4/5/6/7/10一般声子散射过程；1多波长覆盖；8强散射状态；9/11散射增强变化。区分强度状态与变化，不能闭包消除。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g023,23,split_definition_boundary,10,split,"[""draft:v2:TG:7529c9ec98f7878481fc"", ""draft:v2:TG:dfe8b2271356244caa30"", ""draft:v2:TG:f25dc08cc10148156de1""]","[""TG:P0030:n4"", ""TG:P0035:n4"", ""TG:P0069:n4"", ""TG:P0073:n3"", ""TG:P0156:n3"", ""TG:P0173:n3"", ""TG:P0178:n2"", ""TG:P0204:n3"", ""TG:P0210:n3"", ""TG:P0221:n4""]",0/1/2/3/4/6/8/9均由热刺激产生的热电压，9摘要排除交变压电信号；5的0.71V只有约33%热贡献，不能等同纯热电压；7为热充电赝电容和红氧复合单元输出，独立保留。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g026,26,split_definition_boundary,10,split,"[""draft:v2:iTE:06a7b58a12339f4ae933"", ""draft:v2:iTE:bd87629d2e23db9e5376"", ""draft:v2:iTE:e73fdaf430d39fc86e12""]","[""iTE:P0358:n3"", ""iTE:P0369:n5"", ""iTE:P0397:n3"", ""iTE:P0403:n2"", ""iTE:P0458:n2"", ""iTE:P0524:n2"", ""iTE:P0567:n3"", ""iTE:P0597:n2"", ""iTE:P0629:n2"", ""iTE:P0697:n3""]",0/1/2/4/5/6/8/9均离子热驱动装置电压，界面/体相贡献是成因；3明确高值，7为p-n结内部电势差不能直接当端输出。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g029,29,split_definition_boundary,8,split,"[""draft:v2:TG:0164f0bb4569f2e3cc33"", ""draft:v2:TG:1a5a7853fc79cda3c26c"", ""draft:v2:TG:c902b1c79e665c3b7901""]","[""TG:P0022:n2"", ""TG:P0084:n3"", ""TG:P0085:n2"", ""TG:P0090:n2"", ""TG:P0146:n2"", ""TG:P0182:n4"", ""TG:P0192:n3"", ""TG:P0201:n3""]",1/2/3/6经完整摘要核实均铁氰/亚铁氰红氧系统熵差；0具体Cu-乙二胺螯合反应；4/5/7一般红氧反应熵差，不通过泛称把特定反应合并。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g011,11,uncertainty_boundary,21,uncertain,"[""draft:v2:iTE:062424b7af67cb295d34"", ""draft:v2:iTE:2079891e057190a4709f"", ""draft:v2:iTE:21c640569569a736aa14"", ""draft:v2:iTE:2a77dbcf68565bce76c5"", ""draft:v2:iTE:5fc0db291ed1486604a6"", ""draft:v2:iTE:6753deae16203508cd1f"", ""draft:v2:iTE:6b27c01262667455ab36"", ""draft:v2:iTE:7132950a2bc4fa67bdd3"", ""draft:v2:iTE:82cbf1f4f791734af95a"", ""draft:v2:iTE:956d4d9d5e92b038a43e"", ""draft:v2:iTE:a4ef1b47dc72b790890b"", ""draft:v2:iTE:b105c8d29cdf8255edcd"", ""draft:v2:iTE:befbb773d316e8b1f66c"", ""draft:v2:iTE:c602764b2e8bdbb7dbaf"", ""draft:v2:iTE:e0fe0f7eb60289111705"", ""draft:v2:iTE:e20f40f2e288b6b94f40"", ""draft:v2:iTE:f0b06ffa33ecbd324d4d"", ""draft:v2:iTE:f58bfd0ec476ceb89609"", ""draft:v2:iTE:f6c1fe7722cbed9edba3""]","[""iTE:P0593:n3"", ""iTE:P0610:n2"", ""iTE:P0631:n2"", ""iTE:P0638:n2"", ""iTE:P0986:n2"", ""iTE:P1094:n2"", ""iTE:P1098:n2"", ""iTE:P1114:n2"", ""iTE:P1135:n1"", ""iTE:P1137:n2"", ""iTE:P1149:n2"", ""iTE:P1168:n2"", ""iTE:P1266:n2"", ""iTE:P1297:n2"", ""iTE:P1322:n2"", ""iTE:P1480:n3"", ""iTE:P1671:n3"", ""iTE:P1697:n3"", ""iTE:P1778:n2"", ""iTE:P1860:n2"", ""iTE:P1970:n2""]",11/14/15/20明确相对降低，可接受同一变化过程；其余低、超低、本征低和异常低各有不同材料温区阈值，缺少统一适用范围，不强制裁定同义。；reduced状态与reduction/decrease过程不可等价。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g020,20,uncertainty_boundary,11,uncertain,"[""draft:v2:TG:4bfbd97bccc3f78a239a"", ""draft:v2:TG:7be10042f6aff1c39013""]","[""TG:P0031:n4"", ""TG:P0039:n3"", ""TG:P0075:n1"", ""TG:P0111:n3"", ""TG:P0145:n2"", ""TG:P0153:n2"", ""TG:P0162:n4"", ""TG:P0173:n1"", ""TG:P0194:n2"", ""TG:P0201:n2"", ""TG:P0251:n7""]",除3外十个成员都指温度驱动红氧电位效应，可作为同一机制；TG:P0111完整摘要却为SmCl3/介孔SiO2热刺激去极化及介电理论，缺少红氧反应定义，不能仅凭thermogalvanic同名合并。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g024,24,uncertainty_boundary,10,uncertain,"[""draft:v2:iTE:0f5342dfd30a03da47ed"", ""draft:v2:iTE:11fa5d7aa9fea3bbeba5"", ""draft:v2:iTE:122fd691c7c295ac6b7d"", ""draft:v2:iTE:77a6a08cc8b033cc92f9"", ""draft:v2:iTE:99dae6f0384b21136acb"", ""draft:v2:iTE:a3bd8360d8726281f8a4"", ""draft:v2:iTE:bf779e66111c0db44eb6"", ""draft:v2:iTE:cf906585136bcb88f7c4"", ""draft:v2:iTE:ec3d93c124309941d512"", ""draft:v2:iTE:ed303dfcfeaf2107b355""]","[""iTE:P0384:n1"", ""iTE:P0409:n2"", ""iTE:P0478:n1"", ""iTE:P0508:n1"", ""iTE:P0626:n1"", ""iTE:P0688:n1"", ""iTE:P0815:n1"", ""iTE:P0858:n1"", ""iTE:P1482:n1"", ""iTE:P1666:n1""]",完整摘要证实0=EMIM:TFSI、1=MMIM:DCA、3=EMIM乙基硫酸盐、9=EMIM:TCB；2还比较EMIM/Li TFSI，其他未给明确化学身份。不能把所有IL短称当同一材料。已知不同物种逐对拒绝，其余保留待定。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g025,25,uncertainty_boundary,10,uncertain,"[""draft:v2:iTE:4663080f148d4f8a3be6"", ""draft:v2:iTE:f0923fb6c751938ca659""]","[""iTE:P0649:n2"", ""iTE:P0967:n2"", ""iTE:P1125:n2"", ""iTE:P1140:n2"", ""iTE:P1193:n2"", ""iTE:P1551:n1"", ""iTE:P1757:n2"", ""iTE:P1761:n2"", ""iTE:P1883:n2"", ""iTE:P1901:n2""]",0-7/9均为电子价导带能隙，直接间接描述是材料背景；8段混合讨论18电子半导体隙及单自旋隙，不能确认该节点具体对象。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g321,321,accepted_group_reference,2,accept,"[""draft:v2:iTE:aaec651869be65bd089c""]","[""iTE:P0938:n4"", ""iTE:P1750:n2""]",两处均为带电流体/通道电动效应产生的streaming potential，首段明确与Soret热电势并列区分。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g301,301,accepted_group_reference,2,accept,"[""draft:v2:iTE:0bedef5afb7b9359a276""]","[""iTE:P1207:n2"", ""iTE:P1377:n2""]",补充上下文显示第一篇超离子Ag+材料相变，第二篇明确有序无序/超离子转变；两处均为该相变温度参数。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
