文章名,期刊名,DOI,年份,摘要,材料,机制
A perspective on stretchable ionic thermoelectric supercapacitors for wearable applications: Present and challenges,APPLIED PHYSICS LETTERS,10.1063/5.0174133,2023,"The conversion of sustainable heat sources from the human body into electricity is a promising strategy for self-powered temperature monitoring and power supplies in wearable electronics. Recently, ionic thermoelectrics (i-TEs) have gained considerable attention because of their Seebeck coefficients (mV K-1), which are orders of magnitude larger than those of conventional electronic TEs (e-TEs). In particular, i-TE supercapacitors (ITESCs) based on thermodiffusion under a temperature gradient in redox-free electrolytes exhibit Seebeck coefficients larger than 10 mV K-1. This characteristic solves the requirement for numerous pairs of p/n type TE legs to achieve sufficient output voltage, thereby substantially minimizing device complexity. Therefore, the development of stretchable and wearable ITESCs capable of harvesting human-generated thermal energy is beneficial for future wearable platforms. From this perspective, recent studies have been summarized on stretchable i-TE electrolytes, which hold considerable potential for use in wearable ITESCs and sensors. Furthermore, the challenges of recent ITESCs have been presented, and the perspectives for the development of fully stretchable ITESCs have been provided for future wearable applications.",stretchable ionic thermoelectric supercapacitors based on redox-free i-TE electrolytes,thermodiffusion in stretchable electrolytes creates large Seebeck coefficients for wearable heat harvesting and self-powered sensing
Voltage Bias Stress Effects and Electronic Stability of ?-Conjugated Crosslinked Tin Halide Perovskites,ACS APPLIED ENERGY MATERIALS,10.1021/acsaem.2c02050,2022,"The development of Sn-based metal halide perovskites (MHP) for thermoelectric applications along with many other device applications has thus far been limited by self-doping degradation and ion migration. Each of these effects decreases the electronic stability and prevents Sn MHPs from performing at their full potential. Motivated by the hypothesis that a pi-conjugated crosslinking agent may fill or block halide vacancies that would otherwise be oxygen-doped, we sought to perform a detailed study of the morphological and electronic degradation of Sn MHPs when 3-aminophenyl boronic acid (3APBA) is introduced. The level of p-type self-doping in Sn MHPs was modified by controlling the ratio of pi-conjugated crosslinking agent to Sn MHP in solution, which significantly impacts the electronic structure and thermoelectric properties of Sn MHPs. Additionally, these findings suggest that the incorporation of crosslinking agents can limit voltage bias stress effects caused by ion migration, which could be applied to a broad range of MHP materials that experience internal instabilities due to ionic effects.",pi-conjugated crosslinked Sn metal halide perovskites with 3-aminophenyl boronic acid,"crosslinking agents fill/block halide vacancies, reduce self-doping degradation, and limit voltage-bias ion-migration instability"
Structural and electrical properties of selected La1-xSrxCo0.2Fe0.8O3 and La0.6Sr0.4CO0.2Fe0.6Ni0.2O3 perovskite type oxides,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2007.05.052,2007,"In this paper, the structural and transport properties of selected La1-xSrxCo0.2Fe0.8O3 (LSCF) perovskites and La0.6Sr0.4Co0.2Fe0.6Ni0.2O3 (LSCFN64262) perovskite are presented. Crystal structure of the samples was characterized by means of X-ray studies with Rietveld method analysis. DC electrical conductivity and thermoelectric power were measured at a wide temperature range (80-1200 K) in air. For La0.2Sr0.8Co0.2Fe0.8O3 (LSCF2828) and La0.4Sr0.6Co0.2Fe0.8O3 (LSCF4628) perovskites a maximum observed on electrical conductivity dependence on temperature exists at about 750 K. It can be associated with an appearance of oxygen vacancies and implies a mixed ionic-electronic transport. A growing amount of oxygen vacancies at higher temperatures causes a decrease in the electrical conductivity due to a recombination mechanism associated with lowering of the average valence of 3d metals. A similar characteristic was found for LSCFN64262 perovskite, which also exhibits a relatively high electrical conductivity. (c) 2007 Elsevier B.V. All rights reserved.",La1-xSrxCo0.2Fe0.8O3 and La0.6Sr0.4Co0.2Fe0.6Ni0.2O3 perovskite oxides,"high-temperature oxygen vacancies produce mixed ionic-electronic transport and lower 3d-metal valence, causing conductivity maxima and subsequent recombination-driven decline"
Thermodynamic analysis of the filling fraction limits for impurities in CoSb3 based on ab initio calculations,ACTA MATERIALIA,10.1016/j.actamat.2007.12.012,2008,"The thermodynamic stabilities of alkaline earth (Ca, Sr and Ba), and rare earth (La, Cc and Yb), filled CoSb3 skutterudites have been studied using a plane-wave density functional method. By combining the formation energy of inserting an impurity into the intrinsic void of CoSb3 and that of secondary phases ISb2 and CoSb2, it is found that the filling fraction limit (FFL) or the maximum filling fraction of an impurity I corresponds to the minimum formation energy for a mixed chemical reaction route that results in the formation of filled skutterudite IyCO4Sb12 at the maximum filling as well as the formation of secondary phases. Theoretically estimated FFLs of various impurities in the voids of CoSb3 are in good agreement with the reported experimental data. A schematic phase diagram for filled CoSb3 is given. Discussion on the effect of the ionic radius of a filler and the content of Sb on FFL is presented. (c) 2007 Acta Materialia Inc. Published by Elsevier Ltd. All rights reserved.","alkaline-earth and rare-earth filled CoSb3 skutterudites with Ca, Sr, Ba, La, Ce, and Yb fillers","filler insertion energy, secondary phase formation, filler ionic radius, and Sb content set thermodynamic filling fraction limits"
Toward the thermodynamic modeling of reacting ionic mixtures,CONTINUUM MECHANICS AND THERMODYNAMICS,10.1007/s00161-014-0334-0,2014,"Based on the Muller-Liu entropy principle and the axioms of constitutive theory, a continuum model for reacting ionic mixtures is presented. The influence of microscopic structure on the mixture dynamics is taken into account through the thermodynamics of polar materials. Moreover, mechanical balance laws for classical mixtures under influence of electromagnetic fields and quasi-electrostatic Maxwell's equations are briefly shown. With an appropriate constitutive model for a diluted and isotropic mixture of non-volatile solutes and by considering the same temperature field for all constituents, constraints on constitutive quantities are imposed, and the conditions for the thermodynamic equilibrium are established from the entropy principle. Furthermore, the nonlinear nature of chemical reactions as well as the reciprocal nature of some irreversible processes is highlighted. Unlike the classical approach for electrolyte solutions, the current constitutive model incorporates thermoelectric and electro-kinetic phenomena into the phenomenological equations, providing a more comprehensive approach of electrolyte solutions dynamics.",reacting ionic mixtures in continuum thermodynamic model,"entropy-principle constitutive constraints couple chemical reactions with thermoelectric, electrokinetic, and electrolyte-solution transport phenomena"
Promoting Room-Temperature n-type Bismuth Telluride Thermoelectrics via High-Potential Barrier Heterointerfaces,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.5c01400,2025,"The donor effect of polycrystalline n-type bismuth telluride (Bi2Te3) during sample preparation usually results in the peak thermoelectric figure of merit (ZT) at temperatures above 400 K, severely restricting its application in the room-temperature (RT) range. A leap in RT performance requires innovative strategies that replace conventional methods of regulating point defects with limited effectiveness. We demonstrate excellent thermoelectric performance with an RT figure of merit, ZT = 1.2, and a maximum ZT = 1.3 at 325 K, by regulating the high-potential barrier heterointerfaces composed of La2O3 nanoparticles (NPs) and Bi2Te2.7Se0.3 (BTS). The created energy barriers at grain boundaries scatter and localize carriers through O-Bi ionic bonding and O-Te hybridization, enhancing the density of states in adjacent regions and leading to a rapid rise in the RT Seebeck coefficient (from 148.67 mu V K-1 to 222.84 mu V K-1 at 300 K). Another aspect of La2O3 NPs, as the second term of nano-oxide, introduces multiscale defect-scattering phonons, thereby enhancing thermal performance. Finally, at temperature difference Delta T = 10 K, a maximum output voltage and power, V max = 239.73 mV and P max= 10.50 mW, can be achieved with the fabricated TE module. Our findings underscore the full potential for promoting the performance of thermoelectric materials in the lower temperature region via high-energy barrier interface engineering.",n-type Bi2Te2.7Se0.3 with La2O3 nanoparticle high-potential-barrier heterointerfaces,O-Bi ionic bonding and O-Te hybridization create carrier energy barriers/density-of-states enhancement while La2O3 defects scatter phonons
"Systematic Study on Electronic, Mechanical, and Thermal Transport Properties of Germanium Antimony Selenide Telluride Alloy by a First-Principles Approach",ACS APPLIED ENERGY MATERIALS,10.1021/acsaem.3c00986,2023,"Ge2Sb2Se4Te alloy hasmost recentlyexhibited its outstanding optical properties for non-volatile photonicstorage applications, while its electrical and thermal transport propertieswere rarely reported, thus limiting its application versatility. Toovercome the above issue, we performed a detailed and systematic studyon the electrical, mechanical, and thermal transport properties ofGe(2)Sb(2)Se(4)Te alloy using first-principlescalculations. The results show that Young's modulus and shearmodulus of Ge2Sb2Se4Te are anisotropic,originating from its layered crystal structure. Besides, Poisson'sratio suggests that the in-plane bonding of Ge2Sb2Se4Te was mainly ionic-covalent bonding, while the out-of-planebonding was of van der Waals (vdW) interaction character. The chemicalbond difference between in-plane and out-of-plane directions inducesstrong phonon anharmonicity and phonon thermal transport anisotropy.Therefore, layered Ge2Sb2Se4Te exhibitedlow phonon group velocity and short phonon lifetime, resulting inencouragingly low lattice thermal conductivities of 4.45, 3.54, and0.41 W/mK along the x-axis, y-axis,and z-axis at 300 K, respectively. Furthermore, thecalculated electronic structure revealed the metallicity characterof Ge2Sb2Se4Te alloy without a pronouncedbandgap, which made this material applicable to thermal insulationmaterials rather than traditional thermoelectric materials. This workwas useful to promote the application of Ge2Sb2Se4Te in the field of engineering thermal management andstorage devices based on the optical-thermal mechanism.",layered Ge2Sb2Se4Te alloy,"anisotropic ionic-covalent in-plane bonding and van der Waals out-of-plane bonding create strong anharmonicity, anisotropic phonon transport, and very low cross-plane thermal conductivity"
"Effects of tilling atoms Ba, Ce, Y and substituting atoms Fe, Ni on lattice thermal conductivity of RyMxCO4-xSb12",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2004.08.105,2005,"Effects of filling atoms with different ionic radiuses Ba, Ce, Y and different substituting atoms Fe, Ni on the lattice thermal conductivity of filled RyMxCo4-x Sb-12 are systematically studied. The results show that the lattice thermal conductivity decreases significantly by filling Ba, Ce, Y atoms in Sb-icosahedron voids, and the reducing range of the lattice thermal conductivity increases with the ionic radii of Ba2+, Ce3+ and Y3+ decreasing. The lowest lattice thermal conductivity and strongest rattling actions of filling atoms on scattering of phonons are obtained when the Sb-icosahedron voids are partly filled. The lattice thermal conductivity of RyMxCo4-xSb12 decreases greatly by substituting Co with Fe or Ni, and the substituting atoms Ni are more effective than Fe in reducing lattice thermal conductivity. (c) 2004 Published by Elsevier B.V.","filled skutterudites RyMxCo4-xSb12 with Ba, Ce, Y fillers and Fe/Ni substitution","partial filling of Sb-icosahedron voids creates rattling phonon scattering, and smaller filler ionic radius plus Ni/Fe substitution lowers lattice thermal conductivity"
Synthesis of Bi2Te3 and (BixSb1-x)2Te3 nanoparticles using the novel IL [C4mim]3[Bi3I12],DALTON TRANSACTIONS,10.1039/c6dt02361d,2016,"The novel Bi-containing reactive ionic liquid [C(4)mim](3)[Bi3I12], which was synthesized in quantitative yield by equimolar reaction of BiI3 and [C(4)mim] I, was used as a novel Bi-source for the ionothermal synthesis of Bi2Te3 nanoparticles by reaction with (Et3Si)(2)Te in the ionic liquid [C(4)mim] I. The solid state structure of [C(4)mim] (3)[Bi3I12] was determined by single crystal X-ray diffraction. In addition, the ionothermal synthesis of the single source precursor (Et2Sb)(2)Te and [C(4)mim](3)[Bi3I12] yielded the ternary (BixSb1-x)(2)Te-3 (x = 0.25, 0.5, 0.75) nanoparticles. The chemical composition and phase purity of the tetradymite-type materials were determined by EDX and XRD and the surface composition of the nanoparticles was further investigated by IR and XPS. In addition, the morphology of the nanoparticles was investigated by SEM and TEM.","Bi2Te3 and (BixSb1-x)2Te3 nanoparticles synthesized from [C4mim]3[Bi3I12], [C4mim]I, (Et3Si)2Te, and (Et2Sb)2Te","Bi-containing reactive ionic liquid supplies Bi and ionothermal conditions control tetradymite nanoparticle composition, phase purity, and morphology"
n-type conduction in Pb doped Se-In chalcogenide glasses,JOURNAL OF APPLIED PHYSICS,10.1063/1.365397,1997,"This paper reports on the p to n transition in Pb doped Se-In chalcogenide glasses. Measurements of thermoelectric power in the temperature range 300 K less than or equal to T less than or equal to 315 K, dc conductivity in the temperature range 100 less than or equal to T less than or equal to 300 K, and optical band gap (E-g(opt)) have been carried out for Se75In25-xPbx (x=0,5,10,15) samples. The p-n transition occurs with very low addition of Pb impurity (5 at. %). The conductivity and pre-exponential factor also change by five to six orders of magnitude with Pb doping. Results are explained on the basis of the formation of ionic Pb-Se bonds, instead of covalent bonds. Formation of ionic bonds disturbs the equilibrium between the charged defect states of Se-In glass and unpins the Fermi level and thus leads to n-type conduction in these glasses. (C) 1997 American Institute of Physics.",Pb-doped Se75In25-xPbx chalcogenide glasses,"ionic Pb-Se bond formation disturbs charged defect equilibrium, unpins the Fermi level, and drives p-to-n conduction transition"
Enhancing the thermoelectric performance of Cu3SnS4-based solid solutions through coordination of the Seebeck coefficient and carrier concentration,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c7ta05253g,2017,"Improving the thermoelectric (TE) performance of Cu3SnS4 is challenging because it exhibits a metallic behavior, therefore, a strategy should be envisaged to coordinate the carrier concentration (n(H)) and Seebeck coefficient (alpha). The coordination in this work has been realized through the Fermi level (E-f) unpinning and shifting towards the conduction band (CB) via addition of excess Sn in Cu3SnS4. As a result, the solid solution Cu3Sn1+xS4 (x = 0.2) has a moderate alpha(178.0 mu V K-1) at 790 K and a high n(H) (1.54 x 10(21) cm(-3)) value. Along with the lowest lattice thermal conductivity k(L) (0.39 W K-1 m(-1)) caused by the increased phonon scattering by carriers, the highest ZT value of 0.75 is attained at similar to 790 K. This value is 2.8 times that of the stoichiometric Cu3SnS4, and stands among the highest for ternary Cu-Sn-S sulfide thermoelectrics at the corresponding temperatures. More importantly, this approach used in the case of ternary Cu3SnS4 provides a guidance or reference to improve the TE performance of other materials.","Cu3Sn1+xS4 solid solutions with excess Sn, especially Cu3Sn1.2S4","excess Sn unpins and shifts the Fermi level, coordinating high Seebeck coefficient with high carrier concentration while carrier phonon scattering lowers lattice thermal conductivity"
"Ab-initio investigation of structural, electronic, thermoelectric and optical properties of Full-Heusler X2MnB (X = Ti, Zr) for energy harvesting applications",INORGANIC CHEMISTRY COMMUNICATIONS,10.1016/j.inoche.2024.113240,2024,"In this manuscript comprehensive first-principles calculations have been presented for Full-Heusler X2MnB (X = Ti, Zr) compounds. This work includes detailed observations of the structural stability, origin of the transport phenomenon, optical properties, and electronic response. Structural parameters support the previous findings by confirming structural stability in the non-magnetic phase. Ti2MnB (Zr2MnB) valence band maxima and conduction band minima have bandgaps of 0.217 (0.301) eV and 0.181 (0.209) eV for PBE-GGA (mBJ) approximations which lie between L-L symmetry points. Due to the comparative measurements of the two states, the DOS results show that the Ti-1/Zr-1, Ti-2/Zr-2 Mn eg, and t(2g) states mainly contribute to the valence band region for Ti2MnB and Zr2MnB alloys, confirming their ionic nature. The computation of the overall electronic parameters' reveals semiconducting nature. Thermoelectric properties have been calculated as a function of temperature in the 100-1200 K range. The positive values of Seebeck coefficients specify p-type character of X2MnB While at 300 K, Zr2MnB and Ti2MnB showed the highest Seebeck coefficients, measuring roughly values of 268 (mu K/V) and 243 (mu K/V), respectively. These values suggest that the material exhibits high thermoelectric performance. Though high optical absorption coefficient and low reflectivity in the visible and ultra violet regions, confirms use of these materials in solar cell applications. These findings suggest that material holds great potential for use in thermoelectrical applications which can support in upcoming experimental considerations.",full-Heusler Ti2MnB and Zr2MnB,"ionic-state electronic structure, narrow semiconducting gaps, p-type Seebeck response, and visible/UV absorption support thermoelectric and solar applications"
Tailoring Zr-based perovskites through a-site substitution: a first-principles investigation of CaZrO3 and LaZrO3,INDIAN JOURNAL OF PHYSICS,10.1007/s12648-025-03830-7,2026,"In this study, we investigate the structural, electronic, mechanical, and optical properties of CaZrO3 and LaZrO3 perovskites to evaluate their potential in advanced functional materials. Our first-principles calculations reveal a striking contrast in electronic band dispersion: LaZrO3 exhibits broader band curvature and higher density of states near the conduction band edge, indicating enhanced carrier excitation, while CaZrO3 shows flatter bands that suggest heavier charge carriers and improved dielectric isolation. Partial density of states (PDOS) analysis attributes these differences to the role of A-site cation substitution, with La3+ contributing significantly to conduction band activity. Mechanically, CaZrO3 is stiffer and more covalent, favoring applications requiring structural robustness, whereas LaZrO3 demonstrates superior ductility and ionic bonding character. Optically, LaZrO3 shows higher refractive indices, broader absorption across the UV range, and more pronounced plasmonic features, positioning it as a prime candidate for optoelectronic and dielectric applications. Furthermore, thermoelectric assessments of CaZrO3 highlight stronger power-factor and Seebeck coefficient, underlining its promise for energy conversion technologies. These findings underscore the versatility of A-site engineering in tuning perovskite performance for targeted applications.",A-site-engineered perovskites CaZrO3 and LaZrO3,"Ca/La substitution changes cation contribution, band dispersion, covalent versus ionic bonding, dielectric/optical response, and thermoelectric power factor"
Liquid-like dynamics in a solid-state lithium electrolyte,NATURE PHYSICS,10.1038/s41567-024-02707-6,2025,"Superionic materials represent a regime intermediate between the crystalline and liquid states of matter. Despite the considerable interest in potential applications for solid-state batteries or thermoelectric devices, it remains unclear whether the fast ionic diffusion observed in superionic materials reflects liquid-like dynamics or whether the hops of mobile ions are inherently coupled to more conventional lattice phonons. Here we reveal a crossover from crystalline vibrations to relaxational dynamics of ionic diffusion in the superionic compound Li6PS5Cl, a candidate solid-state electrolyte. By combining inelastic and quasi-elastic neutron-scattering measurements with first-principles-based machine-learned molecular dynamics simulations, we found that the vibrational density of states in the superionic state strongly deviates from the quadratic behaviour expected from the Debye law of lattice dynamics. The superionic dynamics emerges from overdamped phonon quasiparticles to give rise to a linear density of states characteristic of instantaneous normal modes in the liquid state. Further, we showed that the coupling of lattice phonons with a dynamic breathing of the Li+ diffusion bottleneck enables an order-of-magnitude increase in diffusivity. Thus, our results shed insights into superionics for future energy storage and conversion technologies.",superionic lithium electrolyte Li6PS5Cl,overdamped phonon quasiparticles and Li+ diffusion-bottleneck breathing create liquid-like dynamics and order-of-magnitude diffusivity increase
"Highly Conductive, Ultrastrong, and Flexible Wet-Spun PEDOT:PSS/ Ionic Liquid Fibers for Wearable Electronics",ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.3c00155,2023,"Conductive poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) (PEDOT:PSS) fibers with high electrical conductivity, flexibility, and robustness are urgently needed for constructing wearable fiber-based electronics. In this study, the highly conductive (4288 S/cm), ultrastrong (a high tensile strength of 956 MPa), and flexible (a low Young's modulus of 3.8 GPa) PEDOT:PSS/1-ethyl-3-methylimidazolium dicyanamide (EMIM:DCA) (P/ED) fiber was prepared by wet-spinning and a subsequent H2SO4-immersion-drawing process. As far as we know, this is the best performance of the PEDOT:PSS fiber reported so far. The structure and conformation of the P/ED fiber were characterized by FESEM, XPS, Raman spectroscopy, UV-vis-NIR spectroscopy, and WAXS. The results show that the high performances of the P/ED fiber are mainly attributed to the massive removal of PSS and high degree of crystallinity (87.9%) and orientation (0.71) of PEDOT caused by the synergistic effect of the ionic liquid, concentrated sulfuric acid, and high stretching. Besides, the P/ED fiber shows a small bending radius of 0.1 mm, and the conductivity of the P/ED fiber is nearly unchanged after 1000 repeated cycles of bending and humidity changes within 50-90%. Based on this, various P/ED fiber based devices including the circuit connection wire, thermoelectric power generator, and temperature sensor were constructed, demonstrating its wide applications for constructing flexible and wearable electronics.",wet-spun PEDOT:PSS/EMIM:DCA fibers processed with H2SO4 immersion drawing,"ionic liquid, sulfuric acid, and stretching remove PSS and increase PEDOT crystallinity/orientation, producing highly conductive strong wearable fibers"
Electronic structure calculations for PrFe4P12 filled skutterudite using extended huckel tight-binding method,INTERNATIONAL JOURNAL OF MODERN PHYSICS B,10.1142/S0217979203022866,2003,"To gain insight into the electronic properties of PrFe4P12 filled skutterudite, band electronic structure calculations, total and projected density of states, crystal orbital overlap population and Mulliken population analysis were performed. The energy bands yield a semi-metallic behavior with a direct gap (at Gamma) of 0.02 eV. Total and Projected Density of States provided information of the contribution from each orbital of each atom to the total Density of States. Moreover, the bonding strength between some atoms within the unit cell was obtained. Mulliken Population Analysis suggests ionic behavior for this filled skutterudite.",PrFe4P12 filled skutterudite,Mulliken and tight-binding analysis indicate ionic bonding behavior in a semimetallic filled skutterudite electronic structure
Stretchable and Biocompatible Transparent Electrodes for Multimodal Biosignal Sensing from Exposed Skin,ADVANCED ELECTRONIC MATERIALS,10.1002/aelm.202300075,2023,"Real-time health monitoring technology in daily life requires mechanically robust and transparent electrodes for multimodal biosignal sensing from exposed human epidermis. Here, highly stretchable transparent electrodes comprising a water-dispersed conductive polymer, poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) (PEDOT:PSS), and a protic ionic liquid (IL), 3-methylimidazolium:bis(trifluoromethylsulfonyl)amide (p-MIM:TFSI) are reported. Owing to the high water miscibility of p-MIM:TFSI and its favorable ion exchange capability with PEDOT:PSS, PEDOT:PSS/p-MIM:TFSI transparent electrodes show enhanced electrical conductivity (sigma = 450 S cm(-1)) and thin-film stretchability represented by crack onset strain (epsilon(c)) exceeding 50%. These electrodes outperform other PEDOT:PSS electrodes processed with an aprotic counterpart, 1-ethyl-3-methylimidazolium(EMIM):TFSI, or a traditional ionic salt, Li:TFSI. The PEDOT:PSS/p-MIM:TFSI thin-film electrodes are also biocompatible and conformally adhere to human skin; therefore, multimodal biosignals including electrocardiogram, electrooculogram, and electromyogram with high signal-to-noise ratios from exposed epidermis on human faces and arms under various measurement conditions mimicking daily activities are collected. Considering the importance of light penetration through human skin for stable biological activity during biosignal monitoring, the results can broaden the applicability of daily-use wearable biosignal sensors by applying them to exposed human skin.",PEDOT:PSS/p-MIM:TFSI transparent stretchable electrodes compared with EMIM:TFSI and Li:TFSI,"protic ionic liquid water miscibility and ion exchange with PEDOT:PSS improve conductivity, stretchability, skin adhesion, and biosignal sensing"
"High hydrogen storage capacity, ideal desorption temperature, and robust stability in Li3XH9 (X=Rh/Ir): Strain deformation",JOURNAL OF ENERGY STORAGE,10.1016/j.est.2025.118452,2025,"The evolution towards sustainable energy systems requires the development of advanced materials that effectively tackle the challenges of storage and conversion. On this subject, the present study provides a first-principles examination of the cubic Li3RhH9/Li3IrH9 hydride, exploring its potential as a hydrogen storage material. The calculated formation enthalpy (Delta H-f ) of-36.83/-38.61 kJ/mol center dot H-2, desorption temperature (T-des.) of 283.29/297.03 K, and gravimetric capacity (Cwt%) of 6.83/4.09 wt%, exhibit impressive hydrogen storage capabilities. Interestingly, hydrostatic strain (+/- 5%) keeps the Delta H-f and T-des. values within the optimal range, thereby confirming the material's resilience and suitability for external circumstances. Moreover, the mechanical stability of the materials is validated by satisfying the Born stability criteria. The brittle aspect is determined by the Pugh's ratio (B/G=1.33/1.59) and negative Cauchy pressure (C-p = -6.43/-2.72) for the Li3RhH9/Li3IrH9 motif. Besides, the Poisson's ratio (v = 0.20/0.24) and the G/B ratio of 0.74/0.62 provide evidence for the dominance of ionic bonding feature. This is further confirm from the electronic charge density distribution, which indicates minimal electron sharing between atoms, corresponding to ionic bonding. Along with this, the phonon dispersion curves confirm the dynamical stability, exhibiting no imaginary modes throughout the entire Brillouin zone. Finally, the electronic structure reveals intrinsic metallic aspects, marked by a zero band gap, which is advantageous for enhancing thermoelectric performance through increased electrical and thermal conductivities.",cubic Li3RhH9 and Li3IrH9 hydrides,"dominant ionic bonding, stable phonons, metallic electronic structure, and strain-resilient formation enthalpy/desorption temperature support hydrogen storage and thermoelectric relevance"
Optimisation of octahedral iron(II) and cobalt(II) spin-crossover metal complex for thermoelectric application,MATERIALS CHEMISTRY AND PHYSICS,10.1016/j.matchemphys.2019.04.062,2019,"Four spin-crossover (SCO) complexes with general formulae, [M-2(CH3COO)(4)(L)(2)] and [M(L)(3)](BF4)(2), where M = Fe(II) and Co(II), containing extended pi-conjugated bipyridyl ligand and N-3-Schiff bases appended with linear C16 carbon chains at the N atoms were successfully synthesized and characterized. Correlation of its structural properties to thermoelectric behavior is investigated: (1)structure of complexes, (2)choice of metal centre and (3)choice of counter ions. It was found that the structure of the molecule, i.e. molecular versus ionic has the largest impact on the SCO behavior. We found that the molecular complexes with higher percentage of high-spin (73.4% HS for Fe-dinuc and 78% HS for Co-dinuc) have produced the highest Seebeck values in mV K-1 (-0.57 +/- 0.01 for Fe-dinuc and -0.58 +/- 0.01 for Co-dinuc) due to the weaker metal-to-ligand bonds resulting in the increase mobility of the I- during agglomeration formed, thus increased the entropy in the solution. Additionally, choice of metal centre also was a factor to determine the magnitude of Seebeck performance due to the spin state transition during electron transfer. For counter ion effect, it has the effect of determining the sign of the Seebeck value where I- is easier to oxidize/reduce process compared to CH3COO- and BF4- due to lower redox potential. These findings will assist in a systematic molecule design pathway for high potential SCO complexes for thermoelectric applications.",Fe(II) and Co(II) spin-crossover complexes [M2(CH3COO)4(L)2] and [M(L)3](BF4)2 with bipyridyl/Schiff-base ligands,"molecular versus ionic complex structure, spin state, metal-ligand bonding, and counterion redox mobility determine Seebeck magnitude and sign"
"Impact of halogens modifications on physical characteristics of lead-free hybrid double perovskites compounds Cs2YCuX6 (X=Cl, Br, and I) for energy storage applications: First principles investigations",CHEMICAL PHYSICS,10.1016/j.chemphys.2024.112449,2025,"The purpose of this study is to examine the structural, electronic, optical, and thermoelectric features of novel double perovskite Cs2YCuX6 (X=Cl, Br, and I) for the first time in order to look for potential applications in solar power systems. Using first-principles calculations based on the widely recognized Density Functional Theory (DFT) and the PBE-Generalized Gradient Approximation (GGA) functional included in the WEIN2k package, the characteristics of the perovskites were determined. From the results of band structure and Total Density of States (TDOS) the energy band gap of Cs2YCuCl6, Cs2YCuBr6, and Cs2YCuI6 are observed 2.34 eV, 2.03 eV and 1.68 eV respectively. The PDOS outcomes shows that the formation of the valance and conduction bands is due to the hybridization of Cu-3d and halogen ions such that (X=Cl, Br, and I). The calculated values of goldsmith's tolerance factor and formation energy reveal that the examined halide perovskites are structurally and thermodynamically stable. The electron localization function ELF and bader charge analysis show that the ionic nature between Cs and halogen ions X. Regarding the optical behavior, Cs(2)YCuI(6)has shown maximum absorption of electromagnetic radiation and conductivity in the ultraviolet and visible region i.e. (128-471 nm) which makes it a suitable candidate for optoelectronic and solar cell applications. The thermoelectric properties of the studied compounds have been calculated by means of the Boltztrap code. The presented findings unveil that amongst all studied compoundsCs(2)YCuI(6) is best candidate for solar cell and thermoelectric applications due to higher conductivity, larger absorption range, significant Seebeck coefficient and higher Power factor.","lead-free hybrid double perovskites Cs2YCuCl6, Cs2YCuBr6, and Cs2YCuI6","halogen substitution tunes band gap, Cu-halogen hybridization, Cs-X ionic bonding, optical absorption, conductivity, Seebeck coefficient, and power factor"
"Enhanced electronic and thermoelectric properties of p-type doped filled skutterudites RFe4Sb12 (R=Pr, Nd)",JOURNAL OF APPLIED PHYSICS,10.1063/5.0019797,2020,"A semimetallic type of electronic profile has been predicted for RFe4Sb12 (R=Pr, Nd) from a first-principles investigation, where the presence of a small energy bandgap above the Fermi energy level (E-F) is a key feature. The E-F lies at the top of the valence band and it is crossed by a single band more than twice, which improves the band concentration and electronic specific heat as reflected by the high Seebeck coefficient. The doping of a heavy lanthanide atom at the center of the cage formed by pnictogen atoms has a significant effect on the electronic structure that enhances the Seebeck coefficient and the thermoelectric power factor. The heavy atom at the center also dampens the lattice vibration and lowers the lattice thermal conductivity. The Nd-doped system shows an enhanced Seebeck coefficient with the highest power factor among the sample alloys. Moreover, due to significant reduction in the lattice thermal conductivity from 2.46W/mK to 0.54W/mK, a maximum ZT value of similar to 1.11 at 800K has been observed for an Nd-doped system. The covalent nature of PrFe4Sb12, Pr-doped NdFe4Sb12, and Nd-doped PrFe4Sb12 and the ionic nature of NdFe4Sb12 have been confirmed, where Pr-doped NdFe4Sb12 is the stiffest and a highly rigid material with strong bonding forces among the constituent atoms. The results presented in this manuscript open the possibilities for further exploration of center atom-doped filled skutterudites with improved Seebeck coefficient and reduced lattice thermal conductivity, which are promising materials for thermoelectric applications",filled skutterudites PrFe4Sb12 and NdFe4Sb12 with Pr/Nd center-atom doping,lanthanide cage filling enhances Seebeck/power factor and damps lattice vibrations; Nd lowers thermal conductivity most strongly
