文章名,期刊名,DOI,年份,摘要,材料,机制
"A Polymer Film with Very High Seebeck Coefficient and Overall Thermoelectric Properties by Secondary Doping, Dedoping Engineering and Ionic Energy Filtering",ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202411815,2025,"Thermoelectric (TE) materials are significant for sustainable development because they can be used to harvest waste heat into electricity. Organic TE materials have unique merits including high mechanical flexibility, low cost, and low intrinsic thermal conductivity. But their TE properties particularly the Seebeck coefficient are notably lower than the inorganic counterparts. Here, a poly(3,4-ethylenedioxythiophene):polystyrene sulfonate (PEDOT:PSS) film is reported with a very high Seebeck coefficient and figure of merit (zT) at room temperature through secondary doping, dedoping engineering, and ionic energy filtering. The PEDOT:PSS films are successively treated with acid, base, and vitamin C that is a reductant, and then coated with 1-ethyl-3-methylimidazolium dicyanamide (EMIM:DCA) that is an ionic liquid. This can exhibit a record-high Seebeck coefficient and power factor of 111 mu V K-1 and 1285 mu W m(-1) K-2, respectively, and the corresponding zT value is 1.05. This is the highest zT value for polymers and polymer composites, and it is comparable to that of the best inorganic TE materials.",PEDOT:PSS film treated by acid/base/vitamin C and coated with EMIM:DCA,"secondary doping, dedoping, and ionic-liquid energy filtering raise Seebeck coefficient, power factor, and zT"
An ionic thermoelectric ratchet effect in polymeric electrolytes,JOURNAL OF MATERIALS CHEMISTRY C,10.1039/d2tc01130a,2022,"Ionic thermoelectric materials can generate extraordinarily high thermal voltage under small temperature differences due to their orders of magnitude larger Seebeck coefficient than that of electronic materials. Together with their low-cost, environmentally friendly compositions and solution processability, electrolytes have brought renewed prosperity in thermoelectric fields. Despite the rapid growing number of good-performance materials, yet to be implemented in devices, the main challenge is the understanding of the mechanism of the large Seebeck coefficient in practical electrolytes. Here, we show that the ion/polymer interaction in PEG based electrolytes does not only affect the mobility of the ions, but also has a great impact on the Seebeck coefficient. By delicately varying the types of solvent and the concentration of the solute, we could tune the molar conductivity of the electrolytes and correlate with the Seebeck coefficient. The linear relation between the Seebeck coefficient and the logarithm of the molar conductivity is in agreement with the recently reported thermoelectric ratchet effect in ions with hopping dynamics. This could lead to new design rules for ionic thermoelectrics.",PEG-based polymer electrolyte,ion/polymer interactions tune ion mobility and Seebeck coefficient; relation between Seebeck coefficient and molar conductivity supports ionic thermoelectric ratchet effect
Advanced n-type ionic hydrogel with simultaneously enhanced thermoelectric and mechanical performances via the synergy of hydrophilic and hydrophobic polymers,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d5ta06737e,2025,"Ionic thermoelectric (i-TE) gels are considered as promising candidates for wearable electronics as they are green and flexible, and directly convert low-grade waste heat into electricity. However, the comprehensive performance of n-type i-TE gels reported so far lags far behind the p-type owing to multiple conflicts among negative thermopower, ionic conductivity, strength, and toughness, hindering large-scale applications. Here, based on the good biocompatibility of polyvinyl alcohol (PVA) and poly(thioctic acid) (PTA), a bio-inspired design of a hydrophilic-hydrophobic dual network structure is developed for the first time to enhance the TE and mechanical properties simultaneously. The PTA undergoes stable coordination interaction with cations, while the PVA provides sufficient paths for anions; also, the dual network structure contributes to the mechanical properties. With the synergy of hydrophilic PVA and hydrophobic PTA, the optimized ionic hydrogel exhibits giant negative thermopower (-16.68 mV K-1), excellent ionic conductivity (1.084 S m(-1)), low thermal conductivity (0.36 W m(-1) K-1), high tensile strength (>4 MPa), huge elongation at break (>1300%), and superb toughness (>31 MJ m(-3)) in an ambient environment, representing the best research until now on n-type i-TE gels with such excellent TE and mechanical properties, comparable to the state-of-the-art p-type. Besides, the i-TE hydrogel also presents application potentials in temperature sensors and thermoelectric generators. This work creates a new milestone in advanced n-type i-TE gels by the synergy of various polymer-ion interactions.",PVA/PTA hydrophilic-hydrophobic dual-network n-type ionic hydrogel,PTA coordinates cations while PVA provides anion pathways; hydrophilic-hydrophobic dual network improves thermoelectric and mechanical properties
Electrode-dependent thermoelectric effect in ionic hydrogel fiber for self-powered sensing and low-grade heat harvesting,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2024.154970,2024,"Ionic thermoelectric materials show great significance for wearable energy devices, owing to the capability of the conversion between thermal and electrical energy. The two-dimensional massive structure which is difficult to integrate with fabrics of ionic thermoelectric materials, however, prevent them from realizing their full potential when employed in wearable electronics. In this work, ionic thermoelectric 1D PAM/LiTFSI4 hydrogel fibers with high aspect ratio, inherent flexibility, conductivity, anti-freezing, self-adhesion and self-healing properties are constructed by free radical polymerization technology based on a template strategy, which contains a PAM polymer matrix and an LiTFSI conductive material. Based on thermal diffusion, owing to the ion size difference, the covalent cross-linked polymer network and the electrode-dependent effect promote rapid transport of the cations and boost ion concentration difference, resulting in a huge ionic Seebeck coefficient of 19.02 mV K- 1. Meanwhile, embedding hydrogel fibers into the woven textile demonstrates a promising thermoelectric wristband with desirable human heat collection and electrical output capabilities. What's more, thanks to the introduction of LiTFSI, the microstructure and molecular network system of hydrogel fibers are reshaped, which significantly improved the ionic conductivity of hydrogel fiber, and endowed them with anti-freezing, selfadhesion and self-healing properties. The PAM/LiTFSI4 hydrogel fiber also has excellent strain and temperature sensing properties, which enable a variety of human signal monitoring. Besides, the hydrogel fiber-based sensor can realize self-powered sensing by generating a thermovoltage. Thus, combining the merits of one-dimensional structure, superior thermoelectric performances, sensing at low temperature, excellent adhesion, self-healing and anti-freezing properties together, believing that the PAM/LiTFSI4 hydrogel fiber will render new numerous in human signal monitoring and low-grade heat harvesting applications like wearable electronics and wearable energy supply devices.",PAM/LiTFSI4 ionic hydrogel fiber,"ion-size difference, covalently cross-linked PAM network, and electrode-dependent effects promote cation transport and ion concentration difference; LiTFSI improves conductivity and antifreezing/self-healing"
High-performance thermoelectric PEDOT:PSS fiber bundles via rational ionic liquid treatment,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2024.158104,2024,"Rapid growth of wearable technology generates increasing demand for lightweight and elastic energy harvesting systems. Among them, conducting polymer poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) (PEDOT: PSS) shows great potential for lightweight and flexible thermoelectric generators. However, the practical applications of PEDOT:PSS have been restricted by the low Seebeck coefficient and power factor. Here, PEDOT: PSS/1,3-dimethylimidazolium dicyanamide (MMIM:DCA) fiber bundles with enhanced thermoelectric performance have been fabricated by optimizing the content of ionic liquids (ILs), and the duration of dual posttreatment with H2SO4 and NaBH4. The as-prepared fiber bundles exhibit a high power factor of 91.8 mu W/m K-2 at 298 K. Detailed characterizations confirm that the phase separation and structural rearrangement of the polymer chains triggered by ILs ensure high charge carrier mobility, resulting in increased electrical conductivity. Meanwhile, the strong binding of DCA- to the PEDOT structure, combined with the hydrophilicity and potent reducing effect of MMIM+, synergistically alters the oxidation state of PEDOT, leading to an enhanced Seebeck coefficient. Moreover, the assembled flexible fiber bundle thermoelectric devices exhibit superior performance and usability, which show an output power density of 36.76 mu W cm- 2 with a temperature gradient of 25 K. This work offers valuable insights into the development of high-performance organic thermoelectric materials via the modulation of polymer chains.",PEDOT:PSS/MMIM:DCA fiber bundles treated with H2SO4 and NaBH4,ionic liquid triggers phase separation and polymer-chain rearrangement for high mobility; DCA- binding and MMIM+ reduction tune PEDOT oxidation state and Seebeck coefficient
Ionic Thermoelectric Figure of Merit for Charging of Supercapacitors,ADVANCED ELECTRONIC MATERIALS,10.1002/aelm.201700013,2017,"Thermoelectric materials enable conversion of heat to electrical energy. The performance of electronic thermoelectric materials is typically evaluated using a figure of merit ZT = sigma alpha 2T/lambda, where sigma is the conductivity, alpha is the so-called Seebeck coefficient, and lambda is the thermal conductivity. However, it has been unclear how to best evaluate the performance of ionic thermoelectric materials, like ionic solids and electrolytes. These systems cannot be directly used in a traditional thermoelectric generator, because they are based on ions that cannot pass the interface between the thermoelectric material and external metal electrodes. Instead, energy can be harvested from the ionic thermoelectric effect by charging a supercapacitor. In this study, the authors investigate the ionic thermoelectric properties at varied relative humidity for the polyelectrolyte polystyrene sulfonate sodium and correlate these properties with the charging efficiency when used in an ionic thermoelectric supercapacitor (ITESC). In analogy with electronic thermoelectric generators, the results show that the charging efficiency of the ITESC can be quantitatively related to the figure of merit ZT(i) = sigma i alpha i2T/lambda. This means that the performance of ionic thermoelectric materials can also be compared and predicted based on the ZT, which will be highly valuable in the design of high-performance ITESCs.",polystyrene sulfonate sodium polyelectrolyte in ionic thermoelectric supercapacitor,ionic figure of merit ZTi relates material thermoelectric properties to supercapacitor charging efficiency under humidity variation
Annealing Temperature Tuning of Thermoelectric Properties in Conductive Polymers: Transition from Ionic to Electronic Thermoelectrics,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.5c12734,2025,"Thermoelectric materials (TEMs) have attracted considerable interest for applications in low-grade energy harvesting, refrigeration, and sensing. Conductive polymers (CPs) represent an important class of TEMs, as they have garnered considerable attention for their dual functionality in facilitating ion transport through channel formation, while simultaneously enabling hole-electron conduction via conjugated networks. However, researchers have overlooked the connection between CP-based ionic thermoelectrics and electronic thermoelectrics. Here, we demonstrate tunable thermoelectric properties achieved exclusively through polymer annealing without any additional substance incorporation. For the PEDOT:PSS/EMIM:DCA composites, a distinct transition from ionic to electronic TEMs was observed for the first time upon annealing above 140 degrees C. Through comprehensive characterization techniques, we demonstrated that this transition originates from the construction of conductive networks induced by phase separation. Furthermore, by utilizing materials annealed at different temperatures, we constructed a hybrid ionic-electronic thermoelectric converter achieving energy density of 13.99 J m-2, more than 17-fold enhancement compared to a pure ionic thermoelectric converter. This work not only provides fundamental insights into charge transport in CPs but also provides insights into the design of high-performance TEMs.",PEDOT:PSS/EMIM:DCA composite annealed at different temperatures,"annealing-induced phase separation builds conductive networks, causing transition from ionic to electronic thermoelectric behavior"
Polycationic strategy and nanofiller synergy endow the dual network ionic liquid gel with excellent thermoelectric and mechanical properties,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.166105,2025,"Ionic liquid gels require a high ionic concentration load to achieve high thermoelectric performance, which creates a trade-off between thermoelectric performance, operational stability, and mechanical properties. To address this challenge, a novel dual network gel integrating polycationic strategy and nanofiller reinforcement is proposed. The cations of 1-ethyl-3-vinylimidazolium dicyanamide undergo polymerization, which enhance Seebeck coefficient and effectively address ion leakage and poor mechanical performance. The incorporation of of SiO2, modified graphene (mG), and Ti3C2Tx reduce crystallinity, strengthen interfacial phonon scattering, and introduce extensive hydrogen bonding, thereby improving both thermoelectric and mechanical performance. The novel gel achieves a giant Seebeck coefficient of 26.8 mV center dot K- 1(at 20 degrees C, 60 % relative humidity). Moreover, it exhibits remarkable stability indicated by stable performance during 5000 cycles, the stable dimensionless figure of merit (ZT) is 3.19 times as single network gel. The highly efficient stress dissipation network contributes to record-breaking mechanical properties, with a tensile strength of 14.3 MPa and an elongation of 535.7 %. Furthermore, the gel demonstrates enhanced flame resistance and anti-bacterial properties and is successfully applied in self-powered respiratory monitoring. This cationic self-polymerized modification strategy, combined with steric hindrance, phonon scattering and hydrogen bond reinforcement, provides a novel way for developing high performance ionic liquid gels.","dual-network ionic liquid gel from polymerized 1-ethyl-3-vinylimidazolium dicyanamide with SiO2, modified graphene, and Ti3C2Tx","polycationic polymerization improves Seebeck coefficient and suppresses ion leakage; nanofillers reduce crystallinity, scatter phonons, and reinforce hydrogen bonding"
N-type thermoelectric composite hydrogels enabling dual-channel ionic/electronic transport,ADVANCED COMPOSITES AND HYBRID MATERIALS,10.1007/s42114-025-01495-8,2025,"Thermoelectric hydrogels have drawn increasing research interest owing to their high ionic thermopower (alpha) values and superior mechanical stretchability. However, they are critically constrained by rapid dehydration and the poor interactions between polymeric frameworks and electrolytes, which fail to differentiate the diffusion rates of cations and anions under a certain temperature gradient (Delta T). This study reports a dual-channel ionic/electronic composite hydrogel implemented by directional freezing a cross-linked network of PEDOT:PSS-coated poly(vinyl alcohol) (PVA) and then immersion into an ionic electrolyte of CuCl2. Introducing 5 vol% conductive polymer PEDOT:PSS aqueous solution into the PVA hydrogel strengthened chemical coordination between the polymer matrix and Cu2+ ions to facilitate mobile Cl- ions, resulting in an ultrahigh alpha of -22.8 mV K-1, further elevated to - 33.8 mV K-1 via freezing-thawing cycles. Driven by Delta T, holes accumulate at the cold end of the composite hydrogel, in part neutralizing Cl- migration and mitigating open-circuit voltages to an equilibrium value, whereas holes drifting toward electrodes allow charge extraction to the external circuit. Notably, the composite hydrogel2 retained 90% of the peak voltage in a steady state at an optimum 0.5 M CuCl2. Furthermore, introducing CuCl2 doubles the water retention capacity of the hydrogel and simultaneously endows it with excellent re-usability and long-term stability. A hybrid thermoelectric generator delivers a stable output of -4.0 mV K-1 with a 100 k Omega external load. Such a device permits generating electricity continuously under not only temperature fluctuations but also a stable Delta T.",PEDOT:PSS-coated PVA/CuCl2 dual-channel ionic/electronic composite hydrogel,"PEDOT:PSS strengthens coordination between PVA matrix and Cu2+, facilitating Cl- migration; electronic holes partially neutralize ion migration and allow external charge extraction"
Experimental Study of the Thermoelectric Properties in Ionic Liquid plus Organic Solvent Hybrid System,JOURNAL OF CHEMICAL AND ENGINEERING DATA,10.1021/acs.jced.5c00230,2025,"The addition of organic solvents has proven to be an effective strategy for enhancing the thermoelectric performance of ionic thermoelectric materials. However, systematic studies on how organic solvents influence the thermoelectric properties of ionic liquids remain limited. Based on molecular structure and polarity considerations, four ionic liquid + organic solvent systems-(1-ethyl-3-methylimidazolium dicyanamide ([EMIM][DCA])/1-ethyl-3-methylimidazolium tetrafluoroborate ([EMIM][BF4]) + Dimethyl sulfoxide (DMSO)/Propylene carbonate (PC))-were selected. A two-wire 3 omega method was employed to measure thermal conductivity, along with a temperature gradient system for Seebeck coefficient measurements. The thermal conductivity, electrical conductivity, and Seebeck coefficient of the hybrid systems were investigated across various mass fractions and temperatures. The results indicate that selective solvation effects between ionic liquids and solvents can significantly enhance both electrical conductivity and Seebeck coefficient. At 25 degrees C, [EMIM][DCA] exhibited a 1.64-fold increase in the figure of merit with DMSO and a 0.90-fold increase with PC, while [EMIM][BF4] showed corresponding improvements of 1.62 and 0.92 times, respectively. Hybrid systems combining aprotic polar solvents with ionic liquids composed of asymmetric and highly polar ion pairs tend to exhibit superior thermoelectric performance.",[EMIM][DCA] or [EMIM][BF4] ionic liquids mixed with DMSO or propylene carbonate,selective solvation between ionic liquids and polar organic solvents enhances electrical conductivity and Seebeck coefficient
Ionic thermoelectric gating organic transistors,Nature Communications,10.1038/ncomms14214,2017,"Temperature is one of the most important environmental stimuli to record and amplify. While traditional thermoelectric materials are attractive for temperature/heat flow sensing applications, their sensitivity is limited by their low Seebeck coefficient (similar to 100 mu V K-1). Here we take advantage of the large ionic thermoelectric Seebeck coefficient found in polymer electrolytes (similar to 10,000 mu V K-1) to introduce the concept of ionic thermoelectric gating a low-voltage organic transistor. The temperature sensing amplification of such ionic thermoelectric-gated devices is thousands of times superior to that of a single thermoelectric leg in traditional thermopiles. This suggests that ionic thermoelectric sensors offer a way to go beyond the limitations of traditional thermopiles and pyroelectric detectors. These findings pave the way for new infrared-gated electronic circuits with potential applications in photonics, thermography and electronic-skins.",polymer electrolyte-gated low-voltage organic transistor,"large ionic thermoelectric Seebeck coefficient gates the organic transistor, amplifying temperature sensing far beyond a single thermoelectric leg"
Cation-Doped Ionic Thermoelectric Ionogels With Nonlinear Temperature-Voltage Response Characteristics,SMALL,10.1002/smll.202511926,2026,"As next-generation quasi-solid-state ionic thermoelectric materials, ionogels show great potential in low-grade waste heat recovery and efficient energy management, with their thermoelectric performance stemming from cation-anion diffusion rate differences under thermal gradients. In this study, a PVDF-HFP-based ionogels, achieving a thermopower of 23.7 mV K-1 and a power density of 102.8 mu W m-2 K-2 by manipulating ion-ion interactions is developed. Interestingly, precise control of the temperature difference, leading to nonlinear temperature-voltage characteristics. By doping a series of cations with different properties such as charge quantity and ionic radius, the ion-ion interactions are analyzed to explore the influencing mechanism on the nonlinear feature arising from the dynamic reconstruction of ion concentration. This feature facilitates thermal switching for overheat protection in electronics. A device with 18 ionogel units is fabricated, achieving 2.09 V output and dynamically controlling an LED. This work reveals the role of cation doping in regulating thermoelectric properties from the perspectives of ion-ion interactions and demonstrates the application of ionogels in thermal management via nonlinear thermal response.",PVDF-HFP-based cation-doped ionogel,"cation doping with different charge/radius regulates ion-ion interactions and dynamic ion concentration reconstruction, producing nonlinear temperature-voltage response"
An ultrathin ionic thermoelectric cell design utilizing near body heat for self-powered wearable electronics,NATURE COMMUNICATIONS,10.1038/s41467-026-71286-2,2026,"Harvesting low-grade heat is a sustainable way to power wearable electronics, and quasi-solid-state ionic thermoelectric cells offer a flexible, low-cost option. Their use, however, has been limited by a key trade-off: miniaturization reduces the internal thermal gradient and compromises performance. Here, we address this challenge with an ultrathin asymmetric architecture that separates thermal energy harvesting from the conventional reliance on a sustained through-plane temperature gradient. The design couples thermally driven ionic modulation at one interface with engineered pseudocapacitive charge storage at the other. Our 1-mm-thick device delivers an open-circuit voltage of 0.1 V, a power density of 1.6 W m-2, and an energy density of 1500 J m-2 using near-body heat. An array of 20 cells generates 1.9 V and a peak power of 23 W m-2, enabling continuous smartwatch operation. This strategy provides a practical route to ultrathin ionic thermoelectric cells for self-powered wearable systems.",ultrathin asymmetric ionic thermoelectric cell with pseudocapacitive charge-storage interface,"thermally driven ionic modulation at one interface is coupled with engineered pseudocapacitive charge storage at the other, reducing dependence on through-plane temperature gradient"
Ionic thermoelectric materials for waste heat harvesting,COLLOID AND POLYMER SCIENCE,10.1007/s00396-020-04792-4,2021,"Ionic thermoelectric polymers are a new class of materials with great potential for use in low-grade waste heat harvesting and the field has seen much progress during the recent years. In this work, we briefly review the working mechanism of such materials, the main advances in the field and the main criteria for performance comparison. We examine two types of polymer-based ionic thermoelectric materials: ionic conductive polymer and ionogels. Moreover, as a comparison, we also examine the more conventional ionic liquid electrolytes. Their performance, possible directions of improvements and potential applications have been evaluated.","ionic conductive polymers, ionogels, and ionic liquid electrolytes; review","reviews working mechanisms, performance criteria, and improvement directions for ionic thermoelectric waste-heat harvesting materials"
Ionic Thermoelectric Effect within the Framework of Thermoelectricity,PHYSICAL REVIEW LETTERS,10.1103/bh7m-fzs8,2026,"The fundamental nature of the ionic thermoelectric (i-TE) effect-whether it represents genuine thermoelectricity or merely an analogy-remains unresolved. Existing devices exploit ion migration within the electrolyte but lack interfacial contributions, and no experimental evidence of the Peltier effect in i-TE materials has been reported. A central question thus arises: if such a Peltier effect exists, do the Seebeck, Peltier, and Thomson coefficients of i-TE systems satisfy the Kelvin relations? Here, we systematically formulate the three thermoelectric effects in the i-TE context and provide the experimental observation of an ionic Peltier effect, whose cooling power exceeds that of conventional electrolytes by more than 2 orders of magnitude. Furthermore, we introduce an electromotive-force-based method to determine thermoelectric coefficients without direct heat-flux measurements, thereby enabling experimental verification of the Kelvin relations. These results resolve fundamental questions of the i-TE effect and establish its position within thermoelectricity.",ionic thermoelectric systems; theoretical/experimental framework,"formulates ionic Seebeck, Peltier, and Thomson effects and verifies Kelvin relations for i-TE systems"
Synergistic dual supramolecular interactions enhance ionic thermoelectric performance in dilute-electrolyte hydrogels,SCIENCE CHINA-MATERIALS,10.1007/s40843-025-3689-9,2026,"Converting body heat into electricity presents an appealing route for sustainably powering wearable electronics; however, conventional thermoelectric materials face significant drawbacks, including high ionic concentrations, toxicity, and limited thermoelectric efficiency. Here, we report an ionic thermoelectric hydrogel designed through precise supramolecular chemistry, utilizing dual molecular interactions, host-guest complexation of alpha-cyclodextrin (alpha-CD) with I-3(-) ions and hydrogen bonding between polyvinyl alcohol (PVA) polymer chains and I-3(-). This molecularly tailored approach markedly amplifies thermoelectric performance, achieving a high thermopower of 2.21 mV/K and a tenfold enhancement in peak power output at an exceptionally low iodine concentration (10 mmol/L I- + 2.5 mmol/L I-3(-)). The hydrogel maintains excellent biocompatibility and mechanical robustness, suitable for direct skin contact. Demonstrated applications include flexible thermoelectric devices generating nearly 100 mV from body heat and sensor arrays capable of motion and spatial temperature sensing. These results underscore the substantial potential of supramolecularly designed ionic thermoelectric hydrogels for wearable energy harvesting, personalized healthcare monitoring, and advanced human-computer interfaces.",PVA/alpha-cyclodextrin/iodide-triiodide supramolecular ionic thermoelectric hydrogel,alpha-CD/I3- host-guest complexation and PVA/I3- hydrogen bonding amplify thermoelectric performance at low iodine concentration
Figure of merit for ionic thermoelectric materials,NATIONAL SCIENCE REVIEW,10.1093/nsr/nwag227,2026,"A new performance index is proposed for ionic thermoelectric materials, to bridge the material properties and energy conversion efficiency in real-world application scenarios.",ionic thermoelectric materials; figure-of-merit proposal,proposes a performance index linking material properties to energy-conversion efficiency in application scenarios
"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",ADVANCED MATERIALS,10.1002/adma.73341,2026,"Supramolecular hydrogels capable of integrating mechanical robustness, strong adhesion, and reliable energy conversion remain highly sought for next-generation soft electronics. Here, we present a transparent, ultra-stretchable ionic hydrogel constructed through synergistic host-guest interaction, hydrogen bonding, and electrostatic interactions. The dynamic network exhibits outstanding mechanical performance (2173% strain, 340 kPa strength, 2.88 MJ m- 3 toughness), rapid self-healing, broad-substrate adhesion, and potent antibacterial activity. The hydrogel functions as a sensitive strain sensor with stable, multimodal motion detection. It further serves as an efficient electrode for both triboelectric and droplet-based energy harvesting, powering commercial LEDs. Notably, the material exhibits a high p-type ionic thermoelectric response, achieving a Seebeck coefficient of 2.95 mV K- 1 and scalable thermovoltage output up to 14.3 mV/K in modular ionic thermoelectric capacitors. This work provides a versatile materials platform toward integrated soft electronics with simultaneous mechanical, sensing, and energy harvesting functionalities.","transparent supramolecular ionic hydrogel with host-guest, hydrogen-bonding, and electrostatic interactions","dynamic supramolecular network provides self-healing, adhesion, and p-type ionic thermoelectric response for sensing and energy harvesting"
Ionic thermoelectric poly(vinyl alcohol)/gelatin hydrogel for passive multimodal physiological sensing via the sol-gel transition triggered by salting out effect,REACTIVE & FUNCTIONAL POLYMERS,10.1016/j.reactfunctpolym.2026.106679,2026,"Hofmeister effect has been utilized to prepare ionic thermoelectric gels for the integration of thermoelectric and sensing functions. However, the current methods usually require complex operational procedures including freeze-thaw treatment or post-processing by immersing the as-prepared hydrogels in salt solutions. Herein, we propose a simple and cost-effective strategy to prepare ion-thermoelectric gels by the sol-gel transition triggered by salting out effect. To address the challenge of providing enough salting out effect without the precipitation, CaCl2 and glycerol were pre-added to mitigate the strong salting-out effect of Na3Cit. As a result the homogeneous and stable poly(vinyl alcohol)/gelatin/glycerol/CaCl2/Na3Cit composite solution was obtained, providing the time window for the hydrogel preparation. In addition, K3[Fe(CN)6] and K4[Fe(CN)6] were added into the solution. By leveraging hydrogen bonding interactions and salting-out/salting-in effects, the poly(vinyl alcohol)/ gelatin ionic thermoelectric hydrogel was successfully prepared via the sol-gel transition of this solution at room temperature. This hydrogel exhibited excellent freezing and drought resistance, self-healing capability, recyclability, rapid temperature response (Se = 1.90 mV/degrees C) and high sensitivity (GF = 2.15), making it suitable for applications such as temperature monitoring, cough detection, respiratory monitoring, and joint movement sensing. This work provides new insights for developing flexible electronic skins for medical monitoring and smart wearable devices.",PVA/gelatin/glycerol/CaCl2/Na3Cit hydrogel with K3[Fe(CN)6]/K4[Fe(CN)6],CaCl2 and glycerol moderate Na3Cit salting-out; hydrogen bonding plus salting-out/salting-in effects trigger room-temperature sol-gel transition and yield ionic thermoelectric sensing hydrogel
Influence of the Ionic Subsystem on the Thermoelectric Effect in Colloidal Solutions,SEMICONDUCTORS,10.1134/S1063782625600779,2025,"The work investigates the thermoelectric effect in mixtures of colloidal solutions with ionic electrolytes in the initial state, when the formation of concentration gradients under the influence of an inhomogeneous temperature field can be neglected. Based on experimental measurements in mixtures with different concentrations of colloidal particles and ions, the conditions under which with the coefficient of thermoelectric electromotive force (EMF) is governed by the ionic subsystem and when the main contribution to the value of the thermoelectric EMF is made by colloidal particles are determined.",colloidal solutions mixed with ionic electrolytes,thermoelectric EMF is governed either by ionic subsystem or colloidal particles depending on ion/particle concentrations before concentration gradients form
The Platform to Characterizing the Thermoelectric Materials by Photo-Crosslinked Ionic Gel Electrolyte,ADVANCED ELECTRONIC MATERIALS,10.1002/aelm.202500042,2026,"Advances in semiconductor processing have enabled the miniaturization and reduction of power consumption of devices, positioning organic thermoelectric devices-which generate electricity from any heat source-as a promising solution for self-powered microelectronics. To make off-grid electronics more practical, innovative thermoelectric materials with high performance need to be developed, leveraging artificial intelligence and materials informatics. This study introduces a device platform featuring a photo-crosslinked ionic gel capable of evaluating and screening a wide range of thermoelectric material candidates with high potential. By enabling doping levels from shallow to deep, the platform provides rapid feedback for researchers. Ionic liquids, with their extensive range of oxidation and reduction capabilities, minimize the effort required to identify dopants compatible with semiconductors. During redox reactions within the ionic liquid, the platform allows continuous monitoring of changes in thermoelectric properties, optical characteristics, and crystalline structure-all within a single device. Furthermore, adjusting the ionic liquid concentration in the gel stabilizes the redox state of thermoelectric materials. The thermoelectric properties measured using this platform closely align with those achieved via chemical doping, demonstrating its potential to significantly reduce fabrication and measurement costs and time. This approach accelerates the discovery of high-performance organic thermoelectric materials through materials informatics.",photo-crosslinked ionic gel electrolyte platform with ionic liquids,ionic-liquid redox reactions enable in situ monitoring and stabilization of semiconductor redox/doping states for thermoelectric screening
Ionic gating control of carrier transport and thermoelectric properties in semiconductors,SYNTHETIC METALS,10.1016/j.synthmet.2025.118035,2026,"Precise modulation of carrier transport is central to optimizing semiconductor performance and functionality. Among various approaches, ionic gating offers a powerful and reversible route to control carrier transport by dynamically adjusting carrier concentration, thereby enabling systematic investigation of doping-leveldependent changes in charge-transport characteristics. In this work, we examine the shift of the Fermi level, the modulation of the electronic band structure, and the alteration of microstructural features induced by ionic gating across diverse semiconductor systems, as well as the manifestation of these modifications in their thermoelectric responses. Special emphasis is placed on the interplay between ionic gating and Seebeck behavior, providing insights into the microscopic mechanisms of transport evolution. We also outline key challenges in experimental methodology, especially regarding in situ thermoelectric measurements, and propose future directions for utilizing ionic gating in the rational design of high-performance, tunable electronic and thermoelectric devices.",ionic-gated semiconductor systems,"ionic gating reversibly modulates carrier concentration, Fermi level, electronic band structure, and microstructure, thereby tuning Seebeck behavior"
