concept_id,domain,display_label,display_label_source,member_count,source_mention_ids,raw_labels,paper_ids,source_roles,canonical_role,role_status,judge_partition_id,normalization_basis,concept_status,acceptance_status,required_human_review,run_id
draft:v2:TG:042af1f80e0a3e5e1c0e,TG,Periodic interchange of the solid mediator (LiFePO4/FePO4),raw_phrase,1,"[""TG:P0263:n1""]","[""Periodic interchange of the solid mediator (LiFePO4/FePO4)""]","[""P0263""]","[""design_strategy""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0436d373fed0477897f3,TG,持续红氧离子浓度梯度,judge_partition_definition,2,"[""TG:P0009:n2"", ""TG:P0035:n3""]","[""continuous concentration gradient of redox ions"", ""redox species concentration gradients near the electrodes""]","[""P0009"", ""P0035""]","[""quantity""]",,source_role_preserved_not_newly_validated,astra:g045:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0437a236d035f66881b7,TG,first solvation shell,raw_phrase,1,"[""TG:P0078:n2""]","[""first solvation shell""]","[""P0078""]","[""state_structure""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:048249d5b785b7d05827,TG,distillation of sodium hydroxide solution in temperature gradient,raw_phrase,1,"[""TG:P0116:n1""]","[""distillation of sodium hydroxide solution in temperature gradient""]","[""P0116""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:04dff6274c01e5001c1b,TG,ionic thermopower,raw_phrase,1,"[""TG:P0297:n3""]","[""ionic thermopower""]","[""P0297""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:054a30729b037a447f3b,TG,effective thermal conductivity,raw_phrase,1,"[""TG:P0086:n5""]","[""effective thermal conductivity""]","[""P0086""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:062c4a8203a30da0c200,TG,configurational disparity between oxidized and reduced species,raw_phrase,1,"[""TG:P0078:n5""]","[""configurational disparity between oxidized and reduced species""]","[""P0078""]","[""state_structure""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:06c444e27d568538a576,TG,fast redox-mediated electron transfer,raw_phrase,1,"[""TG:P0289:n2""]","[""fast redox-mediated electron transfer""]","[""P0289""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:06cc08d57decf7bb0749,TG,ZnAl-LDH,raw_phrase,1,"[""TG:P0084:n1""]","[""ZnAl-LDH""]","[""P0084""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:06d81f990fe5f0d534aa,TG,polarization switching from n-type to p-type,raw_phrase,1,"[""TG:P0179:n2""]","[""polarization switching from n-type to p-type""]","[""P0179""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:07e370d5ab1263597afe,TG,local surface plasmon resonance (LSPR),raw_phrase,1,"[""TG:P0042:n2""]","[""local surface plasmon resonance (LSPR)""]","[""P0042""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:082d96349d28bb7db69b,TG,AP,raw_phrase,1,"[""TG:P0034:n1""]","[""AP""]","[""P0034""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:082e1ad2ddb13e4f3123,TG,high temperatures,raw_phrase,1,"[""TG:P0131:n1""]","[""high temperatures""]","[""P0131""]","[""condition""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0834b5ec6c028aa133c4,TG,recognize the pulse beat,raw_phrase,1,"[""TG:P0064:n3""]","[""recognize the pulse beat""]","[""P0064""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:089b06b3e252010d7224,TG,characteristics of users can be distinguished,raw_phrase,1,"[""TG:P0036:n3""]","[""characteristics of users can be distinguished""]","[""P0036""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:08eef177562df42a3438,TG,reduction in hydrogel thickness,raw_phrase,1,"[""TG:P0158:n1""]","[""reduction in hydrogel thickness""]","[""P0158""]","[""design_strategy""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0952fbcbd986b7530a38,TG,kinetic rate constants,raw_phrase,1,"[""TG:P0108:n2""]","[""kinetic rate constants""]","[""P0108""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0a308457e1d63f222863,TG,thermogalvanic deposition process,raw_phrase,1,"[""TG:P0148:n1""]","[""thermogalvanic deposition process""]","[""P0148""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0a92d2f89ee2aa7d3b41,TG,thermoelectric hydrogel,raw_phrase,1,"[""TG:P0156:n2""]","[""thermoelectric hydrogel""]","[""P0156""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0acc3e2758fa5c00512a,TG,integrative multilayer film cell,raw_phrase,1,"[""TG:P0181:n1""]","[""integrative multilayer film cell""]","[""P0181""]",[],,deferred,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0afe676449258d3fe4bf,TG,两端温度差,judge_partition_definition,3,"[""TG:P0086:n4"", ""TG:P0202:n3"", ""TG:P0233:n3""]","[""Delta T"", ""temperature gradient""]","[""P0086"", ""P0202"", ""P0233""]","[""quantity""]",,source_role_preserved_not_newly_validated,astra:g035:p001,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0b16bb6f80e603898cd7,TG,chaotropic effect,raw_phrase,1,"[""TG:P0005:n1""]","[""chaotropic effect""]","[""P0005""]",[],,deferred,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0b380baa5247e6b0bdc4,TG,optimized thermopower,raw_phrase,1,"[""TG:P0032:n1""]","[""optimized thermopower""]","[""P0032""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0b4556f32907d18e29ad,TG,温敏结晶过程,judge_partition_definition,2,"[""TG:P0006:n1"", ""TG:P0255:n1""]","[""thermosensitive crystallization process"", ""thermosensitive-crystallization""]","[""P0006"", ""P0255""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,astra:g181:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0b6ab7598c4e438cc0e3,TG,5 wt% organic semiconductor orange dye aqueous solution,raw_phrase,1,"[""TG:P0117:n1""]","[""5 wt% organic semiconductor orange dye aqueous solution""]","[""P0117""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0bc9d2434b3d26009a95,TG,photothermal layer,raw_phrase,1,"[""TG:P0191:n2""]","[""photothermal layer""]","[""P0191""]","[""state_structure""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0c8f931a220a6f42721a,TG,pitting potential,raw_phrase,1,"[""TG:P0131:n3""]","[""pitting potential""]","[""P0131""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0ca2fafd15703b8d7fe6,TG,红氧离子溶剂化熵差,judge_partition_definition,4,"[""TG:P0063:n3"", ""TG:P0162:n3"", ""TG:P0172:n3"", ""TG:P0264:n3""]","[""difference in entropy contributions"", ""entropy difference of solvation structure"", ""solvation entropy difference"", ""solvation entropy differences of redox ions""]","[""P0063"", ""P0162"", ""P0172"", ""P0264""]","[""quantity""]",,source_role_preserved_not_newly_validated,astra:g060:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0cfe824b9c03b39550c1,TG,peak output power,raw_phrase,1,"[""TG:P0115:n4""]","[""peak output power""]","[""P0115""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0d247599551ef45bb8ab,TG,flexible stretchable properties,raw_phrase,1,"[""TG:P0068:n3""]","[""flexible stretchable properties""]","[""P0068""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0d4c80316a78317ec7ea,TG,solvation entropy increase of redox ions,raw_phrase,1,"[""TG:P0251:n6""]","[""solvation entropy increase of redox ions""]","[""P0251""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0da66cc07cd4ecd78511,TG,strong chaotropic salts,raw_phrase,1,"[""TG:P0139:n1""]","[""strong chaotropic salts""]","[""P0139""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0e62b63243b8e37b4242,TG,adsorbing guanidinium ions,raw_phrase,1,"[""TG:P0031:n2""]","[""adsorbing guanidinium ions""]","[""P0031""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0e6f725933105add7dcd,TG,Eastman entropy of transfer,raw_phrase,1,"[""TG:P0224:n3""]","[""Eastman entropy of transfer""]","[""P0224""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0eadeda31b32a9da1e47,TG,directional freeze-thawing method,raw_phrase,1,"[""TG:P0096:n1""]","[""directional freeze-thawing method""]","[""P0096""]","[""design_strategy""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0f33c5ee9b8eea0621d0,TG,thermogalvanic redox reactions of hydrogen ions on the anode,raw_phrase,1,"[""TG:P0310:n2""]","[""thermogalvanic redox reactions of hydrogen ions on the anode""]","[""P0310""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0f3bbbdc92c26fc2200d,TG,entropy change and concentration difference of redox couple,judge_partition_definition,1,"[""TG:P0179:n4""]","[""entropy change and concentration difference of redox couple""]","[""P0179""]","[""quantity""]",,source_role_preserved_not_newly_validated,astra:g087:p002,reviewed_singleton,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0f4af992c4f264e86e91,TG,incorporating electroactive polymers within hydrogels,raw_phrase,1,"[""TG:P0249:n1""]","[""incorporating electroactive polymers within hydrogels""]","[""P0249""]","[""design_strategy""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0f5137fdf78cc9de8602,TG,Cu-based thermosensitive crystallization,raw_phrase,1,"[""TG:P0284:n1""]","[""Cu-based thermosensitive crystallization""]","[""P0284""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0f8295ee94dbdeb329c6,TG,voltage generation,raw_phrase,1,"[""TG:P0142:n3""]","[""voltage generation""]","[""P0142""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0fab1f97ff77918b0a41,TG,electronic activation energy,raw_phrase,1,"[""TG:P0056:n3""]","[""electronic activation energy""]","[""P0056""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:1061e011e3e94440dfb4,TG,溶液电阻Rs,judge_partition_definition,2,"[""TG:P0253:n3"", ""TG:P0254:n2""]","[""Rs""]","[""P0253"", ""P0254""]","[""quantity""]",,source_role_preserved_not_newly_validated,astra:g138:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:109550d9cca3df56b4eb,TG,DES,raw_phrase,1,"[""TG:P0264:n1""]","[""DES""]","[""P0264""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:10a1727340418ff2275d,TG,Soret coefficient,raw_phrase,1,"[""TG:P0222:n2""]","[""Soret coefficient""]","[""P0222""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:10c339f27a36fa447459,TG,dipole orientation disorder,raw_phrase,1,"[""TG:P0078:n4""]","[""dipole orientation disorder""]","[""P0078""]","[""state_structure""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:119d77334b20a2e0902f,TG,水分子之间氢键,judge_partition_definition,3,"[""TG:P0061:n2"", ""TG:P0066:n2"", ""TG:P0166:n4""]","[""hydrogen bonding between water molecules"", ""hydrogen bonds among water molecules"", ""hydrogen bonds between water molecules""]","[""P0061"", ""P0066"", ""P0166""]","[""interaction""]",,source_role_preserved_not_newly_validated,astra:g091:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:1217a69887420b9756e7,TG,thermoelectrochemical process,raw_phrase,1,"[""TG:P0311:n2""]","[""thermoelectrochemical process""]","[""P0311""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:1367fe1fca77d5793eee,TG,quasi-stable water-in-salt region (up to 2.4 m),raw_phrase,1,"[""TG:P0098:n1""]","[""quasi-stable water-in-salt region (up to 2.4 m)""]","[""P0098""]","[""condition""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:136bf6790a6a317afffc,TG,hydrogen bonds between DMSO and EG molecules,raw_phrase,1,"[""TG:P0059:n1""]","[""hydrogen bonds between DMSO and EG molecules""]","[""P0059""]","[""interaction""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:155b439a5a79a1ec4a14,TG,hierarchically anisotropic networks,raw_phrase,1,"[""TG:P0096:n2""]","[""hierarchically anisotropic networks""]","[""P0096""]","[""state_structure""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:16394f0fbcbfe19fb248,TG,流体对流运动,judge_partition_definition,2,"[""TG:P0233:n2"", ""TG:P0304:n1""]","[""convection currents"", ""convective flows""]","[""P0233"", ""P0304""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,astra:g141:p000,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:163f4b2aec50047dc9be,TG,ISC value increase,raw_phrase,1,"[""TG:P0003:n3""]","[""ISC value increase""]","[""P0003""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:1738b9f1bc3078086c01,TG,a of Fe3+/Fe2+,raw_phrase,1,"[""TG:P0183:n2""]","[""a of Fe3+/Fe2+""]","[""P0183""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:17e67d4c70bdb22fb84d,TG,water structure,raw_phrase,1,"[""TG:P0250:n3""]","[""water structure""]","[""P0250""]","[""state_structure""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:180944a8a99397a7e15e,TG,encapsulation of a guest,raw_phrase,1,"[""TG:P0195:n1""]","[""encapsulation of a guest""]","[""P0195""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:188182331306ef25fd04,TG,thermopower retention,raw_phrase,1,"[""TG:P0032:n5""]","[""thermopower retention""]","[""P0032""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:19094ea98e900fd9c0e8,TG,spontaneous directions of the full-cell reaction are opposite at low and high temperatures,raw_phrase,1,"[""TG:P0287:n1""]","[""spontaneous directions of the full-cell reaction are opposite at low and high temperatures""]","[""P0287""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:191fa5c1e855a9849189,TG,carboxylated chitosan,raw_phrase,1,"[""TG:P0266:n1""]","[""carboxylated chitosan""]","[""P0266""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:193c4585fa69cc57197f,TG,Concentration difference,raw_phrase,1,"[""TG:P0116:n3""]","[""Concentration difference""]","[""P0116""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:19442a6699ca22b9972f,TG,concentrations of both the ionic liquid and the redox couple,raw_phrase,1,"[""TG:P0227:n1""]","[""concentrations of both the ionic liquid and the redox couple""]","[""P0227""]","[""condition""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:194c95c3abcd2a60c7af,TG,lower electron-density on the ferrocene,raw_phrase,1,"[""TG:P0218:n4""]","[""lower electron-density on the ferrocene""]","[""P0218""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:1a4c61964ce7272d9d28,TG,Maxsorb electrodes,raw_phrase,1,"[""TG:P0328:n1""]","[""Maxsorb electrodes""]","[""P0328""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:1a5a7853fc79cda3c26c,TG,红氧反应熵差,judge_partition_definition,3,"[""TG:P0146:n2"", ""TG:P0182:n4"", ""TG:P0201:n3""]","[""entropy change of redox reaction"", ""entropy difference of thermogalvanic ions"", ""redox reaction entropy""]","[""P0146"", ""P0182"", ""P0201""]","[""quantity""]",,source_role_preserved_not_newly_validated,astra:g029:p002,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
