mention_id,domain,paper_id,initial_concept_id,draft_concept_id,judge_partition_id,mapping_action,decision_basis,role_status,raw_label,claim_id,node_evidence_locator,source_applied,run_id,before_member_count,after_member_count
TG:P0007:n2,TG,P0007,TG:P0007:initial_n2,draft:v2:TG:2ae73f3b7d4c0fdcd18f,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,sensitivity,TG:P0007:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0007:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0008:n1,TG,P0008,TG:P0008:initial_n1,draft:v2:TG:f4ce9180666bce9fe324,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,incorporation of zwitterions,TG:P0008:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0008:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0008:n2,TG,P0008,TG:P0008:initial_n2,draft:v2:TG:cdeb05d784dd1cffe931,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,resistance of the hydrogel to dehydration and low temperatures,TG:P0008:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0008:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0009:n1,TG,P0009,TG:P0009:initial_n1,draft:v2:TG:9f49540eb97ff1bb8996,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,in situ photocatalytically enhanced redox reaction,TG:P0009:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0009:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0009:n2,TG,P0009,TG:P0009:initial_n2,draft:v2:TG:0436d373fed0477897f3,astra:g045:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,continuous concentration gradient of redox ions,TG:P0009:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0009:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0009:n3,TG,P0009,TG:P0009:initial_n3,draft:v2:TG:519def499cb6b1615385,astra:g014:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermopower,TG:P0009:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0009:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,13
TG:P0009:n4,TG,P0009,TG:P0009:initial_n4,draft:v2:TG:a118d4407272408bf0ca,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,hydrogen production rate,TG:P0009:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0009:n4,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0010:n1,TG,P0010,TG:P0010:initial_n1,draft:v2:TG:d122d2ad96771b392b19,astra:g096:p000,retain_singleton,reviewed_singleton,source_role_preserved_not_newly_validated,spontaneous water evaporation,TG:P0010:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0010:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0010:n2,TG,P0010,TG:P0010:initial_n2,draft:v2:TG:2f8a69cfce6c36a84255,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,electrolyte concentration distribution,TG:P0010:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0010:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0010:n3,TG,P0010,TG:P0010:initial_n3,draft:v2:TG:ee121f0c30a42cbdcda1,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,cold-end temperature,TG:P0010:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0010:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0011:n1,TG,P0011,TG:P0011:initial_n1,draft:v2:TG:81de7fe5cf153ee20e93,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,incorporating a cationic pair into a cationic electroactive network (CN),TG:P0011:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0011:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0011:n2,TG,P0011,TG:P0011:initial_n2,draft:v2:TG:727d26a5a61931e5a1f3,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,movement of redox pairs,TG:P0011:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0011:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0011:n3,TG,P0011,TG:P0011:initial_n3,draft:v2:TG:6915152da2b026d8af0e,astra:g144:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,current density,TG:P0011:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0011:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0011:n4,TG,P0011,TG:P0011:initial_n4,draft:v2:TG:314a0eed47a8480ae778,astra:g009:p000,retain_singleton,reviewed_singleton,source_role_preserved_not_newly_validated,power density output,TG:P0011:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0011:n4,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0012:n1,TG,P0012,TG:P0012:initial_n1,draft:v2:TG:ba272984717213a34a89,astra:g176:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermoelectricity,TG:P0012:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0012:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0012:n2,TG,P0012,TG:P0012:initial_n2,draft:v2:TG:c92e87dba3717e005f86,,retain_singleton,identity_only,deferred,active piezoresistivity,TG:P0012:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0012:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0012:n3,TG,P0012,TG:P0012:initial_n3,draft:v2:TG:5540694e0e86fd4bbf18,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,transduction of dynamic gestures into detectable electrical signals,TG:P0012:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0012:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0013:n1,TG,P0013,TG:P0013:initial_n1,draft:v2:TG:1d61af2cc2e74b9a6283,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,"hydrogen bonds among phytic acid, glycerol, and water",TG:P0013:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0013:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0013:n2,TG,P0013,TG:P0013:initial_n2,draft:v2:TG:e7ad02185837be6c024c,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,electrical performance,TG:P0013:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0013:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0013:n3,TG,P0013,TG:P0013:initial_n3,draft:v2:TG:29adf0f05c32a8d20d7b,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,environmental stability,TG:P0013:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0013:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0014:n1,TG,P0014,TG:P0014:initial_n1,draft:v2:TG:791bf601fc1ffb0deb5c,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions,TG:P0014:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0014:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0014:n2,TG,P0014,TG:P0014:initial_n2,draft:v2:TG:237c2250ab3fa53c86a2,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,liberation of ClO4- ions,TG:P0014:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0014:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0014:n3,TG,P0014,TG:P0014:initial_n3,draft:v2:TG:8fddcf5ecdf925ccb3f4,astra:g016:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermodiffusion,TG:P0014:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0014:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,12
TG:P0014:n4,TG,P0014,TG:P0014:initial_n4,draft:v2:TG:57eab61d0d0e76db9133,astra:g039:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,ionic conductivity,TG:P0014:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0014:n4,False,normalization_draft:8b8928b254fa3bab0fef,1,5
TG:P0015:n1,TG,P0015,TG:P0015:initial_n1,draft:v2:TG:6828cdb8bce595b82680,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,stretching-induced crystallization,TG:P0015:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0015:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0015:n2,TG,P0015,TG:P0015:initial_n2,draft:v2:TG:ba272984717213a34a89,astra:g176:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermoelectric effect,TG:P0015:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0015:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0015:n3,TG,P0015,TG:P0015:initial_n3,draft:v2:TG:cdea6f981bc016145b6f,astra:g172:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,tensile strength,TG:P0015:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0015:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0015:n4,TG,P0015,TG:P0015:initial_n4,draft:v2:TG:519def499cb6b1615385,astra:g014:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermopower,TG:P0015:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0015:n4,False,normalization_draft:8b8928b254fa3bab0fef,1,13
TG:P0016:n1,TG,P0016,TG:P0016:initial_n1,draft:v2:TG:93d693227554810bd6d9,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,"lithium magnesium silicate, Gdm+ and lithium bromide",TG:P0016:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0016:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0016:n2,TG,P0016,TG:P0016:initial_n2,draft:v2:TG:ff846fd0377c1ae51a74,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,interconnected porous structure of the gel,TG:P0016:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0016:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0016:n3,TG,P0016,TG:P0016:initial_n3,draft:v2:TG:519def499cb6b1615385,astra:g014:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermopower,TG:P0016:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0016:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,13
TG:P0017:n1,TG,P0017,TG:P0017:initial_n1,draft:v2:TG:96918228b68d92bb465a,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,hydrogen bonding between solvent molecules,TG:P0017:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0017:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0017:n2,TG,P0017,TG:P0017:initial_n2,draft:v2:TG:6285fa0ca778e1506841,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,retains over 90 % of its moisture after 14 days,TG:P0017:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0017:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0018:n1,TG,P0018,TG:P0018:initial_n1,draft:v2:TG:ea03118e12aa8a9cf4bd,astra:g147:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,ethanol,TG:P0018:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0018:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0018:n2,TG,P0018,TG:P0018:initial_n2,draft:v2:TG:7691f45852eaeb016291,astra:g088:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,concentration gradient,TG:P0018:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0018:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,3
TG:P0018:n3,TG,P0018,TG:P0018:initial_n3,draft:v2:TG:8c806c6039efd20f4d9e,astra:g170:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,solvation structure,TG:P0018:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0018:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0018:n4,TG,P0018,TG:P0018:initial_n4,draft:v2:TG:da9c45f673d2c7cdef22,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,temperature coefficient of [Fe(CN)6]3-/4-,TG:P0018:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0018:n4,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0018:n5,TG,P0018,TG:P0018:initial_n5,draft:v2:TG:b8a486eb8582ffeb6540,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,thermoelectric power and efficiency,TG:P0018:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0018:n5,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0019:n1,TG,P0019,TG:P0019:initial_n1,draft:v2:TG:8aac026414e935c1b605,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,non -covalent crosslinking,TG:P0019:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0019:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0019:n2,TG,P0019,TG:P0019:initial_n2,draft:v2:TG:a50f31e6fd96caeccde7,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,tight physical and electrical contact,TG:P0019:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0019:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0019:n3,TG,P0019,TG:P0019:initial_n3,draft:v2:TG:022897902e37bebd0207,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,stable and reliable signal output,TG:P0019:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0019:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0019:n4,TG,P0019,TG:P0019:initial_n4,draft:v2:TG:84e7aa511917299385d4,astra:g178:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermogalvanic and piezoresistive effects,TG:P0019:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0019:n4,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0019:n5,TG,P0019,TG:P0019:initial_n5,draft:v2:TG:aea35cde64f0160aa4f9,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,sensing of pressure,TG:P0019:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0019:n5,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0020:n1,TG,P0020,TG:P0020:initial_n1,draft:v2:TG:d06089a0429e5108614d,,retain_singleton,identity_only,deferred,differences in hydration shell behavior between the oxidant and reductant,TG:P0020:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0020:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0020:n2,TG,P0020,TG:P0020:initial_n2,draft:v2:TG:6ebaababb6745999520b,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,configurational) entropy difference,TG:P0020:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0020:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0020:n3,TG,P0020,TG:P0020:initial_n3,draft:v2:TG:519def499cb6b1615385,astra:g014:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermopower,TG:P0020:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0020:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,13
TG:P0021:n1,TG,P0021,TG:P0021:initial_n1,draft:v2:TG:e0acb0bb0b529200062f,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,double-layer thermogalvanic cell (DTGC) architecture,TG:P0021:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0021:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0021:n2,TG,P0021,TG:P0021:initial_n2,draft:v2:TG:d2d49f48dd11f9be88fa,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,spatially segregates redox pairs into two distinct gel layers,TG:P0021:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0021:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0021:n3,TG,P0021,TG:P0021:initial_n3,draft:v2:TG:3bc45effaf30d5596b00,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,ion concentration gradients,TG:P0021:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0021:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0022:n1,TG,P0022,TG:P0022:initial_n1,draft:v2:TG:5af8d2a11e817c9962c6,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,"electrochemical reaction involving the Cu electrode, ethylenediamine (en), and their chelated compound Cu(en)2 2+",TG:P0022:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0022:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0022:n2,TG,P0022,TG:P0022:initial_n2,draft:v2:TG:c902b1c79e665c3b7901,astra:g029:p000,retain_singleton,reviewed_singleton,source_role_preserved_not_newly_validated,reaction entropy change,TG:P0022:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0022:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0022:n3,TG,P0022,TG:P0022:initial_n3,draft:v2:TG:c90ab2d13b329a75a042,astra:g003:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,temperature coefficient (alpha),TG:P0022:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0022:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,23
TG:P0023:n1,TG,P0023,TG:P0023:initial_n1,draft:v2:TG:a43445e595fc889a431f,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,sodium pyrrolidone carboxylate,TG:P0023:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0023:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0023:n2,TG,P0023,TG:P0023:initial_n2,draft:v2:TG:76359c10bae755c3bdf8,astra:g182:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,water retention,TG:P0023:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0023:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0023:n3,TG,P0023,TG:P0023:initial_n3,draft:v2:TG:b505f6bb0811c0443aae,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,mechanical properties,TG:P0023:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0023:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0024:n1,TG,P0024,TG:P0024:initial_n1,draft:v2:TG:71b275a951c07cbb93c5,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,integrating thermally sensitive enhanced TGCs with spectrally selective solar absorbers,TG:P0024:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0024:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0024:n2,TG,P0024,TG:P0024:initial_n2,draft:v2:TG:a3cf99aee7b2899f41b6,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,generates electricity from sunlight,TG:P0024:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0024:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0025:n1,TG,P0025,TG:P0025:initial_n1,draft:v2:TG:a316c1d750d10b134c84,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,low FA concentrations,TG:P0025:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0025:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
