node_audit_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,raw_node_strict_syntax_tier,raw_node_strict_syntax_tier_order,all_candidate_best_evidence_grade,all_candidate_best_evidence_grade_order,focus_candidate_best_evidence_grade,focus_candidate_best_evidence_grade_order,shared_ite_document_frequency,shared_tg_document_frequency,ite_incident_pair_count,tg_incident_pair_count,ite_relation_supported_incident_pair_count,tg_relation_supported_incident_pair_count,ite_highest_side_evidence_level,tg_highest_side_evidence_level,all_candidate_combination_count,focus_node_nontrivial_path_count,focus_candidate_combination_count,focus_endpoint_quarantine_path_count,tier_A_candidate_count,tier_B_candidate_count,tier_C_candidate_count,best_candidate_id,best_focus_candidate_id,human_relation_review_status,cross_paper_compatibility_status,novelty_status,release_status,release_reason,shared_minimum_document_frequency
21,GC_21272088b98f,maximum output power,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,2,1,6,3,0,0,1,1,17,0,0,0,0,0,17,TC_8c2ee614b336,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
22,GC_21faa67da1fd,conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,25,20,41,31,0,0,1,1,1267,1267,596,671,0,0,1267,TC_4d50d5f1cb68,TC_4d50d5f1cb68,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,20
23,GC_234b2810632d,open circuit voltage,outcome_or_property,False,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,Q_endpoint_quarantine_or_no_path,4,8,13,21,30,0,1,1,2,624,0,0,0,0,21,603,TC_05c526200954,,pending,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,8
24,GC_257cabaa88ef,human computer,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,TC_2bfacf32a547,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
25,GC_27998e08b8e3,hydration,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,9,2,21,10,1,0,2,1,210,210,96,114,0,10,200,TC_0eccf425499a,TC_0eccf425499a,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
26,GC_2b1ad84ea1c7,synergistic ion,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,1,4,0,0,1,1,4,4,4,0,0,0,4,TC_3c88b4c067da,TC_3c88b4c067da,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
27,GC_2c6e45217a6c,high thermopower,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,4,1,5,2,0,0,1,1,10,0,0,0,0,0,10,TC_1db57518b454,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
28,GC_2fdd892a6385,leak free,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,3,1,0,0,1,1,3,0,0,0,0,0,3,TC_6747853731ea,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
29,GC_30808d38707c,thermoelectrochemical cell,device_or_context,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,7,1,13,0,0,1,1,13,0,0,0,0,0,13,TC_830eb7948b21,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
30,GC_3164d0554e62,solar driven,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,2,1,6,0,0,1,1,6,0,0,0,0,0,6,TC_2b56cf9976b6,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
31,GC_325c4869db3f,large area,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,4,1,10,0,0,1,1,10,0,0,0,0,0,10,TC_c325b2ace7e2,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
32,GC_3286395881b3,long term,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,10,7,25,16,0,0,1,1,400,0,0,0,0,0,400,TC_c3dbadc76b61,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,7
33,GC_3452de45b658,good ionic conductivity,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,3,1,6,2,0,0,1,1,12,0,0,0,0,0,12,TC_6b6b550d7a39,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
34,GC_34a46d75ae27,physical chemical,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,5,3,0,0,1,1,15,0,0,0,0,0,15,TC_90ec9ccaaa1e,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
35,GC_3704e2ff083c,natural polymer,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,3,4,0,0,1,1,12,12,3,9,0,0,12,TC_9e5d7253e4a2,TC_9c4ce20ac9b6,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
36,GC_37ed05d8d43e,cooling,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,2,6,6,0,0,1,1,35,35,15,20,0,0,35,TC_b82724c4a32d,TC_4e02361b1528,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
37,GC_38c7e198d985,raman spectroscopy,evidence_method,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,4,4,0,0,1,1,16,0,0,0,0,0,16,TC_27f5d0bdc408,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
38,GC_39ffcb09e573,high efficiency,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,3,2,3,7,0,0,1,1,21,0,0,0,0,0,21,TC_fc515b3906f3,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,2
39,GC_3be2e7216e42,self powered,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,29,18,49,36,0,0,1,1,1762,0,0,0,0,0,1762,TC_c8769e9a09ed,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,18
40,GC_3c0cb933cdf7,ion pair,material_or_structure,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,1,1,5,3,0,1,1,2,15,15,6,9,0,5,10,TC_8ae06663a1e8,TC_8ae06663a1e8,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
41,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,16,1,40,1,1,0,2,1,40,40,34,6,0,1,39,TC_f62b7feaf99e,TC_f62b7feaf99e,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
42,GC_3cb102b9bb3d,normalized power density,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,7,2,10,0,0,1,1,19,0,0,0,0,0,19,TC_d0d546e7f198,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
43,GC_3cd3564912b1,short circuit,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,6,5,11,0,0,1,1,52,0,0,0,0,0,52,TC_74895af115da,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
44,GC_41eb1feb5d89,cyclic voltammetry,evidence_method,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,2,1,7,0,0,1,1,6,0,0,0,0,0,6,TC_a269d09af1bf,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
45,GC_42929742db13,anti drying,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,2,2,5,0,0,1,1,9,0,0,0,0,0,9,TC_5c382f7f20df,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
46,GC_4480e95a9620,non isothermal,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,7,4,0,0,1,1,28,0,0,0,0,0,28,TC_4a82ebada9a8,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
47,GC_45caa0829f4c,alpha cyclodextrin,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,2,1,5,2,0,0,1,1,9,0,0,0,0,0,9,TC_924c48b1700a,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
48,GC_47c6a6e3a833,hydrophobic interaction,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,1,4,3,0,0,1,1,12,12,8,4,0,0,12,TC_47c56fc43a2f,TC_47c56fc43a2f,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
49,GC_4937afb10b20,conversion efficiency,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,6,1,9,0,0,1,1,8,0,0,0,0,0,8,TC_7bcbcca4f104,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
50,GC_49990adc781e,energy conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,15,6,31,9,0,0,1,1,277,277,118,159,0,0,277,TC_d7744ae42111,TC_d7744ae42111,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,6
51,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,41,21,122,77,1,0,2,1,9390,9390,5925,3465,0,77,9313,TC_2ab1afc9d252,TC_2ab1afc9d252,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,21
52,GC_4b155e3c784d,thermoelectric conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,9,9,18,14,0,0,1,1,251,251,167,84,0,0,251,TC_423cf50a4fb7,TC_423cf50a4fb7,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,9
53,GC_4ee8ca676793,dual network,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,2,4,5,0,0,1,1,20,20,20,0,0,0,20,TC_9caaae598d79,TC_9caaae598d79,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
54,GC_5102e2dbc29f,multi physical,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,2,2,0,0,1,1,4,0,0,0,0,0,4,TC_8db6b26ba837,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
55,GC_52a16a12d7fb,energy efficiency,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,2,1,1,3,0,0,1,1,3,0,0,0,0,0,3,TC_a92b0b008f12,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
56,GC_52c27199b958,cooling power,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,2,3,0,0,1,1,5,0,0,0,0,0,5,TC_c211a828d04f,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
57,GC_539699fb8a34,polymer network,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,5,1,10,5,0,0,1,1,50,50,36,14,0,0,50,TC_8a1a56bb0c8e,TC_0f6c8b25f774,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
58,GC_5577e4e6cadd,confined ion,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,2,2,0,0,1,1,4,4,4,0,0,0,4,TC_17408e46f262,TC_17408e46f262,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
59,GC_55da0e25a007,crystallization,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,3,3,10,0,0,1,1,30,30,30,0,0,0,30,TC_fe3ff1e04aa4,TC_fe3ff1e04aa4,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
60,GC_560009ffc2e4,electrode dependent,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,1,3,0,0,1,1,3,0,0,0,0,0,3,TC_eeff6fb2b9c3,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
61,GC_56bf8ae82a10,transition,mechanism_or_process,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,7,1,33,3,0,0,1,1,99,0,0,0,0,0,99,TC_f1688c42ef1b,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
62,GC_583fd7c565e9,ti3c2tx,literal_formula,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,2,7,11,0,0,1,1,77,0,0,0,0,0,77,TC_4031cb993f23,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
63,GC_5a4b62ab7660,transport coefficient,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,4,1,0,0,1,1,4,0,0,0,0,0,4,TC_cb9e60e66bbb,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
64,GC_5b704f82a7d4,stable open circuit voltage,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,3,1,0,0,1,1,3,0,0,0,0,0,3,TC_31d84ba1e7b3,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
65,GC_5c9d495e3ca6,additional voltage,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,4,2,0,0,1,1,7,0,0,0,0,0,7,TC_f095cf36365b,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
66,GC_5caf10c33d02,heating,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,4,3,2,4,0,0,1,1,8,8,2,6,0,0,8,TC_04c8d142f17b,TC_04c8d142f17b,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,3
67,GC_5f9395c3b80a,entropy,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,10,4,32,0,0,1,1,127,127,107,20,0,0,127,TC_0a976b186119,TC_0a976b186119,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2
68,GC_5fecb4c8cca5,mechanical property,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,11,5,24,12,0,0,1,1,288,0,0,0,0,0,288,TC_8af5077e3cfd,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,5
69,GC_611c5281ea25,screen printed,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,2,2,0,0,1,1,4,0,0,0,0,0,4,TC_8c301e0bccba,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
70,GC_61a323841d4d,electrode electrolyte,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,3,7,8,0,0,1,1,56,56,56,0,0,0,56,TC_b103f944b15d,TC_b103f944b15d,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
71,GC_6210b1a22324,reduced graphene oxide,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,2,1,5,0,0,1,1,5,5,4,1,0,0,5,TC_38f9eee72936,TC_aa2c2621e9be,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
72,GC_640a71a16147,real world,untyped_extractive_keyword,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,2,3,6,2,0,0,1,1,12,0,0,0,0,0,12,TC_f45109ef8e31,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,2
73,GC_6cdb23f33c74,seebeck coefficient,outcome_or_property,False,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,Q_endpoint_quarantine_or_no_path,4,65,37,137,100,1,0,2,1,13692,0,0,0,0,100,13592,TC_281d87195374,,pending,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,37
74,GC_6f0f083fb15f,maximum power density,outcome_or_property,False,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,10,2,23,0,0,1,1,45,0,0,0,0,0,45,TC_46e6f01f35a1,,not_applicable,untested,not_assessed,outside_material_mechanism_focus,shared_node_outside_declared_material_mechanism_categories,1
75,GC_6f2fde195710,interpenetrating network,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,3,1,0,0,1,1,3,3,3,0,0,0,3,TC_42cba3e47248,TC_42cba3e47248,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1
