sentence_pair_id,paper_id,analysis_layer,source_membership,year,title,doi,sentence_id,evidence_sentence,left_global_concept_id,left_layer_node_id,left_label,left_surface,left_char_start,left_char_end,right_global_concept_id,right_layer_node_id,right_label,right_surface,right_char_start,right_char_end,pair_key,evidence_scope,strict_syntax_relation_supported
SP_3627ec6eb2ae,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,3,Developing thermogalvanic electrolytes with high-temperature coefficients and low heat capacity is the key to efficient electrochemical refrigeration.,GC_cfc79e26d8d5,LN_caf57c8cbe8e,electrochemical refrigeration,electrochemical refrigeration,380,409,GC_eea53d0b3908,LN_c69a61e2a9af,heat capacity,heat capacity,342,355,GC_cfc79e26d8d5::GC_eea53d0b3908,same_sentence_cooccurrence_not_causal,False
SP_2d6a2a932548,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_7fd8c2696d32,LN_9131c4fde17c,solvation,solvation,544,553,GC_8fe38c9597eb,LN_6f0e9aa30dd6,synergistic binary solvent,synergistic binary solvent,473,499,GC_7fd8c2696d32::GC_8fe38c9597eb,same_sentence_cooccurrence_not_causal,False
SP_48503312c3f6,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_44f79da9c162,LN_0b7469ab6547,fe2+/3+ ion,Fe2+/3+ ions,563,575,GC_7fd8c2696d32,LN_9131c4fde17c,solvation,solvation,544,553,GC_44f79da9c162::GC_7fd8c2696d32,same_sentence_cooccurrence_not_causal,False
SP_b1d8ac2cefa9,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_33fe6970dfc4,LN_de13a1108cbf,decreased heat capacity,decreased heat capacity,638,661,GC_7fd8c2696d32,LN_9131c4fde17c,solvation,solvation,544,553,GC_33fe6970dfc4::GC_7fd8c2696d32,same_sentence_cooccurrence_not_causal,False
SP_72f1509f84bb,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_7fd8c2696d32,LN_9131c4fde17c,solvation,solvation,544,553,GC_aeb7f6435b60,LN_ab5b90be788c,fe2+/3+,Fe2+/3+,563,570,GC_7fd8c2696d32::GC_aeb7f6435b60,same_sentence_cooccurrence_not_causal,False
SP_7fa2980bbe1c,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_44f79da9c162,LN_0b7469ab6547,fe2+/3+ ion,Fe2+/3+ ions,563,575,GC_8fe38c9597eb,LN_6f0e9aa30dd6,synergistic binary solvent,synergistic binary solvent,473,499,GC_44f79da9c162::GC_8fe38c9597eb,same_sentence_cooccurrence_not_causal,False
SP_69389e129e49,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_33fe6970dfc4,LN_de13a1108cbf,decreased heat capacity,decreased heat capacity,638,661,GC_8fe38c9597eb,LN_6f0e9aa30dd6,synergistic binary solvent,synergistic binary solvent,473,499,GC_33fe6970dfc4::GC_8fe38c9597eb,same_sentence_cooccurrence_not_causal,False
SP_3d0a67b50476,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_8fe38c9597eb,LN_6f0e9aa30dd6,synergistic binary solvent,synergistic binary solvent,473,499,GC_aeb7f6435b60,LN_ab5b90be788c,fe2+/3+,Fe2+/3+,563,570,GC_8fe38c9597eb::GC_aeb7f6435b60,same_sentence_cooccurrence_not_causal,False
SP_19fb05c9a347,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_33fe6970dfc4,LN_de13a1108cbf,decreased heat capacity,decreased heat capacity,638,661,GC_44f79da9c162,LN_0b7469ab6547,fe2+/3+ ion,Fe2+/3+ ions,563,575,GC_33fe6970dfc4::GC_44f79da9c162,same_sentence_cooccurrence_not_causal,False
SP_f4a195383e12,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_44f79da9c162,LN_0b7469ab6547,fe2+/3+ ion,Fe2+/3+ ions,563,575,GC_aeb7f6435b60,LN_ab5b90be788c,fe2+/3+,Fe2+/3+,563,570,GC_44f79da9c162::GC_aeb7f6435b60,same_sentence_cooccurrence_not_causal,False
SP_daa88c83ca0b,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",GC_33fe6970dfc4,LN_de13a1108cbf,decreased heat capacity,decreased heat capacity,638,661,GC_aeb7f6435b60,LN_ab5b90be788c,fe2+/3+,Fe2+/3+,563,570,GC_33fe6970dfc4::GC_aeb7f6435b60,same_sentence_cooccurrence_not_causal,False
SP_2a31dfa84c18,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_0faed10bdc02,LN_bb019198023f,selective association,selective association,754,775,GC_9acd776b32c1,LN_98da381d2de6,weak fe2+/3+-clo4- interaction,weak Fe2+/3+-ClO4- interactions,706,737,GC_0faed10bdc02::GC_9acd776b32c1,same_sentence_cooccurrence_not_causal,False
SP_896107f22ff6,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_5f9395c3b80a,LN_b26f52a5bd6b,entropy,entropy,829,836,GC_9acd776b32c1,LN_98da381d2de6,weak fe2+/3+-clo4- interaction,weak Fe2+/3+-ClO4- interactions,706,737,GC_5f9395c3b80a::GC_9acd776b32c1,same_sentence_cooccurrence_not_causal,False
SP_394e6c70bb69,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_04e1c31f9190,LN_fffa69ec7cd6,nitrile solvent,nitrile solvents,793,809,GC_9acd776b32c1,LN_98da381d2de6,weak fe2+/3+-clo4- interaction,weak Fe2+/3+-ClO4- interactions,706,737,GC_04e1c31f9190::GC_9acd776b32c1,same_sentence_cooccurrence_not_causal,False
SP_993a53297169,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_9acd776b32c1,LN_98da381d2de6,weak fe2+/3+-clo4- interaction,weak Fe2+/3+-ClO4- interactions,706,737,GC_f7bf76f5e270,LN_c56646b68834,fe2+/3+-clo4-,Fe2+/3+-ClO4-,711,724,GC_9acd776b32c1::GC_f7bf76f5e270,same_sentence_cooccurrence_not_causal,False
SP_dc8275c0b29d,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_00d346cf7914,LN_f4778d336cf3,fe2+,Fe2+,784,788,GC_9acd776b32c1,LN_98da381d2de6,weak fe2+/3+-clo4- interaction,weak Fe2+/3+-ClO4- interactions,706,737,GC_00d346cf7914::GC_9acd776b32c1,same_sentence_cooccurrence_not_causal,False
SP_f7b0f3c3804b,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_9acd776b32c1,LN_98da381d2de6,weak fe2+/3+-clo4- interaction,weak Fe2+/3+-ClO4- interactions,706,737,GC_cfc79e26d8d5,LN_caf57c8cbe8e,electrochemical refrigeration,electrochemical refrigeration,858,887,GC_9acd776b32c1::GC_cfc79e26d8d5,same_sentence_cooccurrence_not_causal,False
SP_7b78b648ff59,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_0faed10bdc02,LN_bb019198023f,selective association,selective association,754,775,GC_5f9395c3b80a,LN_b26f52a5bd6b,entropy,entropy,829,836,GC_0faed10bdc02::GC_5f9395c3b80a,same_sentence_cooccurrence_not_causal,False
SP_92aa6856c961,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_04e1c31f9190,LN_fffa69ec7cd6,nitrile solvent,nitrile solvents,793,809,GC_0faed10bdc02,LN_bb019198023f,selective association,selective association,754,775,GC_04e1c31f9190::GC_0faed10bdc02,same_sentence_cooccurrence_not_causal,False
SP_28ee4c7fe272,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_0faed10bdc02,LN_bb019198023f,selective association,selective association,754,775,GC_f7bf76f5e270,LN_c56646b68834,fe2+/3+-clo4-,Fe2+/3+-ClO4-,711,724,GC_0faed10bdc02::GC_f7bf76f5e270,same_sentence_cooccurrence_not_causal,False
SP_9514143f61c0,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_00d346cf7914,LN_f4778d336cf3,fe2+,Fe2+,784,788,GC_0faed10bdc02,LN_bb019198023f,selective association,selective association,754,775,GC_00d346cf7914::GC_0faed10bdc02,same_sentence_cooccurrence_not_causal,False
SP_dd7a90175ab4,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_0faed10bdc02,LN_bb019198023f,selective association,selective association,754,775,GC_cfc79e26d8d5,LN_caf57c8cbe8e,electrochemical refrigeration,electrochemical refrigeration,858,887,GC_0faed10bdc02::GC_cfc79e26d8d5,same_sentence_cooccurrence_not_causal,False
SP_52c5a8c6bf4e,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_04e1c31f9190,LN_fffa69ec7cd6,nitrile solvent,nitrile solvents,793,809,GC_5f9395c3b80a,LN_b26f52a5bd6b,entropy,entropy,829,836,GC_04e1c31f9190::GC_5f9395c3b80a,same_sentence_cooccurrence_not_causal,False
SP_a495f5b3816a,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_5f9395c3b80a,LN_b26f52a5bd6b,entropy,entropy,829,836,GC_f7bf76f5e270,LN_c56646b68834,fe2+/3+-clo4-,Fe2+/3+-ClO4-,711,724,GC_5f9395c3b80a::GC_f7bf76f5e270,same_sentence_cooccurrence_not_causal,False
SP_60afbf3a5170,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_00d346cf7914,LN_f4778d336cf3,fe2+,Fe2+,784,788,GC_5f9395c3b80a,LN_b26f52a5bd6b,entropy,entropy,829,836,GC_00d346cf7914::GC_5f9395c3b80a,same_sentence_cooccurrence_not_causal,False
SP_c5cf9a6db1df,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_5f9395c3b80a,LN_b26f52a5bd6b,entropy,entropy,829,836,GC_cfc79e26d8d5,LN_caf57c8cbe8e,electrochemical refrigeration,electrochemical refrigeration,858,887,GC_5f9395c3b80a::GC_cfc79e26d8d5,same_sentence_cooccurrence_not_causal,False
SP_3dd4ca4eb171,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_04e1c31f9190,LN_fffa69ec7cd6,nitrile solvent,nitrile solvents,793,809,GC_f7bf76f5e270,LN_c56646b68834,fe2+/3+-clo4-,Fe2+/3+-ClO4-,711,724,GC_04e1c31f9190::GC_f7bf76f5e270,same_sentence_cooccurrence_not_causal,False
SP_0f0f0982d84c,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_00d346cf7914,LN_f4778d336cf3,fe2+,Fe2+,784,788,GC_04e1c31f9190,LN_fffa69ec7cd6,nitrile solvent,nitrile solvents,793,809,GC_00d346cf7914::GC_04e1c31f9190,same_sentence_cooccurrence_not_causal,False
SP_c63451a7db3b,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_04e1c31f9190,LN_fffa69ec7cd6,nitrile solvent,nitrile solvents,793,809,GC_cfc79e26d8d5,LN_caf57c8cbe8e,electrochemical refrigeration,electrochemical refrigeration,858,887,GC_04e1c31f9190::GC_cfc79e26d8d5,same_sentence_cooccurrence_not_causal,False
SP_f7434e38de76,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_00d346cf7914,LN_f4778d336cf3,fe2+,Fe2+,784,788,GC_f7bf76f5e270,LN_c56646b68834,fe2+/3+-clo4-,Fe2+/3+-ClO4-,711,724,GC_00d346cf7914::GC_f7bf76f5e270,same_sentence_cooccurrence_not_causal,False
SP_55822337a323,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_cfc79e26d8d5,LN_caf57c8cbe8e,electrochemical refrigeration,electrochemical refrigeration,858,887,GC_f7bf76f5e270,LN_c56646b68834,fe2+/3+-clo4-,Fe2+/3+-ClO4-,711,724,GC_cfc79e26d8d5::GC_f7bf76f5e270,same_sentence_cooccurrence_not_causal,False
SP_ca332a168b65,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",GC_00d346cf7914,LN_f4778d336cf3,fe2+,Fe2+,784,788,GC_cfc79e26d8d5,LN_caf57c8cbe8e,electrochemical refrigeration,electrochemical refrigeration,858,887,GC_00d346cf7914::GC_cfc79e26d8d5,same_sentence_cooccurrence_not_causal,False
SP_8663cea18611,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,6,"As a result, the optimized electrolyte could potentially reach '70% improvement of cooling power, and a direct cooling of electrolyte '1.42 K was demonstrated with only 0.11 W cm-2 input, showing promise for practical electrochemical refrigeration.",GC_37ed05d8d43e,LN_a71320e3bce0,cooling,cooling,972,979,GC_f410b2cafd73,LN_9b7aad2347d8,direct cooling,direct cooling,993,1007,GC_37ed05d8d43e::GC_f410b2cafd73,same_sentence_cooccurrence_not_causal,False
SP_ba9059f8ef74,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,6,"As a result, the optimized electrolyte could potentially reach '70% improvement of cooling power, and a direct cooling of electrolyte '1.42 K was demonstrated with only 0.11 W cm-2 input, showing promise for practical electrochemical refrigeration.",GC_37ed05d8d43e,LN_a71320e3bce0,cooling,cooling,972,979,GC_52c27199b958,LN_754ce830305f,cooling power,cooling power,972,985,GC_37ed05d8d43e::GC_52c27199b958,same_sentence_cooccurrence_not_causal,False
SP_6a651a54b5ce,P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,6,"As a result, the optimized electrolyte could potentially reach '70% improvement of cooling power, and a direct cooling of electrolyte '1.42 K was demonstrated with only 0.11 W cm-2 input, showing promise for practical electrochemical refrigeration.",GC_1004290be41e,LN_d026365adce4,practical electrochemical refrigeration,practical electrochemical refrigeration,1097,1136,GC_37ed05d8d43e,LN_a71320e3bce0,cooling,cooling,972,979,GC_1004290be41e::GC_37ed05d8d43e,same_sentence_cooccurrence_not_causal,False
