overlap_id,pair_id_ite,analysis_layer_ite,pair_key,left_global_concept_id,left_label,right_global_concept_id,right_label,paper_count_ite,sentence_count_ite,strict_syntax_relation_paper_count_ite,first_year_ite,last_year_ite,supporting_paper_ids_ite,supporting_dois_ite,supporting_titles_ite,example_evidence_sentence_ite,example_left_surface_ite,example_right_surface_ite,pair_id_tg,analysis_layer_tg,paper_count_tg,sentence_count_tg,strict_syntax_relation_paper_count_tg,first_year_tg,last_year_tg,supporting_paper_ids_tg,supporting_dois_tg,supporting_titles_tg,example_evidence_sentence_tg,example_left_surface_tg,example_right_surface_tg,interpretation
XO_cee50ee24c20,IP_cee50ee24c20,iTE,GC_708aecfa880a::GC_7abe572670fb,GC_708aecfa880a,output power density,GC_7abe572670fb,output power,2,2,0,2025,2025,P0360; P0367,10.1016/j.energy.2025.138825; 10.1039/d4ta07484j,Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink; An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting,"As the pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2, the output power density is enhanced from 46.91 mW/m2 to 83.01 mW/m2 with a stable ionic thermoelectric coefficient about 0.47 mV/K due to strengthened nanopore surface charge density.",output power density,output power,TP_cee50ee24c20,TG,2,2,0,2022,2024,P0185; P0199,10.1002/adfm.202201021; 10.1002/smll.202310777,Anti-Fatigue and Highly Conductive Thermocells for Continuous Electricity Generation; Synergistic Anisotropic Network and Hierarchical Electrodes Endow Cost-Effective N-Type Quasi-Solid State Thermocell with Boosted Electricity Production,It achieves simultaneous enhancements in mechanical performance and output power density.,output power density,output power,same_normalized_pair_observed_independently_in_both_layers
XO_38dd1ddc7978,IP_38dd1ddc7978,iTE,GC_d18c91f9affa::GC_f8594c410875,GC_d18c91f9affa,temperature difference,GC_f8594c410875,power density,2,2,0,2022,2023,P0386; P0613,10.1016/j.apenergy.2023.120681; 10.1021/acsami.2c07423,Synergy between ionic thermoelectric conversion and nanofluidic reverse electrodialysis for high power density generation; Environmentally Tolerant Ionic Hydrogel with High Power Density for Low-Grade Heat Harvesting,"Results show that the effect of temperature difference is equivalent to overlaying an additional voltage difference, and then the synergy between i-TE conversion and NERD significantly enhances both the power density and efficiency.",temperature difference,power density,TP_38dd1ddc7978,TG,1,1,0,2019,2019,P0109,10.1021/acsenergylett.9b00944,Powerful Thermogalvanic Cells Based on a Reversible Hydrogen Electrode and Gas-Containing Electrolytes,The power density of this TGC reaches 4 W/m(2) at a temperature difference of 30 K.,temperature difference,power density,same_normalized_pair_observed_independently_in_both_layers
XO_c29d8c4b95e7,IP_c29d8c4b95e7,iTE,GC_ea93a132bc3b::GC_f191c40166e8,GC_ea93a132bc3b,normalized maximum power,GC_f191c40166e8,normalized maximum power density,1,2,0,2023,2023,P1053,10.1016/j.ijheatmasstransfer.2023.124454,Effect of hydrodynamic slip on thermoelectric response in negatively-charged nanofluidic channels,"To fill this research gap, this study conducted two-dimensional (2D) numerical simulations based on non-isothermal Poisson, Nernst-Planck, Navier-Stokes, and energy equations to investigate the thermoelectric response, including Seebeck coefficient, thermoelectric cur-rent, power factor, and normalized maximum power density, within a nanochannel with slippage at the channel walls.",normalized maximum power,normalized maximum power density,TP_c29d8c4b95e7,TG,2,2,0,2022,2026,P0083; P0179,10.1002/smll.202514359; 10.1126/sciadv.abl5318,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes; High-thermopower polarized electrolytes enabled by methylcellulose for low-grade heat harvesting,The optimized device delivers a maximum power density of 579.8 mW m-2 and a normalized maximum power density of 0.64 mW m-2 K-2.,normalized maximum power,normalized maximum power density,same_normalized_pair_observed_independently_in_both_layers
XO_556581818224,IP_556581818224,iTE,GC_06ab309e3607::GC_41eb1feb5d89,GC_06ab309e3607,electrochemical impedance spectroscopy,GC_41eb1feb5d89,cyclic voltammetry,1,1,0,2024,2024,P0545,10.1016/j.apmt.2024.102240,Ionic thermoelectricity of salt-free PVA-hydrogel,"Ionic thermoelectric performance, cyclic voltammetry (CV), and electrochemical impedance spectroscopy (EIS) are measured at different relative humidities.",electrochemical impedance spectroscopy,cyclic voltammetry,TP_556581818224,TG,1,1,0,2018,2018,P0104,10.1039/c8se00416a,The thermoelectrochemistry of the aqueous iron(ii)/iron(iii) redox couple: significance of the anion and pH in thermogalvanic thermal-to-electrical energy conversion,"The systems were probed by cyclic voltammetry, pH, UV-Vis spectroscopy and electrochemical impedance spectroscopy, and two competing mechanisms noted, which strongly affect both the current output and Seebeck coefficient (i.e. potential output) of their thermoelectrochemical cells (or thermocells).",electrochemical impedance spectroscopy,cyclic voltammetry,same_normalized_pair_observed_independently_in_both_layers
XO_a2208d55732d,IP_a2208d55732d,iTE,GC_09c84fb5d355::GC_16b42e37ba7a,GC_09c84fb5d355,maximum power,GC_16b42e37ba7a,open circuit,1,1,0,2024,2024,P0349,10.1038/s41467-024-45432-7,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,"In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",maximum power,open-circuit,TP_a2208d55732d,TG,2,2,0,2022,2024,P0045; P0057,10.1016/j.nanoen.2024.110329; 10.1016/j.nanoen.2022.107449,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor; Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy,"An open-circuit voltage of 163 mV, a short-current density of 0.7 mA & sdot;m-2 and a maximum power density of 26.7 mu W & sdot;m-2 are achieved at a temperature difference of 30 K.",maximum power,open-circuit,same_normalized_pair_observed_independently_in_both_layers
XO_60193de32675,IP_60193de32675,iTE,GC_09c84fb5d355::GC_234b2810632d,GC_09c84fb5d355,maximum power,GC_234b2810632d,open circuit voltage,1,1,0,2024,2024,P0349,10.1038/s41467-024-45432-7,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,"In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",maximum power,open-circuit voltage,TP_60193de32675,TG,2,2,0,2022,2024,P0045; P0057,10.1016/j.nanoen.2024.110329; 10.1016/j.nanoen.2022.107449,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor; Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy,"An open-circuit voltage of 163 mV, a short-current density of 0.7 mA & sdot;m-2 and a maximum power density of 26.7 mu W & sdot;m-2 are achieved at a temperature difference of 30 K.",maximum power,open-circuit voltage,same_normalized_pair_observed_independently_in_both_layers
XO_c5b7aaf41763,IP_c5b7aaf41763,iTE,GC_09c84fb5d355::GC_6f0f083fb15f,GC_09c84fb5d355,maximum power,GC_6f0f083fb15f,maximum power density,1,1,0,2026,2026,P0686,10.1002/adfm.75062,"Highly Hydrophobic, Self-Healing, and Stretchable N-type Ionogels for High-Performance Wearable Thermoelectrics","Integrated into an ionic thermoelectric capacitor, it delivers a maximum power density of 0.091 W m-2, demonstrating practical viability for low-grade heat harvesting.",maximum power,maximum power density,TP_c5b7aaf41763,TG,10,11,0,2017,2026,P0037; P0045; P0057; P0081; P0114; P0189; P0192; P0263; P0286; P0308,10.1016/j.energy.2024.130557; 10.1016/j.nanoen.2024.110329; 10.1016/j.nanoen.2022.107449; 10.1039/d5ta09239f; 10.1016/j.ijhydene.2017.08.111; 10.1016/j.applthermaleng.2024.124970; 10.1016/j.nanoen.2016.11.014; 10.1016/j.cej.2026.178256; 10.3390/nano13091488; 10.1039/d1se01893k,"Modeling, thermodynamic performance analysis, and parameter optimization of a hybrid power generation system coupling thermogalvanic cells with alkaline fuel cells; Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor; Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; Thermally-driven chemical heterogeneity produces large thermopower and multiday operability in a thermogalvanic cell; A solid state thermogalvanic cell harvesting low-grade thermal energy","The calculated results indicate that the hybrid system achieves a considerable increase of 19.72% in maximum power density from 247.07 W m-2 to 295.80 W m-2 and 5.71% in conversion efficiency from 10.16% to 10.74% compared to a single AFC, respectively.",maximum power,maximum power density,same_normalized_pair_observed_independently_in_both_layers
XO_8f50560d1b91,IP_8f50560d1b91,iTE,GC_09c84fb5d355::GC_d18c91f9affa,GC_09c84fb5d355,maximum power,GC_d18c91f9affa,temperature difference,1,1,0,2023,2023,P0379,10.1016/j.carbpol.2023.121310,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors,"This paper reports a 2,2,6,6-tetramethylpiperidine-1-oxyl radical (TEMPO)-oxidized carboxylated bacterial cellulose (TOBC) coordination double-network ionic thermoelectric hydrogel with lithium bis(trifluoromethane) sulfonimide (LiTFSI) as an ion provider for thermodiffusion, as LiTFSI exhibits excellent thermoelectric properties with a maximum power output of up to 538 nW at a temperature difference of 20 K.",maximum power,temperature difference,TP_8f50560d1b91,TG,4,4,0,2017,2026,P0045; P0057; P0114; P0263,10.1016/j.nanoen.2024.110329; 10.1016/j.nanoen.2022.107449; 10.1016/j.ijhydene.2017.08.111; 10.1016/j.cej.2026.178256,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor; Transparent stretchable thermogalvanic PVA/gelation hydrogel electrolyte for harnessing solar energy enabled by a binary solvent strategy; A solid state thermogalvanic cell harvesting low-grade thermal energy; Efficient seawater desalination enabled by temperature-regulated electrolyte gradient,"An open-circuit voltage of 163 mV, a short-current density of 0.7 mA & sdot;m-2 and a maximum power density of 26.7 mu W & sdot;m-2 are achieved at a temperature difference of 30 K.",maximum power,temperature difference,same_normalized_pair_observed_independently_in_both_layers
XO_4e6ae31824a5,IP_4e6ae31824a5,iTE,GC_09c84fb5d355::GC_e49423da4792,GC_09c84fb5d355,maximum power,GC_e49423da4792,short circuit current,1,1,0,2024,2024,P0349,10.1038/s41467-024-45432-7,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,"In a prototype 25-cell module, the open-circuit voltage and short-circuit current are 6.9 V and 68 mA, respectively, and the maximum power is 131 mW.",maximum power,short-circuit current,TP_4e6ae31824a5,TG,1,1,0,2017,2017,P0320,10.1115/1.4036045,Analytical Study and Experimental Validation of Copper II Sulfate and Potassium Ferri/Ferrocyanide Thermocells Using Onsager Flux Equations,"The simulation is shown to correctly predict the short circuit current, maximum power output, and power conversion efficiency.",maximum power,short circuit current,same_normalized_pair_observed_independently_in_both_layers
XO_cb75fb7e2b62,IP_cb75fb7e2b62,iTE,GC_0f4681a9cd6b::GC_6cdb23f33c74,GC_0f4681a9cd6b,thermal transport,GC_6cdb23f33c74,seebeck coefficient,1,1,0,2026,2026,P0366,10.1039/d5mh01762a,Harvesting body heat through clay-based ionic thermoelectric devices,Thermal transport of intercalating cations through an interconnected network of 2D channels yielded a Seebeck coefficient (Si) of up to 13.63 +/- 1.13 mV K-1.,Thermal transport,Seebeck coefficient,TP_cb75fb7e2b62,TG,1,1,0,2026,2026,P0081,10.1039/d5ta09239f,Thermally-driven chemical heterogeneity produces large thermopower and multiday operability in a thermogalvanic cell,"We add weakly coordinating anions to stabilize the oxidized species, increase redox entropy change, and balance electrical and thermal transport, and the optimized cell delivers a Seebeck coefficient of 6.44 mV K-1; a maximum power density similar to 8 W m(-2); and similar to 0.5 V (open circuit) at a 75 K gradient.",thermal transport,Seebeck coefficient,same_normalized_pair_observed_independently_in_both_layers
XO_a3fa3d7fd3ea,IP_a3fa3d7fd3ea,iTE,GC_118af0040619::GC_21faa67da1fd,GC_118af0040619,thermopower,GC_21faa67da1fd,conversion,1,1,0,2025,2025,P0519,10.1016/j.nanoen.2025.111527,A mixed ion-electron thermoelectric generator with an activated carbon ionogel for heat harvesting from fluctuated and steady temperature gradients,Ionic thermoelectric (iTE) materials hold great potential for efficient heat-to-electricity conversion due to their exceptionally high thermopower.,thermopower,conversion,TP_a3fa3d7fd3ea,TG,1,1,0,2025,2025,P0029,10.1021/acs.jpclett.5c02903,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,"Thermogalvanic cells utilize redox couple ions to achieve continuous heat-to-electricity conversion, yet the development of high-performance electrolytes is limited by the complex relationship between solvation of redox couple ions and thermopower.",thermopower,conversion,same_normalized_pair_observed_independently_in_both_layers
