audit_order,candidate_id,evidence_tier,evidence_tier_order,evidence_tier_reason,strict_syntax_supported_side,ite_side_evidence_level,tg_side_evidence_level,evidence_floor,evidence_ceiling,evidence_grade,evidence_grade_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,other_endpoints_focus_eligible,focus_eligible,shared_ite_document_frequency,shared_tg_document_frequency,shared_ite_incident_pair_degree,shared_tg_incident_pair_degree,ite_pair_id,ite_pair_key,ite_pair_label,ite_other_global_concept_id,ite_other_label,ite_other_category,ite_pair_paper_count,ite_pair_sentence_count,ite_pair_strict_syntax_relation_paper_count,ite_pair_human_confirmed_relation_paper_count,ite_strict_relation_ids,ite_human_confirmed_relation_ids,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_key,tg_pair_label,tg_other_global_concept_id,tg_other_label,tg_other_category,tg_pair_paper_count,tg_pair_sentence_count,tg_pair_strict_syntax_relation_paper_count,tg_pair_human_confirmed_relation_paper_count,tg_strict_relation_ids,tg_human_confirmed_relation_ids,tg_authoritative_provenance_fk,closure_group_id,cross_endpoint_pair_key,cross_endpoint_pair,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,scientific_claim_status,candidate_interpretation,minimum_relation_support,total_relation_support,minimum_human_confirmed_relation_support,total_human_confirmed_relation_support,minimum_pair_paper_count,sum_pair_paper_count,minimum_pair_sentence_count,sum_pair_sentence_count,shared_minimum_document_frequency,closure_path_count,shared_candidate_path_count,within_shared_node_support_rank,within_shared_node_tier_support_rank,focus_within_shared_node_support_rank,focus_within_shared_node_tier_support_rank
132,TC_fc4b06b28eb2,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_f0300dc04725,GC_27998e08b8e3::GC_fa33573849df,hydration + redox entropy,GC_fa33573849df,redox entropy,mechanism_or_process,1,1,0,0,,,TP_f0300dc04725,CL_a8d83fb65ae9,GC_7320e2b5d0b7::GC_fa33573849df,regulation + redox entropy,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,10,10,6,6
133,TC_8ae06663a1e8,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,1,1,5,3,IP_6a7a108d8704,GC_2d2e2de4f537::GC_3c0cb933cdf7,coulombic interaction + ion pair,GC_2d2e2de4f537,coulombic interaction,mechanism_or_process,1,1,0,0,,,IP_6a7a108d8704,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_725137547b0b,GC_2d2e2de4f537::GC_bc536166f47d,coulombic interaction + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,1,1,1,1
134,TC_8f23bd333802,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,1,1,5,3,IP_71541f756f62,GC_3c0cb933cdf7::GC_aa7025094eaf,ion pair + repulsive interaction,GC_aa7025094eaf,repulsive interaction,mechanism_or_process,1,1,0,0,,,IP_71541f756f62,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_f7ee0ef554eb,GC_aa7025094eaf::GC_bc536166f47d,repulsive interaction + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,2,2,2,2
135,TC_680b93bd09d0,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,1,1,5,3,IP_bec71a66d24d,GC_3c0cb933cdf7::GC_8ad5b453cc37,ion pair + ion diffusion,GC_8ad5b453cc37,ion diffusion,mechanism_or_process,1,1,0,0,,,IP_bec71a66d24d,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_9372b1f9006e,GC_8ad5b453cc37::GC_bc536166f47d,ion diffusion + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,3,15,3,3,3,3
136,TC_d50a3752b741,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,False,False,1,1,5,3,IP_d0dc27a6e0a9,GC_3c0cb933cdf7::GC_df60012af144,ion pair + large size,GC_df60012af144,large size,untyped_extractive_keyword,1,1,0,0,,,IP_d0dc27a6e0a9,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_ebb91fbd3059,GC_bc536166f47d::GC_df60012af144,large size + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,4,4,,
137,TC_1a0b9a20fa31,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,False,False,1,1,5,3,IP_d8f2db3cbdbd,GC_3c0cb933cdf7::GC_f2dc513be1e2,ion pair + long range,GC_f2dc513be1e2,long range,untyped_extractive_keyword,1,1,0,0,,,IP_d8f2db3cbdbd,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_5bec2e350e12,GC_bc536166f47d::GC_f2dc513be1e2,long range + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,5,5,,
138,TC_f62b7feaf99e,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,True,True,16,1,40,1,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_cf402379d512,concentration gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_6febc60dcd6c,GC_3c432d56645d::GC_c5e29ae688a6,thermal gradient + investigate power,GC_c5e29ae688a6,investigate power,outcome_or_property,1,1,0,0,,,TP_6febc60dcd6c,CL_edf352a568c2,GC_c5e29ae688a6::GC_cf402379d512,concentration gradient + investigate power,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,40,1,1,1,1
139,TC_9a23f874849c,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_03237651a1bf,GC_4a92e5f4fe38::GC_d3aef9f1ae1f,hydrogel + marginal solvation entropy,GC_d3aef9f1ae1f,marginal solvation entropy,mechanism_or_process,1,1,0,0,,,TP_03237651a1bf,CL_9ed1a2301b98,GC_d3aef9f1ae1f::GC_f2bba15c8a15,physiological temperature gradient + marginal solvation entropy,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,13,13,12,12
140,TC_b574a6ae38bd,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_0a39eb061a1c,GC_4a92e5f4fe38::GC_f8594c410875,hydrogel + power density,GC_f8594c410875,power density,outcome_or_property,1,1,0,0,,,TP_0a39eb061a1c,CL_c01eef4c57e1,GC_f2bba15c8a15::GC_f8594c410875,physiological temperature gradient + power density,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,14,14,13,13
141,TC_137d86c693f6,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_0d385ff1e54e,GC_030e2d8d54dd::GC_4a92e5f4fe38,double network + hydrogel,GC_030e2d8d54dd,double network,material_or_structure,1,1,0,0,,,TP_0d385ff1e54e,CL_709604e96a98,GC_030e2d8d54dd::GC_f2bba15c8a15,physiological temperature gradient + double network,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,15,15,14,14
142,TC_9e1baa244864,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_13b3292a1ffe,GC_4a92e5f4fe38::GC_c1c27d3e68b4,hydrogel + marginal solvation entropy difference,GC_c1c27d3e68b4,marginal solvation entropy difference,mechanism_or_process,1,1,0,0,,,TP_13b3292a1ffe,CL_62f8bf4f7118,GC_c1c27d3e68b4::GC_f2bba15c8a15,physiological temperature gradient + marginal solvation entropy difference,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,16,16,15,15
143,TC_450a14a5215d,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_147588a9a421,GC_4a92e5f4fe38::GC_5ef8766de935,hydrogel + k4,GC_5ef8766de935,k4,literal_formula,1,1,0,0,,,TP_147588a9a421,CL_f067d4337aef,GC_5ef8766de935::GC_f2bba15c8a15,physiological temperature gradient + k4,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,17,17,16,16
144,TC_4108539da90c,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_14caa43303e4,GC_3cb102b9bb3d::GC_4a92e5f4fe38,normalized power density + hydrogel,GC_3cb102b9bb3d,normalized power density,outcome_or_property,2,2,0,0,,,TP_14caa43303e4,CL_64ee3a2f7d79,GC_3cb102b9bb3d::GC_f2bba15c8a15,physiological temperature gradient + normalized power density,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,3,1,3,21,1,9390,4,4,4,4
