pair_evidence_id,pair_id,analysis_layer,pair_key,sentence_pair_id,relation_id,paper_id,source_record_ids,doi,title,abstract_sha256,sentence_id,evidence_sentence,left_global_concept_id,left_surface,left_char_start,left_char_end,right_global_concept_id,right_surface,right_char_start,right_char_end,relation_source_surface,relation_source_char_start,relation_source_char_end,predicate_surface,predicate_char_start,predicate_char_end,relation_target_surface,relation_target_char_start,relation_target_char_end,strict_syntax_eligible,graph_eligible,evidence_scope
PE_07a369988a50,TP_0195e99eefa2,TG,GC_3e2f500dc35e::GC_dad97d797387,SP_7f2942cdbdf0,AR_15705325e379,P0009,TG_0008,10.1126/science.adg0164,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,f31fb7deff199c7537af8f5635c9015102b53cee0240a147cd6bda9075899adb,2,We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.,GC_3e2f500dc35e,continuous concentration gradient,299,332,GC_dad97d797387,redox reaction,236,250,redox reaction,236,250,generates,256,265,continuous concentration gradient,299,332,False,False,non_strict_relation_candidate
PE_092ec328bd91,TP_0195e99eefa2,TG,GC_3e2f500dc35e::GC_dad97d797387,SP_7f2942cdbdf0,AR_4a2496b41af8,P0009,TG_0008,10.1126/science.adg0164,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,f31fb7deff199c7537af8f5635c9015102b53cee0240a147cd6bda9075899adb,2,We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.,GC_3e2f500dc35e,continuous concentration gradient,299,332,GC_dad97d797387,redox reaction,236,250,redox reaction,236,250,realize,289,296,continuous concentration gradient,299,332,False,False,non_strict_relation_candidate
PE_9d5870bdf648,TP_020798ef9bc2,TG,GC_001c23a253ac::GC_b424c7bba46f,SP_ffce5059d9c4,,P0289,TG_0288,10.1021/nl903267n,Harvesting Waste Thermal Energy Using Carbon-Nanotube-Based Thermo-Electrochemical Cell,6d776decbad374d97c237eab6ab80b70ee3061c3531dc63a1e6890cd8cb85b9d,3,"These electrodes provide high electrochemically accessible surface areas and fast redox-mediated electron transfer, which significantly enhances thermocell current generation capacity and overall efficiency.",GC_001c23a253ac,overall efficiency,592,610,GC_b424c7bba46f,thermocell current generation capacity,549,587,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_632b04309eb9,TP_0222bdeea858,TG,GC_82e9078068c7::GC_c251a6659fb5,SP_e3f54b5d0a58,,P0027,TG_0026,10.1016/j.mtener.2024.101546,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,ef252828ef0e1d76754678526b4e0f30bef02a514a936f1c24cfc3f5bbb82a36,5,"Small angle X-ray scattering reveals controlled GelMA hydrogel mesh size adjusting the amount of GdmCl, leading to improved intermolecular interactions between the guanidium cations and GelMA polymer.",GC_82e9078068c7,Small angle X-ray scattering,594,622,GC_c251a6659fb5,controlled GelMA hydrogel,631,656,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_c98146b4e96c,TP_023a19b11efa,TG,GC_3cb102b9bb3d::GC_7abe572670fb,SP_108a0fe77c29,,P0135,TG_0134,10.1021/acsnano.4c12294,MXene Hollow Microsphere-Boosted Nanocomposite Electrodes for Thermocells with Enhanced Thermal Energy Harvesting Capability,ba2d02f8cb4fe8695a34cabc68b062fb1b662b01314033b90b0dee54403db74e,6,"The optimized n-type TEC achieved an output power of 84.55 mu W cm-2 and a normalized power density of 0.53 mW m-2 K-2 under a Delta T of 40 K, outperforming noble platinum-based TECs by a factor of 5.5.",GC_3cb102b9bb3d,normalized power density,1111,1135,GC_7abe572670fb,output power,1073,1085,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_b5d19e027ef1,TP_024613085a02,TG,GC_1138bf4e4525::GC_fca93dee9c4a,SP_4a2c0a6ebf2b,,P0160,TG_0159,10.1039/d5sc00892a,A non-isothermal water formation cell for electrochemical heat recovery,c9721d324ecfc0ae5904bfb4ead31e774be49eaf92f9208282ab60c843b998ef,5,This water formation-based galvanic-thermogalvanic device demonstrated a temperature-insensitive maximum power density as high as similar to 33.55 mW m-2 K-2.,GC_1138bf4e4525,galvanic-thermogalvanic,671,694,GC_fca93dee9c4a,temperature-insensitive maximum power,717,754,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_67bb10f7e4e3,TP_0281bf3dc582,TG,GC_55c4816f4855::GC_cb813afe06b3,SP_63c5744504cd,,P0046,TG_0045,10.1002/aenm.202404151,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,36a9c03df60aee5efe7b5d4f2d2d0843ea0806d8458c04f84503efa9abb09cef,2,"However, TGCs based on liquid electrolytes are prone to leakage, whereas quasi-solid-state TGCs (QTCs) using gel-based electrolytes typically have low power outputs due to slow ion diffusion and limited reaction rates.",GC_55c4816f4855,liquid electrolytes,189,208,GC_cb813afe06b3,limited reaction rates,361,383,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_2e2057a4396a,TP_028338e3be61,TG,GC_266b8cee4008::GC_3430a50e63de,SP_f37ea15ac1e3,AR_4e2eff4bf7b9,P0277,TG_0276,10.1002/adfm.202304067,FeNC Electrocatalyst for Enhancing Fe(II)/Fe(III) Redox Kinetics in Thermo-Electrochemical Cells,ab7eef9046d7eea1824429b3d0bd38b7b94bf3bde3ce903cc59e93410e7df477,6,"Moreover, the use of a cost-effective FeNC electrocatalyst shows redox kinetics and a power density comparable to those of state-of-the-art Pt electrodes, economically compensating for the sluggish charge-transfer kinetics of the inner-sphere redox mechanism.",GC_266b8cee4008,FeNC,838,842,GC_3430a50e63de,redox kinetics,865,879,FeNC,838,842,shows,859,864,redox kinetics,865,879,True,False,strict_syntax_relation_candidate
PE_dd8b01c24199,TP_029c38d1953f,TG,GC_e3dc7a9d810c::GC_f7553cd07f36,SP_55f0aec58be3,,P0193,TG_0192,10.1039/d2ta09385e,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,fa3bb3cec50f315c80be3c1669e676af677bb484da5045ac8f402bb5308a95bd,2,"The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness.",GC_e3dc7a9d810c,quasi-solid-state,203,220,GC_f7553cd07f36,hydrogel electrolytes,135,156,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_69d8077a4997,TP_029c38d1953f,TG,GC_e3dc7a9d810c::GC_f7553cd07f36,SP_ef97d2e4c4b4,,P0193,TG_0192,10.1039/d2ta09385e,Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,fa3bb3cec50f315c80be3c1669e676af677bb484da5045ac8f402bb5308a95bd,4,"Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C).",GC_e3dc7a9d810c,quasi-solid-state,786,803,GC_f7553cd07f36,hydrogel electrolyte,584,604,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_a1f8ae948f3e,TP_02b08077b672,TG,GC_2154b804c13f::GC_ea4ab4866131,SP_fe75a98a301d,,P0044,TG_0043,10.1039/d4ee01642d,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,2ed630cddfdabe4489d21209d0491c5ad94a10d20744a81a9633767b1592ffd1,7,Exploiting the entropy of fusion among thermogalvanic devices and the associated configurational entropy change of bulk alkali metal alloys enables significant boosting of the thermopower from 1.5 mV K-1 to 26.1 mV K-1 for Na2+xK alloys.,GC_2154b804c13f,bulk alkali metal alloys,1100,1124,GC_ea4ab4866131,Na2+xK,1208,1214,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_6240e8481cba,TP_02be083c0ae5,TG,GC_118af0040619::GC_f42dbe983442,SP_b44d3f796cc8,,P0255,TG_0254,10.1007/s40820-025-01977-w,High-Performance Cu-Based Liquid Thermocells Enabled by Thermosensitive Crystallization and Etched Carbon Cloth Electrode,2dda10dbc96336725da345dcfb1dc87b6c5246e2ce665d40b0b3b487333193c8,5,"The thermosensitive crystallization process establishes a persistent Cu2+ concentration gradient, boosting the thermopower from 1.47 to 2.93 mV K-1.",GC_118af0040619,thermopower,739,750,GC_f42dbe983442,Cu2+,697,701,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_9bd16856a3d8,TP_02e4c663f871,TG,GC_5e68513455e0::GC_b8bc6d5be518,SP_7984b4b4cfcc,,P0039,TG_0038,10.1039/d2ee00738j,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,523f391f221a566095e424cd505e39b66a703aca9736d759930cd7d8d4aab422,2,"We demonstrated a highly ionic conductive, anti-freezing stretchable thermogalvanic hydrogel thermocell (STHTC) with a record-high specific output power density of 1780 mu W m(-2) K-2, which is similar to 3 times the maximum value of previously reported STHTCs.",GC_5e68513455e0,specific output power,304,325,GC_b8bc6d5be518,STHTCs,427,433,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_d322e0a92123,TP_0309963b0bfc,TG,GC_ea9836cd328b::GC_f7002d379227,SP_4f4b883074f8,,P0132,TG_0131,10.1149/1.1580818,Thermoelectric power of M-H systems in molten salts and application to M-H thermogalvanic cell,f51e80e7f7ddd2de717e2656588043f351dc173c8e9b25ab41267c5f49a38e7a,3,"Using these results, the feasibility of the M-H-type thermogalvanic cell, which uses electrochemical reactions between hydrogen-absorbing metals and hydride ion in molten salts, is discussed.",GC_ea9836cd328b,molten salts,671,683,GC_f7002d379227,uses electrochemical reactions,587,617,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_b804aaff674e,TP_030d6b63871b,TG,GC_cf402379d512::GC_d55ff41c1e96,SP_efb9b50805d8,,P0018,TG_0017,10.1016/j.nanoen.2024.110515,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,c3a285770992fab6b579b9db18f1cd012180f02de6a27c2856fe98732f3a947b,2,"To expedite the deployment of TGCs, this study delves into the mechanistic interplay of three crucial determinants: intrinsic temperature coefficient, concentration gradient, and activity coefficient of redox couples, elucidating their impact on TGCs' thermoelectric performance.",GC_cf402379d512,concentration gradient,403,425,GC_d55ff41c1e96,activity coefficient,431,451,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_314228bd0d9b,TP_0320195c41d8,TG,GC_23b617855c90::GC_b74f3b2d2a63,SP_9261655f7dff,,P0073,TG_0072,10.1039/d5ta08892e,A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing,96b7818c26130747f43a40c7817d4e82ab506a6a37de5361d02d68336ca9da0f,1,"Thermal and strain recognition is a promising modality for wearable electronics and human-machine interfaces, taking advantage of its natural, efficient, and user-distinctive characteristics.",GC_23b617855c90,user-distinctive,158,174,GC_b74f3b2d2a63,human-machine,84,97,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_5695607bec49,TP_03237651a1bf,TG,GC_4a92e5f4fe38::GC_d3aef9f1ae1f,SP_5000ac5c3bae,,P0172,TG_0171,10.1039/d6sc03942a,Engineering asymmetric solvation structures for synergistically boosted quasi-solid thermocells,11de2e0c4fcd636a3f57dbb3daf97cd94461a54708f2830485ee9d486491fe71,2,"Introducing a single solvent into hydrogel electrolytes, a common strategy to enhance thermopower, often yields a marginal solvation entropy difference between redox ions and provides limited gains in ion transport.",GC_4a92e5f4fe38,hydrogel,197,205,GC_d3aef9f1ae1f,marginal solvation entropy,277,303,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_f9226d7ac6d6,TP_03e13f456596,TG,GC_5a4b62ab7660::GC_a8e6012e4ab8,SP_272f07cf578e,,P0320,TG_0319,10.1115/1.4036045,Analytical Study and Experimental Validation of Copper II Sulfate and Potassium Ferri/Ferrocyanide Thermocells Using Onsager Flux Equations,8496dccf8a0e9540c33cdf0d8156768d1f673ad4816a7379011d0907f1d843c0,3,"The transport coefficient matrices were calculated for each electrolyte and applied to several simulations, which were subsequently validated through experimental testing and comparison to previous literature results.",GC_5a4b62ab7660,transport coefficient,361,382,GC_a8e6012e4ab8,transport,361,370,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_985de2580486,TP_03e9d23ba6fc,TG,GC_3ea8786de366::GC_4adc0c83e3f0,SP_1211144a8041,,P0148,TG_0147,10.1149/1.2220980,THERMOGALVANIC BEHAVIOR OF ACIDIC CU-2+/CU SYSTEM INDUCED BY LASER IRRADIATION,d9a79c3a5f30ec86d72a864737853c907713e6678711e4fba10a15f667c0ae02,2,The system served as a thermogalvanic cell and a highly selective copper deposit was formed at the laser-irradiated center without any chemical reductant added.,GC_3ea8786de366,thermogalvanic cell,187,206,GC_4adc0c83e3f0,laser-irradiated,263,279,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_2e738f2b12f0,TP_0414b2ccab0f,TG,GC_cffc202398bb::GC_e998988ab136,SP_f00c6cbe3655,,P0081,TG_0080,10.1039/d5ta09239f,Thermally-driven chemical heterogeneity produces large thermopower and multiday operability in a thermogalvanic cell,45a2df599844f57cdccaf5aaa975bf2369a1d072f32b2e22cbfac20b46839c55,2,"Here, we introduce a redox-split thermogalvanic cell in which a temperature gradient drives localized oxidation of a nickel-bipyridine complex at the hot electrode only, creating chemical heterogeneity that augments thermopower via additional concentration gradient effects.",GC_cffc202398bb,redox-split,197,208,GC_e998988ab136,hot electrode,326,339,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_b39a5a97e841,TP_0428cb38a66f,TG,GC_3d33efb94fea::GC_b866c3462ec2,SP_a317832c5b9c,,P0029,TG_0028,10.1021/acs.jpclett.5c02903,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,29ee28f23a79a22dd5996dad35a983ed628cc79983b7f9333c3ac31eae508ed5,6,"The framework validated known effective solvents and identified new candidates, which were confirmed via solvation structure calculations and UV-vis spectroscopy.",GC_3d33efb94fea,validated known effective solvents,928,962,GC_b866c3462ec2,UV-vis spectroscopy,1056,1075,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_25600917a7e5,TP_043bec27c430,TG,GC_583fd7c565e9::GC_935c8a2c0bed,SP_b31ffc5635be,,P0154,TG_0153,10.1002/adfm.202209806,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,0f8d812a83c2561fffb1134cc91756e9e68252e31cd6f8b740ed73a840ee8918,3,"This work presents a rational design of flexible film electrodes constructed on a ternary composite of Ti3C2Tx MXene (T-x represents surface terminations), polyaniline (PANI) and single-wall carbon nanotubes for TECs, which exhibit notably enhanced thermoelectrochemical performance compared to the widely adopted noble platinum electrodes.",GC_583fd7c565e9,Ti3C2Tx,385,392,GC_935c8a2c0bed,ternary composite,364,381,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_3b2379125923,TP_0440c4655ba9,TG,GC_809f9a5bfdd8::GC_ec8f228a1583,SP_9b110e60cb44,,P0127,TG_0126,10.1149/1.1837047,"Power conversion efficiency, electrode separation, and overpotential in the ferricyanide/ferrocyonide thermogalvanic cell",7f33b224a29a09b281ef0d1814e44ce66c12b08c6d34ee8afe84901ae38186ca,1,"The effect of electrode separation on the power conversion efficiency of a ferricyanide/ferrocyanide thermogalvanic cell containing platinum electrodes was studied at electrode separations up to 150 cm, using the ''cold-above-hot'' electrode configuration.",GC_809f9a5bfdd8,power conversion efficiency,42,69,GC_ec8f228a1583,cell containing platinum electrodes,116,151,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_5955fd80c469,TP_046865025050,TG,GC_16c988b4e980::GC_6cdb23f33c74,SP_10eb39caada7,,P0676,iTE1_0367,10.1016/j.electacta.2013.08.087,Towards ionic liquid-based thermoelectrochemical cells for the harvesting of thermal energy,bb65fec0280285939d1d18f8ad7aec0f9f6e05f20278599b9bc722471d8e260f,8,"This comparison requires evaluation of the diffusivity of the redox couple, the thermal conductivity of the electrolyte, and the Seebeck coefficient (S-e) of the redox electrolyte.",GC_16c988b4e980,redox electrolyte,1337,1354,GC_6cdb23f33c74,Seebeck coefficient,1304,1323,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_cf658388e083,TP_047f218c566d,TG,GC_16b42e37ba7a::GC_4e321219f8ce,SP_b12014033659,,P0127,TG_0126,10.1149/1.1837047,"Power conversion efficiency, electrode separation, and overpotential in the ferricyanide/ferrocyonide thermogalvanic cell",7f33b224a29a09b281ef0d1814e44ce66c12b08c6d34ee8afe84901ae38186ca,2,"The open-circuit potential difference is almost independent of electrode separation, but the short-circuit current density falls continuously with increasing electrode separation, while the power conversion efficiency increases asymptotically to a plateau value of ca. 0.04% at a separation near 150 cm.",GC_16b42e37ba7a,open-circuit,261,273,GC_4e321219f8ce,increasing electrode,404,424,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_78dbf82b7ea8,TP_048000d1237e,TG,GC_37710320fb29::GC_611c5281ea25,SP_d955dc4e4657,,P0028,TG_0027,10.1021/acsaem.5c02080,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,53ac4b53c83ec58901584a4efb43074d2c93967f95fce5e56f0ec497731440d3,3,"Here, we report the development of a fully printed thermogalvanic module (TGM) that integrates screen-printed hybrid current collectors, activated carbon-based electrodes, an adhesive sealing layer, and a laser-drilled spacer.",GC_37710320fb29,integrates screen-printed hybrid current,473,513,GC_611c5281ea25,screen-printed,484,498,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_62110a517476,TP_04c91d5f5aca,TG,GC_138545480ba1::GC_7cb9124c4f12,SP_0dedf8b02ead,,P0324,TG_0323,10.1007/s10800-016-1010-9,Sub-zero temperature thermo-electrochemical energy harvesting system using a self-heating negative temperature coefficient CNT-vanadium oxide cathode,92d8bf5224af2b7f913e636e75f9993746a3407a8299a839b7c0f298113b3b8f,5,"In addition, the advantage of using NTC CNT-VO (x) cathode as a self-heating source at various Delta T (i.e., without the support of any external source) in a thermo-electrochemical system for sub-zero temperature energy conversion is presented.",GC_138545480ba1,thermo-electrochemical,865,887,GC_7cb9124c4f12,sub-zero,899,907,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_df21cef3d3cd,TP_04dbc9dfa618,TG,GC_3ead572f9849::GC_f50bbe3cdc5d,SP_a01e81de298e,,P0081,TG_0080,10.1039/d5ta09239f,Thermally-driven chemical heterogeneity produces large thermopower and multiday operability in a thermogalvanic cell,45a2df599844f57cdccaf5aaa975bf2369a1d072f32b2e22cbfac20b46839c55,2,"Here, we introduce a redox-split thermogalvanic cell in which a temperature gradient drives localized oxidation of a nickel-bipyridine complex at the hot electrode only, creating chemical heterogeneity that augments thermopower via additional concentration gradient effects.",GC_3ead572f9849,augments thermopower,383,403,GC_f50bbe3cdc5d,temperature gradient,240,260,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_d52ad546c1b4,TP_04f2399662e2,TG,GC_22dfaa7132b8::GC_ebea37c26c0e,SP_3985d1fce5d2,,P0099,TG_0098,10.1016/j.tsep.2022.101448,Stimulating green energy potential in Sub-Saharan Africa: An analysis of copper-copper sulphate thermogalvanic cell architecture,6a22dd84f77094fd3e7c0f035701461b94925de05bd43b93dbd2936f8996b1a8,7,The highest Seebeck coefficient (0.985 mV/K) was obtained at 0.7 M CuSO4 + 0.2 M H2SO4 electrolyte.,GC_22dfaa7132b8,H2SO4,857,862,GC_ebea37c26c0e,H2SO4 electrolyte,857,874,,,,,,,,,,False,False,same_sentence_cooccurrence_only
PE_91d8795125c2,TP_0563c47fe2af,TG,GC_234b2810632d::GC_671646814c91,SP_34adbd465599,,P0194,TG_0193,10.1039/d2ee00846g,Vapor and heat dual-drive sustainable power for portable electronics in ambient environments,ad0bc41118e0969252dad40b6ea721b3160cf8cc0d21f36366b7366e6a58cede,3,"Based on the ternary aggregate of a polyelectrolyte, conducting polymer and a redox couple, the vapor and heat dual-drive electric generator (VHG) of 1 cm(2) offers an open circuit voltage of 0.9 V, and a sustainable short-circuit-current density of up to 0.8 mA cm(-2), much higher than that of single-source generators.",GC_234b2810632d,open circuit voltage,439,459,GC_671646814c91,electric generator,393,411,,,,,,,,,,False,False,same_sentence_cooccurrence_only
