pair_id,domain_layer,pair_key,source_node_id,source_role,node_a_label,target_node_id,target_role,node_b_label,pair_type,paper_count,exclusive_layer_paper_count,shared_corpus_paper_count,first_year,last_year,supporting_paper_ids,supporting_dois,supporting_titles,node_a_domain_df,node_b_domain_df,historical_graph_eligible,pair_evidence_strength
TP_6a44e1ba66d1,iTE|TG,TC_6d3814acb95f::TC_07500f5feb43,TC_6d3814acb95f,material_system,hydrogel,TC_07500f5feb43,structure_state,dynamic crosslinked gel network,material_system__structure_state,5,5,5,2022,2026,P0047; P0180; P0188; P0246; P0261,10.1007/s40820-022-00824-6; 10.1016/j.mtsust.2022.100293; 10.1002/smll.202407622; 10.1016/j.cej.2025.159714; 10.1080/17452759.2026.2638660,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters; High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy; Multi-material 3D printing of self-powered sensors based on ionic thermoelectric hydrogels,23,5,True,1.0
TP_0057c256ec8b,iTE|TG,TC_8630a7a80369::TC_4b2db7e72622,TC_8630a7a80369,material_system,polyacrylamide (PAM),TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,5,5,5,2023,2025,P0023; P0150; P0180; P0188; P0197,10.1021/acsapm.5c02573; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1002/smll.202407622; 10.1016/j.est.2024.110437,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters; Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,5,20,True,1.0
TP_d9fb88832504,iTE|TG,TC_8630a7a80369::TC_125db93329fb,TC_8630a7a80369,material_system,polyacrylamide (PAM),TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,4,4,4,2023,2025,P0023; P0150; P0180; P0197,10.1021/acsapm.5c02573; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1016/j.est.2024.110437,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,5,30,True,0.8982
TP_21fe659d1701,iTE|TG,TC_c8efd3db5897::TC_125db93329fb,TC_c8efd3db5897,material_system,poly(vinyl alcohol) (PVA),TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,4,4,4,2023,2026,P0015; P0062; P0144; P0150,10.1002/adma.202300696; 10.1016/j.nanoen.2022.108077; 10.1038/s41467-026-68721-9; 10.1016/j.jpowsour.2024.234647,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions; Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,9,30,True,0.8982
TP_0b0dc24d08c6,iTE|TG,TC_6d3814acb95f::TC_d6b4f02a544c,TC_6d3814acb95f,material_system,hydrogel,TC_d6b4f02a544c,structure_state,double/interpenetrating network,material_system__structure_state,4,4,4,2023,2026,P0180; P0188; P0246; P0261,10.1016/j.mtsust.2022.100293; 10.1002/smll.202407622; 10.1016/j.cej.2025.159714; 10.1080/17452759.2026.2638660,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters; High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy; Multi-material 3D printing of self-powered sensors based on ionic thermoelectric hydrogels,23,4,True,0.8982
TP_f5e659bf61ca,iTE|TG,TC_4b2db7e72622::TC_575b8475e747,TC_4b2db7e72622,structure_state,gel-confined redox transport,TC_575b8475e747,mechanism,ionic thermodiffusion (Soret effect),structure_state__mechanism,4,4,4,2023,2025,P0003; P0141; P0180; P0267,10.1016/j.cej.2025.161288; 10.1016/j.mtphys.2024.101375; 10.1016/j.mtsust.2022.100293; 10.1002/smll.202407529,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Ionic thermoelectric materials: Innovations and challenges; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,20,21,True,0.8982
TP_13db326964d4,iTE|TG,TC_6d3814acb95f::TC_af6bbcaf729f,TC_6d3814acb95f,material_system,hydrogel,TC_af6bbcaf729f,mechanism,Fe2+/Fe3+ solvation redox chemistry,material_system__mechanism,4,4,4,2025,2026,P0003; P0078; P0080; P0139,10.1016/j.cej.2025.161288; 10.1016/j.jpowsour.2025.239060; 10.1016/j.cej.2026.175294; 10.1002/adfm.202417740,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells; Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting; High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,23,10,True,0.8982
TP_75e93b468e73,iTE|TG,TC_4b2db7e72622::TC_af6bbcaf729f,TC_4b2db7e72622,structure_state,gel-confined redox transport,TC_af6bbcaf729f,mechanism,Fe2+/Fe3+ solvation redox chemistry,structure_state__mechanism,4,4,4,2025,2026,P0003; P0078; P0139; P0142,10.1016/j.cej.2025.161288; 10.1016/j.jpowsour.2025.239060; 10.1002/adfm.202417740; 10.1002/advs.202509400,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells; High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices; Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,20,10,True,0.8982
TP_562475efd0da,iTE|TG,TC_b713a196469a::TC_a9af609cf89a,TC_b713a196469a,material_system,ferri/ferrocyanide,TC_a9af609cf89a,structure_state,chaotropic polymer-water disruption,material_system__structure_state,3,3,3,2018,2026,P0090; P0139; P0264,10.1038/s41467-018-07625-9; 10.1002/adfm.202417740; 10.1016/j.jechem.2026.05.024,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest; High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices; Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,12,4,True,0.7737
TP_1a093712c925,iTE|TG,TC_7fa10a6f5ac8::TC_125db93329fb,TC_7fa10a6f5ac8,material_system,gelatin,TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,3,3,3,2020,2025,P0021; P0143; P0145,10.1016/j.nanoen.2025.111189; 10.1016/j.nanoen.2025.111156; 10.1126/science.aaz5045,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery; Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities; Giant thermopower of ionic gelatin near room temperature,6,30,True,0.7737
TP_efc029ae9cf9,iTE|TG,TC_7fa10a6f5ac8::TC_575b8475e747,TC_7fa10a6f5ac8,material_system,gelatin,TC_575b8475e747,mechanism,ionic thermodiffusion (Soret effect),material_system__mechanism,3,3,3,2020,2025,P0143; P0145; P0268,10.1016/j.nanoen.2025.111156; 10.1126/science.aaz5045; 10.1016/j.cej.2024.152734,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities; Giant thermopower of ionic gelatin near room temperature; Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,6,21,True,0.7737
TP_cb596e8756a9,iTE|TG,TC_c0591a33971d::TC_125db93329fb,TC_c0591a33971d,material_system,ionic liquid,TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,3,3,3,2021,2025,P0142; P0220; P0225,10.1002/advs.202509400; 10.1016/j.electacta.2021.139640; 10.1002/cssc.202101532,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning; Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes; Efficient Photo-Thermo-Electric Conversion Using Polyoxovanadate in Ionic Liquid for Low-Grade Heat Utilization,8,30,True,0.7737
TP_7b03b3b7613c,iTE|TG,TC_c45d20184f79::TC_125db93329fb,TC_c45d20184f79,material_system,imidazolium ionic-liquid phase transition electrolyte,TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,3,3,3,2021,2025,P0142; P0220; P0225,10.1002/advs.202509400; 10.1016/j.electacta.2021.139640; 10.1002/cssc.202101532,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning; Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes; Efficient Photo-Thermo-Electric Conversion Using Polyoxovanadate in Ionic Liquid for Low-Grade Heat Utilization,7,30,True,0.7737
TP_a8ae1fac486e,iTE|TG,TC_a9af609cf89a::TC_902956facbd0,TC_a9af609cf89a,structure_state,chaotropic polymer-water disruption,TC_902956facbd0,mechanism,hydrogen bonding,structure_state__mechanism,3,3,3,2021,2026,P0139; P0182; P0264,10.1002/adfm.202417740; 10.1002/adfm.202104071; 10.1016/j.jechem.2026.05.024,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices; Stretchable and Freeze-Tolerant Organohydrogel Thermocells with Enhanced Thermoelectric Performance Continually Working at Subzero Temperatures; Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,4,3,True,0.7737
TP_92811680de8e,iTE|TG,TC_6d3814acb95f::TC_3cc3f4ae2196,TC_6d3814acb95f,material_system,hydrogel,TC_3cc3f4ae2196,mechanism,cation-anion thermodiffusion asymmetry,material_system__mechanism,3,3,3,2023,2026,P0080; P0180; P0268,10.1016/j.cej.2026.175294; 10.1016/j.mtsust.2022.100293; 10.1016/j.cej.2024.152734,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,23,11,True,0.7737
TP_a26482829ca0,iTE|TG,TC_8630a7a80369::TC_d51141fbc0ae,TC_8630a7a80369,material_system,polyacrylamide (PAM),TC_d51141fbc0ae,mechanism,ferri/ferrocyanide redox chemistry,material_system__mechanism,3,3,3,2023,2025,P0023; P0150; P0180,10.1021/acsapm.5c02573; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,5,14,True,0.7737
TP_a64809d36231,iTE|TG,TC_3963ad1e6521::TC_af6bbcaf729f,TC_3963ad1e6521,material_system,FeCl3,TC_af6bbcaf729f,mechanism,Fe2+/Fe3+ solvation redox chemistry,material_system__mechanism,3,3,3,2024,2026,P0080; P0137; P0258,10.1016/j.cej.2026.175294; 10.1039/d3ee03759b; 10.1016/j.cej.2025.168815,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting; Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting; Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,3,10,True,0.7737
TP_67814fc36a31,iTE|TG,TC_6d3814acb95f::TC_fcb70797c57c,TC_6d3814acb95f,material_system,hydrogel,TC_fcb70797c57c,mechanism,piezoresistive-thermoelectric coupling,material_system__mechanism,3,3,3,2024,2026,P0019; P0082; P0267,10.1016/j.cej.2024.150816; 10.1016/j.cej.2026.178230; 10.1002/smll.202407529,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition; Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy; A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,23,3,True,0.7737
TP_1161a77ce380,iTE|TG,TC_c8efd3db5897::TC_d51141fbc0ae,TC_c8efd3db5897,material_system,poly(vinyl alcohol) (PVA),TC_d51141fbc0ae,mechanism,ferri/ferrocyanide redox chemistry,material_system__mechanism,3,3,3,2024,2026,P0136; P0150; P0264,10.1021/acssuschemeng.4c10855; 10.1016/j.jpowsour.2024.234647; 10.1016/j.jechem.2026.05.024,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,9,14,True,0.7737
TP_3b3a400e2256,iTE|TG,TC_d7879252de01::TC_af6bbcaf729f,TC_d7879252de01,material_system,FeCl2,TC_af6bbcaf729f,mechanism,Fe2+/Fe3+ solvation redox chemistry,material_system__mechanism,3,3,3,2024,2026,P0080; P0137; P0258,10.1016/j.cej.2026.175294; 10.1039/d3ee03759b; 10.1016/j.cej.2025.168815,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting; Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting; Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,3,10,True,0.7737
TP_82cfa095b46a,iTE|TG,TC_4b2db7e72622::TC_402d7ec84669,TC_4b2db7e72622,structure_state,gel-confined redox transport,TC_402d7ec84669,mechanism,ion-pairing and complexation,structure_state__mechanism,3,3,3,2024,2025,P0003; P0142; P0197,10.1016/j.cej.2025.161288; 10.1002/advs.202509400; 10.1016/j.est.2024.110437,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning; Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,20,7,True,0.7737
TP_beaa242ab7b6,iTE|TG,TC_2e0bab4f91c8::TC_4b2db7e72622,TC_2e0bab4f91c8,material_system,[Fe(CN)6]3-/4-,TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,3,3,3,2025,2026,P0139; P0246; P0264,10.1002/adfm.202417740; 10.1016/j.cej.2025.159714; 10.1016/j.jechem.2026.05.024,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices; High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy; Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,3,20,True,0.7737
TP_8c8aa5bc75fd,iTE|TG,TC_c0591a33971d::TC_8b10aeaf0f23,TC_c0591a33971d,material_system,ionic liquid,TC_8b10aeaf0f23,mechanism,carbon-electrode redox interface,material_system__mechanism,2,2,2,2015,2022,P0220; P0304,10.1016/j.electacta.2021.139640; 10.1063/1.4923199,Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes; Thermoelectric energy recovery at ionic-liquid/electrode interface,8,2,True,0.6131
