pair_id,edge_id,edge_type,analysis_layer,pair_key,left_global_concept_id,left_label,left_layer_node_id,right_global_concept_id,right_label,right_layer_node_id,source_node_id,target_node_id,directed,paper_count,sentence_count,strict_syntax_relation_paper_count,first_year,last_year,atomic_evidence_record_count,unique_sentence_support_count,authoritative_provenance_fk,relation_candidate_ids,strict_relation_candidate_ids,semantic_accepted_relation_ids,semantic_rejected_relation_ids,semantic_pending_relation_ids,production_relation_ids,pair_evidence_status,is_direct_exact_pair_overlap,direct_pair_overlap_id,cross_layer_partner_pair_id,observed_evidence,causal_claim,graph_edge_status
TP_0195e99eefa2,TP_0195e99eefa2,same_sentence_pair,TG,GC_3e2f500dc35e::GC_dad97d797387,GC_3e2f500dc35e,continuous concentration gradient,LN_f8a7c3d894fb,GC_dad97d797387,redox reaction,LN_13114a75157e,LN_f8a7c3d894fb,LN_13114a75157e,False,1,1,0,2023,2023,2,1,TP_0195e99eefa2,AR_15705325e379; AR_4a2496b41af8,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_020798ef9bc2,TP_020798ef9bc2,same_sentence_pair,TG,GC_001c23a253ac::GC_b424c7bba46f,GC_001c23a253ac,overall efficiency,LN_b4461800490c,GC_b424c7bba46f,thermocell current generation capacity,LN_8424205145ed,LN_b4461800490c,LN_8424205145ed,False,1,1,0,2010,2010,1,1,TP_020798ef9bc2,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0222bdeea858,TP_0222bdeea858,same_sentence_pair,TG,GC_82e9078068c7::GC_c251a6659fb5,GC_82e9078068c7,small angle x ray scattering,LN_1d76e26826db,GC_c251a6659fb5,controlled gelma hydrogel,LN_11bf56868f3a,LN_1d76e26826db,LN_11bf56868f3a,False,1,1,0,2024,2024,1,1,TP_0222bdeea858,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_023a19b11efa,TP_023a19b11efa,same_sentence_pair,TG,GC_3cb102b9bb3d::GC_7abe572670fb,GC_3cb102b9bb3d,normalized power density,LN_41f6d6698a57,GC_7abe572670fb,output power,LN_6dbfbf8b965d,LN_41f6d6698a57,LN_6dbfbf8b965d,False,1,1,0,2025,2025,1,1,TP_023a19b11efa,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_024613085a02,TP_024613085a02,same_sentence_pair,TG,GC_1138bf4e4525::GC_fca93dee9c4a,GC_1138bf4e4525,galvanic thermogalvanic,LN_e895a597af47,GC_fca93dee9c4a,temperature insensitive maximum power,LN_b97056c78f5f,LN_e895a597af47,LN_b97056c78f5f,False,1,1,0,2025,2025,1,1,TP_024613085a02,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0281bf3dc582,TP_0281bf3dc582,same_sentence_pair,TG,GC_55c4816f4855::GC_cb813afe06b3,GC_55c4816f4855,liquid electrolyte,LN_317dfbbd58af,GC_cb813afe06b3,limited reaction rate,LN_a6621b121694,LN_317dfbbd58af,LN_a6621b121694,False,1,1,0,2025,2025,1,1,TP_0281bf3dc582,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_028338e3be61,TP_028338e3be61,same_sentence_pair,TG,GC_266b8cee4008::GC_3430a50e63de,GC_266b8cee4008,fenc,LN_6c4c6203ba91,GC_3430a50e63de,redox kinetics,LN_2eae47ed08b2,LN_6c4c6203ba91,LN_2eae47ed08b2,False,1,1,1,2023,2023,1,1,TP_028338e3be61,AR_4e2eff4bf7b9,AR_4e2eff4bf7b9,,,AR_4e2eff4bf7b9,,machine_strict_pending_semantic_review,False,,,True,False,observed_pair_topology_noncausal
TP_029c38d1953f,TP_029c38d1953f,same_sentence_pair,TG,GC_e3dc7a9d810c::GC_f7553cd07f36,GC_e3dc7a9d810c,quasi solid state,LN_de93b237587f,GC_f7553cd07f36,hydrogel electrolyte,LN_2c5e4280419c,LN_de93b237587f,LN_2c5e4280419c,False,1,2,0,2023,2023,2,2,TP_029c38d1953f,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_02b08077b672,TP_02b08077b672,same_sentence_pair,TG,GC_2154b804c13f::GC_ea4ab4866131,GC_2154b804c13f,bulk alkali metal alloy,LN_d69299b9e34a,GC_ea4ab4866131,na2+xk,LN_0d57dee08c14,LN_d69299b9e34a,LN_0d57dee08c14,False,1,1,0,2024,2024,1,1,TP_02b08077b672,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_02be083c0ae5,TP_02be083c0ae5,same_sentence_pair,TG,GC_118af0040619::GC_f42dbe983442,GC_118af0040619,thermopower,LN_f53e94117152,GC_f42dbe983442,cu2+,LN_9b8055156ad6,LN_f53e94117152,LN_9b8055156ad6,False,1,1,0,2026,2026,1,1,TP_02be083c0ae5,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_02e4c663f871,TP_02e4c663f871,same_sentence_pair,TG,GC_5e68513455e0::GC_b8bc6d5be518,GC_5e68513455e0,specific output power,LN_744752531e6a,GC_b8bc6d5be518,sthtcs,LN_492f25c7baf3,LN_744752531e6a,LN_492f25c7baf3,False,1,1,0,2022,2022,1,1,TP_02e4c663f871,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0309963b0bfc,TP_0309963b0bfc,same_sentence_pair,TG,GC_ea9836cd328b::GC_f7002d379227,GC_ea9836cd328b,molten salt,LN_627c5776f815,GC_f7002d379227,uses electrochemical reaction,LN_84809f0e8a05,LN_627c5776f815,LN_84809f0e8a05,False,1,1,0,2003,2003,1,1,TP_0309963b0bfc,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_030d6b63871b,TP_030d6b63871b,same_sentence_pair,TG,GC_cf402379d512::GC_d55ff41c1e96,GC_cf402379d512,concentration gradient,LN_273c9e5c97c9,GC_d55ff41c1e96,activity coefficient,LN_4e798cc09d63,LN_273c9e5c97c9,LN_4e798cc09d63,False,1,1,0,2025,2025,1,1,TP_030d6b63871b,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0320195c41d8,TP_0320195c41d8,same_sentence_pair,TG,GC_23b617855c90::GC_b74f3b2d2a63,GC_23b617855c90,user distinctive,LN_c5ea575d57c7,GC_b74f3b2d2a63,human machine,LN_4b27b395efa1,LN_c5ea575d57c7,LN_4b27b395efa1,False,1,1,0,2026,2026,1,1,TP_0320195c41d8,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_03237651a1bf,TP_03237651a1bf,same_sentence_pair,TG,GC_4a92e5f4fe38::GC_d3aef9f1ae1f,GC_4a92e5f4fe38,hydrogel,LN_ce78e7c63303,GC_d3aef9f1ae1f,marginal solvation entropy,LN_b793cb5adc8e,LN_ce78e7c63303,LN_b793cb5adc8e,False,1,1,0,2026,2026,1,1,TP_03237651a1bf,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_03e13f456596,TP_03e13f456596,same_sentence_pair,TG,GC_5a4b62ab7660::GC_a8e6012e4ab8,GC_5a4b62ab7660,transport coefficient,LN_894ee327588d,GC_a8e6012e4ab8,transport,LN_c2c8148bd99a,LN_894ee327588d,LN_c2c8148bd99a,False,1,1,0,2017,2017,1,1,TP_03e13f456596,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_03e9d23ba6fc,TP_03e9d23ba6fc,same_sentence_pair,TG,GC_3ea8786de366::GC_4adc0c83e3f0,GC_3ea8786de366,thermogalvanic cell,LN_e5b6c67a0e2e,GC_4adc0c83e3f0,laser irradiated,LN_2a7a22fffd37,LN_e5b6c67a0e2e,LN_2a7a22fffd37,False,1,1,0,1993,1993,1,1,TP_03e9d23ba6fc,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0414b2ccab0f,TP_0414b2ccab0f,same_sentence_pair,TG,GC_cffc202398bb::GC_e998988ab136,GC_cffc202398bb,redox split,LN_0d9544749e67,GC_e998988ab136,hot electrode,LN_c478838dae26,LN_0d9544749e67,LN_c478838dae26,False,1,1,0,2026,2026,1,1,TP_0414b2ccab0f,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0428cb38a66f,TP_0428cb38a66f,same_sentence_pair,TG,GC_3d33efb94fea::GC_b866c3462ec2,GC_3d33efb94fea,validated known effective solvent,LN_30dc84b01fbd,GC_b866c3462ec2,uv vis spectroscopy,LN_fa4a394e8757,LN_30dc84b01fbd,LN_fa4a394e8757,False,1,1,0,2025,2025,1,1,TP_0428cb38a66f,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_043bec27c430,TP_043bec27c430,same_sentence_pair,TG,GC_583fd7c565e9::GC_935c8a2c0bed,GC_583fd7c565e9,ti3c2tx,LN_267ae5786e2d,GC_935c8a2c0bed,ternary composite,LN_9a59ea0260a6,LN_267ae5786e2d,LN_9a59ea0260a6,False,1,1,0,2023,2023,1,1,TP_043bec27c430,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0440c4655ba9,TP_0440c4655ba9,same_sentence_pair,TG,GC_809f9a5bfdd8::GC_ec8f228a1583,GC_809f9a5bfdd8,power conversion efficiency,LN_eb9f1bac2f45,GC_ec8f228a1583,cell containing platinum electrode,LN_10c934c0c798,LN_eb9f1bac2f45,LN_10c934c0c798,False,1,1,0,1996,1996,1,1,TP_0440c4655ba9,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_046865025050,TP_046865025050,same_sentence_pair,TG,GC_16c988b4e980::GC_6cdb23f33c74,GC_16c988b4e980,redox electrolyte,LN_3385b7a1f65e,GC_6cdb23f33c74,seebeck coefficient,LN_ccd3eb53d5e7,LN_3385b7a1f65e,LN_ccd3eb53d5e7,False,1,1,0,2013,2013,1,1,TP_046865025050,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_047f218c566d,TP_047f218c566d,same_sentence_pair,TG,GC_16b42e37ba7a::GC_4e321219f8ce,GC_16b42e37ba7a,open circuit,LN_0fc20b25b434,GC_4e321219f8ce,increasing electrode,LN_d9a65e0caa2b,LN_0fc20b25b434,LN_d9a65e0caa2b,False,1,1,0,1996,1996,1,1,TP_047f218c566d,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_048000d1237e,TP_048000d1237e,same_sentence_pair,TG,GC_37710320fb29::GC_611c5281ea25,GC_37710320fb29,integrates screen printed hybrid current,LN_dea6622a1248,GC_611c5281ea25,screen printed,LN_672587cad66c,LN_dea6622a1248,LN_672587cad66c,False,1,1,0,2025,2025,1,1,TP_048000d1237e,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_04c91d5f5aca,TP_04c91d5f5aca,same_sentence_pair,TG,GC_138545480ba1::GC_7cb9124c4f12,GC_138545480ba1,thermo electrochemical,LN_4290ff798dad,GC_7cb9124c4f12,sub zero,LN_2a915d19dbb2,LN_4290ff798dad,LN_2a915d19dbb2,False,1,1,0,2017,2017,1,1,TP_04c91d5f5aca,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_04dbc9dfa618,TP_04dbc9dfa618,same_sentence_pair,TG,GC_3ead572f9849::GC_f50bbe3cdc5d,GC_3ead572f9849,augments thermopower,LN_fdb5b1b36222,GC_f50bbe3cdc5d,temperature gradient,LN_4e04cb640a89,LN_fdb5b1b36222,LN_4e04cb640a89,False,1,1,0,2026,2026,1,1,TP_04dbc9dfa618,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_04f2399662e2,TP_04f2399662e2,same_sentence_pair,TG,GC_22dfaa7132b8::GC_ebea37c26c0e,GC_22dfaa7132b8,h2so4,LN_b93258da119b,GC_ebea37c26c0e,h2so4 electrolyte,LN_d773758c6466,LN_b93258da119b,LN_d773758c6466,False,1,1,0,2022,2022,1,1,TP_04f2399662e2,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0563c47fe2af,TP_0563c47fe2af,same_sentence_pair,TG,GC_234b2810632d::GC_671646814c91,GC_234b2810632d,open circuit voltage,LN_e6367d223636,GC_671646814c91,electric generator,LN_cded539e4a12,LN_e6367d223636,LN_cded539e4a12,False,1,1,0,2022,2022,1,1,TP_0563c47fe2af,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_05806d2997b0,TP_05806d2997b0,same_sentence_pair,TG,GC_0ca6bf1bbab3::GC_16b42e37ba7a,GC_0ca6bf1bbab3,power conversion,LN_990a76f422e1,GC_16b42e37ba7a,open circuit,LN_0fc20b25b434,LN_990a76f422e1,LN_0fc20b25b434,False,1,1,0,1996,1996,1,1,TP_05806d2997b0,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_058b6e407ab8,TP_058b6e407ab8,same_sentence_pair,TG,GC_ab50f164306f::GC_d68166b3111f,GC_ab50f164306f,ion induced crystallization,LN_cbeaabccfdb7,GC_d68166b3111f,tegs,LN_cd2cb63532bc,LN_cbeaabccfdb7,LN_cd2cb63532bc,False,1,1,0,2024,2024,1,1,TP_058b6e407ab8,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_05c97ec83224,TP_05c97ec83224,same_sentence_pair,TG,GC_7e235ad1cc35::GC_8fad25f6d5f4,GC_7e235ad1cc35,heterogeneous electron transfer,LN_24405fd4f38d,GC_8fad25f6d5f4,conducting polymer electrode,LN_60afc21368a8,LN_24405fd4f38d,LN_60afc21368a8,False,1,1,0,2018,2018,1,1,TP_05c97ec83224,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_05d2fee8850a,TP_05d2fee8850a,same_sentence_pair,TG,GC_b28a59c0c34f::GC_dad97d797387,GC_b28a59c0c34f,redox reaction allows power,LN_bf085e6de03f,GC_dad97d797387,redox reaction,LN_13114a75157e,LN_bf085e6de03f,LN_13114a75157e,False,1,1,0,2012,2012,1,1,TP_05d2fee8850a,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_05d7a8bd54dd,TP_05d7a8bd54dd,same_sentence_pair,TG,GC_3cd3564912b1::GC_3ea8786de366,GC_3cd3564912b1,short circuit,LN_3509f7af5761,GC_3ea8786de366,thermogalvanic cell,LN_e5b6c67a0e2e,LN_3509f7af5761,LN_e5b6c67a0e2e,False,1,1,0,2023,2023,1,1,TP_05d7a8bd54dd,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_05e7597d96a4,TP_05e7597d96a4,same_sentence_pair,TG,GC_3ea8786de366::GC_677643c99d4a,GC_3ea8786de366,thermogalvanic cell,LN_e5b6c67a0e2e,GC_677643c99d4a,leverages photothermal thermoelectric coupling,LN_45cb2f57a8a2,LN_e5b6c67a0e2e,LN_45cb2f57a8a2,False,1,1,0,2026,2026,1,1,TP_05e7597d96a4,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0656cd8a66ce,TP_0656cd8a66ce,same_sentence_pair,TG,GC_1db0c6881d49::GC_2911542e45d8,GC_1db0c6881d49,electron transfer,LN_f634199f4779,GC_2911542e45d8,altered solvation,LN_ef95fc71cf2a,LN_f634199f4779,LN_ef95fc71cf2a,False,1,1,0,2020,2020,1,1,TP_0656cd8a66ce,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_06641abede6e,TP_06641abede6e,same_sentence_pair,TG,GC_1081a1504bdf::GC_d30b07ed8945,GC_1081a1504bdf,accurate power,LN_2a7066bfcb07,GC_d30b07ed8945,current density,LN_9859ce6c4f6b,LN_2a7066bfcb07,LN_9859ce6c4f6b,False,1,1,0,2025,2025,1,1,TP_06641abede6e,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_06ba57c28ced,TP_06ba57c28ced,same_sentence_pair,TG,GC_930f9a0bd861::GC_f8407634000b,GC_930f9a0bd861,unique coordination interaction,LN_5ffc72b55040,GC_f8407634000b,tio2,LN_4c49391c12e4,LN_5ffc72b55040,LN_4c49391c12e4,False,1,1,0,2026,2026,1,1,TP_06ba57c28ced,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_06ca69b7ba02,TP_06ca69b7ba02,same_sentence_pair,TG,GC_0050b83326c0::GC_6cdb23f33c74,GC_0050b83326c0,inner sphere reaction,LN_1b69721a1e4d,GC_6cdb23f33c74,seebeck coefficient,LN_ccd3eb53d5e7,LN_1b69721a1e4d,LN_ccd3eb53d5e7,False,1,1,0,2023,2023,1,1,TP_06ca69b7ba02,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_06ecd5eb98c8,TP_06ecd5eb98c8,same_sentence_pair,TG,GC_0bb45bee94db::GC_d73905a53f98,GC_0bb45bee94db,graphite electrode,LN_414920e15700,GC_d73905a53f98,redox pair electrolyte,LN_fff88c120784,LN_414920e15700,LN_fff88c120784,False,1,1,0,2025,2025,1,1,TP_06ecd5eb98c8,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_06f1bbf3633f,TP_06f1bbf3633f,same_sentence_pair,TG,GC_872fb5efeb88::GC_8aa87c1dffcd,GC_872fb5efeb88,mk3,LN_a05e90e6d44b,GC_8aa87c1dffcd,gelled electrolyte,LN_46e5a1d5978c,LN_a05e90e6d44b,LN_46e5a1d5978c,False,1,1,0,2017,2017,1,1,TP_06f1bbf3633f,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_06f542123f1b,TP_06f542123f1b,same_sentence_pair,TG,GC_80c5d8e883ef::GC_aa2b3acd04e0,GC_80c5d8e883ef,characteristic seebeck coefficient,LN_5c23bb1b0df7,GC_aa2b3acd04e0,pseudocapacitive property,LN_63b29d4c192e,LN_5c23bb1b0df7,LN_63b29d4c192e,False,1,1,0,2018,2018,1,1,TP_06f542123f1b,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0721a02cab26,TP_0721a02cab26,same_sentence_pair,TG,GC_030b65626e6d::GC_09c84fb5d355,GC_030b65626e6d,pristine electrolyte,LN_37dbce1c3437,GC_09c84fb5d355,maximum power,LN_6253a6eed55f,LN_37dbce1c3437,LN_6253a6eed55f,False,1,1,0,2026,2026,1,1,TP_0721a02cab26,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_073e2652ae7d,TP_073e2652ae7d,same_sentence_pair,TG,GC_3ea8786de366::GC_66a3d568c912,GC_3ea8786de366,thermogalvanic cell,LN_e5b6c67a0e2e,GC_66a3d568c912,planar platinum electrode,LN_7a885f8e6057,LN_e5b6c67a0e2e,LN_7a885f8e6057,False,1,1,0,1995,1995,1,1,TP_073e2652ae7d,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_074bb6992687,TP_074bb6992687,same_sentence_pair,TG,GC_6cdb23f33c74::GC_7fd8c2696d32,GC_6cdb23f33c74,seebeck coefficient,LN_ccd3eb53d5e7,GC_7fd8c2696d32,solvation,LN_9131c4fde17c,LN_ccd3eb53d5e7,LN_9131c4fde17c,False,1,1,0,2023,2023,1,1,TP_074bb6992687,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_075a961fba2a,TP_075a961fba2a,same_sentence_pair,TG,GC_55c4816f4855::GC_d4d83863e92a,GC_55c4816f4855,liquid electrolyte,LN_317dfbbd58af,GC_d4d83863e92a,thermoelectric energy conversion,LN_f4d2180c6b4a,LN_317dfbbd58af,LN_f4d2180c6b4a,False,1,1,0,2013,2013,1,1,TP_075a961fba2a,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_076e1a825314,TP_076e1a825314,same_sentence_pair,TG,GC_5fecb4c8cca5::GC_be381f3ca9b7,GC_5fecb4c8cca5,mechanical property,LN_a132892ef02d,GC_be381f3ca9b7,simultaneously balance ion conductivity,LN_0586708c2d31,LN_a132892ef02d,LN_0586708c2d31,False,1,1,0,2026,2026,1,1,TP_076e1a825314,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_0786b769d8eb,TP_0786b769d8eb,same_sentence_pair,TG,GC_5f9395c3b80a::GC_b99e8c2e311b,GC_5f9395c3b80a,entropy,LN_b26f52a5bd6b,GC_b99e8c2e311b,single phase electrode,LN_68b9f81ff78b,LN_b26f52a5bd6b,LN_68b9f81ff78b,False,1,1,0,2024,2024,1,1,TP_0786b769d8eb,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_07a4f8ff5b20,TP_07a4f8ff5b20,same_sentence_pair,TG,GC_7abe572670fb::GC_c6f96235805f,GC_7abe572670fb,output power,LN_6dbfbf8b965d,GC_c6f96235805f,tecs,LN_a5e5c636fd27,LN_6dbfbf8b965d,LN_a5e5c636fd27,False,2,2,0,2018,2025,2,2,TP_07a4f8ff5b20,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_07b6e1f7d082,TP_07b6e1f7d082,same_sentence_pair,TG,GC_3bd2af98085c::GC_3f0bc2e1bcac,GC_3bd2af98085c,melting phase transition,LN_a674a4d94187,GC_3f0bc2e1bcac,bulk naxk alloy,LN_df0532b71950,LN_a674a4d94187,LN_df0532b71950,False,1,1,0,2024,2024,1,1,TP_07b6e1f7d082,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
TP_07c1d09fcb90,TP_07c1d09fcb90,same_sentence_pair,TG,GC_775916310bb0::GC_d35045aef61a,GC_775916310bb0,non stoichiometric,LN_6422122cd4eb,GC_d35045aef61a,cost per power,LN_99e56f63ec45,LN_6422122cd4eb,LN_99e56f63ec45,False,1,1,0,2020,2020,1,1,TP_07c1d09fcb90,,,,,,,same_sentence_cooccurrence_only,False,,,True,False,observed_pair_topology_noncausal
