entry_id,paper_id,source,year,title,doi,role,text,label,x,y
TG_0005_material,TG_0005,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,material,flexible thermogalvanic armor with ion-transport highway,flexible thermogalvanic armor with ion-tr...,16.338297,0.79305905
TG_0005_mechanism,TG_0005,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,mechanism,thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,thermosensitive crystallization and salti...,17.720116,0.60306597
TG_0006_material,TG_0006,TG,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,material,thermogalvanic hydrogel multimodal fingertip receptor,thermogalvanic hydrogel multimodal finger...,17.71055,2.9940948
TG_0006_mechanism,TG_0006,TG,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,mechanism,static thermovoltage and dynamic interfacial heat-transfer signals enable pressure/temperature/material fingerprint sensing,static thermovoltage and dynamic interfac...,17.075233,-1.574138
TG_0007_material,TG_0007,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,material,PVA hydrogel with I-/I3- redox couple and zwitterions,PVA hydrogel with I-/I3- redox...,17.847729,2.4821641
TG_0007_mechanism,TG_0007,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,mechanism,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,thermogalvanic redox conversion plus piez...,17.346142,-1.7882363
TG_0008_material,TG_0008,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,material,photocatalytically enhanced thermogalvanic redox system,photocatalytically enhanced thermogalvani...,15.642811,1.9861798
TG_0008_mechanism,TG_0008,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,mechanism,"photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",photocatalytic hydrogen/oxygen generation...,15.752429,-0.48203033
TG_0009_material,TG_0009,TG,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,material,water evaporation-enhanced thermogalvanic cell electrolyte,water evaporation-enhanced thermogalvanic...,16.072533,1.9180872
TG_0009_mechanism,TG_0009,TG,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,mechanism,"ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",ambient evaporation creates electrolyte c...,15.216266,-0.44603634
TG_0010_material,TG_0010,TG,2025,Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,10.1021/acsaem.4c02835,material,cationic electroactive hydrogels with cationic redox pairs,cationic electroactive hydrogels with cat...,15.707957,1.7790691
TG_0010_mechanism,TG_0010,TG,2025,Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,10.1021/acsaem.4c02835,mechanism,electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,electrostatic compatibility between catio...,15.763474,1.4482805
TG_0011_material,TG_0011,TG,2025,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,10.1016/j.cej.2025.167739,material,PVA/trehalose/glycerol/water thermogalvanic hydrogel virtual interface,PVA/trehalose/glycerol/water thermogalvan...,18.038265,3.0502176
TG_0011_mechanism,TG_0011,TG,2025,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,10.1016/j.cej.2025.167739,mechanism,body-heat thermoelectricity and active piezoresistive modulation transduce hand gestures into self-powered signals,body-heat thermoelectricity and active pi...,17.496122,-1.9205586
TG_0012_material,TG_0012,TG,2025,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,10.1039/d5ta00253b,material,"thermogalvanic hydrogel/gelatin breathable array with phytic acid, glycerol, water",thermogalvanic hydrogel/gelatin breathabl...,17.992727,2.9696684
TG_0012_mechanism,TG_0012,TG,2025,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,10.1039/d5ta00253b,mechanism,through-hole breathable structure and hydrogen-bonded double network preserve ionic/electrical performance for facial-expression signals,through-hole breathable structure and hyd...,16.963161,0.46805695
TG_0013_material,TG_0013,TG,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,material,PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex,PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type...,18.915905,1.6814362
TG_0013_mechanism,TG_0013,TG,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,mechanism,"PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",PEDOT:PSS-Fe2+/Fe3+ electrostatic interac...,16.862078,-0.108892776
TG_0014_material,TG_0014,TG,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696,material,stretchable PVA thermogalvanic thermocell,stretchable PVA thermogalvanic thermocell,18.086828,0.9131032
TG_0014_mechanism,TG_0014,TG,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696,mechanism,"stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower",stretching-induced crystallization couple...,17.888527,0.6248758
TG_0015_material,TG_0015,TG,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,material,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",dual-network hydrogel with [Fe(CN)6]3-/4...,18.761236,3.4784036
TG_0015_mechanism,TG_0015,TG,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,mechanism,porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,porous ion network and redox...,17.437733,-1.9040787
TG_0016_material,TG_0016,TG,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,material,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions,PVA dual-network binary-solvent hydrogel...,17.45604,1.9948788
TG_0016_mechanism,TG_0016,TG,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,mechanism,nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,nostril temperature swings from respirati...,17.747465,-1.1875762
TG_0017_material,TG_0017,TG,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,material,sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,sodium ferrocyanide/ferricyanide thermoga...,19.094698,0.37912136
TG_0017_mechanism,TG_0017,TG,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,mechanism,"ethanol modifies concentration gradient and solvation structure, raising temperature coefficient and extending low-temperature operating range",ethanol modifies concentration gradient a...,14.824429,-0.5341775
TG_0018_material,TG_0018,TG,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,10.1016/j.cej.2024.150816,material,dynamic crystalline ion-injected thermoelectric gel DCI-TEG,dynamic crystalline ion-injected thermoel...,17.192387,1.462804
TG_0018_mechanism,TG_0018,TG,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,10.1016/j.cej.2024.150816,mechanism,solvent-exchange salting-out creates robust ionic gel that couples thermogalvanic current with piezoresistive pressure sensing,solvent-exchange salting-out creates robu...,17.065132,-1.4050481
TG_0019_material,TG_0019,TG,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774,material,aqueous [Ni(bpy)3]2+/3+ thermogalvanic redox agent,aqueous [Ni(bpy)3]2+/3+ thermogalvanic re...,17.21122,3.799717
TG_0019_mechanism,TG_0019,TG,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774,mechanism,different hydration-shell behavior between oxidant/reductant creates configurational entropy difference for stable high thermopower,different hydration-shell behavior betwee...,14.684542,-1.9268314
TG_0020_material,TG_0020,TG,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,material,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN...,18.706888,4.444344
TG_0020_mechanism,TG_0020,TG,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,mechanism,spatially separated redox gel layers maintain ion concentration gradients and boost thermogalvanic voltage/efficiency,spatially separated redox gel layers...,15.679487,-0.51631796
TG_0021_material,TG_0021,TG,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,10.1021/acsami.5c03375,material,"Cu/Cu(en)2 2+ redox couple with ethylenediamine, Cu electrode, (NH4)2SO4 electrolyte",Cu/Cu(en)2 2+ redox couple with...,17.157898,3.4491022
TG_0021_mechanism,TG_0021,TG,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,10.1021/acsami.5c03375,mechanism,Cu/en chelation reaction creates large entropy change for high n-type thermogalvanic temperature coefficient,Cu/en chelation reaction creates large...,14.89869,-1.1738662
TG_0022_material,TG_0022,TG,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,material,"polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, sodium pyrrolidone carboxylate",polyacrylamide hydrogel with Fe(CN)6 3-/4...,18.881046,3.4601521
TG_0022_mechanism,TG_0022,TG,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,mechanism,redox thermogalvanic effect harvests device waste heat; guanidine boosts thermopower and sodium PCA improves water retention/mechanics,redox thermogalvanic effect harvests devi...,17.369642,0.56914157
TG_0023_material,TG_0023,TG,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator,10.1016/j.solener.2025.114122,material,solar liquid thermogalvanic generator with thermally sensitive TGCs and spectrally selective solar absorbers,solar liquid thermogalvanic generator wit...,16.235317,1.6305678
TG_0023_mechanism,TG_0023,TG,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator,10.1016/j.solener.2025.114122,mechanism,"solar absorber supplies heat directly to liquid TGCs, enabling full-spectrum solar-thermal-to-electric conversion without optical concentrator",solar absorber supplies heat directly...,16.138832,1.3791008
TG_0024_material,TG_0024,TG,2025,Unraveling Reaction Kinetics and Thermodynamics in Thermogalvanic Hydrogels: A Pathway to Efficient Thermal Energy Harvesting,10.1021/acs.chemmater.5c01558,material,formamide/water thermogalvanic hydrogels,formamide/water thermogalvanic hydrogels,17.417303,2.9222703
TG_0024_mechanism,TG_0024,TG,2025,Unraveling Reaction Kinetics and Thermodynamics in Thermogalvanic Hydrogels: A Pathway to Efficient Thermal Energy Harvesting,10.1021/acs.chemmater.5c01558,mechanism,"formamide increases redox reaction entropy, promotes ion desolvation, lowers activation energy, and accelerates reaction kinetics",formamide increases redox reaction entrop...,15.293619,-2.082998
TG_0025_material,TG_0025,TG,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,material,all-inorganic hydrogel TGC with Fe2+/Fe3+ redox couple and Fe(OH)3 transformation,all-inorganic hydrogel TGC with Fe2+/Fe3+...,17.455324,2.045264
TG_0025_mechanism,TG_0025,TG,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,mechanism,"hydrogen-bonded inorganic gel framework and temperature/pH-controlled Fe3+/Fe(OH)3 equilibrium enable recurrent gelation, thermopower, and thermochromism",hydrogen-bonded inorganic gel framework a...,16.254509,0.17249371
TG_0026_material,TG_0026,TG,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,material,GelMA thermogalvanic cells with GdmCl and Fe(CN)6 3-/4-,GelMA thermogalvanic cells with GdmCl...,18.317253,3.6847303
TG_0026_mechanism,TG_0026,TG,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,mechanism,guanidinium-induced ferricyanide/ferrocyanide crystallization and hydrogel nanochannel control greatly increase Seebeck coefficient,guanidinium-induced ferricyanide/ferrocya...,18.184656,0.34294933
TG_0027_material,TG_0027,TG,2025,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,10.1021/acsaem.5c02080,material,"fully printed TGM with hybrid current collectors, activated carbon electrodes, adhesive seal, laser-drilled spacer",fully printed TGM with hybrid...,16.079025,3.130957
TG_0027_mechanism,TG_0027,TG,2025,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,10.1021/acsaem.5c02080,mechanism,additive printing integrates many thermogalvanic cells with aqueous redox electrolytes for scalable low-grade heat harvesting,additive printing integrates many thermog...,14.70385,1.0629289
TG_0028_material,TG_0028,TG,2025,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,10.1021/acs.jpclett.5c02903,material,thermogalvanic electrolytes screened by AI/DFT ion-solvent interaction features,thermogalvanic electrolytes screened by A...,16.414349,1.0558457
TG_0028_mechanism,TG_0028,TG,2025,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,10.1021/acs.jpclett.5c02903,mechanism,machine learning links solvation features and polarity to large redox solvation entropy differences and high thermopower,machine learning links solvation features...,14.85903,-2.2288651
TG_0029_material,TG_0029,TG,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,material,quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6,quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogal...,17.1695,4.2233796
TG_0029_mechanism,TG_0029,TG,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,mechanism,"18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",18-crown-6 complexes K+ and amplifies...,16.758991,0.52253395
TG_0030_material,TG_0030,TG,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,material,graphene oxide-enhanced hydrogel with [Fe(CN)6]4-/3- and guanidine hydrochloride,graphene oxide-enhanced hydrogel with [Fe...,18.886045,3.6379123
TG_0030_mechanism,TG_0030,TG,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,mechanism,"GO adsorbs guanidinium and nucleates ferrocyanide crystallization, strengthening the thermogalvanic effect",GO adsorbs guanidinium and nucleates...,17.829117,0.43819287
TG_0031_material,TG_0031,TG,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,material,organic thermogalvanic hydrogel with benzoquinone/hydroquinone redox pair and ethylene glycol,organic thermogalvanic hydrogel with benz...,17.909279,2.2690656
TG_0031_mechanism,TG_0031,TG,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,mechanism,"optimized BQ/H2BQ reversible electrode reaction and EG solvent exchange provide fast, stable thermal sensing",optimized BQ/H2BQ reversible electrode re...,16.582876,-0.25599673
TG_0032_material,TG_0032,TG,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,material,PVA/PEG/Fe3+/Fe2+ thermogalvanic organohydrogel with DMSO/H2O,PVA/PEG/Fe3+/Fe2+ thermogalvanic organohy...,17.53617,2.5336845
TG_0032_mechanism,TG_0032,TG,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,mechanism,Hofmeister-assisted rapid gelation and strong DMSO-water hydrogen bonds give moldable antifreezing thermogalvanic temperature/level sensing,Hofmeister-assisted rapid gelation and st...,17.77505,-1.090941
TG_0033_material,TG_0033,TG,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,material,anionic polymer/hydroquinone-benzoquinone n-type thermogalvanic cell,anionic polymer/hydroquinone-benzoquinone...,18.362555,1.7527941
TG_0033_mechanism,TG_0033,TG,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,mechanism,"anionic polymer self-regulates pH and selectively transports HQ, shifting HQ/BQ equilibrium and creating high n-type thermopower",anionic polymer self-regulates pH and...,18.349194,1.2821951
TG_0034_material,TG_0034,TG,2025,Unlocking enhanced thermogalvanic cell performance via molecular chaperone-assisted non-toxic redox couple for waste heat harvesting,10.1016/j.cej.2025.164170,material,"SO42-/SO32- redox couple with 3,6-bis(morpholin-4-ylethyl)-1,2,4,5-tetrazine molecular chaperone","SO42-/SO32- redox couple with 3,6-bis(mor...",16.98081,2.4725869
TG_0034_mechanism,TG_0034,TG,2025,Unlocking enhanced thermogalvanic cell performance via molecular chaperone-assisted non-toxic redox couple for waste heat harvesting,10.1016/j.cej.2025.164170,mechanism,molecular chaperone sustains redox concentration gradients and accelerates SO42-/SO32- thermogalvanic kinetics,molecular chaperone sustains redox concen...,16.973396,2.3011343
TG_0035_material,TG_0035,TG,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,material,PVA/agar H2O/glycerol hydrogel with [Fe(CN)6]3-/4- redox couple,PVA/agar H2O/glycerol hydrogel with [Fe(C...,18.500875,3.3064
TG_0035_mechanism,TG_0035,TG,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,mechanism,finger/body temperature gradients generate thermogalvanic signatures for self-powered biometric recognition,finger/body temperature gradients generat...,17.45811,-1.8841685
TG_0036_material,TG_0036,TG,2024,"Modeling, thermodynamic performance analysis, and parameter optimization of a hybrid power generation system coupling thermogalvanic cells with alkaline fuel cells",10.1016/j.energy.2024.130557,material,alkaline fuel cell coupled with thermogalvanic cells,alkaline fuel cell coupled with...,15.483022,2.1268175
TG_0036_mechanism,TG_0036,TG,2024,"Modeling, thermodynamic performance analysis, and parameter optimization of a hybrid power generation system coupling thermogalvanic cells with alkaline fuel cells",10.1016/j.energy.2024.130557,mechanism,"AFC waste heat drives TGCs in a thermal-electric cascade, improving power density and conversion efficiency",AFC waste heat drives TGCs...,16.151602,-1.1345116
TG_0037_material,TG_0037,TG,2023,"Low-grade waste heat recovery scenarios: Pyroelectric, thermomagnetic, and thermogalvanic thermal energy harvesting",10.1016/j.nanoen.2023.108596,material,"pyroelectric, thermomagnetic, and thermogalvanic thermal-energy harvesters","pyroelectric, thermomagnetic, and thermog...",15.639736,0.5125834
TG_0037_mechanism,TG_0037,TG,2023,"Low-grade waste heat recovery scenarios: Pyroelectric, thermomagnetic, and thermogalvanic thermal energy harvesting",10.1016/j.nanoen.2023.108596,mechanism,low-grade heat recovery depends on mechanism-specific thermal cycling/redox/magnetic parameters and materials/device structure,low-grade heat recovery depends on...,14.82257,1.1153699
TG_0038_material,TG_0038,TG,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,material,stretchable thermogalvanic hydrogel thermocell with guanidine and [Fe(CN)6]4-/3-,stretchable thermogalvanic hydrogel therm...,18.142838,1.0004833
TG_0038_mechanism,TG_0038,TG,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,mechanism,guanidine-induced ferrocyanide crystallization raises thermopower and power density while antifreezing hydrogel enables wearable heat harvesting,guanidine-induced ferrocyanide crystalliz...,17.938,0.3339058
TG_0039_material,TG_0039,TG,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,material,edible gelatin/glycerol hydrogel with I-/I3- redox pair,edible gelatin/glycerol hydrogel with I-/...,18.003683,2.658157
TG_0039_mechanism,TG_0039,TG,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,mechanism,thermogalvanic and piezoresistive effects convert body temperature/mechanical physiological motions into self-powered fatigue-monitoring signals,thermogalvanic and piezoresistive effects...,17.50109,-1.8408431
TG_0040_material,TG_0040,TG,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,material,gold electrodes modified with (3-trimethylammonium bromide)thiopropane SAMs in K3/K4[Fe(CN)6] thermocells,gold electrodes modified with (3-trimethy...,18.751654,4.5936036
TG_0040_mechanism,TG_0040,TG,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,mechanism,electrostatically charged SAMs electrocatalyze ferri/ferrocyanide redox and suppress gold passivation,electrostatically charged SAMs electrocat...,18.316286,-0.32326427
TG_0041_material,TG_0041,TG,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,material,PVA-PDMS gel with Fe2+/Fe3+ redox pair and AuNPs@SiO2-PDMS photothermal film,PVA-PDMS gel with Fe2+/Fe3+ redox...,17.52049,1.9733727
TG_0041_mechanism,TG_0041,TG,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,mechanism,Au plasmonic photothermal heating creates local temperature gradients that drive thermogalvanic gel output for motion sensing,Au plasmonic photothermal heating creates...,16.419315,-0.6407343
TG_0042_material,TG_0042,TG,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,material,interpenetrating thermogalvanic hydrogel with [Fe(CN)6]3-/4- and KCl,interpenetrating thermogalvanic hydrogel...,18.647284,3.522609
TG_0042_mechanism,TG_0042,TG,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,mechanism,finger heat drives redox thermogalvanic current while KCl supports thermodiffusion for self-powered Morse-code information conversion,finger heat drives redox thermogalvanic...,17.473719,-1.8962984
TG_0043_material,TG_0043,TG,2024,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,10.1039/d4ee01642d,material,Na-K alloy phase-transforming electrodes in thermogalvanic cells,Na-K alloy phase-transforming electrodes...,16.302416,1.9416318
TG_0043_mechanism,TG_0043,TG,2024,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,10.1039/d4ee01642d,mechanism,solid-to-liquid melting entropy and configurational entropy of alkali alloy electrodes sharply increase thermopower across transition,solid-to-liquid melting entropy and confi...,14.662708,-2.033299
