concept,doc_freq,first_year,last_year,concept_type,graph_role,x,y,degree,weighted_degree
electrical conductivity,8,2016,2024,property_metric,background,-3.4538374,3.9754071,46,56
thermogalvanic devices,8,2020,2025,material_system,background,-4.941265,0.9637848,32,48
thermogalvanic electrolyte,8,2012,2026,material_system,background,-3.7995915,1.3041946,60,79
temperature dependence,8,1995,2025,material_system,background,-0.29402024,2.6517653,48,60
polymer network,7,2023,2025,material_system,recommendation_candidate,-3.1924481,2.842534,44,56
hydrogel thermocell,7,2022,2026,material_system,background,-4.4074054,1.7004664,48,65
energy generation,7,2020,2025,material_system,recommendation_candidate,-5.889849,2.6931846,38,48
solvation shell,7,2017,2026,solvation_entropy,background,-2.295827,0.51406455,46,64
redox thermogalvanic,7,2021,2025,material_system,background,-3.86357,0.5974166,37,48
thermogalvanic gels,7,2022,2026,material_system,background,-4.535946,0.37096977,41,50
n-type thermogalvanic,7,2022,2026,material_system,background,-4.6120443,0.45584458,30,43
low thermal conductivity,6,2023,2026,property_metric,background,-3.3375304,4.077522,45,62
n-type thermopower,6,2022,2026,property_metric,recommendation_candidate,-5.1067314,4.2179937,27,33
room temperature,6,2020,2026,material_system,background,-0.1255979,3.3183153,36,44
redox kinetics,6,2023,2026,electrode_interface,background,-3.4182496,0.73010325,29,40
normalized maximum power density,6,2022,2026,property_metric,recommendation_candidate,-6.1933436,3.9396532,46,68
stretchable thermogalvanic,6,2021,2024,material_system,background,-3.9323137,0.50628585,28,45
redox electrolytes,6,2020,2026,material_system,background,-3.5860302,1.4751474,41,48
low temperatures,6,1998,2025,material_system,recommendation_candidate,0.3941288,3.1534564,28,32
liquid electrolyte,6,2018,2026,material_system,recommendation_candidate,-3.6395993,2.00303,39,49
rational design,6,2022,2026,material_system,recommendation_candidate,-4.6789966,2.337727,44,52
redox chemistry,6,2019,2025,material_system,background,-3.3376875,0.5520171,23,32
mass transport,6,1995,2026,transport_mechanism,background,-3.5834117,5.4303365,33,47
low temperature,6,2018,2026,material_system,background,-0.17299965,3.418397,42,52
solvation structure,6,2024,2025,material_system,recommendation_candidate,-2.2602441,0.4279764,43,55
increases redox,6,2015,2026,material_system,background,-3.2785192,0.50750065,42,51
ion concentration,6,2016,2025,material_system,recommendation_candidate,-1.2971972,2.061259,35,46
electrolyte concentration,6,2011,2026,material_system,background,-1.4406754,1.7964844,37,50
temperature-dependent redox,6,2004,2026,material_system,background,-0.375885,2.5089467,39,53
ionic seebeck coefficient,6,2024,2026,property_metric,background,-1.0386496,4.8717303,40,57
human-machine interaction,6,2023,2026,material_system,background,-2.3862815,1.5480162,26,34
electrode material,6,2017,2024,material_system,recommendation_candidate,-3.1430361,2.179408,31,39
ion diffusion,6,2020,2026,transport_mechanism,recommendation_candidate,-2.2363389,3.8828075,38,48
concentration difference,6,1994,2023,material_system,background,-1.1234692,1.84059,23,26
concentration gradients,6,2020,2025,material_system,recommendation_candidate,-1.1457115,2.0413778,29,42
conversion devices,6,1994,2025,material_system,recommendation_candidate,-5.7426996,1.8708844,36,45
high seebeck coefficients,6,2016,2026,property_metric,recommendation_candidate,-1.0517254,4.8917527,32,55
temperature sensing,6,2016,2026,device_function,recommendation_candidate,-0.3090432,3.8037927,20,26
coupling thermogalvanic,6,2015,2025,material_system,background,-4.2874846,0.7694432,25,26
energy utilization,6,2020,2026,material_system,background,-6.1162677,2.5444558,24,31
thermoelectric hydrogel,6,2024,2026,material_system,recommendation_candidate,-4.6292286,2.0606296,29,38
ionic thermoelectric materials,5,2021,2026,material_system,background,-4.6326127,2.87922,39,44
phase transition,5,2020,2025,phase_or_species_transition,background,-3.5948029,5.497397,23,27
entropy changes,5,2021,2026,material_system,background,-1.5107874,0.837581,26,32
seebeck response,5,2021,2026,property_metric,recommendation_candidate,-1.3409917,5.180817,27,34
electrode potential,5,1994,2023,electrode_interface,background,-2.9986148,1.9079016,29,33
electrochemical systems,5,1994,2026,material_system,background,-3.4972847,1.2525301,25,29
power conversion,5,1995,2023,material_system,background,-6.0833783,1.7916776,23,37
power conversion efficiency,5,1995,2023,property_metric,background,-6.2205048,1.9178406,23,37
electrode interface,5,1995,2025,material_system,background,-2.748017,1.9163052,24,29
direct conversion,5,2016,2023,material_system,background,-5.8888392,1.6687043,29,36
cold electrode,5,1995,2024,electrode_interface,background,-2.9281893,2.1823595,22,26
charge transport,5,2006,2023,material_system,background,-3.3738863,5.47339,18,21
charge transfer,5,1991,2026,electrode_interface,recommendation_candidate,-3.1650252,5.436744,24,31
self-powered temperature,5,2022,2025,material_system,background,-0.57017756,3.5326908,20,25
organic solvent,5,2017,2024,material_system,background,-2.6036565,0.0903187,30,40
organic solvents,5,2017,2025,material_system,recommendation_candidate,-2.4933558,0.10792052,29,44
hydrogel electrolytes,5,2023,2026,material_system,background,-4.096314,1.7724959,37,49
temperature changes,5,2018,2026,material_system,recommendation_candidate,-0.22476764,3.0102332,38,48
specific output power density,5,2022,2026,property_metric,background,-6.227506,4.1457524,32,53
liquid thermocells,5,2017,2026,material_system,background,-4.087069,2.5944126,30,38
liquid thermoelectric,5,2016,2026,material_system,recommendation_candidate,-4.3364787,2.5812879,24,27
redox potential,5,2015,2026,material_system,recommendation_candidate,-2.9200888,1.0508791,37,47
ionic thermoelectric devices,5,2023,2026,material_system,recommendation_candidate,-4.8862963,2.7875175,36,48
impedance spectroscopy,5,2012,2024,characterization_method,background,-1.9566258,1.0609077,20,25
soret coefficients,5,2006,2009,transport_mechanism,background,-1.1636674,4.360619,4,13
low-temperature waste,5,2017,2025,material_system,background,0.21631055,3.8743112,21,30
thermal charging,5,2019,2026,device_function,recommendation_candidate,-3.3565521,4.449496,35,47
high specific output power density,5,2022,2026,property_metric,background,-6.3039446,4.2057624,32,53
high power density,5,2017,2024,property_metric,recommendation_candidate,-6.196448,3.99153,26,33
harvesting applications,5,2012,2026,material_system,recommendation_candidate,-2.406651,2.7248025,32,37
operating temperature,5,2022,2025,material_system,recommendation_candidate,-0.7014416,3.1637313,37,48
thermodiffusion effect,5,2020,2025,transport_mechanism,background,-2.1431544,4.0011215,33,49
low-temperature waste heat,5,2017,2025,material_system,background,0.24882911,3.5910625,21,30
thermal energy conversion,4,2021,2025,material_system,background,-5.9647036,2.1995246,24,31
temperature monitoring,4,2021,2023,material_system,background,-0.6280198,3.4136143,20,27
small temperature difference,4,2018,2024,material_system,recommendation_candidate,0.016646773,2.7569768,32,42
temperature fluctuations,4,2019,2026,material_system,recommendation_candidate,-0.9387168,3.573953,36,42
thermosensitive crystallization,4,2022,2026,phase_or_species_transition,recommendation_candidate,-6.239726,2.9515479,18,23
water evaporation,4,2020,2026,material_system,background,-1.6875032,2.1930656,25,27
wide temperature,4,2021,2024,material_system,recommendation_candidate,-0.034063634,3.6468358,32,40
wide temperature range,4,2021,2024,material_system,recommendation_candidate,-0.1049587,3.536166,32,40
working temperature,4,2023,2025,material_system,background,-0.36473656,3.5116806,38,45
redox entropy difference,4,2018,2026,solvation_entropy,background,-1.4477906,1.0002949,33,47
large thermopower,4,2021,2026,property_metric,recommendation_candidate,-4.933176,4.346215,36,39
giant thermopower,4,2020,2026,property_metric,recommendation_candidate,-5.10424,4.1474032,33,41
high conductivity,4,2024,2026,property_metric,recommendation_candidate,-3.2291393,3.9685168,26,26
electrolyte ions,4,2023,2024,material_system,recommendation_candidate,-3.3993363,1.6709838,36,46
electrode area,4,2017,2024,material_system,background,-2.9503226,2.1067283,19,22
deep eutectic,4,2024,2026,material_system,recommendation_candidate,-4.12499,3.2366045,24,28
continuous operation,4,1995,2021,material_system,background,-1.3676775,2.5952764,20,21
considerable attention,4,2016,2025,material_system,recommendation_candidate,-1.7140647,1.9441062,34,39
ion migration,4,2022,2026,transport_mechanism,background,-1.8574064,2.4349077,31,35
ion thermodiffusion,4,2024,2026,transport_mechanism,recommendation_candidate,-2.2791855,3.8996701,35,42
ionic hydrogel,4,2024,2026,material_system,background,-4.4590178,1.8581874,27,35
ionic thermoelectric cells,4,2022,2026,material_system,recommendation_candidate,-4.6655965,2.9765468,32,38
conducting polymer,4,2016,2022,material_system,recommendation_candidate,-2.9904583,3.290788,17,20
large seebeck,4,2020,2024,property_metric,recommendation_candidate,-1.3504975,5.000707,26,33
large temperature,4,2024,2025,material_system,recommendation_candidate,-0.58260757,3.9657128,35,40
energy harvesting applications,4,2013,2026,material_system,recommendation_candidate,-2.5586848,2.799508,21,24
low thermopower,4,2020,2025,property_metric,background,-5.1332135,4.26425,26,38
reaction entropy,4,2021,2025,solvation_entropy,background,-1.8578777,1.0337368,34,38
near room temperature,4,2020,2026,material_system,recommendation_candidate,0.015805839,3.401927,28,33
pva hydrogel,4,2024,2026,material_system,recommendation_candidate,-4.403154,1.6449436,21,23
aqueous thermogalvanic,4,2014,2026,material_system,background,-3.9947336,0.35157123,31,38
aqueous solutions,4,2006,2026,material_system,background,-2.4602206,1.1257187,19,23
performance ionic,4,2023,2026,material_system,recommendation_candidate,-4.3869247,3.611077,28,37
aqueous solution,4,2016,2026,material_system,recommendation_candidate,-2.427996,0.8664155,31,35
polymer electrolyte,4,2017,2023,material_system,background,-3.3791027,2.1500888,22,31
photothermal conversion,4,2021,2025,device_function,recommendation_candidate,-5.8011556,1.7287762,25,29
dynamics simulations,3,2023,2025,material_system,recommendation_candidate,-2.3724852,2.1610851,30,34
energy conversion devices,3,2023,2025,material_system,background,-5.733902,1.9322554,21,26
emerging ionic thermoelectric,3,2024,2025,material_system,background,-4.7374406,3.1518595,21,28
emerging ionic,3,2024,2025,material_system,background,-4.4284773,3.455858,21,28
widespread application,3,2022,2025,material_system,background,-2.4409633,2.6737573,20,24
electrochemical reactions,3,2000,2018,material_system,background,-2.9309797,1.4587996,10,13
conventional thermoelectric,3,2016,2026,material_system,recommendation_candidate,-4.9568524,2.4884822,13,14
diffusion coefficients,3,2016,2023,material_system,background,-1.6910366,4.2136965,24,26
transport equations,3,1994,2023,material_system,background,-3.546464,5.2557874,11,13
wearable applications,3,2022,2025,material_system,background,-2.4001982,2.5413373,26,32
configurational entropy,3,2024,2026,phase_or_species_transition,background,-1.7508531,0.72992057,23,29
attracted considerable attention,3,2016,2022,material_system,background,-1.8232857,1.774542,22,26
functional groups,3,2024,2025,material_system,background,-4.6064086,2.2905018,27,30
transport processes,3,2024,2025,material_system,background,-3.4633534,5.460596,21,33
traditional thermoelectric,3,2021,2022,material_system,background,-4.882136,2.622299,26,27
bacterial cellulose,3,2023,2024,gel_microstructure,background,-3.4841015,2.286466,22,26
high temperatures,3,2011,2025,material_system,background,0.45414993,2.962995,10,10
giant ionic,3,2024,2026,material_system,recommendation_candidate,-4.571598,4.045304,24,39
ionic liquid electrolytes,3,2016,2022,material_system,background,-3.8105347,2.1811917,20,29
promising solution,3,2024,2024,material_system,background,-2.3331401,0.73649937,19,20
performance ionic thermoelectric,3,2023,2026,material_system,background,-4.814304,3.1724393,21,27
p-n junction,3,2022,2026,material_system,background,-2.3597984,1.5392851,23,25
operating temperature range,3,2023,2025,material_system,background,-0.79653114,3.1064298,23,30
operating conditions,3,2020,2024,material_system,background,-1.8042176,2.7185123,20,23
molecular dynamics simulations,3,2023,2025,material_system,recommendation_candidate,-2.258908,2.2852266,30,34
maximum temperature,3,2022,2025,material_system,background,-0.28283715,3.8427365,15,17
lower temperatures,3,1998,2025,material_system,recommendation_candidate,0.45819142,3.0187159,20,22
large seebeck coefficient,3,2020,2022,property_metric,recommendation_candidate,-1.0025895,5.0071564,23,27
ionic transport,3,2021,2026,material_system,background,-3.6432123,5.4409676,23,27
ionic thermoelectric generator,3,2025,2026,material_system,recommendation_candidate,-4.882928,2.9187243,17,22
ion conduction,3,2014,2024,material_system,background,-2.7347205,3.4291136,10,11
thermoelectric energy conversion,3,2016,2023,material_system,recommendation_candidate,-5.762333,2.22687,21,25
increasing temperature,3,2013,2026,material_system,recommendation_candidate,-0.70218366,3.3541434,11,11
increasing attention,3,2017,2026,material_system,background,-1.8824451,1.5705347,23,25
temperature sensor,3,1994,2025,material_system,background,-0.045171842,3.7088394,10,11
temperature sensors,3,2020,2025,material_system,background,0.21048294,3.854534,10,12
highest seebeck coefficient,3,2016,2022,property_metric,background,-0.9897813,5.1213694,13,17
highest seebeck,3,2016,2022,property_metric,background,-1.203418,5.2236867,13,17
redox solvation,3,2024,2025,material_system,background,-2.5186348,0.5078398,25,29
high ionic seebeck,3,2023,2025,property_metric,recommendation_candidate,-1.5934668,5.0573807,27,33
thermal transport,3,2022,2026,material_system,background,-3.5221896,5.3420005,18,21
thermal-to-electrical energy conversion,3,2016,2021,material_system,background,-5.8291473,2.0558891,19,21
giant ionic thermopower,3,2024,2026,property_metric,background,-4.870663,4.099861,24,39
activation energy,3,2023,2025,material_system,background,-6.088666,2.5142734,20,22
