paper_id,source_membership,year,title,doi,node_id,node_label,node_role,node_subtype,source_concept_type,provenance,evidence_text,evidence_status,confidence,observed_in_source,document_frequency,historical_graph_eligible,recommendation_target_eligible
P0002,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,TC_6ded5a44a671,ClO4-,material_system,chemical formula,material_entity,audited_paper_concept_map,ClO4-,chemical_formula_parser,0.9,True,1,False,False
P0002,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,TC_8dea083ebe59,solvation entropy,mechanism,solvation/entropy mechanism,solvation_entropy,audited_paper_concept_map,solvation entropy,cleaned_open_concept,0.78,True,11,True,True
P0002,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,TC_af6bbcaf729f,Fe2+/Fe3+ solvation redox chemistry,mechanism,redox mechanism,redox_chemistry,audited_paper_concept_map,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97,True,70,True,True
P0002,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,TC_c889e0f92f27,selective solvation,mechanism,solvation,solvation_entropy,audited_paper_concept_map,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97,True,23,True,True
P0002,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,TC_dc04ee57b5da,electrochemical refrigeration thermocell,device_context,device function,device_function,audited_paper_concept_map,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97,True,61,True,False
P0002,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,TC_e2a3f0650eaa,solvation-shell remodeling,mechanism,solvation,solvation_entropy,audited_paper_concept_map,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97,True,9,True,True
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_125db93329fb,thermogalvanic redox conversion,mechanism,thermoelectrochemical conversion,device_mechanism,audited_paper_concept_map,thermogalvanic current,controlled_rule,0.94,True,92,True,True
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_402d7ec84669,ion-pairing and complexation,mechanism,complexation,solvation_entropy,audited_paper_concept_map,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97,True,64,True,True
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_4b2db7e72622,gel-confined redox transport,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97,True,94,True,True
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_575b8475e747,ionic thermodiffusion (Soret effect),mechanism,thermodiffusion,transport_mechanism,audited_paper_concept_map,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97,True,153,True,True
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_6d3814acb95f,hydrogel,material_system,soft material platform,material_system,audited_paper_concept_map,hydrogel,controlled_rule,0.94,True,202,True,True
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_a1b3b82d80d4,p/n thermogalvanic series design,device_context,device function,device_function,audited_paper_concept_map,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97,True,273,True,False
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_af6bbcaf729f,Fe2+/Fe3+ solvation redox chemistry,mechanism,redox mechanism,redox_chemistry,audited_paper_concept_map,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97,True,70,True,True
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_b3e2c786a6b7,high thermopower,outcome_property,property/metric,property_metric,audited_paper_concept_map,high thermopower,cleaned_open_concept,0.78,True,70,True,False
P0003,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,10.1016/j.cej.2025.161288,TC_dd4634fe263f,Seebeck coefficient/thermopower,outcome_property,thermoelectric metric,property_metric,audited_paper_concept_map,thermopower,controlled_rule,0.94,True,822,True,False
P0004,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,TC_0b17f7e2fe9f,H2O,material_system,chemical formula,material_entity,audited_paper_concept_map,H2O,chemical_formula_parser,0.9,True,10,True,True
P0004,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,TC_6d3814acb95f,hydrogel,material_system,soft material platform,material_system,audited_paper_concept_map,hydrogel,controlled_rule,0.94,True,202,True,True
P0004,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,TC_716ca6e05d7e,ionic conduction,mechanism,ionic transport,transport_mechanism,audited_paper_concept_map,ion conduction,controlled_rule,0.94,True,59,True,True
P0004,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,TC_cd73158e8b1d,wearable biointerface thermocell,device_context,device function,device_function,audited_paper_concept_map,Li+(H2O)n thermogalvanic hydrogel | Li hydration structure gives antifreezing/non-drying ion conduction while thermal gradients generate self-powered biometric e-skin signals,domain_curated_rule,0.97,True,167,True,False
P0004,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,TC_e94eb572bc82,hydration-shell regulation,mechanism,hydration,solvation_entropy,audited_paper_concept_map,hydration structure,controlled_rule,0.94,True,4,True,True
P0004,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,10.1002/adfm.202314419,TC_f104995fe14f,anti-freezing organohydrogel design,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,Li+(H2O)n thermogalvanic hydrogel | Li hydration structure gives antifreezing/non-drying ion conduction while thermal gradients generate self-powered biometric e-skin signals,domain_curated_rule,0.97,True,78,True,True
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_073c83472916,radiative-cooling structure. chaotropic effect raises seebeck coefficient,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97,True,1,False,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_077323f7819d,Hofmeister/chaotropic effect,structure_state,specific-ion effect,gel_microstructure,audited_paper_concept_map,chaotropic ion,controlled_rule,0.94,True,16,True,True
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_2e41eaecf73a,radiative cooling,device_context,thermal-gradient generation,device_function,audited_paper_concept_map,radiative-cooling,controlled_rule,0.94,True,6,True,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_493b5b586992,normalized power density,outcome_property,property/metric,property_metric,audited_paper_concept_map,normalized power density,cleaned_open_concept,0.78,True,15,True,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_621f048a7e27,high seebeck,outcome_property,property/metric,property_metric,audited_paper_concept_map,high seebeck,cleaned_open_concept,0.78,True,102,True,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_7d3a34d8db98,high seebeck coefficient,outcome_property,property/metric,property_metric,audited_paper_concept_map,high seebeck coefficient,cleaned_open_concept,0.78,True,71,True,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_88c37c0e06f9,chaotropic ions,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97,True,1,False,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_a6ad80f6088e,power density,outcome_property,device metric,property_metric,audited_paper_concept_map,power density,controlled_rule,0.94,True,146,True,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_a9af609cf89a,chaotropic polymer-water disruption,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97,True,43,True,True
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_d86f1bd465ef,ionogel,material_system,soft material platform,material_system,audited_paper_concept_map,ionogel,controlled_rule,0.94,True,79,True,True
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_dc04ee57b5da,electrochemical refrigeration thermocell,device_context,device function,device_function,audited_paper_concept_map,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97,True,61,True,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_dd4634fe263f,Seebeck coefficient/thermopower,outcome_property,thermoelectric metric,property_metric,audited_paper_concept_map,Seebeck coefficient,controlled_rule,0.94,True,822,True,False
P0005,TG,2024,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,TC_fababc7795c1,seebeck coefficient,outcome_property,property/metric,property_metric,audited_paper_concept_map,seebeck coefficient,cleaned_open_concept,0.78,True,593,True,False
P0006,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,TC_16f1d3208623,salting-out confined ion gel,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97,True,7,True,True
P0006,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,TC_2761e1d1b2a3,salting-out,mechanism,phase/species transition,phase_or_species_transition,audited_paper_concept_map,salting-out,controlled_rule,0.94,True,6,True,True
P0006,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,TC_cd73158e8b1d,wearable biointerface thermocell,device_context,device function,device_function,audited_paper_concept_map,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97,True,167,True,False
P0006,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,TC_d0a37a92a174,phase transition,mechanism,phase/species transition,phase_or_species_transition,audited_paper_concept_map,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97,True,107,True,True
P0006,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,TC_d1b9ab073d5a,ion-transport highway. thermosensitive crystallization,mechanism,phase/species transition,phase_or_species_transition,audited_paper_concept_map,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97,True,1,False,False
P0006,TG,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,TC_e0e17f6c7745,thermosensitive crystallization,mechanism,phase/species transition,phase_or_species_transition,audited_paper_concept_map,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97,True,5,True,True
P0007,TG,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,TC_6d3814acb95f,hydrogel,material_system,soft material platform,material_system,audited_paper_concept_map,hydrogel,controlled_rule,0.94,True,202,True,True
P0007,TG,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,TC_7cd71e740c61,thermal-gradient heat-transfer control,mechanism,thermal management,device_mechanism,audited_paper_concept_map,heat transfer,controlled_rule,0.94,True,45,True,True
P0007,TG,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,TC_9fb588619e48,multimodal interfacial heat-transfer sensing,device_context,device function,device_function,audited_paper_concept_map,thermogalvanic hydrogel multimodal fingertip receptor | static thermovoltage and dynamic interfacial heat-transfer signals enable pressure/temperature/material fingerprint sensing,domain_curated_rule,0.97,True,4,True,False
P0007,TG,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,TC_cd73158e8b1d,wearable biointerface thermocell,device_context,device function,device_function,audited_paper_concept_map,thermogalvanic hydrogel multimodal fingertip receptor | static thermovoltage and dynamic interfacial heat-transfer signals enable pressure/temperature/material fingerprint sensing,domain_curated_rule,0.97,True,167,True,False
P0008,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,TC_125db93329fb,thermogalvanic redox conversion,mechanism,thermoelectrochemical conversion,device_mechanism,audited_paper_concept_map,thermogalvanic redox,controlled_rule,0.94,True,92,True,True
P0008,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,TC_4b2db7e72622,gel-confined redox transport,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,PVA hydrogel with I-/I3- redox couple and zwitterions | thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,domain_curated_rule,0.97,True,94,True,True
P0008,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,TC_6d3814acb95f,hydrogel,material_system,soft material platform,material_system,audited_paper_concept_map,hydrogel,controlled_rule,0.94,True,202,True,True
P0008,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,TC_c8efd3db5897,poly(vinyl alcohol) (PVA),material_system,polymer,material_entity,audited_paper_concept_map,PVA,controlled_rule,0.94,True,77,True,True
P0008,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,TC_cd73158e8b1d,wearable biointerface thermocell,device_context,device function,device_function,audited_paper_concept_map,PVA hydrogel with I-/I3- redox couple and zwitterions | thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,domain_curated_rule,0.97,True,167,True,False
P0008,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,TC_d2014d12e766,iodide/triiodide redox chemistry,mechanism,redox mechanism,redox_chemistry,audited_paper_concept_map,PVA hydrogel with I-/I3- redox couple and zwitterions | thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,domain_curated_rule,0.97,True,39,True,True
P0008,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,TC_fc263f2aab31,iodide/triiodide,material_system,redox couple,material_entity,audited_paper_concept_map,I-/I3,controlled_rule,0.94,True,15,True,True
P0008,TG,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,TC_fcb70797c57c,piezoresistive-thermoelectric coupling,mechanism,multimodal conversion,device_mechanism,audited_paper_concept_map,piezoresistive,controlled_rule,0.94,True,10,True,True
P0009,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,TC_125db93329fb,thermogalvanic redox conversion,mechanism,thermoelectrochemical conversion,device_mechanism,audited_paper_concept_map,thermogalvanic redox,controlled_rule,0.94,True,92,True,True
P0009,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,TC_16f719d4071d,photothermal thermogalvanic integration,device_context,device function,device_function,audited_paper_concept_map,"photocatalytically enhanced thermogalvanic redox system | photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",domain_curated_rule,0.97,True,310,True,False
P0009,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,TC_98f332e0dc2a,photocatalytic redox-gradient regeneration,device_context,device function,device_function,audited_paper_concept_map,"photocatalytically enhanced thermogalvanic redox system | photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",domain_curated_rule,0.97,True,1,False,False
P0009,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,TC_bc5032b9de77,ion concentration-gradient formation,mechanism,concentration gradient,transport_mechanism,audited_paper_concept_map,redox-ion concentration gradient,controlled_rule,0.94,True,5,True,True
P0009,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,TC_bceb4fbe4ef6,redox-layer ionic-gradient cell,mechanism,transport mechanism,transport_mechanism,audited_paper_concept_map,"photocatalytically enhanced thermogalvanic redox system | photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",domain_curated_rule,0.97,True,4,True,True
P0009,TG,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,TC_dd4634fe263f,Seebeck coefficient/thermopower,outcome_property,thermoelectric metric,property_metric,audited_paper_concept_map,thermopower,controlled_rule,0.94,True,822,True,False
P0010,TG,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,TC_16f719d4071d,photothermal thermogalvanic integration,device_context,device function,device_function,audited_paper_concept_map,"water evaporation-enhanced thermogalvanic cell electrolyte | ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",domain_curated_rule,0.97,True,310,True,False
P0010,TG,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,TC_3f5f2c1938b4,evaporation-assisted concentration gradient,mechanism,transport mechanism,transport_mechanism,audited_paper_concept_map,"water evaporation-enhanced thermogalvanic cell electrolyte | ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",domain_curated_rule,0.97,True,2,True,True
P0010,TG,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,TC_856d17c938f5,evaporative cooling/concentration,device_context,thermal-gradient generation,device_function,audited_paper_concept_map,evaporation creates electrolyte concentration gradient,controlled_rule,0.94,True,5,True,False
P0010,TG,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,TC_dd4634fe263f,Seebeck coefficient/thermopower,outcome_property,thermoelectric metric,property_metric,audited_paper_concept_map,thermopower,controlled_rule,0.94,True,822,True,False
P0011,TG,2025,Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,10.1021/acsaem.4c02835,TC_4b2db7e72622,gel-confined redox transport,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,cationic electroactive hydrogels with cationic redox pairs | electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,domain_curated_rule,0.97,True,94,True,True
