audit_type,left_node_id,left_role,left_label,left_document_frequency,right_node_id,right_role,right_label,right_document_frequency,string_similarity,recommended_action
same_label_different_role,TC_45461f199f05,structure_state,ionic conductive organohydrogels,1,TC_a1657ecaa993,mechanism,ionic conductive organohydrogels,1,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_46db6c7a7ad6,structure_state,or chi. halide anion chaotropicity,1,TC_4a54501be1bf,mechanism,or chi. halide anion chaotropicity,1,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_626afebffcc9,mechanism,polymer-water interaction,1,TC_a29d0439c990,structure_state,polymer-water interaction,2,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_6660c332d0b0,mechanism,anti-freezing organohydrogel design,42,TC_f104995fe14f,structure_state,anti-freezing organohydrogel design,78,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_82ba0ebc6079,mechanism,oriented ion-transport channels,2,TC_90ca07cd2ef1,structure_state,oriented ion-transport channels,2,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_868e6891d813,structure_state,interpenetrating-network thermogalvanic hydrogel,5,TC_d829113affd7,mechanism,interpenetrating-network thermogalvanic hydrogel,3,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_98fc53e305cd,mechanism,double/interpenetrating network,13,TC_d6b4f02a544c,structure_state,double/interpenetrating network,23,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_a9af609cf89a,structure_state,chaotropic polymer-water disruption,43,TC_e8a62e45a2c3,mechanism,chaotropic polymer-water disruption,19,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_b2d1806de346,structure_state,double-network hydrogel mechanics,5,TC_f429ef95c544,mechanism,double-network hydrogel mechanics,2,1.0,retain_role_specific_nodes_review_typing
nested_same_role,TC_05b13e14979f,mechanism,carbon electrode,4,TC_2ce4cbd269e4,mechanism,biomass-derived porous carbon electrode,4,0.5818,retain_both_until_semantic_role_review
nested_same_role,TC_0c21838501cc,mechanism,selective fe2+-nitrile solvation enlarge redox entropy change,1,TC_8dea083ebe59,mechanism,solvation entropy,11,0.4359,retain_both_until_semantic_role_review
nested_same_role,TC_0c21838501cc,mechanism,selective fe2+-nitrile solvation enlarge redox entropy change,1,TC_c889e0f92f27,mechanism,selective solvation,23,0.475,retain_both_until_semantic_role_review
nested_same_role,TC_145b227cda8c,mechanism,cu3bis3. polymorphic phase transition,1,TC_d0a37a92a174,mechanism,phase transition,107,0.6038,retain_both_until_semantic_role_review
nested_same_role,TC_17aa3e959450,mechanism,interfacially modified ion diffusion channels,1,TC_87e040977b41,mechanism,ion diffusion,49,0.4483,retain_both_until_semantic_role_review
nested_same_role,TC_17aa3e959450,mechanism,interfacially modified ion diffusion channels,1,TC_ecd0fc6cd628,mechanism,ion channels,10,0.4211,retain_both_until_semantic_role_review
nested_same_role,TC_1faa26104b6d,mechanism,crown-ether-mediated ion migration,1,TC_e03c7cc08b9d,mechanism,ion migration,51,0.5532,retain_both_until_semantic_role_review
nested_same_role,TC_243d2423b02d,mechanism,phonon scattering,94,TC_76c6b5128b89,mechanism,alloy/disorder phonon scattering,7,0.6939,retain_both_until_semantic_role_review
nested_same_role,TC_25b158bc1a7d,mechanism,polarity to large redox solvation entropy differences,1,TC_8dea083ebe59,mechanism,solvation entropy,11,0.4857,retain_both_until_semantic_role_review
nested_same_role,TC_2761e1d1b2a3,mechanism,salting-out,6,TC_3eb09c51d70b,mechanism,salting-out confined ion gel,1,0.5641,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_367b0f56f5f5,mechanism,cation transport,7,TC_900ffe74dff7,mechanism,anion transport,7,0.9032,retain_both_until_semantic_role_review
nested_same_role,TC_367b0f56f5f5,mechanism,cation transport,7,TC_935a2e990708,mechanism,increases eastman entropy of cation transport,1,0.5246,retain_both_until_semantic_role_review
nested_same_role,TC_3d03aa298309,mechanism,or propylene carbonate. selective solvation between ionic liquids,1,TC_c889e0f92f27,mechanism,selective solvation,23,0.4524,retain_both_until_semantic_role_review
nested_same_role,TC_3d7a5252ac42,mechanism,sio2 nanoparticles create ion channels,1,TC_ecd0fc6cd628,mechanism,ion channels,10,0.48,retain_both_until_semantic_role_review
nested_same_role,TC_45dd74343aef,mechanism,fe3+/fe2+. dmso-eg hydrogen bonding prevents crystallization/evaporation,1,TC_902956facbd0,mechanism,hydrogen bonding,57,0.3636,retain_both_until_semantic_role_review
nested_same_role,TC_49101044dd05,mechanism,double-network hydrogel,2,TC_f429ef95c544,mechanism,double-network hydrogel mechanics,2,0.8214,retain_both_until_semantic_role_review
nested_same_role,TC_4a744eac2d06,mechanism,hofmeister effects create dual thermoelectric behavior ion channels,1,TC_ecd0fc6cd628,mechanism,ion channels,10,0.3038,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_5da28ea242b5,mechanism,precipitation-driven species redistribution,1,TC_715c5c5117f2,mechanism,precipitation and species redistribution,12,0.8916,retain_both_until_semantic_role_review
nested_same_role,TC_62c8103f481e,mechanism,solid-liquid phase transition,2,TC_73e7d39fbab0,mechanism,hap/sio2/zno/zro2 nanoparticles. solid-liquid phase transition stores heat,1,0.5631,retain_both_until_semantic_role_review
nested_same_role,TC_62c8103f481e,mechanism,solid-liquid phase transition,2,TC_d0a37a92a174,mechanism,phase transition,107,0.7111,retain_both_until_semantic_role_review
nested_same_role,TC_63a633b1416b,mechanism,reduces hygroscopic ion channels,1,TC_ecd0fc6cd628,mechanism,ion channels,10,0.5455,retain_both_until_semantic_role_review
nested_same_role,TC_66fd11894f6a,mechanism,increases fe3+-water redox solvation entropy,1,TC_8dea083ebe59,mechanism,solvation entropy,11,0.5574,retain_both_until_semantic_role_review
nested_same_role,TC_6ce6770b2b98,mechanism,nanochannel membrane,1,TC_d632a3ab4861,mechanism,biomimetic conical nanochannel membrane. directed ionic flow,1,0.5,retain_both_until_semantic_role_review
nested_same_role,TC_6d44ea0a6995,mechanism,soret ion diffusion,1,TC_87e040977b41,mechanism,ion diffusion,49,0.8125,retain_both_until_semantic_role_review
nested_same_role,TC_73e7d39fbab0,mechanism,hap/sio2/zno/zro2 nanoparticles. solid-liquid phase transition stores heat,1,TC_d0a37a92a174,mechanism,phase transition,107,0.3556,retain_both_until_semantic_role_review
nested_same_role,TC_819db5face89,mechanism,selective ion transport,12,TC_8a958b7fcaee,mechanism,selective ion transport pathways that enhance thermodiffusion,1,0.5476,retain_both_until_semantic_role_review
nested_same_role,TC_8251a3e5d027,mechanism,temperature-sensitive phase transition,2,TC_d0a37a92a174,mechanism,phase transition,107,0.5926,retain_both_until_semantic_role_review
nested_same_role,TC_82fc7c62ce59,mechanism,mxene electrodes,1,TC_b16fcb9ccb71,mechanism,cu electrodes. mxene tunes cu2+/cl- thermodiffusion,1,0.3284,retain_both_until_semantic_role_review
nested_same_role,TC_844ee479424d,mechanism,thermogalvanic ions. bionic training aligns ion channels,1,TC_ecd0fc6cd628,mechanism,ion channels,10,0.3529,retain_both_until_semantic_role_review
nested_same_role,TC_8dea083ebe59,mechanism,solvation entropy,11,TC_ee4ab915b400,mechanism,tuning solvent entropy rather than only redox-ion solvation,1,0.2368,retain_both_until_semantic_role_review
nested_same_role,TC_902956facbd0,mechanism,hydrogen bonding,57,TC_e0524aeaccac,mechanism,hydrogen bonding enable p-type thermodiffusion,1,0.5161,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_9f4b9aa55ed8,mechanism,lowers charge-transfer/diffusion resistance,1,TC_b7c78b86f0d0,mechanism,lowering charge-transfer/diffusion resistance,1,0.9545,retain_both_until_semantic_role_review
nested_same_role,TC_ab50e5e91588,mechanism,GelMA ion-induced crystallization,2,TC_eba98035cc46,mechanism,ion-induced crystallization,3,0.9,retain_both_until_semantic_role_review
nested_same_role,TC_af8628f4c541,mechanism,other ionic-liquid/solvent mixtures. selective solvation,1,TC_c889e0f92f27,mechanism,selective solvation,23,0.5067,retain_both_until_semantic_role_review
nested_same_role,TC_b56d8080236b,mechanism,superionic transition,25,TC_f08099230248,mechanism,cu2-xse superionic conductor. first-order superionic phase transition,1,0.4667,retain_both_until_semantic_role_review
nested_same_role,TC_b8794bdaef40,mechanism,volume phase transition,3,TC_d0a37a92a174,mechanism,phase transition,107,0.8205,retain_both_until_semantic_role_review
nested_same_role,TC_d0a37a92a174,mechanism,phase transition,107,TC_f08099230248,mechanism,cu2-xse superionic conductor. first-order superionic phase transition,1,0.3765,retain_both_until_semantic_role_review
nested_same_role,TC_d1b9ab073d5a,mechanism,ion-transport highway. thermosensitive crystallization,1,TC_e0e17f6c7745,mechanism,thermosensitive crystallization,5,0.7294,retain_both_until_semantic_role_review
nested_same_role,TC_e03c7cc08b9d,mechanism,ion migration,51,TC_e6b7a56190c5,mechanism,nanochannel-based ionic thermoelectric systems. soret-driven ion migration,1,0.2989,retain_both_until_semantic_role_review
nested_same_role,TC_ecd0fc6cd628,mechanism,ion channels,10,TC_f4134847993c,mechanism,urea. reconstructed lignocellulose ion channels enriched,1,0.3529,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_0011b2c5a96b,material_system,NaCa2Ta3H10,1,TC_3527ebe1cdf1,material_system,NaCa2Ta3O10,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_0065fb96effe,material_system,Ag2S1,1,TC_99aa00df0c9f,material_system,Ag2S,5,0.8889,retain_both_until_semantic_role_review
nested_same_role,TC_0157a4a825da,material_system,increases redox reaction entropy change,1,TC_8214fa654343,material_system,increases redox entropy change,1,0.8696,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_019270adecd0,material_system,LaCo1,1,TC_a7d31134e48c,material_system,LaO1,1,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_01f45204f870,material_system,Sb2Se3,2,TC_898c99537bf0,material_system,Sb2S3,2,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_02ac6adc93df,material_system,CuS4,1,TC_917cd03db746,material_system,CuSO4,7,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_02f2103b7c1c,material_system,LiNbO3,6,TC_ab9ca5bd184a,material_system,LiNO3,2,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_0473a792d27a,material_system,CF3SO3K,2,TC_5d04f1521d2d,material_system,CF3SO3,2,0.9231,retain_both_until_semantic_role_review
nested_same_role,TC_04ab71eea966,material_system,graphene oxide,24,TC_385ec1869ee3,material_system,graphene,46,0.7273,retain_both_until_semantic_role_review
nested_same_role,TC_04ab71eea966,material_system,graphene oxide,24,TC_e650dea66884,material_system,reduced graphene oxide,12,0.7778,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_04ede0a18be5,material_system,BiOCu1,1,TC_9f0cda3ef04b,material_system,BiCu1,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_0adf37d04a72,material_system,Mn2O3,1,TC_2639301202d7,material_system,MnO3,8,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_0c45de456a39,material_system,Mg2Si0,1,TC_1571d7dafdeb,material_system,Mg2Si,8,0.9091,retain_both_until_semantic_role_review
nested_same_role,TC_0cc76159095d,material_system,interfacial entropy tune electrochemical thermopower within tio2,1,TC_90ff89e1ab95,material_system,TiO2,27,0.1176,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_0d365347dbaf,material_system,ASbTe2,1,TC_97e558b5ad8a,material_system,AgSbTe2,2,0.9231,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_0d365347dbaf,material_system,ASbTe2,1,TC_f7857fccd052,material_system,NaSbTe2,1,0.9231,retain_both_until_semantic_role_review
nested_same_role,TC_0f05e40ae4b5,material_system,chitosan complexation,1,TC_e077079526c6,material_system,chitosan,13,0.5517,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_0ffc9d4b7ee6,material_system,Bi2S3,5,TC_a79087058e95,material_system,Bi2Se3,11,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_1080ebbc4c09,material_system,ZrSe2,2,TC_941cb049135e,material_system,ZrS2,3,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_10af44f54760,material_system,MgEu2Se4,1,TC_c0ebd94dbd67,material_system,MgEu2S4,1,0.9333,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_118e5522f3bf,material_system,TTFCOONH4,1,TC_d538ac408fbc,material_system,TTFCOOND4,1,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_13d07151d75b,material_system,Cu2Se,23,TC_d62273e41363,material_system,Cu2S,8,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_1528a365e121,material_system,AMg2Sb2,1,TC_3998b6598068,material_system,CaMg2Sb2,1,0.9333,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_153f9f505f72,material_system,CuO4,1,TC_917cd03db746,material_system,CuSO4,7,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_153f9f505f72,material_system,CuO4,1,TC_c71f1d45efca,material_system,CuO4+,1,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_1638cc80ebec,material_system,RBa2Cu3O7,1,TC_d04e6424c5ea,material_system,Ba2Cu3O7,1,0.9412,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_16767d727116,material_system,RMnO3,1,TC_2639301202d7,material_system,MnO3,8,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_16767d727116,material_system,RMnO3,1,TC_36759af46640,material_system,SrMnO3,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_16767d727116,material_system,RMnO3,1,TC_408177714b99,material_system,REMnO3,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_16767d727116,material_system,RMnO3,1,TC_de1179e1ce4f,material_system,PrMnO3,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_18945a2b5022,material_system,B2O3-3,1,TC_3864ed7b7177,material_system,B2O3-,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_18945a2b5022,material_system,B2O3-3,1,TC_5cb31d75944f,material_system,Bi2O3-3,1,0.9231,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_2259482cb8de,material_system,NdFe4Sb12,1,TC_cb8a6815ae79,material_system,NdFe4As12,1,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_23006461c7e2,material_system,MgSc2Se4,1,TC_81b34bc04c66,material_system,MgSc2S4,1,0.9333,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_238132000902,material_system,Zr2SN2,1,TC_2dacf2a80fb7,material_system,Zr2SeN2,1,0.9231,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_238523933ab3,material_system,CoSb3(100),1,TC_75d6833ecb4f,material_system,CoSb3(001),1,0.9,retain_both_until_semantic_role_review
nested_same_role,TC_238523933ab3,material_system,CoSb3(100),1,TC_a985ce98eb39,material_system,CoSb3,8,0.6667,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_24210bf953fa,material_system,[FeCl4]-,1,TC_e8fbc09f3191,material_system,[FeCl4]2-/,1,0.8889,retain_both_until_semantic_role_review
nested_same_role,TC_25bed0df7690,material_system,mxene/pva hydrogel,1,TC_6d3814acb95f,material_system,hydrogel,202,0.6154,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_28bc77b96da0,material_system,Ag2PbSiS4,1,TC_2ff7e4e10b4e,material_system,Ag2BaSiS4,1,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_291168a0dfb3,material_system,Ag2Te0,1,TC_7cdca3e11560,material_system,Ag2Te,5,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_299a9dc6481f,material_system,ZnCr2,1,TC_8a67e43ac9ae,material_system,ZnCrS2,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_2a7966c209f0,material_system,RCoO3,3,TC_2d2c2ce296cd,material_system,CoO3,3,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_2a7966c209f0,material_system,RCoO3,3,TC_662052f572bd,material_system,PrCoO3,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_2e0bab4f91c8,material_system,[Fe(CN)6]3-/4-,15,TC_6dc811e342b4,material_system,[Fe(CN)6]3-/,1,0.9231,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_2e0bab4f91c8,material_system,[Fe(CN)6]3-/4-,15,TC_960aa8748e0f,material_system,[Fe(CN)6]4-,1,0.88,retain_both_until_semantic_role_review
nested_same_role,TC_2e0bab4f91c8,material_system,[Fe(CN)6]3-/4-,15,TC_b67db95f7040,material_system,[Fe(CN)6],14,0.7826,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_2e0bab4f91c8,material_system,[Fe(CN)6]3-/4-,15,TC_d6b8e757410f,material_system,[Fe(CN)6]3-,3,0.88,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_2f2aab3565db,material_system,Sr2MgSeO6,1,TC_5b7efa8b927f,material_system,Sr2MgSO6,1,0.9412,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_31600703982e,material_system,[Fe(CN)6]4-/3-,6,TC_960aa8748e0f,material_system,[Fe(CN)6]4-,1,0.88,retain_both_until_semantic_role_review
nested_same_role,TC_31600703982e,material_system,[Fe(CN)6]4-/3-,6,TC_b67db95f7040,material_system,[Fe(CN)6],14,0.7826,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_31600703982e,material_system,[Fe(CN)6]4-/3-,6,TC_c66768a61472,material_system,[Fe(CN)6]4-/,3,0.9231,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_31600703982e,material_system,[Fe(CN)6]4-/3-,6,TC_d6b8e757410f,material_system,[Fe(CN)6]3-,3,0.88,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_3388e051ee1d,material_system,SnSe,15,TC_7bb63ecc8c96,material_system,SnSe6,1,0.8889,retain_both_until_semantic_role_review
nested_same_role,TC_344021183659,material_system,C4C1Im,1,TC_d7cf9a0cf973,material_system,[C4C1Im]3,1,0.8,retain_both_until_semantic_role_review
nested_same_role,TC_34f4e37a6a7b,material_system,[Fe2(CH3COO)4(L2)],1,TC_4fb5fedc1105,material_system,CH3COO,1,0.5,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_34f4e37a6a7b,material_system,[Fe2(CH3COO)4(L2)],1,TC_cea24750a97a,material_system,[Fe2(CH3COO)4(L1)2],1,0.9189,retain_both_until_semantic_role_review
nested_same_role,TC_34fe8a88a4a6,material_system,urea,10,TC_4e48f8b4f7b8,material_system,urea amide derivatives synergistically enlarge redox entropy difference,1,0.1067,retain_both_until_semantic_role_review
nested_same_role,TC_359ed79e9c49,material_system,Tl3H(SO4)2,1,TC_fce6713ab0e2,material_system,SO4,2,0.4615,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_372a9fab372c,material_system,CuFeS2,2,TC_d694d8e30783,material_system,CuFeSe2,1,0.9231,retain_both_until_semantic_role_review
nested_same_role,TC_385ec1869ee3,material_system,graphene,46,TC_e650dea66884,material_system,reduced graphene oxide,12,0.5333,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_3864ed7b7177,material_system,B2O3-,1,TC_67cf94635129,material_system,B2O3-5,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_3864ed7b7177,material_system,B2O3-,1,TC_fed65c5be4c3,material_system,B2O3,5,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_3f9bf27a546a,material_system,Ca5Al2Sb6,1,TC_799ed2de9545,material_system,Ca5Ga2Sb6,1,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_408421807cfe,material_system,TiO3,7,TC_58f24e7e49c1,material_system,Ti2O3,1,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_475bcc7d95d6,material_system,Cu3SbS4,1,TC_a9745bb49cc2,material_system,Cu3SbSe4,5,0.9333,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_4955e528273b,material_system,CrO3,3,TC_cc0b20c3cb81,material_system,Cr2O3,1,0.8889,retain_both_until_semantic_role_review
nested_same_role,TC_49a5bac6c473,material_system,sodium perchlorate (NaClO4),1,TC_ef6dd25f8568,material_system,NaClO4,1,0.3636,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_4afdb2cc836f,material_system,BMIMBF4,2,TC_a1fe0ee88e70,material_system,BMIBF4,1,0.9231,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_4ef1a5e06a41,material_system,TeO2,6,TC_978e50073de4,material_system,TeO2-,2,0.8889,retain_both_until_semantic_role_review
nested_same_role,TC_4f82a6a840d2,material_system,PEDOT:PSS,89,TC_ee0a98d9cc93,material_system,PEDOT,102,0.7143,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_4f8dd7932337,material_system,Ag3TlTe2,1,TC_c53c84dcac74,material_system,AgTlTe2,1,0.9333,retain_both_until_semantic_role_review
nested_same_role,TC_4fb5fedc1105,material_system,CH3COO,1,TC_976b22e62c1e,material_system,[M2(CH3COO)4(L)2],1,0.5217,retain_both_until_semantic_role_review
nested_same_role,TC_4fb5fedc1105,material_system,CH3COO,1,TC_cea24750a97a,material_system,[Fe2(CH3COO)4(L1)2],1,0.48,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_500ebb0fc9f1,material_system,PrFe4Sb12,1,TC_a6089c181a5c,material_system,RFe4Sb12,1,0.9412,retain_both_until_semantic_role_review
nested_same_role,TC_523e031eaf4f,material_system,Ti3C2Tx,7,TC_968b4ab03367,material_system,ti3c2tx mxene hollow microsphere nanocomposite electrodes,1,0.2188,retain_both_until_semantic_role_review
nested_same_role,TC_523e031eaf4f,material_system,Ti3C2Tx,7,TC_ab08cdd1f9be,material_system,Ti3C2Tx MXene,8,0.7,retain_both_until_semantic_role_review
nested_same_role,TC_523e031eaf4f,material_system,Ti3C2Tx,7,TC_d841b1c88fc2,material_system,binder-free ti3c2tx mxene ppy electrodes. acid,1,0.2642,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_53cced42d2aa,material_system,K3Fe(CN)6,4,TC_664fbdd11084,material_system,K4Fe(CN)6,5,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_53e0af026358,material_system,Ag8GeS6,2,TC_5a51f2b09a9c,material_system,Ag8GeSe6,2,0.9333,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_542f91ffab24,material_system,CuCrSe2,4,TC_b04db2637d81,material_system,CuCrS2,1,0.9231,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_5503169ee1c1,material_system,AlB3,1,TC_ac7206a694c5,material_system,AlSb3,1,0.8889,retain_both_until_semantic_role_review
nested_same_role,TC_55199570eda0,material_system,Cu3Sn(025),1,TC_fba4b80a317e,material_system,Cu3Sn,1,0.6667,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_55ac52d97790,material_system,Bi2O3,2,TC_fed65c5be4c3,material_system,B2O3,5,0.8889,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_5830fdd5686d,material_system,Ba2Cd2As3,1,TC_5a5efbfd82b0,material_system,Ba2Cd2Sb3,1,0.8889,retain_both_until_semantic_role_review
nested_same_role,TC_59c5dec56d64,material_system,cellulose nanofiber (CNF),9,TC_a3d6bb3e8d3e,material_system,cellulose,56,0.5294,retain_both_until_semantic_role_review
nested_same_role,TC_5cf65f018dc3,material_system,antifreezing ability mxene reinforces gelation,1,TC_627ec3e82d39,material_system,MXene,14,0.1961,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_5d04f1521d2d,material_system,CF3SO3,2,TC_7f19fae51309,material_system,CF3SO3H,1,0.9231,retain_both_until_semantic_role_review
nested_same_role,TC_5d1cb56d209b,material_system,Cu6Sn5(001),1,TC_e4580a1ee1e6,material_system,Cu6Sn5,1,0.7059,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_5dea8dbad262,material_system,Ag2O-2,1,TC_fc888c9b5b11,material_system,Ag2O-,1,0.9091,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_60df6b96bc61,material_system,CuTlTe2,1,TC_da56483fbb19,material_system,Cu3TlTe2,1,0.9333,retain_both_until_semantic_role_review
nested_same_role,TC_627ec3e82d39,material_system,MXene,14,TC_700d8fb4634e,material_system,mxene adds emi shielding,1,0.3448,retain_both_until_semantic_role_review
nested_same_role,TC_627ec3e82d39,material_system,MXene,14,TC_968b4ab03367,material_system,ti3c2tx mxene hollow microsphere nanocomposite electrodes,1,0.1613,retain_both_until_semantic_role_review
nested_same_role,TC_627ec3e82d39,material_system,MXene,14,TC_ab08cdd1f9be,material_system,Ti3C2Tx MXene,8,0.5556,retain_both_until_semantic_role_review
nested_same_role,TC_627ec3e82d39,material_system,MXene,14,TC_d841b1c88fc2,material_system,binder-free ti3c2tx mxene ppy electrodes. acid,1,0.1961,retain_both_until_semantic_role_review
nested_same_role,TC_627ec3e82d39,material_system,MXene,14,TC_de1e01fefe27,material_system,fe2+/3+ n-type thermocells. hollow mxene microspheres reduce restacking,1,0.1316,retain_both_until_semantic_role_review
nested_same_role,TC_627ec3e82d39,material_system,MXene,14,TC_f8399a5cafed,material_system,mxene. des/cnf ionic gel provides high thermopower,1,0.1818,retain_both_until_semantic_role_review
nested_same_role,TC_62894dc32d95,material_system,Bi2Se3(hexylammonium)0,1,TC_a79087058e95,material_system,Bi2Se3,11,0.4286,retain_both_until_semantic_role_review
near_duplicate_same_role,TC_66ab4f1f270f,material_system,Cu3Sn1,1,TC_fba4b80a317e,material_system,Cu3Sn,1,0.9091,retain_both_until_semantic_role_review
nested_same_role,TC_6707369718a3,material_system,Cu6Sn5(110),1,TC_e4580a1ee1e6,material_system,Cu6Sn5,1,0.7059,retain_both_until_semantic_role_review
