mention_id,domain,paper_id,raw_phrase,status
TG:P0251:n3,TG,P0251,interfacial free energy with water molecules,not_yet_annotated
TG:P0251:n4,TG,P0251,disorder within its solvation shell,not_yet_annotated
TG:P0251:n5,TG,P0251,intercalation of an ethanol molecule into the first solvation shell of Fe(CN)(6)(4-),not_yet_annotated
TG:P0251:n6,TG,P0251,solvation entropy increase of redox ions,not_yet_annotated
TG:P0251:n7,TG,P0251,thermogalvanic effect,not_yet_annotated
TG:P0169:n1,TG,P0169,3D hierarchical structure electrode,not_yet_annotated
TG:P0169:n2,TG,P0169,electroactive surface area,not_yet_annotated
TG:P0169:n3,TG,P0169,thermogalvanic reaction sites,not_yet_annotated
TG:P0169:n4,TG,P0169,interface charge transfer resistance,not_yet_annotated
TG:P0019:n1,TG,P0019,non -covalent crosslinking,not_yet_annotated
TG:P0019:n2,TG,P0019,tight physical and electrical contact,not_yet_annotated
TG:P0019:n3,TG,P0019,stable and reliable signal output,not_yet_annotated
TG:P0019:n4,TG,P0019,thermogalvanic and piezoresistive effects,not_yet_annotated
TG:P0019:n5,TG,P0019,sensing of pressure,not_yet_annotated
TG:P0196:n1,TG,P0196,thermo-diffusion effect of electrolyte ions,not_yet_annotated
TG:P0196:n2,TG,P0196,thermogalvanic effect involving I- to I-3(-) conversion and Zn plating,not_yet_annotated
TG:P0196:n3,TG,P0196,heat-to-electricity conversion,not_yet_annotated
TG:P0162:n1,TG,P0162,mixing of oxidant and reductant in microchannel,not_yet_annotated
TG:P0162:n2,TG,P0162,interaction of redox ions and surrounding solvation,not_yet_annotated
TG:P0162:n3,TG,P0162,entropy difference of solvation structure,not_yet_annotated
TG:P0162:n4,TG,P0162,thermogalvanic effect,not_yet_annotated
TG:P0162:n5,TG,P0162,mass transfer of redox ions,not_yet_annotated
TG:P0275:n1,TG,P0275,interfacial effect of microstructure-electrolyte solution,not_yet_annotated
TG:P0275:n2,TG,P0275,ionic reactions,not_yet_annotated
TG:P0275:n3,TG,P0275,transport processes,not_yet_annotated
TG:P0079:n1,TG,P0079,Seebeck coefficient,not_yet_annotated
TG:P0079:n2,TG,P0079,heat-flux transduction,not_yet_annotated
TG:P0079:n3,TG,P0079,spatially resolved thermal mapping,not_yet_annotated
TG:P0021:n1,TG,P0021,double-layer thermogalvanic cell (DTGC) architecture,not_yet_annotated
TG:P0021:n2,TG,P0021,spatially segregates redox pairs into two distinct gel layers,not_yet_annotated
TG:P0021:n3,TG,P0021,ion concentration gradients,not_yet_annotated
TG:P0015:n1,TG,P0015,stretching-induced crystallization,not_yet_annotated
TG:P0015:n2,TG,P0015,thermoelectric effect,not_yet_annotated
TG:P0015:n3,TG,P0015,tensile strength,not_yet_annotated
TG:P0015:n4,TG,P0015,thermopower,not_yet_annotated
TG:P0225:n1,TG,P0225,thermodiffusive and thermogalvanic effects,not_yet_annotated
TG:P0225:n2,TG,P0225,open circuit voltage,not_yet_annotated
TG:P0225:n3,TG,P0225,Seebeck coefficient,not_yet_annotated
TG:P0144:n1,TG,P0144,CuCl2 concentrations increase,not_yet_annotated
TG:P0144:n2,TG,P0144,thermogalvanic redox,not_yet_annotated
TG:P0144:n3,TG,P0144,thermodiffusion contribution,not_yet_annotated
TG:P0144:n4,TG,P0144,ion speciation,not_yet_annotated
TG:P0258:n1,TG,P0258,mixing process of separate FeCl3 and FeCl2 electrolytes,not_yet_annotated
TG:P0258:n2,TG,P0258,degrade the complexes of Fe(H2O)5Cl(2)(+),not_yet_annotated
TG:P0258:n3,TG,P0258,ionic kinetics,not_yet_annotated
TG:P0258:n4,TG,P0258,redox solvation entropy,not_yet_annotated
TG:P0258:n5,TG,P0258,interaction of Fe3+ and water molecules,not_yet_annotated
TG:P0182:n1,TG,P0182,synergistic chaotropic effect,not_yet_annotated
TG:P0182:n2,TG,P0182,strong hydrogen bonds,not_yet_annotated
TG:P0182:n3,TG,P0182,polymers' entropic elasticity,not_yet_annotated
TG:P0182:n4,TG,P0182,entropy difference of thermogalvanic ions,not_yet_annotated
TG:P0250:n1,TG,P0250,Acetonitrile,not_yet_annotated
TG:P0250:n2,TG,P0250,selectively pair with the reduced metal ion only,not_yet_annotated
TG:P0250:n3,TG,P0250,water structure,not_yet_annotated
TG:P0078:n1,TG,P0078,hydrogel chains,not_yet_annotated
TG:P0078:n2,TG,P0078,first solvation shell,not_yet_annotated
TG:P0078:n3,TG,P0078,radial distribution of coordinating water molecules,not_yet_annotated
TG:P0078:n4,TG,P0078,dipole orientation disorder,not_yet_annotated
TG:P0078:n5,TG,P0078,configurational disparity between oxidized and reduced species,not_yet_annotated
TG:P0082:n1,TG,P0082,deformation,not_yet_annotated
TG:P0082:n2,TG,P0082,interfacial resistance gating,not_yet_annotated
TG:P0082:n3,TG,P0082,resistance barrier,not_yet_annotated
TG:P0082:n4,TG,P0082,thermoelectric current,not_yet_annotated
TG:P0139:n1,TG,P0139,strong chaotropic salts,not_yet_annotated
TG:P0139:n2,TG,P0139,modify the solvation shells of ions,not_yet_annotated
TG:P0139:n3,TG,P0139,thermopower of the p-type redox couple,not_yet_annotated
TG:P0139:n4,TG,P0139,Arrhenius acid,not_yet_annotated
TG:P0139:n5,TG,P0139,deprotonation of the n-type redox couple Fe3+/Fe2+,not_yet_annotated
TG:P0139:n6,TG,P0139,Liquid metal electrodes,not_yet_annotated
TG:P0139:n7,TG,P0139,hydrogen bonding with hydrogel surfaces,not_yet_annotated
TG:P0139:n8,TG,P0139,resistance of thermocells,not_yet_annotated
TG:P0032:n1,TG,P0032,optimized thermopower,not_yet_annotated
TG:P0032:n2,TG,P0032,highly reversible electrode reaction process,not_yet_annotated
TG:P0032:n3,TG,P0032,sensing performance,not_yet_annotated
TG:P0032:n4,TG,P0032,ethylene glycol solvent exchange,not_yet_annotated
TG:P0032:n5,TG,P0032,thermopower retention,not_yet_annotated
TG:P0032:n6,TG,P0032,wide operational temperature range,not_yet_annotated
TG:P0246:n1,TG,P0246,water containing DES,not_yet_annotated
TG:P0246:n2,TG,P0246,solvent shell structure of redox couple,not_yet_annotated
TG:P0246:n3,TG,P0246,operation temperature range,not_yet_annotated
TG:P0246:n4,TG,P0246,appropriate amount of water,not_yet_annotated
TG:P0246:n5,TG,P0246,solubility of [Fe(CN)6]3-/4-,not_yet_annotated
TG:P0246:n6,TG,P0246,eutectic properties of DES,not_yet_annotated
TG:P0113:n1,TG,P0113,conducting polymer thickness/multilayer,not_yet_annotated
TG:P0113:n2,TG,P0113,power,not_yet_annotated
TG:P0090:n1,TG,P0090,guanidinium and urea,not_yet_annotated
TG:P0090:n2,TG,P0090,entropy difference of the redox couple,not_yet_annotated
TG:P0090:n3,TG,P0090,Seebeck effect,not_yet_annotated
TG:P0217:n1,TG,P0217,thermocells electrically parallel and/or in series,not_yet_annotated
TG:P0217:n2,TG,P0217,current and potential,not_yet_annotated
TG:P0115:n1,TG,P0115,two LiCoO2/Li cells were separately cycled between two temperatures,not_yet_annotated
TG:P0115:n2,TG,P0115,energy conversion,not_yet_annotated
TG:P0115:n3,TG,P0115,efficiency,not_yet_annotated
TG:P0115:n4,TG,P0115,peak output power,not_yet_annotated
TG:P0249:n1,TG,P0249,incorporating electroactive polymers within hydrogels,not_yet_annotated
TG:P0249:n2,TG,P0249,interact discriminately with one type of ion via redox and binding mechanisms,not_yet_annotated
TG:P0249:n3,TG,P0249,ion transport can be unipolar,not_yet_annotated
TG:P0249:n4,TG,P0249,counterions mobile,not_yet_annotated
TG:P0047:n1,TG,P0047,redox ions,not_yet_annotated
TG:P0047:n2,TG,P0047,heat-to-electricity conversion,not_yet_annotated
TG:P0047:n3,TG,P0047,ionic crosslinks,not_yet_annotated
TG:P0047:n4,TG,P0047,dual-crosslinked structure,not_yet_annotated
TG:P0047:n5,TG,P0047,reversible bonds,not_yet_annotated
TG:P0047:n6,TG,P0047,energy dissipation,not_yet_annotated
TG:P0264:n1,TG,P0264,DES,not_yet_annotated
TG:P0264:n2,TG,P0264,asymmetrically solvates the [Fe(CN)6]3-/4- redox couple,not_yet_annotated
TG:P0264:n3,TG,P0264,solvation entropy difference,not_yet_annotated
TG:P0264:n4,TG,P0264,thermopower,not_yet_annotated
TG:P0060:n1,TG,P0060,Soret effect,not_yet_annotated
TG:P0060:n2,TG,P0060,Seebeck effect,not_yet_annotated
TG:P0101:n1,TG,P0101,microchannel concept,not_yet_annotated
TG:P0101:n2,TG,P0101,thin thermal boundary layer,not_yet_annotated
TG:P0101:n3,TG,P0101,cooling efficiency,not_yet_annotated
TG:P0101:n4,TG,P0101,interelectrode temperature difference,not_yet_annotated
TG:P0001:n1,TG,P0001,TGC dressing,not_yet_annotated
TG:P0001:n2,TG,P0001,exogenous electric field,not_yet_annotated
TG:P0001:n3,TG,P0001,wound healing,not_yet_annotated
TG:P0004:n1,TG,P0004,formation of Li+(H2O)n hydration structure,not_yet_annotated
TG:P0004:n2,TG,P0004,anti-freezing,not_yet_annotated
TG:P0004:n3,TG,P0004,non-drying performance,not_yet_annotated
TG:P0008:n1,TG,P0008,incorporation of zwitterions,not_yet_annotated
TG:P0008:n2,TG,P0008,resistance of the hydrogel to dehydration and low temperatures,not_yet_annotated
TG:P0012:n1,TG,P0012,thermoelectricity,not_yet_annotated
TG:P0012:n2,TG,P0012,active piezoresistivity,not_yet_annotated
TG:P0012:n3,TG,P0012,transduction of dynamic gestures into detectable electrical signals,not_yet_annotated
TG:P0013:n1,TG,P0013,"hydrogen bonds among phytic acid, glycerol, and water",not_yet_annotated
TG:P0013:n2,TG,P0013,electrical performance,not_yet_annotated
TG:P0013:n3,TG,P0013,environmental stability,not_yet_annotated
TG:P0028:n1,TG,P0028,fully additive and scalable fabrication strategy,not_yet_annotated
TG:P0028:n2,TG,P0028,precise assembly of complex architectures,not_yet_annotated
TG:P0029:n1,TG,P0029,ion-solvent interaction,not_yet_annotated
TG:P0029:n2,TG,P0029,DFT-derived ion-solvent interaction features,not_yet_annotated
TG:P0029:n3,TG,P0029,Seebeck coefficient,not_yet_annotated
TG:P0031:n1,TG,P0031,GO,not_yet_annotated
TG:P0031:n2,TG,P0031,adsorbing guanidinium ions,not_yet_annotated
TG:P0031:n3,TG,P0031,crystallization of [Fe(CN)6]4-,not_yet_annotated
TG:P0031:n4,TG,P0031,thermogalvanic effect,not_yet_annotated
TG:P0033:n1,TG,P0033,hydrogen bonds that were formed between DMSO and H2O,not_yet_annotated
TG:P0033:n2,TG,P0033,operate continuously in experiments at low temperatures,not_yet_annotated
TG:P0033:n3,TG,P0033,mechanical tensile properties,not_yet_annotated
TG:P0034:n1,TG,P0034,AP,not_yet_annotated
TG:P0034:n2,TG,P0034,self-regulation of the pH,not_yet_annotated
TG:P0034:n3,TG,P0034,"equilibrium between the HQ and its redox partner, benzoquinone (BQ)",not_yet_annotated
TG:P0034:n4,TG,P0034,selective transport of the target redox material,not_yet_annotated
TG:P0034:n5,TG,P0034,accumulation of HQ near the cold electrode,not_yet_annotated
TG:P0034:n6,TG,P0034,spontaneous reaction of HQ to form BQ,not_yet_annotated
TG:P0035:n1,TG,P0035,MC,not_yet_annotated
TG:P0035:n2,TG,P0035,in situ redox reactions,not_yet_annotated
TG:P0035:n3,TG,P0035,redox species concentration gradients near the electrodes,not_yet_annotated
TG:P0035:n4,TG,P0035,thermoelectric voltage,not_yet_annotated
TG:P0042:n1,TG,P0042,Au nanoparticles (AuNPs)@SiO2-PDMS composite film,not_yet_annotated
TG:P0042:n2,TG,P0042,local surface plasmon resonance (LSPR),not_yet_annotated
TG:P0042:n3,TG,P0042,low thermal conductivity,not_yet_annotated
TG:P0044:n1,TG,P0044,phase transforming electrodes,not_yet_annotated
TG:P0044:n2,TG,P0044,melting phase transition of bulk NaxK alloys,not_yet_annotated
TG:P0044:n3,TG,P0044,thermopower,not_yet_annotated
TG:P0045:n1,TG,P0045,salting out effect,not_yet_annotated
TG:P0045:n2,TG,P0045,confined ion transportation in micro/nano channels,not_yet_annotated
TG:P0045:n3,TG,P0045,ion concentration,not_yet_annotated
TG:P0045:n4,TG,P0045,thermoelectric performance,not_yet_annotated
TG:P0051:n1,TG,P0051,PDMS/CuO/Cu electrodes,not_yet_annotated
TG:P0051:n2,TG,P0051,photothermal conversion,not_yet_annotated
TG:P0051:n3,TG,P0051,temperature difference,not_yet_annotated
TG:P0051:n4,TG,P0051,open-circuit voltage,not_yet_annotated
TG:P0052:n1,TG,P0052,hydrogen bonding between ethylene glycol and water molecules,not_yet_annotated
TG:P0052:n2,TG,P0052,flexibility at -80 degrees C,not_yet_annotated
TG:P0053:n1,TG,P0053,Ultrafast cooling,not_yet_annotated
TG:P0053:n2,TG,P0053,ion diffusion,not_yet_annotated
TG:P0053:n3,TG,P0053,crystallization nucleation rates,not_yet_annotated
TG:P0053:n4,TG,P0053,growth and precipitation of the produced thermosensitive crystals,not_yet_annotated
TG:P0053:n5,TG,P0053,redox reactions,not_yet_annotated
TG:P0053:n6,TG,P0053,thermoelectric properties,not_yet_annotated
TG:P0054:n1,TG,P0054,hydrogen bonds between water and DMSO,not_yet_annotated
TG:P0054:n2,TG,P0054,anti-freezing,not_yet_annotated
TG:P0054:n3,TG,P0054,non-drying properties,not_yet_annotated
TG:P0054:n4,TG,P0054,wide working temperature range,not_yet_annotated
TG:P0055:n1,TG,P0055,Gelation,not_yet_annotated
TG:P0055:n2,TG,P0055,thermal isolation of the electrodes,not_yet_annotated
TG:P0055:n3,TG,P0055,power output,not_yet_annotated
TG:P0055:n4,TG,P0055,increasing width,not_yet_annotated
TG:P0056:n1,TG,P0056,self-assembled asymmetric electrodes,not_yet_annotated
TG:P0056:n2,TG,P0056,specific catalysis toward electrode reactions,not_yet_annotated
TG:P0056:n3,TG,P0056,electronic activation energy,not_yet_annotated
TG:P0057:n1,TG,P0057,DMSO/water binary solvent,not_yet_annotated
TG:P0057:n2,TG,P0057,formation of hydrogen bonds along the three dimensional directions,not_yet_annotated
TG:P0057:n3,TG,P0057,microcrystalline regions,not_yet_annotated
TG:P0058:n1,TG,P0058,thermogalvanic hydrogel film,not_yet_annotated
TG:P0058:n2,TG,P0058,thermogalvanic reaction,not_yet_annotated
TG:P0058:n3,TG,P0058,water-to-vapor phase transition,not_yet_annotated
TG:P0059:n1,TG,P0059,hydrogen bonds between DMSO and EG molecules,not_yet_annotated
TG:P0059:n2,TG,P0059,crystallization,not_yet_annotated
TG:P0059:n3,TG,P0059,evaporation of the solvent,not_yet_annotated
TG:P0061:n1,TG,P0061,binary H2O/GL (glycerin) solvent,not_yet_annotated
TG:P0061:n2,TG,P0061,hydrogen bonding between water molecules,not_yet_annotated
TG:P0063:n1,TG,P0063,organic solvent addition,not_yet_annotated
TG:P0063:n2,TG,P0063,changing solvation shell sizes,not_yet_annotated
TG:P0063:n3,TG,P0063,difference in entropy contributions,not_yet_annotated
TG:P0063:n4,TG,P0063,Seebeck coefficient,not_yet_annotated
TG:P0063:n5,TG,P0063,solvent DN,not_yet_annotated
TG:P0064:n1,TG,P0064,gel patch,not_yet_annotated
TG:P0064:n2,TG,P0064,responsivity on strain,not_yet_annotated
TG:P0064:n3,TG,P0064,recognize the pulse beat,not_yet_annotated
iTE:P0359:n1,iTE,P0359,hydroxyl groups within the hydrogels interact with both cations and anions,not_yet_annotated
iTE:P0359:n2,iTE,P0359,entropy difference in thermal migration,not_yet_annotated
iTE:P0359:n3,iTE,P0359,integrated hydrogel structure,not_yet_annotated
iTE:P0359:n4,iTE,P0359,ion transport,not_yet_annotated
iTE:P0359:n5,iTE,P0359,ionic thermoelectric effect,not_yet_annotated
iTE:P0362:n1,iTE,P0362,divalent cations (Mg2+ and Zn2+),not_yet_annotated
iTE:P0362:n2,iTE,P0362,entropy changes,not_yet_annotated
iTE:P0362:n3,iTE,P0362,diffusivity differences,not_yet_annotated
iTE:P0362:n4,iTE,P0362,thermopower,not_yet_annotated
iTE:P0366:n1,iTE,P0366,humidity levels in the atmosphere,not_yet_annotated
iTE:P0366:n2,iTE,P0366,hydration of molecularly thin 2D channels,not_yet_annotated
iTE:P0366:n3,iTE,P0366,ionic conductivity,not_yet_annotated
iTE:P0366:n4,iTE,P0366,Si of MMT,not_yet_annotated
iTE:P0376:n1,iTE,P0376,Graphene forming a structure like a bridge,not_yet_annotated
iTE:P0376:n2,iTE,P0376,ion diffusion coefficient,not_yet_annotated
iTE:P0376:n3,iTE,P0376,exchange current density,not_yet_annotated
iTE:P0376:n4,iTE,P0376,performance,not_yet_annotated
iTE:P0378:n1,iTE,P0378,position of the positive and negative moieties of the ZI side chain,not_yet_annotated
iTE:P0378:n2,iTE,P0378,movement of free ions,not_yet_annotated
iTE:P0378:n3,iTE,P0378,power factor,not_yet_annotated
iTE:P0378:n4,iTE,P0378,ionic interaction sites,not_yet_annotated
iTE:P0378:n5,iTE,P0378,self-healing characteristics,not_yet_annotated
TG:P0065:n1,TG,P0065,ionic charge on pendant moieties,not_yet_annotated
TG:P0065:n2,TG,P0065,charge-additivity with the metal core,not_yet_annotated
TG:P0065:n3,TG,P0065,entropically-driven processes,not_yet_annotated
TG:P0065:n4,TG,P0065,low dielectric and bulky solvents,not_yet_annotated
TG:P0066:n1,TG,P0066,binary solvent strategy,not_yet_annotated
TG:P0066:n2,TG,P0066,hydrogen bonds between water molecules,not_yet_annotated
TG:P0067:n1,TG,P0067,polyvinylidene fluoride diaphragm,not_yet_annotated
TG:P0067:n2,TG,P0067,thermal barrier,not_yet_annotated
TG:P0067:n3,TG,P0067,thermal conductivity,not_yet_annotated
TG:P0067:n4,TG,P0067,Seebeck coefficient,not_yet_annotated
TG:P0068:n1,TG,P0068,gelatin as a polymer network,not_yet_annotated
TG:P0068:n2,TG,P0068,SO3/42- as a redox electric pair,not_yet_annotated
TG:P0068:n3,TG,P0068,flexible stretchable properties,not_yet_annotated
TG:P0069:n1,TG,P0069,upper photothermal layer,not_yet_annotated
TG:P0069:n2,TG,P0069,absorb light,not_yet_annotated
TG:P0069:n3,TG,P0069,heat,not_yet_annotated
TG:P0069:n4,TG,P0069,thermovoltage signals,not_yet_annotated
TG:P0070:n1,TG,P0070,desert sand grains mixed with the Cu(NO3)2 aqueous electrolyte,not_yet_annotated
TG:P0070:n2,TG,P0070,thermoelectric performance,not_yet_annotated
TG:P0071:n1,TG,P0071,anionpolymer interaction,not_yet_annotated
TG:P0071:n2,TG,P0071,micellization of the diblock copolymer,not_yet_annotated
TG:P0071:n3,TG,P0071,variable concentrations of ions,not_yet_annotated
TG:P0071:n4,TG,P0071,invert the redox reactions at hot and cold sides,not_yet_annotated
TG:P0072:n1,TG,P0072,redox transitions,not_yet_annotated
TG:P0072:n2,TG,P0072,conformational entropy changes,not_yet_annotated
TG:P0072:n3,TG,P0072,n-type thermopower,not_yet_annotated
TG:P0073:n1,TG,P0073,mechanical strain,not_yet_annotated
TG:P0073:n2,TG,P0073,hydrogel's redox kinetics,not_yet_annotated
TG:P0073:n3,TG,P0073,thermoelectric voltage output,not_yet_annotated
TG:P0074:n1,TG,P0074,compliant mechanical properties,not_yet_annotated
TG:P0074:n2,TG,P0074,adaptability to irregular and continuously deformed skin,not_yet_annotated
TG:P0074:n3,TG,P0074,body heat harvesting,not_yet_annotated
TG:P0075:n1,TG,P0075,thermogalvanic effect,not_yet_annotated
TG:P0075:n2,TG,P0075,constant elastic modulus,not_yet_annotated
TG:P0075:n3,TG,P0075,operates properly under stretching,not_yet_annotated
TG:P0076:n1,TG,P0076,low thermal conductivity,not_yet_annotated
TG:P0076:n2,TG,P0076,porous cellulose aerogel,not_yet_annotated
TG:P0076:n3,TG,P0076,heat transfer from the hot side to the cold side,not_yet_annotated
TG:P0076:n4,TG,P0076,heat loss from the hot side to the environment,not_yet_annotated
TG:P0077:n1,TG,P0077,enhancing (suppressing) heat transfer between the hot (cold) side and ambient air,not_yet_annotated
TG:P0077:n2,TG,P0077,power density,not_yet_annotated
TG:P0081:n1,TG,P0081,temperature gradient,not_yet_annotated
TG:P0081:n2,TG,P0081,localized oxidation of a nickel-bipyridine complex at the hot electrode only,not_yet_annotated
TG:P0081:n3,TG,P0081,chemical heterogeneity,not_yet_annotated
TG:P0081:n4,TG,P0081,concentration gradient effects,not_yet_annotated
TG:P0081:n5,TG,P0081,thermopower,not_yet_annotated
TG:P0083:n1,TG,P0083,coordination interactions between TiO2 and Fe(CN)6 4-,not_yet_annotated
TG:P0083:n2,TG,P0083,interfacial charge transfer,not_yet_annotated
TG:P0083:n3,TG,P0083,performance,not_yet_annotated
TG:P0084:n1,TG,P0084,ZnAl-LDH,not_yet_annotated
TG:P0084:n2,TG,P0084,selectively binds with Fe(CN)64-,not_yet_annotated
TG:P0084:n3,TG,P0084,entropy difference of the [Fe(CN)6]3-/4-redox couple,not_yet_annotated
TG:P0084:n4,TG,P0084,transport pathways for anions,not_yet_annotated
TG:P0085:n1,TG,P0085,modify the hydration shell of the redox couple,not_yet_annotated
TG:P0085:n2,TG,P0085,redox entropy difference,not_yet_annotated
TG:P0085:n3,TG,P0085,Seebeck coefficient,not_yet_annotated
TG:P0086:n1,TG,P0086,natural convection,not_yet_annotated
TG:P0086:n2,TG,P0086,heat transfer,not_yet_annotated
TG:P0086:n3,TG,P0086,mass transport,not_yet_annotated
TG:P0086:n4,TG,P0086,Delta T,not_yet_annotated
TG:P0086:n5,TG,P0086,effective thermal conductivity,not_yet_annotated
TG:P0087:n1,TG,P0087,photothermal-thermoelectric coupling,not_yet_annotated
TG:P0087:n2,TG,P0087,transdermal extraction of the biomarker (8-OH-dG),not_yet_annotated
TG:P0088:n1,TG,P0088,Split P,not_yet_annotated
TG:P0088:n2,TG,P0088,surface area/volume ratio,not_yet_annotated
TG:P0088:n3,TG,P0088,thermal resistances,not_yet_annotated
TG:P0088:n4,TG,P0088,temperature difference across the cell,not_yet_annotated
TG:P0089:n1,TG,P0089,thermogalvaniccell coefficient,not_yet_annotated
TG:P0089:n2,TG,P0089,lithiationstate,not_yet_annotated
TG:P0089:n3,TG,P0089,electrode kinetics,not_yet_annotated
TG:P0089:n4,TG,P0089,lithiation overpotential,not_yet_annotated
TG:P0091:n1,TG,P0091,passivating behavior is eventually lost,not_yet_annotated
TG:P0091:n2,TG,P0091,capacity degradation,not_yet_annotated
TG:P0092:n1,TG,P0092,convection and radiation,not_yet_annotated
TG:P0092:n2,TG,P0092,heat flux,not_yet_annotated
TG:P0092:n3,TG,P0092,gelled electrolytes,not_yet_annotated
TG:P0092:n4,TG,P0092,experimentally determined efficiency,not_yet_annotated
TG:P0093:n1,TG,P0093,nanogels,not_yet_annotated
TG:P0093:n2,TG,P0093,selective capture of I-3(-) at the hot side followed by the release of I-3(-) at the cold side,not_yet_annotated
TG:P0093:n3,TG,P0093,concentration gradient of the free I-3(-),not_yet_annotated
TG:P0093:n4,TG,P0093,p-n inversion,not_yet_annotated
TG:P0094:n1,TG,P0094,Addition of CsCl,not_yet_annotated
TG:P0094:n2,TG,P0094,altered solvation,not_yet_annotated
TG:P0094:n3,TG,P0094,Seebeck coefficient,not_yet_annotated
TG:P0094:n4,TG,P0094,homogeneous electrocatalysis of electron transfer,not_yet_annotated
TG:P0094:n5,TG,P0094,current,not_yet_annotated
TG:P0094:n6,TG,P0094,maximum power output,not_yet_annotated
