paper_id,year,source_membership,concept_id,canonical_concept,evidence_field,evidence_text,rule_kind,mapping_status
P0084,2026,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,ZnAl-LDH cross-linked P(AM-ANA)/CMCS thermogalvanic hydrogel with Fe(CN)6 3-/4- in water-methanol,family_recall,already_mapped
P0085,2026,TG,CA6C42A1D77,ferri/ferrocyanide family,title,Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells,family_recall,added
P0090,2018,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,aqueous ferri/ferrocyanide electrolyte with guanidinium and urea additives,family_recall,already_mapped
P0090,2018,iTE|TG,C5E47CC0A62,Hofmeister/chaotropic effect,mechanism_raw,guanidinium chaotropic cations and urea amide derivatives synergistically enlarge redox entropy difference and boost Seebeck coefficient,synonym_recall,already_mapped
P0090,2018,iTE|TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,aqueous ferri/ferrocyanide electrolyte with guanidinium and urea additives,synonym_recall,already_mapped
P0093,2019,TG,C2106B674B9,iodide/triiodide,material_raw,I-/I3- thermogalvanic cell with PNIPAM thermosensitive nanogels,synonym_recall,already_mapped
P0094,2020,TG,CA6C42A1D77,ferri/ferrocyanide family,title,"A fundamental study of the thermoelectrochemistry of ferricyanide/ferrocyanide: cation, concentration, ratio, and heterogeneous and homogeneous electrocatalysis effects in thermogalvanic cells",family_recall,already_mapped
P0094,2020,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,title,"A fundamental study of the thermoelectrochemistry of ferricyanide/ferrocyanide: cation, concentration, ratio, and heterogeneous and homogeneous electrocatalysis effects in thermogalvanic cells",synonym_recall,already_mapped
P0095,2021,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,superabsorbent polymer hydrogel matrices hosting [Fe(CN)6]3-/4- and Fe2+/3+ redox ions,family_recall,already_mapped
P0095,2021,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,superabsorbent polymer hydrogel matrices hosting [Fe(CN)6]3-/4- and Fe2+/3+ redox ions,synonym_recall,added
P0097,2021,TG,CA6C42A1D77,ferri/ferrocyanide family,title,eveloping iron-based anionic redox couples for thermogalvanic cells: towards the replacement of the ferricyanide/ferrocyanide redox couple,family_recall,already_mapped
P0097,2021,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,title,eveloping iron-based anionic redox couples for thermogalvanic cells: towards the replacement of the ferricyanide/ferrocyanide redox couple,synonym_recall,already_mapped
P0098,2021,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,concentrated aqueous ferricyanide/ferrocyanide water-in-salt electrolytes with Na+/K+ counterions,family_recall,added
P0098,2021,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,concentrated aqueous ferricyanide/ferrocyanide water-in-salt electrolytes with Na+/K+ counterions,synonym_recall,already_mapped
P0102,2018,TG,C95D66F92B2,carbon nanotube family,material_raw,carbon nanotube/cellulose nanocrystal photothermal nanocomposite with sponge-confined electrolyte hybrid pyroelectric/thermogalvanic generator,family_recall,already_mapped
P0107,2019,TG,CA6C42A1D77,ferri/ferrocyanide family,title,Success and failure in the incorporation of gold nanoparticles inside ferri/ferrocyanide thermogalvanic cells,family_recall,already_mapped
P0107,2019,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,title,Success and failure in the incorporation of gold nanoparticles inside ferri/ferrocyanide thermogalvanic cells,synonym_recall,already_mapped
P0110,2020,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,Au sheet in alkaline ferri-/ferrocyanide solution thermogalvanic temperature sensor,family_recall,added
P0112,2018,TG,CA6C42A1D77,ferri/ferrocyanide family,title,Harnessing the thermogalvanic effect of the ferro/ferricyanide redox couple in a thermally chargeable supercapacitor,family_recall,already_mapped
P0112,2018,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,ferri/ferrocyanide thermogalvanic Seebeck effect thermally charges redox pseudocapacitance for simultaneous energy conversion and storage,synonym_recall,already_mapped
P0113,2017,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PEDOT-Tos conducting polymer electrodes with ferro/ferricyanide redox electrolyte,family_recall,added
P0113,2017,iTE|TG,C0783369D77,PEDOT family,title,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",family_recall,already_mapped
P0119,2015,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,ferri/ferrocyanide and iodide/triiodide redox couples at platinum and stainless-steel electrodes,family_recall,already_mapped
P0119,2015,TG,C2106B674B9,iodide/triiodide,material_raw,ferri/ferrocyanide and iodide/triiodide redox couples at platinum and stainless-steel electrodes,synonym_recall,already_mapped
P0119,2015,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,ferri/ferrocyanide and iodide/triiodide redox couples at platinum and stainless-steel electrodes,synonym_recall,already_mapped
P0120,2016,TG,C95D66F92B2,carbon nanotube family,material_raw,CNT with glycerol/glycerin aqueous NaCl nanofluid and nanoporous carbon NaCl/glycerol mixtures,family_recall,already_mapped
P0127,1996,TG,CA6C42A1D77,ferri/ferrocyanide family,title,"Power conversion efficiency, electrode separation, and overpotential in the ferricyanide/ferrocyonide thermogalvanic cell",family_recall,added
P0127,1996,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,ferricyanide/ferrocyanide thermogalvanic cell with platinum electrodes and cold-above-hot configuration,synonym_recall,already_mapped
P0128,1995,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,ferricyanide/ferrocyanide thermogalvanic cell in KCl with platinum electrodes,family_recall,added
P0128,1995,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,ferricyanide/ferrocyanide thermogalvanic cell in KCl with platinum electrodes,synonym_recall,already_mapped
P0133,1991,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,undivided flow thermogalvanic cell with Fe(CN)6 3-/4- in NaOH and two aqueous electrolytes at different temperatures,family_recall,added
P0136,2025,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,VA photothermal hydrogel with Ti2O3 nanoparticles/CNTs and PVA thermoelectric gels soaked with K3/K4[Fe(CN)6],family_recall,already_mapped
P0136,2025,iTE|TG,C95D66F92B2,carbon nanotube family,material_raw,PVA photothermal hydrogel with Ti2O3 nanoparticles/CNTs and PVA thermoelectric gels soaked with K3/K4[Fe(CN)6],family_recall,already_mapped
P0136,2025,iTE|TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"photothermal hydrogel generates temperature gradient for solar evaporation, while ferri/ferrocyanide thermogalvanic gels generate electricity",synonym_recall,already_mapped
P0137,2024,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"guanidinium promotes ion thermodiffusion and melamine selectively complexes/desorbs Fe3+, coupling thermodiffusion and thermogalvanic effects",synonym_recall,already_mapped
P0139,2025,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,"p-type [Fe(CN)6]3-/4- and n-type Fe3+/Fe2+ hydrogel thermocells with chaotropic salts, Arrhenius acid, and liquid-metal electrodes",family_recall,already_mapped
P0139,2025,iTE|TG,C5E47CC0A62,Hofmeister/chaotropic effect,material_raw,"p-type [Fe(CN)6]3-/4- and n-type Fe3+/Fe2+ hydrogel thermocells with chaotropic salts, Arrhenius acid, and liquid-metal electrodes",synonym_recall,already_mapped
P0140,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,ferro/ferricyanide and tetrabutylammonium fluoride electrolyte forming semiclathrate hydrate,family_recall,added
P0141,2024,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"reviewed ion thermodiffusion, thermogalvanic redox, polymer networks, and electrode-electrolyte interactions govern ionic Seebeck and energy density",synonym_recall,already_mapped
P0143,2025,iTE|TG,CDAC0413DCA,gelatin-based polymer family,title,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,family_recall,already_mapped
P0143,2025,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,pressure changes thermodiffusion/thermogalvanic thermopower and response-time differences decouple pressure and temperature signals,synonym_recall,already_mapped
P0144,2026,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"Cu-Cl speciation tunes coupling between Cu2+/Cu+ thermogalvanic redox and thermodiffusion, producing giant n-type thermopower",synonym_recall,already_mapped
P0145,2020,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,"gelatin ionic thermoelectric matrix with KCl, NaCl, KNO3, and [Fe(CN)6]4-/3-",family_recall,already_mapped
P0145,2020,iTE|TG,CDAC0413DCA,gelatin-based polymer family,title,Giant thermopower of ionic gelatin near room temperature,family_recall,already_mapped
P0145,2020,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,synergistic thermodiffusion of salt ions and ferri/ferrocyanide thermogalvanic effect creates giant positive thermopower,synonym_recall,already_mapped
P0145,2020,iTE|TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,synergistic thermodiffusion of salt ions and ferri/ferrocyanide thermogalvanic effect creates giant positive thermopower,synonym_recall,already_mapped
P0146,2025,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"e redox entropy change, exchange current density, and ionic conductivity for coupled thermogalvanic/thermodiffusion output",synonym_recall,already_mapped
P0147,2024,TG,CDAC0413DCA,gelatin-based polymer family,material_raw,PVA/gelatin thermogalvanic gel smart pen,family_recall,already_mapped
P0150,2024,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PAAm/PVA/cellulose nanofiber triple-network hydrogel soaked with Fe(CN)6 3-/4-,family_recall,already_mapped
P0150,2024,iTE|TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,fractal hydrogel microstructure gives high ionic conductivity while ferri/ferrocyanide thermogalvanic redox harvests low-grade heat,synonym_recall,already_mapped
P0154,2023,TG,C95D66F92B2,carbon nanotube family,title,Constructing Flexible Film Electrode with Porous Layered Structure by MXene/SWCNTs/PANI Ternary Composite for Efficient Low-Grade Thermal Energy Harvest,family_recall,already_mapped
P0156,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,cotton/PPy photothermal layer with [Fe(CN)6]3-/4- thermoelectric hydrogel,family_recall,already_mapped
P0156,2025,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,solar photothermal heating creates temperature gradients for ferri/ferrocyanide thermogalvanic output; body heat powers dark operation,synonym_recall,already_mapped
P0161,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PAAm hydrogel with K3[Fe(CN)6]/K4[Fe(CN)6] and graphite electrodes,family_recall,already_mapped
P0165,2026,TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,ive carbon/Mo nitride quantum-dot electrode activates ion migration and redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,synonym_recall,already_mapped
P0167,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,BC/PAA/guanidinium chloride deep-eutectic-solvent gel with Fe(ClO4)2/3 and K3/4Fe(CN)6 p/n thermocells,family_recall,added
P0167,2024,TG,C2A8A04727D,guanidinium chloride (GdmCl),material_raw,BC/PAA/guanidinium chloride deep-eutectic-solvent gel with Fe(ClO4)2/3 and K3/4Fe(CN)6 p/n thermocells,synonym_recall,already_mapped
P0169,2022,iTE|TG,CDAC0413DCA,gelatin-based polymer family,title,3D Hierarchical Electrodes Boosting Ultrahigh Power Output for Gelatin-KCl-FeCN4-/3- Ionic Thermoelectric Cells,family_recall,already_mapped
P0170,2026,iTE|TG,C0783369D77,PEDOT family,title,"Ionic thermoelectrics based on Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate): A mini-review",family_recall,already_mapped
P0170,2026,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"review compares thermodiffusion and thermogalvanic mechanisms; humidity, doping, morphology, and hybrid ionic-electronic transport govern performance",synonym_recall,already_mapped
P0173,2026,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,asymmetric thermal cell with FeCl3/K4[Fe(CN)6] opposite-temperature-coefficient redox couples,family_recall,already_mapped
P0173,2026,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,asymmetric thermal cell with FeCl3/K4[Fe(CN)6] opposite-temperature-coefficient redox couples,synonym_recall,added
P0174,2026,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,nanoconfinement enhances ionic thermopower through competition between Soret thermodiffusion and temperature-dependent ion electrophoretic mobility,synonym_recall,already_mapped
P0175,2026,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"ionic thermodiffusion-induced thermal potentials drive reversible redox reactions at electrode interfaces, enabling continuous current",synonym_recall,already_mapped
P0179,2022,TG,C2106B674B9,iodide/triiodide,material_raw,I-/I3- redox electrolyte with methylcellulose and KCl,synonym_recall,already_mapped
P0180,2023,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PAM/CMC double-network gel with Li2SO4 and [Fe(CN)6]4-/3-,family_recall,already_mapped
P0180,2023,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,Li2SO4 thermodiffusion and ferri/ferrocyanide thermogalvanic redox couple to produce high ionic Seebeck effect,synonym_recall,already_mapped
P0180,2023,iTE|TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,Li2SO4 thermodiffusion and ferri/ferrocyanide thermogalvanic redox couple to produce high ionic Seebeck effect,synonym_recall,already_mapped
P0182,2021,iTE|TG,C5E47CC0A62,Hofmeister/chaotropic effect,material_raw,organohydrogel thermocell with chaotropic comonomer and chaotropic cosolvent,synonym_recall,already_mapped
P0183,2023,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,Fe(CN)6 3-/4- and Fe3+/Fe2+ liquid redox pairs in water/acetone solvents,family_recall,added
P0183,2023,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,Fe(CN)6 3-/4- and Fe3+/Fe2+ liquid redox pairs in water/acetone solvents,synonym_recall,already_mapped
P0187,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,nanostructured porous Sb-doped SnO2 electrodes on FTO with potassium ferro/ferricyanide electrolyte,family_recall,already_mapped
P0187,2024,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,Sb:SnO2 provides Pt-like electron-transfer kinetics for ferri/ferrocyanide thermocells at lower electrode cost,synonym_recall,already_mapped
P0190,2023,TG,CE6FC512ED2,dynamic crosslinked gel network,material_raw,p-type and n-type dynamic-crosslinked thermogalvanic hydrogels in stretchable hydrogel thermocouple,family_recall,already_mapped
P0191,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,Fe(CN)6 3-/4- thermoelectric hydrogel with polyphenol photothermal layer from pyrogallic acid oxidation,family_recall,already_mapped
P0192,2017,TG,CA6C42A1D77,ferri/ferrocyanide family,title,High thermopower of ferri/ferrocyanide redox couple in organic-water solutions,family_recall,already_mapped
P0192,2017,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,title,High thermopower of ferri/ferrocyanide redox couple in organic-water solutions,synonym_recall,already_mapped
P0196,2024,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,thermodiffusion of electrolyte ions plus I-/I3- conversion and Zn plating thermogalvanic processes generate high voltage and storage,synonym_recall,already_mapped
P0196,2024,iTE|TG,C2106B674B9,iodide/triiodide,material_raw,zinc-iodine thermal charging cell with Zn(NO3)2/Zn(CH3COO)2/ZnSO4 electrolytes and I-/I3- redox species,synonym_recall,already_mapped
P0201,2021,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),material_raw,ionic thermoelectric materials using thermodiffusion/Soret and thermogalvanic effects,synonym_recall,already_mapped
P0205,2021,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,pH-neutral TREC flow battery with KI/KI3 catholyte and K3/K4[Fe(CN)6] anolyte,family_recall,already_mapped
P0206,2022,TG,C95D66F92B2,carbon nanotube family,material_raw,CMC-interpenetrated PAAm hydrogel with thermogalvanic ions and CNT solar-thermal coating,family_recall,already_mapped
P0208,2017,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,gelled K3/K4[Fe(CN)6] thermocell electrolytes using agar agar/agarose or poly(sodium acrylate) beads,family_recall,already_mapped
P0208,2017,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"gelled electrolytes reduce spillage, stabilize output, and impede heat transfer relative to liquid ferri/ferrocyanide thermocells",synonym_recall,already_mapped
P0210,2022,TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,electrolyte thermodiffusion and C=O/C-O-NH4+ thermogalvanic redox combine to convert heat to stored electrical energy,synonym_recall,already_mapped
P0214,2019,TG,C95D66F92B2,carbon nanotube family,material_raw,cobalt hexacyanoferrate and CoHCF/helical carbon nanotube TREC electrodes,family_recall,already_mapped
P0215,2017,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,magnetic nanoparticle ferrofluids in aqueous potassium ferro/ferricyanide electrolytes,family_recall,added
P0217,2016,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,potassium ferrocyanide/ferricyanide and iron(ii/iii) sulfate/sulfuric-acid thermocells,family_recall,already_mapped
P0219,2022,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,[Fe(CN)6]3-/4- polyacrylate hydrogel with CNT and liquid-crystalline graphene oxide modified carbon cloth electrodes,family_recall,already_mapped
P0219,2022,TG,C95D66F92B2,carbon nanotube family,material_raw,[Fe(CN)6]3-/4- polyacrylate hydrogel with CNT and liquid-crystalline graphene oxide modified carbon cloth electrodes,family_recall,already_mapped
P0222,2020,TG,C3002C089A5,ionic thermodiffusion (Soret effect),title,The Soret effect in dry polymer electrolyte,synonym_recall,already_mapped
