paper_id,concept_id,canonical_concept,concept_type,concept_subtype,evidence_field,evidence_text,extraction_method,confidence
P0006,CF652A991A2,salting-out,phase_or_species_transition,phase/species transition,mechanism_raw,salting-out,controlled_rule,0.94
P0007,C048A21E066,multimodal interfacial heat-transfer sensing,device_function,device function,material+mechanism+abstract,thermogalvanic hydrogel multimodal fingertip receptor | static thermovoltage and dynamic interfacial heat-transfer signals enable pressure/temperature/material fingerprint sensing,domain_curated_rule,0.97
P0007,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0007,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,thermogalvanic hydrogel multimodal fingertip receptor | static thermovoltage and dynamic interfacial heat-transfer signals enable pressure/temperature/material fingerprint sensing,domain_curated_rule,0.97
P0007,CEA29EF1A99,thermal-gradient heat-transfer control,device_mechanism,thermal management,abstract,heat transfer,controlled_rule,0.94
P0008,C2106B674B9,iodide/triiodide,material_entity,redox couple,material_raw,I-/I3,controlled_rule,0.94
P0008,C275FB7C4B0,iodide/triiodide redox chemistry,redox_chemistry,redox mechanism,material+mechanism+abstract,PVA hydrogel with I-/I3- redox couple and zwitterions | thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,domain_curated_rule,0.97
P0008,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0008,C7B823B5BB0,poly(vinyl alcohol) (PVA),material_entity,polymer,material_raw,PVA,controlled_rule,0.94
P0008,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA hydrogel with I-/I3- redox couple and zwitterions | thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,domain_curated_rule,0.97
P0008,CBA7A0F0CA3,thermogalvanic redox conversion,device_mechanism,thermoelectrochemical conversion,mechanism_raw,thermogalvanic redox,controlled_rule,0.94
P0008,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,PVA hydrogel with I-/I3- redox couple and zwitterions | thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,domain_curated_rule,0.97
P0008,CE48798D135,piezoresistive-thermoelectric coupling,device_mechanism,multimodal conversion,mechanism_raw,piezoresistive,controlled_rule,0.94
P0009,C182567E63B,ion concentration-gradient formation,transport_mechanism,concentration gradient,mechanism_raw,redox-ion concentration gradient,controlled_rule,0.94
P0009,C7665C99E7F,photocatalytic redox-gradient regeneration,device_function,device function,material+mechanism+abstract,"photocatalytically enhanced thermogalvanic redox system | photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",domain_curated_rule,0.97
P0009,C8F254FA6F8,Seebeck coefficient/thermopower,property_metric,thermoelectric metric,abstract,thermopower,controlled_rule,0.94
P0009,CB9430BE241,photothermal thermogalvanic integration,device_function,device function,material+mechanism+abstract,"photocatalytically enhanced thermogalvanic redox system | photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",domain_curated_rule,0.97
P0009,CBA7A0F0CA3,thermogalvanic redox conversion,device_mechanism,thermoelectrochemical conversion,material_raw,thermogalvanic redox,controlled_rule,0.94
P0009,CE39B16551E,redox-layer ionic-gradient cell,transport_mechanism,transport mechanism,material+mechanism+abstract,"photocatalytically enhanced thermogalvanic redox system | photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",domain_curated_rule,0.97
P0010,C5BFFEEB7C0,evaporation-assisted concentration gradient,transport_mechanism,transport mechanism,material+mechanism+abstract,"water evaporation-enhanced thermogalvanic cell electrolyte | ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",domain_curated_rule,0.97
P0010,C8F254FA6F8,Seebeck coefficient/thermopower,property_metric,thermoelectric metric,mechanism_raw,thermopower,controlled_rule,0.94
P0010,C94EB903229,evaporative cooling/concentration,device_function,thermal-gradient generation,mechanism_raw,evaporation creates electrolyte concentration gradient,controlled_rule,0.94
P0010,CB9430BE241,photothermal thermogalvanic integration,device_function,device function,material+mechanism+abstract,"water evaporation-enhanced thermogalvanic cell electrolyte | ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",domain_curated_rule,0.97
P0011,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogels,controlled_rule,0.94
P0011,C845F498233,ion-dipole interaction,solvation_entropy,intermolecular interaction,material+mechanism+abstract,cationic electroactive hydrogels with cationic redox pairs | electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,domain_curated_rule,0.97
P0011,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,cationic electroactive hydrogels with cationic redox pairs | electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,domain_curated_rule,0.97
P0011,CA18908788F,electrostatic-interaction cationic hydrogel,gel_microstructure,soft-material mechanism,material+mechanism+abstract,cationic electroactive hydrogels with cationic redox pairs | electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,domain_curated_rule,0.97
P0011,CBFAB31D6E6,electrostatic interaction,solvation_entropy,intermolecular interaction,title,Electrostatic Interaction,controlled_rule,0.94
P0011,CF8594C4108,power density,property_metric,device metric,mechanism_raw,power density,controlled_rule,0.94
P0012,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0012,C780BB03909,glycerol,material_entity,solvent/additive,material_raw,glycerol,controlled_rule,0.94
P0012,C7B823B5BB0,poly(vinyl alcohol) (PVA),material_entity,polymer,material_raw,PVA,controlled_rule,0.94
P0012,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA/trehalose/glycerol/water thermogalvanic hydrogel virtual interface | body-heat thermoelectricity and active piezoresistive modulation transduce hand gestures into self-powered signals,domain_curated_rule,0.97
P0012,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,PVA/trehalose/glycerol/water thermogalvanic hydrogel virtual interface | body-heat thermoelectricity and active piezoresistive modulation transduce hand gestures into self-powered signals,domain_curated_rule,0.97
P0012,CE48798D135,piezoresistive-thermoelectric coupling,device_mechanism,multimodal conversion,mechanism_raw,piezoresistive,controlled_rule,0.94
P0013,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,abstract,hydrogen bonds,controlled_rule,0.94
P0013,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0013,C780BB03909,glycerol,material_entity,solvent/additive,material_raw,glycerol,controlled_rule,0.94
P0013,CB25BC3FC14,double/interpenetrating network,gel_microstructure,network structure,mechanism_raw,double network,controlled_rule,0.94
P0013,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"thermogalvanic hydrogel/gelatin breathable array with phytic acid, glycerol, water | through-hole breathable structure and hydrogen-bonded double network preserve ionic/electrical performance for facial-expression signals",domain_curated_rule,0.97
P0013,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,"thermogalvanic hydrogel/gelatin breathable array with phytic acid, glycerol, water | through-hole breathable structure and hydrogen-bonded double network preserve ionic/electrical performance for facial-expression signals",domain_curated_rule,0.97
P0013,CDAC0413DCA,gelatin-based polymer family,material_entity,biopolymer family,material_raw,gelatin,controlled_rule+prediction_family_collapse,0.94
P0014,C00598208B6,ionic seebeck,property_metric,property/metric,abstract/material/mechanism,ionic seebeck,cleaned_open_concept,0.78
P0014,C0783369D77,PEDOT family,material_entity,conducting polymer family,material_raw,PEDOT:PSS,controlled_rule+prediction_family_collapse,0.94
P0014,C0836ADF81A,thermodiffusion-assisted n-type thermogalvanic cell,transport_mechanism,transport mechanism,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0014,C106397924D,p/n thermogalvanic series design,device_function,device function,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0014,C25D09DDC57,Fe2+/Fe3+ solvation redox chemistry,redox_chemistry,redox mechanism,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0014,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0014,C6CDB23F33C,seebeck coefficient,property_metric,property/metric,abstract/material/mechanism,seebeck coefficient,cleaned_open_concept,0.78
P0014,C6F0F083FB1,maximum power density,property_metric,property/metric,abstract/material/mechanism,maximum power density,cleaned_open_concept,0.78
P0014,C708AECFA88,output power density,property_metric,property/metric,abstract/material/mechanism,output power density,cleaned_open_concept,0.78
P0014,C7507F5D319,ClO4,material_entity,chemical formula,material_raw,ClO4,chemical_formula_parser,0.9
P0014,C8F254FA6F8,Seebeck coefficient/thermopower,property_metric,thermoelectric metric,abstract,thermopower,controlled_rule,0.94
P0014,CBC536166F4,ionic conductivity,property_metric,transport property,mechanism_raw,ionic conductivity,controlled_rule,0.94
P0014,CBFAB31D6E6,electrostatic interaction,solvation_entropy,intermolecular interaction,abstract/material/mechanism,electrostatic interactions,cleaned_open_concept,0.78
P0014,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0014,CC44C08236F,ionic seebeck coefficient,property_metric,property/metric,abstract/material/mechanism,ionic seebeck coefficient,cleaned_open_concept,0.78
P0014,CD6888A448B,enhancing thermodiffusion,transport_mechanism,transport mechanism,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0014,CE482465EFA,low thermopower,property_metric,property/metric,abstract/material/mechanism,low thermopower,cleaned_open_concept,0.78
P0014,CF191C40166,normalized maximum power density,property_metric,property/metric,abstract/material/mechanism,normalized maximum power density,cleaned_open_concept,0.78
P0014,CF8594C4108,power density,property_metric,device metric,abstract,power density,controlled_rule,0.94
P0014,CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,material+mechanism+abstract,"PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex | PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",domain_curated_rule,0.97
P0015,C2C6E45217A,high thermopower,property_metric,property/metric,abstract/material/mechanism,high thermopower,cleaned_open_concept,0.78
P0015,C4A92E5F4FE,hydrogel,material_system,soft material platform,title,Hydrogel,controlled_rule,0.94
P0015,C53EB040220,high specific output power density,property_metric,property/metric,abstract/material/mechanism,high specific output power density,cleaned_open_concept,0.78
P0015,C61EE27FD08,specific output power density,property_metric,property/metric,abstract/material/mechanism,specific output power density,cleaned_open_concept,0.78
P0015,C708AECFA88,output power density,property_metric,property/metric,abstract/material/mechanism,output power density,cleaned_open_concept,0.78
P0015,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,"stretchable PVA thermogalvanic thermocell | stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower",domain_curated_rule,0.97
P0015,C7B823B5BB0,poly(vinyl alcohol) (PVA),material_entity,polymer,material_raw,PVA,controlled_rule,0.94
P0015,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"stretchable PVA thermogalvanic thermocell | stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower",domain_curated_rule,0.97
P0015,C8F254FA6F8,Seebeck coefficient/thermopower,property_metric,thermoelectric metric,mechanism_raw,thermopower,controlled_rule,0.94
P0015,CBA7A0F0CA3,thermogalvanic redox conversion,device_mechanism,thermoelectrochemical conversion,mechanism_raw,thermogalvanic redox,controlled_rule,0.94
P0015,CF8594C4108,power density,property_metric,device metric,abstract,power density,controlled_rule,0.94
P0016,C2A8A04727D,guanidinium chloride (GdmCl),material_entity,functional additive,material_raw,guanidinium,controlled_rule,0.94
P0016,C2C6E45217A,high thermopower,property_metric,property/metric,abstract/material/mechanism,high thermopower,cleaned_open_concept,0.78
P0016,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0016,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr | porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals",domain_curated_rule,0.97
P0016,C8F254FA6F8,Seebeck coefficient/thermopower,property_metric,thermoelectric metric,abstract,thermopower,controlled_rule,0.94
P0016,CA6C42A1D77,ferri/ferrocyanide family,material_entity,redox couple family,material_raw,[Fe(CN)6]3-/,controlled_rule+prediction_family_collapse,0.94
P0016,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr | porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals",domain_curated_rule,0.97
P0016,CCAABE058E7,ferri/ferrocyanide redox chemistry,redox_chemistry,redox mechanism,abstract," material identification. In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the ",manual_abstract_adjudication,0.92
P0016,CDAD3B4D79F,machine learning,computational_method,data-driven method,abstract,machine learning,controlled_rule,0.94
P0016,CEA29EF1A99,thermal-gradient heat-transfer control,device_mechanism,thermal management,mechanism_raw,heat transfer,controlled_rule,0.94
P0016,CFAFB569EDB,lithium bromide (LiBr),material_entity,salt,material_raw,LiBr,controlled_rule,0.94
P0017,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions | nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,domain_curated_rule,0.97
P0017,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,mechanism_raw,hydrogen bonding,controlled_rule,0.94
P0017,C25D09DDC57,Fe2+/Fe3+ solvation redox chemistry,redox_chemistry,redox mechanism,material+mechanism+abstract,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions | nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,domain_curated_rule,0.97
P0017,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0017,C7932B1CE8C,chaotropic polymer-water disruption,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions | nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,domain_curated_rule,0.97
P0017,C7B823B5BB0,poly(vinyl alcohol) (PVA),material_entity,polymer,material_raw,PVA,controlled_rule,0.94
P0017,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions | nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,domain_curated_rule,0.97
