pair_id,iTE_claim,TG_claim,iTE_paper,TG_paper,score,endpoint_similarity,relation_lexical_similarity
X24c07135c56f,iTE:P0717:r002,TG:P0329:r002,P0717,P0329,0.7103826403617859,0.8469146490097046,0.3918078541755676
X7103c274ff85,iTE:P0548:r006,TG:P0005:r001,P0548,P0005,0.7100472450256348,0.8737022876739502,0.32818546891212463
X0d214f612dad,iTE:P0924:r003,TG:P0328:r001,P0924,P0328,0.7100247144699097,0.8973612785339355,0.272906094789505
X9a9266b2b009,iTE:P1562:r008,TG:P0320:r008,P1562,P0320,0.7079975605010986,0.8613526821136475,0.35016894340515137
X36d7143971a7,iTE:P1780:r006,TG:P0166:r008,P1780,P0166,0.7078651785850525,0.8943631649017334,0.2727031111717224
X747cbf15391b,iTE:P0919:r003,TG:P0039:r006,P0919,P0039,0.7072265148162842,0.9199436902999878,0.21088635921478271
Xa481e9e461ca,iTE:P1780:r008,TG:P0166:r008,P1780,P0166,0.7067810893058777,0.8893815875053406,0.28071320056915283
X44e83e75c7ba,iTE:P0349:r002,TG:P0166:r004,P0349,P0166,0.7048648595809937,0.8666356205940247,0.3273998498916626
X5fd4e7d0664f,iTE:P1780:r007,TG:P0166:r006,P1780,P0166,0.7047021985054016,0.8945038318634033,0.26183173060417175
Xf7be59d5882e,iTE:P1614:r007,TG:P0156:r003,P1614,P0156,0.7046533226966858,0.8642865419387817,0.3321758806705475
X882b19338db4,iTE:P1007:r009,TG:P0112:r003,P1007,P0112,0.7042567729949951,0.8754146695137024,0.30488821864128113
X5b2c78a70b04,iTE:P1003:r003,TG:P0031:r004,P1003,P0031,0.7040630578994751,0.8603826761245728,0.33931729197502136
Xeb45405cae75,iTE:P1903:r003,TG:P0013:r002,P1903,P0013,0.7028619647026062,0.868628203868866,0.316074013710022
X1a7e955f99e2,iTE:P1003:r002,TG:P0031:r003,P1003,P0031,0.7026797533035278,0.8619630932807922,0.3310185968875885
Xef37d5b6f54c,iTE:P0381:r002,TG:P0043:r001,P0381,P0043,0.7024098038673401,0.8885300159454346,0.26812928915023804
X74d6c10ebfbe,iTE:P0407:r005,TG:P0013:r002,P0407,P0013,0.7024025917053223,0.8837329745292664,0.27929845452308655
Xe639ac17bd00,iTE:P1780:r006,TG:P0166:r006,P1780,P0166,0.701529860496521,0.8923105001449585,0.2563750445842743
X7715524f98eb,iTE:P1007:r009,TG:P0112:r002,P1007,P0112,0.7000820636749268,0.8608179092407227,0.32503175735473633
X2d991e9b0835,iTE:P0381:r003,TG:P0043:r001,P0381,P0043,0.6998122930526733,0.9006479978561401,0.2311955690383911
X34a1ad7ea481,iTE:P1003:r002,TG:P0031:r004,P1003,P0031,0.6996098160743713,0.8500224351882935,0.34864696860313416
X3f5c0e35d126,iTE:P1780:r008,TG:P0166:r006,P1780,P0166,0.6993687748908997,0.8859959244728088,0.26390549540519714
X4f541417a32d,iTE:P0924:r003,TG:P0056:r008,P0924,P0056,0.6988344788551331,0.8715519905090332,0.29582691192626953
X8daf2f991395,iTE:P0528:r007,TG:P0085:r009,P0528,P0085,0.6987453103065491,0.8634319305419922,0.31447654962539673
X551eebe14ad6,iTE:P0349:r002,TG:P0066:r003,P0349,P0066,0.6987201571464539,0.8671793937683105,0.3056485950946808
Xaae134bcab67,iTE:P0555:r006,TG:P0084:r009,P0555,P0084,0.6977192759513855,0.8838487863540649,0.26341721415519714
Xcdb49754b082,iTE:P1614:r007,TG:P0043:r002,P1614,P0043,0.6977024078369141,0.8558617830276489,0.32866406440734863
Xd7da816d0e0a,iTE:P0555:r001,TG:P0008:r004,P0555,P0008,0.6976618766784668,0.9144812822341919,0.19174997508525848
X5313690169cb,iTE:P1263:r005,TG:P0072:r008,P1263,P0072,0.6973754167556763,0.8585784435272217,0.3212350308895111
X556cced59235,iTE:P0380:r006,TG:P0005:r001,P0380,P0005,0.696377158164978,0.8451797962188721,0.349170982837677
Xbdc4422e2001,iTE:P0434:r006,TG:P0043:r002,P0434,P0043,0.6950634717941284,0.9081231355667114,0.1979244351387024
X4344a3471637,iTE:P0616:r003,TG:P0004:r003,P0616,P0004,0.6946879625320435,0.9234676361083984,0.16086873412132263
X968110839bec,iTE:P0496:r008,TG:P0084:r009,P0496,P0084,0.6936786770820618,0.8711028099060059,0.2796889841556549
X8d8581880cce,iTE:P0434:r005,TG:P0043:r002,P0434,P0043,0.6934604048728943,0.907221794128418,0.19468387961387634
Xcc69381c9ff8,iTE:P0359:r004,TG:P0161:r002,P0359,P0161,0.6929369568824768,0.9256147146224976,0.1500222235918045
X4d3447eab8e9,iTE:P0434:r006,TG:P0331:r004,P0434,P0331,0.6927734017372131,0.8433985710144043,0.3413145840167999
Xfebb4ee5ec30,iTE:P0496:r003,TG:P0008:r004,P0496,P0008,0.6927585601806641,0.8703768849372864,0.2783156931400299
X3e2f85d9758b,iTE:P0368:r001,TG:P0178:r004,P0368,P0178,0.6926484107971191,0.8548253178596497,0.3142355978488922
X001660a9fa53,iTE:P0437:r001,TG:P0051:r001,P0437,P0051,0.6917778253555298,0.8871537446975708,0.2359006106853485
Xb192dfffa7dc,iTE:P0440:r004,TG:P0112:r003,P0440,P0112,0.6910402178764343,0.8582762479782104,0.3008228838443756
X8ccefe4702ba,iTE:P1670:r001,TG:P0187:r003,P1670,P0187,0.6909167170524597,0.8522714376449585,0.31442251801490784
X3cece8088499,iTE:P1903:r001,TG:P0013:r002,P1903,P0013,0.690888524055481,0.8840669393539429,0.24013899266719818
Xbdb07967370a,iTE:P1214:r008,TG:P0053:r009,P1214,P0053,0.6900822520256042,0.7919658422470093,0.45235398411750793
X8a533a7f7aa4,iTE:P1372:r007,TG:P0013:r004,P1372,P0013,0.6900218725204468,0.8847818374633789,0.2355819046497345
X05b536c32ac8,iTE:P0587:r009,TG:P0200:r004,P0587,P0200,0.6899598836898804,0.8682892322540283,0.27385804057121277
X5de40caa0998,iTE:P1614:r006,TG:P0156:r003,P1614,P0156,0.6892510652542114,0.8521171808242798,0.3092299997806549
Xdf48d98884ca,iTE:P1614:r007,TG:P0173:r003,P1614,P0173,0.6887063384056091,0.8858144283294678,0.22878746688365936
X5ec139050dc5,iTE:P1122:r004,TG:P0167:r002,P1122,P0167,0.688628077507019,0.8606770038604736,0.28718045353889465
X471f95927207,iTE:P1003:r003,TG:P0043:r002,P1003,P0043,0.688316285610199,0.8696063160896301,0.26530614495277405
Xa01d0016b1a7,iTE:P1003:r002,TG:P0039:r004,P1003,P0039,0.6882902383804321,0.8685986995697021,0.26757049560546875
X51aa98470cf4,iTE:P0580:r009,TG:P0005:r001,P0580,P0005,0.6882243156433105,0.9229953289031982,0.14042527973651886
X1eb076742af2,iTE:P0488:r005,TG:P0094:r009,P0488,P0094,0.6877052187919617,0.8248915076255798,0.3676038086414337
X45e87a60e1d2,iTE:P0401:r006,TG:P0016:r005,P0401,P0016,0.6876807808876038,0.8774479627609253,0.24489060044288635
Xb9d6df282e6e,iTE:P0435:r010,TG:P0218:r005,P0435,P0218,0.6870119571685791,0.8792843818664551,0.23837615549564362
X0681bc665069,iTE:P1614:r007,TG:P0016:r003,P1614,P0016,0.6868765950202942,0.8257412910461426,0.36285901069641113
X554af2665aae,iTE:P0931:r001,TG:P0320:r008,P0931,P0320,0.686294436454773,0.8720681667327881,0.2528223693370819
Xa6ca8c6ebdf3,iTE:P0434:r001,TG:P0271:r007,P0434,P0271,0.6860886812210083,0.8640954494476318,0.27073952555656433
X3ac64f0f9946,iTE:P0510:r004,TG:P0043:r001,P0510,P0043,0.6856129169464111,0.8479948043823242,0.30672186613082886
X9c7fbf63b9d1,iTE:P0651:r004,TG:P0288:r001,P0651,P0288,0.6854977011680603,0.9142311811447144,0.15178626775741577
X2085a8660d47,iTE:P0568:r003,TG:P0016:r005,P0568,P0016,0.6852545142173767,0.8980327844619751,0.1887717843055725
X260fe5142ba8,iTE:P1444:r010,TG:P0178:r007,P1444,P0178,0.6850228309631348,0.8695665597915649,0.2544208765029907
X3e1ce932e2eb,iTE:P0575:r002,TG:P0306:r009,P0575,P0306,0.6850162744522095,0.8501588106155396,0.2996838390827179
X821325924622,iTE:P1614:r007,TG:P0331:r004,P1614,P0331,0.6849968433380127,0.8432024717330933,0.31585025787353516
X6ecc39eceb10,iTE:P0650:r006,TG:P0005:r001,P0650,P0005,0.6848224401473999,0.9010392427444458,0.1803164929151535
X66ce300299eb,iTE:P0924:r003,TG:P0289:r002,P0924,P0289,0.6845659017562866,0.8855910301208496,0.21550728380680084
X307cb3d7c6ad,iTE:P0520:r003,TG:P0199:r006,P0520,P0199,0.6843957901000977,0.8434715867042542,0.3132189214229584
X250fd37e8e0e,iTE:P1670:r001,TG:P0187:r001,P1670,P0187,0.6842748522758484,0.8340874910354614,0.3347119987010956
X701277ac2ea2,iTE:P1003:r002,TG:P0331:r004,P1003,P0331,0.6836678385734558,0.8353667855262756,0.3297036290168762
X028ad2e723ec,iTE:P1263:r003,TG:P0270:r005,P1263,P0270,0.6834137439727783,0.8639999628067017,0.2620459496974945
X8fc38fe22b64,iTE:P0435:r010,TG:P0099:r003,P0435,P0099,0.6832701563835144,0.8712971806526184,0.24454030394554138
X58789b026d44,iTE:P0408:r007,TG:P0014:r005,P0408,P0014,0.683113157749176,0.8827553987503052,0.21728137135505676
X7409925b6ec1,iTE:P0555:r007,TG:P0271:r007,P0555,P0271,0.6828321218490601,0.9040758609771729,0.16659680008888245
Xb164fb11b4e1,iTE:P1549:r001,TG:P0223:r004,P1549,P0223,0.6827922463417053,0.8401293158531189,0.3156723082065582
X567e2965beaf,iTE:P1512:r013,TG:P0085:r009,P1512,P0085,0.6827074289321899,0.8757616281509399,0.23224778473377228
X2f878a2022bf,iTE:P0430:r005,TG:P0166:r008,P0430,P0166,0.6821784377098083,0.8850787281990051,0.20874439179897308
X9d4d0f5c4976,iTE:P0685:r003,TG:P0030:r001,P0685,P0030,0.6821006536483765,0.7615677714347839,0.496677428483963
Xa0425884e669,iTE:P0374:r003,TG:P0031:r007,P0374,P0031,0.6818392276763916,0.8635015487670898,0.2579604983329773
X2753295b72d0,iTE:P0575:r002,TG:P0306:r004,P0575,P0306,0.6818375587463379,0.8607121706008911,0.26446330547332764
X4daeb0cb8327,iTE:P0335:r003,TG:P0081:r006,P0335,P0081,0.6816633939743042,0.902198076248169,0.1670825034379959
X6222d3f8789a,iTE:P0349:r002,TG:P0061:r003,P0349,P0061,0.6815416812896729,0.8557566404342651,0.27504000067710876
Xf463b91fd6e9,iTE:P1670:r002,TG:P0187:r003,P1670,P0187,0.6810210943222046,0.8634978532791138,0.2552420496940613
Xff2c6dc09dd6,iTE:P0437:r001,TG:P0008:r004,P0437,P0008,0.6807882785797119,0.8826707005500793,0.20972920954227448
X2e39b02740db,iTE:P0355:r005,TG:P0013:r002,P0355,P0013,0.6802347898483276,0.8723928928375244,0.2318658083677292
X366c4558ec2f,iTE:P0772:r019,TG:P0039:r001,P0772,P0039,0.6799052953720093,0.8475466966629028,0.2887418866157532
X70897035f111,iTE:P0558:r001,TG:P0147:r001,P0558,P0147,0.6798039078712463,0.8558815121650696,0.2689562737941742
Xa76a7087cf2d,iTE:P1003:r003,TG:P0331:r004,P1003,P0331,0.6797869205474854,0.8336038589477539,0.3208808898925781
X80bfa6d021f2,iTE:P0924:r003,TG:P0181:r004,P0924,P0181,0.6795117855072021,0.8359118700027466,0.31457817554473877
Xefe69f572f9b,iTE:P1792:r005,TG:P0302:r005,P1792,P0302,0.679333508014679,0.8505908846855164,0.27973300218582153
Xfe5dde27e158,iTE:P1003:r003,TG:P0156:r003,P1003,P0156,0.6789812445640564,0.8803786039352417,0.20905420184135437
X5aeac352b688,iTE:P0438:r002,TG:P0112:r003,P0438,P0112,0.6787720918655396,0.8547616004943848,0.26812997460365295
X0d36e1ae7fb3,iTE:P0616:r001,TG:P0014:r004,P0616,P0014,0.6786172986030579,0.8237941861152649,0.33987125754356384
X916cd5b5e72d,iTE:P1903:r003,TG:P0013:r004,P1903,P0013,0.6786163449287415,0.8722376823425293,0.22683313488960266
Xfedbdb4f952a,iTE:P1003:r003,TG:P0031:r003,P1003,P0031,0.6784243583679199,0.8418035507202148,0.29720622301101685
X196dfe0a3f17,iTE:P0644:r011,TG:P0005:r001,P0644,P0005,0.6783851385116577,0.8685010671615601,0.2347813993692398
X26247e35b27a,iTE:P1188:r006,TG:P0300:r004,P1188,P0300,0.6782878637313843,0.8320235013961792,0.3195713758468628
X9afdc5c6f88f,iTE:P0445:r004,TG:P0271:r007,P0445,P0271,0.6780005097389221,0.9095925092697144,0.13761916756629944
X3a964d6ce273,iTE:P0356:r011,TG:P0085:r009,P0356,P0085,0.6776677966117859,0.8801330327987671,0.20524892210960388
X560031fd3686,iTE:P1512:r013,TG:P0299:r009,P1512,P0299,0.6775643825531006,0.8444401621818542,0.2881876528263092
X7ba6082d5a06,iTE:P1263:r004,TG:P0270:r003,P1263,P0270,0.6774486303329468,0.8474761247634888,0.28071776032447815
X7824262a96d9,iTE:P1122:r004,TG:P0285:r007,P1122,P0285,0.6772990226745605,0.8605152368545532,0.24979443848133087
X3e92cebdfacc,iTE:P0439:r002,TG:P0272:r001,P0439,P0272,0.6772955060005188,0.8726813793182373,0.22139516472816467
X700a4b637dee,iTE:P1547:r002,TG:P0039:r006,P1547,P0039,0.677243173122406,0.897529125213623,0.16324269771575928
Xc42a140e2c76,iTE:P1813:r011,TG:P0289:r004,P1813,P0289,0.677067756652832,0.839449405670166,0.2981773018836975
X2c20c0f57daa,iTE:P0523:r007,TG:P0085:r009,P0523,P0085,0.6770371198654175,0.8840044736862183,0.19411329925060272
X8ae476a5517b,iTE:P1520:r006,TG:P0054:r003,P1520,P0054,0.6770366430282593,0.8422241806983948,0.29159900546073914
X2c4742ef1322,iTE:P0430:r004,TG:P0166:r008,P0430,P0166,0.6769621968269348,0.8745359182357788,0.2159568965435028
X64d82e8ee571,iTE:P0542:r005,TG:P0271:r007,P0542,P0271,0.6769189834594727,0.89504075050354,0.16796831786632538
Xa3ae3bd9a664,iTE:P0924:r003,TG:P0255:r005,P0924,P0255,0.6769020557403564,0.8705043792724609,0.22516337037086487
X68254bc0da00,iTE:P1780:r011,TG:P0004:r003,P1780,P0004,0.6768960356712341,0.9099204540252686,0.133172407746315
X8b48ec43a873,iTE:P0924:r002,TG:P0178:r003,P0924,P0178,0.6768769025802612,0.8505138158798218,0.27172407507896423
Xfee071bf225c,iTE:P0545:r001,TG:P0085:r009,P0545,P0085,0.6768236756324768,0.8604061007499695,0.24846471846103668
X934a9b2b3403,iTE:P0374:r003,TG:P0039:r006,P0374,P0039,0.6766232252120972,0.9037818908691406,0.1465863734483719
X9842a85c9350,iTE:P0399:r001,TG:P0271:r007,P0399,P0271,0.6766114234924316,0.8867117166519165,0.18637734651565552
X63df02b6ae61,iTE:P1404:r006,TG:P0271:r007,P1404,P0271,0.6766112446784973,0.8873002529144287,0.1850036382675171
X6d4f966cfc63,iTE:P1562:r008,TG:P0320:r011,P1562,P0320,0.67624831199646,0.8439098596572876,0.28503814339637756
X704b84b447cd,iTE:P0518:r011,TG:P0013:r004,P0518,P0013,0.6761618256568909,0.908431887626648,0.13419853150844574
X513cac42c336,iTE:P0396:r001,TG:P0107:audit_v1_a003,P0396,P0107,0.6761017441749573,0.8204898834228516,0.33919602632522583
X6d14857e544e,iTE:P0677:r001,TG:P0013:r002,P0677,P0013,0.676063060760498,0.886768639087677,0.18441681563854218
Xde3e389505bf,iTE:P1122:r004,TG:P0285:r006,P1122,P0285,0.6760336756706238,0.8590586185455322,0.24897553026676178
X0b3141d55aed,iTE:P0368:r007,TG:P0016:r005,P0368,P0016,0.6760165095329285,0.8801976442337036,0.19959396123886108
X2d6545e876af,iTE:P0851:r001,TG:P0271:r007,P0851,P0271,0.6759930849075317,0.887466549873352,0.18255501985549927
Xe610793afc3a,iTE:P0616:r003,TG:P0084:r009,P0616,P0084,0.6758735775947571,0.8774355053901672,0.20556242763996124
X51a86bd21b9e,iTE:P1614:r006,TG:P0173:r003,P1614,P0173,0.6757293939590454,0.8740490674972534,0.2129833996295929
Xd9ce04df1bd4,iTE:P1292:r008,TG:P0014:r001,P1292,P0014,0.675443708896637,0.8756101131439209,0.20838876068592072
X3b4eb9226910,iTE:P1003:r002,TG:P0252:r002,P1003,P0252,0.6749947667121887,0.8549187183380127,0.2551722526550293
X5ff5d8237fcf,iTE:P1003:r003,TG:P0252:r002,P1003,P0252,0.6749526858329773,0.8577850461006165,0.24834392964839935
Xd71c47ba6452,iTE:P0532:r007,TG:P0084:r008,P0532,P0084,0.6747120022773743,0.8670735359191895,0.22586849331855774
X913fd493ee44,iTE:P0685:r005,TG:P0283:r001,P0685,P0283,0.674627423286438,0.8638370037078857,0.23313847184181213
X1e6161ef4ab4,iTE:P0616:r003,TG:P0013:r004,P0616,P0013,0.6745768189430237,0.9033626317977905,0.1407431662082672
X41757f339391,iTE:P0451:r009,TG:P0271:r007,P0451,P0271,0.6745598316192627,0.8843841552734375,0.1849697381258011
X68f4fbc8f503,iTE:P0338:r004,TG:P0053:r003,P0338,P0053,0.674390435218811,0.8852041959762573,0.18249166011810303
Xd44df0fa131e,iTE:P0430:r003,TG:P0166:r008,P0430,P0166,0.6743240356445312,0.8700721263885498,0.21757853031158447
X8a0d90f080d6,iTE:P0434:r005,TG:P0331:r004,P0434,P0331,0.6743084788322449,0.8383607864379883,0.29151979088783264
Xbb58d6aa5dd0,iTE:P0496:r007,TG:P0084:r008,P0496,P0084,0.6742215156555176,0.8697720766067505,0.21793675422668457
Xe7c73ee05459,iTE:P1270:r006,TG:P0178:r004,P1270,P0178,0.6741617321968079,0.8519469499588013,0.25932973623275757
X629ca0ac2a8f,iTE:P0434:r006,TG:P0016:r003,P0434,P0016,0.6740326285362244,0.9001765251159668,0.1463635116815567
Xb94ebeae1ff2,iTE:P0451:r008,TG:P0004:r003,P0451,P0004,0.6738960146903992,0.8800951242446899,0.19276480376720428
X725f70159d27,iTE:P0453:r007,TG:P0316:r005,P0453,P0316,0.6735895872116089,0.8744593858718872,0.20489342510700226
X9175231b961a,iTE:P0495:r007,TG:P0310:r013,P0495,P0310,0.6735238432884216,0.8645695447921753,0.2277504950761795
X86919436bf99,iTE:P1104:r006,TG:P0005:r001,P1104,P0005,0.6734742522239685,0.8836520910263062,0.18305936455726624
X74b20ed71768,iTE:P0532:r007,TG:P0075:r005,P0532,P0075,0.6734011173248291,0.9122163653373718,0.11616545170545578
X7d384ece24ce,iTE:P1397:r014,TG:P0200:r003,P1397,P0200,0.6733076572418213,0.8146908283233643,0.3434135615825653
Xb8cf973e1379,iTE:P1263:r004,TG:P0173:r002,P1263,P0173,0.673162043094635,0.8837741613388062,0.18173374235630035
X379fcc55f9df,iTE:P0453:r007,TG:P0316:r002,P0453,P0316,0.6731129288673401,0.8805054426193237,0.18919701874256134
X9613fd5202d3,iTE:P0522:r002,TG:P0094:r009,P0522,P0094,0.6730972528457642,0.8580625653266907,0.2415115386247635
Xc15370f26ebe,iTE:P1549:r001,TG:P0192:r001,P1549,P0192,0.6730048656463623,0.8644561767578125,0.2262851893901825
X3f94a80695b8,iTE:P1715:r021,TG:P0178:r004,P1715,P0178,0.6728781461715698,0.8760467767715454,0.1988181322813034
Xd01b276fe480,iTE:P0359:r005,TG:P0161:r002,P0359,P0161,0.6728441119194031,0.9112505912780762,0.11656244099140167
Xc603adc059a2,iTE:P0924:r003,TG:P0154:r004,P0924,P0154,0.6726285219192505,0.8668434619903564,0.2194604128599167
X0464409b1482,iTE:P1549:r002,TG:P0331:r004,P1549,P0331,0.6725608110427856,0.8427375555038452,0.27548179030418396
Xe3961efbb2f8,iTE:P1083:r004,TG:P0229:r003,P1083,P0229,0.6721089482307434,0.8754041194915771,0.197753444314003
Xed5176d9fdec,iTE:P0430:r005,TG:P0166:r006,P0430,P0166,0.6720982789993286,0.8736211061477661,0.2018783688545227
X5aeef1d05e9b,iTE:P0831:r001,TG:P0240:r006,P0831,P0240,0.6720940470695496,0.8029375672340393,0.3667924702167511
X26315e4d5298,iTE:P0434:r005,TG:P0016:r003,P0434,P0016,0.6720524430274963,0.8983747959136963,0.1439671367406845
X10926b558e7f,iTE:P0622:r007,TG:P0310:r013,P0622,P0310,0.672048032283783,0.8928033709526062,0.15695232152938843
Xed2a3519768d,iTE:P1512:r013,TG:P0067:r005,P1512,P0067,0.6719701290130615,0.8642840385437012,0.2232375591993332
X3faa49d7a627,iTE:P0447:r001,TG:P0299:r009,P0447,P0299,0.6719589233398438,0.8442410230636597,0.26996737718582153
X72a3b28c2315,iTE:P1885:r001,TG:P0046:r003,P1885,P0046,0.6718554496765137,0.8567370176315308,0.24046510457992554
Xffea20cb6856,iTE:P0367:r001,TG:P0043:r001,P0367,P0043,0.671747088432312,0.8564807772636414,0.2407018095254898
X5dab3143b918,iTE:P0681:r009,TG:P0084:r009,P0681,P0084,0.6717034578323364,0.822700560092926,0.31937694549560547
Xd6b17a81a505,iTE:P0496:r007,TG:P0271:r007,P0496,P0271,0.6714109778404236,0.9029813408851624,0.13108016550540924
X03e807f1faf7,iTE:P0510:r008,TG:P0043:r001,P0510,P0043,0.6713169813156128,0.8463869094848633,0.2628205120563507
Xab720fafaa62,iTE:P1122:r005,TG:P0043:r002,P1122,P0043,0.6712703704833984,0.8611361980438232,0.22825011610984802
X7e20b585c0dc,iTE:P1372:r008,TG:P0271:r007,P1372,P0271,0.6711443662643433,0.8886224031448364,0.16369563341140747
Xb5f1d7a15608,iTE:P1614:r007,TG:P0173:r002,P1614,P0173,0.6710934042930603,0.8759243488311768,0.19315463304519653
Xa1a235b215db,iTE:P1096:r010,TG:P0299:r009,P1096,P0299,0.6709323525428772,0.8465731739997864,0.26110365986824036
X36f48cb885db,iTE:P0938:r007,TG:P0310:r013,P0938,P0310,0.6706987619400024,0.8527746200561523,0.24585503339767456
Xf74d3ac92dcc,iTE:P1188:r006,TG:P0135:r003,P1188,P0135,0.6706517338752747,0.8317185640335083,0.29482921957969666
X0173b38cf2ee,iTE:P1335:r006,TG:P0045:r004,P1335,P0045,0.6705231666564941,0.8896133899688721,0.15931275486946106
Xe3260cf67642,iTE:P0454:r007,TG:P0218:r001,P0454,P0218,0.6701784729957581,0.8463401794433594,0.2591346204280853
X94626dada80c,iTE:P0335:r006,TG:P0072:r007,P0335,P0072,0.6701595187187195,0.8633924722671509,0.2192826271057129
X2854ab37d9fa,iTE:P0625:r001,TG:P0299:r001,P0625,P0299,0.6701535582542419,0.9213269948959351,0.0840822160243988
X40312c44fee5,iTE:P1568:r014,TG:P0299:r009,P1568,P0299,0.6698744297027588,0.8481287360191345,0.2539477050304413
X3af0e59dc362,iTE:P0841:r002,TG:P0040:r002,P0841,P0040,0.6695301532745361,0.8815352916717529,0.1748517006635666
X7990ced1f843,iTE:P1263:r004,TG:P0270:r005,P1263,P0270,0.6695268154144287,0.86208575963974,0.22022272646427155
X380ef85d8089,iTE:P0359:r004,TG:P0199:r006,P0359,P0199,0.6695265173912048,0.8779059648513794,0.18330787122249603
X7a4c78256942,iTE:P0702:r003,TG:P0244:r005,P0702,P0244,0.6694228649139404,0.802031934261322,0.3600017726421356
X61552d00450d,iTE:P0702:r003,TG:P0244:r006,P0702,P0244,0.6693061590194702,0.796556830406189,0.37238797545433044
X52bfaf71101d,iTE:P0569:r005,TG:P0271:r007,P0569,P0271,0.6692581176757812,0.8733415007591248,0.19306370615959167
X1fa8dbfeba1a,iTE:P0714:r008,TG:P0132:r004,P0714,P0132,0.6690852046012878,0.8573092222213745,0.2298959493637085
Xef036f9f3ede,iTE:P1549:r001,TG:P0192:r002,P1549,P0192,0.6690706610679626,0.8667649030685425,0.2077842503786087
X5462c8e31cf4,iTE:P0580:r009,TG:P0271:r007,P0580,P0271,0.6690351963043213,0.8594073057174683,0.2248336523771286
Xae7a05f491b1,iTE:P0368:r008,TG:P0084:r009,P0368,P0084,0.6690096855163574,0.8597282767295837,0.2239995300769806
Xeaec14d23dd9,iTE:P0379:r002,TG:P0043:r003,P0379,P0043,0.6689065098762512,0.9061155319213867,0.11541876196861267
Xb6e08ec080f5,iTE:P0702:r004,TG:P0244:r006,P0702,P0244,0.6688937544822693,0.7938783168792725,0.3772631287574768
Xa338101d4d8e,iTE:P0342:r009,TG:P0085:r009,P0342,P0085,0.6688660979270935,0.8601726293563843,0.2224843055009842
Xeeebcbe23a11,iTE:P1549:r002,TG:P0223:r004,P1549,P0223,0.6687427163124084,0.8409603834152222,0.266901433467865
X13df705f81d2,iTE:P1003:r002,TG:P0331:r002,P1003,P0331,0.668716311454773,0.8242858648300171,0.30572065711021423
