literal_group_id,domain,retrieval_key,mention_count,label_variant_count,paper_support,decision_status
iTE:literal:3d41c3b1ffc321,iTE,electron tunnelling,2,1,2,candidate_only_context_review_required
iTE:literal:92a039aec91299,iTE,electronic conductivity,3,1,3,candidate_only_context_review_required
iTE:literal:a6478684773cd8,iTE,electronic transport properties,2,1,2,candidate_only_context_review_required
iTE:literal:e1c22fbbd18daf,iTE,enhanced power factor,2,1,2,candidate_only_context_review_required
iTE:literal:15354d163b7f31,iTE,environmental stability,2,1,2,candidate_only_context_review_required
iTE:literal:3019071d610565,iTE,exchange current density,2,1,2,candidate_only_context_review_required
iTE:literal:fc79d7b4f42019,iTE,figure of merit,4,1,4,candidate_only_context_review_required
iTE:literal:bf43f670b1abf6,iTE,figure of merit (zt),5,1,5,candidate_only_context_review_required
iTE:literal:4285a13559322d,iTE,gap formation,2,1,2,candidate_only_context_review_required
iTE:literal:c59b7e2dbfc698,iTE,generate electricity,2,1,2,candidate_only_context_review_required
iTE:literal:5ecfa4e096c036,iTE,grain growth,2,1,2,candidate_only_context_review_required
iTE:literal:3ae9d09d6bf61d,iTE,half-metallic character,2,1,2,candidate_only_context_review_required
iTE:literal:b80a95691ac16a,iTE,high electrical conductivity,2,1,2,candidate_only_context_review_required
iTE:literal:4e5d829ff4908d,iTE,high figure of merit,2,1,2,candidate_only_context_review_required
iTE:literal:c22d8498b40496,iTE,high thermopower,2,1,2,candidate_only_context_review_required
iTE:literal:607b5121a5f957,iTE,hole concentration,2,1,2,candidate_only_context_review_required
iTE:literal:572870e1ca0fb2,iTE,hybridization,2,1,2,candidate_only_context_review_required
iTE:literal:a547861c6a8b6b,iTE,hydrogen bonding,2,1,2,candidate_only_context_review_required
iTE:literal:e871776f45f180,iTE,incorporation of mxene,2,1,2,candidate_only_context_review_required
iTE:literal:03a741392d3ac6,iTE,ion diffusion coefficient,2,1,2,candidate_only_context_review_required
iTE:literal:8c1f09c9412f4d,iTE,ion exchange,2,1,2,candidate_only_context_review_required
iTE:literal:5904825b626388,iTE,ion migration,2,1,2,candidate_only_context_review_required
iTE:literal:a5be0a35459723,iTE,ion selectivity,2,1,2,candidate_only_context_review_required
iTE:literal:ef3f7b1e7a4aa2,iTE,ion transport,3,1,3,candidate_only_context_review_required
iTE:literal:902e169d8e311f,iTE,ionic seebeck coefficient,9,1,9,candidate_only_context_review_required
iTE:literal:9c9aaf161ae533,iTE,ionic soret effect,2,1,2,candidate_only_context_review_required
iTE:literal:7d18619331d30d,iTE,ionic bonding,4,1,4,candidate_only_context_review_required
iTE:literal:bf43df37c8624b,iTE,ionic conduction,3,1,3,candidate_only_context_review_required
iTE:literal:f4ad3bfafd37c5,iTE,ionic conductivity,23,1,23,candidate_only_context_review_required
iTE:literal:5f860387f862f9,iTE,ionic diffusion,2,1,2,candidate_only_context_review_required
iTE:literal:0a6b3761d69594,iTE,ionic gating,2,1,2,candidate_only_context_review_required
iTE:literal:750caa9a3494c3,iTE,ionic heats of transport,2,1,2,candidate_only_context_review_required
iTE:literal:ebfb798aff9e0e,iTE,ionic liquid,2,1,2,candidate_only_context_review_required
iTE:literal:d0878cb46d50a5,iTE,ionic mobility,4,1,4,candidate_only_context_review_required
iTE:literal:98197a090f5b6f,iTE,ionic radii,2,1,2,candidate_only_context_review_required
iTE:literal:dc9a6a9dca5210,iTE,ionic radius of rare-earth elements,3,1,3,candidate_only_context_review_required
iTE:literal:80b1fc0098f080,iTE,ionic thermoelectric effect,2,1,2,candidate_only_context_review_required
iTE:literal:6ee4a76620e6c7,iTE,ionic thermopower,6,1,6,candidate_only_context_review_required
iTE:literal:d51185799645ca,iTE,large seebeck coefficient,2,1,2,candidate_only_context_review_required
iTE:literal:2d67839afe345f,iTE,lattice heat transport,2,1,2,candidate_only_context_review_required
iTE:literal:74970da416ac7e,iTE,lattice parameters,2,1,2,candidate_only_context_review_required
iTE:literal:a5ba1693ea4491,iTE,lattice thermal conductivity,23,1,23,candidate_only_context_review_required
iTE:literal:9db6151e676e1b,iTE,low electrical conductivity,2,1,2,candidate_only_context_review_required
iTE:literal:d009eb71dbbdf7,iTE,low lattice thermal conductivity,5,1,5,candidate_only_context_review_required
iTE:literal:a1da4e734503b9,iTE,low thermal conductivity,5,1,5,candidate_only_context_review_required
iTE:literal:743e594e08503d,iTE,lower effective mass,2,1,2,candidate_only_context_review_required
iTE:literal:39157f7c0edb7d,iTE,microstructure,2,1,2,candidate_only_context_review_required
iTE:literal:ac6381a8911d87,iTE,mixed ionic-covalent bonding,2,1,2,candidate_only_context_review_required
iTE:literal:351b9f12c3d63b,iTE,n-doping,3,1,3,candidate_only_context_review_required
iTE:literal:d1c71a82d02b07,iTE,n-type conduction,2,1,2,candidate_only_context_review_required
iTE:literal:614559f1a1c9a4,iTE,n-type conductivity,2,1,2,candidate_only_context_review_required
iTE:literal:df19e3c36ee4d1,iTE,narrowing of the bandwidth,2,1,2,candidate_only_context_review_required
iTE:literal:1573092f122373,iTE,negative seebeck coefficient,3,1,3,candidate_only_context_review_required
iTE:literal:49c6dc3cf74707,iTE,octahedral distortion,2,1,2,candidate_only_context_review_required
iTE:literal:4811c1dab58b4c,iTE,output power,2,1,2,candidate_only_context_review_required
iTE:literal:99cd8f86129b8e,iTE,output power density,2,1,2,candidate_only_context_review_required
iTE:literal:070b6b3684e9e7,iTE,output voltage,2,1,2,candidate_only_context_review_required
iTE:literal:b9fd8610e868b1,iTE,oxygen activity,2,1,2,candidate_only_context_review_required
iTE:literal:3ec5b30a7ec804,iTE,oxygen vacancies,2,1,2,candidate_only_context_review_required
iTE:literal:c55964e10bfa9d,iTE,p-n conversion,2,1,2,candidate_only_context_review_required
iTE:literal:25926237e16a88,iTE,p-type,2,1,2,candidate_only_context_review_required
iTE:literal:2126d1d4cd2b11,iTE,p-type conduction,2,1,2,candidate_only_context_review_required
iTE:literal:5486a8a56ef5b2,iTE,p-type semiconductors,2,1,2,candidate_only_context_review_required
iTE:literal:88b3e13a98900e,iTE,ph,2,1,2,candidate_only_context_review_required
iTE:literal:85f22d017601de,iTE,partly filled,2,1,2,candidate_only_context_review_required
iTE:literal:4a1898716ef677,iTE,performance,3,1,3,candidate_only_context_review_required
iTE:literal:78aa37bc33b608,iTE,phonon propagation,2,1,2,candidate_only_context_review_required
iTE:literal:da82a0ca08313b,iTE,phonon scattering,6,1,6,candidate_only_context_review_required
iTE:literal:d3bfe72e4b47ae,iTE,point-defect scattering,2,1,2,candidate_only_context_review_required
iTE:literal:69520710bf01e8,iTE,positive seebeck coefficient,2,1,2,candidate_only_context_review_required
iTE:literal:501774e7721289,iTE,power factor,13,1,13,candidate_only_context_review_required
iTE:literal:c29d2218d7d77c,iTE,radiative cooling,2,1,2,candidate_only_context_review_required
iTE:literal:59ee489044b109,iTE,reducing atmospheres,2,1,2,candidate_only_context_review_required
iTE:literal:e2e74ab0f2c355,iTE,reduction of thermal conductivity,2,1,2,candidate_only_context_review_required
iTE:literal:c4ee0b1e5b0429,iTE,resistivity,2,1,2,candidate_only_context_review_required
iTE:literal:92ae3a7243dcc8,iTE,self-healability,2,1,2,candidate_only_context_review_required
iTE:literal:08b7545a6f8366,iTE,specific capacitance,2,1,2,candidate_only_context_review_required
iTE:literal:008fbf7b8a0bdb,iTE,streaming potential,2,1,2,candidate_only_context_review_required
iTE:literal:94f4d28b214901,iTE,stretchability,3,1,3,candidate_only_context_review_required
iTE:literal:9f7cd77b6e2bc6,iTE,strong anharmonicity,2,1,2,candidate_only_context_review_required
iTE:literal:e1ecf6b84e327b,iTE,strong phonon anharmonicity,2,1,2,candidate_only_context_review_required
iTE:literal:baafe561465414,iTE,structural stability,2,1,2,candidate_only_context_review_required
iTE:literal:b49d419d1c8c1c,iTE,superionic conductivity,2,1,2,candidate_only_context_review_required
iTE:literal:b314ae60cb741e,iTE,temperature,6,1,6,candidate_only_context_review_required
iTE:literal:b77dfe17f18a08,iTE,temperature dependence of thermoelectric power,2,1,2,candidate_only_context_review_required
iTE:literal:7c3394f61a21e1,iTE,temperature difference,2,1,2,candidate_only_context_review_required
iTE:literal:ca1a5589ef95e8,iTE,temperature fluctuation,2,1,2,candidate_only_context_review_required
iTE:literal:1325e329928b11,iTE,temperature fluctuations,2,1,2,candidate_only_context_review_required
iTE:literal:40e173170fd21a,iTE,temperature gradient,2,1,2,candidate_only_context_review_required
iTE:literal:f022c75ef99553,iTE,thermal conduction,2,1,2,candidate_only_context_review_required
iTE:literal:2d9b177d4604c6,iTE,thermal conductivities,3,1,3,candidate_only_context_review_required
iTE:literal:527e149c85d24e,iTE,thermally generated voltage,2,1,2,candidate_only_context_review_required
iTE:literal:4f207cc6aca2b4,iTE,thermodiffusion,2,1,2,candidate_only_context_review_required
iTE:literal:ed500ead9db2dc,iTE,thermoelectric efficiency,3,1,3,candidate_only_context_review_required
iTE:literal:1cf67d3bf8c4f3,iTE,thermoelectric figure of merit,3,1,3,candidate_only_context_review_required
iTE:literal:c6d38e57557327,iTE,thermoelectric power,5,1,5,candidate_only_context_review_required
iTE:literal:d92448da5643fe,iTE,thermoelectric power factor,3,1,3,candidate_only_context_review_required
iTE:literal:50c6297b967ffb,iTE,thermoelectric properties,9,1,9,candidate_only_context_review_required
iTE:literal:b557051a72985e,iTE,thermoelectric property,2,1,2,candidate_only_context_review_required
iTE:literal:4b96feabbc52f6,iTE,thermoelectric response,3,1,3,candidate_only_context_review_required
iTE:literal:99a617967ad3af,iTE,thermoelectric transport properties,2,1,2,candidate_only_context_review_required
iTE:literal:69a60adb03910f,iTE,thermoelectric voltage,3,1,3,candidate_only_context_review_required
iTE:literal:e9deb554bfa6c9,iTE,total thermal conductivity,3,1,3,candidate_only_context_review_required
iTE:literal:acc66444e35aa9,iTE,transport mechanism,2,1,2,candidate_only_context_review_required
iTE:literal:6e230d6e1f866f,iTE,ultralow lattice thermal conductivity,4,1,4,candidate_only_context_review_required
iTE:literal:00a04267737c3a,iTE,ultralow thermal conductivity,3,1,3,candidate_only_context_review_required
iTE:literal:544d7eda1c3efb,iTE,viscosity,2,1,2,candidate_only_context_review_required
iTE:literal:6ee0916de758ed,iTE,zt values,2,1,2,candidate_only_context_review_required
TG:literal:4c29a5815644ec,TG,delta t,2,1,2,candidate_only_context_review_required
TG:literal:cd8fe087b4d436,TG,mass transport,2,2,2,candidate_only_context_review_required
TG:literal:d8a1fc176f4911,TG,natural convection,4,2,4,candidate_only_context_review_required
TG:literal:275abf1991ffd1,TG,rct,2,1,2,candidate_only_context_review_required
TG:literal:60b5f680405a7f,TG,rdif,2,1,2,candidate_only_context_review_required
TG:literal:571b0e35550136,TG,rs,2,1,2,candidate_only_context_review_required
TG:literal:84722d009d9fb7,TG,seebeck coefficient,19,1,19,candidate_only_context_review_required
TG:literal:2dab25a3270cb8,TG,seebeck coefficients,2,1,2,candidate_only_context_review_required
TG:literal:fe2b80d315da97,TG,seebeck effect,2,1,2,candidate_only_context_review_required
TG:literal:83799d7308fc95,TG,soret effect,2,1,2,candidate_only_context_review_required
TG:literal:4ae99f9560b451,TG,anti-freezing,2,1,2,candidate_only_context_review_required
TG:literal:66144d36b9c1d6,TG,concentration gradient,2,1,2,candidate_only_context_review_required
TG:literal:a3ff73758e290a,TG,continuous power output,2,1,2,candidate_only_context_review_required
TG:literal:4e1443539e142d,TG,conversion efficiency,2,1,2,candidate_only_context_review_required
TG:literal:25cf535032e514,TG,corrosion,2,1,2,candidate_only_context_review_required
TG:literal:97b0560280ed60,TG,current,2,1,2,candidate_only_context_review_required
TG:literal:b3b8ab66b02ea5,TG,efficiency,2,1,2,candidate_only_context_review_required
TG:literal:6124a674f6fa88,TG,electrical power,2,1,2,candidate_only_context_review_required
TG:literal:1c9eb916f49ed9,TG,electricity generation,2,1,2,candidate_only_context_review_required
TG:literal:9451f9d97d7cd4,TG,electroactive surface area,2,1,2,candidate_only_context_review_required
TG:literal:d4274184574503,TG,ethanol,2,1,2,candidate_only_context_review_required
TG:literal:7557da1a7f647f,TG,gelled electrolytes,2,1,2,candidate_only_context_review_required
TG:literal:351cb771f3d9dd,TG,heat flux,2,1,2,candidate_only_context_review_required
TG:literal:c79883d3f65393,TG,heat-to-electricity conversion,2,1,2,candidate_only_context_review_required
TG:literal:2cdcd7aaed4cb1,TG,ion diffusion,2,1,2,candidate_only_context_review_required
TG:literal:f4ad3bfafd37c5,TG,ionic conductivity,4,1,4,candidate_only_context_review_required
TG:literal:a1da4e734503b9,TG,low thermal conductivity,2,1,2,candidate_only_context_review_required
TG:literal:45192b9f3487e2,TG,ohmic overpotential,2,1,2,candidate_only_context_review_required
TG:literal:3435acf01e3fc5,TG,open-circuit voltage,2,1,2,candidate_only_context_review_required
TG:literal:4811c1dab58b4c,TG,output power,3,1,3,candidate_only_context_review_required
TG:literal:070b6b3684e9e7,TG,output voltage,3,1,3,candidate_only_context_review_required
TG:literal:4a1898716ef677,TG,performance,4,1,4,candidate_only_context_review_required
TG:literal:c01ccf23b5c860,TG,photothermal conversion,2,1,2,candidate_only_context_review_required
TG:literal:07d715edb696fb,TG,power,2,1,2,candidate_only_context_review_required
TG:literal:7b2c268e600f71,TG,power density,2,1,2,candidate_only_context_review_required
TG:literal:933a27575fdacf,TG,power output,2,1,2,candidate_only_context_review_required
TG:literal:e62adce6cbe4c7,TG,redox reactions,3,1,3,candidate_only_context_review_required
TG:literal:5c16250fd4bb69,TG,sensitivity,2,1,2,candidate_only_context_review_required
TG:literal:b314ae60cb741e,TG,temperature,2,1,2,candidate_only_context_review_required
TG:literal:fd6d1cc66e16df,TG,temperature coefficient,2,1,2,candidate_only_context_review_required
TG:literal:7c3394f61a21e1,TG,temperature difference,3,1,3,candidate_only_context_review_required
TG:literal:40e173170fd21a,TG,temperature gradient,4,1,4,candidate_only_context_review_required
TG:literal:825b01f83b9f82,TG,tensile strength,2,1,2,candidate_only_context_review_required
TG:literal:c278a24343d78f,TG,thermal conductivity,2,1,2,candidate_only_context_review_required
TG:literal:9522827c849eef,TG,thermal diffusion,2,1,2,candidate_only_context_review_required
TG:literal:4f207cc6aca2b4,TG,thermodiffusion,3,1,3,candidate_only_context_review_required
TG:literal:055861b7663c07,TG,thermoelectric performance,3,1,3,candidate_only_context_review_required
TG:literal:c6d38e57557327,TG,thermoelectric power,2,1,2,candidate_only_context_review_required
TG:literal:6713c4647786e5,TG,thermogalvanic and piezoresistive effects,2,1,2,candidate_only_context_review_required
TG:literal:87ccc8be0e0b76,TG,thermogalvanic currents,2,1,2,candidate_only_context_review_required
TG:literal:9b6038c8746fbb,TG,thermogalvanic effect,9,1,9,candidate_only_context_review_required
TG:literal:c63eb3b24487a0,TG,thermogalvanic effects,2,1,2,candidate_only_context_review_required
TG:literal:6191b5381aad91,TG,thermopower,14,1,14,candidate_only_context_review_required
TG:literal:5b7fd3ea49d649,TG,water retention,2,1,2,candidate_only_context_review_required
