retrieval_unit_id,mention_id,paper_id,domain
TG:retrieval:b70aac37882e7e,TG:P0110:n1,P0110,TG
TG:retrieval:8e577ea87dac79,TG:P0212:n3,P0212,TG
TG:retrieval:dc3618ed2aa6af,TG:P0263:n1,P0263,TG
TG:retrieval:37d4ced0523e61,TG:P0281:n1,P0281,TG
TG:retrieval:bae24c64c51bd4,TG:P0297:n1,P0297,TG
TG:retrieval:e45a2d9f0557ba,TG:P0254:n3,P0254,TG
TG:retrieval:e45a2d9f0557ba,TG:P0253:n4,P0253,TG
TG:retrieval:aa5dea7322131b,TG:P0254:n4,P0254,TG
TG:retrieval:aa5dea7322131b,TG:P0253:n2,P0253,TG
TG:retrieval:688c5a4a65af33,TG:P0254:n2,P0254,TG
TG:retrieval:688c5a4a65af33,TG:P0253:n3,P0253,TG
TG:retrieval:aa1e42413acd68,TG:P0285:n3,P0285,TG
TG:retrieval:18daa72026321e,TG:P0140:n1,P0140,TG
TG:retrieval:d4bf78aec09cbb,TG:P0068:n2,P0068,TG
TG:retrieval:2afc4d08546fdc,TG:P0202:n4,P0202,TG
TG:retrieval:ec43e0d8d8f38d,TG:P0231:n1,P0231,TG
TG:retrieval:e0f743553a7a96,TG:P0111:n1,P0111,TG
TG:retrieval:b204d9d0fede06,TG:P0278:n4,P0278,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0247:n3,P0247,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0080:n3,P0080,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0079:n1,P0079,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0225:n3,P0225,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0005:n2,P0005,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0027:n3,P0027,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0029:n3,P0029,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0063:n4,P0063,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0067:n4,P0067,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0085:n3,P0085,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0094:n3,P0094,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0099:n2,P0099,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0117:n3,P0117,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0206:n4,P0206,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0218:n2,P0218,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0223:n2,P0223,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0315:n2,P0315,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0248:n3,P0248,TG
TG:retrieval:09fd1f02ad5e1d,TG:P0270:n4,P0270,TG
TG:retrieval:8cc094c3ff3cd9,TG:P0216:n2,P0216,TG
TG:retrieval:df94dc73579c4f,TG:P0266:n2,P0266,TG
TG:retrieval:b99fead199ac03,TG:P0226:n3,P0226,TG
TG:retrieval:b99fead199ac03,TG:P0272:n2,P0272,TG
TG:retrieval:7ac8f452d7676d,TG:P0090:n3,P0090,TG
TG:retrieval:7ac8f452d7676d,TG:P0060:n2,P0060,TG
TG:retrieval:48911e34745779,TG:P0325:n2,P0325,TG
TG:retrieval:b31389b78a62bc,TG:P0222:n2,P0222,TG
TG:retrieval:c8464c42914f5c,TG:P0201:n4,P0201,TG
TG:retrieval:c8464c42914f5c,TG:P0060:n1,P0060,TG
TG:retrieval:e38167657578d2,TG:P0088:n1,P0088,TG
TG:retrieval:1e587890473a10,TG:P0140:n2,P0140,TG
TG:retrieval:13b3625c156d5b,TG:P0174:n2,P0174,TG
TG:retrieval:24b5a1137c654b,TG:P0152:n3,P0152,TG
TG:retrieval:92e928031d5e62,TG:P0001:n1,P0001,TG
TG:retrieval:c37f620e63bfa0,TG:P0298:n1,P0298,TG
TG:retrieval:d219f07a2fd780,TG:P0230:n1,P0230,TG
TG:retrieval:83439458749bd8,TG:P0118:n1,P0118,TG
TG:retrieval:0f9bdfc89ff537,TG:P0124:n1,P0124,TG
TG:retrieval:aa2896966334b4,TG:P0154:n1,P0154,TG
TG:retrieval:786dbbb9355f8c,TG:P0053:n1,P0053,TG
TG:retrieval:e0b4157d47c341,TG:P0084:n1,P0084,TG
TG:retrieval:38d95605391c19,TG:P0039:n2,P0039,TG
TG:retrieval:86cd99cf6dbea7,TG:P0043:n3,P0043,TG
TG:retrieval:64e3630c68d1ce,TG:P0105:n3,P0105,TG
TG:retrieval:a1b35ed0ed2ec7,TG:P0105:n4,P0105,TG
TG:retrieval:16628738fad5d7,TG:P0299:n3,P0299,TG
TG:retrieval:8fa3a9d03cd298,TG:P0183:n2,P0183,TG
TG:retrieval:3b6c9516301f0d,TG:P0214:n2,P0214,TG
TG:retrieval:6c5e94f1cf7565,TG:P0277:n3,P0277,TG
TG:retrieval:9506fbe7eb39c9,TG:P0069:n2,P0069,TG
TG:retrieval:6d54721d25291f,TG:P0165:n2,P0165,TG
TG:retrieval:71711e7cfb627c,TG:P0034:n5,P0034,TG
TG:retrieval:89e82c3feac17c,TG:P0316:n1,P0316,TG
TG:retrieval:ccd4401dc18574,TG:P0025:n6,P0025,TG
TG:retrieval:3b0484b5304e7b,TG:P0127:n3,P0127,TG
TG:retrieval:f37775a904fb2d,TG:P0012:n2,P0012,TG
TG:retrieval:e8be49e897ccaf,TG:P0074:n2,P0074,TG
TG:retrieval:25a501d72697de,TG:P0327:n1,P0327,TG
TG:retrieval:ecc4993a90f0df,TG:P0254:n1,P0254,TG
TG:retrieval:28e7fca23dee8b,TG:P0330:n1,P0330,TG
TG:retrieval:0b27a804ee7e37,TG:P0319:n1,P0319,TG
TG:retrieval:4a424136ab97c4,TG:P0031:n2,P0031,TG
TG:retrieval:f0a01691b93657,TG:P0276:n1,P0276,TG
TG:retrieval:9dab1aff8d47ae,TG:P0251:n2,P0251,TG
TG:retrieval:070489e417671c,TG:P0161:n1,P0161,TG
TG:retrieval:456712b569c430,TG:P0199:n1,P0199,TG
TG:retrieval:45e8f4651a4e48,TG:P0005:n5,P0005,TG
TG:retrieval:fbf604c3022ec2,TG:P0094:n2,P0094,TG
TG:retrieval:51ec1a0d080fc4,TG:P0171:n3,P0171,TG
TG:retrieval:44ae5087630a06,TG:P0221:n3,P0221,TG
TG:retrieval:8bfe006cd8d005,TG:P0253:n1,P0253,TG
TG:retrieval:273bc2996e4982,TG:P0176:n1,P0176,TG
TG:retrieval:afc038f16cb296,TG:P0268:n4,P0268,TG
TG:retrieval:46ebda14aa06f9,TG:P0176:n3,P0176,TG
TG:retrieval:dbe1ed3b660202,TG:P0071:n1,P0071,TG
TG:retrieval:e9d780163782ce,TG:P0048:n2,P0048,TG
TG:retrieval:4ae99f9560b451,TG:P0004:n2,P0004,TG
TG:retrieval:4ae99f9560b451,TG:P0054:n2,P0054,TG
TG:retrieval:07b7f57f9beff2,TG:P0048:n3,P0048,TG
TG:retrieval:364399bfb14312,TG:P0259:n2,P0259,TG
TG:retrieval:b948752cb3221e,TG:P0251:n1,P0251,TG
TG:retrieval:9ca52161c3162c,TG:P0119:n3,P0119,TG
TG:retrieval:0f7abdcda94d4a,TG:P0104:n2,P0104,TG
TG:retrieval:36db5d103d9319,TG:P0143:n1,P0143,TG
TG:retrieval:b85e32b136bba2,TG:P0246:n4,P0246,TG
TG:retrieval:d60f88a8b22df5,TG:P0278:n1,P0278,TG
TG:retrieval:848a7dbdfd01ad,TG:P0112:n2,P0112,TG
TG:retrieval:b8e1c822fc506b,TG:P0226:n1,P0226,TG
TG:retrieval:19a228690b06e0,TG:P0172:n2,P0172,TG
TG:retrieval:d4290baf7785b5,TG:P0264:n2,P0264,TG
TG:retrieval:096a45a032b0ec,TG:P0220:n2,P0220,TG
TG:retrieval:e2af118701e598,TG:P0228:n1,P0228,TG
TG:retrieval:3cf6d5b00931ed,TG:P0231:n3,P0231,TG
TG:retrieval:5bc519bb59096d,TG:P0165:n1,P0165,TG
TG:retrieval:ed2097e10a7b12,TG:P0207:n1,P0207,TG
TG:retrieval:87b520c6633790,TG:P0061:n1,P0061,TG
TG:retrieval:c990d1dcd08366,TG:P0066:n1,P0066,TG
TG:retrieval:260d46ee44d546,TG:P0185:n1,P0185,TG
TG:retrieval:f2612f5051c02e,TG:P0074:n3,P0074,TG
TG:retrieval:85c6573d45875b,TG:P0091:n2,P0091,TG
TG:retrieval:124c5d0b02eaf7,TG:P0268:n1,P0268,TG
TG:retrieval:37cf774ad8f8a2,TG:P0325:n1,P0325,TG
TG:retrieval:fe4d125bcbb773,TG:P0252:n1,P0252,TG
TG:retrieval:f8273f2614f506,TG:P0266:n1,P0266,TG
TG:retrieval:32a8ab8720d2de,TG:P0240:n1,P0240,TG
TG:retrieval:3242d31a35c136,TG:P0123:n2,P0123,TG
TG:retrieval:0a77fb0ceef3eb,TG:P0177:n3,P0177,TG
TG:retrieval:36cfa6933f67ad,TG:P0030:n2,P0030,TG
TG:retrieval:146c5c5a1330d6,TG:P0127:n4,P0127,TG
TG:retrieval:f33af28b6a45b8,TG:P0291:n3,P0291,TG
TG:retrieval:e29dca5d39339f,TG:P0050:n2,P0050,TG
TG:retrieval:d35afca1bbb254,TG:P0063:n2,P0063,TG
TG:retrieval:b264adde8ca5df,TG:P0005:n1,P0005,TG
TG:retrieval:efbb8863b3f76e,TG:P0036:n3,P0036,TG
TG:retrieval:b32230312a933e,TG:P0133:n1,P0133,TG
TG:retrieval:f208a0c58c400a,TG:P0100:n2,P0100,TG
TG:retrieval:5c64b170d58038,TG:P0161:n4,P0161,TG
TG:retrieval:2c5f9b0e89bd4e,TG:P0065:n2,P0065,TG
TG:retrieval:c12e2f272042aa,TG:P0184:n2,P0184,TG
TG:retrieval:36b3161dab7f0f,TG:P0304:n2,P0304,TG
TG:retrieval:a0193d1a7f31e8,TG:P0203:n1,P0203,TG
TG:retrieval:b27b2e44ad9175,TG:P0219:n3,P0219,TG
TG:retrieval:201130997a6dac,TG:P0104:n1,P0104,TG
TG:retrieval:943c72d1793fd0,TG:P0081:n3,P0081,TG
TG:retrieval:17a80fb26889b2,TG:P0010:n3,P0010,TG
TG:retrieval:10b98647369e7b,TG:P0193:n2,P0193,TG
TG:retrieval:7fbe871b45871d,TG:P0314:n1,P0314,TG
TG:retrieval:86391b1ecb69e2,TG:P0326:n1,P0326,TG
TG:retrieval:521028e56e2f46,TG:P0074:n1,P0074,TG
TG:retrieval:ff564eda08f85a,TG:P0100:n1,P0100,TG
TG:retrieval:cf2652167ff664,TG:P0036:n1,P0036,TG
TG:retrieval:2029bcbdf6ab7d,TG:P0137:n6,P0137,TG
TG:retrieval:d0c702265dada0,TG:P0331:n1,P0331,TG
TG:retrieval:f76f3a08b07f7d,TG:P0332:n1,P0332,TG
TG:retrieval:5d875887f9af01,TG:P0129:n3,P0129,TG
TG:retrieval:66144d36b9c1d6,TG:P0018:n2,P0018,TG
TG:retrieval:66144d36b9c1d6,TG:P0172:n4,P0172,TG
TG:retrieval:9339be66084b0a,TG:P0081:n4,P0081,TG
TG:retrieval:aba77aeae1e828,TG:P0283:n2,P0283,TG
TG:retrieval:525f9bbd18b8a0,TG:P0093:n3,P0093,TG
TG:retrieval:daac3d953b48b7,TG:P0209:n1,P0209,TG
TG:retrieval:0ac7a5175dec3a,TG:P0291:n1,P0291,TG
TG:retrieval:8b6b70c9a599b3,TG:P0227:n1,P0227,TG
TG:retrieval:fcde3f9997e9c3,TG:P0113:n1,P0113,TG
TG:retrieval:01516633e25b83,TG:P0223:n1,P0223,TG
TG:retrieval:9c3a9432a235db,TG:P0078:n5,P0078,TG
TG:retrieval:5c976936565b2d,TG:P0020:n2,P0020,TG
TG:retrieval:82549f9fe17369,TG:P0197:n2,P0197,TG
TG:retrieval:b3c7a4ddca6121,TG:P0045:n2,P0045,TG
TG:retrieval:84de5d1c199a65,TG:P0155:n1,P0155,TG
TG:retrieval:1dae5d83b88560,TG:P0072:n2,P0072,TG
TG:retrieval:4b33d1d8f5ffe1,TG:P0075:n2,P0075,TG
TG:retrieval:959438838ce9f2,TG:P0300:n1,P0300,TG
TG:retrieval:142a667fa51f88,TG:P0009:n2,P0009,TG
TG:retrieval:e81d055bb2adad,TG:P0267:n3,P0267,TG
TG:retrieval:d730196557f99d,TG:P0263:n2,P0263,TG
TG:retrieval:a3ff73758e290a,TG:P0170:n2,P0170,TG
TG:retrieval:a3ff73758e290a,TG:P0301:n2,P0301,TG
TG:retrieval:0b3e31d1602909,TG:P0106:n3,P0106,TG
TG:retrieval:543e94aac48242,TG:P0092:n1,P0092,TG
TG:retrieval:04499cafe3a005,TG:P0233:n2,P0233,TG
TG:retrieval:f4b58ca743c20e,TG:P0304:n1,P0304,TG
TG:retrieval:c293f43f5d8183,TG:P0253:n5,P0253,TG
TG:retrieval:da13e3887bbfc3,TG:P0302:n1,P0302,TG
TG:retrieval:4e1443539e142d,TG:P0302:n2,P0302,TG
TG:retrieval:4e1443539e142d,TG:P0303:n3,P0303,TG
TG:retrieval:8b57a9f2108f47,TG:P0203:n2,P0203,TG
TG:retrieval:e024883de305af,TG:P0163:n2,P0163,TG
TG:retrieval:6699bb8e59aad7,TG:P0101:n3,P0101,TG
TG:retrieval:de36bd2319df56,TG:P0142:n1,P0142,TG
TG:retrieval:4daa5921819a68,TG:P0193:n1,P0193,TG
TG:retrieval:be414d1974159b,TG:P0083:n1,P0083,TG
TG:retrieval:bb7e75524b48de,TG:P0167:n1,P0167,TG
TG:retrieval:4797f6de6f605b,TG:P0148:n4,P0148,TG
TG:retrieval:6670122157e1a8,TG:P0148:n2,P0148,TG
TG:retrieval:b062a13117d0a6,TG:P0267:n1,P0267,TG
TG:retrieval:ac04adadd1101b,TG:P0184:n1,P0184,TG
TG:retrieval:25cf535032e514,TG:P0326:n2,P0326,TG
TG:retrieval:25cf535032e514,TG:P0327:n2,P0327,TG
TG:retrieval:34d4da4fbad383,TG:P0323:n2,P0323,TG
TG:retrieval:1aa8b41b4be2f2,TG:P0124:n2,P0124,TG
TG:retrieval:333140a0d151ab,TG:P0156:n1,P0156,TG
TG:retrieval:f707d2bb5de8c8,TG:P0249:n4,P0249,TG
TG:retrieval:9bc9a341f9c00e,TG:P0180:n3,P0180,TG
TG:retrieval:ab130a8a284287,TG:P0318:n2,P0318,TG
TG:retrieval:d50071e927a2b6,TG:P0158:n2,P0158,TG
TG:retrieval:7af2f32ce76420,TG:P0318:n1,P0318,TG
TG:retrieval:dcb34b271703ff,TG:P0059:n2,P0059,TG
TG:retrieval:0204472e6107e6,TG:P0167:n2,P0167,TG
TG:retrieval:d1e1b2801f2a6e,TG:P0053:n3,P0053,TG
TG:retrieval:47844a93542210,TG:P0031:n3,P0031,TG
TG:retrieval:97b0560280ed60,TG:P0175:n3,P0175,TG
TG:retrieval:97b0560280ed60,TG:P0094:n5,P0094,TG
TG:retrieval:b5c57c27341834,TG:P0217:n2,P0217,TG
TG:retrieval:3faa3d62d14e0d,TG:P0103:n2,P0103,TG
TG:retrieval:0e24585027730f,TG:P0134:n4,P0134,TG
TG:retrieval:1f9afd542a944a,TG:P0011:n3,P0011,TG
TG:retrieval:3641b3dde07f68,TG:P0289:n3,P0289,TG
TG:retrieval:dcf198e150dc49,TG:P0129:n4,P0129,TG
TG:retrieval:d6e1ef70440757,TG:P0125:n2,P0125,TG
TG:retrieval:b40aca4c49d3a0,TG:P0040:n1,P0040,TG
TG:retrieval:0dd40f586d0a02,TG:P0096:n3,P0096,TG
TG:retrieval:559f8bdbda9320,TG:P0003:n2,P0003,TG
TG:retrieval:a34bd89628d349,TG:P0082:n1,P0082,TG
TG:retrieval:4d744fdafb014e,TG:P0221:n1,P0221,TG
TG:retrieval:4e8867fb60ae0e,TG:P0258:n2,P0258,TG
TG:retrieval:f7c9b0013d99d9,TG:P0195:n3,P0195,TG
TG:retrieval:c51ee21cfe6202,TG:P0269:n1,P0269,TG
TG:retrieval:e43e6c1ab19ed7,TG:P0116:n2,P0116,TG
TG:retrieval:103a1caf76be5d,TG:P0139:n5,P0139,TG
TG:retrieval:c0b93202e6b01d,TG:P0070:n1,P0070,TG
TG:retrieval:357c9993875bc1,TG:P0025:n2,P0025,TG
TG:retrieval:29aa839423e78f,TG:P0111:n4,P0111,TG
TG:retrieval:efe29b11a9c7f2,TG:P0097:n1,P0097,TG
TG:retrieval:ee7aeded623617,TG:P0063:n3,P0063,TG
TG:retrieval:5caf4b74ef918a,TG:P0020:n1,P0020,TG
TG:retrieval:99c5351a2bac6d,TG:P0220:n1,P0220,TG
TG:retrieval:a3b28bb96c9d68,TG:P0188:n1,P0188,TG
TG:retrieval:c29692c38f7d6b,TG:P0278:n2,P0278,TG
TG:retrieval:ae544b7af8b85b,TG:P0224:n2,P0224,TG
TG:retrieval:9f07d9daee9ad9,TG:P0300:n3,P0300,TG
TG:retrieval:a89fc7e5427b16,TG:P0129:n2,P0129,TG
TG:retrieval:780c1e5a80228d,TG:P0129:n1,P0129,TG
TG:retrieval:6c75dd31b6fa44,TG:P0303:n2,P0303,TG
TG:retrieval:3f78ba55b6756f,TG:P0253:n6,P0253,TG
TG:retrieval:1558d4ec8ce0dc,TG:P0307:n1,P0307,TG
TG:retrieval:95bc2626ab475d,TG:P0078:n4,P0078,TG
TG:retrieval:49adb7d6d1e7f7,TG:P0221:n4,P0221,TG
TG:retrieval:e9baaa1d7fa322,TG:P0096:n1,P0096,TG
TG:retrieval:0c436aab14a212,TG:P0204:n5,P0204,TG
TG:retrieval:cc6deeedddb7d0,TG:P0251:n4,P0251,TG
TG:retrieval:0ddef6e8d0fc69,TG:P0269:n2,P0269,TG
TG:retrieval:ac691b1d06e1fd,TG:P0046:n5,P0046,TG
TG:retrieval:9b7c05361632bd,TG:P0276:n2,P0276,TG
TG:retrieval:be9fd247023fcd,TG:P0107:n3,P0107,TG
TG:retrieval:31b4dc75babba2,TG:P0116:n1,P0116,TG
TG:retrieval:2c7fc669e088ad,TG:P0120:n2,P0120,TG
TG:retrieval:23ceb135c77ff7,TG:P0273:n2,P0273,TG
TG:retrieval:d3441ad87bf16e,TG:P0194:n1,P0194,TG
TG:retrieval:2477cafb894093,TG:P0256:n1,P0256,TG
TG:retrieval:21627172ed7cec,TG:P0021:n1,P0021,TG
TG:retrieval:935047ab34244e,TG:P0261:n3,P0261,TG
TG:retrieval:e90809fe490bfc,TG:P0047:n4,P0047,TG
TG:retrieval:8c1cb1ff71a6f7,TG:P0190:n1,P0190,TG
TG:retrieval:97aad1d5fbe416,TG:P0299:n2,P0299,TG
TG:retrieval:c6a3a3fd212556,TG:P0186:n3,P0186,TG
TG:retrieval:05caf78eab06c8,TG:P0086:n5,P0086,TG
TG:retrieval:e380377dbc342c,TG:P0155:n2,P0155,TG
TG:retrieval:b3b8ab66b02ea5,TG:P0115:n3,P0115,TG
TG:retrieval:b3b8ab66b02ea5,TG:P0133:n4,P0133,TG
TG:retrieval:76d0b7fc262095,TG:P0205:n3,P0205,TG
TG:retrieval:704ea247494909,TG:P0321:n2,P0321,TG
TG:retrieval:809d9faf6d0f7b,TG:P0271:n2,P0271,TG
TG:retrieval:195509cbe46ffb,TG:P0037:n3,P0037,TG
TG:retrieval:3ca65ab2ad7ece,TG:P0207:n2,P0207,TG
TG:retrieval:e7bbc7898f31de,TG:P0174:n1,P0174,TG
TG:retrieval:17c80fd6e152a2,TG:P0114:n3,P0114,TG
TG:retrieval:1755a9c95f8bac,TG:P0231:n4,P0231,TG
TG:retrieval:087881be01e187,TG:P0013:n2,P0013,TG
TG:retrieval:14b720a56b3f71,TG:P0292:n2,P0292,TG
TG:retrieval:6124a674f6fa88,TG:P0041:n3,P0041,TG
TG:retrieval:6124a674f6fa88,TG:P0133:n2,P0133,TG
TG:retrieval:1c9eb916f49ed9,TG:P0177:n4,P0177,TG
TG:retrieval:1c9eb916f49ed9,TG:P0276:n3,P0276,TG
TG:retrieval:a46d9ed71b7b9f,TG:P0199:n2,P0199,TG
TG:retrieval:9451f9d97d7cd4,TG:P0169:n2,P0169,TG
TG:retrieval:9451f9d97d7cd4,TG:P0219:n2,P0219,TG
TG:retrieval:336c4140796b63,TG:P0095:n2,P0095,TG
TG:retrieval:16a3022b0f2869,TG:P0300:n2,P0300,TG
TG:retrieval:e7b0a0a8a6726c,TG:P0173:n2,P0173,TG
TG:retrieval:0430215b57ddb0,TG:P0022:n1,P0022,TG
TG:retrieval:49a9a900b6fe0f,TG:P0132:n1,P0132,TG
TG:retrieval:d21d5013b8f167,TG:P0192:n4,P0192,TG
TG:retrieval:c7342afa2274db,TG:P0289:n1,P0289,TG
TG:retrieval:ea6b132070b2dc,TG:P0135:n2,P0135,TG
TG:retrieval:8fb58b09731b27,TG:P0187:n1,P0187,TG
TG:retrieval:5ade136506b22f,TG:P0186:n1,P0186,TG
TG:retrieval:d9155b0b25ea71,TG:P0089:n3,P0089,TG
TG:retrieval:06e664365b425b,TG:P0121:n3,P0121,TG
TG:retrieval:093494cc9cf2bd,TG:P0050:n1,P0050,TG
TG:retrieval:6c11edd7870173,TG:P0229:n1,P0229,TG
TG:retrieval:5f67823c585c24,TG:P0010:n2,P0010,TG
TG:retrieval:bd7e500f8cd4cb,TG:P0268:n2,P0268,TG
TG:retrieval:de3271484655dd,TG:P0125:n1,P0125,TG
TG:retrieval:d2f6b07584b148,TG:P0293:n2,P0293,TG
TG:retrieval:5f2aaf7b523a5d,TG:P0107:n2,P0107,TG
TG:retrieval:574ac318ce8fd0,TG:P0056:n3,P0056,TG
TG:retrieval:0c59b2b51a5322,TG:P0224:n4,P0224,TG
TG:retrieval:b8cf517bf9506e,TG:P0041:n2,P0041,TG
TG:retrieval:ba848014444303,TG:P0014:n1,P0014,TG
TG:retrieval:b42ce68a31a8a9,TG:P0195:n1,P0195,TG
TG:retrieval:1f189daeb2bf63,TG:P0115:n2,P0115,TG
TG:retrieval:67b1acb206baf5,TG:P0213:n4,P0213,TG
TG:retrieval:36eb5347fe1720,TG:P0047:n6,P0047,TG
TG:retrieval:f02850c74318fd,TG:P0077:n1,P0077,TG
TG:retrieval:0d04494447cb57,TG:P0065:n3,P0065,TG
TG:retrieval:67671a2f53dd91,TG:P0195:n4,P0195,TG
TG:retrieval:d19dc9d1b6a37e,TG:P0179:n4,P0179,TG
TG:retrieval:d51c20bd6f84e7,TG:P0002:n3,P0002,TG
TG:retrieval:fcc01428b76697,TG:P0146:n2,P0146,TG
TG:retrieval:3d90df9bec9696,TG:P0192:n3,P0192,TG
TG:retrieval:79e48e27e7f7a7,TG:P0212:n2,P0212,TG
TG:retrieval:45640b7e95756d,TG:P0188:n2,P0188,TG
TG:retrieval:a1ff92958cc453,TG:P0162:n3,P0162,TG
TG:retrieval:6309c09c15d3df,TG:P0084:n3,P0084,TG
TG:retrieval:25d2fc370f09b1,TG:P0090:n2,P0090,TG
TG:retrieval:9595cc35bf245a,TG:P0182:n4,P0182,TG
TG:retrieval:15354d163b7f31,TG:P0013:n3,P0013,TG
TG:retrieval:7ed8c2b7c82649,TG:P0034:n3,P0034,TG
TG:retrieval:e20886dd2e0666,TG:P0006:n4,P0006,TG
TG:retrieval:d4274184574503,TG:P0018:n1,P0018,TG
TG:retrieval:d4274184574503,TG:P0270:n1,P0270,TG
TG:retrieval:151cb5909e545c,TG:P0032:n4,P0032,TG
TG:retrieval:ace458e2f086e4,TG:P0246:n6,P0246,TG
TG:retrieval:78ae49088f9c50,TG:P0059:n3,P0059,TG
TG:retrieval:3019071d610565,TG:P0146:n3,P0146,TG
TG:retrieval:b581cb46c103ad,TG:P0304:n3,P0304,TG
TG:retrieval:b83b6cd7791534,TG:P0001:n2,P0001,TG
TG:retrieval:5759844e40b2f8,TG:P0092:n4,P0092,TG
TG:retrieval:c74b9abdf2a320,TG:P0125:n3,P0125,TG
TG:retrieval:535de2f2dba351,TG:P0036:n2,P0036,TG
TG:retrieval:199b0cae0ee40c,TG:P0168:n1,P0168,TG
TG:retrieval:fca2e5ef50f571,TG:P0168:n3,P0168,TG
TG:retrieval:8c8ff3ee61da42,TG:P0289:n2,P0289,TG
TG:retrieval:dcd6d8bd2f5503,TG:P0290:n2,P0290,TG
TG:retrieval:29e9b74b5eaf8e,TG:P0078:n2,P0078,TG
TG:retrieval:01837f8a94ec00,TG:P0052:n2,P0052,TG
TG:retrieval:01a768d72cb6fb,TG:P0068:n3,P0068,TG
