retrieval_unit_id,domain,label,mention_count,paper_support,representative_mention_ids,unit_status
TG:retrieval:0b3054f6d871ed,TG,Ni and Ni oxide heterostructures,1,1,TG:P0046:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:e9c93316217578,TG,NiO phase,1,1,TG:P0312:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:be48f57d9b5961,TG,O vacancy defects,1,1,TG:P0046:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:5d9032cf637c12,TG,PDMS/CuO/Cu electrodes,1,1,TG:P0051:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:b70aac37882e7e,TG,Peltier coefficient,1,1,TG:P0110:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:8e577ea87dac79,TG,Peltier heats,1,1,TG:P0212:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:dc3618ed2aa6af,TG,Periodic interchange of the solid mediator (LiFePO4/FePO4),1,1,TG:P0263:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:37d4ced0523e61,TG,Pt-free thermocells,1,1,TG:P0281:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:bae24c64c51bd4,TG,RH is raised,1,1,TG:P0297:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:e45a2d9f0557ba,TG,Rct,2,2,TG:P0254:n3;TG:P0253:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:aa5dea7322131b,TG,Rdif,2,2,TG:P0254:n4;TG:P0253:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:688c5a4a65af33,TG,Rs,2,2,TG:P0254:n2;TG:P0253:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:aa1e42413acd68,TG,S-e,1,1,TG:P0285:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:18daa72026321e,TG,SCH formation/dissociation,1,1,TG:P0140:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:d4bf78aec09cbb,TG,SO3/42- as a redox electric pair,1,1,TG:P0068:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:2afc4d08546fdc,TG,STE generation,1,1,TG:P0202:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:ec43e0d8d8f38d,TG,SWNT coating,1,1,TG:P0231:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:e0f743553a7a96,TG,Samarium (III) Chloride,1,1,TG:P0111:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:b204d9d0fede06,TG,Se,1,1,TG:P0278:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:09fd1f02ad5e1d,TG,Seebeck coefficient,19,19,TG:P0247:n3;TG:P0080:n3;TG:P0079:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:8cc094c3ff3cd9,TG,Seebeck coefficient and sign,1,1,TG:P0216:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:df94dc73579c4f,TG,Seebeck coefficient of P-type and N-type TECs,1,1,TG:P0266:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:b99fead199ac03,TG,Seebeck coefficients,2,2,TG:P0226:n3;TG:P0272:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:7ac8f452d7676d,TG,Seebeck effect,2,2,TG:P0090:n3;TG:P0060:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:48911e34745779,TG,Seebeck voltages and short-circuit currents,1,1,TG:P0325:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:b31389b78a62bc,TG,Soret coefficient,1,1,TG:P0222:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:c8464c42914f5c,TG,Soret effect,2,2,TG:P0201:n4;TG:P0060:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:e38167657578d2,TG,Split P,1,1,TG:P0088:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:1e587890473a10,TG,TBAF concentration in the liquid phase,1,1,TG:P0140:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:13b3625c156d5b,TG,TDIEM effect,1,1,TG:P0174:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:24b5a1137c654b,TG,TG currents,1,1,TG:P0152:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:92e928031d5e62,TG,TGC dressing,1,1,TG:P0001:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:c37f620e63bfa0,TG,TRECs,1,1,TG:P0298:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:d219f07a2fd780,TG,Temperature and Reynolds number,1,1,TG:P0230:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:83439458749bd8,TG,Temperature gradients,1,1,TG:P0118:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:0f9bdfc89ff537,TG,Thermogalvanic corrosion,1,1,TG:P0124:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:aa2896966334b4,TG,Ti3C2Tx and PANI,1,1,TG:P0154:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:786dbbb9355f8c,TG,Ultrafast cooling,1,1,TG:P0053:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:e0b4157d47c341,TG,ZnAl-LDH,1,1,TG:P0084:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:38d95605391c19,TG,[Fe(CN)(6)](4-) ion crystallization,1,1,TG:P0039:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:86cd99cf6dbea7,TG,[Fe(CN)6]3-/[Fe(CN)6]4-,1,1,TG:P0043:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:64e3630c68d1ce,TG,[Fe(SO4)(2)](-/2-),1,1,TG:P0105:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:a1b35ed0ed2ec7,TG,[FeSO4](0/+)and [Fe(HSO4)](+/2+),1,1,TG:P0105:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:16628738fad5d7,TG,[I-]/[I-3(-)] ratio,1,1,TG:P0299:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:8fa3a9d03cd298,TG,a of Fe3+/Fe2+,1,1,TG:P0183:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:3b6c9516301f0d,TG,absolute temperature coefficient,1,1,TG:P0214:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:6c5e94f1cf7565,TG,absolute value of the Seebeck coefficient,1,1,TG:P0277:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:9506fbe7eb39c9,TG,absorb light,1,1,TG:P0069:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:6d54721d25291f,TG,abundant electroactive sites,1,1,TG:P0165:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:71711e7cfb627c,TG,accumulation of HQ near the cold electrode,1,1,TG:P0034:n5,retrieval_group_only_no_semantic_merge
TG:retrieval:89e82c3feac17c,TG,accumulation of potassium ions at doped CNT electrodes,1,1,TG:P0316:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:ccd4401dc18574,TG,activation energy of the redox reaction,1,1,TG:P0025:n6,retrieval_group_only_no_semantic_merge
TG:retrieval:3b0484b5304e7b,TG,activation overpotential,1,1,TG:P0127:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:f37775a904fb2d,TG,active piezoresistivity,1,1,TG:P0012:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:e8be49e897ccaf,TG,adaptability to irregular and continuously deformed skin,1,1,TG:P0074:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:25a501d72697de,TG,adding inhibitor Li2CrO4,1,1,TG:P0327:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:ecc4993a90f0df,TG,addition of NaClO4 instead of Fe(ClO4)2/Fe(ClO4)3,1,1,TG:P0254:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:28e7fca23dee8b,TG,addition of oxygenated water and chemical salts that leach from the cement,1,1,TG:P0330:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:0b27a804ee7e37,TG,addition of solid oxide to the molten carbonate melt,1,1,TG:P0319:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:4a424136ab97c4,TG,adsorbing guanidinium ions,1,1,TG:P0031:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:f0a01691b93657,TG,adsorption of water molecules and heat,1,1,TG:P0276:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:9dab1aff8d47ae,TG,agglomeration of Fe(CN)(6)(4-) ions,1,1,TG:P0251:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:070489e417671c,TG,aggregation of ions near the two electrodes,1,1,TG:P0161:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:456712b569c430,TG,aligned ion transport pathways,1,1,TG:P0199:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:45e8f4651a4e48,TG,all-weather power generation,1,1,TG:P0005:n5,retrieval_group_only_no_semantic_merge
TG:retrieval:fbf604c3022ec2,TG,altered solvation,1,1,TG:P0094:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:51ec1a0d080fc4,TG,alternating current power,1,1,TG:P0171:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:44ae5087630a06,TG,alternating pulse voltage,1,1,TG:P0221:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:8bfe006cd8d005,TG,angular velocity w increased,1,1,TG:P0253:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:273bc2996e4982,TG,anion doping,1,1,TG:P0176:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:afc038f16cb296,TG,anion thermodiffusion,1,1,TG:P0268:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:46ebda14aa06f9,TG,anionic transport heat,1,1,TG:P0176:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:dbe1ed3b660202,TG,anionpolymer interaction,1,1,TG:P0071:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:e9d780163782ce,TG,anti-drying,1,1,TG:P0048:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:4ae99f9560b451,TG,anti-freezing,2,2,TG:P0004:n2;TG:P0054:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:07b7f57f9beff2,TG,anti-freezing properties,1,1,TG:P0048:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:364399bfb14312,TG,antidrying and antifreezing properties,1,1,TG:P0259:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:b948752cb3221e,TG,antisolvent,1,1,TG:P0251:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:9ca52161c3162c,TG,apparent Seebeck coefficient,1,1,TG:P0119:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:0f7abdcda94d4a,TG,apparent Seebeck coefficients,1,1,TG:P0104:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:36db5d103d9319,TG,applying pressure,1,1,TG:P0143:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:b85e32b136bba2,TG,appropriate amount of water,1,1,TG:P0246:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:d60f88a8b22df5,TG,aqueous biphasic electrolytes,1,1,TG:P0278:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:848a7dbdfd01ad,TG,area-specific capacitance,1,1,TG:P0112:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:b8e1c822fc506b,TG,asymmetric cells,1,1,TG:P0226:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:19a228690b06e0,TG,asymmetric solvation structures,1,1,TG:P0172:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:d4290baf7785b5,TG,asymmetrically solvates the [Fe(CN)6]3-/4- redox couple,1,1,TG:P0264:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:096a45a032b0ec,TG,asymmetry in the interfaces of the electrical double layer,1,1,TG:P0220:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:e2af118701e598,TG,asymmetry of the spin-mixing,1,1,TG:P0228:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:3cf6d5b00931ed,TG,available reaction sites,1,1,TG:P0231:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:5bc519bb59096d,TG,battery-type molybdenum nitride quantum dot into carbon matrix,1,1,TG:P0165:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:ed2097e10a7b12,TG,bifunctional current collector/solar absorber,1,1,TG:P0207:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:87b520c6633790,TG,binary H2O/GL (glycerin) solvent,1,1,TG:P0061:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:c990d1dcd08366,TG,binary solvent strategy,1,1,TG:P0066:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:260d46ee44d546,TG,bionic mechanical training,1,1,TG:P0185:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:f2612f5051c02e,TG,body heat harvesting,1,1,TG:P0074:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:85c6573d45875b,TG,capacity degradation,1,1,TG:P0091:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:124c5d0b02eaf7,TG,carbon-based paper (CBP) electrodes,1,1,TG:P0268:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:37cf774ad8f8a2,TG,carbon/Iodolyte HI-30/carbon structure,1,1,TG:P0325:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:fe4d125bcbb773,TG,carboxylate groups,1,1,TG:P0252:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:f8273f2614f506,TG,carboxylated chitosan,1,1,TG:P0266:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:32a8ab8720d2de,TG,carrier redistribution in the near-surface regions,1,1,TG:P0240:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:3242d31a35c136,TG,cathodic behaviour of the hot electrode,1,1,TG:P0123:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:0a77fb0ceef3eb,TG,cation exchange membrane,1,1,TG:P0177:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:36cfa6933f67ad,TG,cationic selective complexing agent,1,1,TG:P0030:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:146c5c5a1330d6,TG,cell current,1,1,TG:P0127:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:f33af28b6a45b8,TG,cell performance,1,1,TG:P0291:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:e29dca5d39339f,TG,cell's power generation,1,1,TG:P0050:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:d35afca1bbb254,TG,changing solvation shell sizes,1,1,TG:P0063:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:b264adde8ca5df,TG,chaotropic effect,1,1,TG:P0005:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:efbb8863b3f76e,TG,characteristics of users can be distinguished,1,1,TG:P0036:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:b32230312a933e,TG,charge and mass transfer overvoltages,1,1,TG:P0133:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:f208a0c58c400a,TG,charge difference accumulation,1,1,TG:P0100:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:5c64b170d58038,TG,charge storage,1,1,TG:P0161:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:2c5f9b0e89bd4e,TG,charge-additivity with the metal core,1,1,TG:P0065:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:c12e2f272042aa,TG,charged at a temperature and then discharged at a different temperature,1,1,TG:P0184:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:36b3161dab7f0f,TG,charging,1,1,TG:P0304:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:a0193d1a7f31e8,TG,charging-discharging an electrochemical cell at different temperatures,1,1,TG:P0203:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:b27b2e44ad9175,TG,charging-discharging rates,1,1,TG:P0219:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:201130997a6dac,TG,chemical equilibria,1,1,TG:P0104:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:943c72d1793fd0,TG,chemical heterogeneity,1,1,TG:P0081:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:17a80fb26889b2,TG,cold-end temperature,1,1,TG:P0010:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:10b98647369e7b,TG,colligative properties,1,1,TG:P0193:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:7fbe871b45871d,TG,combination of local percolation behavior and shear-induced diffusion,1,1,TG:P0314:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:86391b1ecb69e2,TG,"compact passive layer comprising of Cr2O3, Fe3O4 and Fe2O3",1,1,TG:P0326:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:521028e56e2f46,TG,compliant mechanical properties,1,1,TG:P0074:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:ff564eda08f85a,TG,compositional leveling,1,1,TG:P0100:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:cf2652167ff664,TG,concave-arranged TGH array,1,1,TG:P0036:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:2029bcbdf6ab7d,TG,concentration and entropy difference of redox pairs,1,1,TG:P0137:n6,retrieval_group_only_no_semantic_merge
TG:retrieval:d0c702265dada0,TG,concentration difference between the two regions separated by the membrane,1,1,TG:P0331:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:f76f3a08b07f7d,TG,concentration differences between the two region separated by the ion-exchange membrane,1,1,TG:P0332:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:5d875887f9af01,TG,concentration distribution,1,1,TG:P0129:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:66144d36b9c1d6,TG,concentration gradient,2,2,TG:P0018:n2;TG:P0172:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:9339be66084b0a,TG,concentration gradient effects,1,1,TG:P0081:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:aba77aeae1e828,TG,concentration gradient of redox ion pairs,1,1,TG:P0283:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:525f9bbd18b8a0,TG,concentration gradient of the free I-3(-),1,1,TG:P0093:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:daac3d953b48b7,TG,concentration gradients,1,1,TG:P0209:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:0ac7a5175dec3a,TG,concentration of the redox couple,1,1,TG:P0291:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:8b6b70c9a599b3,TG,concentrations of both the ionic liquid and the redox couple,1,1,TG:P0227:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:fcde3f9997e9c3,TG,conducting polymer thickness/multilayer,1,1,TG:P0113:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:01516633e25b83,TG,configuration entropy of the small additives coordinated to a large ion,1,1,TG:P0223:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:9c3a9432a235db,TG,configurational disparity between oxidized and reduced species,1,1,TG:P0078:n5,retrieval_group_only_no_semantic_merge
TG:retrieval:5c976936565b2d,TG,configurational) entropy difference,1,1,TG:P0020:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:82549f9fe17369,TG,confine free H2O molecules to the polymer network,1,1,TG:P0197:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:b3c7a4ddca6121,TG,confined ion transportation in micro/nano channels,1,1,TG:P0045:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:84de5d1c199a65,TG,conformal design,1,1,TG:P0155:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:1dae5d83b88560,TG,conformational entropy changes,1,1,TG:P0072:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:4b33d1d8f5ffe1,TG,constant elastic modulus,1,1,TG:P0075:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:959438838ce9f2,TG,continuous architecture of NHPC,1,1,TG:P0300:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:142a667fa51f88,TG,continuous concentration gradient of redox ions,1,1,TG:P0009:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:e81d055bb2adad,TG,continuous current output,1,1,TG:P0267:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:d730196557f99d,TG,continuous desalination,1,1,TG:P0263:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:a3ff73758e290a,TG,continuous power output,2,2,TG:P0170:n2;TG:P0301:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:0b3e31d1602909,TG,continuous utilization of environmental thermal energy,1,1,TG:P0106:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:543e94aac48242,TG,convection and radiation,1,1,TG:P0092:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:04499cafe3a005,TG,convection currents,1,1,TG:P0233:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:f4b58ca743c20e,TG,convective flows,1,1,TG:P0304:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:c293f43f5d8183,TG,convective mass transfer,1,1,TG:P0253:n5,retrieval_group_only_no_semantic_merge
TG:retrieval:da13e3887bbfc3,TG,conventional ther-moelectric figure-of-merit,1,1,TG:P0302:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:4e1443539e142d,TG,conversion efficiency,2,2,TG:P0302:n2;TG:P0303:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:8b57a9f2108f47,TG,conversion to electricity,1,1,TG:P0203:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:e024883de305af,TG,cool photovoltaic panel,1,1,TG:P0163:n2,retrieval_group_only_no_semantic_merge
TG:retrieval:6699bb8e59aad7,TG,cooling efficiency,1,1,TG:P0101:n3,retrieval_group_only_no_semantic_merge
TG:retrieval:de36bd2319df56,TG,coordination between Fe2+/Fe3+ redox couples and carboxyl (& horbar;COOH) groups,1,1,TG:P0142:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:4daa5921819a68,TG,coordination effect of Li+ ions with water molecules,1,1,TG:P0193:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:be414d1974159b,TG,coordination interactions between TiO2 and Fe(CN)6 4-,1,1,TG:P0083:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:bb7e75524b48de,TG,coordination of carboxyl groups on PAA with Fe3+,1,1,TG:P0167:n1,retrieval_group_only_no_semantic_merge
TG:retrieval:4797f6de6f605b,TG,copper deposition rate,1,1,TG:P0148:n4,retrieval_group_only_no_semantic_merge
TG:retrieval:6670122157e1a8,TG,copper dissolution process,1,1,TG:P0148:n2,retrieval_group_only_no_semantic_merge
