paper_id,domain,title,year,abstract,human_core_claims_json,human_no_core_claim_reason,reviewer_id,reviewed_at,review_status
P1361,iTE,ELECTRONIC TRANSPORT-PROPERTIES OF ZRTIO4 AT HIGH-TEMPERATURE,1994,"Electrical conductivities, using the four-probe dc method, have been measured for Zr1.012Ti0.988O4 and Zr-1.009 Ti0.986Y0.005O4 between 1073 and 1523 K from oxygen fugacity (1.013 x 10(5) Pa as a standard state) of 10(-20) to 1. Thermoelectric power has also been measured for Zr1.012Ti0.988O4. Both n- and p-type conductivities are found with the dependence of - 1/4 and 1/4 powers of po(2), respectively, and no indication of an ionic conductivity is observed. A defect model has been proposed wherein an extrinsic oxygen vacancy formation is predominant, in which the concentration of oxygen vacancy is determined by the amount of lower-valent impurities or dopants, and excellent agreement is found between experimental and calculated results. The partial conductivity of electrons showed a strong correlation with the anomalous expansion of the c-axis.",,,,,pending_human
P0613,iTE,Environmentally Tolerant Ionic Hydrogel with High Power Density for Low-Grade Heat Harvesting,2022,"Harvesting low-grade heat by an ionic hydrogel thermoelectric generator (ITEG) into useful electricity is promising to power flexible electronics. However, the poor environmental tolerance of the ionic hydrogel limits its application. Herein, we demonstrate an ITEG with high thermoelectric properties, as well as excellent capabilities of water retention, freezing resistance, and self-regeneration. The obtained ITEG can maintain the original water content at ambient conditions (302 K, 65% relative humidity (RH)) for 7 days and keep unfreezing at a low temperature (253 K). It can even be self-regenerated and recovered to its original state after a water loss in high-temperature conditions. Furthermore, a high ionic Seebeck coefficient of 11.3 mV K-1 and an impressive power density of 167.90 mW m(-2) are achieved under a temperature difference of 20 K. A high power density of 60.00 mW m(-2) can also be maintained even at 258 K. After drying and regeneration, ITEG-re could even exhibit a higher ionic Seebeck coefficient of 11.8 mV K-1. Successful lighting of light-emitting diodes (LEDs) and charging of capacitors demonstrate the great potential of ITEG to provide continuous energy supply for powering flexible electronics.",,,,,pending_human
P1398,iTE,Thermoelectric Properties of Partially Double-filled (Ce1-zNdz)yFe4-xCoxSb12 Skutterudites,2018,"(Ce1-zNdz)(y)Fe4-xCoxSb12 skutterudites were prepared by encapsulated melting, annealing, and hot pressing. The formation of a marcasite phase (FeSb2) was significantly suppressed by partially filling the voids with Ce/Nd and making a Co substitution at the Fe site. Both the Hall and the Seebeck coefficient values were positive, indicating that all specimens had p-type characteristics. The electrical conductivity decreased with increasing temperatures, as in a degenerate semiconductor. The Seebeck coefficient increased with the charge compensation of Co and filler content of Nd; however, the electrical conductivity decreased. The partially double-filled specimens had a higher electrical conductivity and lower Seebeck coefficient than the completely double-filled specimens, due to the increase in carrier concentration. The lattice thermal conductivity was expected to decrease via partial double filling with Ce and Nd; however, it did not change significantly because of the comparable atomic masses and ionic radii of Ce and Nd. Therefore, the partially double-filled specimens had lattice thermal conductivities comparable to those of the completely double-filled ones. Co substitution had an influence on the ZT values due to the change in the intrinsic conduction onset temperature, which decreased with increasing Co content. Thus, the (Ce1-zNdz)(y)Fe4-xCOxSb12 skutterudites are a promising material for thermoelectric power generation in the mid-to-low temperature regions.",,,,,pending_human
P1004,iTE,The effect of Cr substitution on the structure and properties of misfit-layered Ca3Co4-xCrxO9+δ thermoelectric oxides,2014,"Misfit-layered Ca3Co4-xCrxO9+delta (0 <= x <= 0.2) powders were synthesized by a simple thermal hydro-decomposition method and then fabricated to form highly dense ceramics using spark plasma sintering. X-ray diffraction, and a field emission scanning electron microscope equipped with an energy dispersive X-ray spectrometer were used to verify the single phase of Ca3Co4O9+delta for the samples with x = 0, 0.05, 0.10 and 0.15. The characteristic plate-like grain structure was observed. The chemical composition of the fabricated samples was found to be close to nominal composition. The thermoelectric measurement showed that Cr doping has an influence on the thermoelectric properties. The resistivity and the Seebeck coefficient increased while the thermal conductivity was suppressed when Cr was added into the system. Explanation of the change in thermoelectric properties was discussed regarding the difference in the charge states and the ionic radii between Co and Cr ions. The highest ZT of 0.19 at 1073 K was obtained for the Ca3Co3.85Cr0.15O9+delta sample. In addition, the paramagnetic property was observed in all samples at room temperature. (C) 2013 Elsevier B.V. All rights reserved.",,,,,pending_human
P1276,iTE,Strong anisotropy of thermal transport in the monolayer of a new puckered phase of PdSe,2024,"We examine the electronic and transport properties of a new phase PdSe monolayer with a puckered structure calculated by first-principles and Boltzmann transport equation. The spin-orbit coupling is found to play a negligible effect on the electronic properties of PdSe monolayer. The lattice thermal conductivity of PdSe monolayer exhibits remarkable anisotropic characteristic due to anisotropic phonon group velocity along different directions and its intrinsic structure anisotropy. The compromised electronic mobility despite a relatively low thermal conduction results in a moderate ZT value but significantly anisotropic thermoelectric performance in single-layer PdSe. The present work suggests that the remarkable thermal transport anisotropy of PdSe monolayer can be used for thermal management, and enhance the scope of possibilities for heat flow manipulation in PdSe based devices. The sizeable puckered cages and wiggling lattice implies it an ideal platform for ionic and molecular engineering for thermoelectronic applications.",,,,,pending_human
P0692,iTE,Anti-perovskite nitrides and oxides: Properties and preparation,2023,"In recent years, perovskites of the general formula ABX3 have attracted many researchers to study due to their enriched nature and structure features. Anti-perovskites which are electron reversals of perovskite derivatives are popular with researchers as a novel functional material. Anti-perovskites have unique structures and thus exhibit many unconventional physical and chemical properties. Anti-perovskite oxides and nitrides are an essential part of anti-perovskites and research into them is in its infancy and a comprehensive review is urgently needed to generate interest. This paper provides an overview of the structural characteristics and specific properties as antiperovskite nitrides and oxides, including superconductivity, optical properties, ionic conductivity, thermoelectric properties and narrow band gap semiconductor properties. In addition, the paper describes some of the possible methods available at this stage for preparing anti-perovskite oxides and nitrides and predicting some applications that could serve the future. With more enthusiasm, anti-perovskite oxides and nitrides will hopefully become an auspicious functional material.",,,,,pending_human
P1842,iTE,"RETRACTED: Multiscale Multiphysics Modeling and Fabrication of Three-Dimensional Multijunction Multiband Photovoltaic Solar Cell Based-Carbon Nanotube (Retracted article. See vol. 137, 017001, 2015)",2013,"Multijunction multiband solar cells consisting of series-stacked p-n junction layers offer a significant improvement in efficiency over single-junction by generating power over a larger spectrum of sunlight. However, this paper presents a novel 3D multijunction multiband photovoltaic solar cell design that utilizes doped semiconductor bundled-multiwalled carbon nanotube (BMWCNT) and other nanomaterial. The 3D multijunction multiband photovoltaic based doped bundled-multiwalled carbon nanotube cultivates photons in three dimensions (vertical and lateral directions). It allows the creation of electron-hole pair not only from the top layer to bottom layer (z-axis direction) as the traditional 1D multijunction multiband but also in the x-axis (abscissa) and y-axis (ordinate) directions. The 3D multijunction multiband photovoltaic solar cell based doped semiconductor bundled-multiwalled carbon nanotube can optimize the efficiency beyond the limits of the current existing technology. This optimized efficiency is achieved by harvesting visible light and all spectrums of the light including the utilization of thermoelectric and the thermo-ionic features exist in nanotubes. [DOI: 10.1115/1.4007299]",,,,,pending_human
P1774,iTE,Stacked double-walled carbon nanotube sheet electrodes for electrochemically harvesting thermal energy,2019,"Nanocarbon based electrodes have led to remarkable improvements in the performance of thermo-electrochemical cells (TECs), which are able to electrochemically harvest low-grade waste thermal energy. However, the highly tortuous ionic pathways of the electrodes limit the output current from the TECs by reducing the reaction rate inhibited by a concentration gradient in the electrode. In this work, we investigate an electrode structure that facilitates efficient ion transport by sequentially stacking highly aligned double-walled carbon nanotube (DWCNT) sheets. The performance of the TEC is evaluated with respect to the number of DWCNT stacks and the lamination orientation in a parallel or orthogonal direction. As the number of stacks increases from 1 to 3 layers oriented in parallel, the output power increases from 113 to 187 mW/m(2) at a small temperature difference of 22 degrees C. The output power with 3-layer DWCNT sheets can be further improved to 200 mW/m(2) by implementing an orthogonal lamination. The significance of electrode tortuosity presented here would be useful in electrode design as a way to improve energy harvesting performance. The results should also provide a basis for devising electrochemical devices with highly porous nanocarbon electrodes. (C) 2019 Elsevier Ltd. All rights reserved.",,,,,pending_human
P1337,iTE,Morphologically controlled electrodeposition of fern shaped Bi2Te3 thin films for photoelectrochemical performance,2015,"Bismuth telluride (Bi2Te3) thin films have been proved to be important materials for thermoelectric application. Rapid development of photovoltaic materials has raised new hopes due to directly converting sun light to electricity. We report here a simple electrochemical synthesis route for the preparation of well-defined Bi2Te3 nano-structures for photoelectrochemical solar cell application. Classification of crystal structure, surface morphology and elemental composition of resulting deposits were methodically characterized by X-ray diffraction (XRD) pattern, Raman spectroscopy, scanning electron microscopy (SEM), energy dispersive spectroscopy (EDS), X-ray photoelectron spectroscopy (XPS), transmission electron microscopy (TEM) and its photoelectrochemical performance (PEC). The potential range and electrochemical reactions relevant to the growth of Bi2Te3 thin films were studied by cyclic voltammetry (CV). Furthermore, the influence of deposition variables such as applied deposition potential and effect of different surfactants (cationic, anionic and non-ionic) on morphology, crystal orientation associated with the film growth and photoelectrochemical performance were investigated systematically. The photoelectrochemical conversion efficiency recorded for Bi2Te3 is 0.083%. (C) 2015 Elsevier B.V. All rights reserved.",,,,,pending_human
P1128,iTE,Solid-State Synthesis and Thermoelectric Properties of CuFeSe2-CuFeS2 Solid Solutions,2025,"Thermoelectric technology, which converts heat and electricity into each other, has been attracting attention from the perspective of efficient energy utilization. Recently, eco-friendly and cost-effective Cu-based thermoelectric materials have been actively studied. In particular, efforts have been made to improve thermoelectric properties and enhance performance through the formation of solid solutions. This study examines the formation and thermoelectric properties of Cu-chalcogenide solid solutions between eskebornite (tetragonal CuFeSe2) and chalcopyrite (tetragonal CuFeS2), synthesized as CuFeSe2-ySy (y = 0-2) using solid-state synthesis. These compounds share similar crystal structures, which enable the formation of solid solutions that enhance phonon scattering and may potentially improve thermoelectric performance. As the S content (y) increased, the lattice parameters a and c decreased, attributed to the smaller ionic radius of S2- compared to Se2-, as X-ray diffraction analysis identified single-phase regions for 0 <= y <= 0.4 and 1.6 <= y <= 2, respectively. However, for 0.8 <= y <= 1.2, a composite phase of eskebornite and chalcopyrite formed, indicating incomplete solid solution behavior in the intermediate range. Thermoelectric measurements showed a sharp increase in electrical conductivity with increasing S content, alongside a transition in the Seebeck coefficient from positive (p-type) to negative (n-type), attributed to the intrinsic semiconducting nature of the end-member compounds. Eskebornite behaves as a p-type semiconductor, whereas chalcopyrite is n-type, and their combination affects the carrier type and concentration. Despite these changes, the power factor did not show significant improvement due to the inverse relationship between electrical conductivity and the Seebeck coefficient. The thermal conductivity decreased significantly with solid solution formation, with CuFeSe0.4S1.6 exhibiting the lowest value of 0.97 Wm-1K-1 at 623 K, a result of enhanced phonon scattering at lattice imperfections and the mass fluctuation effect. This value is lower than the thermal conductivity values of single-phase eskebornite or chalcopyrite. However, the reduction in thermal conductivity was insufficient to compensate for the modest power factor, resulting in no substantial enhancement in the thermoelectric figure of merit.",,,,,pending_human
P0588,iTE,Elucidation of the ionic conductivity mechanism of weathered biotite using first-principles calculation,2026,"Thermoelectric materials have attracted attention for converting industrial waste heat into electricity, improving energy efficiency, and reducing environmental impact. While conventional thermoelectric materials operate at low to moderate temperatures ( <= 500 degrees C), options for higher temperatures ( >= 700 degrees C) remain limited. Here, we explore weathered biotite (WB), a layered clay mineral, as a high-temperature thermoelectric. Recent experiments suggest notable performance at high temperature. However, the mechanisms governing transport in WB have not been clarified yet. In this study, we focus on electrical conductivity, emphasizing ionic conductivity. Using first-principles calculations and nudged elastic band analysis, we evaluate adiabatic migration barriers for interlayer ion diffusion. We find that, at equilibrium interlayer spacing, barriers are large. But they dramatically drop under moderate interlayer swelling. In particular, the barriers for K reach similar to 0.4 eV. These results indicate the feasibility of ionic conduction in WB.",,,,,pending_human
P1761,iTE,"First-principles calculations to explore the metallic behavior of semiconducting lead-free halide perovskites RbSnX3 (X = Cl, Br) under pressure",2022,"The ab initio calculations of structural, electronic, mechanical, and optical properties of rubidium-based halide perovskites RbSnX3 (X = Cl, Br) have been performed under different hydrostatic pressures ranging from 0 to 10 GPa. The calculated structural parameters are well agreed with the previously studied data, which ensures the accuracy of present calculations. The studied perovskites are direct band gap semiconductors at ambient pressure, and the band gap decreases with increasing induced pressure. In addition to the band gap variations with pressure, the optical absorbance and conductivity of the perovskites are also improved, making them more appropriate for optoelectronic applications. Besides, the bond length of Rb-Cl/Br and Sn-Cl/Br steadily decreases, and both compounds exhibit stronger bonding at high pressure. The charge density maps confirm the ionic and covalent bonding nature of Rb-Cl/Br and Sn-Cl/Br. Despite the fact that the induced pressure has a substantial influence on the mechanical characteristics of RbSnX3 (X = Cl, Br), the mechanical stability is maintained. The Pugh's ratio, Poisson's ratio, and Cauchy pressure reveal the ductile nature of the perovskites, which become more intensive after the application of pressure. Similarly, the anisotropic behavior of the perovskites is also enhanced due to the pressure effect.",,,,,pending_human
P1688,iTE,Nb-induced semiconductor to metal transition and enhanced physical properties of CaSiO3: A full-potential first-principles study,2026,"A comprehensive density functional theory (DFT) analysis was carried out on pristine and Nb-substituted CaSiO3 to determine how Nb incorporation modifies the structural, electronic, optical, thermoelectric, mechanical, magnetic, and piezoelectric responses of the host lattice. Pristine CaSiO3 optimizes to a lattice parameter of 3.607 & Aring; (V0 = 316.63 bohr3, B0 approximate to 215 GPa). Birch-Murnaghan fits indicate that Nb5+ substitution expands the equilibrium volume to 3143.16 and 3068.35 bohr3 at 12.5% and 25% Nb, respectively, while reducing the bulk modulus, consistent with enhanced compressibility driven by the larger Nb5+ ionic radius and associated oxygensublattice relaxation. The elastic stability improves monotonically, with C11, C12, and C44 increasing from 255, 118, and 92 GPa to 272/298, 131/145, and 103/118 GPa at 12.5/25% Nb. Corresponding increases in B (163-* 196 GPa), G (86-* 107 GPa), E (217-* 263 GPa), OD (598-* 675 K), and hardness (7.8-* 11.4 GPa) confirm progressive lattice stiffening. Electronically, CaSiO3 exhibits a 3.432 eV indirect band gap dominated by O-2p (VB) and Si-3p (CB). Nb introduces Nb-4d/O-2p donor states that narrow the gap at 12.5% doping and eventually close it at 25% Nb, yielding a metallic 4d conduction manifold at the Fermi level. Optical responses follow this evolution: pristine CaSiO3 displays strong deep-UV absorption with an onset near 6 eV, whereas Nb doping suppresses interband oscillator strength, redistributes spectral weight, and produces smoother epsilon 2 (w), a (w), k (w), a (w), and R (w) across 0-14 eV; the 25% alloy further exhibits an enhanced low-energy refractive index and intensified plasmonic loss features around 10-12 eV. Thermoelectric transport reflects the carrier reorganization. CaSiO3 and the 12.5% alloy show extremely low, nearly temperature-independent a/t and x, together with positive Seebeck coefficients characteristic of p-type behavior. At 25% Nb, a/t and x rise sharply with temperature, the Seebeck coefficient becomes negative, and a pronounced low-temperature power-factor peak emerges, producing a ZT maximum approximately an order of magnitude larger than that of the other compositions. Magnetically, pristine CaSiO3 is non-magnetic, whereas Nb doping induces finite spin polarization: 0.7706 & micro;B per cell (0.3805 & micro;B interstitial) at 12.5% Nb and 0.5707 & micro;B at 25% Nb, originating from Nb-4d/O-2p hybridization and dopant-interaction effects. Piezoelectric analysis shows that the inherently weak e31, e33, d31, and d33 values of CaSiO3 increase systematically with Nb content, reaching maximum amplitudes at 25% Nb as stronger Nb-O covalency, symmetry breaking, and localized lattice softening reinforce electromechanical coupling. Overall, Nb substitution converts CaSiO3 from a wide-gap, non-magnetic, weakly piezoelectric insulator into a mechanically strengthened, optically moderated, magnetically active, and low-temperature thermoelectric oxide with markedly enhanced piezoelectric functionality, highlighting the central role of Nb-induced lattice distortion and 4d-state hybridization in tailoring multifunctional silicate perovskites.",,,,,pending_human
P0383,iTE,High Thermopower of Agarose-Based Ionic Thermoelectric Gel Through Micellization Effect Decoupling the Cation/Anion Thermodiffusion,2023,"Ionic thermoelectric (i-TE) gels can have a high thermopower, if the thermodiffusion of mobile cation/anion is decoupled, attracting increasing attentions. Herein, it is shown a high p-type i-TE thermopower of 41.8 mV K-1 in agarose-based ionic thermoelectric gels of AG-x Na:DBS (AG: agarose, Na:DBS: sodium dodecyl benzene sulfonate). The exclusively high thermopower is relative to the successfully decoupling the thermodiffusion of cation Na+ and anion DBS-. A unique porous structure is formed due to the micellization of the amphiphilic DBS- with the hydrophilic benzenesulfonic group attached to the hydrous agarose gel chains, while the hydrophobic alkyl chain point to the pore centers. As a result, the DBS- micelles are almost immobile as compared with Na+, which can be reconsidered as a part of the gel matrix. The work shines a light on decoupling of cation/anion thermodiffusion through tailoring the microstructure of the quasi-solid i-TE materials.",,,,,pending_human
