concept,concept_type,doc_freq,score,graph_role
biphase-solvation liquid thermocell,solvation_entropy,3,999999.0,recommendation_candidate
metal-oxide nanostructured electrode,electrode_interface,3,999999.0,recommendation_candidate
evaporation-assisted concentration gradient,transport_mechanism,2,999999.0,recommendation_candidate
gelma ion-induced crystallization,phase_or_species_transition,2,999999.0,recommendation_candidate
bidirectional cationic anchoring thermodiffusion,transport_mechanism,2,999999.0,recommendation_candidate
antisolvent high-entropy liquid-flow thermocell,solvation_entropy,2,999999.0,recommendation_candidate
3d ion-channel hydration network,gel_microstructure,2,999999.0,recommendation_candidate
alkaline-fuel-cell waste-heat cascade,device_function,2,999999.0,recommendation_candidate
crown-ether cation complexation,solvation_entropy,2,999999.0,recommendation_candidate
coupling- hydrogel thermoelectric effect,material_system,2,999999.0,recommendation_candidate
chaotropic salts,gel_microstructure,2,999999.0,recommendation_candidate
resistance-gated thermogalvanic wearable,device_function,2,999999.0,recommendation_candidate
thermosensitive crystallization,phase_or_species_transition,2,999999.0,recommendation_candidate
water-state regulated mxene hydrogel,gel_microstructure,2,999999.0,recommendation_candidate
zinc-iodine thermal charging cell,device_function,2,999999.0,recommendation_candidate
supporting-electrolyte viscosity/resistance tradeoff,transport_mechanism,2,999999.0,recommendation_candidate
thermal management thermogalvanic gel,device_function,2,999999.0,recommendation_candidate
thermal-potential-induced redox reaction,redox_chemistry,2,999999.0,recommendation_candidate
polymer-electrolyte soret spectroscopy,transport_mechanism,2,999999.0,recommendation_candidate
porous/pin-electrode thermal-gradient architecture,electrode_interface,2,999999.0,recommendation_candidate
pva photothermal hydrogel,device_function,2,999999.0,recommendation_candidate
polarized-membrane ionic thermal potential,transport_mechanism,2,999999.0,recommendation_candidate
eumelanin. photothermal water transpiration creates thermal gradients,device_function,1,999999.0,recommendation_candidate
evaporation charged nanochannel drive ionic thermoelectric,transport_mechanism,1,999999.0,recommendation_candidate
facilitates anion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
facilitating anion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
fe(cn)6 3-/4-. guanidinium-induced ferri/ferrocyanide crystallization,redox_chemistry,1,999999.0,recommendation_candidate
fe2+/3+ n-type thermocells. hollow mxene microspheres reduce restacking,redox_chemistry,1,999999.0,recommendation_candidate
fe2+/fe3+ redox couple gel-fe24. fe2+/fe3+ concentration modulates thermodiffusion,redox_chemistry,1,999999.0,recommendation_candidate
fe3+/fe2+. dmso-eg hydrogen bonding prevents crystallization/evaporation,redox_chemistry,1,999999.0,recommendation_candidate
/k3 redox electrolyte. photothermal layer creates temperature gradient,device_function,1,999999.0,recommendation_candidate
fecl3/fecl2 electrolyte. guanidinium enhances ion separation/thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
fecl3/fecl2. bmim+/h2po4- thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
fenc accelerates inner-sphere redox kinetics at low cost,electrode_interface,1,999999.0,recommendation_candidate
gdm+-ferrocyanide crystallization improve n/p thermogalvanic performance,phase_or_species_transition,1,999999.0,recommendation_candidate
ge/te ionic-size/charge-transfer effects form site-disordered alloys correlated,electrode_interface,1,999999.0,recommendation_candidate
etched carbon-cloth redox interface,electrode_interface,1,999999.0,recommendation_candidate
entropy-charge coupled transport. symmetric treatment of entropy,material_system,1,999999.0,recommendation_candidate
entropy of transfer,material_system,1,999999.0,recommendation_candidate
entropy difference of thermogalvanic ions at subzero temperatures,material_system,1,999999.0,recommendation_candidate
eastman entropy divalent cations produce stronger n-type thermopower,solvation_entropy,1,999999.0,recommendation_candidate
edge salt crystallization,phase_or_species_transition,1,999999.0,recommendation_candidate
effects heat-flux definition controls interpretation of interfacial heat,material_system,1,999999.0,recommendation_candidate
electric-field thermoelectric treatment promote linbo3 nanocrystallization,phase_or_species_transition,1,999999.0,recommendation_candidate
electrolyte-filled nanochannel,transport_mechanism,1,999999.0,recommendation_candidate
electrostatic-interaction cationic hydrogel,gel_microstructure,1,999999.0,recommendation_candidate
electrostatic/ion-pi interactions raise redox entropy difference,solvation_entropy,1,999999.0,recommendation_candidate
eliminates soret effect,transport_mechanism,1,999999.0,recommendation_candidate
emim+-i3- interactions increase entropy/potential differences,material_system,1,999999.0,recommendation_candidate
enables low-temperature crystallization of nanoscale n-type lst perovskite,phase_or_species_transition,1,999999.0,recommendation_candidate
enhancing solvation entropy,solvation_entropy,1,999999.0,recommendation_candidate
enhancing soret-effect thermopower,property_metric,1,999999.0,recommendation_candidate
enhancing thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
enhancing thermodiffusion-driven ion transport,transport_mechanism,1,999999.0,recommendation_candidate
enlarge redox-ion entropy difference for subzero thermocell output,material_system,1,999999.0,recommendation_candidate
entropy carried,material_system,1,999999.0,recommendation_candidate
gete under high pressure. pressure-driven phase transitions,phase_or_species_transition,1,999999.0,recommendation_candidate
graphene oxide nanochannel membranes,transport_mechanism,1,999999.0,recommendation_candidate
increases charge-carrier thermal-diffusion entropy difference,material_system,1,999999.0,recommendation_candidate
increases eastman entropy of cation transport,solvation_entropy,1,999999.0,recommendation_candidate
increases fe(cn)6 redox entropy difference,solvation_entropy,1,999999.0,recommendation_candidate
increases fe3+-water redox solvation entropy,solvation_entropy,1,999999.0,recommendation_candidate
increases fe3+-water redox solvation entropy/ionic kinetics,solvation_entropy,1,999999.0,recommendation_candidate
increases polymer entropy elasticity,gel_microstructure,1,999999.0,recommendation_candidate
increases redox entropy change,solvation_entropy,1,999999.0,recommendation_candidate
increases redox entropy difference,solvation_entropy,1,999999.0,recommendation_candidate
increases redox reaction entropy change,redox_chemistry,1,999999.0,recommendation_candidate
increases solvation entropy/disorder,solvation_entropy,1,999999.0,recommendation_candidate
increasing configurational entropy difference,phase_or_species_transition,1,999999.0,recommendation_candidate
increasing redox entropy,solvation_entropy,1,999999.0,recommendation_candidate
inhibits thermosensitive crystal precipitation,phase_or_species_transition,1,999999.0,recommendation_candidate
interfacial entropy tune electrochemical thermopower within tio2,property_metric,1,999999.0,recommendation_candidate
interfacially modified ion diffusion channels,transport_mechanism,1,999999.0,recommendation_candidate
ion accumulation variation/soret effect,transport_mechanism,1,999999.0,recommendation_candidate
increases configurational entropy contribution to ionic migration entropy,phase_or_species_transition,1,999999.0,recommendation_candidate
increase redox entropy difference despite higher viscosity,solvation_entropy,1,999999.0,recommendation_candidate
hap/sio2/zno/zro2 nanoparticles. solid-liquid phase transition stores heat,phase_or_species_transition,1,999999.0,recommendation_candidate
increase polymer entropy elasticity,gel_microstructure,1,999999.0,recommendation_candidate
high-entropy agmnsn1-xpbxsbte4 solid solutions,solvation_entropy,1,999999.0,recommendation_candidate
high-entropy chalcogenide alloys (ge,solvation_entropy,1,999999.0,recommendation_candidate
high-entropy chalcogenides agmnpbsbte4,solvation_entropy,1,999999.0,recommendation_candidate
high-entropy gel thermocell,solvation_entropy,1,999999.0,recommendation_candidate
high-temperature thermal charging cells,device_function,1,999999.0,recommendation_candidate
hofmeister effects create dual thermoelectric behavior ion channels,transport_mechanism,1,999999.0,recommendation_candidate
hybrid entropy increase,material_system,1,999999.0,recommendation_candidate
hydrogel nanochannel control greatly increase seebeck coefficient,property_metric,1,999999.0,recommendation_candidate
hydrogen bonding enable p-type thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
i2/ki/emim bf4 electrolyte. bf4- chaotropicity,gel_microstructure,1,999999.0,recommendation_candidate
improve fe2+/3+ redox kinetics,redox_chemistry,1,999999.0,recommendation_candidate
improving li+ thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
dual-ion complexation,material_system,1,999999.0,recommendation_candidate
antisolvent. ethanol antisolvent alters fe(cn)6 4- solvation shell,solvation_entropy,1,999999.0,recommendation_candidate
beta-cyclodextrin. beta-cyclodextrin host-guest interaction changes redox entropy,solvation_entropy,1,999999.0,recommendation_candidate
binder-free ti3c2tx mxene mxene ppy electrode. acid,material_system,1,999999.0,recommendation_candidate
biomimetic conical nanochannel membrane. directed ionic flow,transport_mechanism,1,999999.0,recommendation_candidate
boost thermal charging,device_function,1,999999.0,recommendation_candidate
butler-volmer behavior cscl alters solvation,material_system,1,999999.0,recommendation_candidate
carbon nanotube/cellulose nanocrystal photothermal nanocomposite,device_function,1,999999.0,recommendation_candidate
carboxylated chitosan redox additive,material_system,1,999999.0,recommendation_candidate
cationic reduced soret coefficient dominating output,transport_mechanism,1,999999.0,recommendation_candidate
cb/mwcnt photothermal materials,device_function,1,999999.0,recommendation_candidate
ch3so3- slows anion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
chaotropic comonomer,gel_microstructure,1,999999.0,recommendation_candidate
benzoquinone/hydroquinone redox couple. proton thermodiffusion couples,redox_chemistry,1,999999.0,recommendation_candidate
chaotropic cosolvent. chaotropic effect disrupts hydrogen bonding,gel_microstructure,1,999999.0,recommendation_candidate
antifreezing ability mxene reinforces gelation,material_system,1,999999.0,recommendation_candidate
3d multi-structured electrode. cu2+ crystallization boosts thermopower,property_metric,1,999999.0,recommendation_candidate
3d-printable shape-customized hydrogel thermocell,gel_microstructure,1,999999.0,recommendation_candidate
3d-printed h2/electrolyte microchannels. internal gas/liquid transport,device_function,1,999999.0,recommendation_candidate
4-/3- redox couple. ion salts provide thermodiffusion,redox_chemistry,1,999999.0,recommendation_candidate
4-/3-. guanidine-induced ferrocyanide crystallization raises thermopower,property_metric,1,999999.0,recommendation_candidate
4-/3-. li2so4 thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
4-/3-. synergistic thermodiffusion of salt ions,transport_mechanism,1,999999.0,recommendation_candidate
acetic acid. acetic-acid complexation controls crystallinity/morphology,material_system,1,999999.0,recommendation_candidate
adding soret contribution to thermogalvanic voltage,transport_mechanism,1,999999.0,recommendation_candidate
al2o3 anodic aluminum oxide nanochannel membranes,transport_mechanism,1,999999.0,recommendation_candidate
aligned nanochannel,transport_mechanism,1,999999.0,recommendation_candidate
amide derivatives enlarge redox entropy difference,solvation_entropy,1,999999.0,recommendation_candidate
amplifies cation thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
amplifying thermogalvanic entropy difference,material_system,1,999999.0,recommendation_candidate
chaotropic comonomer/cosolvent,gel_microstructure,1,999999.0,recommendation_candidate
chaotropic ions,gel_microstructure,1,999999.0,recommendation_candidate
double-layer energy controlling soret coefficient,transport_mechanism,1,999999.0,recommendation_candidate
crown-ether-mediated ion migration,transport_mechanism,1,999999.0,recommendation_candidate
cs0.32wo3 nanoparticle nir photothermal nanofiber membrane coupled,gel_microstructure,1,999999.0,recommendation_candidate
cu electrode. mxene tunes cu2+/cl- thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
cu/cu2+ dmso/water thermoelectric organohydrogel,redox_chemistry,1,999999.0,recommendation_candidate
cu2-xse superionic conductor. first-order superionic phase transition,phase_or_species_transition,1,999999.0,recommendation_candidate
cu3bis3. polymorphic phase transition,phase_or_species_transition,1,999999.0,recommendation_candidate
decomposition-layer thermogalvanic profiling,electrode_interface,1,999999.0,recommendation_candidate
decoupling cation/anion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
different charge-transfer resistances,electrode_interface,1,999999.0,recommendation_candidate
diffusion in the polymer matrix generates thermodiffusion voltage,transport_mechanism,1,999999.0,recommendation_candidate
diffusion produce ion-specific soret coefficients,transport_mechanism,1,999999.0,recommendation_candidate
directing low-temperature chalcogenide crystallization,phase_or_species_transition,1,999999.0,recommendation_candidate
dmso-water hydrogen bonding gives anti-freezing,material_system,1,999999.0,recommendation_candidate
dmso/water thermogalvanic organohydrogel electrolyte,gel_microstructure,1,999999.0,recommendation_candidate
coupling thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
chi. halide anion chaotropicity,gel_microstructure,1,999999.0,recommendation_candidate
chitosan complexation,material_system,1,999999.0,recommendation_candidate
cl- determine soret minima,transport_mechanism,1,999999.0,recommendation_candidate
cnt photothermal conversion reinforce rubber,device_function,1,999999.0,recommendation_candidate
cnt/il network adds photothermal,device_function,1,999999.0,recommendation_candidate
cnt/rgo photothermal top layer,device_function,1,999999.0,recommendation_candidate
colligative effects suppress ice crystallization,phase_or_species_transition,1,999999.0,recommendation_candidate
colloidal particles in liquid media. thermogalvanic redox entropy,solvation_entropy,1,999999.0,recommendation_candidate
competition between soret thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
coordination species. ion speciation tunes coupled thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
copper electrode. hcl accelerates q/hq redox kinetics,electrode_interface,1,999999.0,recommendation_candidate
cotton-carbon photothermal fabric hanging evaporator,device_function,1,999999.0,recommendation_candidate
cotton/ppy photothermal layer,device_function,1,999999.0,recommendation_candidate
self-assembled aerogel sheet electrode,electrode_interface,1,999999.0,recommendation_candidate
sio2 nanoparticles create ion channels,transport_mechanism,1,999999.0,recommendation_candidate
smart-wound thermogalvanic dressing,device_function,1,999999.0,recommendation_candidate
solar-thermal liquid thermogalvanic generator,device_function,1,999999.0,recommendation_candidate
solvation structure,material_system,1,999999.0,recommendation_candidate
soret coefficient,transport_mechanism,1,999999.0,recommendation_candidate
soret coefficients of hcl in aqueous 2-propanol,transport_mechanism,1,999999.0,recommendation_candidate
soret concentration gradients develop on bulk diffusion time,transport_mechanism,1,999999.0,recommendation_candidate
soret effect generates ionic thermovoltage,transport_mechanism,1,999999.0,recommendation_candidate
soret effect reversibly switches seebeck polarity,property_metric,1,999999.0,recommendation_candidate
soret ion diffusion,transport_mechanism,1,999999.0,recommendation_candidate
soret thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
soret-effect ion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
soret-effect ionic thermoelectricity,transport_mechanism,1,999999.0,recommendation_candidate
silicon nanochannel,transport_mechanism,1,999999.0,recommendation_candidate
selective-ion-doping bidirectional thermopower,transport_mechanism,1,999999.0,recommendation_candidate
speed li+ conduction for thermal charging,device_function,1,999999.0,recommendation_candidate
redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,electrode_interface,1,999999.0,recommendation_candidate
redox-couple concentrations tune thermogalvanic redox entropy,solvation_entropy,1,999999.0,recommendation_candidate
redox-split chemical heterogeneity,transport_mechanism,1,999999.0,recommendation_candidate
reduce charge-transfer resistance,electrode_interface,1,999999.0,recommendation_candidate
reduce charge-transfer resistance for high body-heat power output,electrode_interface,1,999999.0,recommendation_candidate
reduces hygroscopic ion channels,transport_mechanism,1,999999.0,recommendation_candidate
refrigeration performance,material_system,1,999999.0,recommendation_candidate
reversible cu2se/cu2-xse/cuse/cuse2 phase transitions accelerate cu2+ storage,phase_or_species_transition,1,999999.0,recommendation_candidate
salts near titanium electrode. different cation/anion soret coefficients,transport_mechanism,1,999999.0,recommendation_candidate
sam-stabilized electrostatic electrocatalysis,electrode_interface,1,999999.0,recommendation_candidate
selective fe2+-nitrile solvation enlarge redox entropy change,solvation_entropy,1,999999.0,recommendation_candidate
selective ion transport pathways that enhance thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
species. thermodiffusion of electrolyte ions plus iodide/triiodide- conversion,redox_chemistry,1,999999.0,recommendation_candidate
stretchable freeze-tolerant organohydrogel thermocell,gel_microstructure,1,999999.0,recommendation_candidate
redox couple. polymer network alters redox solvation shell,redox_chemistry,1,999999.0,recommendation_candidate
thermogalvanic ions. bionic training aligns ion channels,transport_mechanism,1,999999.0,recommendation_candidate
thermogalvanic quasi-solid systems. reviewed ion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
ti3c2tx mxene mxene hollow microsphere nanocomposite electrode,material_system,1,999999.0,recommendation_candidate
tuned counterions. counterion entropy/hydration controls thermophoretic,material_system,1,999999.0,recommendation_candidate
tuning solvent entropy rather than only redox-ion solvation,solvation_entropy,1,999999.0,recommendation_candidate
urea additives. guanidinium chaotropic cations,gel_microstructure,1,999999.0,recommendation_candidate
urea amide derivatives synergistically enlarge redox entropy difference,solvation_entropy,1,999999.0,recommendation_candidate
urea. chaotropic cations,gel_microstructure,1,999999.0,recommendation_candidate
urea. reconstructed lignocellulose ion channels enriched,transport_mechanism,1,999999.0,recommendation_candidate
water-vapor entropy reduce heat convection,material_system,1,999999.0,recommendation_candidate
y-shaped microchannel liquid-flow thermocell,device_function,1,999999.0,recommendation_candidate
zinc-ion thermal charging supercapacitor,device_function,1,999999.0,recommendation_candidate
thermogalvanic ions. chaotropic effects disrupt hydrogen bonding,gel_microstructure,1,999999.0,recommendation_candidate
thermogalvanic effects fe2+/fe3+ complexation,redox_chemistry,1,999999.0,recommendation_candidate
thermoelectric soret contributions,transport_mechanism,1,999999.0,recommendation_candidate
suppressing cation thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
suppressing thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
surface solvation structures,material_system,1,999999.0,recommendation_candidate
temperature-sensitive phase transition,phase_or_species_transition,1,999999.0,recommendation_candidate
ternary 3d transition-metal compounds. ionic-model charge-transfer energy,electrode_interface,1,999999.0,recommendation_candidate
thermal-diffusion potentials reveal ag+ entropy/activity effects,material_system,1,999999.0,recommendation_candidate
thermodiffusion effects jointly contribute,transport_mechanism,1,999999.0,recommendation_candidate
thermodiffusion entropy terms,transport_mechanism,1,999999.0,recommendation_candidate
thermodiffusion to produce giant thermoelectric response,transport_mechanism,1,999999.0,recommendation_candidate
thermodiffusion-assisted n-type thermogalvanic cell,transport_mechanism,1,999999.0,recommendation_candidate
thermoelectric fields determine thermophoresis/soret behavior,transport_mechanism,1,999999.0,recommendation_candidate
thermoelectric refrigeration,material_system,1,999999.0,recommendation_candidate
redox entropy cu/cuso4 follows characteristic seebeck models,solvation_entropy,1,999999.0,recommendation_candidate
radiative-cooling thermogalvanic night generator,device_function,1,999999.0,recommendation_candidate
moisture-gradient- ionic thermoelectric generator. coupled heat,material_system,1,999999.0,recommendation_candidate
mxene adds emi shielding,material_system,1,999999.0,recommendation_candidate
mxene electrode,electrode_interface,1,999999.0,recommendation_candidate
mxene ppy electrode add photothermal/electrochemical performance,device_function,1,999999.0,recommendation_candidate
mxene. des/cnf ionic gel provides high thermopower,property_metric,1,999999.0,recommendation_candidate
mxene/pva hydrogel,material_system,1,999999.0,recommendation_candidate
mxene/pva hydrogel ionic thermoelectric,material_system,1,999999.0,recommendation_candidate
nacl ion-conductive ipgh. na+ thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
nanochannel membrane,transport_mechanism,1,999999.0,recommendation_candidate
nanochannel-based ionic thermoelectric systems. soret-driven ion migration,transport_mechanism,1,999999.0,recommendation_candidate
natural ficus elastica leaves. anion thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
negative-thermopower ionic organohydrogel,property_metric,1,999999.0,recommendation_candidate
memsa/gdmcl tune ferricyanide solvation to enhance seebeck coefficient,property_metric,1,999999.0,recommendation_candidate
nerve-impulse ionic/electric-charge system in neural tissue. entropy,material_system,1,999999.0,recommendation_candidate
magnesium-ion thermal charging cell,device_function,1,999999.0,recommendation_candidate
ion-transport highway. thermosensitive crystallization,phase_or_species_transition,1,999999.0,recommendation_candidate
ionic conductive organohydrogels,gel_microstructure,1,999999.0,recommendation_candidate
ionic conductivity for coupled thermogalvanic/thermodiffusion output,property_metric,1,999999.0,recommendation_candidate
ionic species under temperature gradients. soret,transport_mechanism,1,999999.0,recommendation_candidate
ionic thermodiffusion rate,transport_mechanism,1,999999.0,recommendation_candidate
ionic thermodiffusion/soret effect. humidity-dependent ion conductivity,property_metric,1,999999.0,recommendation_candidate
ionic thermoelectric potential from soret effect,transport_mechanism,1,999999.0,recommendation_candidate
ionic-liquid/solvent mixtures. selective solvation,solvation_entropy,1,999999.0,recommendation_candidate
ions provide soret effect,transport_mechanism,1,999999.0,recommendation_candidate
kcl complexation enhance redox entropy/concentration difference,solvation_entropy,1,999999.0,recommendation_candidate
kcl supports thermodiffusion for self-powered morse-code information conversion,transport_mechanism,1,999999.0,recommendation_candidate
li-ion trec electrode-selection thermodynamics,electrode_interface,1,999999.0,recommendation_candidate
liquid metal electrode. chaotropic salts modify solvation shell,electrode_interface,1,999999.0,recommendation_candidate
liquid-metal electrode. salt-modified solvation,electrode_interface,1,999999.0,recommendation_candidate
lowering charge-transfer/diffusion resistance,transport_mechanism,1,999999.0,recommendation_candidate
lowers charge-transfer/diffusion resistance,transport_mechanism,1,999999.0,recommendation_candidate
negatively charged electrolyte nanochannel,transport_mechanism,1,999999.0,recommendation_candidate
radiative-cooling structure. chaotropic effect raises seebeck coefficient,property_metric,1,999999.0,recommendation_candidate
polarity to large redox solvation entropy differences,solvation_entropy,1,999999.0,recommendation_candidate
polyelectrolytes in nanochannel. overlapping electric double layers,transport_mechanism,1,999999.0,recommendation_candidate
polymer matrices to control ionic entropy,material_system,1,999999.0,recommendation_candidate
polymer-regulated hq/bq equilibrium,solvation_entropy,1,999999.0,recommendation_candidate
precipitation-driven species redistribution,phase_or_species_transition,1,999999.0,recommendation_candidate
precipitation-driven thermogalvanic conversion,phase_or_species_transition,1,999999.0,recommendation_candidate
prevents precipitation,phase_or_species_transition,1,999999.0,recommendation_candidate
printed thermogalvanic module integration,device_function,1,999999.0,recommendation_candidate
producing entropy-driven thermoelectrochemical voltage,material_system,1,999999.0,recommendation_candidate
promotes ion desolvation,material_system,1,999999.0,recommendation_candidate
promoting cation thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
propylene carbonate. selective solvation between ionic liquid,solvation_entropy,1,999999.0,recommendation_candidate
proton soret effect,transport_mechanism,1,999999.0,recommendation_candidate
pva/peg/fe3+/fe2+ thermogalvanic organohydrogel,redox_chemistry,1,999999.0,recommendation_candidate
nir photothermal release enables therapy,device_function,1,999999.0,recommendation_candidate
photothermal layer creates in-plane temperature gradient,device_function,1,999999.0,recommendation_candidate
nucleates ferrocyanide crystallization,phase_or_species_transition,1,999999.0,recommendation_candidate
onion-epidermal-cell-like structure. soret effect synergizes,transport_mechanism,1,999999.0,recommendation_candidate
opposite-entropy redox pairs,redox_chemistry,1,999999.0,recommendation_candidate
organohydrogel thermocell,gel_microstructure,1,999999.0,recommendation_candidate
oriented ionic transport nanochannel maintain ionic transport,transport_mechanism,1,999999.0,recommendation_candidate
oriented ionic transport nanochannel. oxygen-containing functional groups,transport_mechanism,1,999999.0,recommendation_candidate
paam/paa gel electrolyte. electrolyte thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
pam/cmc/li2so4/ 4-/3- double-network hydrogel. li2so4 thermodiffusion,transport_mechanism,1,999999.0,recommendation_candidate
partly suppress cu precipitation/degradation,phase_or_species_transition,1,999999.0,recommendation_candidate
pem proton-coupled thermoelectrochemical converter,transport_mechanism,1,999999.0,recommendation_candidate
photocatalytic redox-gradient regeneration,device_function,1,999999.0,recommendation_candidate
photothermal conversion,device_function,1,999999.0,recommendation_candidate
photothermal heating drives thermogalvanic voltage under sunlight,device_function,1,999999.0,recommendation_candidate
photothermal hydrogel generates temperature gradient for solar evaporation,device_function,1,999999.0,recommendation_candidate
3-/4-. water-containing des modulates redox solvation shell,solvation_entropy,1,999999.0,recommendation_candidate
seebeck coefficient electrical conductivity,property_metric,34,287.1756170626243,recommendation_candidate
electrical conductivity seebeck coefficient,property_metric,31,266.4665535599874,recommendation_candidate
ionic seebeck coefficient mv,property_metric,29,252.39452486271273,recommendation_candidate
ionic thermoelectric i-te materials,material_system,29,252.39452486271273,recommendation_candidate
maximum power density,property_metric,33,252.2912309211067,recommendation_candidate
thermal conductivity high,property_metric,31,239.81989820398866,recommendation_candidate
electrical transport,material_system,34,229.74049365009947,recommendation_candidate
ionic thermoelectrics,material_system,34,229.74049365009947,recommendation_candidate
heat-to-electricity conversion,material_system,34,229.74049365009947,recommendation_candidate
elevated temperatures,material_system,34,229.74049365009947,recommendation_candidate
low temperatures,material_system,34,229.74049365009947,recommendation_candidate
molecular dynamics simulations,material_system,29,227.15507237644147,recommendation_candidate
conductivity thermoelectric power,property_metric,29,227.15507237644147,recommendation_candidate
thermoelectric hydrogel,material_system,33,224.2588719298726,recommendation_candidate
electronic conductivity,property_metric,33,224.2588719298726,recommendation_candidate
absorption coefficient,material_system,33,224.2588719298726,recommendation_candidate
ultralow lattice thermal conductivity,property_metric,25,223.54402210230913,recommendation_candidate
poly styrenesulfonate pedot:pss,material_system,28,220.74600401659796,recommendation_candidate
poly styrenesulfonate pedot,material_system,28,220.74600401659796,recommendation_candidate
ultralow thermal conductivity,property_metric,28,220.74600401659796,recommendation_candidate
n-type ionic,material_system,32,218.736874965778,recommendation_candidate
thermogalvanic redox,material_system,32,218.736874965778,recommendation_candidate
large seebeck,property_metric,32,218.736874965778,recommendation_candidate
increase seebeck coefficient,property_metric,27,214.2834166112188,recommendation_candidate
thermal transport property,material_system,27,214.2834166112188,recommendation_candidate
solid solution,material_system,31,213.1732428479899,recommendation_candidate
