concept,concept_type,doc_freq,score
fe(cn)6 3-/4-. guanidinium-induced ferricyanide/ferrocyanide crystallization,redox_chemistry,1,999999.0
fe2+/3+ n-type thermocells. hollow mxene microspheres reduce restacking,material_system,1,999999.0
fe2+/fe3+ redox couple gel-fe24. fe2+/fe3+ concentration modulates thermodiffusion,redox_chemistry,1,999999.0
fe3+/fe2+. dmso-eg hydrogen bonding prevents crystallization/evaporation,redox_chemistry,1,999999.0
fecl3/fecl2 electrolyte. guanidinium enhances ion separation/thermodiffusion,transport_mechanism,1,999999.0
fecl3/fecl2. bmim+/h2po4- thermodiffusion,transport_mechanism,1,999999.0
fenc accelerates inner-sphere redox kinetics at low cost,electrode_interface,1,999999.0
fields determine thermophoresis/soret behavior,transport_mechanism,1,999999.0
gdm+-ferrocyanide crystallization improve n/p thermogalvanic,phase_or_species_transition,1,999999.0
ge/te ionic-size/charge-transfer effects form site-disordered alloys correlated,electrode_interface,1,999999.0
etched carbon-cloth redox interface,electrode_interface,1,999999.0
entropy-charge coupled transport. symmetric treatment of entropy,material_system,1,999999.0
entropy of transfer,material_system,1,999999.0
entropy difference of thermogalvanic ions at subzero temperatures,material_system,1,999999.0
eastman entropy divalent cations produce stronger n-type thermopower,material_system,1,999999.0
edge salt crystallization,phase_or_species_transition,1,999999.0
electric-field thermoelectric treatment promote linbo3 nanocrystallization,phase_or_species_transition,1,999999.0
electrolyte-filled nanochannels,transport_mechanism,1,999999.0
electrostatic-interaction cationic hydrogel,gel_microstructure,1,999999.0
electrostatic/ion-pi interactions raise redox entropy difference,material_system,1,999999.0
eliminates soret,transport_mechanism,1,999999.0
emim+-i3- interactions increase entropy/potential differences,material_system,1,999999.0
enables low-temperature crystallization of nanoscale n-type lst perovskite,phase_or_species_transition,1,999999.0
enhancing solvation entropy,solvation_entropy,1,999999.0
enhancing soret-effect thermopower,transport_mechanism,1,999999.0
enhancing thermodiffusion,transport_mechanism,1,999999.0
enhancing thermodiffusion-driven ion transport,transport_mechanism,1,999999.0
enlarge redox-ion entropy difference for subzero thermocell output,material_system,1,999999.0
entropy carried,material_system,1,999999.0
gete under high pressure. pressure-driven phase transitions,phase_or_species_transition,1,999999.0
graphene oxide nanochannel membranes,transport_mechanism,1,999999.0
increase polymer entropy elasticity,gel_microstructure,1,999999.0
increases charge-carrier thermal-diffusion entropy difference,material_system,1,999999.0
increases configurational entropy contribution to ionic migration entropy,phase_or_species_transition,1,999999.0
increases eastman entropy of cation transport,transport_mechanism,1,999999.0
increases fe(cn)6 redox entropy difference,redox_chemistry,1,999999.0
increases fe3+-water redox solvation entropy,solvation_entropy,1,999999.0
increases fe3+-water redox solvation entropy/ionic kinetics,solvation_entropy,1,999999.0
increases polymer entropy elasticity,gel_microstructure,1,999999.0
increases redox entropy change,material_system,1,999999.0
increases redox entropy difference,material_system,1,999999.0
increases redox reaction entropy change,material_system,1,999999.0
increases solvation entropy/disorder,solvation_entropy,1,999999.0
increasing configurational entropy difference,phase_or_species_transition,1,999999.0
increasing redox entropy,material_system,1,999999.0
inhibits thermosensitive crystal precipitation,phase_or_species_transition,1,999999.0
interfacial entropy tune electrochemical thermopower within tio2,material_system,1,999999.0
interfacially modified ion diffusion channels,transport_mechanism,1,999999.0
increase redox entropy difference despite higher viscosity,transport_mechanism,1,999999.0
improving li+ thermodiffusion,transport_mechanism,1,999999.0
improve fe2+/3+ redox kinetics,electrode_interface,1,999999.0
hap/sio2/zno/zro2 nanoparticles. solid-liquid phase transition stores,phase_or_species_transition,1,999999.0
heat-flux definition controls interpretation of interfacial,material_system,1,999999.0
high-entropy agmnsn1-xpbxsbte4 solid solutions,solvation_entropy,1,999999.0
high-entropy chalcogenide alloys (ge,solvation_entropy,1,999999.0
high-entropy chalcogenides agmnpbsbte4,solvation_entropy,1,999999.0
high-entropy gel thermocell,solvation_entropy,1,999999.0
high-temperature thermal charging cells,device_function,1,999999.0
hofmeister effects create dual thermoelectric behavior ion channels,transport_mechanism,1,999999.0
hybrid entropy increase,material_system,1,999999.0
hydrogel nanochannel control greatly increase seebeck coefficient,transport_mechanism,1,999999.0
hydrogen bonding enable p-type thermodiffusion,transport_mechanism,1,999999.0
i2/ki/emim bf4 electrolyte. bf4- chaotropicity,gel_microstructure,1,999999.0
dual-ion complexation,material_system,1,999999.0
double-layer energy controlling soret coefficient,transport_mechanism,1,999999.0
ion accumulation variation/soret,transport_mechanism,1,999999.0
butler-volmer behavior cscl alters solvation,material_system,1,999999.0
benzoquinone/hydroquinone redox couple. proton thermodiffusion couples,redox_chemistry,1,999999.0
beta-cyclodextrin. beta-cyclodextrin host-guest interaction changes redox entropy,solvation_entropy,1,999999.0
binder-free ti3c2tx mxene ppy electrodes. acid,material_system,1,999999.0
biomimetic conical nanochannel membrane. directed ionic flow,transport_mechanism,1,999999.0
boost thermal charging,device_function,1,999999.0
carbon nanotube/cellulose nanocrystal photothermal nanocomposite,device_function,1,999999.0
dmso/water thermogalvanic organohydrogel electrolyte,gel_microstructure,1,999999.0
carboxylated chitosan redox additive,material_system,1,999999.0
cationic reduced soret coefficient dominating output,transport_mechanism,1,999999.0
cb/mwcnt photothermal,device_function,1,999999.0
ch3so3- slows anion thermodiffusion,transport_mechanism,1,999999.0
chaotropic comonomer,gel_microstructure,1,999999.0
antisolvent. ethanol antisolvent alters fe(cn)6 4- solvation shell,redox_chemistry,1,999999.0
antifreezing ability mxene reinforces gelation,material_system,1,999999.0
/k3 redox electrolyte. photothermal layer creates temperature gradient,device_function,1,999999.0
3-/4-. water-containing des modulates redox solvation shells,material_system,1,999999.0
3d multi-structured electrodes. cu2+ crystallization boosts thermopower,phase_or_species_transition,1,999999.0
3d-printable shape-customized hydrogel thermocell,gel_microstructure,1,999999.0
3d-printed h2/electrolyte microchannels. internal gas/liquid transport,device_function,1,999999.0
4-/3- redox couple. ion salts provide thermodiffusion,transport_mechanism,1,999999.0
4-/3-. guanidine-induced ferrocyanide crystallization raises thermopower,phase_or_species_transition,1,999999.0
4-/3-. li2so4 thermodiffusion,transport_mechanism,1,999999.0
4-/3-. synergistic thermodiffusion of salt ions,transport_mechanism,1,999999.0
acetic acid. acetic-acid complexation controls crystallinity/morphology,material_system,1,999999.0
adding soret contribution to thermogalvanic voltage,transport_mechanism,1,999999.0
al2o3 anodic aluminum oxide nanochannel membranes,transport_mechanism,1,999999.0
aligned nanochannels,transport_mechanism,1,999999.0
amide derivatives enlarge redox entropy difference,material_system,1,999999.0
amplifies cation thermodiffusion,transport_mechanism,1,999999.0
chaotropic comonomer/cosolvent,gel_microstructure,1,999999.0
chaotropic cosolvent. chaotropic effect disrupts hydrogen bonding,gel_microstructure,1,999999.0
chaotropic ions,gel_microstructure,1,999999.0
crown-ether-mediated ion migration,transport_mechanism,1,999999.0
cs0.32wo3 nanoparticle nir photothermal nanofiber membrane coupled,gel_microstructure,1,999999.0
cu electrodes. mxene tunes cu2+/cl- thermodiffusion,transport_mechanism,1,999999.0
cu/cu2+ dmso/water thermoelectric organohydrogel,redox_chemistry,1,999999.0
cu2-xse superionic conductor. first-order superionic phase transition,phase_or_species_transition,1,999999.0
cu3bis3. polymorphic phase transition,phase_or_species_transition,1,999999.0
decomposition-layer thermogalvanic profiling,electrode_interface,1,999999.0
decoupling cation/anion thermodiffusion,transport_mechanism,1,999999.0
different charge-transfer resistances,electrode_interface,1,999999.0
diffusion in the polymer matrix generates thermodiffusion voltage,transport_mechanism,1,999999.0
diffusion produce ion-specific soret coefficients,transport_mechanism,1,999999.0
directing low-temperature chalcogenide crystallization,phase_or_species_transition,1,999999.0
dmso-water hydrogen bonding gives anti-freezing,material_system,1,999999.0
coupling thermodiffusion,transport_mechanism,1,999999.0
cotton/ppy photothermal layer,device_function,1,999999.0
chi. halide anion chaotropicity,gel_microstructure,1,999999.0
chitosan complexation,material_system,1,999999.0
cl- determine soret minima,transport_mechanism,1,999999.0
cnt photothermal conversion reinforce rubber,device_function,1,999999.0
cnt/il network adds photothermal,device_function,1,999999.0
cnt/rgo photothermal top layer,device_function,1,999999.0
colligative effects suppress ice crystallization,phase_or_species_transition,1,999999.0
colloidal particles in liquid media. thermogalvanic redox entropy,material_system,1,999999.0
competition between soret thermodiffusion,transport_mechanism,1,999999.0
coordination species. ion speciation tunes coupled thermodiffusion,transport_mechanism,1,999999.0
copper electrode. hcl accelerates q/hq redox kinetics,electrode_interface,1,999999.0
cotton-carbon photothermal fabric hanging evaporator,device_function,1,999999.0
amplifying thermogalvanic entropy difference,material_system,1,999999.0
selective fe2+-nitrile solvation enlarge redox entropy change,solvation_entropy,1,999999.0
selective-ion-doping bidirectional thermopower,transport_mechanism,1,999999.0
self-assembled aerogel sheet electrode,electrode_interface,1,999999.0
silicon nanochannels,transport_mechanism,1,999999.0
sio2 nanoparticles create ion channels,transport_mechanism,1,999999.0
smart-wound thermogalvanic dressing,device_function,1,999999.0
solar-thermal liquid thermogalvanic generator,device_function,1,999999.0
solvation structure,material_system,1,999999.0
soret coefficient,transport_mechanism,1,999999.0
soret coefficients of hcl in aqueous 2-propanol,transport_mechanism,1,999999.0
soret concentration gradients develop on bulk diffusion time,transport_mechanism,1,999999.0
soret contributions,transport_mechanism,1,999999.0
soret effect generates ionic thermovoltage,transport_mechanism,1,999999.0
soret effect reversibly switches seebeck polarity,transport_mechanism,1,999999.0
selective ion transport pathways that enhance thermodiffusion,transport_mechanism,1,999999.0
sam-stabilized electrostatic electrocatalysis,electrode_interface,1,999999.0
soret thermodiffusion,transport_mechanism,1,999999.0
salts near titanium electrodes. different cation/anion soret coefficients,transport_mechanism,1,999999.0
radiative-cooling structure. chaotropic effect raises seebeck coefficient,gel_microstructure,1,999999.0
radiative-cooling thermogalvanic night generator,device_function,1,999999.0
redox couple. polymer network alters redox solvation shells,material_system,1,999999.0
redox entropy cu/cuso4 follows characteristic seebeck models,material_system,1,999999.0
redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,transport_mechanism,1,999999.0
redox-couple concentrations tune thermogalvanic redox entropy,material_system,1,999999.0
redox-split chemical heterogeneity,transport_mechanism,1,999999.0
reduce charge-transfer resistance,electrode_interface,1,999999.0
reduce charge-transfer resistance for high body-heat power output,electrode_interface,1,999999.0
reduces hygroscopic ion channels,transport_mechanism,1,999999.0
reversible cu2se/cu2-xse/cuse/cuse2 phase transitions accelerate cu2+ storage,phase_or_species_transition,1,999999.0
soret ion diffusion,transport_mechanism,1,999999.0
pva/peg/fe3+/fe2+ thermogalvanic organohydrogel,redox_chemistry,1,999999.0
thermogalvanic ions. chaotropic effects disrupt hydrogen bonding,gel_microstructure,1,999999.0
ti3c2tx mxene hollow microsphere nanocomposite electrodes,material_system,1,999999.0
tuned counterions. counterion entropy/hydration controls thermophoretic,material_system,1,999999.0
tuning solvent entropy rather than only redox-ion solvation,solvation_entropy,1,999999.0
urea additives. guanidinium chaotropic cations,gel_microstructure,1,999999.0
urea amide derivatives synergistically enlarge redox entropy difference,material_system,1,999999.0
urea. chaotropic cations,gel_microstructure,1,999999.0
urea. reconstructed lignocellulose ion channels enriched,transport_mechanism,1,999999.0
water-vapor entropy reduce heat convection,material_system,1,999999.0
y-shaped microchannel liquid-flow thermocell,device_function,1,999999.0
zinc-ion thermal charging supercapacitor,device_function,1,999999.0
thermogalvanic quasi-solid systems. reviewed ion thermodiffusion,transport_mechanism,1,999999.0
thermogalvanic ions. bionic training aligns ion channels,transport_mechanism,1,999999.0
soret-effect ion thermodiffusion,transport_mechanism,1,999999.0
thermogalvanic effects fe2+/fe3+ complexation,redox_chemistry,1,999999.0
soret-effect ionic thermoelectricity,transport_mechanism,1,999999.0
species. thermodiffusion of electrolyte ions plus i-/i3- conversion,redox_chemistry,1,999999.0
stretchable freeze-tolerant organohydrogel thermocell,gel_microstructure,1,999999.0
suppressing cation thermodiffusion,transport_mechanism,1,999999.0
suppressing thermodiffusion,transport_mechanism,1,999999.0
surface solvation structures,material_system,1,999999.0
temperature-sensitive phase transition,phase_or_species_transition,1,999999.0
ternary 3d transition-metal compounds. ionic-model charge-transfer,electrode_interface,1,999999.0
thermal-diffusion potentials reveal ag+ entropy/activity,material_system,1,999999.0
thermodiffusion effects jointly contribute,transport_mechanism,1,999999.0
thermodiffusion entropy terms,transport_mechanism,1,999999.0
thermodiffusion to produce giant thermoelectric response,transport_mechanism,1,999999.0
thermodiffusion-assisted n-type thermogalvanic cell,transport_mechanism,1,999999.0
speed li+ conduction for thermal charging,device_function,1,999999.0
moisture-gradient- ionic thermoelectric generator. coupled,material_system,1,999999.0
mxene adds emi shielding,material_system,1,999999.0
mxene electrodes,electrode_interface,1,999999.0
mxene ppy electrodes add photothermal/electrochemical,device_function,1,999999.0
mxene. des/cnf ionic gel provides high thermopower,material_system,1,999999.0
mxene/pva hydrogel,material_system,1,999999.0
mxene/pva hydrogel ionic,material_system,1,999999.0
nacl ion-conductive ipgh. na+ thermodiffusion,transport_mechanism,1,999999.0
nanochannel membrane,transport_mechanism,1,999999.0
proton soret,transport_mechanism,1,999999.0
memsa/gdmcl tune ferricyanide solvation to enhance seebeck coefficient,material_system,1,999999.0
magnesium-ion thermal charging cell,device_function,1,999999.0
natural ficus elastica leaves. anion thermodiffusion,transport_mechanism,1,999999.0
lowers charge-transfer/diffusion resistance,transport_mechanism,1,999999.0
ion-solvent interaction features. machine learning links solvation features,material_system,1,999999.0
ion-transport highway. thermosensitive crystallization,phase_or_species_transition,1,999999.0
ionic conductive organohydrogels,gel_microstructure,1,999999.0
ionic conductivity for coupled thermogalvanic/thermodiffusion output,transport_mechanism,1,999999.0
ionic species under temperature gradients. soret,transport_mechanism,1,999999.0
ionic thermodiffusion rate,transport_mechanism,1,999999.0
ionic thermodiffusion/soret effect. humidity-dependent ion conductivity,transport_mechanism,1,999999.0
ionic thermoelectric potential from soret,transport_mechanism,1,999999.0
ionic-liquid/solvent mixtures. selective solvation,solvation_entropy,1,999999.0
ions provide soret,transport_mechanism,1,999999.0
kcl complexation enhance redox entropy/concentration difference,material_system,1,999999.0
kcl supports thermodiffusion for self-powered morse-code information conversion,transport_mechanism,1,999999.0
li-ion trec electrode-selection thermodynamics,electrode_interface,1,999999.0
liquid metal electrodes. chaotropic salts modify solvation shells,gel_microstructure,1,999999.0
liquid-metal electrodes. salt-modified solvation,material_system,1,999999.0
lowering charge-transfer/diffusion resistance,transport_mechanism,1,999999.0
nanochannel-based ionic thermoelectric systems. soret-driven ion migration,transport_mechanism,1,999999.0
negative-thermopower ionic organohydrogel,gel_microstructure,1,999999.0
polymer-regulated hq/bq equilibrium,solvation_entropy,1,999999.0
photothermal hydrogel generates temperature gradient for solar evaporation,device_function,1,999999.0
photothermal layer creates in-plane temperature gradient,device_function,1,999999.0
polarity to large redox solvation entropy differences,solvation_entropy,1,999999.0
polyelectrolytes in nanochannels. overlapping electric double layers,transport_mechanism,1,999999.0
polymer matrices to control ionic entropy,material_system,1,999999.0
photothermal conversion,device_function,1,999999.0
precipitation-driven species redistribution,phase_or_species_transition,1,999999.0
precipitation-driven thermogalvanic conversion,phase_or_species_transition,1,999999.0
prevents precipitation,phase_or_species_transition,1,999999.0
printed thermogalvanic module integration,device_function,1,999999.0
producing entropy-driven thermoelectrochemical voltage,material_system,1,999999.0
promotes ion desolvation,material_system,1,999999.0
promoting cation thermodiffusion,transport_mechanism,1,999999.0
propylene carbonate. selective solvation between ionic liquids,solvation_entropy,1,999999.0
negatively charged electrolyte nanochannels,transport_mechanism,1,999999.0
photothermal heating drives thermogalvanic voltage under sunlight,device_function,1,999999.0
organohydrogel thermocell,gel_microstructure,1,999999.0
onion-epidermal-cell-like structure. soret effect synergizes,transport_mechanism,1,999999.0
opposite-entropy redox pairs,redox_chemistry,1,999999.0
photocatalytic redox-gradient regeneration,device_function,1,999999.0
oriented ionic transport nanochannels maintain ionic transport,transport_mechanism,1,999999.0
oriented ionic transport nanochannels. oxygen-containing functional groups,transport_mechanism,1,999999.0
paam/paa gel electrolyte. electrolyte thermodiffusion,transport_mechanism,1,999999.0
nir photothermal release enables therapy,device_function,1,999999.0
pam/cmc/li2so4/ 4-/3- double-network hydrogel. li2so4 thermodiffusion,transport_mechanism,1,999999.0
partly suppress cu precipitation/degradation,phase_or_species_transition,1,999999.0
pem proton-coupled thermoelectrochemical converter,transport_mechanism,1,999999.0
nerve-impulse ionic/electric-charge system in neural tissue. entropy,material_system,1,999999.0
nucleates ferrocyanide crystallization,phase_or_species_transition,1,999999.0
electrical conductivity,material_system,326,1231.4945128146205
ionic liquid,material_system,198,879.0799363506362
density functional theory,material_system,142,779.6456973402198
lattice conductivity,material_system,156,741.9167107307476
density functional,material_system,153,731.5848950769077
functional theory,material_system,142,693.018397635751
ionic radius,material_system,127,638.5767949050335
x-ray diffraction,material_system,127,638.5767949050335
carrier concentration,material_system,109,570.0950994568119
thermogalvanic cells,material_system,105,554.3599564110768
ionic liquids,material_system,105,554.3599564110768
ionic bonding,material_system,88,485.11662598605204
power generation,material_system,87,480.9146854638487
conversion efficiency,material_system,81,455.374852690966
first-principles calculations,material_system,81,455.374852690966
conductivity seebeck coefficient,material_system,68,447.6827495157235
conductivity seebeck,material_system,77,438.0216088234971
ionic i-te,material_system,76,433.6405615244861
density functional theory dft,material_system,56,427.4761680599527
functional theory dft,material_system,56,384.7285512539575
thermogalvanic cell,material_system,63,374.9986787498473
ionic thermopower,material_system,59,356.266269158711
ionic radii,material_system,59,356.266269158711
practical applications,material_system,58,351.5276083001714
electronic transport,material_system,58,351.5276083001714
ionic hydrogel,material_system,55,337.1721010343952
phase transition,phase_or_species_transition,54,332.339031593599
ionic conductivity ms,material_system,46,329.33737720691215
ionic liquid il,material_system,44,317.8883781946344
conductivity ms,material_system,51,317.68983579289227
charge transport,material_system,51,317.68983579289227
ionic transport,material_system,51,317.68983579289227
conductivity sigma,material_system,50,312.7551623835051
potential applications,material_system,50,312.7551623835051
electronic conductivity,material_system,50,312.7551623835051
electrical transport,material_system,49,307.79383078585204
alcohol pva,material_system,49,307.79383078585204
seebeck coefficient electrical conductivity,material_system,35,293.97865758454617
liquid il,material_system,45,287.67070031926846
electrical conductivity seebeck coefficient,material_system,34,287.1756170626243
electrical conductivity seebeck,material_system,38,282.69671107379355
ionic conduction,material_system,44,282.56744728411945
redox couples,material_system,44,282.56744728411945
relative humidity,material_system,44,282.56744728411945
ionic covalent,material_system,42,272.269365355867
coefficient electrical conductivity,material_system,36,270.6606984149646
ionic seebeck coefficient mv k-1,material_system,28,269.800671575842
seebeck coefficient conductivity,material_system,35,264.58079182609157
transport theory,material_system,39,256.58222794687424
electronic ionic,material_system,39,256.58222794687424
ionic seebeck coefficient mv,material_system,29,252.39452486271273
ionic conductors,material_system,38,251.2859653989276
mv k-1 ionic,material_system,32,246.07898433650024
optoelectronic applications,material_system,37,245.9546341650255
mixed ionic-electronic,material_system,37,245.9546341650255
conductivity kappa,material_system,37,245.9546341650255
poly styrenesulfonate pedot pss,material_system,28,245.27333779621995
ionic electronic,material_system,36,240.58728747996852
function temperature,material_system,36,240.58728747996852
ion migration,transport_mechanism,36,240.58728747996852
x-ray diffraction xrd,material_system,31,239.81989820398866
coefficient conductivity,material_system,35,235.18292606763694
practical application,material_system,35,235.18292606763694
ionic thermoelectrics,material_system,34,229.74049365009947
molecular dynamics simulations,material_system,29,227.15507237644147
k-1 ionic,material_system,33,224.2588719298726
absorption coefficient,material_system,33,224.2588719298726
ethylenedioxythiophene poly styrenesulfonate pedot pss,material_system,22,221.33557371942604
styrenesulfonate pedot pss,material_system,28,220.74600401659796
poly styrenesulfonate pedot,material_system,28,220.74600401659796
sulfonate pedot pss,material_system,28,220.74600401659796
diffraction xrd,material_system,32,218.736874965778
density functional theory calculations,material_system,24,216.17108974434802
ionic conductivity ms cm,material_system,24,216.17108974434802
solid solution,material_system,31,213.1732428479899
poly vinyl alcohol pva,material_system,23,208.72880412827666
ionic liquids ils,material_system,26,207.76533189643038
conduction band,material_system,30,207.5666345596702
dynamics simulations,material_system,30,207.5666345596702
thermogalvanic hydrogel,material_system,30,207.5666345596702
increasing ionic,material_system,29,201.9156198901702
optical conductivity,material_system,29,201.9156198901702
phonon dispersion,material_system,29,201.9156198901702
mv k-1 ionic conductivity,material_system,22,201.21415792675091
ethylenedioxythiophene poly styrenesulfonate pedot,material_system,22,201.21415792675091
poly ethylenedioxythiophene poly styrenesulfonate pedot,material_system,22,201.21415792675091
ultralow lattice conductivity,material_system,25,201.18961989207824
generalized gradient approximation,material_system,25,201.18961989207824
conductivity ms cm,material_system,25,201.18961989207824
electrical conductivity sigma,material_system,25,201.18961989207824
polyvinyl alcohol pva,material_system,25,201.18961989207824
conductivity conductivity,material_system,33,196.22651293863854
redox reactions,material_system,28,196.21867023697598
gradient approximation,material_system,28,196.21867023697598
ion diffusion,transport_mechanism,28,196.21867023697598
redox reaction,material_system,28,196.21867023697598
deep eutectic,material_system,28,196.21867023697598
mobile ions,material_system,28,196.21867023697598
sulfonate pedot,material_system,28,196.21867023697598
styrenesulfonate pedot,material_system,28,196.21867023697598
ultralow conductivity,material_system,28,196.21867023697598
charge transfer,material_system,28,196.21867023697598
successive ionic layer adsorption reaction,material_system,19,196.02182435648143
poly styrene sulfonate pedot pss,material_system,19,196.02182435648143
dimensionless figure merit,material_system,24,194.55398076991324
electrical conductivity power,material_system,24,194.55398076991324
functional theory calculations,material_system,24,194.55398076991324
electricity generation,material_system,27,190.47414809886112
cations anions,material_system,27,190.47414809886112
entropy difference,material_system,27,190.47414809886112
ionic conductor,material_system,27,190.47414809886112
optical absorption,material_system,27,190.47414809886112
vinyl alcohol pva,material_system,23,187.855923715449
mv k-1 ionic conductivity ms,material_system,18,187.39756494724523
ionic layer adsorption reaction silar,material_system,18,187.39756494724523
dimensionless figure merit zt,material_system,20,185.9543543584493
ionic conductivity ms cm-1,material_system,20,185.9543543584493
structure calculations,material_system,26,184.6802950190492
covalent ionic,material_system,26,184.6802950190492
solid solutions,material_system,26,184.6802950190492
liquids ils,material_system,26,184.6802950190492
k-1 ionic conductivity,material_system,22,181.09274213407582
conductivity ms cm-1,material_system,22,181.09274213407582
pedot pss film,material_system,22,181.09274213407582
transition temperature,material_system,25,178.83521768184733
styrene sulfonate pedot pss,material_system,19,178.20165850589217
ionic layer adsorption reaction,material_system,19,178.20165850589217
poly styrene sulfonate pedot,material_system,19,178.20165850589217
successive ionic layer adsorption,material_system,19,178.20165850589217
deep eutectic solvent,material_system,21,174.26148437623547
ionic character,material_system,24,172.93687179547842
conductivity k-1,material_system,24,172.93687179547842
ionic bonds,material_system,24,172.93687179547842
ionic size,material_system,24,172.93687179547842
dimensionless figure,material_system,24,172.93687179547842
theory calculations,material_system,24,172.93687179547842
transmission electron,material_system,24,172.93687179547842
transition metal,material_system,24,172.93687179547842
ionic gel,material_system,24,172.93687179547842
