concept,concept_type,doc_freq,score
carbon nanotube/cellulose nanocrystal photothermal nanocomposite,device_function,1,999999.0
carbon-electrode redox interface,electrode_interface,23,999999.0
carboxylated chitosan redox additive,material_system,1,999999.0
cation/anion thermodiffusion asymmetry,transport_mechanism,54,999999.0
cationic reduced soret coefficient dominating output,transport_mechanism,1,999999.0
cb/mwcnt photothermal materials,device_function,1,999999.0
cellulose nanofiber scaffold,gel_microstructure,70,999999.0
ch3so3- slows anion thermodiffusion,transport_mechanism,1,999999.0
chaotropic comonomer,gel_microstructure,1,999999.0
benzoquinone/hydroquinone redox couple. proton thermodiffusion couples,redox_chemistry,1,999999.0
antisolvent high-entropy liquid-flow thermocell,solvation_entropy,2,999999.0
chaotropic cosolvent. chaotropic effect disrupts hydrogen bonding,gel_microstructure,1,999999.0
antifreezing ability mxene reinforces gelation,material_system,1,999999.0
3d ion-channel hydration network,gel_microstructure,2,999999.0
3d multi-structured electrode. cu2+ crystallization boosts thermopower,property_metric,1,999999.0
3d-printable shape-customized hydrogel thermocell,gel_microstructure,1,999999.0
3d-printed h2/electrolyte microchannels. internal gas/liquid transport,device_function,1,999999.0
4-/3- redox couple. ion salts provide thermodiffusion,redox_chemistry,1,999999.0
4-/3-. guanidine-induced ferrocyanide crystallization raises thermopower,property_metric,1,999999.0
4-/3-. li2so4 thermodiffusion,transport_mechanism,1,999999.0
4-/3-. synergistic thermodiffusion of salt ions,transport_mechanism,1,999999.0
acetic acid. acetic-acid complexation controls crystallinity/morphology,material_system,1,999999.0
adding soret contribution to thermogalvanic voltage,transport_mechanism,1,999999.0
al2o3 anodic aluminum oxide nanochannel membranes,transport_mechanism,1,999999.0
aligned nanochannel,transport_mechanism,1,999999.0
alkaline-fuel-cell waste-heat cascade,device_function,2,999999.0
amide derivatives enlarge redox entropy difference,solvation_entropy,1,999999.0
amplifies cation thermodiffusion,transport_mechanism,1,999999.0
amplifying thermogalvanic entropy difference,material_system,1,999999.0
anti-freezing organohydrogel design,gel_microstructure,83,999999.0
chaotropic comonomer/cosolvent,gel_microstructure,1,999999.0
chaotropic ions,gel_microstructure,1,999999.0
double-layer energy controlling soret coefficient,transport_mechanism,1,999999.0
cpv-itec solar cascade coupling,device_function,4,999999.0
crown-ether-mediated ion migration,transport_mechanism,1,999999.0
cs0.32wo3 nanoparticle nir photothermal nanofiber membrane coupled,gel_microstructure,1,999999.0
cu electrode. mxene tunes cu2+/cl- thermodiffusion,transport_mechanism,1,999999.0
cu-based n/p redox thermocell,redox_chemistry,4,999999.0
cu-ethylenediamine chelation entropy,redox_chemistry,4,999999.0
cu/cu2+ dmso/water thermoelectric organohydrogel,redox_chemistry,1,999999.0
cu2-xse superionic conductor. first-order superionic phase transition,phase_or_species_transition,1,999999.0
cu3bis3. polymorphic phase transition,phase_or_species_transition,1,999999.0
decomposition-layer thermogalvanic profiling,electrode_interface,1,999999.0
decoupling cation/anion thermodiffusion,transport_mechanism,1,999999.0
deep-eutectic eutogel electrolyte,material_system,28,999999.0
different charge-transfer resistances,electrode_interface,1,999999.0
diffusion in the polymer matrix generates thermodiffusion voltage,transport_mechanism,1,999999.0
diffusion produce ion-specific soret coefficients,transport_mechanism,1,999999.0
directing low-temperature chalcogenide crystallization,phase_or_species_transition,1,999999.0
dmso-water hydrogen bonding gives anti-freezing,material_system,1,999999.0
dmso/water thermogalvanic organohydrogel electrolyte,gel_microstructure,1,999999.0
crown-ether cation complexation,solvation_entropy,2,999999.0
coupling- hydrogel thermoelectric effect,material_system,2,999999.0
chaotropic polymer-water disruption,gel_microstructure,47,999999.0
coupling thermodiffusion,transport_mechanism,1,999999.0
chaotropic salts,gel_microstructure,2,999999.0
charge-transfer resistance engineering,electrode_interface,50,999999.0
chi. halide anion chaotropicity,gel_microstructure,1,999999.0
chitosan complexation,material_system,1,999999.0
cl- determine soret minima,transport_mechanism,1,999999.0
cnt photothermal conversion reinforce rubber,device_function,1,999999.0
cnt/il network adds photothermal,device_function,1,999999.0
cnt/rgo photothermal top layer,device_function,1,999999.0
colligative effects suppress ice crystallization,phase_or_species_transition,1,999999.0
colloidal particles in liquid media. thermogalvanic redox entropy,solvation_entropy,1,999999.0
competition between soret thermodiffusion,transport_mechanism,1,999999.0
configurational entropy gel design,phase_or_species_transition,4,999999.0
convection-resolved resistance decomposition,transport_mechanism,8,999999.0
coordination species. ion speciation tunes coupled thermodiffusion,transport_mechanism,1,999999.0
copper electrode. hcl accelerates q/hq redox kinetics,electrode_interface,1,999999.0
cotton-carbon photothermal fabric hanging evaporator,device_function,1,999999.0
cotton/ppy photothermal layer,device_function,1,999999.0
ion-dipole interaction transport,transport_mechanism,16,999999.0
ion-pair complexation control,solvation_entropy,70,999999.0
ion-selectivity membrane transport,transport_mechanism,76,999999.0
self-assembled aerogel sheet electrode,electrode_interface,1,999999.0
sio2 nanoparticles create ion channels,transport_mechanism,1,999999.0
smart-wound thermogalvanic dressing,device_function,1,999999.0
soft mixed ionic-electronic coupling,transport_mechanism,24,999999.0
solar-thermal liquid thermogalvanic generator,device_function,1,999999.0
solvation structure,material_system,1,999999.0
solvation-shell remodeling,solvation_entropy,13,999999.0
solvent-shell water/des regulation,solvation_entropy,4,999999.0
soret coefficient,transport_mechanism,1,999999.0
soret coefficients of hcl in aqueous 2-propanol,transport_mechanism,1,999999.0
soret concentration gradients develop on bulk diffusion time,transport_mechanism,1,999999.0
soret effect generates ionic thermovoltage,transport_mechanism,1,999999.0
soret effect reversibly switches seebeck polarity,property_metric,1,999999.0
soret ion diffusion,transport_mechanism,1,999999.0
soret thermodiffusion,transport_mechanism,1,999999.0
soret thermodiffusion coupling,transport_mechanism,166,999999.0
soret-effect ion thermodiffusion,transport_mechanism,1,999999.0
soret-effect ionic thermoelectricity,transport_mechanism,1,999999.0
silicon nanochannel,transport_mechanism,1,999999.0
selective-ion-doping bidirectional thermopower,transport_mechanism,1,999999.0
speed li+ conduction for thermal charging,device_function,1,999999.0
selective solvation entropy engineering,solvation_entropy,31,999999.0
redox entropy tuning,solvation_entropy,47,999999.0
redox kinetics for combined thermodiffusion/thermogalvanic thermal charging,electrode_interface,1,999999.0
redox-couple concentrations tune thermogalvanic redox entropy,solvation_entropy,1,999999.0
redox-layer ionic-gradient cell,transport_mechanism,5,999999.0
redox-solvation hybrid entropy,solvation_entropy,9,999999.0
redox-split chemical heterogeneity,transport_mechanism,1,999999.0
reduce charge-transfer resistance,electrode_interface,1,999999.0
reduce charge-transfer resistance for high body-heat power output,electrode_interface,1,999999.0
reduces hygroscopic ion channels,transport_mechanism,1,999999.0
refrigeration performance,material_system,1,999999.0
resistance-gated thermogalvanic wearable,device_function,2,999999.0
reversible cu2se/cu2-xse/cuse/cuse2 phase transitions accelerate cu2+ storage,phase_or_species_transition,1,999999.0
salting-out confined ion gel,gel_microstructure,7,999999.0
salts near titanium electrode. different cation/anion soret coefficients,transport_mechanism,1,999999.0
sam-stabilized electrostatic electrocatalysis,electrode_interface,1,999999.0
selective fe2+-nitrile solvation enlarge redox entropy change,solvation_entropy,1,999999.0
selective ion transport pathways that enhance thermodiffusion,transport_mechanism,1,999999.0
species. thermodiffusion of electrolyte ions plus iodide/triiodide- conversion,redox_chemistry,1,999999.0
stretchable freeze-tolerant organohydrogel thermocell,gel_microstructure,1,999999.0
redox couple. polymer network alters redox solvation shell,redox_chemistry,1,999999.0
thermogalvanic ions. bionic training aligns ion channels,transport_mechanism,1,999999.0
thermogalvanic quasi-solid systems. reviewed ion thermodiffusion,transport_mechanism,1,999999.0
thermoresponsive micellization p/n conversion,phase_or_species_transition,5,999999.0
thermosensitive crystallization,phase_or_species_transition,2,999999.0
thermosensitive crystallization salting-out,phase_or_species_transition,5,999999.0
ti3c2tx mxene mxene hollow microsphere nanocomposite electrode,material_system,1,999999.0
tuned counterions. counterion entropy/hydration controls thermophoretic,material_system,1,999999.0
tuning solvent entropy rather than only redox-ion solvation,solvation_entropy,1,999999.0
urea additives. guanidinium chaotropic cations,gel_microstructure,1,999999.0
urea amide derivatives synergistically enlarge redox entropy difference,solvation_entropy,1,999999.0
urea. chaotropic cations,gel_microstructure,1,999999.0
urea. reconstructed lignocellulose ion channels enriched,transport_mechanism,1,999999.0
water-state regulated mxene hydrogel,gel_microstructure,2,999999.0
water-vapor entropy reduce heat convection,material_system,1,999999.0
wearable biointerface thermocell,device_function,176,999999.0
y-shaped microchannel liquid-flow thermocell,device_function,1,999999.0
zinc-iodine thermal charging cell,device_function,2,999999.0
zinc-ion thermal charging supercapacitor,device_function,1,999999.0
thermogalvanic ions. chaotropic effects disrupt hydrogen bonding,gel_microstructure,1,999999.0
thermogalvanic effects fe2+/fe3+ complexation,redox_chemistry,1,999999.0
supporting-electrolyte viscosity/resistance tradeoff,transport_mechanism,2,999999.0
thermoelectric soret contributions,transport_mechanism,1,999999.0
suppressing cation thermodiffusion,transport_mechanism,1,999999.0
suppressing thermodiffusion,transport_mechanism,1,999999.0
supramolecular host-guest redox entropy,solvation_entropy,6,999999.0
surface solvation structures,material_system,1,999999.0
temperature-sensitive phase transition,phase_or_species_transition,1,999999.0
ternary 3d transition-metal compounds. ionic-model charge-transfer energy,electrode_interface,1,999999.0
thermal charging redox storage,device_function,107,999999.0
thermal management thermogalvanic gel,device_function,2,999999.0
thermal-diffusion potentials reveal ag+ entropy/activity effects,material_system,1,999999.0
thermal-potential-induced redox reaction,redox_chemistry,2,999999.0
thermal-resistance cell architecture,device_function,8,999999.0
thermodiffusion effects jointly contribute,transport_mechanism,1,999999.0
thermodiffusion entropy terms,transport_mechanism,1,999999.0
thermodiffusion to produce giant thermoelectric response,transport_mechanism,1,999999.0
thermodiffusion-assisted n-type thermogalvanic cell,transport_mechanism,1,999999.0
thermoelectric fields determine thermophoresis/soret behavior,transport_mechanism,1,999999.0
thermoelectric refrigeration,material_system,1,999999.0
redox entropy cu/cuso4 follows characteristic seebeck models,solvation_entropy,1,999999.0
radiative-cooling thermogalvanic night generator,device_function,1,999999.0
ion-solvent interaction features. machine learning links solvation features,computational_method,1,999999.0
metal-oxide nanostructured electrode,electrode_interface,3,999999.0
moisture-gradient ion transport,transport_mechanism,97,999999.0
moisture-gradient- ionic thermoelectric generator. coupled heat,material_system,1,999999.0
molecular-chaperone redox-gradient stabilization,solvation_entropy,5,999999.0
multimodal interfacial heat-transfer sensing,device_function,4,999999.0
mxene adds emi shielding,material_system,1,999999.0
mxene electrode,electrode_interface,1,999999.0
mxene ppy electrode add photothermal/electrochemical performance,device_function,1,999999.0
mxene-reinforced thermogalvanic gel,material_system,15,999999.0
mxene. des/cnf ionic gel provides high thermopower,property_metric,1,999999.0
mxene/pva hydrogel,material_system,1,999999.0
mxene/pva hydrogel ionic thermoelectric,material_system,1,999999.0
nacl ion-conductive ipgh. na+ thermodiffusion,transport_mechanism,1,999999.0
nanochannel membrane,transport_mechanism,1,999999.0
nanochannel-based ionic thermoelectric systems. soret-driven ion migration,transport_mechanism,1,999999.0
nanochannel-confined ion transport,transport_mechanism,28,999999.0
natural ficus elastica leaves. anion thermodiffusion,transport_mechanism,1,999999.0
negative-thermopower ionic organohydrogel,property_metric,1,999999.0
microfluidic redox-solvation thermocell,device_function,14,999999.0
memsa/gdmcl tune ferricyanide solvation to enhance seebeck coefficient,property_metric,1,999999.0
nerve-impulse ionic/electric-charge system in neural tissue. entropy,material_system,1,999999.0
magnesium-ion thermal charging cell,device_function,1,999999.0
ion-transport highway. thermosensitive crystallization,phase_or_species_transition,1,999999.0
ionic conductive organohydrogels,gel_microstructure,1,999999.0
ionic conductivity for coupled thermogalvanic/thermodiffusion output,property_metric,1,999999.0
ionic species under temperature gradients. soret,transport_mechanism,1,999999.0
ionic thermodiffusion rate,transport_mechanism,1,999999.0
ionic thermodiffusion/soret effect. humidity-dependent ion conductivity,property_metric,1,999999.0
ionic thermoelectric potential from soret effect,transport_mechanism,1,999999.0
ionic-liquid/solvent mixtures. selective solvation,solvation_entropy,1,999999.0
ions provide soret effect,transport_mechanism,1,999999.0
kcl complexation enhance redox entropy/concentration difference,solvation_entropy,1,999999.0
kcl supports thermodiffusion for self-powered morse-code information conversion,transport_mechanism,1,999999.0
li-ion trec electrode-selection thermodynamics,electrode_interface,1,999999.0
liquid metal electrode. chaotropic salts modify solvation shell,electrode_interface,1,999999.0
liquid-metal electrode. salt-modified solvation,electrode_interface,1,999999.0
localized photothermal layer,device_function,12,999999.0
lowering charge-transfer/diffusion resistance,transport_mechanism,1,999999.0
lowers charge-transfer/diffusion resistance,transport_mechanism,1,999999.0
negatively charged electrolyte nanochannel,transport_mechanism,1,999999.0
ni-bipyridine hydration-shell entropy,solvation_entropy,4,999999.0
radiative-cooling structure. chaotropic effect raises seebeck coefficient,property_metric,1,999999.0
polarity to large redox solvation entropy differences,solvation_entropy,1,999999.0
polyelectrolytes in nanochannel. overlapping electric double layers,transport_mechanism,1,999999.0
polymer matrices to control ionic entropy,material_system,1,999999.0
polymer-electrolyte soret spectroscopy,transport_mechanism,2,999999.0
polymer-regulated hq/bq equilibrium,solvation_entropy,1,999999.0
porous/pin-electrode thermal-gradient architecture,electrode_interface,2,999999.0
precipitation-driven species redistribution,phase_or_species_transition,1,999999.0
precipitation-driven thermogalvanic conversion,phase_or_species_transition,1,999999.0
prevents precipitation,phase_or_species_transition,1,999999.0
printed thermogalvanic module integration,device_function,1,999999.0
producing entropy-driven thermoelectrochemical voltage,material_system,1,999999.0
promotes ion desolvation,material_system,1,999999.0
promoting cation thermodiffusion,transport_mechanism,1,999999.0
propylene carbonate. selective solvation between ionic liquid,solvation_entropy,1,999999.0
proton soret effect,transport_mechanism,1,999999.0
pva photothermal hydrogel,device_function,2,999999.0
pva/peg/fe3+/fe2+ thermogalvanic organohydrogel,redox_chemistry,1,999999.0
quasi-solid granular electrolyte matrix,material_system,5,999999.0
polarized-membrane ionic thermal potential,transport_mechanism,2,999999.0
photothermal thermogalvanic integration,device_function,324,999999.0
nir photothermal release enables therapy,device_function,1,999999.0
photothermal layer creates in-plane temperature gradient,device_function,1,999999.0
nucleates ferrocyanide crystallization,phase_or_species_transition,1,999999.0
onion-epidermal-cell-like structure. soret effect synergizes,transport_mechanism,1,999999.0
opposite-entropy redox pairs,redox_chemistry,1,999999.0
organic redox molecular design,redox_chemistry,29,999999.0
organohydrogel thermocell,gel_microstructure,1,999999.0
oriented ionic transport nanochannel maintain ionic transport,transport_mechanism,1,999999.0
oriented ionic transport nanochannel. oxygen-containing functional groups,transport_mechanism,1,999999.0
p/n thermogalvanic series design,device_function,288,999999.0
paam/paa gel electrolyte. electrolyte thermodiffusion,transport_mechanism,1,999999.0
pam/cmc/li2so4/ 4-/3- double-network hydrogel. li2so4 thermodiffusion,transport_mechanism,1,999999.0
partly suppress cu precipitation/degradation,phase_or_species_transition,1,999999.0
pem proton-coupled thermoelectrochemical converter,transport_mechanism,1,999999.0
phase-transition entropy amplification,phase_or_species_transition,92,999999.0
photocatalytic redox-gradient regeneration,device_function,1,999999.0
photothermal conversion,device_function,1,999999.0
photothermal heating drives thermogalvanic voltage under sunlight,device_function,1,999999.0
photothermal hydrogel generates temperature gradient for solar evaporation,device_function,1,999999.0
3-/4-. water-containing des modulates redox solvation shell,solvation_entropy,1,999999.0
thermal conductivity,property_metric,423,1451.4086618701485
ionic thermoelectric,material_system,328,1236.3830189458422
electrical conductivity,property_metric,323,1224.131047356156
ionic conductivity,property_metric,204,897.6389203000704
ionic liquid,material_system,197,875.9633992575018
lattice thermal conductivity,property_metric,154,826.9171568098184
density density functional theory,computational_method,153,823.0330069615212
transport property,material_system,172,795.7548980325456
power density,property_metric,168,782.4889751960577
density functional theory,computational_method,142,779.6456973402198
temperature difference,material_system,167,779.1527705003979
room temperature,material_system,165,772.4563616264788
energy conversion,material_system,159,752.1716016875318
temperature gradient,material_system,155,738.4813926536555
x ray diffraction,characterization_method,127,718.3988942681627
low thermal conductivity,property_metric,112,654.4885619604463
ionic radius,material_system,127,638.5767949050335
temperature range,material_system,126,634.8662849790762
seebeck coefficients,property_metric,124,627.413436087534
seebeck coefficient mv,property_metric,105,623.6549509624615
thermoelectric applications,material_system,116,597.1647726757078
mechanical property,property_metric,111,577.8888211829075
carrier concentration,material_system,109,570.0950994568119
high seebeck,property_metric,106,558.3124917407861
high ionic,material_system,106,558.3124917407861
thermogalvanic cells,material_system,105,554.3599564110768
ionic seebeck,property_metric,97,522.2720029482854
redox couple,redox_chemistry,94,510.0159475018372
high seebeck coefficient,property_metric,77,492.7743099264343
ionic thermoelectric i-te,material_system,76,487.8456317150469
ionic bonding,material_system,88,485.11662598605204
power generation,material_system,87,480.9146854638487
ionic thermoelectric materials,material_system,73,472.9401332923642
ionic seebeck coefficient,property_metric,73,472.9401332923642
thermoelectric conversion,material_system,84,468.2162029424976
ion transport,transport_mechanism,81,455.374852690966
conversion efficiency,property_metric,80,451.0617508058094
thermopower mv,property_metric,79,446.73198436058476
high thermopower,property_metric,74,424.8256088874717
conductivity seebeck coefficient,property_metric,62,416.6417058139393
temperature gradients,material_system,72,415.938588223537
electrical property,property_metric,70,406.97749786732135
conductivity seebeck,property_metric,70,406.97749786732135
theory density functional theory,computational_method,58,395.4685593376928
boltzmann transport,material_system,66,388.82451951956233
high temperature,material_system,66,388.82451951956233
density functional theory density functional theory,computational_method,56,384.7285512539575
thermal transport,material_system,64,379.6280148122679
low lattice thermal conductivity,property_metric,48,378.506621629302
thermogalvanic cell,material_system,63,374.9986787498473
high ionic conductivity,property_metric,54,373.8814105427989
ionic radii,material_system,59,356.266269158711
ionic thermopower,property_metric,59,356.266269158711
thermogalvanic effect,material_system,58,351.5276083001714
soret effect,transport_mechanism,57,346.7659644027167
phase transition,phase_or_species_transition,54,332.339031593599
electronic transport,material_system,54,332.339031593599
ionic conductivity ms,property_metric,46,329.33737720691215
output power density,property_metric,46,329.33737720691215
temperature dependence,material_system,53,327.48127754849236
seebeck effect,property_metric,53,327.48127754849236
ionic liquid il,material_system,44,317.8883781946344
electron microscopy,characterization_method,51,317.68983579289227
conductivity ms,property_metric,51,317.68983579289227
charge transport,material_system,51,317.68983579289227
conductivity sigma,property_metric,50,312.7551623835051
conductivity thermoelectric,property_metric,50,312.7551623835051
thermoelectric transport,material_system,49,307.79383078585204
alcohol pva,material_system,49,307.79383078585204
activation energy,material_system,48,302.80529730344165
ionic transport,material_system,48,302.80529730344165
liquid il,material_system,45,287.67070031926846
seebeck coefficient electrical conductivity,property_metric,34,287.1756170626243
seebeck coefficient mv/k,property_metric,38,282.69671107379355
relative humidity,material_system,44,282.56744728411945
ionic conduction,material_system,44,282.56744728411945
low temperature,material_system,43,277.4339035813621
conductivity high,property_metric,43,277.4339035813621
high temperatures,material_system,43,277.4339035813621
seebeck coefficient electrical,property_metric,37,276.6989634356537
ionic covalent,material_system,42,272.269365355867
scanning electron microscopy,characterization_method,36,270.6606984149646
high electrical conductivity,property_metric,36,270.6606984149646
debye temperature,material_system,41,267.07309527724647
electrical conductivity seebeck coefficient,property_metric,31,266.4665535599874
thermal conductivity kappa,property_metric,35,264.58079182609157
boltzmann transport theory,material_system,35,264.58079182609157
electrical conductivity seebeck,property_metric,35,264.58079182609157
coefficient electrical conductivity,property_metric,35,264.58079182609157
impedance spectroscopy,characterization_method,40,261.8443200945383
ionic hydrogel,material_system,39,256.58222794687424
transport theory,material_system,39,256.58222794687424
ionic seebeck coefficient mv,property_metric,29,252.39452486271273
ionic thermoelectric i-te materials,material_system,29,252.39452486271273
maximum power density,property_metric,33,252.2912309211067
ionic conductors,material_system,38,251.2859653989276
electronic ionic,material_system,38,251.2859653989276
diffraction x ray diffraction,characterization_method,32,246.07898433650024
thermal expansion,material_system,36,240.58728747996852
heat transport,material_system,36,240.58728747996852
conductivity kappa,property_metric,36,240.58728747996852
ionic electronic,material_system,36,240.58728747996852
function temperature,material_system,36,240.58728747996852
thermal conductivity high,property_metric,31,239.81989820398866
x ray diffraction x ray diffraction,characterization_method,31,239.81989820398866
ion migration,transport_mechanism,35,235.18292606763694
electrical transport,material_system,34,229.74049365009947
ionic thermoelectrics,material_system,34,229.74049365009947
heat-to-electricity conversion,material_system,34,229.74049365009947
elevated temperatures,material_system,34,229.74049365009947
low temperatures,material_system,34,229.74049365009947
molecular dynamics simulations,material_system,29,227.15507237644147
conductivity thermoelectric power,property_metric,29,227.15507237644147
thermoelectric hydrogel,material_system,33,224.2588719298726
electronic conductivity,property_metric,33,224.2588719298726
absorption coefficient,material_system,33,224.2588719298726
ultralow lattice thermal conductivity,property_metric,25,223.54402210230913
poly styrenesulfonate pedot:pss,material_system,28,220.74600401659796
poly styrenesulfonate pedot,material_system,28,220.74600401659796
ultralow thermal conductivity,property_metric,28,220.74600401659796
n-type ionic,material_system,32,218.736874965778
thermogalvanic redox,material_system,32,218.736874965778
large seebeck,property_metric,32,218.736874965778
density functional theory calculations,computational_method,24,216.17108974434802
increase seebeck coefficient,property_metric,27,214.2834166112188
thermal transport property,material_system,27,214.2834166112188
thermal property,property_metric,31,213.1732428479899
solid solution,material_system,31,213.1732428479899
conductivity thermal,property_metric,31,213.1732428479899
poly vinyl alcohol pva,material_system,23,208.72880412827666
thermoelectric energy conversion,material_system,26,207.76533189643038
electrical conductivity thermoelectric,property_metric,26,207.76533189643038
ionic liquid ils,material_system,26,207.76533189643038
dynamics simulations,material_system,30,207.5666345596702
thermal diffusion,material_system,30,207.5666345596702
