initial_concept_id,domain,label,source_mention_id,legacy_role,semantic_role,normalization_status,semantic_review_status
iTE:P0339:initial_n3,iTE,redox reaction efficiency,iTE:P0339:n3,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0339:initial_n4,iTE,ionic thermodiffusion rate,iTE:P0339:n4,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0340:initial_n1,iTE,hollow-heterostructure,iTE:P0340:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0340:initial_n2,iTE,light absorption,iTE:P0340:n2,mechanism,,unmerged_initialization,not_reviewed
iTE:P0340:initial_n3,iTE,photothermal conversion efficiency,iTE:P0340:n3,performance,,unmerged_initialization,not_reviewed
iTE:P0341:initial_n1,iTE,hydrogen bonding,iTE:P0341:n1,interaction,,unmerged_initialization,not_reviewed
iTE:P0341:initial_n2,iTE,ion-dipole interactions,iTE:P0341:n2,interaction,,unmerged_initialization,not_reviewed
iTE:P0341:initial_n3,iTE,elastic tensile and self-healing properties,iTE:P0341:n3,performance,,unmerged_initialization,not_reviewed
iTE:P0342:initial_n1,iTE,incorporating crown ether,iTE:P0342:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0342:initial_n2,iTE,complexation,iTE:P0342:n2,interaction,,unmerged_initialization,not_reviewed
iTE:P0342:initial_n3,iTE,thermal diffusion,iTE:P0342:n3,mechanism,,unmerged_initialization,not_reviewed
iTE:P0343:initial_n1,iTE,high concentrations of OH- ions,iTE:P0343:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0343:initial_n2,iTE,these ions migrate toward the colder region under temperature gradients,iTE:P0343:n2,mechanism,,unmerged_initialization,not_reviewed
iTE:P0343:initial_n3,iTE,n-type thermoelectric behavior,iTE:P0343:n3,performance,,unmerged_initialization,not_reviewed
iTE:P0344:initial_n1,iTE,ordered ions,iTE:P0344:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0344:initial_n2,iTE,Manning counterion condensation effect,iTE:P0344:n2,mechanism,,unmerged_initialization,not_reviewed
iTE:P0344:initial_n3,iTE,selective ion migration,iTE:P0344:n3,mechanism,,unmerged_initialization,not_reviewed
iTE:P0344:initial_n4,iTE,Seebeck coefficient,iTE:P0344:n4,performance,,unmerged_initialization,not_reviewed
iTE:P0345:initial_n1,iTE,modifying the cement with PVA hydrogel,iTE:P0345:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0345:initial_n2,iTE,capillary porosity,iTE:P0345:n2,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0345:initial_n3,iTE,Seebeck coefficient,iTE:P0345:n3,performance,,unmerged_initialization,not_reviewed
iTE:P0345:initial_n4,iTE,overall strength,iTE:P0345:n4,performance,,unmerged_initialization,not_reviewed
iTE:P0345:initial_n5,iTE,capacitance,iTE:P0345:n5,performance,,unmerged_initialization,not_reviewed
iTE:P0346:initial_n1,iTE,Fmoc-FF,iTE:P0346:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0346:initial_n2,iTE,pi-pi interactions between Fmoc groups,iTE:P0346:n2,interaction,,unmerged_initialization,not_reviewed
iTE:P0346:initial_n3,iTE,highly porous colloidal network,iTE:P0346:n3,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0347:initial_n1,iTE,reconstructed lignocellulose ion channels,iTE:P0347:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0347:initial_n2,iTE,surface negative charges,iTE:P0347:n2,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0347:initial_n3,iTE,spatially confined fixed anions,iTE:P0347:n3,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0347:initial_n4,iTE,selective cation migration driven by a temperature gradient,iTE:P0347:n4,mechanism,,unmerged_initialization,not_reviewed
iTE:P0348:initial_n1,iTE,cross-linking and amine functionalization,iTE:P0348:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0348:initial_n2,iTE,transformation of lignin-based hydrogels from p-type to n-type materials,iTE:P0348:n2,performance,,unmerged_initialization,not_reviewed
iTE:P0349:initial_n1,iTE,Formamide,iTE:P0349:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0349:initial_n2,iTE,hydrogen bond network between water molecules,iTE:P0349:n2,interaction,,unmerged_initialization,not_reviewed
iTE:P0349:initial_n3,iTE,forming a deep eutectic solvent,iTE:P0349:n3,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0349:initial_n4,iTE,operate near cryo temperatures,iTE:P0349:n4,performance,,unmerged_initialization,not_reviewed
iTE:P0350:initial_n1,iTE,ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI),iTE:P0350:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0350:initial_n2,iTE,ionic mobility,iTE:P0350:n2,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0350:initial_n3,iTE,diffusion difference between cations and anions,iTE:P0350:n3,mechanism,,unmerged_initialization,not_reviewed
iTE:P0350:initial_n4,iTE,ionic conductivity,iTE:P0350:n4,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0350:initial_n5,iTE,ionic Seebeck coefficient,iTE:P0350:n5,performance,,unmerged_initialization,not_reviewed
iTE:P0351:initial_n1,iTE,combining two asymmetric gels into a double sandwich structure,iTE:P0351:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0351:initial_n2,iTE,high thermoelectric performance,iTE:P0351:n2,performance,,unmerged_initialization,not_reviewed
iTE:P0352:initial_n1,iTE,"lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte",iTE:P0352:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0352:initial_n2,iTE,ionic conductivity,iTE:P0352:n2,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0352:initial_n3,iTE,Seebeck coefficient,iTE:P0352:n3,performance,,unmerged_initialization,not_reviewed
iTE:P0353:initial_n1,iTE,ion-electronic friction,iTE:P0353:n1,interaction,,unmerged_initialization,not_reviewed
iTE:P0353:initial_n2,iTE,thermally diffused ions to convey electrons,iTE:P0353:n2,mechanism,,unmerged_initialization,not_reviewed
iTE:P0353:initial_n3,iTE,ionic circuit,iTE:P0353:n3,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0353:initial_n4,iTE,persistent ionic transport,iTE:P0353:n4,mechanism,,unmerged_initialization,not_reviewed
iTE:P0353:initial_n5,iTE,continuous power generation,iTE:P0353:n5,performance,,unmerged_initialization,not_reviewed
TG:P0003:initial_n1,TG,increase in Fe2+/3+ concentration,TG:P0003:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0003:initial_n2,TG,decrease in electron transfer resistance,TG:P0003:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0003:initial_n3,TG,ISC value increase,TG:P0003:n3,performance,,unmerged_initialization,not_reviewed
TG:P0143:initial_n1,TG,applying pressure,TG:P0143:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0143:initial_n2,TG,thermopower,TG:P0143:n2,performance,,unmerged_initialization,not_reviewed
TG:P0146:initial_n1,TG,interaction between multications and anions,TG:P0146:n1,interaction,,unmerged_initialization,not_reviewed
TG:P0146:initial_n2,TG,entropy change of redox reaction,TG:P0146:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0146:initial_n3,TG,exchange current density,TG:P0146:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0146:initial_n4,TG,ionic conductivity,TG:P0146:n4,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0146:initial_n5,TG,ionic thermoelectric performance,TG:P0146:n5,performance,,unmerged_initialization,not_reviewed
TG:P0141:initial_n1,TG,hybridizing electron-type and ion-type materials,TG:P0141:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0141:initial_n2,TG,performance,TG:P0141:n2,performance,,unmerged_initialization,not_reviewed
TG:P0268:initial_n1,TG,carbon-based paper (CBP) electrodes,TG:P0268:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0268:initial_n2,TG,electrolyte infiltration,TG:P0268:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0268:initial_n3,TG,strong cation restriction on the CBP electrodes,TG:P0268:n3,mechanism,,unmerged_initialization,not_reviewed
TG:P0268:initial_n4,TG,anion thermodiffusion,TG:P0268:n4,mechanism,,unmerged_initialization,not_reviewed
TG:P0268:initial_n5,TG,negative offset in the thermopower,TG:P0268:n5,performance,,unmerged_initialization,not_reviewed
TG:P0267:initial_n1,TG,copper electrodes,TG:P0267:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0267:initial_n2,TG,redox reaction involving Cu/Cu2+,TG:P0267:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0267:initial_n3,TG,continuous current output,TG:P0267:n3,performance,,unmerged_initialization,not_reviewed
TG:P0175:initial_n1,TG,ionic thermodiffusion-induced thermal potentials,TG:P0175:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0175:initial_n2,TG,reversible redox reaction,TG:P0175:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0175:initial_n3,TG,current,TG:P0175:n3,performance,,unmerged_initialization,not_reviewed
TG:P0201:initial_n1,TG,thermodiffusion (Soret) effect,TG:P0201:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0201:initial_n2,TG,thermogalvanic effect,TG:P0201:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0201:initial_n3,TG,redox reaction entropy,TG:P0201:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0201:initial_n4,TG,Soret effect,TG:P0201:n4,mechanism,,unmerged_initialization,not_reviewed
TG:P0142:initial_n1,TG,coordination between Fe2+/Fe3+ redox couples and carboxyl (& horbar;COOH) groups,TG:P0142:n1,interaction,,unmerged_initialization,not_reviewed
TG:P0142:initial_n2,TG,temperature-dependent redox reactions of Fe2+/Fe3+,TG:P0142:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0142:initial_n3,TG,voltage generation,TG:P0142:n3,performance,,unmerged_initialization,not_reviewed
TG:P0159:initial_n1,TG,ionic liquid,TG:P0159:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0159:initial_n2,TG,phase transition from solid to liquid,TG:P0159:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0159:initial_n3,TG,performance,TG:P0159:n3,performance,,unmerged_initialization,not_reviewed
TG:P0176:initial_n1,TG,anion doping,TG:P0176:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0176:initial_n2,TG,structural reconfiguration in anion/cation clusters,TG:P0176:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0176:initial_n3,TG,anionic transport heat,TG:P0176:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0247:initial_n1,TG,ionic interactions,TG:P0247:n1,interaction,,unmerged_initialization,not_reviewed
TG:P0247:initial_n2,TG,thermal diffusion,TG:P0247:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0247:initial_n3,TG,Seebeck coefficient,TG:P0247:n3,performance,,unmerged_initialization,not_reviewed
TG:P0163:initial_n1,TG,p/n-type redox electrolytes flowing in multi-channels,TG:P0163:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0163:initial_n2,TG,cool photovoltaic panel,TG:P0163:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0163:initial_n3,TG,output electric energy,TG:P0163:n3,performance,,unmerged_initialization,not_reviewed
TG:P0197:initial_n1,TG,functional groups on PACS,TG:P0197:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0197:initial_n2,TG,confine free H2O molecules to the polymer network,TG:P0197:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0197:initial_n3,TG,polar corona,TG:P0197:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0197:initial_n4,TG,reducing the volume of thermally diffused ions,TG:P0197:n4,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0197:initial_n5,TG,rapid conduction of lithium ions (Li+) in unsaturated coordination,TG:P0197:n5,mechanism,,unmerged_initialization,not_reviewed
TG:P0188:initial_n1,TG,different functional groups,TG:P0188:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0188:initial_n2,TG,entropy changes with temperature,TG:P0188:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0180:initial_n1,TG,thermodiffusion effect of lithium sulfate (Li2SO4) ions,TG:P0180:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0180:initial_n2,TG,thermogalvanic effect of [Fe(CN)64-/Fe(CN)63-],TG:P0180:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0180:initial_n3,TG,coupled ionic Seebeck effect,TG:P0180:n3,performance,,unmerged_initialization,not_reviewed
TG:P0145:initial_n1,TG,thermodiffusion,TG:P0145:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0145:initial_n2,TG,thermogalvanic effects,TG:P0145:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0145:initial_n3,TG,thermopower,TG:P0145:n3,performance,,unmerged_initialization,not_reviewed
TG:P0227:initial_n1,TG,concentrations of both the ionic liquid and the redox couple,TG:P0227:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0227:initial_n2,TG,thermoelectric power,TG:P0227:n2,performance,,unmerged_initialization,not_reviewed
TG:P0227:initial_n3,TG,high ionic-liquid concentrations,TG:P0227:n3,material_strategy,,unmerged_initialization,not_reviewed
TG:P0174:initial_n1,TG,electrical double layer (EDL) overlap,TG:P0174:n1,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0174:initial_n2,TG,TDIEM effect,TG:P0174:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0174:initial_n3,TG,negative ionic Seebeck coefficient,TG:P0174:n3,performance,,unmerged_initialization,not_reviewed
TG:P0170:initial_n1,TG,hybrid ionic-electronic designs,TG:P0170:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0170:initial_n2,TG,continuous power output,TG:P0170:n2,performance,,unmerged_initialization,not_reviewed
TG:P0096:initial_n1,TG,directional freeze-thawing method,TG:P0096:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0096:initial_n2,TG,hierarchically anisotropic networks,TG:P0096:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0096:initial_n3,TG,decoupling of thermopower and ionic conductivity,TG:P0096:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0297:initial_n1,TG,RH is raised,TG:P0297:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0297:initial_n2,TG,ionic electrical conductivity,TG:P0297:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0297:initial_n3,TG,ionic thermopower,TG:P0297:n3,performance,,unmerged_initialization,not_reviewed
TG:P0215:initial_n1,TG,inclusion of magnetic nanoparticles,TG:P0215:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0215:initial_n2,TG,initial Seebeck coefficient,TG:P0215:n2,performance,,unmerged_initialization,not_reviewed
TG:P0150:initial_n1,TG,fractal microstructure of the hydrogel,TG:P0150:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0150:initial_n2,TG,ionic conductivity,TG:P0150:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0305:initial_n1,TG,ionic liquids (ILs),TG:P0305:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0305:initial_n2,TG,generate electrical energy from low-grade heat,TG:P0305:n2,performance,,unmerged_initialization,not_reviewed
TG:P0136:initial_n1,TG,placing thermoelectric hydrogels on top of a photothermal hydrogel,TG:P0136:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0136:initial_n2,TG,photothermal conversion,TG:P0136:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0136:initial_n3,TG,temperature gradient,TG:P0136:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0062:initial_n1,TG,hybrid structure formed between PEDOT: PSS and SO42-/SO32-ion-promoted crosslinking PVA network,TG:P0062:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0062:initial_n2,TG,tensile/compressive stress and deformation at break,TG:P0062:n2,performance,,unmerged_initialization,not_reviewed
TG:P0080:initial_n1,TG,ion thermodiffusion (Bmim+/H2PO4- ),TG:P0080:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0080:initial_n2,TG,thermogalvanic effect (Fe2+/Fe3+),TG:P0080:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0080:initial_n3,TG,Seebeck coefficient,TG:P0080:n3,performance,,unmerged_initialization,not_reviewed
TG:P0137:initial_n1,TG,Grafting guanidinium salt ions,TG:P0137:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0137:initial_n2,TG,selective separation of positive and negative ions,TG:P0137:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0137:initial_n3,TG,thermodiffusion effect,TG:P0137:n3,mechanism,,unmerged_initialization,not_reviewed
TG:P0137:initial_n4,TG,introduction of melamine,TG:P0137:n4,material_strategy,,unmerged_initialization,not_reviewed
TG:P0137:initial_n5,TG,selective complexation/desorption of Fe3+ at cold and hot ends,TG:P0137:n5,interaction,,unmerged_initialization,not_reviewed
TG:P0137:initial_n6,TG,concentration and entropy difference of redox pairs,TG:P0137:n6,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0304:initial_n1,TG,convective flows,TG:P0304:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0304:initial_n2,TG,charging,TG:P0304:n2,performance,,unmerged_initialization,not_reviewed
TG:P0304:initial_n3,TG,exchanging electrons between ions and electrodes,TG:P0304:n3,mechanism,,unmerged_initialization,not_reviewed
TG:P0261:initial_n1,TG,kappa-carrageenan,TG:P0261:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0261:initial_n2,TG,viscoelasticity of the precursor,TG:P0261:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0261:initial_n3,TG,double-network porous structure,TG:P0261:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0261:initial_n4,TG,mechanical robustness,TG:P0261:n4,performance,,unmerged_initialization,not_reviewed
TG:P0261:initial_n5,TG,ion transport,TG:P0261:n5,mechanism,,unmerged_initialization,not_reviewed
TG:P0254:initial_n1,TG,addition of NaClO4 instead of Fe(ClO4)2/Fe(ClO4)3,TG:P0254:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0254:initial_n2,TG,Rs,TG:P0254:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0254:initial_n3,TG,Rct,TG:P0254:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0254:initial_n4,TG,Rdif,TG:P0254:n4,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0253:initial_n1,TG,angular velocity w increased,TG:P0253:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0253:initial_n2,TG,Rdif,TG:P0253:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0253:initial_n3,TG,Rs,TG:P0253:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0253:initial_n4,TG,Rct,TG:P0253:n4,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0253:initial_n5,TG,convective mass transfer,TG:P0253:n5,mechanism,,unmerged_initialization,not_reviewed
TG:P0253:initial_n6,TG,diffusive mass transfer,TG:P0253:n6,mechanism,,unmerged_initialization,not_reviewed
TG:P0220:initial_n1,TG,different diffusivity of individual ions,TG:P0220:n1,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0220:initial_n2,TG,asymmetry in the interfaces of the electrical double layer,TG:P0220:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0220:initial_n3,TG,performance difference,TG:P0220:n3,performance,,unmerged_initialization,not_reviewed
TG:P0224:initial_n1,TG,thermodiffusion term,TG:P0224:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0224:initial_n2,TG,diffusion coefficient,TG:P0224:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0224:initial_n3,TG,Eastman entropy of transfer,TG:P0224:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0224:initial_n4,TG,electrophoretic charge number of colloidal particles,TG:P0224:n4,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0224:initial_n5,TG,particle concentration and the applied magnetic field strength and direction,TG:P0224:n5,material_strategy,,unmerged_initialization,not_reviewed
TG:P0023:initial_n1,TG,sodium pyrrolidone carboxylate,TG:P0023:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0023:initial_n2,TG,water retention,TG:P0023:n2,performance,,unmerged_initialization,not_reviewed
TG:P0023:initial_n3,TG,mechanical properties,TG:P0023:n3,performance,,unmerged_initialization,not_reviewed
TG:P0251:initial_n1,TG,antisolvent,TG:P0251:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0251:initial_n2,TG,agglomeration of Fe(CN)(6)(4-) ions,TG:P0251:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0251:initial_n3,TG,interfacial free energy with water molecules,TG:P0251:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0251:initial_n4,TG,disorder within its solvation shell,TG:P0251:n4,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0251:initial_n5,TG,intercalation of an ethanol molecule into the first solvation shell of Fe(CN)(6)(4-),TG:P0251:n5,mechanism,,unmerged_initialization,not_reviewed
TG:P0251:initial_n6,TG,solvation entropy increase of redox ions,TG:P0251:n6,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0251:initial_n7,TG,thermogalvanic effect,TG:P0251:n7,mechanism,,unmerged_initialization,not_reviewed
TG:P0169:initial_n1,TG,3D hierarchical structure electrode,TG:P0169:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0169:initial_n2,TG,electroactive surface area,TG:P0169:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0169:initial_n3,TG,thermogalvanic reaction sites,TG:P0169:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0169:initial_n4,TG,interface charge transfer resistance,TG:P0169:n4,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0019:initial_n1,TG,non -covalent crosslinking,TG:P0019:n1,interaction,,unmerged_initialization,not_reviewed
TG:P0019:initial_n2,TG,tight physical and electrical contact,TG:P0019:n2,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0019:initial_n3,TG,stable and reliable signal output,TG:P0019:n3,performance,,unmerged_initialization,not_reviewed
TG:P0019:initial_n4,TG,thermogalvanic and piezoresistive effects,TG:P0019:n4,mechanism,,unmerged_initialization,not_reviewed
TG:P0019:initial_n5,TG,sensing of pressure,TG:P0019:n5,performance,,unmerged_initialization,not_reviewed
TG:P0196:initial_n1,TG,thermo-diffusion effect of electrolyte ions,TG:P0196:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0196:initial_n2,TG,thermogalvanic effect involving I- to I-3(-) conversion and Zn plating,TG:P0196:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0196:initial_n3,TG,heat-to-electricity conversion,TG:P0196:n3,performance,,unmerged_initialization,not_reviewed
TG:P0162:initial_n1,TG,mixing of oxidant and reductant in microchannel,TG:P0162:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0162:initial_n2,TG,interaction of redox ions and surrounding solvation,TG:P0162:n2,interaction,,unmerged_initialization,not_reviewed
TG:P0162:initial_n3,TG,entropy difference of solvation structure,TG:P0162:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0162:initial_n4,TG,thermogalvanic effect,TG:P0162:n4,mechanism,,unmerged_initialization,not_reviewed
TG:P0162:initial_n5,TG,mass transfer of redox ions,TG:P0162:n5,mechanism,,unmerged_initialization,not_reviewed
TG:P0275:initial_n1,TG,interfacial effect of microstructure-electrolyte solution,TG:P0275:n1,interaction,,unmerged_initialization,not_reviewed
TG:P0275:initial_n2,TG,ionic reactions,TG:P0275:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0275:initial_n3,TG,transport processes,TG:P0275:n3,mechanism,,unmerged_initialization,not_reviewed
TG:P0079:initial_n1,TG,Seebeck coefficient,TG:P0079:n1,performance,,unmerged_initialization,not_reviewed
TG:P0079:initial_n2,TG,heat-flux transduction,TG:P0079:n2,performance,,unmerged_initialization,not_reviewed
TG:P0079:initial_n3,TG,spatially resolved thermal mapping,TG:P0079:n3,performance,,unmerged_initialization,not_reviewed
TG:P0021:initial_n1,TG,double-layer thermogalvanic cell (DTGC) architecture,TG:P0021:n1,material_strategy,,unmerged_initialization,not_reviewed
TG:P0021:initial_n2,TG,spatially segregates redox pairs into two distinct gel layers,TG:P0021:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0021:initial_n3,TG,ion concentration gradients,TG:P0021:n3,physical_consequence,,unmerged_initialization,not_reviewed
TG:P0015:initial_n1,TG,stretching-induced crystallization,TG:P0015:n1,mechanism,,unmerged_initialization,not_reviewed
TG:P0015:initial_n2,TG,thermoelectric effect,TG:P0015:n2,mechanism,,unmerged_initialization,not_reviewed
TG:P0015:initial_n3,TG,tensile strength,TG:P0015:n3,performance,,unmerged_initialization,not_reviewed
TG:P0015:initial_n4,TG,thermopower,TG:P0015:n4,performance,,unmerged_initialization,not_reviewed
TG:P0225:initial_n1,TG,thermodiffusive and thermogalvanic effects,TG:P0225:n1,mechanism,,unmerged_initialization,not_reviewed
