mention_id,concept_id,domain,paper_id,raw_label,semantic_role,source,concept_type
iTE:P0915:astra_node:4c2765f12bba89c1f7eb,concept:v2:iTE:supp:4c2765f12bba89c1f7eb,iTE,P0915,electronic Seebeck effect + ionic Seebeck effect + mixed ion-electron conduction in elastic aerogel,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P0931:astra_node:06c83d66efe40d3d962e,concept:v2:iTE:supp:06c83d66efe40d3d962e,iTE,P0931,electrochemical Seebeck coefficient alpha,performance_function,astra_authored_local_repair,relation_repair_concept
iTE:P0932:astra_node:d42b7ed4f2ed2c194065,concept:v2:iTE:supp:d42b7ed4f2ed2c194065,iTE,P0932,PSS separation + benzoid-to-quinoid PEDOT conformational change,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P1276:astra_node:c5d966d93dc2de883bcc,concept:v2:iTE:supp:c5d966d93dc2de883bcc,iTE,P1276,anisotropic phonon group velocity + intrinsic structure anisotropy,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P1500:astra_node:67f8ba03f5acc0d9104e,concept:v2:iTE:supp:67f8ba03f5acc0d9104e,iTE,P1500,high doping level + high structural order,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P1526:astra_node:0347cae7871be5ab7159,concept:v2:iTE:supp:0347cae7871be5ab7159,iTE,P1526,interactions between mixed octahedral-tetrahedral [TS4]Cu6 complexes,interaction,astra_authored_local_repair,relation_repair_concept
iTE:P1595:astra_node:bcf7d600664ff588e3b1,concept:v2:iTE:supp:bcf7d600664ff588e3b1,iTE,P1595,anharmonic anisotropic Cu vibration + ionic bonds around Cu + global weak bonding,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P1653:astra_node:15be756b4d6e69d9cc4d,concept:v2:iTE:supp:15be756b4d6e69d9cc4d,iTE,P1653,higher excess volume + weaker Sr-O bonds,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P1680:astra_node:372b534bd78d69844ebf,concept:v2:iTE:supp:372b534bd78d69844ebf,iTE,P1680,additional Cu ion conduction + optimization of n-type carrier density,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P1862:astra_node:0c3ac6545778063d8750,concept:v2:iTE:supp:0c3ac6545778063d8750,iTE,P1862,external electric field + vector charge transfer + gradient energy band,compound_joint_factors,astra_authored_local_repair,logical_conjunction
TG:P0286:astra_node:b226a80351ad4118e594,concept:v2:TG:supp:b226a80351ad4118e594,TG,P0286,well-developed pore structure + nitrogen doping,compound_joint_factors,astra_authored_local_repair,logical_conjunction
TG:P0289:astra_node:a529e92e54c58925c815,concept:v2:TG:supp:a529e92e54c58925c815,TG,P0289,high electrochemically accessible surface area + fast redox-mediated electron transfer,compound_joint_factors,astra_authored_local_repair,logical_conjunction
TG:P0291:astra_node:83b6d79bd8b4d6356d44,concept:v2:TG:supp:83b6d79bd8b4d6356d44,TG,P0291,redox-couple concentration optimization + hot/cold electrode separation optimization,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P0795:astra_node:3c1d23d8160e5f1972f9,concept:v2:iTE:supp:3c1d23d8160e5f1972f9,iTE,P0795,logarithmic energy derivative of local density of states at Fermi energy,quantity,astra_authored_local_repair,reference_concept
iTE:P0795:astra_node:55af8942d48b22fa8546,concept:v2:iTE:supp:55af8942d48b22fa8546,iTE,P0795,mesoscopic Seebeck coefficient,quantity,astra_authored_local_repair,reference_concept
iTE:P0795:astra_node:997c8466bc3366d6dd44,concept:v2:iTE:supp:997c8466bc3366d6dd44,iTE,P0795,atom-to-atom interaction at interface,interaction,astra_authored_local_repair,reference_concept
iTE:P0795:astra_node:258f4b3c9d2677d85ffd,concept:v2:iTE:supp:258f4b3c9d2677d85ffd,iTE,P0795,effective temperature drop at tip-sample junction,quantity,astra_authored_local_repair,reference_concept
iTE:P0397:astra_node:c192b6a6f3f8f35cbb25,concept:v2:iTE:supp:c192b6a6f3f8f35cbb25,iTE,P0397,copper-coordinated carboxylated cellulose,material_entity,astra_authored_local_repair,reference_concept
iTE:P0397:astra_node:69d96a51298984365532,concept:v2:iTE:supp:69d96a51298984365532,iTE,P0397,thermal-gradient diffusion of CuCl4(2-) complexes,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P0397:astra_node:898661656d4e608c8b3c,concept:v2:iTE:supp:898661656d4e608c8b3c,iTE,P0397,other transition metal chlorides,material_entity,astra_authored_local_repair,reference_concept
iTE:P0397:astra_node:00c551f57139fdccc409,concept:v2:iTE:supp:00c551f57139fdccc409,iTE,P0397,same specific enhanced heat-transport phenomenon,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1009:astra_node:a02069859bbc859a76e3,concept:v2:iTE:supp:a02069859bbc859a76e3,iTE,P1009,C and N doping in CsZnCl3,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1009:astra_node:67868f24323bcb081f36,concept:v2:iTE:supp:67868f24323bcb081f36,iTE,P1009,semiconductor to spin-semiconductor nature,state_structure,astra_authored_local_repair,reference_concept
iTE:P1009:astra_node:1c10ae6e75db69c2e2ff,concept:v2:iTE:supp:1c10ae6e75db69c2e2ff,iTE,P1009,figure of merit from 0.79 to almost 1.0,performance_function,astra_authored_local_repair,reference_concept
iTE:P1671:astra_node:aa76a987cf57fb7fa49e,concept:v2:iTE:supp:aa76a987cf57fb7fa49e,iTE,P1671,high-temperature disorder and onset of superionic conductivity,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1671:astra_node:d9cb5003207f9bde3be7,concept:v2:iTE:supp:d9cb5003207f9bde3be7,iTE,P1671,lattice thermal conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1671:astra_node:2113235d345a6b797e0e,concept:v2:iTE:supp:2113235d345a6b797e0e,iTE,P1671,anharmonic bonding and diffuson dominated transport,state_structure,astra_authored_local_repair,reference_concept
iTE:P1671:astra_node:410e807c152bf901a42e,concept:v2:iTE:supp:410e807c152bf901a42e,iTE,P1671,inherently low lattice thermal conductivity in ACrX2,performance_function,astra_authored_local_repair,reference_concept
iTE:P1678:astra_node:d098d51026bd27f4cbfd,concept:v2:iTE:supp:d098d51026bd27f4cbfd,iTE,P1678,ionic bonding character and large Born effective charges,interaction,astra_authored_local_repair,reference_concept
iTE:P1678:astra_node:56524af7255e3622ac5c,concept:v2:iTE:supp:56524af7255e3622ac5c,iTE,P1678,colossal phonon-electric field coupling,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1678:astra_node:cabb7b60a3a896f5f1a2,concept:v2:iTE:supp:cabb7b60a3a896f5f1a2,iTE,P1678,large LO-TO splitting,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1678:astra_node:d07c571605198cc03aa3,concept:v2:iTE:supp:d07c571605198cc03aa3,iTE,P1678,including non-analytic correction,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1678:astra_node:e5a1d23ab10d69e40e2e,concept:v2:iTE:supp:e5a1d23ab10d69e40e2e,iTE,P1678,lattice thermal conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1678:astra_node:19049b917f359f7cdd9f,concept:v2:iTE:supp:19049b917f359f7cdd9f,iTE,P1678,"large mass, low velocities, Debye temperature, stiffness, lifetimes, heat capacity and strong anharmonicity",state_structure,astra_authored_local_repair,reference_concept
iTE:P1678:astra_node:43d6fe935fa71fb80570,concept:v2:iTE:supp:43d6fe935fa71fb80570,iTE,P1678,low lattice thermal conductivity,performance_function,astra_authored_local_repair,reference_concept
iTE:P0362:astra_node:98ed7c2c21da1e120f7a,concept:v2:iTE:supp:98ed7c2c21da1e120f7a,iTE,P0362,cation coordination with PEO ether oxygen,interaction,astra_authored_local_repair,reference_concept
iTE:P0362:astra_node:107beb746b62734564af,concept:v2:iTE:supp:107beb746b62734564af,iTE,P0362,cation-anion diffusion coefficients and Eastman entropy changes,quantity,astra_authored_local_repair,reference_concept
iTE:P0362:astra_node:46978a1073a704a2ea07,concept:v2:iTE:supp:46978a1073a704a2ea07,iTE,P0362,PEO/MgTFSI2 versus PEO/LiTFSI,performance_function,astra_authored_local_repair,reference_concept
iTE:P0362:astra_node:9b747751a47e66f0d33a,concept:v2:iTE:supp:9b747751a47e66f0d33a,iTE,P0362,negative thermopower,performance_function,astra_authored_local_repair,reference_concept
iTE:P1123:astra_node:3025c60a85773db0f4ad,concept:v2:iTE:supp:3025c60a85773db0f4ad,iTE,P1123,electronic band structure and DOS,descriptor,astra_authored_local_repair,reference_concept
iTE:P1123:astra_node:145073fd57fb2e7a1a45,concept:v2:iTE:supp:145073fd57fb2e7a1a45,iTE,P1123,metallic WB and semimetal-like WAlB,state_structure,astra_authored_local_repair,reference_concept
iTE:P1123:astra_node:a1e4ee0b7abee1276973,concept:v2:iTE:supp:a1e4ee0b7abee1276973,iTE,P1123,large infrared reflectivity,performance_function,astra_authored_local_repair,reference_concept
iTE:P1123:astra_node:9f4b5a09a7cbf11817bf,concept:v2:iTE:supp:9f4b5a09a7cbf11817bf,iTE,P1123,coating to remove solar heating,application,astra_authored_local_repair,reference_concept
iTE:P1282:astra_node:f16952d6d9521d9d7a2b,concept:v2:iTE:supp:f16952d6d9521d9d7a2b,iTE,P1282,thermal activation of intrinsic localized modes,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1282:astra_node:512a5b7bb0b1ad9a4a30,concept:v2:iTE:supp:512a5b7bb0b1ad9a4a30,iTE,P1282,thermal expansion,quantity,astra_authored_local_repair,reference_concept
iTE:P1282:astra_node:6e6304edc16c7522da7a,concept:v2:iTE:supp:6e6304edc16c7522da7a,iTE,P1282,ILM activation,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1282:astra_node:708355cdd16e9c085acc,concept:v2:iTE:supp:708355cdd16e9c085acc,iTE,P1282,electrical conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1282:astra_node:e1e5e25c858d31acff7a,concept:v2:iTE:supp:e1e5e25c858d31acff7a,iTE,P1282,complement of transport effects from ILMs,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1282:astra_node:51a1a3f4d9d5e19c91c5,concept:v2:iTE:supp:51a1a3f4d9d5e19c91c5,iTE,P1282,thermoelectric performance,performance_function,astra_authored_local_repair,reference_concept
iTE:P1039:astra_node:ddf8748548f0d3de1774,concept:v2:iTE:supp:ddf8748548f0d3de1774,iTE,P1039,temperature above 410 K,condition,astra_authored_local_repair,reference_concept
iTE:P1039:astra_node:2554a111ce14f93c4bc9,concept:v2:iTE:supp:2554a111ce14f93c4bc9,iTE,P1039,Ag8GeSe6 orthorhombic structure toward face-centered cubic with intervening phase separation,state_structure,astra_authored_local_repair,reference_concept
iTE:P1039:astra_node:6b0e0ec2c481f6494180,concept:v2:iTE:supp:6b0e0ec2c481f6494180,iTE,P1039,phonon mean free path near interatomic spacing,state_structure,astra_authored_local_repair,reference_concept
iTE:P1039:astra_node:75a987d83ad27f7ed216,concept:v2:iTE:supp:75a987d83ad27f7ed216,iTE,P1039,ultralow thermal conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1039:astra_node:86a93ee52068e05a182c,concept:v2:iTE:supp:86a93ee52068e05a182c,iTE,P1039,Se deficiency variation,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1039:astra_node:9459fc3a52016010d7ad,concept:v2:iTE:supp:9459fc3a52016010d7ad,iTE,P1039,carrier concentration and power factor,quantity,astra_authored_local_repair,reference_concept
iTE:P0824:astra_node:0d086e49d60d52001cee,concept:v2:iTE:supp:0d086e49d60d52001cee,iTE,P0824,low-degeneracy strongly dispersive valley,state_structure,astra_authored_local_repair,reference_concept
iTE:P0824:astra_node:35c727400d9fb1288dfd,concept:v2:iTE:supp:35c727400d9fb1288dfd,iTE,P0824,high electrical conductivity but small Seebeck magnitude,performance_function,astra_authored_local_repair,reference_concept
iTE:P0824:astra_node:7b038f25b04d6c83b286,concept:v2:iTE:supp:7b038f25b04d6c83b286,iTE,P0824,ionic radius of Ln,quantity,astra_authored_local_repair,reference_concept
iTE:P0824:astra_node:e9d377719698fc5818b4,concept:v2:iTE:supp:e9d377719698fc5818b4,iTE,P0824,valley energy difference DeltaE in LnZnSbO,quantity,astra_authored_local_repair,reference_concept
iTE:P0824:astra_node:ef394fc7437b7039273d,concept:v2:iTE:supp:ef394fc7437b7039273d,iTE,P0824,moderate valley energy difference in Ce-Nd LnZnSbO,state_structure,astra_authored_local_repair,reference_concept
iTE:P0824:astra_node:e194d8f64e23a93782da,concept:v2:iTE:supp:e194d8f64e23a93782da,iTE,P0824,thermoelectric performance,performance_function,astra_authored_local_repair,reference_concept
iTE:P1361:astra_node:577885e16a97c37b7d93,concept:v2:iTE:supp:577885e16a97c37b7d93,iTE,P1361,oxygen partial pressure,condition,astra_authored_local_repair,reference_concept
iTE:P1361:astra_node:d6c745adcab6b8c27e26,concept:v2:iTE:supp:d6c745adcab6b8c27e26,iTE,P1361,n-type and p-type conductivities respectively,quantity,astra_authored_local_repair,reference_concept
iTE:P1361:astra_node:89db883b269acbf2e38e,concept:v2:iTE:supp:89db883b269acbf2e38e,iTE,P1361,lower-valent impurities or dopants,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1361:astra_node:2131e59db79699d3e900,concept:v2:iTE:supp:2131e59db79699d3e900,iTE,P1361,oxygen vacancy concentration,quantity,astra_authored_local_repair,reference_concept
iTE:P1361:astra_node:62d5a7a873182e44bbe0,concept:v2:iTE:supp:62d5a7a873182e44bbe0,iTE,P1361,partial electron conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1361:astra_node:c61bfb9c0ea13821ab39,concept:v2:iTE:supp:c61bfb9c0ea13821ab39,iTE,P1361,anomalous c-axis expansion,quantity,astra_authored_local_repair,reference_concept
iTE:P0613:astra_node:dde68f735378f1fea819,concept:v2:iTE:supp:dde68f735378f1fea819,iTE,P0613,drying and regeneration,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P0613:astra_node:50a77a62e5c01506e2b6,concept:v2:iTE:supp:50a77a62e5c01506e2b6,iTE,P0613,ionic Seebeck coefficient,performance_function,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:7e8745c938f52411eb51,concept:v2:iTE:supp:7e8745c938f52411eb51,iTE,P1398,partial Ce/Nd filling together with Co substitution at Fe sites,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:d69979c969ab2905024f,concept:v2:iTE:supp:d69979c969ab2905024f,iTE,P1398,FeSb2 marcasite formation,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:33e2964432ec2064290f,concept:v2:iTE:supp:33e2964432ec2064290f,iTE,P1398,Co charge compensation and Nd filler content,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:200e800c23a0199723c7,concept:v2:iTE:supp:200e800c23a0199723c7,iTE,P1398,Seebeck coefficient,performance_function,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:08dd8342f864e07b7ca0,concept:v2:iTE:supp:08dd8342f864e07b7ca0,iTE,P1398,electrical conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:cfdc4017f29d886dbab7,concept:v2:iTE:supp:cfdc4017f29d886dbab7,iTE,P1398,higher carrier concentration under partial versus complete double filling,quantity,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:db40eaf4a14c52038b9c,concept:v2:iTE:supp:db40eaf4a14c52038b9c,iTE,P1398,higher electrical conductivity and lower Seebeck coefficient,quantity,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:83056317aa0fc3775363,concept:v2:iTE:supp:83056317aa0fc3775363,iTE,P1398,comparable Ce/Nd atomic masses and ionic radii,state_structure,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:fe51d5aaf3f643da399b,concept:v2:iTE:supp:fe51d5aaf3f643da399b,iTE,P1398,lattice thermal conductivity with partial double filling,quantity,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:9ba08653c872b7f2b87a,concept:v2:iTE:supp:9ba08653c872b7f2b87a,iTE,P1398,increasing Co content,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1398:astra_node:3f9ba27955c6376bb06c,concept:v2:iTE:supp:3f9ba27955c6376bb06c,iTE,P1398,intrinsic conduction onset temperature and thereby changes ZT,quantity,astra_authored_local_repair,reference_concept
iTE:P1004:astra_node:d3dc725ee2556321fe5f,concept:v2:iTE:supp:d3dc725ee2556321fe5f,iTE,P1004,Cr addition in Ca3Co4-xCrxO9+delta,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1004:astra_node:a8620d24b9649d7c3d12,concept:v2:iTE:supp:a8620d24b9649d7c3d12,iTE,P1004,resistivity and Seebeck coefficient,performance_function,astra_authored_local_repair,reference_concept
iTE:P1004:astra_node:12d223825e34290ad8c1,concept:v2:iTE:supp:12d223825e34290ad8c1,iTE,P1004,thermal conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1004:astra_node:42150d1c2bbc8bcaec4f,concept:v2:iTE:supp:42150d1c2bbc8bcaec4f,iTE,P1004,Co/Cr charge-state and ionic-radius differences,descriptor,astra_authored_local_repair,reference_concept
iTE:P1004:astra_node:02668f3fff639489ebea,concept:v2:iTE:supp:02668f3fff639489ebea,iTE,P1004,changed thermoelectric properties,performance_function,astra_authored_local_repair,reference_concept
iTE:P1276:astra_node:863af6bdda699009af89,concept:v2:iTE:supp:863af6bdda699009af89,iTE,P1276,spin-orbit coupling,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1276:astra_node:a985fa942975af327a06,concept:v2:iTE:supp:a985fa942975af327a06,iTE,P1276,PdSe monolayer electronic properties,quantity,astra_authored_local_repair,reference_concept
iTE:P1276:astra_node:f62be0d16e9163d7b5a7,concept:v2:iTE:supp:f62be0d16e9163d7b5a7,iTE,P1276,anisotropic phonon group velocity and intrinsic structural anisotropy,state_structure,astra_authored_local_repair,reference_concept
iTE:P1276:astra_node:7ceb6787bfc2273f9a4e,concept:v2:iTE:supp:7ceb6787bfc2273f9a4e,iTE,P1276,anisotropic lattice thermal conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1276:astra_node:87e8be6c2291ad3367f1,concept:v2:iTE:supp:87e8be6c2291ad3367f1,iTE,P1276,compromised mobility despite low thermal conduction,quantity,astra_authored_local_repair,reference_concept
iTE:P1276:astra_node:7242557118a874cb7842,concept:v2:iTE:supp:7242557118a874cb7842,iTE,P1276,ZT to moderate values,performance_function,astra_authored_local_repair,reference_concept
iTE:P1842:astra_node:6eede2006afa63e2571c,concept:v2:iTE:supp:6eede2006afa63e2571c,iTE,P1842,3D multijunction BMWCNT solar-cell design,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1842:astra_node:8552696aef343d44de25,concept:v2:iTE:supp:8552696aef343d44de25,iTE,P1842,electron-hole pair creation along x/y and z directions,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1842:astra_node:f762bbb99c0704e2cf62,concept:v2:iTE:supp:f762bbb99c0704e2cf62,iTE,P1842,broad-spectrum harvesting including nanotube thermoelectric and thermo-ionic features,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1842:astra_node:9ad17a47e469e1961424,concept:v2:iTE:supp:9ad17a47e469e1961424,iTE,P1842,conversion efficiency,performance_function,astra_authored_local_repair,reference_concept
iTE:P1774:astra_node:87818f4836711533be4c,concept:v2:iTE:supp:87818f4836711533be4c,iTE,P1774,tortuous electrode ionic pathways and concentration gradient,state_structure,astra_authored_local_repair,reference_concept
iTE:P1774:astra_node:fd9d3fd78aea5da6cbb9,concept:v2:iTE:supp:fd9d3fd78aea5da6cbb9,iTE,P1774,TEC output current,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1774:astra_node:69d2fb4d76aeb867228e,concept:v2:iTE:supp:69d2fb4d76aeb867228e,iTE,P1774,increasing parallel DWCNT stacks from one to three,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1774:astra_node:32029da0f72aaf95926a,concept:v2:iTE:supp:32029da0f72aaf95926a,iTE,P1774,output power density,performance_function,astra_authored_local_repair,reference_concept
iTE:P1774:astra_node:6b5bd7e0646593e11d2a,concept:v2:iTE:supp:6b5bd7e0646593e11d2a,iTE,P1774,orthogonal lamination of three DWCNT layers,design_strategy,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:b03a4a527f143a2ea465,concept:v2:iTE:supp:b03a4a527f143a2ea465,iTE,P1128,increasing S content with smaller S2- than Se2-,condition,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:fdb9e3b94f45b08aba63,concept:v2:iTE:supp:fdb9e3b94f45b08aba63,iTE,P1128,lattice parameters a and c,quantity,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:6141d1f17b87bff486b7,concept:v2:iTE:supp:6141d1f17b87bff486b7,iTE,P1128,intermediate S composition 0.8 to 1.2,condition,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:dd6a8829b87e014f03b2,concept:v2:iTE:supp:dd6a8829b87e014f03b2,iTE,P1128,eskebornite/chalcopyrite composite rather than complete solid solution,state_structure,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:1a74e513ebb6251542d8,concept:v2:iTE:supp:1a74e513ebb6251542d8,iTE,P1128,increasing S content/end-member semiconductor combination,condition,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:a073299fb6810ad16fd1,concept:v2:iTE:supp:a073299fb6810ad16fd1,iTE,P1128,Seebeck polarity from p to n,quantity,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:b16c407d578213fe005a,concept:v2:iTE:supp:b16c407d578213fe005a,iTE,P1128,inverse electrical conductivity-Seebeck relationship,quantity,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:b5ce350f1a2633ab7d90,concept:v2:iTE:supp:b5ce350f1a2633ab7d90,iTE,P1128,power factor,performance_function,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:2570ecab584ac12f8328,concept:v2:iTE:supp:2570ecab584ac12f8328,iTE,P1128,thermal-conductivity reduction with modest power factor,performance_function,astra_authored_local_repair,reference_concept
iTE:P1128:astra_node:c1267f5de1b16459a3d5,concept:v2:iTE:supp:c1267f5de1b16459a3d5,iTE,P1128,ZT,performance_function,astra_authored_local_repair,reference_concept
iTE:P0588:astra_node:05643ab7761bb0d7be3c,concept:v2:iTE:supp:05643ab7761bb0d7be3c,iTE,P0588,reduced migration barriers including K about 0.4eV,quantity,astra_authored_local_repair,reference_concept
iTE:P0588:astra_node:cea1a10d9a8a95515393,concept:v2:iTE:supp:cea1a10d9a8a95515393,iTE,P0588,ionic conduction in weathered biotite,mechanism_process,astra_authored_local_repair,reference_concept
iTE:P1761:astra_node:9bb1e6a27efb2ae6c7d9,concept:v2:iTE:supp:9bb1e6a27efb2ae6c7d9,iTE,P1761,increasing hydrostatic pressure on RbSnCl3/RbSnBr3,condition,astra_authored_local_repair,reference_concept
iTE:P1761:astra_node:19b99ab7d69df8cee495,concept:v2:iTE:supp:19b99ab7d69df8cee495,iTE,P1761,band gap,quantity,astra_authored_local_repair,reference_concept
iTE:P1761:astra_node:4c27371647e1b436c2ba,concept:v2:iTE:supp:4c27371647e1b436c2ba,iTE,P1761,pressure,condition,astra_authored_local_repair,reference_concept
iTE:P1761:astra_node:003d429a65d777b0fb33,concept:v2:iTE:supp:003d429a65d777b0fb33,iTE,P1761,optical absorbance and conductivity,quantity,astra_authored_local_repair,reference_concept
iTE:P1761:astra_node:064fff0677e66ac52e52,concept:v2:iTE:supp:064fff0677e66ac52e52,iTE,P1761,higher pressure,condition,astra_authored_local_repair,reference_concept
iTE:P1761:astra_node:4a25e72d7dbf2fa5476e,concept:v2:iTE:supp:4a25e72d7dbf2fa5476e,iTE,P1761,Rb-Cl/Br and Sn-Cl/Br bonding,state_structure,astra_authored_local_repair,reference_concept
iTE:P1761:astra_node:e89597c8dc58724c61c6,concept:v2:iTE:supp:e89597c8dc58724c61c6,iTE,P1761,anisotropic behavior,state_structure,astra_authored_local_repair,reference_concept
iTE:P1688:astra_node:dd79f8af7441ab230dbf,concept:v2:iTE:supp:dd79f8af7441ab230dbf,iTE,P1688,larger Nb5+ radius and oxygen-sublattice relaxation,state_structure,astra_authored_local_repair,reference_concept
iTE:P1688:astra_node:07e52ad3413b1438a5eb,concept:v2:iTE:supp:07e52ad3413b1438a5eb,iTE,P1688,Nb-substituted CaSiO3,state_structure,astra_authored_local_repair,reference_concept
iTE:P1688:astra_node:dc8f33fc4ce603221012,concept:v2:iTE:supp:dc8f33fc4ce603221012,iTE,P1688,Nb4d/O2p donor states introduced by Nb,state_structure,astra_authored_local_repair,reference_concept
iTE:P1688:astra_node:9666c0d785b29f348116,concept:v2:iTE:supp:9666c0d785b29f348116,iTE,P1688,CaSiO3 electronic band gap,quantity,astra_authored_local_repair,reference_concept
