concept_id,domain,display_label,semantic_role,source_roles,member_count,paper_count,source_mention_ids,paper_ids,normalization_status,human_review_required,concept_type
concept:v2:TG:0a92d2f89ee2aa7d3b41,TG,thermoelectric hydrogel,material_entity,"[""material_entity""]",1,1,"[""TG:P0156:n2""]","[""P0156""]",retained_identity,False,evidence_concept
concept:v2:TG:0acc3e2758fa5c00512a,TG,integrative multilayer film cell,state_structure,"[""state_structure""]",1,1,"[""TG:P0181:n1""]","[""P0181""]",retained_identity,False,evidence_concept
concept:v2:TG:0afe676449258d3fe4bf,TG,两端温度差,quantity,"[""quantity""]",3,3,"[""TG:P0086:n4"", ""TG:P0202:n3"", ""TG:P0233:n3""]","[""P0086"", ""P0202"", ""P0233""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:0b16bb6f80e603898cd7,TG,chaotropic effect,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0005:n1""]","[""P0005""]",retained_identity,False,evidence_concept
concept:v2:TG:0b380baa5247e6b0bdc4,TG,optimized thermopower,performance_function,"[""performance_function""]",1,1,"[""TG:P0032:n1""]","[""P0032""]",retained_identity,False,evidence_concept
concept:v2:TG:0b4556f32907d18e29ad,TG,温敏结晶过程,mechanism_process,"[""mechanism_process""]",2,2,"[""TG:P0006:n1"", ""TG:P0255:n1""]","[""P0006"", ""P0255""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:0b6ab7598c4e438cc0e3,TG,5 wt% organic semiconductor orange dye aqueous solution,material_entity,"[""material_entity""]",1,1,"[""TG:P0117:n1""]","[""P0117""]",retained_identity,False,evidence_concept
concept:v2:TG:0bc9d2434b3d26009a95,TG,photothermal layer,state_structure,"[""state_structure""]",1,1,"[""TG:P0191:n2""]","[""P0191""]",retained_identity,False,evidence_concept
concept:v2:TG:0c8f931a220a6f42721a,TG,pitting potential,quantity,"[""quantity""]",1,1,"[""TG:P0131:n3""]","[""P0131""]",retained_identity,False,evidence_concept
concept:v2:TG:0ca2fafd15703b8d7fe6,TG,红氧离子溶剂化熵差,quantity,"[""quantity""]",4,4,"[""TG:P0063:n3"", ""TG:P0162:n3"", ""TG:P0172:n3"", ""TG:P0264:n3""]","[""P0063"", ""P0162"", ""P0172"", ""P0264""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:0cfe824b9c03b39550c1,TG,peak output power,performance_function,"[""performance_function""]",1,1,"[""TG:P0115:n4""]","[""P0115""]",retained_identity,False,evidence_concept
concept:v2:TG:0d247599551ef45bb8ab,TG,flexible stretchable properties,performance_function,"[""performance_function""]",1,1,"[""TG:P0068:n3""]","[""P0068""]",retained_identity,False,evidence_concept
concept:v2:TG:0d4c80316a78317ec7ea,TG,solvation entropy increase of redox ions,quantity,"[""quantity""]",1,1,"[""TG:P0251:n6""]","[""P0251""]",retained_identity,False,evidence_concept
concept:v2:TG:0da66cc07cd4ecd78511,TG,strong chaotropic salts,material_entity,"[""material_entity""]",1,1,"[""TG:P0139:n1""]","[""P0139""]",retained_identity,False,evidence_concept
concept:v2:TG:0e62b63243b8e37b4242,TG,adsorbing guanidinium ions,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0031:n2""]","[""P0031""]",retained_identity,False,evidence_concept
concept:v2:TG:0e6f725933105add7dcd,TG,Eastman entropy of transfer,quantity,"[""quantity""]",1,1,"[""TG:P0224:n3""]","[""P0224""]",retained_identity,False,evidence_concept
concept:v2:TG:0eadeda31b32a9da1e47,TG,directional freeze-thawing method,design_strategy,"[""design_strategy""]",1,1,"[""TG:P0096:n1""]","[""P0096""]",retained_identity,False,evidence_concept
concept:v2:TG:0f33c5ee9b8eea0621d0,TG,thermogalvanic redox reactions of hydrogen ions on the anode,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0310:n2""]","[""P0310""]",retained_identity,False,evidence_concept
concept:v2:TG:0f3bbbdc92c26fc2200d,TG,entropy change and concentration difference of redox couple,quantity,"[""quantity""]",1,1,"[""TG:P0179:n4""]","[""P0179""]",retained_identity,False,evidence_concept
concept:v2:TG:0f4af992c4f264e86e91,TG,incorporating electroactive polymers within hydrogels,design_strategy,"[""design_strategy""]",1,1,"[""TG:P0249:n1""]","[""P0249""]",retained_identity,False,evidence_concept
concept:v2:TG:0f5137fdf78cc9de8602,TG,Cu-based thermosensitive crystallization,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0284:n1""]","[""P0284""]",retained_identity,False,evidence_concept
concept:v2:TG:0f8295ee94dbdeb329c6,TG,voltage generation,performance_function,"[""performance_function""]",1,1,"[""TG:P0142:n3""]","[""P0142""]",retained_identity,False,evidence_concept
concept:v2:TG:0fab1f97ff77918b0a41,TG,electronic activation energy,quantity,"[""quantity""]",1,1,"[""TG:P0056:n3""]","[""P0056""]",retained_identity,False,evidence_concept
concept:v2:TG:1061e011e3e94440dfb4,TG,溶液电阻Rs,quantity,"[""quantity""]",2,2,"[""TG:P0253:n3"", ""TG:P0254:n2""]","[""P0253"", ""P0254""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:109550d9cca3df56b4eb,TG,DES,material_entity,"[""material_entity""]",1,1,"[""TG:P0264:n1""]","[""P0264""]",retained_identity,False,evidence_concept
concept:v2:TG:10a1727340418ff2275d,TG,Soret coefficient,quantity,"[""quantity""]",1,1,"[""TG:P0222:n2""]","[""P0222""]",retained_identity,False,evidence_concept
concept:v2:TG:10c339f27a36fa447459,TG,dipole orientation disorder,state_structure,"[""state_structure""]",1,1,"[""TG:P0078:n4""]","[""P0078""]",retained_identity,False,evidence_concept
concept:v2:TG:119d77334b20a2e0902f,TG,水分子之间氢键,interaction,"[""interaction""]",3,3,"[""TG:P0061:n2"", ""TG:P0066:n2"", ""TG:P0166:n4""]","[""P0061"", ""P0066"", ""P0166""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:1217a69887420b9756e7,TG,thermoelectrochemical process,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0311:n2""]","[""P0311""]",retained_identity,False,evidence_concept
concept:v2:TG:1367fe1fca77d5793eee,TG,quasi-stable water-in-salt region (up to 2.4 m),condition,"[""condition""]",1,1,"[""TG:P0098:n1""]","[""P0098""]",retained_identity,False,evidence_concept
concept:v2:TG:136bf6790a6a317afffc,TG,hydrogen bonds between DMSO and EG molecules,interaction,"[""interaction""]",1,1,"[""TG:P0059:n1""]","[""P0059""]",retained_identity,False,evidence_concept
concept:v2:TG:155b439a5a79a1ec4a14,TG,hierarchically anisotropic networks,state_structure,"[""state_structure""]",1,1,"[""TG:P0096:n2""]","[""P0096""]",retained_identity,False,evidence_concept
concept:v2:TG:16394f0fbcbfe19fb248,TG,流体对流运动,mechanism_process,"[""mechanism_process""]",2,2,"[""TG:P0233:n2"", ""TG:P0304:n1""]","[""P0233"", ""P0304""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:163f4b2aec50047dc9be,TG,ISC value increase,performance_function,"[""performance_function""]",1,1,"[""TG:P0003:n3""]","[""P0003""]",retained_identity,False,evidence_concept
concept:v2:TG:1738b9f1bc3078086c01,TG,a of Fe3+/Fe2+,performance_function,"[""performance_function""]",1,1,"[""TG:P0183:n2""]","[""P0183""]",retained_identity,False,evidence_concept
concept:v2:TG:17e67d4c70bdb22fb84d,TG,water structure,state_structure,"[""state_structure""]",1,1,"[""TG:P0250:n3""]","[""P0250""]",retained_identity,False,evidence_concept
concept:v2:TG:180944a8a99397a7e15e,TG,encapsulation of a guest,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0195:n1""]","[""P0195""]",retained_identity,False,evidence_concept
concept:v2:TG:188182331306ef25fd04,TG,thermopower retention,performance_function,"[""performance_function""]",1,1,"[""TG:P0032:n5""]","[""P0032""]",retained_identity,False,evidence_concept
concept:v2:TG:19094ea98e900fd9c0e8,TG,spontaneous directions of the full-cell reaction are opposite at low and high temperatures,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0287:n1""]","[""P0287""]",retained_identity,False,evidence_concept
concept:v2:TG:191fa5c1e855a9849189,TG,carboxylated chitosan,material_entity,"[""material_entity""]",1,1,"[""TG:P0266:n1""]","[""P0266""]",retained_identity,False,evidence_concept
concept:v2:TG:193c4585fa69cc57197f,TG,Concentration difference,quantity,"[""quantity""]",1,1,"[""TG:P0116:n3""]","[""P0116""]",retained_identity,False,evidence_concept
concept:v2:TG:19442a6699ca22b9972f,TG,concentrations of both the ionic liquid and the redox couple,condition,"[""condition""]",1,1,"[""TG:P0227:n1""]","[""P0227""]",retained_identity,False,evidence_concept
concept:v2:TG:194c95c3abcd2a60c7af,TG,lower electron-density on the ferrocene,quantity,"[""quantity""]",1,1,"[""TG:P0218:n4""]","[""P0218""]",retained_identity,False,evidence_concept
concept:v2:TG:1a4c61964ce7272d9d28,TG,Maxsorb electrodes,material_entity,"[""material_entity""]",1,1,"[""TG:P0328:n1""]","[""P0328""]",retained_identity,False,evidence_concept
concept:v2:TG:1a5a7853fc79cda3c26c,TG,红氧反应熵差,quantity,"[""quantity""]",3,3,"[""TG:P0146:n2"", ""TG:P0182:n4"", ""TG:P0201:n3""]","[""P0146"", ""P0182"", ""P0201""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:1a80b964ec9b50cf8c8d,TG,activation overpotential,quantity,"[""quantity""]",1,1,"[""TG:P0127:n3""]","[""P0127""]",retained_identity,False,evidence_concept
concept:v2:TG:1a84d8a092e29f5e27fb,TG,18-crown-6,material_entity,"[""material_entity""]",1,1,"[""TG:P0030:n1""]","[""P0030""]",retained_identity,False,evidence_concept
concept:v2:TG:1a99d401b52c8ac6a734,TG,电池输出电流,performance_function,"[""performance_function""]",3,3,"[""TG:P0094:n5"", ""TG:P0127:n4"", ""TG:P0175:n3""]","[""P0094"", ""P0127"", ""P0175""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:1aa6cb3e0d463e57b7e9,TG,ultraviolet damage,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0191:n3""]","[""P0191""]",retained_identity,False,evidence_concept
concept:v2:TG:1bc012d3b63cfd18d30f,TG,high ionic-liquid concentrations,condition,"[""condition""]",1,1,"[""TG:P0227:n3""]","[""P0227""]",retained_identity,False,evidence_concept
concept:v2:TG:1bdaf8043fc8cc0eb071,TG,modification with (3-trimethylammonium bromide)thiopropane,design_strategy,"[""design_strategy""]",1,1,"[""TG:P0041:n1""]","[""P0041""]",retained_identity,False,evidence_concept
concept:v2:TG:1c666b03cc9d618681e1,TG,Fe3+ concentration,quantity,"[""quantity""]",1,1,"[""TG:P0026:n2""]","[""P0026""]",retained_identity,False,evidence_concept
concept:v2:TG:1c6b727a9bea309dc27e,TG,sheet conductance,quantity,"[""quantity""]",1,1,"[""TG:P0231:n2""]","[""P0231""]",retained_identity,False,evidence_concept
concept:v2:TG:1ca0ae9356549f507358,TG,microcrystalline regions,state_structure,"[""state_structure""]",1,1,"[""TG:P0057:n3""]","[""P0057""]",retained_identity,False,evidence_concept
concept:v2:TG:1cad0be52d94cb1d5758,TG,双LiCoO2/Li电池温度循环,design_strategy,"[""design_strategy""]",1,1,"[""TG:P0115:n1""]","[""P0115""]",retained_identity,False,evidence_concept
concept:v2:TG:1ccb421e1bb6ed03b366,TG,water containing DES,material_entity,"[""material_entity""]",1,1,"[""TG:P0246:n1""]","[""P0246""]",retained_identity,False,evidence_concept
concept:v2:TG:1ce4b2c805100dba61ea,TG,KCl,material_entity,"[""material_entity""]",1,1,"[""TG:P0043:n1""]","[""P0043""]",retained_identity,False,evidence_concept
concept:v2:TG:1ceb7c6b66ecda45a6d7,TG,heat-flux transduction,performance_function,"[""performance_function""]",1,1,"[""TG:P0079:n2""]","[""P0079""]",retained_identity,False,evidence_concept
concept:v2:TG:1d61af2cc2e74b9a6283,TG,"hydrogen bonds among phytic acid, glycerol, and water",interaction,"[""interaction""]",1,1,"[""TG:P0013:n1""]","[""P0013""]",retained_identity,False,evidence_concept
concept:v2:TG:1dda2c310181961e3a1b,TG,ionic interactions,interaction,"[""interaction""]",1,1,"[""TG:P0247:n1""]","[""P0247""]",retained_identity,False,evidence_concept
concept:v2:TG:1e67b7fe71e696c30a2c,TG,redox kinetics,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0135:n4""]","[""P0135""]",retained_identity,False,evidence_concept
concept:v2:TG:1f25e15bf0d44e21ea96,TG,solid-electrolyte cell,state_structure,"[""state_structure""]",1,1,"[""TG:P0241:n1""]","[""P0241""]",retained_identity,False,evidence_concept
concept:v2:TG:1fa1ef9783f66e96eaf7,TG,self-supplying temperature difference,quantity,"[""quantity""]",1,1,"[""TG:P0005:n4""]","[""P0005""]",retained_identity,False,evidence_concept
concept:v2:TG:203d8543a7685e24d52f,TG,passive current densities,quantity,"[""quantity""]",1,1,"[""TG:P0131:n2""]","[""P0131""]",retained_identity,False,evidence_concept
concept:v2:TG:20afd48e5bc5c44c7eeb,TG,thermal convection,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0278:n3""]","[""P0278""]",retained_identity,False,evidence_concept
concept:v2:TG:20b6b815c1025680a071,TG,electron transfer,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0293:n2""]","[""P0293""]",retained_identity,False,evidence_concept
concept:v2:TG:20b6d4dfae05addad419,TG,carbon/Iodolyte HI-30/carbon structure,state_structure,"[""state_structure""]",1,1,"[""TG:P0325:n1""]","[""P0325""]",retained_identity,False,evidence_concept
concept:v2:TG:20d0e7a4a9f265dc1f30,TG,asymmetric cells,state_structure,"[""state_structure""]",1,1,"[""TG:P0226:n1""]","[""P0226""]",retained_identity,False,evidence_concept
concept:v2:TG:20fb61be4963a2e80eac,TG,maximum power output density,performance_function,"[""performance_function""]",1,1,"[""TG:P0296:n2""]","[""P0296""]",retained_identity,False,evidence_concept
concept:v2:TG:2110e9cf2adecf3deecf,TG,double-jellyroll structure of the LFP cell,state_structure,"[""state_structure""]",1,1,"[""TG:P0256:n1""]","[""P0256""]",retained_identity,False,evidence_concept
concept:v2:TG:2119be068ff4e08bc6c8,TG,concentration gradient of the free I-3(-),quantity,"[""quantity""]",1,1,"[""TG:P0093:n3""]","[""P0093""]",retained_identity,False,evidence_concept
concept:v2:TG:2129656c19e3323a8f87,TG,electrochemical reactions between hydrogen-absorbing metals and hydride ion in molten salts,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0132:n1""]","[""P0132""]",retained_identity,False,evidence_concept
concept:v2:TG:2148ca6b6e8e56ddcd01,TG,absorb light,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0069:n2""]","[""P0069""]",retained_identity,False,evidence_concept
concept:v2:TG:21a51a22b42dea8c2f41,TG,electrode area in contact with the electrolyte,quantity,"[""quantity""]",1,1,"[""TG:P0187:n1""]","[""P0187""]",retained_identity,False,evidence_concept
concept:v2:TG:21ef68e9efb2ce3f2f9b,TG,copper deposition rate,quantity,"[""quantity""]",1,1,"[""TG:P0148:n4""]","[""P0148""]",retained_identity,False,evidence_concept
concept:v2:TG:2202c6f410813b498a2c,TG,redox pair with reaction entropies of opposite signs,material_entity,"[""material_entity""]",1,1,"[""TG:P0171:n1""]","[""P0171""]",retained_identity,False,evidence_concept
concept:v2:TG:2219d0cdfcab00d45e04,TG,enhancing (suppressing) heat transfer between the hot (cold) side and ambient air,design_strategy,"[""design_strategy""]",1,1,"[""TG:P0077:n1""]","[""P0077""]",retained_identity,False,evidence_concept
concept:v2:TG:224dd556a93df70df082,TG,thermopower and mechanical properties,performance_function,"[""performance_function""]",1,1,"[""TG:P0200:n2""]","[""P0200""]",retained_identity,False,evidence_concept
concept:v2:TG:2256c51db0254a237a8b,TG,diffusion pathways of electrolyte ions,state_structure,"[""state_structure""]",1,1,"[""TG:P0300:n3""]","[""P0300""]",retained_identity,False,evidence_concept
concept:v2:TG:2257649897fa1109cdb4,TG,密度分母待定,performance_function,"[""performance_function""]",1,1,"[""TG:P0187:n2""]","[""P0187""]",retained_identity,False,evidence_concept
concept:v2:TG:22c7a0c310321a20aa56,TG,n-type thermopower,performance_function,"[""performance_function""]",1,1,"[""TG:P0072:n3""]","[""P0072""]",retained_identity,False,evidence_concept
concept:v2:TG:2315fc0ef3ac78b3d404,TG,temperatures above the freezing point,condition,"[""condition""]",1,1,"[""TG:P0333:n1""]","[""P0333""]",retained_identity,False,evidence_concept
concept:v2:TG:232dd684fb828718d71a,TG,increase in the limiting current at high angular velocities,quantity,"[""quantity""]",1,1,"[""TG:P0314:n2""]","[""P0314""]",retained_identity,False,evidence_concept
concept:v2:TG:2342d6c7b921c173c3d7,TG,different solvation environment near the electrodes,state_structure,"[""state_structure""]",1,1,"[""TG:P0278:n2""]","[""P0278""]",retained_identity,False,evidence_concept
concept:v2:TG:237948039828480c8227,TG,ionic kinetics,quantity,"[""quantity""]",1,1,"[""TG:P0258:n3""]","[""P0258""]",retained_identity,False,evidence_concept
concept:v2:TG:237c2250ab3fa53c86a2,TG,liberation of ClO4- ions,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0014:n2""]","[""P0014""]",retained_identity,False,evidence_concept
concept:v2:TG:23be1e73d17e3622a731,TG,passivating behavior is eventually lost,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0091:n1""]","[""P0091""]",retained_identity,False,evidence_concept
concept:v2:TG:23d61e16f47eaab68652,TG,[I-]/[I-3(-)] ratio,quantity,"[""quantity""]",1,1,"[""TG:P0299:n3""]","[""P0299""]",retained_identity,False,evidence_concept
concept:v2:TG:2408f7c624d0847d78c3,TG,combination of local percolation behavior and shear-induced diffusion,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0314:n1""]","[""P0314""]",retained_identity,False,evidence_concept
concept:v2:TG:241352497a3e432cdbcc,TG,抗冻性能,performance_function,"[""performance_function""]",3,3,"[""TG:P0004:n2"", ""TG:P0048:n3"", ""TG:P0054:n2""]","[""P0004"", ""P0048"", ""P0054""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:243c3709ee0f968df334,TG,coordination between Fe2+/Fe3+ redox couples and carboxyl (& horbar;COOH) groups,interaction,"[""interaction""]",1,1,"[""TG:P0142:n1""]","[""P0142""]",retained_identity,False,evidence_concept
concept:v2:TG:2453cd0d99a5666d0c5b,TG,MEMSA hydroxide and guanidine hydrochloride,material_entity,"[""material_entity""]",1,1,"[""TG:P0248:n1""]","[""P0248""]",retained_identity,False,evidence_concept
concept:v2:TG:24548847f93f957e7b14,TG,localized oxidation of a nickel-bipyridine complex at the hot electrode only,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0081:n2""]","[""P0081""]",retained_identity,False,evidence_concept
concept:v2:TG:249370d2e535274c065f,TG,dE/dT,performance_function,"[""performance_function""]",1,1,"[""TG:P0125:n2""]","[""P0125""]",retained_identity,False,evidence_concept
concept:v2:TG:24d35f0a0953521e6d54,TG,operating parameter,condition,"[""condition""]",1,1,"[""TG:P0189:n1""]","[""P0189""]",retained_identity,False,evidence_concept
concept:v2:TG:24dbc0144f7bd5482e33,TG,increasing width,condition,"[""condition""]",1,1,"[""TG:P0055:n4""]","[""P0055""]",retained_identity,False,evidence_concept
concept:v2:TG:253ec1ee11eb63b8593b,TG,碘氧化还原与不锈钢腐蚀共同贡献的表观Seebeck系数,performance_function,"[""performance_function""]",1,1,"[""TG:P0119:n3""]","[""P0119""]",retained_identity,False,evidence_concept
concept:v2:TG:25dd3c4aa4675db0fd7e,TG,eutectic properties of DES,state_structure,"[""state_structure""]",1,1,"[""TG:P0246:n6""]","[""P0246""]",retained_identity,False,evidence_concept
concept:v2:TG:25f28e703f2f5808904c,TG,Ni and Ni oxide heterostructures,state_structure,"[""state_structure""]",1,1,"[""TG:P0046:n1""]","[""P0046""]",retained_identity,False,evidence_concept
concept:v2:TG:26d4a9b1a5a3e80103a2,TG,hydrogen bonding between ethylene glycol and water molecules,interaction,"[""interaction""]",1,1,"[""TG:P0052:n1""]","[""P0052""]",retained_identity,False,evidence_concept
concept:v2:TG:27d70d44f1738bbe7e54,TG,gas-containing electrolyte layer,state_structure,"[""state_structure""]",1,1,"[""TG:P0109:n2""]","[""P0109""]",retained_identity,False,evidence_concept
