mention_id,domain,paper_id,concept_id,previous_concept_id,mapping_action,semantic_role,role_source,raw_label
TG:P0090:n2,TG,P0090,concept:v2:TG:0164f0bb4569f2e3cc33,draft:v2:TG:0164f0bb4569f2e3cc33,merged_explicitly_reviewed,quantity,preserved_source_model_role,entropy difference of the redox couple
TG:P0192:n3,TG,P0192,concept:v2:TG:0164f0bb4569f2e3cc33,draft:v2:TG:0164f0bb4569f2e3cc33,merged_explicitly_reviewed,quantity,preserved_source_model_role,entropy change of the overall redox system
TG:P0093:n4,TG,P0093,concept:v2:TG:018479fbb28d8fe1af96,draft:v2:TG:018479fbb28d8fe1af96,retained_singleton,performance_function,preserved_source_model_role,p-n inversion
TG:P0307:n2,TG,P0307,concept:v2:TG:01ad8d28980687ebf110,draft:v2:TG:01ad8d28980687ebf110,retained_singleton,performance_function,preserved_source_model_role,output powers and current densities
TG:P0094:n6,TG,P0094,concept:v2:TG:021830706cf633bde7e7,draft:v2:TG:021830706cf633bde7e7,retained_singleton,performance_function,preserved_source_model_role,maximum power output
TG:P0019:n3,TG,P0019,concept:v2:TG:022897902e37bebd0207,draft:v2:TG:022897902e37bebd0207,retained_singleton,performance_function,preserved_source_model_role,stable and reliable signal output
TG:P0175:n2,TG,P0175,concept:v2:TG:024ba46dcfac6ba7b372,draft:v2:TG:024ba46dcfac6ba7b372,retained_singleton,mechanism_process,preserved_source_model_role,reversible redox reaction
TG:P0301:n2,TG,P0301,concept:v2:TG:02603fc91c7b3f0ae5e6,draft:v2:TG:02603fc91c7b3f0ae5e6,retained_singleton,performance_function,preserved_source_model_role,continuous power output
TG:P0224:n1,TG,P0224,concept:v2:TG:02a4ca2571e9ae30a770,draft:v2:TG:02a4ca2571e9ae30a770,retained_singleton,quantity,preserved_source_model_role,thermodiffusion term
TG:P0144:n4,TG,P0144,concept:v2:TG:02bdd3dcd5695b9edc36,draft:v2:TG:02bdd3dcd5695b9edc36,retained_singleton,state_structure,preserved_source_model_role,ion speciation
TG:P0133:n3,TG,P0133,concept:v2:TG:03926c4a0add1a114425,draft:v2:TG:03926c4a0add1a114425,retained_singleton,quantity,preserved_source_model_role,high thermal flux
TG:P0214:n1,TG,P0214,concept:v2:TG:03d962d43e654b388fd6,draft:v2:TG:03d962d43e654b388fd6,retained_singleton,material_entity,preserved_source_model_role,CoHCF/HCNTs
TG:P0220:n3,TG,P0220,concept:v2:TG:0420811c81a64a125b8b,draft:v2:TG:0420811c81a64a125b8b,retained_singleton,performance_function,preserved_source_model_role,performance difference
TG:P0263:n1,TG,P0263,concept:v2:TG:042af1f80e0a3e5e1c0e,draft:v2:TG:042af1f80e0a3e5e1c0e,retained_singleton,design_strategy,preserved_source_model_role,Periodic interchange of the solid mediator (LiFePO4/FePO4)
TG:P0009:n2,TG,P0009,concept:v2:TG:0436d373fed0477897f3,draft:v2:TG:0436d373fed0477897f3,merged_explicitly_reviewed,quantity,preserved_source_model_role,continuous concentration gradient of redox ions
TG:P0035:n3,TG,P0035,concept:v2:TG:0436d373fed0477897f3,draft:v2:TG:0436d373fed0477897f3,merged_explicitly_reviewed,quantity,preserved_source_model_role,redox species concentration gradients near the electrodes
TG:P0078:n2,TG,P0078,concept:v2:TG:0437a236d035f66881b7,draft:v2:TG:0437a236d035f66881b7,retained_singleton,state_structure,preserved_source_model_role,first solvation shell
TG:P0116:n1,TG,P0116,concept:v2:TG:048249d5b785b7d05827,draft:v2:TG:048249d5b785b7d05827,retained_singleton,mechanism_process,preserved_source_model_role,distillation of sodium hydroxide solution in temperature gradient
TG:P0297:n3,TG,P0297,concept:v2:TG:04dff6274c01e5001c1b,draft:v2:TG:04dff6274c01e5001c1b,retained_singleton,performance_function,preserved_source_model_role,ionic thermopower
TG:P0086:n5,TG,P0086,concept:v2:TG:054a30729b037a447f3b,draft:v2:TG:054a30729b037a447f3b,retained_singleton,quantity,preserved_source_model_role,effective thermal conductivity
TG:P0078:n5,TG,P0078,concept:v2:TG:062c4a8203a30da0c200,draft:v2:TG:062c4a8203a30da0c200,retained_singleton,state_structure,preserved_source_model_role,configurational disparity between oxidized and reduced species
TG:P0289:n2,TG,P0289,concept:v2:TG:06c444e27d568538a576,draft:v2:TG:06c444e27d568538a576,retained_singleton,mechanism_process,preserved_source_model_role,fast redox-mediated electron transfer
TG:P0084:n1,TG,P0084,concept:v2:TG:06cc08d57decf7bb0749,draft:v2:TG:06cc08d57decf7bb0749,retained_singleton,material_entity,preserved_source_model_role,ZnAl-LDH
TG:P0179:n2,TG,P0179,concept:v2:TG:06d81f990fe5f0d534aa,draft:v2:TG:06d81f990fe5f0d534aa,retained_singleton,performance_function,preserved_source_model_role,polarization switching from n-type to p-type
TG:P0042:n2,TG,P0042,concept:v2:TG:07e370d5ab1263597afe,draft:v2:TG:07e370d5ab1263597afe,retained_singleton,mechanism_process,preserved_source_model_role,local surface plasmon resonance (LSPR)
TG:P0034:n1,TG,P0034,concept:v2:TG:082d96349d28bb7db69b,draft:v2:TG:082d96349d28bb7db69b,retained_singleton,material_entity,preserved_source_model_role,AP
TG:P0131:n1,TG,P0131,concept:v2:TG:082e1ad2ddb13e4f3123,draft:v2:TG:082e1ad2ddb13e4f3123,retained_singleton,condition,preserved_source_model_role,high temperatures
TG:P0064:n3,TG,P0064,concept:v2:TG:0834b5ec6c028aa133c4,draft:v2:TG:0834b5ec6c028aa133c4,retained_singleton,performance_function,preserved_source_model_role,recognize the pulse beat
TG:P0036:n3,TG,P0036,concept:v2:TG:089b06b3e252010d7224,draft:v2:TG:089b06b3e252010d7224,retained_singleton,performance_function,preserved_source_model_role,characteristics of users can be distinguished
TG:P0158:n1,TG,P0158,concept:v2:TG:08eef177562df42a3438,draft:v2:TG:08eef177562df42a3438,retained_singleton,design_strategy,preserved_source_model_role,reduction in hydrogel thickness
TG:P0108:n2,TG,P0108,concept:v2:TG:0952fbcbd986b7530a38,draft:v2:TG:0952fbcbd986b7530a38,retained_singleton,quantity,preserved_source_model_role,kinetic rate constants
TG:P0148:n1,TG,P0148,concept:v2:TG:0a308457e1d63f222863,draft:v2:TG:0a308457e1d63f222863,retained_singleton,mechanism_process,preserved_source_model_role,thermogalvanic deposition process
TG:P0156:n2,TG,P0156,concept:v2:TG:0a92d2f89ee2aa7d3b41,draft:v2:TG:0a92d2f89ee2aa7d3b41,retained_singleton,material_entity,preserved_source_model_role,thermoelectric hydrogel
TG:P0181:n1,TG,P0181,concept:v2:TG:0acc3e2758fa5c00512a,draft:v2:TG:0acc3e2758fa5c00512a,retained_singleton,state_structure,astra_completion,integrative multilayer film cell
TG:P0086:n4,TG,P0086,concept:v2:TG:0afe676449258d3fe4bf,draft:v2:TG:0afe676449258d3fe4bf,merged_explicitly_reviewed,quantity,preserved_source_model_role,Delta T
TG:P0202:n3,TG,P0202,concept:v2:TG:0afe676449258d3fe4bf,draft:v2:TG:0afe676449258d3fe4bf,merged_explicitly_reviewed,quantity,preserved_source_model_role,Delta T
TG:P0233:n3,TG,P0233,concept:v2:TG:0afe676449258d3fe4bf,draft:v2:TG:0afe676449258d3fe4bf,merged_explicitly_reviewed,quantity,preserved_source_model_role,temperature gradient
TG:P0005:n1,TG,P0005,concept:v2:TG:0b16bb6f80e603898cd7,draft:v2:TG:0b16bb6f80e603898cd7,retained_singleton,mechanism_process,astra_completion,chaotropic effect
TG:P0032:n1,TG,P0032,concept:v2:TG:0b380baa5247e6b0bdc4,draft:v2:TG:0b380baa5247e6b0bdc4,retained_singleton,performance_function,preserved_source_model_role,optimized thermopower
TG:P0006:n1,TG,P0006,concept:v2:TG:0b4556f32907d18e29ad,draft:v2:TG:0b4556f32907d18e29ad,merged_explicitly_reviewed,mechanism_process,preserved_source_model_role,thermosensitive-crystallization
TG:P0255:n1,TG,P0255,concept:v2:TG:0b4556f32907d18e29ad,draft:v2:TG:0b4556f32907d18e29ad,merged_explicitly_reviewed,mechanism_process,preserved_source_model_role,thermosensitive crystallization process
TG:P0117:n1,TG,P0117,concept:v2:TG:0b6ab7598c4e438cc0e3,draft:v2:TG:0b6ab7598c4e438cc0e3,retained_singleton,material_entity,preserved_source_model_role,5 wt% organic semiconductor orange dye aqueous solution
TG:P0191:n2,TG,P0191,concept:v2:TG:0bc9d2434b3d26009a95,draft:v2:TG:0bc9d2434b3d26009a95,retained_singleton,state_structure,preserved_source_model_role,photothermal layer
TG:P0131:n3,TG,P0131,concept:v2:TG:0c8f931a220a6f42721a,draft:v2:TG:0c8f931a220a6f42721a,retained_singleton,quantity,preserved_source_model_role,pitting potential
TG:P0063:n3,TG,P0063,concept:v2:TG:0ca2fafd15703b8d7fe6,draft:v2:TG:0ca2fafd15703b8d7fe6,merged_explicitly_reviewed,quantity,preserved_source_model_role,difference in entropy contributions
TG:P0162:n3,TG,P0162,concept:v2:TG:0ca2fafd15703b8d7fe6,draft:v2:TG:0ca2fafd15703b8d7fe6,merged_explicitly_reviewed,quantity,preserved_source_model_role,entropy difference of solvation structure
TG:P0172:n3,TG,P0172,concept:v2:TG:0ca2fafd15703b8d7fe6,draft:v2:TG:0ca2fafd15703b8d7fe6,merged_explicitly_reviewed,quantity,preserved_source_model_role,solvation entropy differences of redox ions
TG:P0264:n3,TG,P0264,concept:v2:TG:0ca2fafd15703b8d7fe6,draft:v2:TG:0ca2fafd15703b8d7fe6,merged_explicitly_reviewed,quantity,preserved_source_model_role,solvation entropy difference
TG:P0115:n4,TG,P0115,concept:v2:TG:0cfe824b9c03b39550c1,draft:v2:TG:0cfe824b9c03b39550c1,retained_singleton,performance_function,preserved_source_model_role,peak output power
TG:P0068:n3,TG,P0068,concept:v2:TG:0d247599551ef45bb8ab,draft:v2:TG:0d247599551ef45bb8ab,retained_singleton,performance_function,preserved_source_model_role,flexible stretchable properties
TG:P0251:n6,TG,P0251,concept:v2:TG:0d4c80316a78317ec7ea,draft:v2:TG:0d4c80316a78317ec7ea,retained_singleton,quantity,preserved_source_model_role,solvation entropy increase of redox ions
TG:P0139:n1,TG,P0139,concept:v2:TG:0da66cc07cd4ecd78511,draft:v2:TG:0da66cc07cd4ecd78511,retained_singleton,material_entity,preserved_source_model_role,strong chaotropic salts
TG:P0031:n2,TG,P0031,concept:v2:TG:0e62b63243b8e37b4242,draft:v2:TG:0e62b63243b8e37b4242,retained_singleton,mechanism_process,preserved_source_model_role,adsorbing guanidinium ions
TG:P0224:n3,TG,P0224,concept:v2:TG:0e6f725933105add7dcd,draft:v2:TG:0e6f725933105add7dcd,retained_singleton,quantity,preserved_source_model_role,Eastman entropy of transfer
TG:P0096:n1,TG,P0096,concept:v2:TG:0eadeda31b32a9da1e47,draft:v2:TG:0eadeda31b32a9da1e47,retained_singleton,design_strategy,preserved_source_model_role,directional freeze-thawing method
TG:P0310:n2,TG,P0310,concept:v2:TG:0f33c5ee9b8eea0621d0,draft:v2:TG:0f33c5ee9b8eea0621d0,retained_singleton,mechanism_process,preserved_source_model_role,thermogalvanic redox reactions of hydrogen ions on the anode
TG:P0179:n4,TG,P0179,concept:v2:TG:0f3bbbdc92c26fc2200d,draft:v2:TG:0f3bbbdc92c26fc2200d,retained_singleton,quantity,preserved_source_model_role,entropy change and concentration difference of redox couple
TG:P0249:n1,TG,P0249,concept:v2:TG:0f4af992c4f264e86e91,draft:v2:TG:0f4af992c4f264e86e91,retained_singleton,design_strategy,preserved_source_model_role,incorporating electroactive polymers within hydrogels
TG:P0284:n1,TG,P0284,concept:v2:TG:0f5137fdf78cc9de8602,draft:v2:TG:0f5137fdf78cc9de8602,retained_singleton,mechanism_process,preserved_source_model_role,Cu-based thermosensitive crystallization
TG:P0142:n3,TG,P0142,concept:v2:TG:0f8295ee94dbdeb329c6,draft:v2:TG:0f8295ee94dbdeb329c6,retained_singleton,performance_function,preserved_source_model_role,voltage generation
TG:P0056:n3,TG,P0056,concept:v2:TG:0fab1f97ff77918b0a41,draft:v2:TG:0fab1f97ff77918b0a41,retained_singleton,quantity,preserved_source_model_role,electronic activation energy
TG:P0253:n3,TG,P0253,concept:v2:TG:1061e011e3e94440dfb4,draft:v2:TG:1061e011e3e94440dfb4,merged_explicitly_reviewed,quantity,preserved_source_model_role,Rs
TG:P0254:n2,TG,P0254,concept:v2:TG:1061e011e3e94440dfb4,draft:v2:TG:1061e011e3e94440dfb4,merged_explicitly_reviewed,quantity,preserved_source_model_role,Rs
TG:P0264:n1,TG,P0264,concept:v2:TG:109550d9cca3df56b4eb,draft:v2:TG:109550d9cca3df56b4eb,retained_singleton,material_entity,preserved_source_model_role,DES
TG:P0222:n2,TG,P0222,concept:v2:TG:10a1727340418ff2275d,draft:v2:TG:10a1727340418ff2275d,retained_singleton,quantity,preserved_source_model_role,Soret coefficient
TG:P0078:n4,TG,P0078,concept:v2:TG:10c339f27a36fa447459,draft:v2:TG:10c339f27a36fa447459,retained_singleton,state_structure,preserved_source_model_role,dipole orientation disorder
TG:P0061:n2,TG,P0061,concept:v2:TG:119d77334b20a2e0902f,draft:v2:TG:119d77334b20a2e0902f,merged_explicitly_reviewed,interaction,preserved_source_model_role,hydrogen bonding between water molecules
TG:P0066:n2,TG,P0066,concept:v2:TG:119d77334b20a2e0902f,draft:v2:TG:119d77334b20a2e0902f,merged_explicitly_reviewed,interaction,preserved_source_model_role,hydrogen bonds between water molecules
TG:P0166:n4,TG,P0166,concept:v2:TG:119d77334b20a2e0902f,draft:v2:TG:119d77334b20a2e0902f,merged_explicitly_reviewed,interaction,preserved_source_model_role,hydrogen bonds among water molecules
TG:P0311:n2,TG,P0311,concept:v2:TG:1217a69887420b9756e7,draft:v2:TG:1217a69887420b9756e7,retained_singleton,mechanism_process,preserved_source_model_role,thermoelectrochemical process
TG:P0098:n1,TG,P0098,concept:v2:TG:1367fe1fca77d5793eee,draft:v2:TG:1367fe1fca77d5793eee,retained_singleton,condition,preserved_source_model_role,quasi-stable water-in-salt region (up to 2.4 m)
TG:P0059:n1,TG,P0059,concept:v2:TG:136bf6790a6a317afffc,draft:v2:TG:136bf6790a6a317afffc,retained_singleton,interaction,preserved_source_model_role,hydrogen bonds between DMSO and EG molecules
TG:P0096:n2,TG,P0096,concept:v2:TG:155b439a5a79a1ec4a14,draft:v2:TG:155b439a5a79a1ec4a14,retained_singleton,state_structure,preserved_source_model_role,hierarchically anisotropic networks
TG:P0233:n2,TG,P0233,concept:v2:TG:16394f0fbcbfe19fb248,draft:v2:TG:16394f0fbcbfe19fb248,merged_explicitly_reviewed,mechanism_process,preserved_source_model_role,convection currents
TG:P0304:n1,TG,P0304,concept:v2:TG:16394f0fbcbfe19fb248,draft:v2:TG:16394f0fbcbfe19fb248,merged_explicitly_reviewed,mechanism_process,preserved_source_model_role,convective flows
TG:P0003:n3,TG,P0003,concept:v2:TG:163f4b2aec50047dc9be,draft:v2:TG:163f4b2aec50047dc9be,retained_singleton,performance_function,preserved_source_model_role,ISC value increase
TG:P0183:n2,TG,P0183,concept:v2:TG:1738b9f1bc3078086c01,draft:v2:TG:1738b9f1bc3078086c01,retained_singleton,performance_function,preserved_source_model_role,a of Fe3+/Fe2+
TG:P0250:n3,TG,P0250,concept:v2:TG:17e67d4c70bdb22fb84d,draft:v2:TG:17e67d4c70bdb22fb84d,retained_singleton,state_structure,preserved_source_model_role,water structure
TG:P0195:n1,TG,P0195,concept:v2:TG:180944a8a99397a7e15e,draft:v2:TG:180944a8a99397a7e15e,retained_singleton,mechanism_process,preserved_source_model_role,encapsulation of a guest
TG:P0032:n5,TG,P0032,concept:v2:TG:188182331306ef25fd04,draft:v2:TG:188182331306ef25fd04,retained_singleton,performance_function,preserved_source_model_role,thermopower retention
TG:P0287:n1,TG,P0287,concept:v2:TG:19094ea98e900fd9c0e8,draft:v2:TG:19094ea98e900fd9c0e8,retained_singleton,mechanism_process,preserved_source_model_role,spontaneous directions of the full-cell reaction are opposite at low and high temperatures
TG:P0266:n1,TG,P0266,concept:v2:TG:191fa5c1e855a9849189,draft:v2:TG:191fa5c1e855a9849189,retained_singleton,material_entity,preserved_source_model_role,carboxylated chitosan
TG:P0116:n3,TG,P0116,concept:v2:TG:193c4585fa69cc57197f,draft:v2:TG:193c4585fa69cc57197f,retained_singleton,quantity,preserved_source_model_role,Concentration difference
TG:P0227:n1,TG,P0227,concept:v2:TG:19442a6699ca22b9972f,draft:v2:TG:19442a6699ca22b9972f,retained_singleton,condition,preserved_source_model_role,concentrations of both the ionic liquid and the redox couple
TG:P0218:n4,TG,P0218,concept:v2:TG:194c95c3abcd2a60c7af,draft:v2:TG:194c95c3abcd2a60c7af,retained_singleton,quantity,preserved_source_model_role,lower electron-density on the ferrocene
TG:P0328:n1,TG,P0328,concept:v2:TG:1a4c61964ce7272d9d28,draft:v2:TG:1a4c61964ce7272d9d28,retained_singleton,material_entity,preserved_source_model_role,Maxsorb electrodes
TG:P0146:n2,TG,P0146,concept:v2:TG:1a5a7853fc79cda3c26c,draft:v2:TG:1a5a7853fc79cda3c26c,merged_explicitly_reviewed,quantity,preserved_source_model_role,entropy change of redox reaction
TG:P0182:n4,TG,P0182,concept:v2:TG:1a5a7853fc79cda3c26c,draft:v2:TG:1a5a7853fc79cda3c26c,merged_explicitly_reviewed,quantity,preserved_source_model_role,entropy difference of thermogalvanic ions
TG:P0201:n3,TG,P0201,concept:v2:TG:1a5a7853fc79cda3c26c,draft:v2:TG:1a5a7853fc79cda3c26c,merged_explicitly_reviewed,quantity,preserved_source_model_role,redox reaction entropy
TG:P0127:n3,TG,P0127,concept:v2:TG:1a80b964ec9b50cf8c8d,draft:v2:TG:1a80b964ec9b50cf8c8d,retained_singleton,quantity,preserved_source_model_role,activation overpotential
TG:P0030:n1,TG,P0030,concept:v2:TG:1a84d8a092e29f5e27fb,draft:v2:TG:1a84d8a092e29f5e27fb,retained_singleton,material_entity,preserved_source_model_role,18-crown-6
TG:P0094:n5,TG,P0094,concept:v2:TG:1a99d401b52c8ac6a734,draft:v2:TG:1a99d401b52c8ac6a734,merged_explicitly_reviewed,performance_function,preserved_source_model_role,current
TG:P0127:n4,TG,P0127,concept:v2:TG:1a99d401b52c8ac6a734,draft:v2:TG:1a99d401b52c8ac6a734,merged_explicitly_reviewed,performance_function,preserved_source_model_role,cell current
TG:P0175:n3,TG,P0175,concept:v2:TG:1a99d401b52c8ac6a734,draft:v2:TG:1a99d401b52c8ac6a734,merged_explicitly_reviewed,performance_function,preserved_source_model_role,current
TG:P0191:n3,TG,P0191,concept:v2:TG:1aa6cb3e0d463e57b7e9,draft:v2:TG:1aa6cb3e0d463e57b7e9,retained_singleton,mechanism_process,preserved_source_model_role,ultraviolet damage
TG:P0227:n3,TG,P0227,concept:v2:TG:1bc012d3b63cfd18d30f,draft:v2:TG:1bc012d3b63cfd18d30f,retained_singleton,condition,preserved_source_model_role,high ionic-liquid concentrations
TG:P0041:n1,TG,P0041,concept:v2:TG:1bdaf8043fc8cc0eb071,draft:v2:TG:1bdaf8043fc8cc0eb071,retained_singleton,design_strategy,preserved_source_model_role,modification with (3-trimethylammonium bromide)thiopropane
TG:P0026:n2,TG,P0026,concept:v2:TG:1c666b03cc9d618681e1,draft:v2:TG:1c666b03cc9d618681e1,retained_singleton,quantity,preserved_source_model_role,Fe3+ concentration
TG:P0231:n2,TG,P0231,concept:v2:TG:1c6b727a9bea309dc27e,draft:v2:TG:1c6b727a9bea309dc27e,retained_singleton,quantity,preserved_source_model_role,sheet conductance
TG:P0057:n3,TG,P0057,concept:v2:TG:1ca0ae9356549f507358,draft:v2:TG:1ca0ae9356549f507358,retained_singleton,state_structure,preserved_source_model_role,microcrystalline regions
TG:P0115:n1,TG,P0115,concept:v2:TG:1cad0be52d94cb1d5758,draft:v2:TG:1cad0be52d94cb1d5758,retained_singleton,design_strategy,preserved_source_model_role,two LiCoO2/Li cells were separately cycled between two temperatures
TG:P0246:n1,TG,P0246,concept:v2:TG:1ccb421e1bb6ed03b366,draft:v2:TG:1ccb421e1bb6ed03b366,retained_singleton,material_entity,preserved_source_model_role,water containing DES
TG:P0043:n1,TG,P0043,concept:v2:TG:1ce4b2c805100dba61ea,draft:v2:TG:1ce4b2c805100dba61ea,retained_singleton,material_entity,preserved_source_model_role,KCl
TG:P0079:n2,TG,P0079,concept:v2:TG:1ceb7c6b66ecda45a6d7,draft:v2:TG:1ceb7c6b66ecda45a6d7,retained_singleton,performance_function,preserved_source_model_role,heat-flux transduction
TG:P0013:n1,TG,P0013,concept:v2:TG:1d61af2cc2e74b9a6283,draft:v2:TG:1d61af2cc2e74b9a6283,retained_singleton,interaction,preserved_source_model_role,"hydrogen bonds among phytic acid, glycerol, and water"
TG:P0247:n1,TG,P0247,concept:v2:TG:1dda2c310181961e3a1b,draft:v2:TG:1dda2c310181961e3a1b,retained_singleton,interaction,preserved_source_model_role,ionic interactions
TG:P0135:n4,TG,P0135,concept:v2:TG:1e67b7fe71e696c30a2c,draft:v2:TG:1e67b7fe71e696c30a2c,retained_singleton,mechanism_process,preserved_source_model_role,redox kinetics
TG:P0241:n1,TG,P0241,concept:v2:TG:1f25e15bf0d44e21ea96,draft:v2:TG:1f25e15bf0d44e21ea96,retained_singleton,state_structure,astra_completion,solid-electrolyte cell
TG:P0005:n4,TG,P0005,concept:v2:TG:1fa1ef9783f66e96eaf7,draft:v2:TG:1fa1ef9783f66e96eaf7,retained_singleton,quantity,preserved_source_model_role,self-supplying temperature difference
TG:P0131:n2,TG,P0131,concept:v2:TG:203d8543a7685e24d52f,draft:v2:TG:203d8543a7685e24d52f,retained_singleton,quantity,preserved_source_model_role,passive current densities
TG:P0278:n3,TG,P0278,concept:v2:TG:20afd48e5bc5c44c7eeb,draft:v2:TG:20afd48e5bc5c44c7eeb,retained_singleton,mechanism_process,preserved_source_model_role,thermal convection
TG:P0293:n2,TG,P0293,concept:v2:TG:20b6b815c1025680a071,draft:v2:TG:20b6b815c1025680a071,retained_singleton,mechanism_process,preserved_source_model_role,electron transfer
TG:P0325:n1,TG,P0325,concept:v2:TG:20b6d4dfae05addad419,draft:v2:TG:20b6d4dfae05addad419,retained_singleton,state_structure,preserved_source_model_role,carbon/Iodolyte HI-30/carbon structure
TG:P0226:n1,TG,P0226,concept:v2:TG:20d0e7a4a9f265dc1f30,draft:v2:TG:20d0e7a4a9f265dc1f30,retained_singleton,state_structure,astra_completion,asymmetric cells
TG:P0296:n2,TG,P0296,concept:v2:TG:20fb61be4963a2e80eac,draft:v2:TG:20fb61be4963a2e80eac,retained_singleton,performance_function,preserved_source_model_role,maximum power output density
TG:P0256:n1,TG,P0256,concept:v2:TG:2110e9cf2adecf3deecf,draft:v2:TG:2110e9cf2adecf3deecf,retained_singleton,state_structure,preserved_source_model_role,double-jellyroll structure of the LFP cell
TG:P0093:n3,TG,P0093,concept:v2:TG:2119be068ff4e08bc6c8,draft:v2:TG:2119be068ff4e08bc6c8,retained_singleton,quantity,preserved_source_model_role,concentration gradient of the free I-3(-)
TG:P0132:n1,TG,P0132,concept:v2:TG:2129656c19e3323a8f87,draft:v2:TG:2129656c19e3323a8f87,retained_singleton,mechanism_process,preserved_source_model_role,electrochemical reactions between hydrogen-absorbing metals and hydride ion in molten salts
TG:P0069:n2,TG,P0069,concept:v2:TG:2148ca6b6e8e56ddcd01,draft:v2:TG:2148ca6b6e8e56ddcd01,retained_singleton,mechanism_process,preserved_source_model_role,absorb light
TG:P0187:n1,TG,P0187,concept:v2:TG:21a51a22b42dea8c2f41,draft:v2:TG:21a51a22b42dea8c2f41,retained_singleton,quantity,preserved_source_model_role,electrode area in contact with the electrolyte
TG:P0148:n4,TG,P0148,concept:v2:TG:21ef68e9efb2ce3f2f9b,draft:v2:TG:21ef68e9efb2ce3f2f9b,retained_singleton,quantity,preserved_source_model_role,copper deposition rate
TG:P0171:n1,TG,P0171,concept:v2:TG:2202c6f410813b498a2c,draft:v2:TG:2202c6f410813b498a2c,retained_singleton,material_entity,preserved_source_model_role,redox pair with reaction entropies of opposite signs
TG:P0077:n1,TG,P0077,concept:v2:TG:2219d0cdfcab00d45e04,draft:v2:TG:2219d0cdfcab00d45e04,retained_singleton,design_strategy,preserved_source_model_role,enhancing (suppressing) heat transfer between the hot (cold) side and ambient air
TG:P0200:n2,TG,P0200,concept:v2:TG:224dd556a93df70df082,draft:v2:TG:224dd556a93df70df082,retained_singleton,performance_function,preserved_source_model_role,thermopower and mechanical properties
TG:P0300:n3,TG,P0300,concept:v2:TG:2256c51db0254a237a8b,draft:v2:TG:2256c51db0254a237a8b,retained_singleton,state_structure,preserved_source_model_role,diffusion pathways of electrolyte ions
TG:P0187:n2,TG,P0187,concept:v2:TG:2257649897fa1109cdb4,draft:v2:TG:2257649897fa1109cdb4,retained_singleton,performance_function,preserved_source_model_role,power output density
TG:P0072:n3,TG,P0072,concept:v2:TG:22c7a0c310321a20aa56,draft:v2:TG:22c7a0c310321a20aa56,retained_singleton,performance_function,preserved_source_model_role,n-type thermopower
TG:P0333:n1,TG,P0333,concept:v2:TG:2315fc0ef3ac78b3d404,draft:v2:TG:2315fc0ef3ac78b3d404,retained_singleton,condition,preserved_source_model_role,temperatures above the freezing point
TG:P0314:n2,TG,P0314,concept:v2:TG:232dd684fb828718d71a,draft:v2:TG:232dd684fb828718d71a,retained_singleton,quantity,preserved_source_model_role,increase in the limiting current at high angular velocities
TG:P0278:n2,TG,P0278,concept:v2:TG:2342d6c7b921c173c3d7,draft:v2:TG:2342d6c7b921c173c3d7,retained_singleton,state_structure,preserved_source_model_role,different solvation environment near the electrodes
