concept_u_id,concept_v_id,source_first_year,source_last_year,source_evidence_papers,source_first_evidence_paper,target_first_year,target_last_year,target_evidence_papers,target_first_evidence_paper,source_support_year,concept_u,concept_v,u_type,v_type,type_pair,diffusion_status,lag_years,source_support_threshold
C08389FD6C6,C23B9BED21A,2023.0,2024.0,2.0,P1403,,,,,2024.0,moisture-gradient ion transport,ionic conduction,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,CBFAB31D6E6,2023.0,2024.0,2.0,P0552,,,,,2024.0,moisture-gradient ion transport,electrostatic interaction,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,CFBB5A400A1,2023.0,2025.0,3.0,P0611,,,,,2024.0,moisture-gradient ion transport,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C0E0D20D156,C188B56F6F1,2016.0,2024.0,2.0,P0662,,,,,2024.0,polarized-membrane ionic thermal potential,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C17A556FB4A,CB25BC3FC14,2022.0,2024.0,2.0,P0919,,,,,2024.0,double-network hydrogel mechanics,double/interpenetrating network,gel_microstructure,gel_microstructure,gel_microstructure + gel_microstructure,source_supported_not_in_target,,2
C17A556FB4A,CE6FC512ED2,2022.0,2024.0,2.0,P0919,,,,,2024.0,double-network hydrogel mechanics,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,gel_microstructure + gel_microstructure,source_supported_not_in_target,,2
C188B56F6F1,C3002C089A5,2024.0,2025.0,7.0,P0355,,,,,2024.0,ion-selectivity membrane transport,ionic thermodiffusion (Soret effect),transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C188B56F6F1,C8AD5B453CC,2020.0,2024.0,2.0,P1096,,,,,2024.0,ion-selectivity membrane transport,ion diffusion,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C188B56F6F1,CB25BC3FC14,2022.0,2025.0,3.0,P0919,,,,,2024.0,ion-selectivity membrane transport,double/interpenetrating network,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
C188B56F6F1,CF4A6A0344F,2023.0,2025.0,3.0,P0386,,,,,2024.0,ion-selectivity membrane transport,ion migration,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C188B56F6F1,CF69DD93A68,2021.0,2025.0,6.0,P0608,,,,,2024.0,ion-selectivity membrane transport,selective ion transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C41DA9D5B12,C45C8AAD12E,2023.0,2025.0,3.0,P1190,,,,,2024.0,convection-resolved resistance decomposition,charge-transfer resistance engineering,transport_mechanism,electrode_interface,electrode_interface + transport_mechanism,source_supported_not_in_target,,2
C41DA9D5B12,CE4B0E242E7,2023.0,2025.0,3.0,P1190,,,,,2024.0,convection-resolved resistance decomposition,interfacial charge transfer,transport_mechanism,electrode_interface,electrode_interface + transport_mechanism,source_supported_not_in_target,,2
C78D65254F9,C9516FFBFC5,2021.0,2025.0,3.0,P1493,,,,,2024.0,phase transition,volume phase transition,phase_or_species_transition,phase_or_species_transition,phase_or_species_transition + phase_or_species_transition,source_supported_not_in_target,,2
C8AD5B453CC,CC3BA67827F,2021.0,2024.0,2.0,P0645,,,,,2024.0,ion diffusion,ionic-electronic coupling,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C8AD5B453CC,CE6FC512ED2,2019.0,2024.0,3.0,P0650,,,,,2024.0,ion diffusion,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
CB25BC3FC14,CC3BA67827F,2023.0,2024.0,2.0,P0451,,,,,2024.0,double/interpenetrating network,ionic-electronic coupling,gel_microstructure,transport_mechanism,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
CC3BA67827F,CFBB5A400A1,2021.0,2024.0,2.0,P0645,,,,,2024.0,ionic-electronic coupling,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
CE6FC512ED2,CFBB5A400A1,2023.0,2025.0,3.0,P0379,,,,,2024.0,dynamic crosslinked gel network,cation-anion thermodiffusion asymmetry,gel_microstructure,transport_mechanism,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,C539540C36B,2021.0,2025.0,4.0,P0608,,,,,2025.0,moisture-gradient ion transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,C845F498233,2024.0,2025.0,2.0,P1855,,,,,2025.0,moisture-gradient ion transport,ion-dipole interaction,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,C96681C9193,2019.0,2025.0,2.0,P0764,,,,,2025.0,moisture-gradient ion transport,ion channels,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,CF4A6A0344F,2022.0,2025.0,2.0,P0570,,,,,2025.0,moisture-gradient ion transport,ion migration,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,CF69DD93A68,2021.0,2025.0,2.0,P0608,,,,,2025.0,moisture-gradient ion transport,selective ion transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C10C4FF4B6C,C188B56F6F1,2025.0,2025.0,2.0,P0347,,,,,2025.0,hydrogen bonding,ion-selectivity membrane transport,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C10C4FF4B6C,C845F498233,2023.0,2025.0,3.0,P1345,,,,,2025.0,hydrogen bonding,ion-dipole interaction,solvation_entropy,solvation_entropy,solvation_entropy + solvation_entropy,source_supported_not_in_target,,2
C10C4FF4B6C,C8AD5B453CC,2024.0,2025.0,2.0,P0368,,,,,2025.0,hydrogen bonding,ion diffusion,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C182567E63B,C188B56F6F1,2020.0,2025.0,2.0,P1096,,,,,2025.0,ion concentration-gradient formation,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C188B56F6F1,CEA29EF1A99,2022.0,2025.0,2.0,P1665,,,,,2025.0,ion-selectivity membrane transport,thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,device_mechanism + transport_mechanism,source_supported_not_in_target,,2
C188B56F6F1,CFBB5A400A1,2025.0,2025.0,2.0,P0347,,,,,2025.0,ion-selectivity membrane transport,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,C46A965349B,2025.0,2025.0,2.0,P0367,,,,,2025.0,ionic thermodiffusion (Soret effect),anion transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,C5CE88E5AD7,2025.0,2025.0,2.0,P0401,,,,,2025.0,ionic thermodiffusion (Soret effect),thermal migration,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,C845F498233,2023.0,2025.0,2.0,P0374,,,,,2025.0,ionic thermodiffusion (Soret effect),ion-dipole interaction,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,C96681C9193,2025.0,2025.0,2.0,P0347,,,,,2025.0,ionic thermodiffusion (Soret effect),ion channels,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CC028ABF9C6,2024.0,2025.0,3.0,P0408,,,,,2025.0,ionic thermodiffusion (Soret effect),anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CE10EBC642C,2025.0,2025.0,2.0,P0344,,,,,2025.0,ionic thermodiffusion (Soret effect),Manning counterion condensation,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CE4B0E242E7,2022.0,2025.0,2.0,P1542,,,,,2025.0,ionic thermodiffusion (Soret effect),interfacial charge transfer,transport_mechanism,electrode_interface,electrode_interface + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CF69DD93A68,2024.0,2025.0,3.0,P0355,,,,,2025.0,ionic thermodiffusion (Soret effect),selective ion transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C46747A02A1,C46A965349B,2023.0,2025.0,2.0,P0537,,,,,2025.0,ion-pairing and complexation,anion transport,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C46747A02A1,C5CE88E5AD7,2025.0,2025.0,2.0,P0525,,,,,2025.0,ion-pairing and complexation,thermal migration,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C46747A02A1,C845F498233,2023.0,2025.0,2.0,P1345,,,,,2025.0,ion-pairing and complexation,ion-dipole interaction,solvation_entropy,solvation_entropy,solvation_entropy + solvation_entropy,source_supported_not_in_target,,2
C46747A02A1,C8AD5B453CC,2025.0,2025.0,3.0,P0493,,,,,2025.0,ion-pairing and complexation,ion diffusion,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C46747A02A1,CAEE03ADAC5,2023.0,2025.0,2.0,P0696,,,,,2025.0,ion-pairing and complexation,bidirectional cationic anchoring thermodiffusion,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C46747A02A1,CE4B0E242E7,2021.0,2025.0,2.0,P1810,,,,,2025.0,ion-pairing and complexation,interfacial charge transfer,solvation_entropy,electrode_interface,electrode_interface + solvation_entropy,source_supported_not_in_target,,2
C46747A02A1,CF203EF8121,2023.0,2025.0,2.0,P0537,,,,,2025.0,ion-pairing and complexation,Eastman entropy of transfer,solvation_entropy,solvation_entropy,solvation_entropy + solvation_entropy,source_supported_not_in_target,,2
C46747A02A1,CF4A6A0344F,2024.0,2025.0,2.0,P0355,,,,,2025.0,ion-pairing and complexation,ion migration,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C46747A02A1,CFBB5A400A1,2023.0,2025.0,4.0,P0379,,,,,2025.0,ion-pairing and complexation,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C539540C36B,C8AD5B453CC,2020.0,2025.0,2.0,P1096,,,,,2025.0,nanochannel-confined ion transport,ion diffusion,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C70B6BBB358,C78D65254F9,2023.0,2025.0,2.0,P0381,,,,,2025.0,temperature-sensitive phase transition,phase transition,phase_or_species_transition,phase_or_species_transition,phase_or_species_transition + phase_or_species_transition,source_supported_not_in_target,,2
C7932B1CE8C,C845F498233,2023.0,2025.0,2.0,P1345,,,,,2025.0,chaotropic polymer-water disruption,ion-dipole interaction,gel_microstructure,solvation_entropy,gel_microstructure + solvation_entropy,source_supported_not_in_target,,2
C7932B1CE8C,C8AD5B453CC,2024.0,2025.0,2.0,P0368,,,,,2025.0,chaotropic polymer-water disruption,ion diffusion,gel_microstructure,transport_mechanism,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
C845F498233,CC028ABF9C6,2022.0,2025.0,2.0,P1045,,,,,2025.0,ion-dipole interaction,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,source_supported_not_in_target,,2
C872881EC3C,C9516FFBFC5,2021.0,2025.0,2.0,P1493,,,,,2025.0,gel-confined redox transport,volume phase transition,gel_microstructure,phase_or_species_transition,gel_microstructure + phase_or_species_transition,source_supported_not_in_target,,2
C872881EC3C,CAEE03ADAC5,2023.0,2025.0,2.0,P0696,,,,,2025.0,gel-confined redox transport,bidirectional cationic anchoring thermodiffusion,gel_microstructure,transport_mechanism,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
CB25BC3FC14,CE10EBC642C,2023.0,2025.0,2.0,P0555,,,,,2025.0,double/interpenetrating network,Manning counterion condensation,gel_microstructure,transport_mechanism,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
CE6FC512ED2,CF4A6A0344F,2022.0,2025.0,2.0,P1434,,,,,2025.0,dynamic crosslinked gel network,ion migration,gel_microstructure,transport_mechanism,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
CF4A6A0344F,CF69DD93A68,2024.0,2025.0,2.0,P0355,,,,,2025.0,ion migration,selective ion transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CFBB5A400A1,2016.0,2025.0,21.0,P0447,2022.0,2025.0,5.0,P0210,2019.0,ionic thermodiffusion (Soret effect),cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_then_target,3.0,2
C08389FD6C6,C188B56F6F1,2017.0,2025.0,8.0,P0444,2023.0,2023.0,1.0,P0177,2020.0,moisture-gradient ion transport,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_then_target,3.0,2
C3002C089A5,CF4A6A0344F,2010.0,2025.0,7.0,P1700,2025.0,2025.0,1.0,P0030,2021.0,ionic thermodiffusion (Soret effect),ion migration,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_then_target,4.0,2
C46747A02A1,C872881EC3C,2021.0,2025.0,5.0,P0568,2023.0,2024.0,3.0,P0193,2022.0,ion-pairing and complexation,gel-confined redox transport,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,source_supported_then_target,1.0,2
C08389FD6C6,CC028ABF9C6,2022.0,2025.0,4.0,P0559,2024.0,2024.0,1.0,P0166,2023.0,moisture-gradient ion transport,anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,source_supported_then_target,1.0,2
CB25BC3FC14,CC028ABF9C6,2022.0,2023.0,2.0,P0919,2025.0,2025.0,1.0,P0013,2023.0,double/interpenetrating network,anti-freezing organohydrogel design,gel_microstructure,gel_microstructure,gel_microstructure + gel_microstructure,source_supported_then_target,2.0,2
C08389FD6C6,C7932B1CE8C,2023.0,2025.0,5.0,P0611,2025.0,2025.0,1.0,P0017,2024.0,moisture-gradient ion transport,chaotropic polymer-water disruption,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,source_supported_then_target,1.0,2
C5E47CC0A62,CC028ABF9C6,2022.0,2025.0,3.0,P1045,2025.0,2025.0,1.0,P0033,2024.0,Hofmeister/chaotropic effect,anti-freezing organohydrogel design,gel_microstructure,gel_microstructure,gel_microstructure + gel_microstructure,source_supported_then_target,1.0,2
C45C8AAD12E,CE4B0E242E7,1994.0,2025.0,25.0,P0997,1991.0,2023.0,6.0,P0133,2003.0,charge-transfer resistance engineering,interfacial charge transfer,electrode_interface,electrode_interface,electrode_interface + electrode_interface,target_before_source_support,,2
C08389FD6C6,C3002C089A5,2020.0,2025.0,7.0,P0615,2006.0,2006.0,2.0,P0239,2021.0,moisture-gradient ion transport,ionic thermodiffusion (Soret effect),transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,target_before_source_support,,2
C10D3798CF7,C3002C089A5,2019.0,2023.0,2.0,P1584,2006.0,2006.0,1.0,P0244,2023.0,selective solvation,ionic thermodiffusion (Soret effect),solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,target_before_source_support,,2
C845F498233,CBFAB31D6E6,2022.0,2025.0,5.0,P1045,2012.0,2025.0,2.0,P0316,2023.0,ion-dipole interaction,electrostatic interaction,solvation_entropy,solvation_entropy,solvation_entropy + solvation_entropy,target_before_source_support,,2
C78D65254F9,C872881EC3C,2021.0,2025.0,5.0,P1493,2020.0,2025.0,5.0,P0058,2023.0,phase transition,gel-confined redox transport,phase_or_species_transition,gel_microstructure,gel_microstructure + phase_or_species_transition,target_before_source_support,,2
C10C4FF4B6C,C3002C089A5,2022.0,2025.0,4.0,P0578,2022.0,2022.0,1.0,P0310,2023.0,hydrogen bonding,ionic thermodiffusion (Soret effect),solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,target_before_source_support,,2
