concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,cutoff_year,target_year,source_pair_evidence_papers,source_pair_recent_papers_3y,target_frequency_u,target_frequency_v,target_frequency_min,target_frequency_sum,target_common_neighbors,target_jaccard,next_year_target_cooccurrence,source_pair_evidence_papers_rank,source_pair_recent_papers_3y_rank,target_frequency_min_rank,target_common_neighbors_rank,target_jaccard_rank,transparent_readiness_score,score_definition,observation_status,source_evidence_paper_ids,source_evidence_years,source_evidence_titles,partial_next_year_observed_exclusive_TG_cooccurrence,output_role,probability_claim_allowed,relation_claim_allowed_without_full_text_review,partial_next_year_status
C7932B1CE8C,CE6FC512ED2,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,2025,2026,6,5,9,3,3,12,3,0.21428571428571427,,0.8770491803278688,0.8852459016393442,0.47540983606557374,0.7295081967213115,0.7950819672131147,0.7524590163934425,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0644; P0379; P0450; P0368; P0693; P0341,2019; 2023; 2024; 2025,"Crosslinked thermoelectric hydro-ionogels: A new class of highly conductive thermoelectric materials | Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Highly Stretchable, Resilient, Adhesive, and Self-Healing Ionic Hydrogels for Thermoelectric Application | Conductive ionic thermoelectric hydrogel with negative Seebeck coefficient, self-healing and highly sensitive to temperature for photothermoelectric conversion and non-contact sensing device | Enhanced Ion-Selective Diffusion Achieved by Supramolecular Interaction for High Thermovoltage and Thermal Stability | Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties",0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C46747A02A1,CE6FC512ED2,ion-pairing and complexation,dynamic crosslinked gel network,solvation_entropy,gel_microstructure,2025,2026,4,3,9,3,3,12,4,0.2857142857142857,,0.7704918032786885,0.7049180327868853,0.47540983606557374,0.8524590163934426,0.9262295081967213,0.7459016393442622,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0609; P0379; P0342; P0413,2022; 2023; 2025,High ionic thermopower in flexible composite hydrogel for wearable self-powered sensor | Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode | N-type thermoelectric composite hydrogels enabling dual-channel ionic/electronic transport,1,manual_literature_audit_queue,False,False,observed_in_exclusive_TG_during_partial_next_year
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,2025,2026,9,5,16,4,4,20,2,0.125,,0.9836065573770492,0.8852459016393442,0.6311475409836066,0.5,0.5,0.7,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P1303; P0622; P0392; P0645; P0374; P0705; P0497; P0878; P1316,1999; 2020; 2021; 2023; 2025,Convective couplings and thermal diffusion in ionic liquids | Ultrahigh Thermoelectric Power Generation from Both Ion Diffusion by Temperature Fluctuation and Hole Accumulation by Temperature Gradient | Embedding Aligned Graphene Oxides in Polyelectrolytes to Facilitate Thermo-Diffusion of Protons for High Ionic Thermoelectric Figure-of-Merit | Operando structural investigations of thermoelectric materials | Ultrasensitive Flexible Thermal Sensor Arrays based on High-Thermopower Ionic Thermoelectric Hydrogel | Heat-Driven Iontronic Nanotransistors | Enhancing the Thermoelectric Performance of Sustainable Cellulose-Based Ionogels Through Water Content Regulation | Boosting Negative Thermopower of Chitosan Hydrogel via Bio-Inspired Anisotropic Porous Structure | A tunable ion relaxation process of a thermoelectric system for adjustable memory of thermal perception,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C188B56F6F1,CC028ABF9C6,ion-selectivity membrane transport,anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,2025,2026,3,1,14,19,14,33,4,0.18181818181818182,,0.5737704918032787,0.1557377049180328,0.9508196721311475,0.8524590163934426,0.7049180327868853,0.6475409836065574,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0839; P0919; P0607,2021; 2022; 2023,Thermoelectric Ratchet Effect for Charge Carriers with Hopping Dynamics | Ion regulation in double-network hydrogel module with ultrahigh thermopower for low-grade heat harvesting | Size-Selective Ionic Crosslinking Provides Stretchable Mixed Ionic-Electronic Conductors,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C188B56F6F1,CB25BC3FC14,ion-selectivity membrane transport,double/interpenetrating network,transport_mechanism,gel_microstructure,2025,2026,3,2,14,4,4,18,3,0.21428571428571427,,0.5737704918032787,0.4426229508196721,0.6311475409836066,0.7295081967213115,0.7950819672131147,0.6344262295081966,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0919; P0744; P0344,2022; 2024; 2025,Ion regulation in double-network hydrogel module with ultrahigh thermopower for low-grade heat harvesting | Lignin-Derived Ionic Conducting Membranes for Low-Grade Thermal Energy Harvesting | High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C3002C089A5,C539540C36B,ionic thermodiffusion (Soret effect),nanochannel-confined ion transport,transport_mechanism,transport_mechanism,2025,2026,8,8,16,1,1,17,2,0.14285714285714285,,0.9590163934426229,1.0,0.09836065573770492,0.5,0.6065573770491803,0.6327868852459017,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0564; P0862; P1053; P0938; P0338; P0347; P0681; P1316,2023; 2024; 2025,Ion Steric Effect Induces Giant Enhancement of Thermoelectric Conversion in Electrolyte-Filled Nanochannels | Dimension unification and dominance evaluation of multi-physical parameters for nanochannel-based ionic thermoelectric energy conversion using similarity principle | Effect of hydrodynamic slip on thermoelectric response in negatively-charged nanofluidic channels | Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients | Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability | Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels | High-Performance SiO2 Nanoparticle Ionogels for Continuous Heat-To-Electricity Conversion | A tunable ion relaxation process of a thermoelectric system for adjustable memory of thermal perception,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C3002C089A5,CEA29EF1A99,ionic thermodiffusion (Soret effect),thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,2025,2026,2,1,16,15,15,31,4,0.2,,0.21311475409836064,0.1557377049180328,0.9836065573770492,0.8524590163934426,0.7540983606557377,0.5918032786885246,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P1750; P0862,2013; 2023,Electrohydrodynamics within the electrical double layer in the presence of finite temperature gradients | Dimension unification and dominance evaluation of multi-physical parameters for nanochannel-based ionic thermoelectric energy conversion using similarity principle,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
CE6FC512ED2,CFBB5A400A1,dynamic crosslinked gel network,cation-anion thermodiffusion asymmetry,gel_microstructure,transport_mechanism,2025,2026,3,3,3,5,3,8,2,0.18181818181818182,,0.5737704918032787,0.7049180327868853,0.47540983606557374,0.5,0.7049180327868853,0.5918032786885246,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0379; P0510; P0342,2023; 2024; 2025,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | A double network facilitated ion-electron conductor for thermoelectric harvesting with high energy density | Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C10C4FF4B6C,C188B56F6F1,hydrogen bonding,ion-selectivity membrane transport,solvation_entropy,transport_mechanism,2025,2026,2,2,12,14,12,26,3,0.15789473684210525,,0.21311475409836064,0.4426229508196721,0.9180327868852459,0.7295081967213115,0.639344262295082,0.5885245901639344,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0347; P0540,2025,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels | Stable ionic thermopower materials for waste heat recovery above 100 °C,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C46747A02A1,C8AD5B453CC,ion-pairing and complexation,ion diffusion,solvation_entropy,transport_mechanism,2025,2026,3,3,9,4,4,13,2,0.125,,0.5737704918032787,0.7049180327868853,0.6311475409836066,0.5,0.5,0.5819672131147542,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0493; P0878; P1316,2025,Bio-inspired thermoelectric cement with interfacial selective immobilization towards self-powered buildings | Boosting Negative Thermopower of Chitosan Hydrogel via Bio-Inspired Anisotropic Porous Structure | A tunable ion relaxation process of a thermoelectric system for adjustable memory of thermal perception,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
CBFAB31D6E6,CC028ABF9C6,electrostatic interaction,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,2025,2026,3,2,3,19,3,22,3,0.13636363636363635,,0.5737704918032787,0.4426229508196721,0.47540983606557374,0.7295081967213115,0.5901639344262295,0.562295081967213,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P1045; P1563; P0512,2022; 2023; 2025,"Hofmeister Effect and Electrostatic Interaction Enhanced Ionic Conductive Organohydrogels for Electronic Applications | Double Doping of Semiconducting Polymers Using Ion-Exchange with a Dianion | Ultra-tough, self-healing, n-type liquid crystal elastomer thermoelectric lonogels via synergistic hydrogen-bonds and electrostatic interaction",0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C188B56F6F1,CEA29EF1A99,ion-selectivity membrane transport,thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,2025,2026,2,1,14,15,14,29,3,0.2,,0.21311475409836064,0.1557377049180328,0.9508196721311475,0.7295081967213115,0.7540983606557377,0.5606557377049181,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P1665; P0360,2022; 2025,Charge Regulation and pH Effects on Thermo-Osmotic Conversion | Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C7932B1CE8C,CFBB5A400A1,chaotropic polymer-water disruption,cation-anion thermodiffusion asymmetry,gel_microstructure,transport_mechanism,2025,2026,2,2,9,5,5,14,3,0.17647058823529413,,0.21311475409836064,0.4426229508196721,0.7540983606557377,0.7295081967213115,0.6639344262295082,0.560655737704918,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0379; P0611,2023,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Durable and stretchable nanocomposite ionogels with high thermoelectric property for low-grade heat harvesting,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,2025,2026,5,2,4,16,4,20,2,0.07407407407407407,,0.8278688524590164,0.4426229508196721,0.6311475409836066,0.5,0.32786885245901637,0.5459016393442623,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P1241; P0638; P0623; P1081; P1794,2005; 2019; 2020; 2023; 2024,Electrical properties and dilatometric measurements of La2Mo2O9 under low oxygen partial pressure | Thermoelectric properties of Ag2S superionic conductor with intrinsically low lattice thermal conductivity | High Thermoelectric Performance in Sulfide-Type Argyrodites Compound Ag8Sn(S1-xSex)6 Enabled by Ultralow Lattice Thermal Conductivity and Extended Cubic Phase Regime | Enhanced Seebeck Coefficient of Cu-Bi-S Heterogeneous Composite Synthesized via Solvothermal Method | Ion-Exchange-Induced Phase Transition Enables an Intrinsically Air Stable Hydrogarnet Electrolyte for Solid-State Lithium Batteries,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C08389FD6C6,C539540C36B,moisture-gradient ion transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,2025,2026,4,3,10,1,1,11,2,0.13333333333333333,,0.7704918032786885,0.7049180327868853,0.09836065573770492,0.5,0.5573770491803278,0.5262295081967213,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0608; P0338; P0347; P1902,2021; 2025,Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework | Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability | Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels | Clay/GO asymmetric bilayer membrane with temperature and concentration dual-responsivity for enhanced ion transport properties,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C7932B1CE8C,C845F498233,chaotropic polymer-water disruption,ion-dipole interaction,gel_microstructure,solvation_entropy,2025,2026,2,2,9,2,2,11,3,0.23076923076923078,,0.21311475409836064,0.4426229508196721,0.29508196721311475,0.7295081967213115,0.819672131147541,0.5,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P1345; P0341,2023; 2025,Rarely negative-thermovoltage cellulose ionogel with simultaneously boosted mechanical strength and ionic conductivity via ion-molecular engineering | Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C188B56F6F1,CE6FC512ED2,ion-selectivity membrane transport,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,2025,2026,3,1,14,3,3,17,2,0.2,,0.5737704918032787,0.1557377049180328,0.47540983606557374,0.5,0.7540983606557377,0.4918032786885246,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0390; P0919; P0744,2022; 2024,High-Performance Ionic Thermoelectric Supercapacitor for Integrated Energy Conversion-Storage | Ion regulation in double-network hydrogel module with ultrahigh thermopower for low-grade heat harvesting | Lignin-Derived Ionic Conducting Membranes for Low-Grade Thermal Energy Harvesting,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C45C8AAD12E,C78D65254F9,charge-transfer resistance engineering,phase transition,electrode_interface,phase_or_species_transition,2025,2026,3,1,10,16,10,26,2,0.0625,,0.5737704918032787,0.1557377049180328,0.9016393442622951,0.5,0.26229508196721313,0.4786885245901639,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P1822; P1810; P1611,2019; 2021; 2024,"Understanding the Structure and Properties of Sesqui-Chalcogenides (i.e., V2VI3 or Pn2Ch3 (Pn = Pnictogen, Ch = Chalcogen) Compounds) from a Bonding Perspective | Unprecedented pressure-driven metallization and topological charge transport in an anion radical salt | Pressure-Induced Alloying and Superconductivity in GeTe",1,manual_literature_audit_queue,False,False,observed_in_exclusive_TG_during_partial_next_year
C78D65254F9,CE4B0E242E7,phase transition,interfacial charge transfer,phase_or_species_transition,electrode_interface,2025,2026,3,1,16,6,6,22,2,0.06896551724137931,,0.5737704918032787,0.1557377049180328,0.819672131147541,0.5,0.29508196721311475,0.4688524590163935,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P1822; P1810; P1611,2019; 2021; 2024,"Understanding the Structure and Properties of Sesqui-Chalcogenides (i.e., V2VI3 or Pn2Ch3 (Pn = Pnictogen, Ch = Chalcogen) Compounds) from a Bonding Perspective | Unprecedented pressure-driven metallization and topological charge transport in an anion radical salt | Pressure-Induced Alloying and Superconductivity in GeTe",0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
