concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,ite_first_year,tg_first_year,transfer_lag_years,transfer_status,ite_first_evidence_paper,tg_first_evidence_paper,ite_evidence_papers,tg_evidence_papers,target_first_evidence_membership
C3002C089A5,CC3BA67827F,ionic thermodiffusion (Soret effect),ionic-electronic coupling,transport_mechanism,transport_mechanism,2021.0,2026.0,5.0,iTE_then_TG,P0645,P0170,10.0,1.0,iTE|TG
C8AD5B453CC,CC3BA67827F,ion diffusion,ionic-electronic coupling,transport_mechanism,transport_mechanism,2021.0,2026.0,5.0,iTE_then_TG,P0645,P0170,3.0,1.0,iTE|TG
CC3BA67827F,CFBB5A400A1,ionic-electronic coupling,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,2021.0,2026.0,5.0,iTE_then_TG,P0645,P0170,3.0,1.0,iTE|TG
C3002C089A5,CE4B0E242E7,ionic thermodiffusion (Soret effect),interfacial charge transfer,transport_mechanism,electrode_interface,2022.0,2026.0,4.0,iTE_then_TG,P1542,P0175,3.0,1.0,iTE|TG
C08389FD6C6,C3C17DDE1C9,moisture-gradient ion transport,Gutmann-donor ionic-cluster thermodiffusion,transport_mechanism,transport_mechanism,2023.0,2026.0,3.0,iTE_then_TG,P0537,P0176,2.0,1.0,iTE|TG
C3002C089A5,C539540C36B,ionic thermodiffusion (Soret effect),nanochannel-confined ion transport,transport_mechanism,transport_mechanism,2023.0,2026.0,3.0,iTE_then_TG,P0564,P0174,11.0,1.0,iTE|TG
C41DA9D5B12,C45C8AAD12E,convection-resolved resistance decomposition,charge-transfer resistance engineering,transport_mechanism,electrode_interface,2023.0,2026.0,3.0,iTE_then_TG,P1190,P0253,4.0,1.0,iTE|TG
C41DA9D5B12,CE4B0E242E7,convection-resolved resistance decomposition,interfacial charge transfer,transport_mechanism,electrode_interface,2023.0,2026.0,3.0,iTE_then_TG,P1190,P0253,4.0,1.0,iTE|TG
C3002C089A5,CC028ABF9C6,ionic thermodiffusion (Soret effect),anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,2024.0,2026.0,2.0,iTE_then_TG,P0408,P0175,5.0,1.0,iTE|TG
C188B56F6F1,C872881EC3C,ion-selectivity membrane transport,gel-confined redox transport,transport_mechanism,gel_microstructure,2025.0,2026.0,1.0,iTE_then_TG,P0364,P0249,3.0,1.0,iTE|TG
C539540C36B,CFBB5A400A1,nanochannel-confined ion transport,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,2025.0,2026.0,1.0,iTE_then_TG,P0347,P0174,3.0,1.0,iTE|TG
CE4B0E242E7,CFBB5A400A1,interfacial charge transfer,cation-anion thermodiffusion asymmetry,electrode_interface,transport_mechanism,2025.0,2026.0,1.0,iTE_then_TG,P0342,P0175,2.0,1.0,iTE|TG
