concept_id,concept,concept_type,cutoff_year,ite_document_frequency,ite_recent_frequency,ite_previous_frequency,ite_trend,ite_age,ite_degree,ite_weighted_degree,tg_neighbor_exposure,tg_neighbor_fraction,semantic_mean_to_tg,semantic_max_to_tg,label
CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,2019,2,1,1,0.0,3,1,2,1,1.0,0.3190985918045044,0.6451854705810547,0
C10C4FF4B6C,hydrogen bonding,solvation_entropy,2020,5,1,1,0.0,16,3,3,2,0.6666666666666666,0.35595637559890747,0.8394593000411987,1
C539540C36B,nanochannel-confined ion transport,transport_mechanism,2020,2,2,0,0.6666666666666666,2,4,5,3,0.75,0.3530040383338928,0.7490586042404175,0
C555F4672C1,configurational-entropy modulation,phase_or_species_transition,2020,2,2,0,0.6666666666666666,2,1,1,1,1.0,0.29682642221450806,0.6008002758026123,0
C96681C9193,ion channels,transport_mechanism,2020,2,2,0,0.6666666666666666,1,6,6,4,0.6666666666666666,0.35764336585998535,0.8086342811584473,0
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,2020,2,0,2,-0.6666666666666666,4,0,0,0,0.0,0.17283934354782104,0.784670352935791,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2020,19,6,2,1.3333333333333333,27,6,8,3,0.5,0.3509509563446045,0.8003907203674316,0
CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,2020,2,2,0,0.6666666666666666,1,4,5,3,0.75,0.17582163214683533,0.5290111303329468,0
CF4A6A0344F,ion migration,transport_mechanism,2020,10,4,0,1.3333333333333333,27,4,4,3,0.75,0.3633880913257599,0.8940117359161377,0
CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,2020,2,1,1,0.0,4,1,2,1,1.0,0.3240167796611786,0.6451854705810547,1
C539540C36B,nanochannel-confined ion transport,transport_mechanism,2021,3,2,1,0.3333333333333333,3,6,8,4,0.6666666666666666,0.34622251987457275,0.7490586042404175,0
C555F4672C1,configurational-entropy modulation,phase_or_species_transition,2021,3,2,1,0.3333333333333333,3,1,1,1,1.0,0.2988583445549011,0.6008002758026123,0
C96681C9193,ion channels,transport_mechanism,2021,2,2,0,0.6666666666666666,2,6,6,4,0.6666666666666666,0.3533317744731903,0.8086342811584473,1
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,2021,4,2,2,0.0,5,3,3,2,0.6666666666666666,0.1716850847005844,0.784670352935791,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2021,21,7,3,1.3333333333333333,28,9,13,6,0.6666666666666666,0.34830814599990845,0.8003907203674316,0
CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,2021,2,2,0,0.6666666666666666,2,4,5,4,1.0,0.17687538266181946,0.5290111303329468,1
CF4A6A0344F,ion migration,transport_mechanism,2021,13,6,1,1.6666666666666667,28,6,10,5,0.8333333333333334,0.3567277193069458,0.8940117359161377,1
C539540C36B,nanochannel-confined ion transport,transport_mechanism,2022,4,3,1,0.6666666666666666,4,6,9,5,0.8333333333333334,0.35540786385536194,0.7490586042404175,0
C555F4672C1,configurational-entropy modulation,phase_or_species_transition,2022,4,3,1,0.6666666666666666,4,1,1,1,1.0,0.30084559321403503,0.6008002758026123,0
C6153FCE2C1,pi-pi stacking,gel_microstructure,2022,2,2,0,0.6666666666666666,2,0,0,0,0.0,0.22347600758075714,0.5847113132476807,0
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,2022,5,3,0,1.0,6,3,3,2,0.6666666666666666,0.18819622695446014,0.784670352935791,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2022,27,11,4,2.3333333333333335,29,10,17,9,0.9,0.3576401472091675,0.8003907203674316,0
C46A965349B,anion transport,transport_mechanism,2023,2,1,1,0.0,3,6,6,5,0.8333333333333334,0.3494539260864258,0.7010833024978638,0
C539540C36B,nanochannel-confined ion transport,transport_mechanism,2023,10,8,2,2.0,5,9,19,8,0.8888888888888888,0.35540786385536194,0.7490586042404175,1
C555F4672C1,configurational-entropy modulation,phase_or_species_transition,2023,4,2,2,0.0,5,1,1,1,1.0,0.30084559321403503,0.6008002758026123,1
C6153FCE2C1,pi-pi stacking,gel_microstructure,2023,2,1,1,0.0,3,0,0,0,0.0,0.22347600758075714,0.5847113132476807,0
C98C1040415,cation transport,transport_mechanism,2023,2,2,0,0.6666666666666666,1,2,3,2,1.0,0.3640493154525757,0.7386734485626221,0
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,2023,6,4,0,1.3333333333333333,7,3,3,2,0.6666666666666666,0.18819622695446014,0.784670352935791,1
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2023,31,12,6,2.0,30,14,24,13,0.9285714285714286,0.3576401472091675,0.8003907203674316,0
C0E0D20D156,polarized-membrane ionic thermal potential,transport_mechanism,2024,2,1,0,0.3333333333333333,8,4,5,4,1.0,0.33270463347435,0.6746775507926941,0
C17A556FB4A,double-network hydrogel mechanics,gel_microstructure,2024,2,2,0,0.6666666666666666,2,6,8,5,0.8333333333333334,0.18842987716197968,0.6902318000793457,1
C46A965349B,anion transport,transport_mechanism,2024,2,1,1,0.0,4,6,6,5,0.8333333333333334,0.3422836661338806,0.7010833024978638,0
C5CE88E5AD7,thermal migration,transport_mechanism,2024,3,3,0,1.0,1,1,1,1,1.0,0.29822033643722534,0.6601722240447998,0
C6153FCE2C1,pi-pi stacking,gel_microstructure,2024,2,1,1,0.0,4,0,0,0,0.0,0.21810802817344666,0.5847113132476807,0
C90F2267A45,zwitterionic hydrogel ion regulation,gel_microstructure,2024,3,3,0,1.0,1,4,4,3,0.75,0.2279353141784668,0.7169208526611328,1
C9516FFBFC5,volume phase transition,phase_or_species_transition,2024,2,1,1,0.0,3,3,4,3,1.0,0.25308671593666077,0.8917372226715088,0
C98C1040415,cation transport,transport_mechanism,2024,4,4,0,1.3333333333333333,2,8,9,8,1.0,0.35726433992385864,0.7386734485626221,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2024,36,15,7,2.6666666666666665,31,15,29,14,0.9333333333333333,0.3490999937057495,0.8003907203674316,0
CF69DD93A68,selective ion transport,transport_mechanism,2024,2,1,1,0.0,3,6,7,6,1.0,0.3873429000377655,0.8689640760421753,0
C0E0D20D156,polarized-membrane ionic thermal potential,transport_mechanism,2025,2,1,0,0.3333333333333333,9,4,5,4,1.0,0.32348260283470154,0.6746775507926941,0
C46A965349B,anion transport,transport_mechanism,2025,4,3,1,0.6666666666666666,5,16,18,15,0.9375,0.333362877368927,0.7010833024978638,1
C5CE88E5AD7,thermal migration,transport_mechanism,2025,6,6,0,2.0,2,6,8,5,0.8333333333333334,0.2897820472717285,0.6601722240447998,0
C6153FCE2C1,pi-pi stacking,gel_microstructure,2025,3,1,2,-0.3333333333333333,5,3,3,3,1.0,0.22746320068836212,0.5847113132476807,0
C70B6BBB358,temperature-sensitive phase transition,phase_or_species_transition,2025,2,2,0,0.6666666666666666,2,4,5,4,1.0,0.27263790369033813,0.8389866948127747,0
C9516FFBFC5,volume phase transition,phase_or_species_transition,2025,3,2,1,0.3333333333333333,4,5,8,5,1.0,0.25642603635787964,0.8917372226715088,0
C98C1040415,cation transport,transport_mechanism,2025,5,4,1,1.0,3,8,10,8,1.0,0.3489469587802887,0.7386734485626221,0
CAEE03ADAC5,bidirectional cationic anchoring thermodiffusion,transport_mechanism,2025,2,2,0,0.6666666666666666,2,7,9,7,1.0,0.33480748534202576,0.7521135210990906,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2025,41,14,11,1.0,32,15,33,14,0.9333333333333333,0.33839234709739685,0.8003907203674316,1
CE10EBC642C,Manning counterion condensation,transport_mechanism,2025,3,3,0,1.0,2,7,9,5,0.7142857142857143,0.3167268633842468,0.6594728231430054,0
CEA97D4EE60,oriented ion-transport channels,gel_microstructure,2025,2,2,0,0.6666666666666666,2,5,5,5,1.0,0.34822338819503784,0.7340655326843262,0
CF69DD93A68,selective ion transport,transport_mechanism,2025,6,5,1,1.3333333333333333,4,9,18,8,0.8888888888888888,0.37552982568740845,0.8689640760421753,1
