concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,label
C3002C089A5,CEA29EF1A99,ionic thermodiffusion (Soret effect),thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,0.31740042567253113,5,2,2,5,7,2,2,7,0.2857142857142857,2,1,3,0.3333333333333333,0.0,17,3,0,0.0,0.0,10,1,1,0,0,0,1,7,2,9,1,2016,2017-2017,0
C3002C089A5,CF4A6A0344F,ionic thermodiffusion (Soret effect),ion migration,transport_mechanism,transport_mechanism,0.555216372013092,5,2,2,5,7,6,6,7,0.8571428571428571,2,0,2,0.3333333333333333,-0.3333333333333333,17,23,0,0.0,0.0,10,1,1,1,0,0,1,7,0,7,0,2016,2017-2017,0
C45C8AAD12E,CD486BA800F,charge-transfer resistance engineering,host-guest complexation,electrode_interface,solvation_entropy,0.25217893719673157,2,2,2,2,7,2,2,7,0.2857142857142857,2,0,2,0.3333333333333333,0.0,22,13,1,0.3333333333333333,1.4426950408889634,4,1,1,0,0,0,1,4,1,5,1,2016,2017-2017,0
C78D65254F9,CC3BA67827F,phase transition,ionic-electronic coupling,phase_or_species_transition,transport_mechanism,0.14667001366615295,2,3,2,3,18,12,12,18,0.6666666666666666,8,2,10,1.6666666666666667,0.6666666666666666,13,23,0,0.0,0.0,6,1,1,0,0,0,1,1,0,1,0,2016,2017-2017,0
C8AD5B453CC,CC5968B917E,ion diffusion,convection and mass transport,transport_mechanism,transport_mechanism,0.5085238218307495,3,3,3,3,4,5,4,5,0.8,2,2,4,0.6666666666666666,0.6666666666666666,17,17,1,0.2,0.6213349345596119,9,1,1,1,0,0,1,0,7,7,0,2016,2017-2017,0
CBFAB31D6E6,CEA29EF1A99,electrostatic interaction,thermal-gradient heat-transfer control,solvation_entropy,device_mechanism,0.028140723705291748,1,2,1,2,2,2,2,2,1.0,2,1,3,0.6666666666666666,0.0,1,3,0,0.0,0.0,2,1,1,0,0,0,1,1,2,3,1,2016,2017-2017,0
CC3BA67827F,CC5968B917E,ionic-electronic coupling,convection and mass transport,transport_mechanism,transport_mechanism,0.39798370003700256,3,3,3,3,12,5,5,12,0.4166666666666667,2,2,4,0.6666666666666666,0.6666666666666666,23,17,0,0.0,0.0,9,1,1,1,0,0,1,0,7,7,0,2016,2017-2017,0
CD486BA800F,CE4B0E242E7,host-guest complexation,interfacial charge transfer,solvation_entropy,electrode_interface,0.2608962059020996,2,2,2,2,2,9,2,9,0.2222222222222222,0,2,2,0.0,0.3333333333333333,13,23,1,0.3333333333333333,1.4426950408889634,4,1,1,0,0,0,1,1,3,4,1,2016,2017-2017,0
C08389FD6C6,C188B56F6F1,moisture-gradient ion transport,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,0.6888046860694885,4,2,2,4,6,9,6,9,0.6666666666666666,3,6,9,0.6666666666666666,1.3333333333333333,15,18,0,0.0,0.0,8,1,1,1,0,0,1,2,5,7,1,2017,2018-2018,0
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,0.7253009080886841,4,3,3,4,6,5,5,6,0.8333333333333334,3,2,5,0.6666666666666666,0.3333333333333333,15,18,0,0.0,0.0,12,1,1,1,0,0,1,2,0,2,0,2017,2018-2018,0
C08389FD6C6,CC3BA67827F,moisture-gradient ion transport,ionic-electronic coupling,transport_mechanism,transport_mechanism,0.5647144317626953,4,3,3,4,6,13,6,13,0.46153846153846156,3,2,5,0.6666666666666666,0.3333333333333333,15,24,0,0.0,0.0,12,1,1,1,0,0,1,2,0,2,0,2017,2018-2018,0
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,0.18714967370033264,2,2,2,2,23,21,21,23,0.9130434782608695,5,10,15,0.6666666666666666,2.0,25,14,0,0.0,0.0,4,1,1,0,0,0,1,1,1,2,1,2017,2018-2018,0
C23B9BED21A,CF4A6A0344F,ionic conduction,ion migration,transport_mechanism,transport_mechanism,0.8135492205619812,2,2,2,2,23,6,6,23,0.2608695652173913,5,0,5,0.6666666666666666,-0.3333333333333333,25,24,0,0.0,0.0,4,1,1,1,0,0,1,1,0,1,0,2017,2018-2018,0
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,0.5854768753051758,5,3,3,5,9,5,5,9,0.5555555555555556,4,2,6,1.0,0.3333333333333333,18,18,1,0.14285714285714285,0.9102392266268373,15,1,1,1,0,0,1,7,0,7,0,2017,2018-2018,0
C3002C089A5,CC5968B917E,ionic thermodiffusion (Soret effect),convection and mass transport,transport_mechanism,transport_mechanism,0.32778722047805786,5,3,3,5,9,5,5,9,0.5555555555555556,4,1,5,1.0,0.0,18,18,1,0.14285714285714285,0.9102392266268373,15,1,1,1,0,0,1,7,7,14,1,2017,2018-2018,0
C3002C089A5,CEA29EF1A99,ionic thermodiffusion (Soret effect),thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,0.31740042567253113,5,2,2,5,9,4,4,9,0.4444444444444444,4,3,7,1.0,0.6666666666666666,18,4,0,0.0,0.0,10,1,1,0,0,0,1,7,3,10,1,2017,2018-2018,0
C3002C089A5,CF4A6A0344F,ionic thermodiffusion (Soret effect),ion migration,transport_mechanism,transport_mechanism,0.555216372013092,5,2,2,5,9,6,6,9,0.6666666666666666,4,0,4,1.0,-0.3333333333333333,18,24,0,0.0,0.0,10,1,1,1,0,0,1,7,0,7,0,2017,2018-2018,0
C45C8AAD12E,CD486BA800F,charge-transfer resistance engineering,host-guest complexation,electrode_interface,solvation_entropy,0.25217893719673157,3,2,2,3,9,2,2,9,0.2222222222222222,4,0,4,1.0,0.0,23,14,1,0.25,1.4426950408889634,6,1,1,0,0,0,1,7,1,8,1,2017,2018-2018,0
C78D65254F9,CC3BA67827F,phase transition,ionic-electronic coupling,phase_or_species_transition,transport_mechanism,0.14667001366615295,2,3,2,3,21,13,13,21,0.6190476190476191,10,2,12,2.0,0.3333333333333333,14,24,0,0.0,0.0,6,1,1,0,0,0,1,1,0,1,0,2017,2018-2018,0
C8AD5B453CC,CC5968B917E,ion diffusion,convection and mass transport,transport_mechanism,transport_mechanism,0.5085238218307495,3,3,3,3,5,5,5,5,1.0,2,1,3,0.3333333333333333,0.0,18,18,1,0.2,0.6213349345596119,9,1,1,1,0,0,1,0,7,7,0,2017,2018-2018,0
CBFAB31D6E6,CEA29EF1A99,electrostatic interaction,thermal-gradient heat-transfer control,solvation_entropy,device_mechanism,0.028140723705291748,1,2,1,2,2,4,2,4,0.5,2,3,5,0.6666666666666666,0.6666666666666666,2,4,0,0.0,0.0,2,1,1,0,0,0,1,1,3,4,1,2017,2018-2018,0
CC3BA67827F,CC5968B917E,ionic-electronic coupling,convection and mass transport,transport_mechanism,transport_mechanism,0.39798370003700256,3,3,3,3,13,5,5,13,0.38461538461538464,2,1,3,0.3333333333333333,0.0,24,18,0,0.0,0.0,9,1,1,1,0,0,1,0,7,7,0,2017,2018-2018,0
CD486BA800F,CE4B0E242E7,host-guest complexation,interfacial charge transfer,solvation_entropy,electrode_interface,0.2608962059020996,2,2,2,2,2,11,2,11,0.18181818181818182,0,4,4,0.0,1.0,14,24,1,0.3333333333333333,0.9102392266268373,4,1,1,0,0,0,1,1,5,6,1,2017,2018-2018,0
C08389FD6C6,C188B56F6F1,moisture-gradient ion transport,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,0.6888046860694885,4,4,4,4,6,11,6,11,0.5454545454545454,3,6,9,0.6666666666666666,0.6666666666666666,16,19,0,0.0,0.0,16,1,1,1,0,0,1,2,6,8,1,2018,2019-2019,0
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,0.7253009080886841,4,3,3,4,6,6,6,6,1.0,3,3,6,0.6666666666666666,0.6666666666666666,16,19,0,0.0,0.0,12,1,1,1,0,0,1,2,0,2,0,2018,2019-2019,0
C08389FD6C6,CC3BA67827F,moisture-gradient ion transport,ionic-electronic coupling,transport_mechanism,transport_mechanism,0.5647144317626953,4,3,3,4,6,14,6,14,0.42857142857142855,3,3,6,0.6666666666666666,0.6666666666666666,16,25,0,0.0,0.0,12,1,1,1,0,0,1,2,0,2,0,2018,2019-2019,0
C188B56F6F1,C23B9BED21A,ion-selectivity membrane transport,ionic conduction,transport_mechanism,transport_mechanism,0.7166036367416382,4,3,3,4,11,25,11,25,0.44,6,7,13,0.6666666666666666,2.0,19,26,0,0.0,0.0,12,1,1,1,0,0,1,6,1,7,1,2018,2019-2019,0
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,0.18714967370033264,3,3,3,3,25,25,25,25,1.0,7,10,17,2.0,0.6666666666666666,26,15,1,0.2,0.9102392266268373,9,1,1,0,0,0,1,1,2,3,1,2018,2019-2019,0
C23B9BED21A,CF4A6A0344F,ionic conduction,ion migration,transport_mechanism,transport_mechanism,0.8135492205619812,3,3,3,3,25,7,7,25,0.28,7,1,8,2.0,0.3333333333333333,26,25,1,0.2,0.9102392266268373,9,1,1,1,0,0,1,1,0,1,0,2018,2019-2019,0
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,0.5854768753051758,7,3,3,7,12,6,6,12,0.5,6,3,9,1.3333333333333333,0.6666666666666666,19,19,1,0.1111111111111111,0.9102392266268373,21,1,1,1,0,0,1,8,0,8,0,2018,2019-2019,0
C3002C089A5,CC5968B917E,ionic thermodiffusion (Soret effect),convection and mass transport,transport_mechanism,transport_mechanism,0.32778722047805786,7,3,3,7,12,5,5,12,0.4166666666666667,6,1,7,1.3333333333333333,0.0,19,19,1,0.1111111111111111,0.9102392266268373,21,1,1,1,0,0,1,8,7,15,1,2018,2019-2019,0
C3002C089A5,CEA29EF1A99,ionic thermodiffusion (Soret effect),thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,0.31740042567253113,7,2,2,7,12,6,6,12,0.5,6,5,11,1.3333333333333333,1.3333333333333333,19,5,0,0.0,0.0,14,1,1,0,0,0,1,8,3,11,1,2018,2019-2019,0
C3002C089A5,CF4A6A0344F,ionic thermodiffusion (Soret effect),ion migration,transport_mechanism,transport_mechanism,0.555216372013092,7,3,3,7,12,7,7,12,0.5833333333333334,6,1,7,1.3333333333333333,0.3333333333333333,19,25,0,0.0,0.0,21,1,1,1,0,0,1,8,0,8,0,2018,2019-2019,0
C45C8AAD12E,CD486BA800F,charge-transfer resistance engineering,host-guest complexation,electrode_interface,solvation_entropy,0.25217893719673157,3,2,2,3,10,2,2,10,0.2,4,0,4,0.6666666666666666,0.0,24,15,1,0.25,1.4426950408889634,6,1,1,0,0,0,1,7,2,9,1,2018,2019-2019,0
C78D65254F9,CC3BA67827F,phase transition,ionic-electronic coupling,phase_or_species_transition,transport_mechanism,0.14667001366615295,3,3,3,3,25,14,14,25,0.56,10,3,13,0.6666666666666666,0.6666666666666666,15,25,0,0.0,0.0,9,1,1,0,0,0,1,2,0,2,0,2018,2019-2019,0
C78D65254F9,CF4A6A0344F,phase transition,ion migration,phase_or_species_transition,transport_mechanism,0.19312822818756104,3,3,3,3,25,7,7,25,0.28,10,1,11,0.6666666666666666,0.3333333333333333,15,25,1,0.2,0.9102392266268373,9,1,1,0,0,0,1,2,0,2,0,2018,2019-2019,0
C8AD5B453CC,CC5968B917E,ion diffusion,convection and mass transport,transport_mechanism,transport_mechanism,0.5085238218307495,3,3,3,3,6,5,5,6,0.8333333333333334,3,1,4,0.6666666666666666,0.0,19,19,1,0.2,0.5138983423697507,9,1,1,1,0,0,1,0,7,7,0,2018,2019-2019,0
CBFAB31D6E6,CEA29EF1A99,electrostatic interaction,thermal-gradient heat-transfer control,solvation_entropy,device_mechanism,0.028140723705291748,1,2,1,2,2,6,2,6,0.3333333333333333,1,5,6,0.0,1.3333333333333333,3,5,0,0.0,0.0,2,1,1,0,0,0,1,1,3,4,1,2018,2019-2019,0
CC3BA67827F,CC5968B917E,ionic-electronic coupling,convection and mass transport,transport_mechanism,transport_mechanism,0.39798370003700256,3,3,3,3,14,5,5,14,0.35714285714285715,3,1,4,0.6666666666666666,0.0,25,19,0,0.0,0.0,9,1,1,1,0,0,1,0,7,7,0,2018,2019-2019,0
CD486BA800F,CE4B0E242E7,host-guest complexation,interfacial charge transfer,solvation_entropy,electrode_interface,0.2608962059020996,2,2,2,2,2,11,2,11,0.18181818181818182,0,3,3,0.0,0.3333333333333333,15,25,1,0.3333333333333333,0.9102392266268373,4,1,1,0,0,0,1,2,5,7,1,2018,2019-2019,0
C08389FD6C6,C188B56F6F1,moisture-gradient ion transport,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,0.6888046860694885,6,4,4,6,10,12,10,12,0.8333333333333334,6,5,11,1.3333333333333333,0.0,17,20,0,0.0,0.0,24,1,1,1,0,0,1,2,6,8,1,2019,2020-2020,0
C08389FD6C6,C78D65254F9,moisture-gradient ion transport,phase transition,transport_mechanism,phase_or_species_transition,0.15616030991077423,6,7,6,7,10,31,10,31,0.3225806451612903,6,13,19,1.3333333333333333,1.6666666666666667,17,16,1,0.08333333333333333,0.7213475204444817,42,1,1,0,0,0,1,2,2,4,1,2019,2020-2020,0
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,0.7253009080886841,6,5,5,6,10,7,7,10,0.7,6,3,9,1.3333333333333333,0.3333333333333333,17,20,0,0.0,0.0,30,1,1,1,0,0,1,2,0,2,0,2019,2020-2020,0
C08389FD6C6,CC3BA67827F,moisture-gradient ion transport,ionic-electronic coupling,transport_mechanism,transport_mechanism,0.5647144317626953,6,4,4,6,10,16,10,16,0.625,6,4,10,1.3333333333333333,0.6666666666666666,17,26,2,0.25,1.9565933832587141,24,1,1,1,0,0,1,2,0,2,0,2019,2020-2020,0
C10C4FF4B6C,C7932B1CE8C,hydrogen bonding,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,0.21944090723991394,3,5,3,5,5,2,2,5,0.4,2,2,4,0.6666666666666666,0.6666666666666666,15,1,2,0.3333333333333333,1.4426950408889634,15,1,1,0,0,0,1,0,1,1,0,2019,2020-2020,0
C10C4FF4B6C,CC028ABF9C6,hydrogen bonding,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,0.1945808231830597,3,4,3,4,5,8,5,8,0.625,2,4,6,0.6666666666666666,1.0,15,12,2,0.4,1.3426824550040934,12,1,1,0,0,0,1,0,3,3,0,2019,2020-2020,0
C10C4FF4B6C,CE6FC512ED2,hydrogen bonding,dynamic crosslinked gel network,solvation_entropy,gel_microstructure,0.24640542268753052,3,4,3,4,5,2,2,5,0.4,2,2,4,0.6666666666666666,0.6666666666666666,15,0,2,0.4,1.3426824550040934,12,1,1,0,0,0,1,0,0,0,0,2019,2020-2020,0
